F2 R U' B L
F2 R U' L B L
F2 R U' L' B L
F2 R U' L2 B L
F2 R U' D B L
F2 R U' D' B L
F2 R U' D2 B L
F2 R U' B L D
F2 R U' B L D'
F2 R U' B L D2
F2 R U' B D L
F2 R U' B D' L
F2 R U' B D2 L
F2 R D U' B L
F2 R D' U' B L
F2 R D2 U' B L
F2 R2 D B R' U'
F2 R2 B R' U' B
F2 U2 L' F' U B'
U2 F L' U B' R'
F2 U2 F' L' U B'
F2 D R U' B L
F2 D' R U' B L
F2 D2 R U' B L
R F2 U2 F' U B
F2 B R U' B L
F2 B' R U' B L
B' F2 R U' B L
B2 F2 R U' B L
F2 B2 R U' B L
B F2 R U' B L
F2 R2 B' R' B2 U' B'
F2 R2 B2 R' B' U' B2
R D U2 F U B R2
U2 D F L' U R2 B'
U2 D F L' U B' R2
F2 U F U F2 L' U
F2 U F' U L' U L
F2 U F2 U F L' U
D2 U2 L' B2 U B L
U2 D2 L' B2 U B L
F2 U' B U' L F' U
F2 U' B U' F' L U
D2 U2 F L' B2 U B
F2 U2 L F' U D2 B2
F2 U2 L F' U' F2 U2
F2 U2 L F' D' L2 U
F2 U2 L F' D2 U B2
U2 D2 F L' B2 U B
F2 U2 L' D F' U B'
D2 U2 F B2 L' U B'
F2 U2 L' D' F' U B'
F2 U2 L' D2 F' U B'
F2 U2 L' F' U D B'
F2 U2 L' F' U D' B'
F2 U2 L' F' U D2 B'
F2 U2 L' F' U B' D
F2 U2 L' F' U B' D'
F2 U2 L' F' U B' D2
F2 U2 L' F' D U B'
F2 U2 L' F' D' U B'
F2 U2 L' F' D2 U B'
D U2 F L' U R2 B'
D U2 F L' U B' R2
R D2 U2 F B2 U B'
U2 D2 F B2 L' U B'
R D2 U2 B2 F U B'
F2 U2 L2 F' L U B'
F2 U2 D L' F' U B'
D2 U2 B2 F L' U B'
F2 U2 D F' L' U B'
F2 U2 D' L' F' U B'
U2 D2 B2 F L' U B'
F2 U2 D' F' L' U B'
F2 U2 D2 L' F' U B'
B' U2 F L' U B' R'
F2 U2 D2 F' L' U B'
U2 F L' U R B' R'
U2 F L' U R' B' R'
U2 F L' U R2 B' R'
U2 F L' U D B' R'
U2 F L' U D' B' R'
U2 F L' U D2 B' R'
U2 F L' U B' R' D
U2 F L' U B' R' D'
U2 F L' U B' R' D2
U2 F L' U B' D R'
U2 F L' U B' D' R'
U2 F L' U B' D2 R'
B2 U2 F L' U B' R'
U2 F L' D U B' R'
F2 U2 F L' F2 U B'
U2 F L' D' U B' R'
U2 F L' D2 U B' R'
B U2 F L' U B' R'
F2 U2 F' L U' F U2
F2 U2 F' L' U D B'
F2 U2 F' L' U D' B'
F2 U2 F' L' U D2 B'
F2 U2 F' L' U B' D
F2 U2 F' L' U B' D'
F2 U2 F' L' U B' D2
F2 U2 F' L' D U B'
F2 U2 F' L' D' U B'
F2 U2 F' L' D2 U B'
U2 F L2 D' B' L U
U2 F L2 B' L U B'
F2 U2 F' U2 R U' B
F2 U2 F' D L' U B'
F2 U2 F' D' L' U B'
F2 U2 F' D2 L' U B'
F' U2 F2 L' U B' R'
U' F U2 F R U' F2
U2 F U2 R F U' B
U2 F U2 F R U' B
R' F D F R2 B U'
U2 F D L' U B' R'
U F U2 R F U' F'
U2 F D' L' U B' R'
F2 D R U' L B L
F2 D R U' L' B L
F2 D R U' L2 B L
F2 D R U' D B L
F2 D R U' D' B L
F2 D R U' D2 B L
F2 D R U' B L D
F2 D R U' B L D'
F2 D R U' B L D2
F2 D R U' B D L
F2 D R U' B D' L
F2 D R U' B D2 L
F2 D R D U' B L
F2 D R D' U' B L
F2 D R D2 U' B L
U2 F D2 L' U B' R'
U2 F B L' U B' R'
F2 D R2 D B R' U'
U2 F B' L' U B' R'
F2 D R2 B R' U' B
U2 F B2 L' U B' R'
F2 D U2 L' F' U B'
F2 D U2 F' L' U B'
F D F R U' B L
F2 D B R U' B L
F2 D B' R U' B L
F2 D B2 R U' B L
R' F' D' F' U' L2 B'
F2 D' R U' L B L
F2 D' R U' L' B L
F2 D' R U' L2 B L
F2 D' R U' D B L
F2 D' R U' D' B L
F2 D' R U' D2 B L
F2 D' R U' B L D
F2 D' R U' B L D'
F2 D' R U' B L D2
F2 D' R U' B D L
F2 D' R U' B D' L
F2 D' R U' B D2 L
F2 D' R D U' B L
F2 D' R D' U' B L
F2 D' R D2 U' B L
R2 F' D' F' R U' L2
R F' D' F' U' L2 B
R F' D' F' U' B L2
F2 D' R2 D B R' U'
F2 D' R2 B R' U' B
R F' D2 F' B2 U' B'
R F' D2 B2 F' U' B'
F2 D' U2 L' F' U B'
F2 D' U2 F' L' U B'
F' D' F' R U' L2 B
F' D' F' R U' B L2
R' F2 R U F R U2
F D' F R U' B L
R2 F2 R U F' U2 L'
L2 F2 R B' L2 U' B2
D F2 R U' B L R
D F2 R U' B R L
F2 D' B R U' B L
R' F2 R2 B U F U2
F2 D' B' R U' B L
R' F2 U F U F2 U
R' F2 U F U2 D' L2
R' F2 U F D R2 U2
R' F2 U F D' U2 L2
R2 F2 R2 B R U' B
F2 D' B2 R U' B L
R' F2 U2 L2 F' U B'
R F2 R2 B R2 U' B
R F2 R2 B U F' U2
U' F2 U2 F' L' U F'
R' F2 U2 F' U D2 B2
R' F2 U2 F' U' F2 U2
R' F2 U2 F' D' L2 U
R' F2 U2 F' D2 U B2
R F2 U' B U' F' U
R F2 U2 L F' U B
R F2 U2 L' F' U B
R F2 U2 L2 F' U B
R2 F2 D R2 B R' U'
R F2 U2 D F' U B
R F2 U2 D' F' U B
R F2 U2 D2 F' U B
R F2 U2 F' L U B
R F2 U2 F' L' U B
R F2 U2 F' L2 U B
R F2 U2 F' U D B
R F2 U2 F' U D' B
R F2 U2 F' U D2 B
R F2 U2 F' U B D
R F2 U2 F' U B D'
R F2 U2 F' U B D2
R F2 U2 F' D U B
R F2 U2 F' D' U B
R F2 U2 F' D2 U B
F2 D2 R U' L B L
F2 D2 R U' L' B L
F2 D2 R U' L2 B L
F2 D2 R U' D B L
F2 D2 R U' D' B L
F2 D2 R U' D2 B L
F2 D2 R U' B L D
F2 D2 R U' B L D'
F2 D2 R U' B L D2
F2 D2 R U' B D L
F2 D2 R U' B D' L
F2 D2 R U' B D2 L
F2 D2 R D U' B L
F2 D2 R D' U' B L
F2 D2 R D2 U' B L
F' D2 R B2 U' B' R'
R F2 D U2 F' U B
R F2 D' U2 F' U B
F2 D2 R2 D B R' U'
L2 F2 B' L2 R U' B
L2 F2 B' R L2 U' B
F2 D2 R2 B R' U' B
R F2 D2 U2 F' U B
R F2 B R2 B U' B'
R F2 B' R2 B U' B
F2 D2 U2 L' F' U B'
R F2 B' U2 F' U B2
R F2 B' D' R2 B U'
F2 D2 U2 F' L' U B'
R F2 B2 R2 B U' B2
R F2 B2 U2 F' U B'
F' D2 F' R B2 U' B'
F D2 F R U' B L
F' D2 F' B2 R U' B
F2 D2 B R U' B L
F2 D2 B' R U' B L
F2 D2 B2 R U' B L
F' D2 B2 F' R U' B
F2 B R U' L B L
F2 B R U' L' B L
F2 B R U' L2 B L
F2 B R U' D B L
F2 B R U' D' B L
F2 B R U' D2 B L
F2 B R U' B L D
F2 B R U' B L D'
F2 B R U' B L D2
F2 B R U' B D L
F2 B R U' B D' L
F2 B R U' B D2 L
F2 B R D U' B L
F2 B R D' U' B L
F2 B R D2 U' B L
U2 B F L' U B' R'
F2 B R2 D B R' U'
F2 B R2 B R' U' B
F2 B U2 L' F' U B'
F2 B U2 F' L' U B'
R B F2 R2 B U' B'
F2 B D R U' B L
L2 B' L2 R F2 U' B
L2 B' L2 F2 R U' B
F2 B D' R U' B L
L2 B' R L2 F2 U' B
L2 B' R F2 L2 U' B
F2 B D2 R U' B L
L2 B' R' F2 L2 U' B'
F2 B' R U' L B L
F2 B' R U' L' B L
F2 B' R U' L2 B L
F2 B' R U' D B L
F2 B' R U' D' B L
F2 B' R U' D2 B L
F2 B' R U' B L D
F2 B' R U' B L D'
F2 B' R U' B L D2
F2 B' R U' B D L
F2 B' R U' B D' L
F2 B' R U' B D2 L
F2 B' R D U' B L
F2 B' R D' U' B L
F2 B' R D2 U' B L
F2 B' R2 D B R' U'
F2 B' R2 B R' U' B
U2 B' F L' U B' R'
F2 B' U2 L' F' U B'
F2 B' U2 F' L' U B'
L2 B' F2 L2 R U' B
L2 B' F2 R L2 U' B
F2 B' D R U' B L
F2 B' D' R U' B L
R B' F2 R2 B U' B
F2 B' D2 R U' B L
R B' F2 U2 F' U B2
R B' F2 D' R2 B U'
B' F2 R U' L B L
B' F2 R U' L' B L
B' F2 R U' L2 B L
B' F2 R U' D B L
B' F2 R U' D' B L
B' F2 R U' D2 B L
B' F2 R U' B L D
B' F2 R U' B L D'
B' F2 R U' B L D2
B' F2 R U' B D L
B' F2 R U' B D' L
B' F2 R U' B D2 L
B' F2 R D U' B L
B' F2 R D' U' B L
B' F2 R D2 U' B L
B2 F2 R U' L B L
B2 F2 R U' L' B L
B2 F2 R U' L2 B L
B2 F2 R U' D B L
B2 F2 R U' D' B L
B2 F2 R U' D2 B L
B2 F2 R U' B L D
B2 F2 R U' B L D'
B2 F2 R U' B L D2
B2 F2 R U' B D L
B2 F2 R U' B D' L
B2 F2 R U' B D2 L
F2 B2 R U' L B L
F2 B2 R U' L' B L
F2 B2 R U' L2 B L
F2 B2 R U' D B L
B2 F2 R D U' B L
F2 B2 R U' D' B L
F2 B2 R U' D2 B L
F2 B2 R U' B L D
F2 B2 R U' B L D'
F2 B2 R U' B L D2
F2 B2 R U' B D L
F2 B2 R U' B D' L
F2 B2 R U' B D2 L
B2 F2 R D' U' B L
B2 F2 R D2 U' B L
F2 B2 R D U' B L
F2 B2 R D' U' B L
F2 B2 R D2 U' B L
B F2 R U' L B L
B F2 R U' L' B L
B F2 R U' L2 B L
B F2 R U' D B L
B F2 R U' D' B L
B F2 R U' D2 B L
B F2 R U' B L D
B F2 R U' B L D'
B F2 R U' B L D2
B F2 R U' B D L
B F2 R U' B D' L
B F2 R U' B D2 L
B F2 R D U' B L
B F2 R D' U' B L
B F2 R D2 U' B L
B' F2 R2 D B R' U'
B' F2 R2 B R' U' B
B2 F2 R2 D B R' U'
F2 B2 R2 D B R' U'
B2 F2 R2 B R' U' B
F2 B2 R2 B R' U' B
B F2 R2 D B R' U'
B F2 R2 B R' U' B
B' F2 U2 L' F' U B'
B' F2 U2 F' L' U B'
B2 F2 U2 L' F' U B'
F2 B2 U2 L' F' U B'
B' F2 D R U' B L
B2 F2 U2 F' L' U B'
F2 B2 U2 F' L' U B'
B F2 U2 L' F' U B'
B2 F2 D R U' B L
F2 B2 D R U' B L
B' F2 D' R U' B L
B F2 U2 F' L' U B'
U2 B2 F L' U B' R'
B2 F2 D' R U' B L
B F2 D R U' B L
F2 B2 D' R U' B L
B' F2 D2 R U' B L
B2 F2 D2 R U' B L
B F2 D' R U' B L
F2 B2 D2 R U' B L
B F2 D2 R U' B L
R B2 F2 R2 B U' B2
R B2 F2 U2 F' U B'
