U' R' B' U2 B2
U' R F' R2 B' U2
U' R F' B' R2 U2
L2 U' R' U2 F B
L2 U' R' U2 B F
U' R B' R2 U2 B
U' R B' F' R2 U2
R U' R2 B' U2 B2
R U' F' R2 B' U2
R U' F' B' R2 U2
U' R' U2 B D2 F2
U' R' D B' U2 B2
R U' B' R2 U2 B
R U' B' F' R2 U2
U' R' D' B' U2 B2
U' R' D2 B' U2 B2
U' R' F B' U2 B2
U' R' F' B' U2 B2
U' R' F2 B' U2 B2
U' R' B' U2 B2 D
U' R' B' U2 B2 D'
U' R' B' U2 B2 D2
U' R' B' U2 B2 D2
U' R' B' D2 F2 U2
U' R' B' D2 F2 U2
U' R' B' F U2 B2
U' R' B' F' U2 B2
U' R' B' F2 U2 B2
U R' B' U2 R B2
U R' B' U2 B2 R
U' R2 B' R U2 B
F' U' R' B' U2 B2
F2 U' R' B' U2 B2
F U' R' B' U2 B2
U' F R' B' U2 B2
U' F' R' B' U2 B2
U' F2 R' B' U2 B2
R' B' U B U B
U' R B' F' R2 U2 D
U' R B' F' R2 U2 D'
U' R B' F' R2 U2 D2
U' R B' F' R2 D U2
U' R B' F' R2 D' U2
U' R B' F' R2 D2 U2
U' R B' F' U2 D2 L2
R U' R2 F B' U2 B2
U' R B' F' D2 U2 L2
U' R B' F2 R2 F U2
R U' R2 F' B' U2 B2
R U' R2 F2 B' U2 B2
U R B' R2 U2 B R'
R U' R2 B' U2 B2 D
R U' R2 B' U2 B2 D'
R U' R2 B' U2 B2 D2
R U' R2 B' D2 F2 U2
R U' R2 B' F U2 B2
R U' R2 B' F' U2 B2
R U' R2 B' F2 U2 B2
U' R B2 R2 U2 F' B
U' R B2 R2 U2 B F'
U' R B2 F' R2 U2 F'
R U' D2 F' U2 L2 F
R U' D2 F' B' U2 L2
R U' D2 B' F' U2 L2
R U' F R2 F2 B' U2
R U' F R2 B' F2 U2
L2 U' F' R' U2 F2 B
L2 U' F' R' U2 B F2
U' R' U L2 U F B
U' R' U L2 U B F
U R' L2 U2 B R F
R U' F B' R2 F2 U2
R U' F' R B' R U2
R U' F' R2 D B' U2
R U' F' R2 D' B' U2
R U' F' R2 D2 B' U2
R U' F' R2 B' U2 D
R U' F' R2 B' U2 D'
R U' F' R2 B' U2 D2
R U' F' R2 B' D U2
R U' F' R2 B' D' U2
R U' F' R2 B' D2 U2
R U' F' U2 D2 L2 F
R U' F' D2 U2 L2 F
U' R' U' L2 U' F B
U' R' U' L2 U' B F
R U' F' D2 B' U2 L2
R U' F' B R2 B2 U2
R U' F' B' R2 U2 D
R U' F' B' R2 U2 D'
R U' F' B' R2 U2 D2
R U' F' B' R2 D U2
R U' F' B' R2 D' U2
R U' F' B' R2 D2 U2
R U' F' B' U2 D2 L2
R U' F' B' D2 U2 L2
R U' F' B2 R2 U2 F'
R U' F2 R2 F B' U2
R U' F2 R2 B' F U2
U' R' U2 L2 F L2 B
U' R' U2 L2 F B L2
U' R' U2 L2 B F L2
R U' F2 B' R2 F U2
U' R' U2 D B D2 F2
U' R' U2 D' B D2 F2
U' R' U2 D2 B D2 F2
U' R' U2 F B D2 F2
U' R' U2 F' B D2 F2
R U' B R2 B2 U2 B'
U' R' U2 F2 B D2 F2
R' U' B' U' B U' B
U' R' U2 B U2 B2 U2
U' R' U2 B D2 F2 D
U' R' U2 B D2 F2 D'
U' R' U2 B D2 F2 D2
U' R' U2 B F D2 F2
U' R' U2 B F' D2 F2
U' R' U2 B F2 D2 F2
R2 U' B' R U' R2 U'
R2 U' B' R U2 D B2
R2 U' B' R D U2 B2
R2 U' B' R D' F2 U2
R U' B F' R2 B2 U2
U' R' D U2 B D2 F2
U' R' D F B' U2 B2
U R' U2 B R D2 F2
U' R' D F' B' U2 B2
U R' U2 B D2 R F2
R U' B' R2 U2 D B
R U' B' R2 U2 D' B
R U' B' R2 U2 D2 B
R U' B' R2 U2 B D
R U' B' R2 U2 B D'
R U' B' R2 U2 B D2
R U' B' R2 D U2 B
R U' B' R2 D' U2 B
R U' B' R2 D2 U2 B
R U' B' R2 F U2 B
R U' B' R2 F' U2 B
R U' B' R2 F2 U2 B
U' R' D F2 B' U2 B2
U' R' D B' U2 B2 D
U' R' D B' U2 B2 D'
U' R' D B' U2 B2 D2
U' R' D B' D2 F2 U2
U' R' D B' F U2 B2
U' R' D B' F' U2 B2
U' R' D B' F2 U2 B2
R U' B' D2 F' U2 L2
R U' B' F R2 F2 U2
R U' B' F' R2 U2 D
R U' B' F' R2 U2 D'
R U' B' F' R2 U2 D2
R U' B' F' R2 D U2
R U' B' F' R2 D' U2
R U' B' F' R2 D2 U2
R U' B' F' U2 D2 L2
R U' B' F' D2 U2 L2
R U' B' F2 R2 F U2
U' R' D' U2 B D2 F2
U' R' D' F B' U2 B2
U' R' D' F' B' U2 B2
R U' B2 R2 U2 F' B
R U' B2 R2 U2 B F'
U' R' D' F2 B' U2 B2
U R' D B' U2 R B2
U R' D B' U2 B2 R
U' R' D' B' U2 B2 D
U' R' D' B' U2 B2 D'
U' R' D' B' U2 B2 D2
U' R' D' B' D2 F2 U2
U' R' D' B' F U2 B2
U' R' D' B' F' U2 B2
U' R' D' B' F2 U2 B2
R U' B2 F' R2 U2 F'
U' R' D2 U2 B D2 F2
U' R' D2 F B' U2 B2
U' R' D2 F' B' U2 B2
U' R' D2 F2 B' U2 B2
U R' D' B' U2 R B2
U R' D' B' U2 B2 R
U' R' D2 B' U2 B2 D
U' R' D2 B' U2 B2 D'
U' R' D2 B' U2 B2 D2
U' R' D2 B' D2 F2 U2
U' R' D2 B' F U2 B2
U' R' D2 B' F' U2 B2
U' R' D2 B' F2 U2 B2
R' U2 L2 U' F L2 B
R' U2 L2 U' F B L2
R' U2 L2 U' B F L2
U' R' F U2 B D2 F2
U' R' F D B' U2 B2
U' R' F D' B' U2 B2
U R' D2 B' U2 R B2
U' R' F D2 B' U2 B2
U R' D2 B' U2 B2 R
U' R' F B' U2 B2 D
U' R' F B' U2 B2 D'
U' R' F B' U2 B2 D2
U' R' F B' D2 F2 U2
U' R' F' U2 B D2 F2
U' R' F' D B' U2 B2
U' R' F' D' B' U2 B2
U' R' F' D2 B' U2 B2
U' R' F' B' U2 B2 D
U' R' F' B' U2 B2 D'
U' R' F' B' U2 B2 D2
U' R' F' B' D2 F2 U2
U' R' F2 U2 B D2 F2
U' R' F2 D B' U2 B2
U' R' F2 D' B' U2 B2
U' R' F2 D2 B' U2 B2
U' R' F2 B' U2 B2 D
U' R' F2 B' U2 B2 D'
U' R' F2 B' U2 B2 D2
U' R' F2 B' D2 F2 U2
B R' B L D' R2 F'
U R' F2 B' L' U2 B2
U' R' B' L' U2 B2 R'
U' R' B' R U2 B2 L
B R' B D' L R2 F'
B R' B D' R2 L F'
B R' B D' R2 F' L
U' R' B' U L U B2
U' R' B' U L' U B2
U' R' B' U L2 U B2
U' R' B' U D L2 U
F' R' B' U B U B
U' R' B' U' R U' B2
U' R' B' U' R' U' B2
U' R' B' U' R2 U' B2
U' R' B' U' D' R2 U'
U' R' B' U2 L B2 L'
U' R' B' U2 L2 B2 L2
U' R' B' U2 R' B2 R
U' R' B' U2 R2 B2 R2
U' R' B' U2 B D B
U' R' B' U2 B D' B
U' R' B' U2 B D2 B
U' R' B' U2 B' D B'
U' R' B' U2 B' D' B'
U' R' B' U2 B' D2 B'
U' R' B' D U L2 U
U' R' B' D' U' R2 U'
F2 R' B' U B U B
U' R' B' D2 F2 U2 D
U' R' B' D2 F2 U2 D'
U' R' B' D2 F2 U2 D2
U' R' B' D2 F2 D U2
U' R' B' D2 F2 D' U2
U' R' B' D2 F2 D2 U2
U' R' B' F U2 B2 D
U' R' B' F U2 B2 D'
U' R' B' F U2 B2 D2
U' R' B' F D2 F2 U2
U' R' B' F' U2 B2 D
U' R' B' F' U2 B2 D'
U' R' B' F' U2 B2 D2
U' R' B' F' D2 F2 U2
U' R' B' F2 U2 B2 D
U' R' B' F2 U2 B2 D'
U' R' B' F2 U2 B2 D2
U' R' B' F2 D2 F2 U2
U2 R' B' U2 B2 D' R2
D R' B' U L B U
U R' B' L U2 R B2
U R' B' L U2 B2 R
U R' B' L' U2 R B2
U R' B' L' U2 B2 R
U R' B' L2 U2 R B2
U R' B' L2 U2 B2 R
F R' B' U B U B
U R' B' U2 R B2 D
U R' B' U2 R B2 D'
U R' B' U2 R B2 D2
U R' B' U2 R' B2 R2
U' R' B2 U2 B' D2 F2
U R' B' U2 B' R B'
U R' B' U2 B2 R D
U R' B' U2 B2 R D'
U R' B' U2 B2 R D2
U R' B' U2 B2 D R
U R' B' U2 B2 D' R
U R' B' U2 B2 D2 R
U' R' B2 D B U2 B2
U' R' B2 D' B U2 B2
U' R' B2 D2 B U2 B2
U R' B' D2 F2 L' U2
U R' B' F2 L' U2 B2
R' U2 B D2 F2 D R2
U' R2 D R B' U2 B2
U' R2 D B' R U2 B
U' R2 D' R B' U2 B2
U' R2 D' B' R U2 B
U' R2 D2 R B' U2 B2
U' R2 D2 B' R U2 B
U' R2 F2 B' U2 L' B'
U' R2 B R B2 U2 B'
U' R2 B' R U2 D B
U' R2 B' R U2 D' B
U' R2 B' R U2 D2 B
U' R2 B' R U2 B D
U' R2 B' R U2 B D'
U' R2 B' R U2 B D2
U' R2 B' R D U2 B
U' R2 B' R D' U2 B
U' R2 B' R D2 U2 B
U' R2 B' R F U2 B
U' R2 B' R F' U2 B
U' R2 B' R F2 U2 B
U' R2 B' R' F' R2 U2
U' R2 B' D R U2 B
U' R2 B' D' R U2 B
U' R2 B' D2 R U2 B
U' R2 B' F2 U2 L' B'
U R2 B' R U2 B R
D2 U L B2 L F B
D2 U L B2 L B F
U' D R' B' U L U
F' U R' B' U2 R B2
F' U R' B' U2 B2 R
F2 U R' B' U2 R B2
F2 U R' B' U2 B2 R
R' D B' U B U B
F U R' B' U2 R B2
F U R' B' U2 B2 R
D2 U B2 L B' D2 F2
B' U B U' R' U2 B
D U' R' B' U L U
F' U' R F' R2 B' U2
F' U' R F' B' R2 U2
F' U' R B' R2 U2 B
F' U' R B' F' R2 U2
F2 U' R F' R2 B' U2
F2 U' R F' B' R2 U2
F2 U' R B' R2 U2 B
F2 U' R B' F' R2 U2
F' U' R' U2 B D2 F2
F' U' R' D B' U2 B2
F' U' R' D' B' U2 B2
F' U' R' D2 B' U2 B2
R D' F2 L2 U F B'
R D' F2 L2 U B' F
F' U' R' F B' U2 B2
F2 U' R' U2 B D2 F2
F' U' R' F' B' U2 B2
F2 U' R' D B' U2 B2
F' U' R' F2 B' U2 B2
F2 U' R' D' B' U2 B2
F2 U' R' D2 B' U2 B2
F' U' R' B' U2 B2 D
F' U' R' B' U2 B2 D'
F' U' R' B' U2 B2 D2
F' U' R' B' D2 F2 U2
F' U' R' B' F U2 B2
F' U' R' B' F' U2 B2
F' U' R' B' F2 U2 B2
F2 U' R' F B' U2 B2
F2 U' R' F' B' U2 B2
R D' F2 U' F B' U2
R D' F2 U' B' F U2
F U' R F' R2 B' U2
F2 U' R' F2 B' U2 B2
F U' R F' B' R2 U2
R' D' B' U B U B
F2 U' R' B' U2 B2 D
F2 U' R' B' U2 B2 D'
F2 U' R' B' U2 B2 D2
F2 U' R' B' D2 F2 U2
F2 U' R' B' F U2 B2
F2 U' R' B' F' U2 B2
F2 U' R' B' F2 U2 B2
F U' R B' R2 U2 B
F U' R B' F' R2 U2
F U' R' U2 B D2 F2
F U' R' D B' U2 B2
F' U' R2 B' R U2 B
F U' R' D' B' U2 B2
F U' R' D2 B' U2 B2
F U' R' F B' U2 B2
F U' R' F' B' U2 B2
F2 U' R2 B' R U2 B
F U' R' F2 B' U2 B2
F U' R' B' U2 B2 D
F U' R' B' U2 B2 D'
F U' R' B' U2 B2 D2
F U' R' B' D2 F2 U2
F U' R' B' F U2 B2
F U' R' B' F' U2 B2
F U' R' B' F2 U2 B2
F U' R2 B' R U2 B
D2 U' B' U2 L B' L
D2 U' B' U2 B' L B'
F' U' F R' B' U2 B2
F2 U' F R' B' U2 B2
F' U' F' R' B' U2 B2
F2 U' F' R' B' U2 B2
F U' F R' B' U2 B2
F' U' F2 R' B' U2 B2
F2 U' F2 R' B' U2 B2
F U' F' R' B' U2 B2
U D2 L B2 L F B
U D2 L B2 L B F
F U' F2 R' B' U2 B2
R D2 R2 U L2 F B
R D2 R2 U L2 B F
L2 D2 U F B2 L B'
L2 D2 U B2 F L B'
R D2 U L2 F D2 B2
R D2 U F2 L2 F B'
R D2 U F2 L2 B' F
R D2 U' F' U2 L2 F
R D2 U' F' B' U2 L2
R D2 U' B' F' U2 L2
R D2 F2 U L2 F B'
R D2 F2 U L2 B' F
R' D2 B' U B U B
U' D2 B' U2 L B' L
U' D2 B' U2 B' L B'
U D2 B2 L B' D2 F2
U' F R F' R2 B' U2
U' F R F' B' R2 U2
U' F R B' R2 U2 B
U' F R B' F' R2 U2
U' F R' U2 B D2 F2
U' F R' D B' U2 B2
U' F R' D' B' U2 B2
U' F R' D2 B' U2 B2
U' F R' F B' U2 B2
U' F R' F' B' U2 B2
U' F R' F2 B' U2 B2
U' F R' B' U2 B2 D
U' F R' B' U2 B2 D'
U' F R' B' U2 B2 D2
U' F R' B' D2 F2 U2
U' F R' B' F U2 B2
U' F R' B' F' U2 B2
U' F R' B' F2 U2 B2
U' F R2 B' R U2 B
U F R' B' U2 R B2
U F R' B' U2 B2 R
R F U D2 L2 F B2
R F U D2 L2 B2 F
R F U' R2 F2 B' U2
R F U' R2 B' F2 U2
R F U' F2 R2 B' U2
R F U' F2 B' R2 U2
R F U' B' R2 F2 U2
R F U' B' F2 R2 U2
U F U2 R' B' U2 B2
R F D' L2 F2 U F'
R F D' F2 L2 U F
R' F B' U B U B
R F D2 U L2 F B2
R F D2 U L2 B2 F
U' F' R F' R2 B' U2
U' F' R F' B' R2 U2
U' F' R B' R2 U2 B
U' F' R B' F' R2 U2
U' F' R' U2 B D2 F2
U' F' R' D B' U2 B2
U' F' R' D' B' U2 B2
U' F' R' D2 B' U2 B2
U' F' R' F B' U2 B2
U' F' R' F' B' U2 B2
U' F' R' F2 B' U2 B2
U' F' R' B' U2 B2 D
U' F' R' B' U2 B2 D'
U' F' R' B' U2 B2 D2
U' F' R' B' D2 F2 U2
U' F' R' B' F U2 B2
U' F' R' B' F' U2 B2
U' F' R' B' F2 U2 B2
U' F' R2 B' R U2 B
U F' R' B' U2 R B2
U F' R' B' U2 B2 R
R F' R2 B' U B U
L2 F' U' R' U2 F2 B
L2 F' U' R' U2 B F2
U F' U2 R' B' U2 B2
R' F' B' U B U B
B2 D' R2 D' L F' B'
B2 D' R2 D' L B' F'
B2 D' R2 D' F' L B'
R F' B' R2 U' F' U'
U' F2 R F' R2 B' U2
U' F2 R F' B' R2 U2
U' F2 R B' R2 U2 B
U' F2 R B' F' R2 U2
U' F2 R' U2 B D2 F2
U' F2 R' D B' U2 B2
U' F2 R' D' B' U2 B2
U' F2 R' D2 B' U2 B2
U' F2 R' F B' U2 B2
U' F2 R' F' B' U2 B2
U' F2 R' F2 B' U2 B2
U' F2 R' B' U2 B2 D
U' F2 R' B' U2 B2 D'
U' F2 R' B' U2 B2 D2
U' F2 R' B' D2 F2 U2
U' F2 R' B' F U2 B2
U' F2 R' B' F' U2 B2
U' F2 R' B' F2 U2 B2
U' F2 R2 B' R U2 B
U F2 R' B' U2 R B2
U F2 R' B' U2 B2 R
D' F2 U' R' F' B' U2
D' F2 U' R' B' F' U2
B2 D2 L D R2 F' B'
B2 D2 L D R2 B' F'
R F2 U D2 L2 F B'
R F2 U D2 L2 B' F
R F2 U' R2 F B' U2
R F2 U' R2 B' F U2
R F2 U' F R2 B' U2
R F2 U' F B' R2 U2
R F2 U' B' R2 F U2
R F2 U' B' F R2 U2
U F2 U2 R' B' U2 B2
R' F2 B' U B U B
R F2 D2 U L2 F B'
R F2 D2 U L2 B' F
U' B R' B2 U2 B' L
U B D2 F2 B L B'
U B D2 B L F2 B'
U B D2 B L B' F2
U B D2 B F2 L B'
R' B' L U B U B
R' B' L' U B U B
R' B' L2 U B U B
U' B' R D2 F' R U2
U' B' R' U2 B' L B2
R2 B' R U2 D B R'
R2 B' R D U2 B R'
U' B' R2 U2 L' B' L
R' B' U L B U B
R' B' U L' B U B
R' B' U L2 B U B
R' B' U D L2 B U
R' B' U D B L2 U
R' B' U B L U B
R' B' U B L' U B
R' B' U B L2 U B
R' B' U B U D B
R' B' U B U D' B
R' B' U B U D2 B
R' B' U B U B D
R' B' U B U B D'
R' B' U B U B D2
R' B' U B D U B
R' B' U B D' U B
R' B' U B D2 U B
R' B' U' R2 F' U' B2
R' B' U' D' R2 F' U'
R B' R2 U' F' U' B
U' B' U2 B' D2 L B'
R' B' U2 B' D' R2 B'
R' B' U2 B' D' B' R2
R' B' U2 B2 U' B' U
R' B' D U L2 B U
R' B' D U B L2 U
R' B' D' U' R2 F' U'
R' B' D2 F2 U B U
R' B' F U B U B
R' B' F' U B U B
R' B' F2 U B U B
D2 B2 L D' R2 F' B'
D2 B2 L D' R2 B' F'
R B' F' R2 U' F' U'
U' B2 R' U2 L F B
U' B2 R' U2 L B F
R' B2 U2 D' R2 F' B'
R' B2 U2 D' R2 B' F'
R' B2 D L2 F B U2
R' B2 D L2 B F U2
R' B2 D B L2 U2 B2
D' B2 D' L R2 F' B'
D' B2 D' L R2 B' F'
R' B2 D' U2 R2 F' B'
R' B2 D' U2 R2 B' F'
D' B2 D' R2 L F' B'
D' B2 D' R2 L B' F'
D' B2 D' R2 F' L B'
R' B2 D' B U2 R2 B2
R' B2 D' B U2 B2 R2
U B2 D2 L B' D2 F2
