U' R2 F2 R F B
U' R2 F2 R B F
D2 U L' F B U2
D2 U L' B F U2
D2 U B L' F U2
F' U' R2 F' R B
U D2 L' F B U2
U D2 L' B F U2
U D2 B L' F U2
U' F' R2 F' R B
U B D2 L' F U2
U D2 L' F D2 B U2
U D2 L' F B U2 D
U D2 L' F B U2 D'
U D2 L' F B U2 D2
U D2 L' F B D U2
U D2 L' F B D' U2
U D2 L' F B D2 U2
U D2 L' B D F U2
U D2 L' B D' F U2
U D2 L' B D2 F U2
U D2 L' B F U2 D
U D2 L' B F U2 D'
U D2 L' B F U2 D2
U D2 L' B F D U2
U D2 L' B F D' U2
U D2 L' B F D2 U2
F2 U' B' R' B R2 F'
L2 D2 U L B U2 B2
R D2 U L' F' U2 F2
U' D2 B L' F U2 L
U D2 B L' D F U2
U D2 B L' D' F U2
U D2 B L' D2 F U2
U D2 B L' F U2 D
U D2 B L' F U2 D'
U D2 B L' F U2 D2
U D2 B L' F D U2
U D2 B L' F D' U2
U D2 B L' F D2 U2
U D2 B' L' F B2 U2
U D2 B' L' B2 F U2
U' F R2 F R F2 B
U' F R2 F R B F2
U F B U2 B' R' B
D' F' R U' R F' R
D' F' R U' F' R F'
D' F' R F' U' R F'
U' F' R' D2 B R' F'
U' F' R' B R' F' R
U' F' R2 F' R D B
U' F' R2 F' R D' B
U' F' R2 F' R D2 B
U' F' R2 F' R B D
U' F' R2 F' R B D'
U' F' R2 F' R B D2
U' F' R2 F' D R B
U' F' R2 F' D' R B
U' F' R2 F' D2 R B
U' F' R2 F' B R B
U' F' R2 F' B' R B
U' F' R2 F' B2 R B
U' F' R2 B F' R B
U' F' R2 B' F' R B
U' F' R2 B2 F' R B
U F' U2 R2 F' R B
U' F2 R' B R' F' R'
R F2 L2 U' R F' B'
R F2 L2 U' R B' F'
R F2 L2 U' B' R F'
U' F2 R2 F' R B R2
R2 F2 R' U' R2 F B
R2 F2 R' U' R2 B F
R2 F2 R2 U' R' F B
R2 F2 R2 U' R' B F
R2 F2 R2 U' F R' B
D' F2 U B U2 R B
D' F2 U' R2 F' R' B
R F2 U' R F' D2 B2
B D2 L' D F U2 L'
U' F2 B' R' B R2 F'
U F2 B U2 R' B R2
U' B L' R F' U2 L
U' B L' R' U2 L B
U' B L' U2 D2 L B'
U' B L' D2 U2 L B'
D2 B L' D F U2 L'
U' B R L' F' U2 L
U B L' R F' R' U2
U B L' U' R' U' B
U B L' U2 R' B R
U' B R' L' U2 L B
L' B R F' U' B' U'
L' B R' U' B' U' B2
U B L2 U2 B2 R' B
L' B R' U2 B D L2
U B L2 D2 L U2 B'
U B R L' F' R' U2
L' B R2 U' B' R' U'
L' B U' R' B' U' B2
L' B U' B' R' U' B
U' B D2 L' F U2 L
U B D2 L' D F U2
U B D2 L' D' F U2
U B D2 L' D2 F U2
U B D2 L' F U2 D
U B D2 L' F U2 D'
U B D2 L' F U2 D2
U B D2 L' F D U2
U B D2 L' F D' U2
U B D2 L' F D2 U2
U B F U2 B' R' B
U' B' L' B2 R' U2 B
U B F2 U2 R' B R2
U' B' R' D2 F2 B R
U' B' R' D2 B F2 R
U B' L2 B2 U2 R' B
U' B' R2 D2 F2 R B
U B' D2 L' F U2 F
U' B' F2 R' B R2 F'
U' B2 R' B D2 F2 R
L2 B2 R' D L2 F B
L2 B2 R' D L2 B F
U B2 D2 B' L' F U2
