D' L' F2 B2
D' L' B2 F2
D' B2 L' F2
D' L F2 L2 B2
D' L F2 B2 L2
D' L B2 L2 F2
D' L B2 F2 L2
D L' D2 F2 B2
D L' D2 B2 F2
L2 R2 U L R2
R2 L2 U L R2
L2 R2 U R2 L
R2 L2 U R2 L
D' L' F2 B2 D
D' L' F2 B2 D'
D' L' F2 B2 D2
U' L2 R2 U L
D' L' B2 F2 D
D' L' B2 F2 D'
D' L' B2 F2 D2
D' L2 F2 L B2
L' U' L' R2 U
L' U' R2 L' U
U' R2 L2 U L
B' D' L' F2 B2
B' D' L' B2 F2
B2 D' L' F2 B2
B2 D' L' B2 F2
B D' L' F2 B2
B D' L' B2 F2
F2 D' F2 L' B2
B' D' B2 L' F2
F2 D' F2 B2 L'
B2 D' B2 L' F2
B D' B2 L' F2
F2 D' B2 F2 L'
D' B L' F2 B
D' B L' B F2
D' B2 L F2 L2
D' B2 L' F2 D
D' B2 L' F2 D'
D' B2 L' F2 D2
D' B2 L2 F2 L
R2 L2 F U L R2
R2 L2 F U R2 L
D2 L2 R2 U' L R2
U' L2 R2 D U L
D2 L2 R2 U' R2 L
B' L2 R2 U L R2
B' L2 R2 U R2 L
U' L2 R2 D' U L
U' L2 R2 D2 U L
B2 L2 R2 U L R2
U' L2 R2 F U L
B2 L2 R2 U R2 L
U' L2 R2 F' U L
U' L2 R2 F2 U L
U' L2 U L D' F2
L2 R2 F' U L R2
L2 R2 F' U R2 L
B L2 R2 U L R2
B L2 R2 U R2 L
R2 L2 F' U L R2
R2 L2 F' U R2 L
U' L2 U D' L F2
U' L2 U D' F2 L
L2 R2 F2 U L R2
L2 R2 F2 U R2 L
R2 L2 F2 U L R2
R2 L2 F2 U R2 L
U' L2 D' U L F2
U' L2 D' U F2 L
D L2 D2 L F2 B2
D L2 D2 L B2 F2
D L2 D2 F2 L B2
U' L2 F R2 U L
D' L2 F' L F' B2
D' L2 F' L B2 F'
U' L2 F' R2 U L
D' L2 F2 L B2 D
D' L2 F2 L B2 D'
D' L2 F2 L B2 D2
D' L2 F2 L' B2 L2
D' L2 F2 L2 B2 L'
U' L2 F2 R2 U L
R2 U R2 D' L' B2
R2 U R2 D' B2 L'
D' R L' F2 R' B2
L' U' L' R2 U D
L' U' L' R2 U D'
L' U' L' R2 U D2
L' U' L' R2 D U
L' U' L' R2 D' U
L' U' L' R2 D2 U
L' U' L' U D' F2
L' U' L' D' U F2
L U' L R2 U L
L' U' R2 L' U D
L' U' R2 L' U D'
L' U' R2 L' U D2
L' U' R2 L' D U
L' U' R2 L' D' U
L' U' R2 L' D2 U
L' U' R2 D L' U
L' U' R2 D' L' U
L' U' R2 D2 L' U
L' U' D' L' U F2
L U' R2 L U L
D' R' L' B2 R F2
D' R' B2 L' R F2
D' R' B2 R L' F2
B' R2 L2 U L R2
D' R2 L' F2 R2 B2
B' R2 L2 U R2 L
U' R2 L2 U L D
U' R2 L2 U L D'
U' R2 L2 U L D2
D' R2 L' F2 B2 R2
U' R2 L2 U D L
U' R2 L2 U D' L
U' R2 L2 U D2 L
B2 R2 L2 U L R2
B2 R2 L2 U R2 L
D' R2 L' B2 R2 F2
D' R2 L' B2 F2 R2
D2 R2 L2 U' L R2
U' R2 L2 D U L
D2 R2 L2 U' R2 L
U' R2 L2 D' U L
U' R2 L2 D2 U L
U' R2 L2 F U L
U' R2 L2 F' U L
U' R2 L2 F2 U L
B R2 L2 U L R2
B R2 L2 U R2 L
U' R2 U D' L' B2
U' R2 U D' B2 L'
U' R2 D' U L' B2
U' R2 D' U B2 L'
D' R2 F2 R2 B2 L
D' R2 B2 L' R2 F2
D' R2 B2 L' R2 F2
D' R2 B2 L' F2 R2
D' R2 B2 R2 L' F2
D2 U L2 R2 U' L
D2 U R2 L2 U' L
U2 D F2 R B2 U2
U2 D F2 B2 R U2
L' D' U' L' U F2
U2 D B2 F2 R U2
U2 D' L' F2 B2 R'
U2 D' L' B2 R' F2
U2 D' L' B2 F2 R'
L' D' F2 U R U'
B2 U' L2 R2 U L
B' U' L2 R2 U L
B U' L2 R2 U L
B2 U' R2 L2 U L
B' U' R2 L2 U L
B U' R2 L2 U L
D' U2 L' F2 B2 R'
D' U2 L' B2 R' F2
D' U2 L' B2 F2 R'
U D2 L2 R2 U' L
U D2 R2 L2 U' L
D U2 F2 R B2 U2
D U2 F2 B2 R U2
D U2 B2 F2 R U2
L2 F R2 U L R2
L2 F R2 U R2 L
L2 F R2 U R2 L
B2 D L' D2 F2 B2
B2 D L' D2 B2 F2
B' D L' D2 F2 B2
B' D L' D2 B2 F2
B D L' D2 F2 B2
B D L' D2 B2 F2
L2 F' R2 U L R2
L2 F' R2 U R2 L
B' D' L F2 L2 B2
B' D' L F2 B2 L2
B2 D' L F2 L2 B2
B' D' L B2 L2 F2
B2 D' L F2 B2 L2
B' D' L B2 F2 L2
B2 D' L B2 L2 F2
B2 D' L B2 F2 L2
F2 D' L F2 L' B2
F2 D' L F2 B2 L'
F2 D' L B2 F2 L'
B' D' L' F2 B2 D
B' D' L' F2 B2 D'
B' D' L' F2 B2 D2
B2 D' L' F2 B2 D
B2 D' L' F2 B2 D'
B2 D' L' F2 B2 D2
B' D' L' B2 F2 D
B' D' L' B2 F2 D'
B' D' L' B2 F2 D2
B2 D' L' B2 F2 D
B2 D' L' B2 F2 D'
B2 D' L' B2 F2 D2
B D' L F2 L2 B2
B D' L F2 B2 L2
F2 D' L' F2 L' B2
F2 D' L' F2 B2 L'
B D' L B2 L2 F2
B D' L B2 F2 L2
F2 D' L' B2 F2 L'
B' D' L2 F2 L B2
B2 D' L2 F2 L B2
B D' L' F2 B2 D
B D' L' F2 B2 D'
B D' L' F2 B2 D2
F2 D' L2 F2 L' B2
F2 D' L2 F2 B2 L'
B D' L' B2 F2 D
B D' L' B2 F2 D'
B D' L' B2 F2 D2
F2 D' L2 B2 F2 L'
B D' L2 F2 L B2
F2 D' F2 L B2 L2
F2 D' F2 L' B2 D
F2 D' F2 L' B2 D'
F2 D' F2 L' B2 D2
B' D' B L' F2 B
B' D' B L' B F2
B2 D' B L' F2 B
B2 D' B L' B F2
F D' F' L' F' B2
F2 D' F2 B L' B
F D' F' L' B2 F'
F2 D' F2 B2 L' D
F2 D' F2 B2 L' D'
F2 D' F2 B2 L' D2
F2 D' F2 B2 D L'
F2 D' F2 B2 D' L'
F2 D' F2 B2 D2 L'
L2 F2 R2 U L R2
L2 F2 R2 U R2 L
D F2 R B2 L U2
F D' F' B2 L' F'
D' F2 R2 B2 L R2
D' F2 R2 B2 R2 L
F2 D' B F2 L' B
B D' B L' F2 B
B D' B L' B F2
B' D' B2 L F2 L2
B' D' B2 L' F2 D
B' D' B2 L' F2 D'
B' D' B2 L' F2 D2
B' D' B2 L2 F2 L
B2 D' B2 L F2 L2
B2 D' B2 L' F2 D
B2 D' B2 L' F2 D'
B2 D' B2 L' F2 D2
B2 D' B2 L2 F2 L
F2 D' B2 L F2 L'
F2 D' B2 L' F2 L'
F2 D' B2 L2 F2 L'
F2 D' B2 F2 L' D
F2 D' B2 F2 L' D'
F2 D' B2 F2 L' D2
F2 D' B2 F2 D L'
F2 D' B2 F2 D' L'
F2 D' B2 F2 D2 L'
D' F2 U2 R U2 B2
B D' B2 L F2 L2
B D' B2 L' F2 D
B D' B2 L' F2 D'
B D' B2 L' F2 D2
B D' B2 L2 F2 L
F D' B2 F' L' F'
D2 F2 D F2 L' B2
D2 F2 D F2 B2 L'
D2 F2 D B2 F2 L'
D' F2 B2 U2 R U2
D F2 B2 R U2 R'
D' B L F2 L2 B
D' B L F2 B L2
D' B L B L2 F2
D' B L B F2 L2
D' B L' F2 D B
D' B L' F2 D' B
D' B L' F2 D2 B
D' B L' F2 B D
D' B L' F2 B D'
D' B L' F2 B D2
D' B L' B F2 D
D' B L' B F2 D'
D' B L' B F2 D2
R2 B L2 U L R2
R2 B L2 U R2 L
D' B L2 F2 L B
L' B U' L' R2 U
L' B U' R2 L' U
D2 B D L' F2 B2
D2 B D L' B2 F2
D2 B D B2 L' F2
R2 B' L2 U L R2
R2 B' L2 U R2 L
L' B' U' L' R2 U
F2 B D' F2 L' B2
F2 B D' F2 B2 L'
F2 B D' B2 F2 L'
L' B' U' R2 L' U
D2 B' D L' F2 B2
D2 B' D L' B2 F2
D2 B' D B2 L' F2
D' B2 L F' L2 F'
D' B2 L F2 L2 D
D' B2 L F2 L2 D'
D' B2 L F2 L2 D2
D' B2 L' R F2 R'
D' B2 L' R2 F2 R2
D' B2 L' F D F
D' B2 L' F D' F
D' B2 L' F D2 F
F2 B' D' F2 L' B2
D' B2 L' F' D F'
F2 B' D' F2 B2 L'
D' B2 L' F' D' F'
D' B2 L' F' D2 F'
F2 B' D' B2 F2 L'
R2 B2 L2 U L R2
R2 B2 L2 U R2 L
D' B2 L2 F' L F'
D' B2 L2 F2 L D
D' B2 L2 F2 L D'
D' B2 L2 F2 L D2
D' B2 L2 F2 D L
D' B2 L2 F2 D' L
D' B2 L2 F2 D2 L
D' B2 R L' F2 R'
L' B2 U' L' R2 U
L' B2 U' R2 L' U
D' B2 R2 L' F2 R2
D2 B2 D L' F2 B2
D2 B2 D L' B2 F2
D' B2 D L' D' F2
D2 B2 D B2 L' F2
D' B2 D2 L' D2 F2
B' F2 D' F2 L' B2
B' F2 D' F2 B2 L'
B' F2 D' B2 F2 L'
F2 B2 D' F2 L' B2
B2 F2 D' F2 L' B2
B2 F2 D' F2 B2 L'
F2 B2 D' F2 B2 L'
B2 F2 D' B2 F2 L'
F2 B2 D' B2 F2 L'
D' B2 F2 U2 R U2
B F2 D' F2 L' B2
B F2 D' F2 B2 L'
L2 R U L R' D' F2
B F2 D' B2 F2 L'
D B2 F2 R U2 R'
L2 R U R' L D' F2
L2 R U R' D' L F2
L2 R U R' D' F2 L
D' L R F2 L2 R' B2
D' L R F2 R' L2 B2
D' L R F2 R' B2 L2
D' L R B2 L2 F2 R
L' R U' L' R U R2
L' R U' R L' U R2
D' L R' F2 L2 B2 R'
D' L R' B2 L2 R F2
D' L R' B2 R L2 F2
D' L R' B2 R F2 L2
U' L R2 D L F2 U
U' L R2 D F2 L U
U' L R2 F L U L
U' L R2 F' L U L
U' L R2 F2 L U L
D' L R2 F2 L2 R2 B2
D' L R2 F2 L2 B2 R2
D' L R2 F2 R2 L2 B2
D' L R2 F2 R2 B2 L2
D' L R2 F2 B2 L2 R2
D' L R2 F2 B2 R2 L2
D' L R2 B2 L2 R2 F2
D' L R2 B2 L2 F2 R2
D' L R2 B2 R2 L2 F2
D' L R2 B2 R2 F2 L2
D' L R2 B2 F2 L2 R2
D' L R2 B2 F2 R2 L2
D2 L U L R2 U' L
D2 L U R2 L U' L
R2 L D L F2 B2 U
R2 L D L B2 F2 U
L2 R D R U L R2
L2 R D R U R2 L
B' L U' L R2 U L
B2 L U' L R2 U L
B L U' L R2 U L
R2 L D F2 L B2 U
B' L U' R2 L U L
B2 L U' R2 L U L
B L U' R2 L U L
L2 R D' R U L R2
L2 R D' R U R2 L
U L U2 L R2 U L
U L U2 R2 L U L
L2 R D2 R U L R2
L2 R D2 R U R2 L
D L U2 F2 B2 U2 L2
D L U2 B2 F2 U2 L2
R2 L F L U L R2
R2 L F L U R2 L
R2 L F' L U L R2
R2 L F' L U R2 L
F2 L D' F2 L' D' B2
L2 R F' U L R' F
L2 R F' U L F R'
L2 R F' U R' L F
U L D' B2 R' U' F2
R2 L F2 L U L R2
R2 L F2 L U R2 L
D L D2 F2 B2 D2 L2
U' L F L R2 U L
D L D2 B2 F2 D2 L2
F' L F L' D' F2 B2
F' L F L' D' B2 F2
D L F L2 D2 F2 B'
D L F L2 D2 B' F2
U' L F R2 L U L
D L F B' L2 F B'
D L F B' L2 B' F
D' L F' L F' L B2
U' L F' L R2 U L
D' L F' L' B2 L' F'
D' L F' L2 F' B2 D
D' L F' L2 F' B2 D'
D' L F' L2 F' B2 D2
D' L F' L2 B2 D F'
D' L F' L2 B2 D' F'
D' L F' L2 B2 D2 F'
D' L F' L2 B2 F' D
D' L F' L2 B2 F' D'
D' L F' L2 B2 F' D2
F L F' L' D' F2 B2
F L F' L' D' B2 F2
U' L F' R2 L U L
D' L F' B L2 F' B
D' L F' B L2 B F'
D' L F' B2 L F' L
D' L F' B2 L2 D F'
D' L F' B2 L2 D' F'
D' L F' B2 L2 D2 F'
D' L F' B2 L2 F' D
D' L F' B2 L2 F' D'
D' L F' B2 L2 F' D2
D' L F2 L' B L' B
U' L F2 L R2 U L
D' L F2 L' B2 L' D
D' L F2 L' B2 L' D'
D' L F2 L' B2 L' D2
D' L F2 L' B2 D L'
D' L F2 L' B2 D' L'
D' L F2 L' B2 D2 L'
D' L F2 L2 R' B2 R
D' L F2 L2 R2 B2 R2
D' L F2 L2 B D B
D' L F2 L2 B D' B
D' L F2 L2 B D2 B
D' L F2 L2 B' D B'
D' L F2 L2 B' D' B'
D' L F2 L2 B' D2 B'
F2 L F2 L' D' F2 B2
F2 L F2 L' D' B2 F2
D' L F2 R' L2 B2 R
D' L F2 R' B2 L2 R
D' L F2 R' B2 R L2
D' L F2 R2 L2 B2 R2
D' L F2 R2 B2 L2 R2
D' L F2 R2 B2 R2 L2
U' L F2 R2 L U L
D' L F2 B L' B L'
D' L F2 B L2 D B
D' L F2 B L2 D' B
D' L F2 B L2 D2 B
D' L F2 B L2 B D
D' L F2 B L2 B D'
D' L F2 B L2 B D2
D' L F2 B2 L D L
D' L F2 B2 L D' L
D' L F2 B2 L D2 L
D' L F2 B2 L' D L'
D' L F2 B2 L' D' L'
D' L F2 B2 L' D2 L'
D' L B L F2 L B
D' L B L' B L' F2
D' L B L2 F2 D B
D' L B L2 F2 D' B
D' L B L2 F2 D2 B
D' L B L2 F2 B D
D' L B L2 F2 B D'
D' L B L2 F2 B D2
D' L B L2 B F2 D
D' L B L2 B F2 D'
D' L B L2 B F2 D2
L2 R' U L R D' F2
L2 R' U R L D' F2
L2 R' U R D' L F2
L2 R' U R D' F2 L
D' L B F' L2 F' B
D' L B F' L2 B F'
D' L B F2 L' B L'
D' L B F2 L2 D B
D' L B F2 L2 D' B
D' L B F2 L2 D2 B
D' L B F2 L2 B D
D' L B F2 L2 B D'
D' L B F2 L2 B D2
D L B' L2 D2 F B2
D L B' L2 D2 B2 F
L' R' U' L' R' U R2
R' L' U' L' R' U R2
R' L' U' R' L' U R2
L' R' U' R' L' U R2
R L' U' L' R U R2
R L' U' R L' U R2
D L B' F L2 F B'
D L B' F L2 B' F
D' L B2 L F' L F'
D' L B2 L F2 L D
D' L B2 L F2 L D'
D' L B2 L F2 L D2
D' L B2 L F2 D L
D' L B2 L F2 D' L
D' L B2 L F2 D2 L
D' L B2 L2 R F2 R'
D' L B2 L2 R2 F2 R2
D' L B2 L2 F D F
D' L B2 L2 F D' F
D' L B2 L2 F D2 F
D' L B2 L2 F' D F'
D' L B2 L2 F' D' F'
D' L B2 L2 F' D2 F'
D' L B2 R L2 F2 R'
D' L B2 R F2 L2 R'
D' L B2 R F2 R' L2
D' L B2 R2 L2 F2 R2
D' L B2 R2 F2 L2 R2
D' L B2 R2 F2 R2 L2
D' L B2 F' L F' L
D' L B2 F' L2 D F'
D' L B2 F' L2 D' F'
D' L B2 F' L2 D2 F'
D' L B2 F' L2 F' D
D' L B2 F' L2 F' D'
D' L B2 F' L2 F' D2
D' L B2 F2 L D L
D' L B2 F2 L D' L
D' L B2 F2 L D2 L
D' L B2 F2 L' D L'
D' L B2 F2 L' D' L'
D' L B2 F2 L' D2 L'
D' L' R F R' F B2
D' L' R F R' B2 F
D L' R D2 R' F2 B2
D L' R D2 R' B2 F2
D' L' R F2 R B2 R2
D' L' R F2 R' B2 D
D' L' R F2 R' B2 D'
D' L' R F2 R' B2 D2
D L' R D2 F2 R' B2
D' L' R F2 R2 B2 R
L2 R' D R' U L R2
L2 R' D R' U R2 L
D L' R' D2 R F2 B2
D L' R' D2 R B2 F2
D L' R' D2 B2 R F2
D' L' R' B' R F2 B'
D' L' R' B' R B' F2
R2 L' D B2 L' U L
D' L' R' B2 R F2 D
D' L' R' B2 R F2 D'
D' L' R' B2 R F2 D2
D' L' R' B2 R' F2 R2
D' L' R' B2 R2 F2 R'
L2 R' D' R' U L R2
L2 R' D' R' U R2 L
U' L' R2 D L' U L
U' L' R2 D' L' U L
D' L' R2 F R2 F B2
D' L' R2 F R2 B2 F
U' L' R2 D2 L' U L
D' L' R2 F B2 R2 F
D' L' R2 F2 R B2 R
D' L' R2 F2 R2 B2 D
D' L' R2 F2 R2 B2 D'
D' L' R2 F2 R2 B2 D2
D' L' R2 F2 B' R2 B'
D' L' R2 F2 B2 R2 D
D' L' R2 F2 B2 R2 D'
D' L' R2 F2 B2 R2 D2
D' L' R2 B' R2 F2 B'
D' L' R2 B' R2 B' F2
D' L' R2 B' F2 R2 B'
D' L' R2 B2 R' F2 R'
D' L' R2 B2 R2 F2 D
D' L' R2 B2 R2 F2 D'
D' L' R2 B2 R2 F2 D2
D' L' R2 B2 F R2 F
D' L' R2 B2 F2 R2 D
D' L' R2 B2 F2 R2 D'
D' L' R2 B2 F2 R2 D2
D' L' U L U' F2 B2
D' L' U L U' B2 F2
D2 L' U L' R2 U' D
D2 L' U L' R2 U' D'
D2 L' U L' R2 U' D2
D2 L' U L' R2 D U'
D2 L' U L' R2 D' U'
D2 L' U L' R2 D2 U'
D2 L' U L' U' D B2
D2 L' U L' D U' B2
D' L' U L' U' F2 B2
D' L' U L' U' B2 F2
D' L' U L2 U' F2 B2
D' L' U L2 U' B2 F2
D' L' U R U' F2 B2
D' L' U R U' B2 F2
D2 L' U R2 L' U' D
D2 L' U R2 L' U' D'
D2 L' U R2 L' U' D2
D2 L' U R2 L' D U'
D2 L' U R2 L' D' U'
D2 L' U R2 L' D2 U'
D' L' U R' U' F2 B2
D' L' U R' U' B2 F2
D2 L' U R2 D L' U'
D2 L' U R2 D' L' U'
D2 L' U R2 D2 L' U'
D2 L' U D L' U' B2
D' L' U R2 U' F2 B2
D' L' U R2 U' B2 F2
L2 R' D2 R' U L R2
L2 R' D2 R' U R2 L
D' L' U D' L2 R2 U'
D' L' U D' R2 L2 U'
D L' U D L2 R2 U'
D L' U D R2 L2 U'
D' L' U' L U F2 B2
D' L' U' L U B2 F2
D' L' U' L' U F2 B2
D' L' U' L' U B2 F2
D' L' U' L2 U F2 B2
D' L' U' L2 U B2 F2
B' L' U' L' R2 U D
B' L' U' L' R2 U D'
B' L' U' L' R2 U D2
B' L' U' L' R2 D U
B' L' U' L' R2 D' U
B' L' U' L' R2 D2 U
B' L' U' L' U D' F2
B' L' U' L' D' U F2
D' L' U' R U F2 B2
D' L' U' R U B2 F2
B2 L' U' L' R2 U D
B2 L' U' L' R2 U D'
B2 L' U' L' R2 U D2
B2 L' U' L' R2 D U
B2 L' U' L' R2 D' U
B2 L' U' L' R2 D2 U
D' L' U' R' U F2 B2
D' L' U' R' U B2 F2
B2 L' U' L' U D' F2
B2 L' U' L' D' U F2
D' L' U' R2 U F2 B2
D' L' U' R2 U B2 F2
B L' U' L' R2 U D
B L' U' L' R2 U D'
B L' U' L' R2 U D2
B L' U' L' R2 D U
B L' U' L' R2 D' U
B L' U' L' R2 D2 U
B L' U' L' U D' F2
D' L' U' D L2 R2 U
B L' U' L' D' U F2
D' L' U' D R2 L2 U
B' L' U' R2 L' U D
B' L' U' R2 L' U D'
B' L' U' R2 L' U D2
B' L' U' R2 L' D U
B' L' U' R2 L' D' U
B' L' U' R2 L' D2 U
B' L' U' R2 D L' U
B' L' U' R2 D' L' U
B' L' U' R2 D2 L' U
U L' U' L' R2 U R2
B2 L' U' R2 L' U D
B2 L' U' R2 L' U D'
B2 L' U' R2 L' U D2
B2 L' U' R2 L' D U
B2 L' U' R2 L' D' U
B2 L' U' R2 L' D2 U
B' L' U' D' L' U F2
B2 L' U' R2 D L' U
B2 L' U' R2 D' L' U
B2 L' U' R2 D2 L' U
B L' U' R2 L' U D
B L' U' R2 L' U D'
B L' U' R2 L' U D2
B L' U' R2 L' D U
B L' U' R2 L' D' U
B L' U' R2 L' D2 U
B2 L' U' D' L' U F2
B L' U' R2 D L' U
D L' U' D' L2 R2 U
B L' U' R2 D' L' U
B L' U' R2 D2 L' U
D L' U' D' R2 L2 U
U L' U' R2 L' U R2
B L' U' D' L' U F2
D' L' U2 D2 F2 B2 U2
D' L' U2 D2 B2 F2 U2
D' L' U2 F U2 F B2
D' L' U2 F U2 B2 F
D' L' U2 F' U2 F' B2
D' L' U2 F' U2 B2 F'
D' L' U2 B U2 F2 B
D' L' U2 B U2 B F2
D' L' U2 B' U2 F2 B'
D' L' U2 B' U2 B' F2
D L' U2 F2 U2 D2 F2
D L' U2 F2 D2 U2 F2
D L' U2 F2 B2 U2 D
D L' U2 F2 B2 U2 D'
D L' U2 F2 B2 U2 D2
D L' U2 F2 B2 D U2
D L' U2 F2 B2 D' U2
D L' U2 F2 B2 D2 U2
D L' U2 B2 U2 D2 B2
D L' U2 B2 D2 U2 B2
D L' U2 B2 F2 U2 D
D L' U2 B2 F2 U2 D'
D L' U2 B2 F2 U2 D2
D L' U2 B2 F2 D U2
D L' U2 B2 F2 D' U2
D L' U2 B2 F2 D2 U2
D2 L' D U L' U' B2
D' L' D U' L2 R2 U
D' L' D U' R2 L2 U
D' L' D F D' F2 B2
D' L' D F D' B2 F2
D L' D U L2 R2 U'
D L' D U R2 L2 U'
D' L' D F' D' F2 B2
D' L' D F' D' B2 F2
D' L' D F2 D' F2 B2
D' L' D F2 D' B2 F2
D' L' D B D' F2 B2
D' L' D B D' B2 F2
D L' D F D F2 B2
D L' D F D B2 F2
D' L' D B' D' F2 B2
D' L' D B' D' B2 F2
D2 L' D B2 U L' U'
D L' D F' D F2 B2
D L' D F' D B2 F2
D' L' D B2 D' F2 B2
D' L' D B2 D' B2 F2
D L' D F2 D F2 B2
D L' D F2 D B2 F2
D L' D B D F2 B2
D L' D B D B2 F2
D L' D B' D F2 B2
D L' D B' D B2 F2
U' L' D' L' U L F2
U' L' D' L' U F2 L
D L' D B2 D F2 B2
D L' D B2 D B2 F2
R2 L' B L' U L R2
R2 L' B L' U R2 L
D' L' D' U L2 R2 U'
D' L' D' U R2 L2 U'
B' L' D' U' L' U F2
D' L' D' F D F2 B2
D' L' D' F D B2 F2
D' L' D' F' D F2 B2
D' L' D' F' D B2 F2
B2 L' D' U' L' U F2
D L' D' U' L2 R2 U
D L' D' U' R2 L2 U
D' L' D' F2 D F2 B2
D' L' D' F2 D B2 F2
B L' D' U' L' U F2
D' L' D' B D F2 B2
D' L' D' B D B2 F2
B' L' D' F2 U R U'
D' L' D' B' D F2 B2
D' L' D' B' D B2 F2
D L' D' F D' F2 B2
D L' D' F D' B2 F2
D' L' D' B2 D F2 B2
D' L' D' B2 D B2 F2
D L' D' F' D' F2 B2
D L' D' F' D' B2 F2
B2 L' D' F2 U R U'
D L' D' F2 D' F2 B2
D L' D' F2 D' B2 F2
B L' D' F2 U R U'
D L' D' B D' F2 B2
D L' D' B D' B2 F2
D L' D' B' D' F2 B2
D L' D' B' D' B2 F2
D L' D' B2 D' F2 B2
D L' D' B2 D' B2 F2
R2 L' B' L' U L R2
R2 L' B' L' U R2 L
D L' D2 L B2 L' F2
D L' D2 L' F2 L B2
D L' D2 L2 F2 L2 B2
D L' D2 L2 F2 B2 L2
D L' D2 L2 B2 L2 F2
D L' D2 L2 B2 F2 L2
D L' D2 R F2 R' B2
D' L' D2 U2 F2 B2 U2
D' L' D2 U2 B2 F2 U2
D L' D2 R' B2 R F2
D L' D2 R2 F2 R2 B2
D L' D2 R2 F2 B2 R2
D L' D2 R2 B2 R2 F2
D L' D2 R2 B2 F2 R2
D L' D2 F B2 D F
D L' D2 F B2 D' F
D L' D2 F B2 D2 F
D L' D2 F' B2 D F'
D L' D2 F' B2 D' F'
D L' D2 F' B2 D2 F'
D L' D2 F2 L B2 L'
