B' L D L2 B2 R'
B' L' D B2 L2 R'
B' L' D B2 R' L2
U' R2 U2 F' R2 U
B2 U B' R2 F' U'
F' U' B R2 U' F
F2 U' B R2 U' F2
B' D L' B2 L' R'
B' D L' B2 R' L'
B' D L2 B2 D2 R2
B' D B2 L2 D2 R2
B' D' R2 F2 U2 F2
B' D' F2 R2 U2 F2
D' F2 U' B U' F2
U' B R2 U' D' F2
U' B R2 U2 R2 U
U' B R2 D' U' F2
U' B R2 D2 L2 U'
U B R2 U2 B' U
U B' R2 F' B2 U'
U B' R2 B2 F' U'
L B' D L2 B2 R'
U2 B' D B2 L2 F
B' D L2 D2 R2 D2 B2
B' D L2 B D2 B R2
B' D L2 B' D2 R2 B'
B' D L2 B' D2 B' R2
B' D L2 B2 R D2 R2
B' D L2 B2 R' D2 R2
B' D L2 B2 R2 D2 R2
B' D L2 B2 U2 L2 U2
B' D L2 B2 D2 R2 D
B' D L2 B2 D2 R2 D'
B' D L2 B2 D2 R2 D2
B' D R L' B2 L' R'
B' D R L' B2 R' L'
B' D R L2 B2 D2 R2
B D L' B2 R' D L2
B D L' B2 D L2 R'
B D L' B2 D R' L2
B' D R B2 L2 D2 R2
B' D R' L' B2 L' R'
B' D R' L' B2 R' L'
B' D R' L2 B2 D2 R2
B' D R' B2 L2 D2 R2
B' D R2 L' B2 L' R'
B' D R2 L' B2 R' L'
B' D R2 L2 B2 D2 R2
B' D R2 B2 L2 D2 R2
U F B R2 U2 B' U
U2 F B' D B2 L2 F
F2 D U R2 F' U B2
U F B' R2 F' B2 U'
U F B' R2 B2 F' U'
F' D U' B U' F B
F' D U' B U' B F
B' D U2 L2 B2 D2 F2
B' D U2 B L2 F B
B' D U2 B L2 B F
B' D U2 B2 L2 D2 F2
B' D F U2 L2 F' B2
B' D F U2 L2 B2 F'
B' D F U2 F' L2 B2
B' D F U2 F' B2 L2
B' D F U2 B2 L2 F'
B' D F U2 B2 F' L2
F D U' B U' F' B
F D U' B U' B F'
B' D F' U2 F L2 B2
B' D F' U2 F B2 L2
B' D F' U2 B2 F L2
B' D F2 U2 L2 F2 B2
B' D F2 U2 L2 B2 F2
B' D F2 U2 F2 L2 B2
B' D F2 U2 F2 B2 L2
B' D F2 U2 B2 L2 F2
B' D F2 U2 B2 F2 L2
B' D B L2 D2 B R2
B' D B L2 B D2 R2
B' D B U2 B L2 F
B' D B2 L2 R D2 R2
B' D B2 L2 R' D2 R2
B' D B2 L2 R2 D2 R2
B' D B2 L2 U2 L2 U2
B' D B2 L2 D2 R2 D
B' D B2 L2 D2 R2 D'
B' D B2 L2 D2 R2 D2
B' D B2 R L2 D2 R2
B' D B2 R' L2 D2 R2
B' D B2 R2 L2 D2 R2
B' D' L D2 L2 B2 R'
U' F' U2 F B R2 U'
B D B2 D L2 D2 R2
U' F' U2 B R2 F U'
U' F' U2 B F R2 U'
B' D' L' D2 B2 L2 R'
B' D' L' D2 B2 R' L2
D F' U' B U' F B
D F' U' B U' B F
B' D' L2 D2 L2 R2 B2
B' D' L2 D2 L2 B2 R2
B' D' L2 D2 R2 L2 B2
B' D' L2 D2 R2 B2 L2
B' D' L2 D2 B2 L2 R2
B' D' L2 D2 B2 R2 L2
B' D' R F2 U2 L' F2
B' D' R' F2 R' U2 F2
B' D' R2 F2 U2 F2 D
B' D' R2 F2 U2 F2 D'
B' D' R2 F2 U2 F2 D2
B' D' R2 F2 D2 B2 U2
B' D' R2 F2 B U2 F2
B' D' R2 F2 B' U2 F2
B' D' R2 F2 B2 U2 F2
B' D' R2 B F2 U2 F2
B' D' R2 B' F2 U2 F2
B' D' R2 B2 F2 U2 F2
U2 F' B' D B2 L2 F
U F' B R2 U2 B' U
U F' B' R2 F' B2 U'
U F' B' R2 B2 F' U'
B' D' U2 R2 F2 U2 R2
B' D' U2 F2 R2 U2 R2
B' D' F R2 F B U2
B' D' F R2 B F U2
B' D' F' R2 U2 F B
B' D' F' R2 U2 B F
B' D' F2 R U2 F2 L'
B' D' F2 R2 U2 F2 D
B' D' F2 R2 U2 F2 D'
B' D' F2 R2 U2 F2 D2
B' D' F2 R2 D2 B2 U2
B' D' F2 R2 B U2 F2
B' D' F2 R2 B' U2 F2
B' D' F2 R2 B2 U2 F2
B' D' F2 U2 F2 D2 L2
F' D' F2 U' B U' F'
B' D' F2 D2 B2 U2 L2
B' D' F2 B R2 U2 F2
B' D' F2 B' R2 U2 F2
B' D' F2 B2 R2 U2 F2
B2 D' F2 U' B' U' F2
F2 D' F2 U' L2 B U'
F2 D' F2 U' B L2 U'
B' D' B R2 F2 U2 F2
D' F2 R2 U F' U F'
B' D' B F2 R2 U2 F2
B D' F2 U2 F2 D' L2
B' D' B' R2 F2 U2 F2
F D' F2 U' B U' F
B' D' B' F2 R2 U2 F2
D' F2 U R2 F' U F'
D' F2 U D R2 F' U
B' D' B2 R2 F2 U2 F2
D' F2 U' L B U' F2
D' F2 U' L' B U' F2
D' F2 U' L2 B U' F2
B' D' B2 F2 R2 U2 F2
D' F2 U' D' L2 B U'
D' F2 U' D' B L2 U'
D' F2 U' B L U' F2
D' F2 U' B L' U' F2
D' F2 U' B L2 U' F2
D' F2 U' B U' F2 D
D' F2 U' B U' F2 D'
D' F2 U' B U' F2 D2
D' F2 U' B D' L2 U'
U' F2 U2 F2 B R2 U'
U' F2 U2 B R2 F2 U'
U' F2 U2 B F2 R2 U'
D' F2 U2 F2 U B U'
D F2 U' B U' F2 B
D F2 U' B U' B F2
D' F2 D U R2 F' U
D' F2 D' U' L2 B U'
D' F2 D' U' B L2 U'
U' F2 D2 B2 L2 F U
D' F2 D2 B2 U' B' U'
D' F2 B U2 F2 D' L2
D' F2 B' U' B2 U' F2
D' F2 B' U2 F2 D L2
D' F2 B2 U' B' U' F2
U' B L R2 U' D' F2
U2 F2 B' D B2 L2 F
U' B L R2 U2 R2 U
U' B L R2 D' U' F2
U' B L R2 D2 L2 U'
L F2 B R2 U' R' F2
L F2 B R2 U' F2 R'
U F2 B R2 U2 B' U
U F2 B' R2 F' B2 U'
U F2 B' R2 B2 F' U'
U' B L' R2 U' D' F2
U' B L' R2 U2 R2 U
U' B L' R2 D' U' F2
U' B L' R2 D2 L2 U'
U' B L2 R2 U' D' F2
U' B L2 R2 U2 R2 U
U' B L2 R2 D' U' F2
U' B L2 R2 D2 L2 U'
U2 B L2 R2 U' R2 F
U2 B L2 R2 U' F R2
U B L2 R2 F L2 U'
U B L2 F L2 R2 U'
U B L2 F R2 L2 U'
U' B R2 L U' D' F2
U' B R2 L U2 R2 U
U' B R2 L D' U' F2
U' B R2 L D2 L2 U'
U' B R2 L' U' D' F2
U' B R2 L' U2 R2 U
U' B R2 L' D' U' F2
U' B R2 L' D2 L2 U'
U' B R2 L2 U' D' F2
U' B R2 L2 U2 R2 U
U' B R2 L2 D' U' F2
U' B R2 L2 D2 L2 U'
U' B R2 U D B2 U2
U' B R2 U' D' F2 D
U' B R2 U' D' F2 D'
U' B R2 U' D' F2 D2
U' B R2 U' F D' F2
U' B R2 U' F' D' F2
U' B R2 U' F2 D' F2
U' B R2 U2 R2 U D
U' B R2 U2 R2 U D'
U' B R2 U2 R2 U D2
U' B R2 U2 R2 D U
U' B R2 U2 R2 D' U
U' B R2 U2 R2 D2 U
U' B R2 D U B2 U2
U' B R2 D' L U' F2
U' B R2 D' L' U' F2
U' B R2 D' L2 U' F2
U' B R2 D' U' F2 D
U' B R2 D' U' F2 D'
U' B R2 D' U' F2 D2
U' B R2 D2 L2 U' D
U' B R2 D2 L2 U' D'
U' B R2 D2 L2 U' D2
U' B R2 D2 L2 D U'
U' B R2 D2 L2 D' U'
U' B R2 D2 L2 D2 U'
U2 B R2 L2 U' R2 F
U2 B R2 L2 U' F R2
U2 B R2 U B' U2 R2
U' B U D' F2 U2 F2
L2 B R2 D F2 U' F2
U' B U' D B2 D2 F2
U B R2 L2 F L2 U'
U B R2 U2 D B' U
U B R2 U2 D' B' U
U B R2 U2 D2 B' U
U B R2 U2 B' U D
U B R2 U2 B' U D'
U B R2 U2 B' U D2
U B R2 U2 B' D U
U B R2 U2 B' D' U
U B R2 U2 B' D2 U
F2 D2 B2 U L2 F U
U B R2 D U2 B' U
U B R2 D' U2 B' U
U B R2 D2 U2 B' U
U B R2 F U2 B' U
U B R2 F' U2 B' U
L B R2 F2 U' R F2
U B R2 F2 U2 B' U
F2 B L R2 U' F2 R
U' B D U' B2 D2 F2
U' B D' U F2 U2 F2
U B U2 D B' U B'
L2 B D F2 U' F2 B2
L2 B D F2 U' B2 F2
U B U2 D2 B' L2 U
L2 B D B2 D L2 R2
L2 B D B2 D R2 L2
U B U2 B' U D B2
U B U2 B' U2 R2 U'
U B U2 B' D U B2
U B U2 B' D2 L2 U
U B D U2 B' U B'
F2 B R2 L U' F2 R
F2 B R2 U' F2 D R2
U B D2 U2 B' L2 U
D' B F2 U2 F2 D' L2
U B F R2 U2 B' U
U B F' R2 U2 B' U
L2 B' L D B2 L2 R'
L2 B' L D B2 R' L2
B' F U2 D L2 F' B2
B' F U2 D L2 B2 F'
U2 B' L D B2 L2 F
B' F U2 D F' L2 B2
B' F U2 D F' B2 L2
B' F U2 D B2 L2 F'
B' F U2 D B2 F' L2
F2 B U' F2 D R2 B2
F2 B U' F2 D B2 R2
B' F U2 F' D L2 B2
B' F U2 F' D B2 L2
L B F2 R2 U' R' F2
L B F2 R2 U' F2 R'
U B F2 R2 U2 B' U
L2 B' L' D L2 B2 R'
U2 B' L' D B2 L2 F
B' F D U2 L2 F' B2
B' F D U2 L2 B2 F'
B' F D U2 F' L2 B2
B' F D U2 F' B2 L2
B' F D U2 B2 L2 F'
B' F D U2 B2 F' L2
B' F D' R2 F2 B U2
B' F D' R2 B F2 U2
U2 B' L2 D B2 L2 F
U' B' R B2 L R U'
U' B' R B2 R L U'
B' F D' F2 R2 U2 F
L B' L2 D B2 L2 R'
L B' L2 D B2 R' L2
U' B' R2 B2 U' D' F2
U' B' R2 B2 U2 R2 U
U' B' R2 B2 D' U' F2
U' B' R2 B2 D2 L2 U'
U B' R B2 R F' U'
U2 B' R2 B2 U' F' R2
U2 B' U R2 B2 U' F'
U B' R2 D F' U' L2
U B' R2 F' U' D L2
U B' R2 F' D U' L2
U B' R2 F' B2 U' D
U B' R2 F' B2 U' D'
U B' R2 F' B2 U' D2
U B' R2 F' B2 D U'
U B' R2 F' B2 D' U'
U B' R2 F' B2 D2 U'
U B' R2 B2 D F' U'
U B' R2 B2 D' F' U'
U B' R2 B2 D2 F' U'
U B' R2 B2 F' U' D
U B' R2 B2 F' U' D'
U B' R2 B2 F' U' D2
U B' R2 B2 F' D U'
U B' R2 B2 F' D' U'
U B' R2 B2 F' D2 U'
D2 B' D L2 D2 R2 B2
D2 B' D L2 D2 B2 R2
L' B' D L2 B' R' B'
D2 B' D F2 U2 L2 F2
D2 B' D F2 U2 F2 L2
L2 B' D L2 B2 D R2
L' B' D B' R' B' L2
U2 B' D F B2 L2 F
U2 B' D F' B2 L2 F
U2 B' D F2 B2 L2 F
L2 B' D B2 L2 D R2
U2 B' D B2 L2 D F
U2 B' D B2 L2 D' F
U2 B' D B2 L2 D2 F
U2 B' D B2 L2 F D
U2 B' D B2 L2 F D'
U2 B' D B2 L2 F D2
U2 B' D B2 F L2 F
U2 B' D B2 F' L2 F
U2 B' D B2 F2 L2 F
L B' D L2 R B2 R'
L B' D L2 R' B2 R'
L B' D L2 R2 B2 R'
D B' D B' L2 D2 R2
L B' D L2 B2 R' D
L B' D L2 B2 R' D'
L B' D L2 B2 R' D2
L B' D L2 B2 D R'
L B' D L2 B2 D' R'
L B' D L2 B2 D2 R'
L B' D R L2 B2 R'
L B' D R' L2 B2 R'
L B' D R2 L2 B2 R'
L2 B' D2 R2 D' L2 B2
L2 B' D2 R2 D' B2 L2
B' F' U' R2 B2 U' F
F' B' U' R2 B2 U' F
B' F' U' B2 R2 U' F
B2 F' U' R2 B' U' F
F2 B' U' R2 B2 U' F2
F' B' U' B2 R2 U' F
B' F' U2 D F L2 B2
B' F' U2 D F B2 L2
B' F' U2 D B2 F L2
B2 F' U' B' R2 U' F
B' F' U2 F D L2 B2
B' F' U2 F D B2 L2
U2 B' F D B2 L2 F
F2 B' U' B2 R2 U' F2
F' B' U2 D F L2 B2
F' B' U2 D F B2 L2
F' B' U2 D B2 F L2
F' B' U2 F D L2 B2
F' B' U2 F D B2 L2
D' B' F2 U' B2 U' F2
D' B' F2 U2 F2 D L2
F2 B' U2 F2 D L2 B2
U2 B' F' D B2 L2 F
F2 B' U2 F2 D B2 L2
B' F' D U2 F L2 B2
B' F' D U2 F B2 L2
B' F' D U2 B2 F L2
U B' F R2 F' B2 U'
U B' F R2 B2 F' U'
F' B' D U2 F L2 B2
F' B' D U2 F B2 L2
F' B' D U2 B2 F L2
U2 B' F2 D B2 L2 F
B' F' D' R2 F2 U2 F'
F B' U2 D L2 F' B2
F B' U2 D L2 B2 F'
U B' F' R2 F' B2 U'
F B' U2 D F' L2 B2
F B' U2 D F' B2 L2
U B' F' R2 B2 F' U'
F B' U2 D B2 L2 F'
F B' U2 D B2 F' L2
B' F' D' F2 R2 B U2
F' B' D' R2 F2 U2 F'
F B' U2 F' D L2 B2
F B' U2 F' D B2 L2
F' B' D' F2 R2 B U2
U B' F2 R2 F' B2 U'
U B' F2 R2 B2 F' U'
F B' D U2 L2 F' B2
F B' D U2 L2 B2 F'
F B' D U2 F' L2 B2
F B' D U2 F' B2 L2
F B' D U2 B2 L2 F'
F B' D U2 B2 F' L2
F B' D' R2 F2 B U2
F B' D' R2 B F2 U2
F B' D' F2 R2 U2 F
B F2 L R2 U' F2 R
L' B2 R' U R' B' U'
U' B2 R2 D' B' U' F2
U' B2 R2 D2 B' L2 U'
U' B2 R2 B' U' D' F2
U' B2 R2 B' U2 R2 U
U' B2 R2 B' D' U' F2
U' B2 R2 B' D2 L2 U'
L' B2 U R2 B' U' R
U B2 R2 D' B' U' R2
U B2 R2 D2 F2 B' U'
U B2 R2 D2 B' F2 U'
U B2 R2 B' U2 B' U
U' B2 U2 B' R2 F' U'
D B2 U B' U2 B U
B F2 R2 L U' F2 R
B F2 R2 U' F2 D R2
B' F2 U' R2 B2 U' F2
F' B2 U' R2 B' U' F
B' F2 U' B2 R2 U' F2
B2 F2 U' R2 B' U' F2
F2 B2 U' R2 B' U' F2
F' B2 U' B' R2 U' F
B2 F2 U' B' R2 U' F2
B' F2 U2 F2 D L2 B2
B' F2 U2 F2 D B2 L2
F2 B2 U' B' R2 U' F2
B F2 U' F2 D R2 B2
B F2 U' F2 D B2 R2
D' B2 F2 U' B' U' F2
