D2 L2 F2 B U' F'
D' L2 B U' R2 F
D' L2 B U' F R2
D2 L2 B F2 U' F'
B U B2 U B' U
B U B2 U B' U
L2 D' B U' R2 F
L2 D' B U' F R2
L2 D2 F2 B U' F'
L2 D2 B F2 U' F'
B U2 D' B R2 U
B U2 D2 B U F2
B U2 B R2 U F'
B U2 B U' B U2
B D L2 U2 B U
D2 F2 L2 B U' F
B D' U2 B R2 U
D2 F2 B U B2 U2
D2 F2 B U' D2 F2
D2 F2 B D L2 U'
D2 F2 B D2 U' F2
B D2 U2 B U F2
D' B U B2 U2 R2
D B U L2 B2 U2
D' B U' R2 D2 F2
D B U B2 L2 U2
L2 B U2 B U F
D B U' D2 R2 F2
D B U' D2 F2 R2
D2 B D L2 U' R2
D B D L2 F2 U'
D B D F2 L2 U'
D B D2 U' R2 F2
D B D2 U' F2 R2
D2 B F2 U B2 U2
D2 B F2 U' D2 F2
D2 B F2 D L2 U'
D2 B F2 D2 U' F2
B U L B2 U B' U
B U L' B2 U B' U
D U L2 U' B U' F
U D L2 U' B U' F
B U L2 B2 U B' U
L2 D B U L2 B' U2
L2 D B U' D2 R2 F
L2 D B U' D2 F R2
L2 D B U' F D2 R2
L2 D B D F2 U' F'
L2 D B D2 U' R2 F
L2 D B D2 U' F R2
L D' L B U' R2 F
L D' L B U' F R2
D' U B' U' B2 U' R2
D' U B' U2 R2 D L2
D2 U B' U' F2 B2 U'
D2 U B' U' B2 F2 U'
D2 U B' U2 D L2 R2
D2 U B' U2 D R2 L2
D2 U B' D U2 L2 R2
D2 U B' D U2 R2 L2
D2 U B' D' L2 R2 U2
D2 U B' D' R2 L2 U2
D U B' L2 U' B2 U'
D U B' L2 U2 D L2
D U B' L2 D U2 L2
D U B' L2 D' R2 U2
U D B' L2 U' B2 U'
U D B' L2 U2 D L2
U D B' L2 D U2 L2
U D B' L2 D' R2 U2
B2 U B D' R2 U2 R2
B' U B' U2 B' U' B
D' U' L2 R2 F D' L2
U' D' L2 R2 F D' L2
B U B' D L2 U2 F
B U B' D B' L2 U2
B U B' D' B' U2 R2
B U B2 L2 U' F U'
L2 D' U' R2 F D' L2
B U B2 U D B' U
B U B2 U D' B' U
B U B2 U D2 B' U
B U B2 U B' U D
B U B2 U B' U D'
B U B2 U B' U D2
B U B2 U B' D U
B U B2 U B' D' U
B U B2 U B' D2 U
B U B2 D U B' U
B U B2 D' U B' U
B U B2 D2 U B' U
U' D' R2 L2 F D' L2
D' U' R2 L2 F D' L2
D' U' R2 F D' L2 F
U' D' R2 F D' L2 F
L2 D' F' B U' R2 F2
L2 D' F' B U' F2 R2
L2 D' F2 B U' F' R2
L' D' B U2 R' U R'
L2 D' B U' R' F R'
L2 D' B U' R2 D F
L2 D' B U' R2 D' F
L2 D' B U' R2 D2 F
L2 D' B U' R2 F D
L2 D' B U' R2 F D'
L2 D' B U' R2 F D2
L2 D' B U' F R2 D
L2 D' B U' F R2 D'
L2 D' B U' F R2 D2
L2 D' B U' F' R2 F2
L' D' B' L B2 U' R2
L2 D' B D' F2 U' F'
L2 D' B F' U' R2 F2
L2 D' B F' U' F2 R2
L D' B L U' R2 F
L D' B L U' F R2
L2 D' B F2 U' F' R2
L D2 L F2 B U' F'
B U' D2 F2 U' B U
L D2 L B F2 U' F'
U D' B' U' B2 U' R2
U D' B' U2 R2 D L2
B2 U' B U' B2 U' B
B2 U' B U2 D B' L2
B2 U' B D U2 B' L2
B2 U' B D' R2 U2 B'
B' U' B2 R2 F' U' B2
B' U' B2 U2 B U B
B' U' B2 D' R2 F' U'
L2 D2 F2 L B U' F'
L2 D2 F2 L' B U' F'
L2 D2 F2 L2 B U' F'
L2 D2 F2 D B U' F'
L2 D2 F2 D' B U' F'
L2 D2 F2 D2 B U' F'
L2 D2 F2 B L U' F'
L2 D2 F2 B L' U' F'
L2 D2 F2 B L2 U' F'
L2 D2 F2 B U' D F'
L2 D2 F2 B U' D' F'
L2 D2 F2 B U' D2 F'
L2 D2 F2 B U' F' D
L2 D2 F2 B U' F' D'
L2 D2 F2 B U' F' D2
L2 D2 F2 B D U' F'
L2 D2 F2 B D' U' F'
L2 D2 F2 B D2 U' F'
L D2 F2 L B U' F
L2 D2 B U' D R2 F
L2 D2 B U' D F R2
L2 D2 B D U' R2 F
L2 D2 B D U' F R2
L D2 F2 B L U' F
L2 D2 B F2 L U' F'
L2 D2 B F2 L' U' F'
L2 D2 B F2 L2 U' F'
L2 D2 B F2 U' D F'
L2 D2 B F2 U' D' F'
L2 D2 B F2 U' D2 F'
L2 D2 B F2 U' F' D
L2 D2 B F2 U' F' D'
L2 D2 B F2 U' F' D2
L2 D2 B F2 D U' F'
L2 D2 B F2 D' U' F'
L2 D2 B F2 D2 U' F'
L D2 B L F2 U' F'
L D2 B F2 L U' F
B U2 R2 D' R2 B U
U D2 B' U' F2 B2 U'
U D2 B' U' B2 F2 U'
U D2 B' U2 D L2 R2
U D2 B' U2 D R2 L2
U D2 B' D U2 L2 R2
U D2 B' D U2 R2 L2
U D2 B' D' L2 R2 U2
U D2 B' D' R2 L2 U2
B U2 D B U D F2
B U2 D B U2 L2 U'
B U2 D B D U F2
B U2 D B D2 R2 U
B' U2 D2 F2 B' U F2
B' U2 D2 B' F2 U F2
B U2 D' R2 U2 F' U'
B U2 D' B R2 U D
B U2 D' B R2 U D'
B U2 D' B R2 U D2
B U2 D' B R2 D U
B U2 D' B R2 D' U
B U2 D' B R2 D2 U
B U2 D' B U D' F2
B U2 D' B D' U F2
B U2 D' B' R2 B2 U
B U2 D' B2 R2 B' U
B U2 D2 B R U F2
B U2 D2 B R' U F2
B U2 D2 B R2 U F2
B U2 D2 B U F2 D
B U2 D2 B U F2 D'
B U2 D2 B U F2 D2
B U2 D2 B D R2 U
D' F L2 B U' R2 F
D' F L2 B U' F R2
B U2 B R2 U D F'
B U2 B R2 U D' F'
B U2 B R2 U D2 F'
B U2 B R2 U F' D
B U2 B R2 U F' D'
B U2 B R2 U F' D2
B U2 B R2 D U F'
B U2 B R2 D' U F'
B U2 B R2 D2 U F'
B U2 B U R2 F' R2
B U2 B U' D B U2
B U2 B U' D' B U2
B U2 B U' D2 B U2
B U2 B U' B U2 D
B U2 B U' B U2 D'
B U2 B U' B U2 D2
B U2 B U' B D U2
B U2 B U' B D' U2
B U2 B U' B D2 U2
B2 U2 B' U B2 U2 B2
B U2 B D R2 U F'
B U2 B D U' B U2
B U2 B D' R2 U F'
B U2 B D' U' B U2
B U2 B D2 R2 U F'
B U2 B D2 U' B U2
B D L2 R2 F' R2 U'
B D L2 U2 D B U
B D L2 U2 D' B U
B D L2 U2 D2 B U
B D L2 U2 B U D
B D L2 U2 B U D'
B D L2 U2 B U D2
B D L2 U2 B D U
B D L2 U2 B D' U
B D L2 U2 B D2 U
B D L2 D U2 B U
B D L2 D' U2 B U
B D L2 D2 U2 B U
B D L2 F U2 B U
B D L2 F' U2 B U
B D L2 F2 U2 B U
D' F B U B2 U2 R2
D' F B U' R2 D2 F2
L2 F D2 F2 B U' F2
L2 F D2 B F2 U' F2
D2 F B D F L2 U'
D2 F B D2 F U' F
D F B U L2 B2 U2
D F B U B2 L2 U2
D F B U' D2 R2 F2
D F B U' D2 F2 R2
B D R2 L2 F' R2 U'
D F B D L2 F2 U'
D F B D F2 L2 U'
D F B D2 U' R2 F2
D F B D2 U' F2 R2
B D R2 F' L2 R2 U'
B D R2 F' R2 L2 U'
B D U2 B U D F2
B D U2 B U2 L2 U'
B D U2 B D U F2
B D U2 B D2 R2 U
D2 F' L2 F' B U' F2
D' F' L2 B U' R2 F
D' F' L2 B U' F R2
D2 F' L2 B F' U' F2
B D F L2 U2 B U
B D F' L2 U2 B U
B D F2 L2 U2 B U
F' D B U L2 B2 U2
F' D B U B2 L2 U2
F' D B U' D2 R2 F2
F' D B U' D2 F2 R2
F' D B D L2 F2 U'
F' D B D F2 L2 U'
F2 D B U L2 B2 U2
F2 D B U B2 L2 U2
F' D B D2 U' R2 F2
F' D B D2 U' F2 R2
F2 D B U' D2 R2 F2
F2 D B U' D2 F2 R2
F2 D B D L2 F2 U'
F2 D B D F2 L2 U'
F2 D B D2 U' R2 F2
F2 D B D2 U' F2 R2
F D B U L2 B2 U2
F D B U B2 L2 U2
F D B U' D2 R2 F2
F D B U' D2 F2 R2
F D B D L2 F2 U'
F D B D F2 L2 U'
F D B D2 U' R2 F2
F D B D2 U' F2 R2
B D B2 L2 F B2 U'
B D B2 L2 B2 F U'
B D' L U2 B R2 U
B D' L' U2 B R2 U
F' D' L2 B U' R2 F
F' D' L2 B U' F R2
F2 D' L2 B U' R2 F
F2 D' L2 B U' F R2
L2 F' D' L2 B U' R2
B D' L2 U2 B R2 U
L2 F' D' B L2 U' R2
F D' L2 B U' R2 F
F D' L2 B U' F R2
D' F' B U B2 U2 R2
D' F' B U' R2 D2 F2
D2 F' B D L2 F' U'
D2 F' B D F' L2 U'
D2 F' B D2 F' U' F'
L2 F' B U2 B U F2
D F' B U L2 B2 U2
D F' B U B2 L2 U2
D F' B U' D2 R2 F2
D F' B U' D2 F2 R2
D F' B D L2 F2 U'
D F' B D F2 L2 U'
D F' B D2 U' R2 F2
D F' B D2 U' F2 R2
D2 F2 L B L U' F
R2 F' B2 U2 R2 U' F'
D2 F2 L' B L' U' F
D2 F2 L2 D B U' F
B D' U2 R2 U2 F' U'
D2 F2 L2 D' B U' F
D2 F2 L2 D2 B U' F
B D' U2 B R2 U D
B D' U2 B R2 U D'
B D' U2 B R2 U D2
B D' U2 B R2 D U
B D' U2 B R2 D' U
B D' U2 B R2 D2 U
B D' U2 B U D' F2
B D' U2 B D' U F2
D2 F2 L2 B U' D F
D2 F2 L2 B U' D' F
D2 F2 L2 B U' D2 F
D2 F2 L2 B U' F D
D2 F2 L2 B U' F D'
D2 F2 L2 B U' F D2
B D' U2 B' R2 B2 U
D2 F2 L2 B D U' F
D2 F2 L2 B D' U' F
D' F2 L2 B U' R2 F
D2 F2 L2 B D2 U' F
D' F2 L2 B U' F R2
B D' U2 B2 R2 B' U
B D' F U2 B R2 U
B D' F' U2 B R2 U
F' D' B U B2 U2 R2
F' D' B U' R2 D2 F2
B D' F2 U2 B R2 U
F2 D' B U B2 U2 R2
F2 D' B U' R2 D2 F2
F D' B U B2 U2 R2
F D' B U' R2 D2 F2
D2 F2 U B' U' B2 U'
D2 F2 U B' U2 D L2
D2 F2 U B' D U2 L2
D2 F2 U B' D' R2 U2
D2 F2 D L2 B U' F
B D2 L U2 B U F2
D2 F2 D B U B2 U2
D2 F2 D B U' D2 F2
D2 F2 D B D L2 U'
D2 F2 D B D2 U' F2
D2 F2 D' L2 B U' F
B D2 L' U2 B U F2
F' D2 L2 F2 B U' F'
F' D2 L2 B F2 U' F'
D2 F2 D' B U B2 U2
D2 F2 D' B U' D2 F2
D2 F2 D' B D L2 U'
D2 F2 D' B D2 U' F2
F2 D2 L2 F2 B U' F'
F2 D2 L2 B F2 U' F'
D2 F2 D2 L2 B U' F
B D2 L2 U2 B U F2
L2 F2 D' B U' F' R2
D2 F2 D2 B U B2 U2
D2 F2 D2 B U' D2 F2
D2 F2 D2 B D L2 U'
D2 F2 D2 B D2 U' F2
D2 F2 B L U B2 U2
D2 F2 B L U' D2 F2
D2 F2 B L D L2 U'
D2 F2 B L D2 U' F2
D2 F2 B L' U B2 U2
D2 F2 B L' U' D2 F2
D2 F2 B L' D L2 U'
D2 F2 B L' D2 U' F2
D2 F2 B L2 U B2 U2
D2 F2 B L2 U' D2 F2
D2 F2 B L2 D L2 U'
D2 F2 B L2 D2 U' F2
F D2 L2 F2 B U' F'
F D2 L2 B F2 U' F'
D2 F2 B U B2 U2 D
D2 F2 B U B2 U2 D'
D2 F2 B U B2 U2 D2
D2 F2 B U B2 D U2
D2 F2 B U B2 D' U2
D2 F2 B U B2 D2 U2
D' F2 B U B2 U2 R2
D2 F2 B U' D2 F2 D
D2 F2 B U' D2 F2 D'
D2 F2 B U' D2 F2 D2
D2 F2 B U' F D2 F2
D2 F2 B U' F' D2 F2
D2 F2 B U' F2 D2 F2
D' F2 B U' R2 D2 F2
D2 F2 B U2 D' R2 U
L2 F2 D2 F2 B U' F
D2 F2 B D L2 U' D
D2 F2 B D L2 U' D'
D2 F2 B D L2 U' D2
D2 F2 B D L2 D U'
D2 F2 B D L2 D' U'
D2 F2 B D L2 D2 U'
L2 F2 D2 B F2 U' F
D2 F2 B D' U2 R2 U
D2 F2 B D2 L U' F2
D2 F2 B D2 L' U' F2
D2 F2 B D2 L2 U' F2
D2 F2 B D2 U' F2 D
D2 F2 B D2 U' F2 D'
D2 F2 B D2 U' F2 D2
L2 F2 B U2 B U F'
D F2 B U L2 B2 U2
D F2 B U B2 L2 U2
D F2 B U' D2 R2 F2
D F2 B U' D2 F2 R2
D F2 B D L2 F2 U'
D F2 B D F2 L2 U'
D F2 B D2 U' R2 F2
D F2 B D2 U' F2 R2
D' B L U B2 U2 R2
D' B L U' R2 D2 F2
D2 B L D L2 U' R2
D2 B L F2 U B2 U2
D2 B L F2 U' D2 F2
D2 B L F2 D L2 U'
D2 B L F2 D2 U' F2
B' D2 U2 F2 B' U F2
D' B L' U B2 U2 R2
D' B L' U' R2 D2 F2
B' D2 U2 B' F2 U F2
D2 B L' D L2 U' R2
L' B L' U2 B U F
D B L U L B2 U2
D B L U B2 U2 R'
D2 B L' F2 U B2 U2
D2 B L' F2 U' D2 F2
D2 B L' F2 D L2 U'
D2 B L' F2 D2 U' F2
B D2 U' F2 U' B U
D' B L2 U B2 U2 R2
D' B L2 U' R2 D2 F2
D2 B L2 D L2 U' R2
L B L U2 B U F
D B L' U L' B2 U2
B D2 U2 B R U F2
B D2 U2 B R' U F2
B D2 U2 B R2 U F2
D B L' U B2 L' U2
B D2 U2 B U F2 D
B D2 U2 B U F2 D'
B D2 U2 B U F2 D2
D2 B L2 F2 U B2 U2
B D2 U2 B D R2 U
D2 B L2 F2 U' D2 F2
D2 B L2 F2 D L2 U'
D2 B L2 F2 D2 U' F2
D B L' U' D2 F2 R
D B L' D2 U' F2 R
B D2 F U2 B U F
F' D2 F2 L2 B U' F
F2 D2 F2 L2 B U' F
B D2 F' U2 B U F'
F' D2 F2 B U B2 U2
F' D2 F2 B U' D2 F2
F' D2 F2 B D L2 U'
F' D2 F2 B D2 U' F2
F2 D2 F2 B U B2 U2
F2 D2 F2 B U' D2 F2
F2 D2 F2 B D L2 U'
F2 D2 F2 B D2 U' F2
F' D2 B D L2 U' R2
F D2 F2 L2 B U' F
F' D2 B F2 U B2 U2
F' D2 B F2 U' D2 F2
F' D2 B F2 D L2 U'
F' D2 B F2 D2 U' F2
F2 D2 B D L2 U' R2
F2 D2 B F2 U B2 U2
F2 D2 B F2 U' D2 F2
F2 D2 B F2 D L2 U'
F2 D2 B F2 D2 U' F2
D' B U L B2 U2 R2
D' B U L' B2 U2 R2
D' B U L2 B2 U2 R2
F D2 F2 B U B2 U2
F D2 F2 B U' D2 F2
F D2 F2 B D L2 U'
F D2 F2 B D2 U' F2
L2 B R2 F' R2 U' F2
D' B U D2 L2 U2 F2
D' B U B U2 R2 F'
D2 B U B2 U' F2 U'
D2 B U B2 U2 D R2
D2 B U B2 D U2 R2
D2 B U B2 D' L2 U2
D' B U B2 L U2 R2
D' B U B2 L' U2 R2
D' B U B2 L2 U2 R2
D' B U B2 U2 R2 D
D' B U B2 U2 R2 D'
D' B U B2 U2 R2 D2
D' B U B2 D2 L2 U2
F D2 B D L2 U' R2
D' B U' R D2 R F2
D' B U' R' D2 R' F2
D' B U' R' D2 F2 R'
F D2 B F2 U B2 U2
F D2 B F2 U' D2 F2
F D2 B F2 D L2 U'
F D2 B F2 D2 U' F2
D' B U' R2 U2 B2 U2
D2 B U' D R2 D F2
D' B U' R2 D2 F2 D
D' B U' R2 D2 F2 D'
D' B U' R2 D2 F2 D2
D' B U' R2 F D2 F2
D' B U' R2 F' D2 F2
D' B U' R2 F2 D2 F2
D2 B U' D2 F2 D' R2
D B U L B2 U2 R'
D' B U' D2 F2 D2 R2
D B U L' B2 L' U2
D' B U' F R2 D2 F2
D B U L2 U2 D2 F2
D B U L2 D2 U2 F2
D B U L2 B2 U2 D
D B U L2 B2 U2 D'
D B U L2 B2 U2 D2
D B U L2 B2 D U2
D B U L2 B2 D' U2
D B U L2 B2 D2 U2
D' B U' F' R2 D2 F2
D' B U' F2 R2 D2 F2
D' B U' B R2 F' B'
D' B U' B R2 B' F'
L2 B U' R2 F D R2
D B U B L2 B U2
D B U B' L2 U2 F
D B U B2 L2 U2 D
D B U B2 L2 U2 D'
D B U B2 L2 U2 D2
D B U B2 L2 D U2
D B U B2 L2 D' U2
D B U B2 L2 D2 U2
D B U B2 U2 D2 R2
D B U B2 D2 U2 R2
L2 B U' F U' B U
D2 B U2 D2 B2 U F2
L' B U2 D' B R' U
D B U' R D2 R2 F2
D B U' R D2 F2 R2
D B U' R' D2 R2 F2
D B U' R' D2 F2 R2
D' B U2 B U R2 F'
D B U' R2 D2 R2 F2
D B U' R2 D2 F2 R2
D B U' D2 R' F2 R'
D B U' D2 R2 F2 D
D B U' D2 R2 F2 D'
D B U' D2 R2 F2 D2
D B U' D2 F R2 F
D B U' D2 F2 R2 D
D B U' D2 F2 R2 D'
D B U' D2 F2 R2 D2
D2 B D L2 U' R2 D
D2 B D L2 U' R2 D'
D2 B D L2 U' R2 D2
D B U' F D2 R2 F2
D B U' F D2 F2 R2
D2 B D L2 D' F2 U'
L2 B U2 R' U F R
D2 B D L2 F U' R2
D2 B D L2 F' U' R2
D2 B D L2 F2 U' R2
D B U' F' D2 R2 F2
D B U' F' D2 F2 R2
D' B D L2 U' D' R2
D' B D L2 U2 B2 U
D' B D L2 D' U' R2
D' B D L2 D2 F2 U'
D B U' F2 D2 R2 F2
D B U' F2 D2 F2 R2
L2 B U2 D B U F
L2 B U2 D' B U F
L2 B U2 D2 B U F
D2 B D U' R2 D F2
D2 B D F L2 U' R2
D2 B D F' L2 U' R2
L2 B U2 B R U F
L2 B U2 B R' U F
L2 B U2 B R2 U F
L2 B U2 B U D F
L2 B U2 B U D' F
L2 B U2 B U D2 F
L2 B U2 B U F D
L2 B U2 B U F D'
L2 B U2 B U F D2
L2 B U2 B D U F
L2 B U2 B D' U F
L2 B U2 B D2 U F
D2 B D F2 L2 U' R2
D B U2 D' R2 B2 U
D B U2 D' B2 R2 U
L2 B D U2 B U F
D B D L F2 L U'
D B D L2 U' D R2
D B D L2 D U' R2
D B D L2 F2 U' D
D B D L2 F2 U' D'
D B D L2 F2 U' D2
D B D L2 F2 D U'
D B D L2 F2 D' U'
D B D L2 F2 D2 U'
L' B D' U2 B R' U
D' B D' F2 U' D' F2
D' B D' F2 U2 R2 U
D' B D' F2 D' U' F2
D' B D' F2 D2 L2 U'
L B U2 B R' U F'
D' B D2 L' U' F2 R
D B D F' L2 F' U'
D B D F2 L2 U' D
D B D F2 L2 U' D'
D B D F2 L2 U' D2
D B D F2 L2 D U'
D B D F2 L2 D' U'
D B D F2 L2 D2 U'
D B D F2 U' D F2
D B D F2 D U' F2
L2 B D' U2 B U F
D' B D2 U L2 U2 F2
D2 B D2 U' F2 D' R2
D2 B D2 U2 B2 U F2
D' B D2 U' F2 D2 R2
D B D' U2 R2 B2 U
D B D' U2 B2 R2 U
L2 B D2 U2 B U F
D B D2 L U' R2 F2
D B D2 L U' F2 R2
D' B F U B2 U2 R2
D' B F U' R2 D2 F2
D B D2 L' U' R2 F2
D B D2 L' U' F2 R2
D2 B F D F L2 U'
D B D2 L2 U' R2 F2
D B D2 L2 U' F2 R2
D2 B F D2 F U' F
D B D2 U' R' F2 R'
D B D2 U' R2 F2 D
D B D2 U' R2 F2 D'
D B D2 U' R2 F2 D2
D B D2 U' F R2 F
D B D2 U' F2 R2 D
D B D2 U' F2 R2 D'
D B D2 U' F2 R2 D2
D B D2 F U' R2 F
D B D2 F U' F R2
D B D2 F' U' F' R2
D' B F' U B2 U2 R2
D' B F' U' R2 D2 F2
D2 B F' D L2 F' U'
D2 B F' D F' L2 U'
D2 B F' D2 F' U' F'
D2 B F2 L U B2 U2
D2 B F2 L U' D2 F2
D2 B F2 L D L2 U'
D2 B F2 L D2 U' F2
D2 B F2 L' U B2 U2
D2 B F2 L' U' D2 F2
D2 B F2 L' D L2 U'
D2 B F2 L' D2 U' F2
D2 B F2 L2 U B2 U2
D2 B F2 L2 U' D2 F2
D2 B F2 L2 D L2 U'
D2 B F2 L2 D2 U' F2
D B F U L2 B2 U2
D B F U B2 L2 U2
D B F U' D2 R2 F2
D B F U' D2 F2 R2
D2 B F2 U B2 U2 D
D2 B F2 U B2 U2 D'
D2 B F2 U B2 U2 D2
D2 B F2 U B2 D U2
D2 B F2 U B2 D' U2
D2 B F2 U B2 D2 U2
D B F D L2 F2 U'
D2 B F2 U' D2 F2 D
D2 B F2 U' D2 F2 D'
D2 B F2 U' D2 F2 D2
D2 B F2 U' F D2 F2
D2 B F2 U' F' D2 F2
D2 B F2 U' F2 D2 F2
D B F D F2 L2 U'
D' B F2 U B2 U2 R2
D2 B F2 U2 D' R2 U
D' B F2 U' R2 D2 F2
D2 B F2 D L2 U' D
D2 B F2 D L2 U' D'
D2 B F2 D L2 U' D2
D2 B F2 D L2 D U'
D2 B F2 D L2 D' U'
D2 B F2 D L2 D2 U'
D B F D2 U' R2 F2
L2 B F' U2 B U F2
D B F D2 U' F2 R2
D2 B F2 D' U2 R2 U
D2 B F2 D2 L U' F2
D2 B F2 D2 L' U' F2
D2 B F2 D2 L2 U' F2
D2 B F2 D2 U' F2 D
