U' R U2 L' F' B'
U' R U2 L' B' F'
D2 R2 U L' F B
D2 R2 U L' B F
D2 R2 U B L' F
D2 U L' F D2 B2
F2 U' R F U2 F2
U D2 L' F D2 B2
U' F2 R F U2 F2
D2 U' R2 U2 L' F B
D2 U' R2 U2 L' B F
D2 U' R2 U2 B L' F
F2 U' R U2 F' D2 B2
F2 U' R D F U2 F2
F2 U' R D' F U2 F2
F2 U' R D2 F U2 F2
F2 U' R F U2 F2 D
F2 U' R F U2 F2 D'
F2 U' R F U2 F2 D2
F2 U' R F D2 B2 U2
F2 U' R F B U2 F2
F2 U' R F B' U2 F2
F2 U' R F B2 U2 F2
F2 U' R B F U2 F2
F2 U' R B' F U2 F2
F2 U' R B2 F U2 F2
D2 U' F' U2 L' F L'
D2 U' F' U2 F L' F
F2 U' R' F R2 U2 F'
F2 U' R' F B R2 U2
F2 U' R' B R2 F U2
F2 U' R' B F R2 U2
F2 U' R2 F R' U2 F'
U' D2 L' F D2 B2 R'
U D2 L F2 L2 F B'
U D2 L F2 L2 B' F
U D2 L' R2 F B R2
U D2 L' R2 B R2 F
F2 U' B R F U2 F2
U D2 L' R2 B F R2
U D2 L' U2 F' U2 F2
U D2 L' D F D2 B2
U D2 L' D' F D2 B2
U D2 L' D2 F D2 B2
U' D2 R U2 L' F B'
U' D2 R U2 L' B' F
U D2 L' F U2 F2 U2
U D2 L' F D2 B2 D
U D2 L' F D2 B2 D'
U D2 L' F D2 B2 D2
U D2 L' F B D2 B2
U D2 L' F B' D2 B2
U D2 L' F B2 D2 B2
U D2 L' B F D2 B2
U D2 L' B' F D2 B2
U D2 L' B2 F D2 B2
F2 U' B' R F U2 F2
F2 U' B2 R F U2 F2
U' D2 R2 U2 L' F B
U' D2 R2 U2 L' B F
U' D2 R2 U2 B L' F
D2 U2 R2 U' L' F B
D2 U2 R2 U' L' B F
D2 U2 R2 U' B L' F
U2 D2 R2 U' L' F B
U2 D2 R2 U' L' B F
U2 D2 R2 U' B L' F
U D2 R2 L' F B R2
U D2 R2 L' B R2 F
U D2 R2 L' B F R2
U' D2 F' U2 L' F L'
U D2 R2 B L' R2 F
U D2 R2 B L' F R2
U D2 R2 B R2 L' F
U' D2 F' U2 F L' F
U D2 B L' F D2 B2
U D2 B' L' F D2 B2
U D2 B2 L' F D2 B2
U' F R F2 U2 F L'
U F D2 F' L' F B2
U F D2 F' L' B2 F
U F D2 F' B2 L' F
U F D2 B2 F' L' F
U' F' R U2 F L' F2
U' F' R' D2 B R' U2
U' F' R2 U2 L F L'
U' F' U2 F D2 L' F
F D' L2 F' R U L'
B2 D' R2 D' L' F B
B2 D' R2 D' L' B F
B2 D' R2 D' B L' F
B2 D' R2 B D' L' F
U' F2 R U2 F' D2 B2
U' F2 R D F U2 F2
U' F2 R D' F U2 F2
U' F2 R D2 F U2 F2
U' F2 R F U2 F2 D
U' F2 R F U2 F2 D'
U' F2 R F U2 F2 D2
U' F2 R F D2 B2 U2
U' F2 R F B U2 F2
U' F2 R F B' U2 F2
U' F2 R F B2 U2 F2
U' F2 R B F U2 F2
U' F2 R B' F U2 F2
U' F2 R B2 F U2 F2
U' F2 R' F R2 U2 F'
U' F2 R' F B R2 U2
F D' F' L2 R U L
U' F2 R' B R2 F U2
F D' F' R L2 U L
U' F2 R' B F R2 U2
L F2 R U L2 F' B'
L F2 R U L2 B' F'
U' F2 R2 F R' U2 F'
U F2 R F U2 R' F2
U F2 R F U2 F2 R'
D' F2 U' R F B U2
D' F2 U' R B F U2
R' F2 U' B R F' U2
B2 D2 L' D R2 F B
B2 D2 L' D R2 B F
U F2 U2 R F U2 F2
U' F2 B R F U2 F2
U' F2 B' R F U2 F2
U' F2 B2 R F U2 F2
R2 B L' R' D F' R
R2 B L' D R' F' R
U' B R U2 L' F' B'
U' B R U2 L' B' F'
R B L' D F' R B
F D2 F' U L' F B2
F D2 F' U L' B2 F
F D2 F' U B2 L' F
R2 B R' L' D F' R
R2 B U' B' R' U L'
U B D2 L' F D2 B2
U' B F2 R F U2 F2
U' B' R U2 L' F' B'
U' B' R U2 L' B' F'
L' B' R D' F' R B
U B' D2 L' F D2 B2
U' B' F2 R F U2 F2
D2 B2 L' D' R2 F B
D2 B2 L' D' R2 B F
U' B2 R U2 L' F' B'
U' B2 R U2 L' B' F'
D' B2 D' L' R2 F B
D' B2 D' L' R2 B F
D' B2 D' R2 L' F B
D' B2 D' R2 L' B F
D' B2 D' R2 B L' F
U B2 D2 L' F D2 B2
U' B2 F2 R F U2 F2
