L' R U' B R F
R L' U' B R F
U2 L' U R2 F B'
U2 L' U R2 B' F
U2 L' U F R2 B'
U2 L' U F B' R2
U2 L' U B' R2 F
U2 L' U B' F R2
R U' D2 B R F'
R U' B D2 R F'
R D2 U' B R F'
U2 L' U F' R2 F2 B'
U2 L' U F' R2 B' F2
U2 L' U F' B' R2 F2
U2 L' U B R2 F B2
U2 L' U B R2 B2 F
U2 L' U B F R2 B2
U2 L' U B' R' F R'
U2 L' U B' R2 D F
U2 L' U B' R2 D' F
U2 L' U B' R2 D2 F
U2 L' U B' R2 F D
U2 L' U B' R2 F D'
U2 L' U B' R2 F D2
U2 L' U B' F R2 D
U2 L' U B' F R2 D'
U2 L' U B' F R2 D2
U2 L' U B' F' R2 F2
U2 L' D B2 U F B
U2 L' D B2 U B F
U2 L' F R2 B' D L2
U2 L' B U R2 F B2
U2 L' B U R2 B2 F
U2 L' B U F R2 B2
U2 L' B U F B2 R2
U2 L' B U B2 R2 F
U2 L' B U B2 F R2
U2 L' B2 U F B R2
U2 L' B2 U B R2 F
U2 L' B2 U B F R2
R U L B' U2 R B2
R U L B' U2 B2 R
R' U L' F' U2 R' F2
R' U L' F' U2 F2 R'
R U L' U2 B R F
R' U L2 F' U2 R' F'
F' R L' U' B R F
U2 R L' U R F B'
U2 R L' U R B' F
U2 R L' U B' R F
F2 R L' U' B R F
F R L' U' B R F
R' U F' L' U2 R' F
R' U F' L' U2 F R'
R' U F' L2 U2 R' F'
D2 R U L2 U2 F' B
D2 R U L2 U2 B F'
R' U F' B2 L B' U2
R U F2 L' U2 F B
R U F2 L' U2 B F
D2 R U' D2 F' B R2
D2 R U' D2 B F' R2
F' R U' D2 B R F'
D2 R U' F' D2 B R2
D2 R U' F' B D2 R2
D2 R U' B D2 F' R2
D2 R U' B F' D2 R2
F2 R U' D2 B R F'
F' R U' B D2 R F'
F2 R U' B D2 R F'
F R U' D2 B R F'
F R U' B D2 R F'
R' U B2 L F' B' U2
R' U B2 L B' F' U2
D2 R D F2 U' F B
D2 R D F2 U' B F
R' U B2 F' L B' U2
D2 R D2 U' F' B R2
D2 R D2 U' B F' R2
F' R D2 U' B R F'
F2 R D2 U' B R F'
F R D2 U' B R F'
R' U' R2 D2 B R F'
R' U' R2 B D2 R F'
R U' D B D R F'
R U' D' B R D' F2
U2 R' L' U R' F B'
U2 R' L' U R' B' F
U2 R' L' U F R' B'
R U' D2 B R D F'
R U' D2 B R D' F'
R U' D2 B R D2 F'
R U' D2 B R F' D
R U' D2 B R F' D'
R U' D2 B R F' D2
R U' D2 B' R F' B2
R U' D2 B' R B2 F'
R U' D2 B2 R F' B'
R U' D2 B2 R B' F'
D2 R' U L2 F' B U2
D2 R' U L2 B F' U2
D2 R' U F' L2 B U2
D2 R' U F' B L2 U2
D2 R' U B L2 F' U2
D2 R' U B F' L2 U2
D2 R' U' D2 R2 F' B
D2 R' U' D2 R2 B F'
R U' B L' R F L
R U' B R L' F L
R U' B D2 R D F'
R U' B D2 R D' F'
R U' B D2 R D2 F'
R U' B D2 R F' D
R U' B D2 R F' D'
R U' B D2 R F' D2
R U' B2 D2 R F' B'
R U' B2 D2 R B' F'
R U' B2 D2 B' R F'
D2 R' D2 U' R2 F' B
D2 R' D2 U' R2 B F'
R U2 L' U B R F
U' R2 U' L' U F B'
U' R2 U' L' U B' F
R D U' B D R F'
L' D' R F2 U' F' B
L' D' R F2 U' B F'
R D' U' B R D' F2
R D2 L U' B R F'
R D2 L' U' B R F'
R D2 L2 U' B R F'
F' U2 L' U R2 F B'
F' U2 L' U R2 B' F
F' U2 L' U F R2 B'
F' U2 L' U F B' R2
F' U2 L' U B' R2 F
F' U2 L' U B' F R2
F2 U2 L' U R2 F B'
F2 U2 L' U R2 B' F
F2 U2 L' U F R2 B'
F2 U2 L' U F B' R2
F2 U2 L' U B' R2 F
F2 U2 L' U B' F R2
R D2 U' B R D F'
R D2 U' B R D' F'
R D2 U' B R D2 F'
R D2 U' B R F' D
R D2 U' B R F' D'
R D2 U' B R F' D2
R D2 U' B' R F' B2
R D2 U' B' R B2 F'
R D2 U' B2 R F' B'
R D2 U' B2 R B' F'
F U2 L' U R2 F B'
F U2 L' U R2 B' F
F U2 L' U F R2 B'
F U2 L' U F B' R2
F U2 L' U B' R2 F
F U2 L' U B' F R2
L' F' R U' B R F2
U F' U L' U R2 F
U F' U L' U F R2
R F2 U L' U2 F B
R F2 U L' U2 B F
D' F2 D' R U' F' B
D' F2 D' R U' B F'
U2 B L' U R2 F B'
U2 B L' U R2 B' F
U2 B L' U F R2 B'
U2 B L' U F B' R2
U2 B L' U B' R2 F
U2 B L' U B' F R2
R B L' R D F L'
R B L' D R F L'
R B R L' D F L'
U2 B' L' U R2 F B'
U2 B' L' U R2 B' F
U2 B' L' U F R2 B'
U2 B' L' U F B' R2
U2 B' L' U B' R2 F
U2 B' L' U B' F R2
U2 B2 L' U R2 F B'
U2 B2 L' U R2 B' F
U2 B2 L' U F R2 B'
U2 B2 L' U F B' R2
U2 B2 L' U B' R2 F
U2 B2 L' U B' F R2
