B2 L2 F L' D R2
B2 L2 F D L' R2
B2 L2 F D R2 L'
F' R2 U' F' B2 L
F' R2 U' B2 L F'
F' R2 U' B2 F' L
F' U' B' D2 F2 B' L'
F' U' B' D2 B' F2 L'
F' U' B2 L' F2 L' F
F' U' B2 L2 F2 L' F'
F' U' B2 U2 R B' U2
F' U' B2 U2 B' R U2
F' U' B2 F L2 F L'
F' U' B2 F2 L2 F L
F' U2 R2 U F' B2 L
F' U2 R2 U B2 L F'
F' U2 R2 U B2 F' L
F D L2 U L R2 F'
F D L2 U R2 L F'
F D L2 U R2 F' L
R2 F B U L' F2 B
R2 F B U L' B F2
R2 F B U B L' F2
D' F' L R2 B' U' F'
F D R2 D' L' F' B2
F D R2 D' L' B2 F'
F D R2 D' B2 L' F'
D' F' L2 R2 U' F' L'
U' F' R2 U' F' B2 L
D' F' R2 L B' U' F'
U' F' R2 U' B2 L F'
U' F' R2 U' B2 F' L
D' F' R2 L2 U' F' L'
L' F' R2 U' F' B2 L
L' F' R2 U' B2 L F'
L' F' R2 U' B2 F' L
U2 F' R2 U' F' B2 L
L2 F' R2 U' F' B2 L
U2 F' R2 U' B2 L F'
U2 F' R2 U' B2 F' L
L2 F' R2 U' B2 L F'
L2 F' R2 U' B2 F' L
D2 F' U F' B R' U2
D2 F' U B F' R' U2
U F' R2 U' F' B2 L
U F' R2 U' B2 L F'
U F' R2 U' B2 F' L
L F' R2 U' F' B2 L
L F' R2 U' B2 L F'
L F' R2 U' B2 F' L
F' D' R2 B2 U' L F'
F' D' R2 B2 U' F' L
F2 D' R2 F U' F2 L'
D2 F2 B R' U' F U'
F' D2 U F2 B U2 L'
F' D2 U B R F2 U2
F' D2 U B F2 U2 L'
B' D2 F' U' F' B' L
B' D2 F' U' B' L F'
B' D2 F' U' B' F' L
R2 B U F L' F2 B
R2 B U F L' B F2
R2 B U F B L' F2
R2 B U B F L' F2
B2 F L2 D R2 F L
B2 F L2 D F L R2
B2 F L2 D F R2 L
R2 B F U L' F2 B
R2 B F U L' B F2
R2 B F U B L' F2
D2 B F2 R' U' F U'
F2 B U' F U' B L
B F U2 L' D B R2
B F U2 L' B D R2
B2 F D L2 R2 F L
B2 F D L2 F L R2
B2 F D L2 F R2 L
B2 F D R2 L2 F L
B F U2 D L' B R2
B F U2 D B L' R2
B F U2 D B R2 L'
F B U2 L' D B R2
F B U2 L' B D R2
B F U2 B L' D R2
B F U2 B D L' R2
B F U2 B D R2 L'
F B U2 D L' B R2
F B U2 D B L' R2
F B U2 D B R2 L'
F B U2 B L' D R2
F B U2 B D L' R2
F B U2 B D R2 L'
B F D U2 L' B R2
B F D U2 B L' R2
B F D U2 B R2 L'
F B D U2 L' B R2
F B D U2 B L' R2
F B D U2 B R2 L'
B F D' L2 U2 L B
F B D' L2 U2 L B
B' F' U R B2 U2 B
F' B' U R B2 U2 B
B' F' U' D2 F2 B' L'
B' F' U' D2 B' F2 L'
F' B' U' D2 F2 B' L'
F' B' U' D2 B' F2 L'
B' F' D2 U' F2 B' L'
B' F' D2 U' B' F2 L'
U' B2 L2 F L' D R2
U' B2 L2 F D L' R2
U' B2 L2 F D R2 L'
F' B' D2 U' F2 B' L'
F' B' D2 U' B' F2 L'
L' B2 L2 F L' D R2
L' B2 L2 F D L' R2
L' B2 L2 F D R2 L'
L2 B2 L2 F L' D R2
L2 B2 L2 F D L' R2
L2 B2 L2 F D R2 L'
U2 B2 L2 F L' D R2
U2 B2 L2 F D L' R2
U2 B2 L2 F D R2 L'
L B2 L2 F L' D R2
L B2 L2 F D L' R2
L B2 L2 F D R2 L'
U B2 L2 F L' D R2
U B2 L2 F D L' R2
U B2 L2 F D R2 L'
F B2 L2 D R2 F L
F B2 L2 D F L R2
F B2 L2 D F R2 L
B F2 U' F U' B L
F B2 D L2 R2 F L
F B2 D L2 F L R2
F B2 D L2 F R2 L
F B2 D R2 L2 F L
