F2 L R B' L' U
F2 L B' L' R U
F2 L B' R L' U
U2 L' D' F U' L2
U2 L' D2 F B2 U'
U2 L' D2 B2 F U'
U2 L' F U2 F U
F2 R L B' L' U
F2 R D' B U R'
F2 R2 D2 R' B U
L' D2 F B2 R' U'
L' D2 B2 R' F U'
L' D2 B2 F R' U'
F2 U2 F2 L' F U'
L' F U2 F L U
F' D F' U R F'
F2 D' R B U R'
F2 D' B R U R2
F2 D2 R U2 F' U'
F2 D2 R U2 F' U'
F2 D2 R' B R2 U
L B' L' F2 R U
U2 L' D F D B2 U'
U2 L' D F D2 U' L2
U2 L' D' F U' L2 D
U2 L' D' F U' L2 D'
U2 L' D' F U' L2 D2
U2 L' D' F D' B2 U'
U2 L' D' F B U' L2
U2 L' D' F B' U' L2
U2 L' D' F B2 U' L2
U2 L' D' B F U' L2
U2 L' D' B' F U' L2
U2 L' D' B2 F U' L2
L R' B' L' F2 R U
B' L' D2 F B2 R' U'
U2 L' D2 F U' D L2
U2 L' D2 F D U' L2
U2 L' D2 F B2 U' D
U2 L' D2 F B2 U' D'
U2 L' D2 F B2 U' D2
U2 L' D2 F B2 D U'
U2 L' D2 F B2 D' U'
U2 L' D2 F B2 D2 U'
B2 L' D2 F B2 R' U'
B L' D2 F B2 R' U'
B' L' D2 B2 R' F U'
B' L' D2 B2 F R' U'
U L' D2 F B2 U' B2
U2 L' D2 B2 D F U'
U2 L' D2 B2 D' F U'
B2 L' D2 B2 R' F U'
U2 L' D2 B2 D2 F U'
U2 L' D2 B2 F U' D
U2 L' D2 B2 F U' D'
U2 L' D2 B2 F U' D2
U2 L' D2 B2 F D U'
U2 L' D2 B2 F D' U'
U2 L' D2 B2 F D2 U'
B2 L' D2 B2 F R' U'
B L' D2 B2 R' F U'
B L' D2 B2 F R' U'
U2 L' F L2 B' L2 U'
U L' D2 B2 F U' B2
B' L' F U2 F L U
U2 L' F U2 D F U
U2 L' F U2 D' F U
U2 L' F U2 D2 F U
U2 L' F U2 F U D
U2 L' F U2 F U D'
U2 L' F U2 F U D2
U2 L' F U2 F D U
U2 L' F U2 F D' U
U2 L' F U2 F D2 U
B2 L' F U2 F L U
U2 L' F D U2 F U
U2 L' F D' U2 F U
B L' F U2 F L U
U2 L' F D2 U2 F U
U2 L' F B U2 F U
U2 L' F B' U2 F U
U2 L' F B2 U2 F U
U2 L' B D' F U' L2
U2 L' B D2 F B2 U'
U2 L' B D2 B2 F U'
U2 L' B F U2 F U
U2 L' B' D' F U' L2
U2 L' B' D2 F B2 U'
U2 L' B' D2 B2 F U'
U2 L' B' F U2 F U
D2 L' B2 R F' R2 U'
D2 L' B2 R' U2 B U
U2 L' B2 D' F U' L2
U2 L' B2 D2 F B2 U'
U2 L' B2 D2 B2 F U'
U2 L' B2 F U2 F U
L' R2 D2 F B2 R' U'
L' R2 D2 B2 R' F U'
L' R2 D2 B2 F R' U'
L' R2 F U2 F L U
L R2 B' L' F2 R U
U2 L2 D' L F U' L
U2 L2 D2 L F B2 U'
U2 L2 D2 L B2 F U'
F2 R L D B' L' U
F2 R L D' B' L' U
F2 R L D2 B' L' U
F2 R L B L' B2 U
F2 R L B' L' U D
F2 R L B' L' U D'
F2 R L B' L' U D2
F2 R L B' L' D U
F2 R L B' L' D' U
F2 R L B' L' D2 U
F2 R L B' D L' U
F2 R L B' D' L' U
F2 R L B' D2 L' U
F2 R L B2 L' B U
D2 R L' F' B2 R' U'
D2 R L' B2 F' R' U'
F2 R U D F' R F
F2 R U D' B R' B'
F2 R U F D F' R
F2 R U B' D' B R'
F2 R U' L U B' U
F2 R U' L' U' F U'
D2 R U2 L' F' B2 U'
D2 R U2 L' B2 F' U'
F2 R U2 L' F L U'
F2 R U2 D F' U' R
D2 R U2 B2 L' F' U'
L U B' L' F2 R U
F2 R D U F' R F
F2 R D U2 F' U' R
F2 R D' U B R' B'
F2 R D' B U R' D
F2 R D' B U R' D'
F2 R D' B U R' D2
F2 R D' B U D R'
F2 R D' B U D' R'
F2 R D' B U D2 R'
F2 R D' B D U R'
F2 R D' B D' U R'
F2 R D' B D2 U R'
F2 R D' B' U' L U2
F2 R D2 R' B R U
F2 R F D F' U R
F2 R B L B' L' U
F2 R B D' B U R'
F2 R B' L B' L' U
F2 R B' D' B U R'
F2 R B2 L B' L' U
F2 R B2 D' B U R'
F2 R' L B' L' R2 U
F2 R' L B' R2 L' U
L U' B' L' F2 R U
F2 R' D' B U R' F2
F2 R' D' B U F2 R'
D2 R' D2 F2 B R U
D2 R' D2 B F2 R U
R' U2 L' D' F U' L2
R' U2 L' D2 F B2 U'
R' U2 L' D2 B2 F U'
R' U2 L' F U2 F U
R2 U2 L' D' F U' L2
R2 U2 L' D2 F B2 U'
R2 U2 L' D2 B2 F U'
R2 U2 L' F U2 F U
R U2 L' D' F U' L2
R U2 L' D2 F B2 U'
R U2 L' D2 B2 F U'
R U2 L' F U2 F U
L' U2 L2 B' L' F2 U
L2 U2 L2 F2 R B U
D2 R' B U2 L' B U'
D2 R' B U2 B L' U'
D2 R2 L' B2 R' F' U'
L' U2 F2 L U2 F' U'
L U2 B' L' F2 R U
F2 R2 D' R' B U R'
F2 R2 D' B U R' F'
F2 R2 D2 R' D B U
F2 R2 D2 R' D' B U
F2 R2 D2 R' D2 B U
F2 R2 D2 R' B U D
F2 R2 D2 R' B U D'
F2 R2 D2 R' B U D2
F2 R2 D2 R' B D U
F2 R2 D2 R' B D' U
F2 R2 D2 R' B D2 U
D2 R2 D2 F2 R B U
L' D F D B2 R' U'
L2 D' L F U' L B2
F2 U F D R F' R
F2 U F D F' R F'
F2 U F2 U L' F U'
U2 D' L' B U' L' R'
U2 D' L' B U' R' L'
F2 U' L U R B' U
F2 U' L U B' R U
L' D' F U2 L U L
L' D' F D' B2 R' U'
L' D' F B2 R' U' L2
L' D' B2 R' F U' L2
L D' B' L' U L' F
L' D' B2 F R' U' L2
U2 D' B L' U' L' R'
U2 D' B L' U' R' L'
L2 D2 L R2 F B2 U'
L2 D2 L R2 B2 F U'
L2 D2 L F R2 B2 U'
L2 D2 L F B2 R2 U'
L2 D2 L B2 R2 F U'
L2 D2 L B2 F R2 U'
L' D2 R F B2 R' U'
L' D2 R B2 R' F U'
D' U2 L' B U' L' R'
D' U2 L' B U' R' L'
L' D2 R B2 F R' U'
L' D2 R' F B2 R' U'
L' D2 R' B2 R' F U'
L' D2 R' B2 F R' U'
L2 D2 R2 L F B2 U'
L2 D2 R2 L B2 F U'
L' D2 R2 F B2 R' U'
L' D2 R2 B2 R' F U'
L' D2 R2 B2 F R' U'
F2 U2 L U2 R B' U
F2 U2 L U2 B' R U
L' D2 F R B2 R' U'
L' D2 F R' B2 R' U'
B' U2 L' D' F U' L2
L' D2 F R2 B2 R' U'
B' U2 L' D2 F B2 U'
B' U2 L' D2 B2 F U'
B' U2 L' F U2 F U
B2 U2 L' D' F U' L2
B2 U2 L' D2 F B2 U'
B2 U2 L' D2 B2 F U'
B2 U2 L' F U2 F U
L' D2 F B2 R' U' D
L' D2 F B2 R' U' D'
L' D2 F B2 R' U' D2
L' D2 F B2 R' D U'
L' D2 F B2 R' D' U'
L' D2 F B2 R' D2 U'
L' D2 F B2 D R' U'
L' D2 F B2 D' R' U'
L' D2 F B2 D2 R' U'
F2 U2 L' F2 L' F' U'
B U2 L' D' F U' L2
F2 U2 L2 U2 R B U
B U2 L' D2 F B2 U'
B U2 L' D2 B2 F U'
B U2 L' F U2 F U
L' D2 F' B2 R' F2 U'
D' U2 B L' U' L' R'
D' U2 B L' U' R' L'
L' D2 B2 R F R2 U'
L' D2 B2 R' D F U'
L' D2 B2 R' D' F U'
L' D2 B2 R' D2 F U'
L' D2 B2 R' F U' D
L' D2 B2 R' F U' D'
L' D2 B2 R' F U' D2
L' D2 B2 R' F D U'
L' D2 B2 R' F D' U'
L' D2 B2 R' F D2 U'
D2 U2 B2 D2 L' F U'
L' D2 B2 D R' F U'
L' D2 B2 D F R' U'
L' D2 B2 D' R' F U'
L' D2 B2 D' F R' U'
L' D2 B2 D2 R' F U'
L' D2 B2 D2 F R' U'
L' D2 B2 F R' U' D
L' D2 B2 F R' U' D'
L' D2 B2 F R' U' D2
L' D2 B2 F R' D U'
L' D2 B2 F R' D' U'
L' D2 B2 F R' D2 U'
L' D2 B2 F D R' U'
L' D2 B2 F D' R' U'
L' D2 B2 F D2 R' U'
L' D2 B2 F' R' F2 U'
U2 D2 B2 D2 L' F U'
F2 U2 F L' F L' U'
L' F R U2 F L U
F2 U2 F2 L' D F U'
F2 U2 F2 L' D' F U'
F2 U2 F2 L' D2 F U'
F2 U2 F2 L' F U' D
F2 U2 F2 L' F U' D'
F2 U2 F2 L' F U' D2
F2 U2 F2 L' F D U'
F2 U2 F2 L' F D' U'
F2 U2 F2 L' F D2 U'
L F L2 F R B' U'
L F L2 F B' R U'
L' F R' U2 F L U
L F L2 B' F R U'
L' F R2 U2 F L U
L' F U2 D F L U
L' F U2 D' F L U
L' F U2 D2 F L U
L' F U2 F L U D
L' F U2 F L U D'
L' F U2 F L U D2
L' F U2 F L D U
L' F U2 F L D' U
L' F U2 F L D2 U
L' F U2 F D L U
L' F U2 F D' L U
L' F U2 F D2 L U
L' F U2 F' L F2 U
L' F U2 F2 L F' U
L' F D U2 F L U
L' F D' U2 F L U
F' D R U F' L' R
F' D R U F' R L'
F2 D R U F' R F
F2 D R U2 F' U' R
F2 D R D2 B U R'
L' F D2 U2 F L U
F2 D R2 D R' B U
L' F B2 R' U2 F U
F' D F' R' U R2 F'
F' D F' U R D F'
F' D F' U R D' F'
F' D F' U R D2 F'
F' D F' U R F' D
F' D F' U R F' D'
F' D F' U R F' D2
F D F R U' L' U2
F' D F' B U R F'
F' D F' B' U R F'
F' D F' B2 U R F'
F' D B F' U R F'
F' D B' F' U R F'
F' D B2 F' U R F'
R' F' D F' U R F'
R2 F' D F' U R F'
F2 D' R U B R' B'
F2 D' R B U R' D
F2 D' R B U R' D'
F2 D' R B U R' D2
F2 D' R B U D R'
F2 D' R B U D' R'
F2 D' R B U D2 R'
F2 D' R B D U R'
F2 D' R B D' U R'
F2 D' R B D2 U R'
R F' D F' U R F'
F2 D' R B' U' L U2
F2 D' R' B R2 U R
F2 D' R2 D' R' B U
F2 D' R2 B U R' F'
R' F2 L R B' L' U
L' F2 L U2 L' F' U'
R' F2 L B' L' R U
R' F2 L B' R L' U
R2 F2 L R B' L' U
U F2 L R B' U B
R2 F2 L B' L' R U
R2 F2 L B' R L' U
R F2 L R B' L' U
R' F2 R L B' L' U
L2 F2 L2 U2 L' F U'
R F2 L B' L' R U
R F2 L B' R L' U
D2 F2 R U2 F' B2 U'
D2 F2 R U2 B2 F' U'
R' F2 R D' B U R'
F D' F R B U R'
D' F2 R B U L2 R'
D' F2 R B U R' L2
F D' F B R U R2
R2 F2 R L B' L' U
R2 F2 R D' B U R'
U2 F2 R B2 L B' U
D2 F2 R' B R2 F' U
U F2 R L B' U B
F2 D' B R U R2 D
F2 D' B R U R2 D'
F2 D' B R U R2 D2
F2 D' B R D B2 U
F2 D' B R B U R2
F2 D' B R B' U R2
F2 D' B R B2 U R2
R F2 R L B' L' U
R' F2 R2 D2 R' B U
F2 D' B U R' D' F2
F2 D' B D R U R2
F2 D' B D' R U R2
F2 D' B D2 R U R2
R F2 R D' B U R'
F2 D' B' R U' L U2
F2 D' B' R B2 U R'
R2 F2 R2 D2 R' B U
F D' B F R U R2
F2 D' B2 R B' U R'
R F2 R2 D2 R' B U
R' F2 U2 F2 L' F U'
R2 F2 U2 F2 L' F U'
R' F2 D' R B U R'
L F2 U2 L2 R F U'
L F2 U2 R L2 F U'
R' F2 D' B R U R2
R' F2 D2 R U2 F' U'
R F2 U2 F2 L' F U'
R' F2 D2 R' B R2 U
F2 D2 R U2 D F' U'
F2 D2 R U2 D' F' U'
F2 D2 R U2 D2 F' U'
F2 D2 R U2 F' U' D
F2 D2 R U2 F' U' D'
F2 D2 R U2 F' U' D2
F2 D2 R U2 F' D U'
F2 D2 R U2 F' D' U'
F2 D2 R U2 F' D2 U'
R2 F2 D' R B U R'
F2 D2 R D U2 F' U'
F2 D2 R D' U2 F' U'
F2 D2 R D2 U2 F' U'
F2 D2 R B U2 F' U'
F2 D2 R B' U2 F' U'
R2 F2 D' B R U R2
F2 D2 R B2 U2 F' U'
D' F2 B R U L2 R2
D' F2 B R U R2 L2
R2 F2 D2 R U2 F' U'
R2 F2 D2 R' B R2 U
F2 D2 R' D' B U F2
R F2 D' R B U R'
F2 D2 R' B R2 U D
F2 D2 R' B R2 U D'
F2 D2 R' B R2 U D2
F2 D2 R' B R2 D U
F2 D2 R' B R2 D' U
F2 D2 R' B R2 D2 U
F2 D2 R' B U D' F2
F2 D2 R' B D' U F2
F2 D2 R' B' R2 B2 U
F2 D2 R' B2 R2 B' U
R F2 D' B R U R2
R F2 D2 R U2 F' U'
R F2 D2 R' B R2 U
F D2 R' F B R U
F D2 R' B F R U
F D2 R2 F R B U
L F2 B' U2 L2 R U'
L F2 B' U2 R L2 U'
U2 B L' D' F U' L2
U2 B L' D2 F B2 U'
U2 B L' D2 B2 F U'
U2 B L' F U2 F U
F' D2 F' R' B R' U
F' D2 F' B R' B U
F D2 F R U2 F' U'
F D2 F R' B R2 U
L B L' F2 R B2 U
L B L' F2 B2 R U
L B L' B2 F2 R U
F2 D2 B R U2 F' U'
F2 D2 B R' B R2 U
F' D2 B F' R' B U
F2 D2 B' R U2 F' U'
F2 D2 B' R' B R2 U
F2 D2 B2 R U2 F' U'
F2 D2 B2 R' B R2 U
F2 B L R B' L' U
D' B U2 L' U' L' R'
D' B U2 L' U' R' L'
F2 B L B' L' R U
F2 B L B' R L' U
D' B D F2 R U R2
F2 B R L B' L' U
F2 B R D' B U R'
F2 B R2 D2 R' B U
D' B F2 R U L2 R2
D' B F2 R U R2 L2
F2 B U2 F2 L' F U'
U2 B' L' D' F U' L2
U2 B' L' D2 F B2 U'
U2 B' L' D2 B2 F U'
U2 B' L' F U2 F U
F' B D F' U R F'
L B' L' R F2 R U
L B' L' R' F2 R U
L B' L' R2 F2 R U
F2 B D' R B U R'
L B' L' F2 R U D
L B' L' F2 R U D'
L B' L' F2 R U D2
L B' L' F2 R D U
L B' L' F2 R D' U
L B' L' F2 R D2 U
L B' L' F2 D R U
L B' L' F2 D' R U
L B' L' F2 D2 R U
F2 B D' B R U R2
F2 B D2 R U2 F' U'
F2 B D2 R' B R2 U
L B' R L' F2 R U
F2 B' L R B' L' U
L B' R' L' F2 R U
F2 B' L B' L' R U
F2 B' L B' R L' U
L B' R2 L' F2 R U
F2 B' R L B' L' U
F2 B' R D' B U R'
F2 B' R2 D2 R' B U
F2 B' U2 F2 L' F U'
B' F' D F' U R F'
F' B' D F' U R F'
B2 F' D F' U R F'
F2 B' D' R B U R'
B F' D F' U R F'
F2 B' D' B R U R2
L B' F2 U2 L2 R U'
L B' F2 U2 R L2 U'
B' F2 L R B' L' U
U2 B2 L' D' F U' L2
F2 B' D2 R U2 F' U'
U2 B2 L' D2 F B2 U'
U2 B2 L' D2 B2 F U'
F2 B' D2 R' B R2 U
U2 B2 L' F U2 F U
B2 F2 L R B' L' U
B' F2 L B' L' R U
F2 B2 L R B' L' U
B' F2 L B' R L' U
B2 F2 L B' L' R U
B2 F2 L B' R L' U
F2 B2 L B' L' R U
F2 B2 L B' R L' U
B F2 L R B' L' U
L B2 L' F2 B R U
L B2 L' B F2 R U
L' B2 R' D' F U' L2
L' B2 R' D2 F B2 U'
L' B2 R' D2 B2 F U'
L' B2 R' F U2 F U
B F2 L B' L' R U
B F2 L B' R L' U
B' F2 R L B' L' U
B' F2 R D' B U R'
B2 F2 R L B' L' U
F2 B2 R L B' L' U
B2 F2 R D' B U R'
F2 B2 R D' B U R'
B F2 R L B' L' U
B F2 R D' B U R'
B' F2 R2 D2 R' B U
B2 F2 R2 D2 R' B U
F2 B2 R2 D2 R' B U
B F2 R2 D2 R' B U
L' B2 D' R' F U' L2
L' B2 D' F R' U' L2
B' F2 U2 F2 L' F U'
L' B2 D2 R' F B2 U'
L' B2 D2 R' B2 F U'
B2 F2 U2 F2 L' F U'
L' B2 D2 F R' B2 U'
F2 B2 U2 F2 L' F U'
F' B2 D F' U R F'
L' B2 F R' U2 F U
B' F2 D' R B U R'
B F2 U2 F2 L' F U'
B' F2 D' B R U R2
B2 F2 D' R B U R'
F2 B2 D' R B U R'
B' F2 D2 R U2 F' U'
B' F2 D2 R' B R2 U
B2 F2 D' B R U R2
F2 B2 D' B R U R2
B2 F2 D2 R U2 F' U'
B F2 D' R B U R'
B2 F2 D2 R' B R2 U
F2 B2 D2 R U2 F' U'
F2 B2 D2 R' B R2 U
B F2 D' B R U R2
B F2 D2 R U2 F' U'
B F2 D2 R' B R2 U
