B2 D' R' F' B
B2 D' R' B F'
B' U R' F' L' U'
B2 D' R' D F' B
B2 D' R' D B F'
B2 D' R' D' F' B
B2 D' R' D' B F'
B2 D' R' D2 F' B
B2 D' R' D2 B F'
B2 D' R' F' D B
B2 D' R' F' D' B
B2 D' R' F' D2 B
B2 D' R' F' B D
B2 D' R' F' B D'
B2 D' R' F' B D2
B2 D' R' B D F'
B2 D' R' B D' F'
B2 D' R' B D2 F'
B2 D' R' B F' D
B2 D' R' B F' D'
B2 D' R' B F' D2
R' F' B2 D' R' B
B2 D' F R' F' B
B2 D' F R' B F'
B2 D' F' R' F' B
B2 D' F' R' B F'
B2 D' F2 R' F' B
B2 D' F2 R' B F'
B2 F D' R' F' B
B2 F D' R' B F'
B2 F' D' R' F' B
B2 F' D' R' B F'
R' B2 D' F' R' B
D2 B2 D' R' F' B
D2 B2 D' R' B F'
D' B2 D' R' F' B
D' B2 D' R' B F'
F' B2 D' R' F' B
F' B2 D' R' B F'
D B2 D' R' F' B
D B2 D' R' B F'
R' B2 F' D' R' B
B2 F2 D' R' F' B
F2 B2 D' R' F' B
B2 F2 D' R' B F'
F2 B2 D' R' B F'
F B2 D' R' F' B
F B2 D' R' B F'
F' B2 D' F R' B F'
R' B2 F' D' R' D B
R' B2 F' D' R' D' B
R' B2 F' D' R' D2 B
R' B2 F' D' R' B D
R' B2 F' D' R' B D'
R' B2 F' D' R' B D2
D2 B2 F' D' R' F' B
D2 B2 F' D' R' B F'
F' B2 D' F' R' F' B
F' B2 D' F' R' B F'
F2 B2 D' R' D F' B
F2 B2 D' R' D B F'
F2 B2 D' R' D' F' B
F2 B2 D' R' D' B F'
F2 B2 D' R' D2 F' B
F2 B2 D' R' D2 B F'
F2 B2 D' R' F' D B
F2 B2 D' R' F' D' B
F2 B2 D' R' F' D2 B
F2 B2 D' R' F' B D
F2 B2 D' R' F' B D'
F2 B2 D' R' F' B D2
F2 B2 D' R' B D F'
F2 B2 D' R' B D' F'
F2 B2 D' R' B D2 F'
F2 B2 D' R' B F' D
F2 B2 D' R' B F' D'
F2 B2 D' R' B F' D2
F' B2 D' F2 R' F' B
F' B2 D' F2 R' B F'
B2 F2 D' F R' F' B
B2 F2 D' F R' B F'
D' B2 F' D' R' F' B
D' B2 F' D' R' B F'
B2 F2 D' F' R' F' B
B2 F2 D' F' R' B F'
B2 F2 D' F2 R' F' B
B2 F2 D' F2 R' B F'
F2 B2 D' F R' F' B
F2 B2 D' F R' B F'
F2 B2 D' F' R' F' B
F2 B2 D' F' R' B F'
F2 B2 D' F2 R' F' B
F2 B2 D' F2 R' B F'
R' B2 F2 D' R' F B
R' B2 F2 D' R' B F
D2 B2 F2 D' R' F' B
D2 B2 F2 D' R' B F'
R' B2 F2 D' F R' B
D B2 F D' R' F' B
D B2 F D' R' B F'
D' B2 F2 D' R' F' B
D' B2 F2 D' R' B F'
F B2 D' R' D F' B
F B2 D' R' D B F'
F B2 D' R' D' F' B
F B2 D' R' D' B F'
F B2 D' R' D2 F' B
F B2 D' R' D2 B F'
F B2 D' R' F' D B
F B2 D' R' F' D' B
F B2 D' R' F' D2 B
F B2 D' R' F' B D
F B2 D' R' F' B D'
F B2 D' R' F' B D2
F B2 D' R' B D F'
F B2 D' R' B D' F'
F B2 D' R' B D2 F'
F B2 D' R' B F' D
F B2 D' R' B F' D'
F B2 D' R' B F' D2
D B2 F' D' R' F' B
D B2 F' D' R' B F'
F B2 D' F R' F' B
F B2 D' F R' B F'
F B2 D' F' R' F' B
F B2 D' F' R' B F'
F B2 D' F2 R' F' B
F B2 D' F2 R' B F'
D B2 F2 D' R' F' B
D B2 F2 D' R' B F'
