D2 F L2 B' U F
B2 F U2 R2 U' F'
F B2 U2 R2 U' F'
D2 F L2 B' U F D2
D2 F L2 B' D U F
D2 F L2 B' D' U F
D2 F L2 B' D2 U F
D2 F R L2 B' U F
D2 F R' L2 B' U F
D2 F R2 L2 B' U F
D' F U' F B' U2 R2
D' F U' B' F U2 R2
D F U B2 D2 R2 F'
D F U' L2 U2 F B2
D F U' L2 U2 B2 F
D F U' B' L2 F U2
F' D L2 R2 U2 F B2
F' D L2 R2 U2 B2 F
F' D R2 L2 U2 F B2
F' D R2 L2 U2 B2 F
B2 D R2 F U F2 B2
B2 D R2 F U B2 F2
F' D R2 B' L2 F U2
R' F B2 L R2 U F'
R' F B2 L U' B U2
R' F B2 R2 L U F'
B' D U F B' U B'
U' F B2 U2 R2 U' F'
B' D U B' F U B'
U2 F B2 U2 R2 U' F'
R2 F B2 U' B U2 B'
F D U B2 D2 R2 F'
U F B2 U2 R2 U' F'
F D U' L2 U2 F B2
F D U' L2 U2 B2 F
F D U' B' L2 F U2
B2 D F R2 U F' B2
B2 D F R2 U B2 F'
B2 D F U' B U2 B
D' F' R2 D' L2 F B
D' F' R2 D' L2 B F
F' D B' L2 R2 F U2
F' D B' L2 F R2 U2
F' D B' R2 L2 F U2
F' D B2 D2 L2 R2 F'
F' D B2 D2 R2 L2 F'
F' D B2 D2 R2 F' L2
R2 F' U' D' L2 R2 F
R2 F' U' D' L2 F R2
R2 F' U' D' R2 L2 F
F' D' L2 R2 D2 F B2
F' D' L2 R2 D2 B2 F
F' D' L2 F' R2 F2 B
F' D' L2 F' R2 B F2
R2 F' D' U' L2 R2 F
R2 F' D' U' L2 F R2
R2 F' D' U' R2 L2 F
F' D' R2 L2 D2 F B2
F' D' R2 L2 D2 B2 F
F' D' R2 F L2 F B'
F' D' R2 F L2 B' F
F' D' F L2 R2 F B'
F' D' F L2 R2 B' F
F' D' F L2 F R2 B'
F' D' F L2 F B' R2
F' D' F L2 B' R2 F
F' D' F L2 B' F R2
F' D' F R2 L2 F B'
F' D' F R2 L2 B' F
F D' U' F2 B' U2 R2
F D' U' B' F2 U2 R2
B2 D' F U' F B U2
B2 D' F U' B F U2
F' D' F' L2 R2 F B
F' D' F' L2 R2 B F
F' D' F' R2 L2 F B
F' D' F' R2 L2 B F
F' D' F2 L2 F R2 B
B' D' F2 U F' B' U
B' D' F2 U B' F' U
F' D' F2 U2 L2 R2 F
F' D' F2 U2 L2 F R2
F' D' F2 U2 R2 L2 F
F' D' F2 B' U2 L2 R2
F' D' F2 B' U2 R2 L2
F' D' B' F2 U2 L2 R2
F' D' B' F2 U2 R2 L2
D2 F2 U2 L2 F' U F2
D2 F2 U2 F' L2 U F
F D2 L2 U D R2 F
F D2 L2 U D F R2
F D2 L2 U2 F2 U' F'
F D2 L2 D U R2 F
F D2 L2 D U F R2
F D2 L2 D2 B2 U F
D' F2 B' U F' U R2
B2 D2 R2 F L2 U F2
B' D2 U F B' L2 U
B' D2 U B' F L2 U
B2 D2 F L2 R2 U F'
B2 D2 F L2 U' B U2
B2 D2 F R2 L2 U F'
L2 B R2 F' B2 U' F2
L2 B R2 B2 F' U' F2
B2 F L U2 R2 U' F'
B2 F L' U2 R2 U' F'
B2 F L2 U2 R2 U' F'
B2 F R U2 R U' F'
B2 F U' D B U2 B
B2 F U' D' F2 B U2
B2 F U' D' B F2 U2
B2 F U' B U' R2 U'
B2 F U' B U2 D B2
B2 F U' B D U2 B2
B2 F U' B D' F2 U2
B2 F U2 L R2 U' F'
B2 F U2 L' R2 U' F'
B2 F U2 L2 R2 U' F'
B2 F U2 R2 L U' F'
B2 F U2 R2 L' U' F'
B2 F U2 R2 L2 U' F'
B2 F U2 R2 U' D F'
B2 F U2 R2 U' D' F'
B2 F U2 R2 U' D2 F'
B2 F U2 R2 U' F' D
B2 F U2 R2 U' F' D'
B2 F U2 R2 U' F' D2
B2 F U2 R2 D U' F'
B2 F U2 R2 D' U' F'
B2 F U2 R2 D2 U' F'
B2 F D R2 U F' B2
B2 F D R2 U B2 F'
B2 F D U' B U2 B
B2 F D' U' F2 B U2
B2 F D' U' B F2 U2
D B' L2 F U' B' U'
B2 F D2 L2 R2 U F'
B2 F D2 L2 U' B U2
B2 F D2 R2 L2 U F'
B F D2 L2 B U F2
F B D2 L2 B U F2
L2 B' R2 U2 B' U F
B F D2 B L2 U F2
D2 B' U F L2 B' U
R' B' U F B' L U
F B D2 B L2 U F2
R' B' U B' F L U
R2 B' U2 F B' U F'
R2 B' U2 B' F U F'
D' B' F2 U F' U R2
F B2 L U2 R2 U' F'
R' B2 R2 F L U F2
F B2 L' U2 R2 U' F'
F B2 L2 U2 R2 U' F'
F B2 R U2 R U' F'
L2 B2 U2 B R2 U' F
B2 F2 U2 R2 B U' F'
F2 B2 U2 R2 B U' F'
R' B2 F L R2 U F'
R' B2 F L U' B U2
F B2 U' D B U2 B
F B2 U' D' F2 B U2
F B2 U' D' B F2 U2
U' B2 F U2 R2 U' F'
R' B2 F R2 L U F'
F B2 U' B U' R2 U'
F B2 U' B U2 D B2
F B2 U' B D U2 B2
F B2 U' B D' F2 U2
F B2 U2 L R2 U' F'
F B2 U2 L' R2 U' F'
F B2 U2 L2 R2 U' F'
F B2 U2 R2 L U' F'
F B2 U2 R2 L' U' F'
F B2 U2 R2 L2 U' F'
F B2 U2 R2 U' D F'
F B2 U2 R2 U' D' F'
F B2 U2 R2 U' D2 F'
F B2 U2 R2 U' F' D
F B2 U2 R2 U' F' D'
F B2 U2 R2 U' F' D2
F B2 U2 R2 D U' F'
F B2 U2 R2 D' U' F'
D B2 D2 R2 F' D' L2
F B2 U2 R2 D2 U' F'
U2 B2 F U2 R2 U' F'
R2 B2 F U' B U2 B'
F B2 D R2 U F' B2
F B2 D R2 U B2 F'
F B2 D U' B U2 B
U B2 F U2 R2 U' F'
F B2 D' U' F2 B U2
F B2 D' U' B F2 U2
F B2 D2 L2 R2 U F'
F B2 D2 L2 U' B U2
F B2 D2 R2 L2 U F'
