D R F2 L2 B'
D L2 R' F2 B R2
D L2 R' B R2 F2
D L2 R' B F2 R2
D R F2 L2 D B'
D R F2 L2 D' B'
D R F2 L2 D2 B'
D R F2 L2 B' D
D R F2 L2 B' D'
D R F2 L2 B' D2
D R F2 B L2 B'
D R F2 B' L2 B'
D R F2 B2 L2 B'
D R B F2 L2 B'
D R B' F2 L2 B'
D R B2 F2 L2 B'
D R' L2 F2 B R2
D R' L2 B R2 F2
D R' L2 B F2 R2
D R' F2 L2 B R2
D R' F2 B L2 R2
D R' F2 B R2 L2
D R' B L2 R2 F2
D R' B L2 F2 R2
D R' B R2 L2 F2
D R' B R2 F2 L2
D R' B F2 L2 R2
D R' B F2 R2 L2
R2 D L2 R' F2 B
R2 D L2 R' B F2
R2 D L2 F2 R' B
R2 D R' L2 F2 B
R2 D R' L2 B F2
R2 D R' F2 L2 B
R2 D R' F2 B L2
R2 D R' B L2 F2
R2 D R' B F2 L2
D' R2 B2 L U2 B'
U' D R F2 L2 B'
R2 D F2 L2 R' B
U2 D R F2 L2 B'
R2 D F2 R' L2 B
R2 D F2 R' B L2
U D R F2 L2 B'
D U R F2 L2 B'
D U' R F2 L2 B'
D U2 R F2 L2 B'
D F2 L2 B2 R' B
D B R F2 L2 B'
D B' R F2 L2 B'
D B2 R F2 L2 B'
D R' L2 F2 B R2 D'
D R' L2 F2 B R2 D2
D R' L2 F2 B' R2 B2
D R' L2 F2 B2 R2 B'
D R' L2 B R' F2 R'
D R' L2 B R2 F2 D
D R' L2 B R2 F2 D'
D R' L2 B R2 F2 D2
D R' L2 B F R2 F
D R' L2 B F2 R2 D
D R' L2 B F2 R2 D'
D R' L2 B F2 R2 D2
D R' L2 B' R2 F2 B2
D R' L2 B' R2 B2 F2
D R' L2 B' F2 R2 B2
D R' L2 B2 R2 F2 B'
D R' L2 B2 R2 B' F2
D R' L2 B2 F2 R2 B'
D R' U L2 F2 B R2
D R' U L2 B R2 F2
D R' U L2 B F2 R2
D R' U R2 F2 L2 B'
D R' U F2 L2 B R2
D R' U F2 B L2 R2
D R' U F2 B R2 L2
D R' U B L2 R2 F2
D R' U B L2 F2 R2
D R' U B R2 L2 F2
D R' U B R2 F2 L2
D R' U B F2 L2 R2
D R' U B F2 R2 L2
D R' U' L2 F2 B R2
D R' U' L2 B R2 F2
D R' U' L2 B F2 R2
D R' U' R2 F2 L2 B'
D R' U' F2 L2 B R2
D R' U' F2 B L2 R2
D R' U' F2 B R2 L2
D R' U' B L2 R2 F2
D R' U' B L2 F2 R2
D R' U' B R2 L2 F2
D R' U' B R2 F2 L2
D R' U' B F2 L2 R2
D R' U' B F2 R2 L2
D R' U2 L2 F2 B R2
D R' U2 L2 B R2 F2
D R' U2 L2 B F2 R2
D R' U2 R2 F2 L2 B'
D R' U2 F2 L2 B R2
D R' U2 F2 B L2 R2
D R' U2 F2 B R2 L2
D R' U2 B L2 R2 F2
D R' U2 B L2 F2 R2
D R' U2 B R2 L2 F2
D R' U2 B R2 F2 L2
D R' U2 B F2 L2 R2
D R' U2 B F2 R2 L2
B2 R' F' L2 R U' R
D R' F B R2 F L2
B2 R' F' R L2 U' R
D R' F' L2 F' B R2
D R' F' L2 B F' R2
D R' F' B L2 F' R2
D R' F2 L' B L' R2
D R' F2 L' B R2 L'
D R' F2 L2 B R2 D
D R' F2 L2 B R2 D'
D R' F2 L2 B R2 D2
D R' F2 L2 B' R2 B2
D R' F2 L2 B2 R2 B'
D R' F2 B L2 R2 D
D R' F2 B L2 R2 D'
D R' F2 B L2 R2 D2
D R' F2 B R2 L2 D
D R' F2 B R2 L2 D'
D R' F2 B R2 L2 D2
D R' F2 B' L2 R2 B2
D R' F2 B' L2 B2 R2
D R' F2 B' R2 L2 B2
D R' F2 B' R2 B2 L2
D R' F2 B2 R2 B' L2
D R' B L R2 F2 L
D R' B L F2 L R2
D R' B L F2 R2 L
D R' B L2 R' F2 R'
D R' B L2 R2 F2 D
D R' B L2 R2 F2 D'
D R' B L2 R2 F2 D2
D R' B L2 F R2 F
D R' B L2 F2 R2 D
D R' B L2 F2 R2 D'
D R' B L2 F2 R2 D2
D R' B R' L2 F2 R'
D R' B R' F2 L2 R'
D R' B R' F2 R' L2
D R' B R2 L F2 L
D R' B R2 L2 F2 D
D R' B R2 L2 F2 D'
D R' B R2 L2 F2 D2
D R' B R2 F' L2 F'
D R' B R2 F2 L2 D
D R' B R2 F2 L2 D'
D R' B R2 F2 L2 D2
D R' B F R2 F L2
D R' B F' L2 F' R2
D R' B F2 L2 R2 D
D R' B F2 L2 R2 D'
D R' B F2 L2 R2 D2
D R' B F2 R2 L2 D
D R' B F2 R2 L2 D'
D R' B F2 R2 L2 D2
D R' B' L2 R2 F2 B2
D R' B' L2 R2 B2 F2
D R' B' L2 F2 R2 B2
D R' B' L2 F2 B2 R2
D R' B' L2 B2 R2 F2
D R' B' L2 B2 F2 R2
D R' B' R2 L2 F2 B2
D R' B' R2 L2 B2 F2
D' R' B2 L B' R2 F'
D R' B' R2 F2 L2 B2
D R' B' R2 F2 B2 L2
D R' B' R2 B2 L2 F2
D R' B' R2 B2 F2 L2
R2 U2 D L2 R' F2 B
R2 U2 D L2 R' B F2
R2 U2 D L2 F2 R' B
R2 U2 D R' L2 F2 B
R2 U2 D R' L2 B F2
R2 U2 D R' F2 L2 B
R2 U2 D R' F2 B L2
R2 U2 D R' B L2 F2
R2 U2 D R' B F2 L2
D' R' B2 U2 L R2 B'
D' R' B2 U2 L B' R2
D' R' B2 U2 R2 L B'
D R' B' F2 L2 R2 B2
D R' B' F2 L2 B2 R2
D R' B' F2 R2 L2 B2
D R' B' F2 R2 B2 L2
R2 U2 D F2 L2 R' B
R2 U2 D F2 R' L2 B
R2 U2 D F2 R' B L2
D R' B2 L2 F2 R2 B
D R' B2 R2 F2 B' L2
D R' B2 R2 B' L2 F2
D R' B2 R2 B' F2 L2
D R' B2 F2 R2 B' L2
D' R2 L B2 L U2 B
D' R2 L' F B2 L U2
D' R2 L' B2 F L U2
B2 R2 L2 U' D R' B
B2 R2 L2 D U' R' B
D' R2 L2 B2 L F U2
B2 R2 L2 F' R U' R2
D R2 L2 F2 R B R2
D2 R2 U D' L2 R' B
D2 R2 U D' R' L2 B
D2 R2 U D' R' B L2
B2 R2 U' D R' F2 B
B2 R2 U' D R' B F2
B2 R2 U' D F2 R' B
D' R2 U2 D2 R' F2 B
D' R2 U2 D2 R' B F2
D' R2 U2 D2 F2 R' B
U' R2 D L2 R' F2 B
U' R2 D L2 R' B F2
U' R2 D L2 F2 R' B
U' R2 D R' L2 F2 B
U' R2 D R' L2 B F2
U' R2 D R' F2 L2 B
U' R2 D R' F2 B L2
U' R2 D R' B L2 F2
U' R2 D R' B F2 L2
U2 R2 D L2 R' F2 B
U2 R2 D L2 R' B F2
U2 R2 D L2 F2 R' B
U2 R2 D R' L2 F2 B
U2 R2 D R' L2 B F2
U2 R2 D R' F2 L2 B
U2 R2 D R' F2 B L2
U2 R2 D R' B L2 F2
U2 R2 D R' B F2 L2
B2 R2 D U' R' F2 B
B2 R2 D U' R' B F2
U' R2 D F2 L2 R' B
B2 R2 D U' F2 R' B
U' R2 D F2 R' L2 B
U' R2 D F2 R' B L2
U2 R2 D F2 L2 R' B
U2 R2 D F2 R' L2 B
U2 R2 D F2 R' B L2
U R2 D L2 R' F2 B
U R2 D L2 R' B F2
U R2 D L2 F2 R' B
D2 R2 D' U L2 R' B
D2 R2 D' U R' L2 B
D2 R2 D' U R' B L2
U R2 D R' L2 F2 B
U R2 D R' L2 B F2
U R2 D R' F2 L2 B
U R2 D R' F2 B L2
U R2 D R' B L2 F2
U R2 D R' B F2 L2
U R2 D F2 L2 R' B
U R2 D F2 R' L2 B
U R2 D F2 R' B L2
R2 D L R' F2 L B
D' R2 D2 R' F2 L' B
D' R2 D2 R' F2 B L'
D' R2 D2 R' B F2 L'
D' R2 D2 U2 R' F2 B
D' R2 D2 U2 R' B F2
D' R2 D2 U2 F2 R' B
R2 D L F2 L R' B
R2 D L F2 R' L B
R2 D L' R' B L' F2
R D L F2 D2 L B'
D' R2 F B2 L U2 B'
R2 D L2 R' F2 D B
R2 D L2 R' F2 D' B
R2 D L2 R' F2 D2 B
R2 D L2 R' F2 B D
R2 D L2 R' F2 B D'
R2 D L2 R' F2 B D2
R2 D L2 R' B F2 D
R2 D L2 R' B F2 D'
R2 D L2 R' B F2 D2
B2 R2 F' L2 R U' R2
B2 R2 F' R L2 U' R2
R2 D L2 F R' F B
R2 D L2 F R' B F
R D L2 R' B R F2
D' R2 F' B2 L U2 B'
R2 D L2 F2 R' D B
R2 D L2 F2 R' D' B
R2 D L2 F2 R' D2 B
R2 D L2 F2 R' B D
R2 D L2 F2 R' B D'
R2 D L2 F2 R' B D2
D2 R2 F2 U D' R' B
R D L2 F2 R' B R
D2 R2 F2 D' U R' B
D' R2 F2 B2 L U2 B'
R2 D R F2 L2 R2 B'
R2 D R F2 L2 B' R2
D R2 F2 L2 R B R2
R2 D R F2 R2 L2 B'
D R2 F2 R L2 B R2
D R2 F2 R B L2 R2
D R2 F2 R B R2 L2
R2 D R' L F2 L B
R2 D R' L' B L' F2
L2 D R' U' L2 B R2
R2 D R' L2 F2 D B
R2 D R' L2 F2 D' B
R2 D R' L2 F2 D2 B
R2 D R' L2 F2 B D
R2 D R' L2 F2 B D'
R2 D R' L2 F2 B D2
L2 D R' U' B L2 R2
R2 D R' L2 B F2 D
R2 D R' L2 B F2 D'
R2 D R' L2 B F2 D2
L2 D R' U' B R2 L2
R D R F2 L2 R' B'
R D R F2 R' L2 B'
R2 D R' F' L2 F' B
R2 D R' F' L2 B F'
R2 D R' F' B L2 F'
R2 D R' F2 L' B L'
R2 D R' F2 L2 D B
R2 D R' F2 L2 D' B
R2 D R' F2 L2 D2 B
R2 D R' F2 L2 B D
R2 D R' F2 L2 B D'
R2 D R' F2 L2 B D2
R D R' L2 B R F2
R2 D R' F2 B L2 D
R2 D R' F2 B L2 D'
R2 D R' F2 B L2 D2
R2 D R' F2 B' L2 B2
R2 D R' B L F2 L
R2 D R' B L2 F2 D
R2 D R' B L2 F2 D'
R2 D R' B L2 F2 D2
R2 D R' B F' L2 F'
R2 D R' B F2 L2 D
R2 D R' B F2 L2 D'
R2 D R' B F2 L2 D2
R2 D R' B' L2 F2 B2
R2 D R' B' L2 B2 F2
R2 D R' B' F2 L2 B2
R D R' B L2 R F2
R D R' B R L2 F2
R D R' B R F2 L2
D' R2 B2 L U2 D B'
D' R2 B2 L U2 D' B'
D' R2 B2 L U2 D2 B'
D' R2 B2 L U2 B' D
D' R2 B2 L U2 B' D'
D' R2 B2 L U2 B' D2
D' R2 B2 L D U2 B'
D' R2 B2 L D' U2 B'
D' R2 B2 L D2 U2 B'
D' R2 B2 L F U2 B'
D' R2 B2 L F' U2 B'
D' R2 B2 L F2 U2 B'
D' R2 B2 L' F L2 U2
R2 D U L2 R' F2 B
R2 D U L2 R' B F2
R2 D U L2 F2 R' B
R2 D U R' L2 F2 B
R2 D U R' L2 B F2
R2 D U R' F2 L2 B
R2 D U R' F2 B L2
R2 D U R' B L2 F2
R2 D U R' B F2 L2
D' R2 B2 F L U2 B'
R2 D U F2 L2 R' B
R2 D U F2 R' L2 B
R2 D U F2 R' B L2
D' R2 B2 F' L U2 B'
D' R2 B2 F2 L U2 B'
D R2 B2 L2 F2 R B
L2 D U' L2 R' B R2
R2 D U' L2 R' F2 B
R2 D U' L2 R' B F2
L2 D U' R' L2 B R2
R2 D U' L2 F2 R' B
L2 D U' R' B L2 R2
L2 D U' R' B R2 L2
R2 D U' R' L2 F2 B
R2 D U' R' L2 B F2
R2 D U' R' F2 L2 B
R2 D U' R' F2 B L2
R2 D U' R' B L2 F2
R2 D U' R' B F2 L2
R2 D U' F2 L2 R' B
R2 D U' F2 R' L2 B
R2 D U' F2 R' B L2
R2 D U2 L2 R' F2 B
R2 D U2 L2 R' B F2
R2 D U2 L2 F2 R' B
R2 D U2 R' L2 F2 B
R2 D U2 R' L2 B F2
R2 D U2 R' F2 L2 B
R2 D U2 R' F2 B L2
R2 D U2 R' B L2 F2
R2 D U2 R' B F2 L2
R2 D U2 F2 L2 R' B
R2 D U2 F2 R' L2 B
R2 D U2 F2 R' B L2
R2 D F R' F L2 B
R2 D F R' F B L2
R2 D F R' B F L2
U' D L2 R' F2 B R2
U' D L2 R' B R2 F2
U' D L2 R' B F2 R2
U2 D L2 R' F2 B R2
U2 D L2 R' B R2 F2
U2 D L2 R' B F2 R2
R2 D F' L2 F' R' B
D U L2 R' F2 B R2
D U L2 R' B R2 F2
D U L2 R' B F2 R2
U D L2 R' F2 B R2
U D L2 R' B R2 F2
U D L2 R' B F2 R2
U' D R F2 L2 D B'
U' D R F2 L2 D' B'
U' D R F2 L2 D2 B'
U' D R F2 L2 B' D
U' D R F2 L2 B' D'
U' D R F2 L2 B' D2
U' D R F2 B L2 B'
U' D R F2 B' L2 B'
U' D R F2 B2 L2 B'
R2 D F2 L' R' B L'
U' D R B F2 L2 B'
R2 D F2 L2 R' D B
R2 D F2 L2 R' D' B
R2 D F2 L2 R' D2 B
R2 D F2 L2 R' B D
R2 D F2 L2 R' B D'
R2 D F2 L2 R' B D2
U' D R B' F2 L2 B'
U' D R B2 F2 L2 B'
R2 D F2 R' L' B L'
R2 D F2 R' L2 D B
R2 D F2 R' L2 D' B
R2 D F2 R' L2 D2 B
R2 D F2 R' L2 B D
R2 D F2 R' L2 B D'
R2 D F2 R' L2 B D2
R2 D F2 R' B L2 D
R2 D F2 R' B L2 D'
R2 D F2 R' B L2 D2
R2 D F2 R' B' L2 B2
U' D R' L2 F2 B R2
U' D R' L2 B R2 F2
U' D R' L2 B F2 R2
U2 D R F2 L2 D B'
U2 D R F2 L2 D' B'
U2 D R F2 L2 D2 B'
U2 D R F2 L2 B' D
U2 D R F2 L2 B' D'
U2 D R F2 L2 B' D2
U2 D R F2 B L2 B'
U2 D R F2 B' L2 B'
U2 D R F2 B2 L2 B'
U2 D R B F2 L2 B'
U2 D R B' F2 L2 B'
U2 D R B2 F2 L2 B'
R D F2 L D2 L B'
R D F2 L2 R' B R
D U R F2 L2 D B'
D U R F2 L2 D' B'
D U R F2 L2 D2 B'
D U R F2 L2 B' D
D U R F2 L2 B' D'
D U R F2 L2 B' D2
U2 D R' L2 F2 B R2
U2 D R' L2 B R2 F2
U2 D R' L2 B F2 R2
D U R F2 B L2 B'
D U R F2 B' L2 B'
D U R F2 B2 L2 B'
U' D R' F2 L2 B R2
D U R B F2 L2 B'
U' D R' F2 B L2 R2
U' D R' F2 B R2 L2
R D F2 R' L2 B R
U' D R' B L2 R2 F2
U' D R' B L2 F2 R2
U' D R' B R2 L2 F2
U' D R' B R2 F2 L2
R D F2 R' B L2 R
R D F2 R' B R L2
D U R B' F2 L2 B'
U' D R' B F2 L2 R2
U' D R' B F2 R2 L2
D U R B2 F2 L2 B'
U D R F2 L2 D B'
U D R F2 L2 D' B'
U D R F2 L2 D2 B'
U D R F2 L2 B' D
U D R F2 L2 B' D'
U D R F2 L2 B' D2
D U R' L2 F2 B R2
D U R' L2 B R2 F2
D U R' L2 B F2 R2
U D R F2 B L2 B'
U D R F2 B' L2 B'
U D R F2 B2 L2 B'
U D R B F2 L2 B'
U2 D R' F2 L2 B R2
U D R B' F2 L2 B'
U2 D R' F2 B L2 R2
U2 D R' F2 B R2 L2
U2 D R' B L2 R2 F2
U2 D R' B L2 F2 R2
U D R B2 F2 L2 B'
U2 D R' B R2 L2 F2
U2 D R' B R2 F2 L2
U2 D R' B F2 L2 R2
U2 D R' B F2 R2 L2
U D R' L2 F2 B R2
U D R' L2 B R2 F2
U D R' L2 B F2 R2
D U R' F2 L2 B R2
D U R' F2 B L2 R2
D U R' F2 B R2 L2
D U R' B L2 R2 F2
D U R' B L2 F2 R2
D U R' B R2 L2 F2
D U R' B R2 F2 L2
D U R' B F2 L2 R2
D U R' B F2 R2 L2
D' U R2 B2 L U2 B'
U D R' F2 L2 B R2
U D R' F2 B L2 R2
U D R' F2 B R2 L2
U D R' B L2 R2 F2
U D R' B L2 F2 R2
U D R' B R2 L2 F2
U D R' B R2 F2 L2
U D R' B F2 L2 R2
U D R' B F2 R2 L2
U' D F2 L2 B2 R' B
U2 D F2 L2 B2 R' B
R D' L D2 F2 B' L2
D U F2 L2 B2 R' B
R D' L D2 B' L2 F2
R D' L D2 B' F2 L2
U' D B R F2 L2 B'
R D' L B' D2 L2 F
U D F2 L2 B2 R' B
U2 D B R F2 L2 B'
R D' L' D2 L2 F2 B'
R D' L' D2 L2 B' F2
D U B R F2 L2 B'
U' D B' R F2 L2 B'
U D B R F2 L2 B'
U2 D B' R F2 L2 B'
U' D B2 R F2 L2 B'
D U B' R F2 L2 B'
U D B' R F2 L2 B'
U2 D B2 R F2 L2 B'
D U B2 R F2 L2 B'
U D B2 R F2 L2 B'
D U' L2 R' F2 B R2
D U' L2 R' B R2 F2
D U' L2 R' B F2 R2
D U' R F2 L2 D B'
D U' R F2 L2 D' B'
D U' R F2 L2 D2 B'
D U' R F2 L2 B' D
D U' R F2 L2 B' D'
D U' R F2 L2 B' D2
D U' R F2 B L2 B'
D U' R F2 B' L2 B'
D U' R F2 B2 L2 B'
D U' R B F2 L2 B'
D U' R B' F2 L2 B'
D U' R B2 F2 L2 B'
D U' R' L2 F2 B R2
D U' R' L2 B R2 F2
D U' R' L2 B F2 R2
U' D' R2 B2 L U2 B'
D' U' R2 B2 L U2 B'
D U' R' F2 L2 B R2
D U' R' F2 B L2 R2
D U' R' F2 B R2 L2
D U' R' B L2 R2 F2
D U' R' B L2 F2 R2
D U' R' B R2 L2 F2
D U' R' B R2 F2 L2
D U' R' B F2 L2 R2
D U' R' B F2 R2 L2
U2 D' R2 B2 L U2 B'
F' U' R B2 L2 F U'
U D' R2 B2 L U2 B'
B2 U' R2 D R' F2 B
B2 U' R2 D R' B F2
B2 U' R2 D F2 R' B
B2 U' D R' F2 B R2
B2 U' D R' B R2 F2
B2 U' D R' B F2 R2
D U' F2 L2 B2 R' B
R2 D' B2 L R2 U2 B'
F2 U' D F2 L2 R B
F2 U' D F2 R L2 B
F2 U' D F2 R B L2
R2 D' B2 R2 L U2 B'
D U' B R F2 L2 B'
D U' B' R F2 L2 B'
D U' B2 R F2 L2 B'
D U2 L2 R' F2 B R2
D U2 L2 R' B R2 F2
D U2 L2 R' B F2 R2
D U2 R F2 L2 D B'
D U2 R F2 L2 D' B'
D U2 R F2 L2 D2 B'
D U2 R F2 L2 B' D
D U2 R F2 L2 B' D'
D U2 R F2 L2 B' D2
D U2 R F2 B L2 B'
D U2 R F2 B' L2 B'
D U2 R F2 B2 L2 B'
D U2 R B F2 L2 B'
D U2 R B' F2 L2 B'
D U2 R B2 F2 L2 B'
D U2 R' L2 F2 B R2
D U2 R' L2 B R2 F2
D U2 R' L2 B F2 R2
D' U2 R2 B2 L U2 B'
D U2 R' F2 L2 B R2
D U2 R' F2 B L2 R2
D U2 R' F2 B R2 L2
D U2 R' B L2 R2 F2
D U2 R' B L2 F2 R2
D U2 R' B R2 L2 F2
D U2 R' B R2 F2 L2
D U2 R' B F2 L2 R2
D U2 R' B F2 R2 L2
D U2 F2 L2 B2 R' B
D U2 B R F2 L2 B'
D U2 B' R F2 L2 B'
D U2 B2 R F2 L2 B'
R' F L2 B2 R' U' R'
R F L2 B2 R' U' R
