D' L U2 F B'
D' L U2 B' F
F' L U' R U' F
F L U2 D' F B2
F L U2 D' B2 F
D' L U2 D F B'
D' L U2 D B' F
D' L U2 D' F B'
D' L U2 D' B' F
D' L U2 D2 F B'
F L U2 F D' B2
D' L U2 D2 B' F
D' L U2 F D B'
D' L U2 F D' B'
D' L U2 F D2 B'
D' L U2 F B' D
D' L U2 F B' D'
D' L U2 F B' D2
D' L U2 B' D F
D' L U2 B' D' F
D' L U2 B' D2 F
D' L U2 B' F D
D' L U2 B' F D'
D' L U2 B' F D2
D' L D U2 F B'
D' L D U2 B' F
F L D F2 U2 F'
D' L D' U2 F B'
D' L D' U2 B' F
F L D' U2 F B2
F L D' U2 B2 F
D' L D2 U2 F B'
D' L D2 U2 B' F
D' L F' U2 F2 B'
D' L F' U2 B' F2
D' L F2 U2 F' B'
D' L F2 U2 B' F'
D' L B U2 F B2
D' L B U2 B2 F
D' L B2 U2 F B
D' L B2 U2 B F
D' L' F L2 U2 F
D' L' F B' L2 U2
D' L' B' L2 U2 B'
D' L' B' F L2 U2
L U2 F U' L' U
U2 D B2 R' F' B
U2 D B2 R' B F'
B2 U2 D R' F' B
B2 U2 D R' B F'
D' F L U2 F B'
D' F L U2 B' F
D U2 B2 R' F' B
D U2 B2 R' B F'
D' F' L U2 F B'
D' F' L U2 B' F
B2 D U2 R' F' B
B2 D U2 R' B F'
L F' U' R U' F2
D' F2 L U2 F B'
D' F2 L U2 B' F
U2 B2 D R' F' B
U2 B2 D R' B F'
D B2 U2 R' F' B
D B2 U2 R' B F'
U2 R' F' R' D B2 R'
U2 R' F' B2 R' D B2
L U2 R D R' F B
L U2 R D R' B F
L U2 R D F R' B
L U2 D R' B R F
L U2 D F R' B R
U2 R' B2 D F' R' B
U2 R' B2 F' R' D B2
L U2 D' L B' L' F
L U2 D' F L B' L'
L U2 F L D' L' B2
L U2 F L D' B2 L'
L U2 F U' L' U D
L U2 F U' L' U D'
L U2 F U' L' U D2
L U2 F U' L' D U
L U2 F U' L' D' U
L U2 F U' L' D2 U
L U2 F U' D L' U
L U2 F U' D' L' U
L U2 F U' D2 L' U
L U2 F D U' L' U
L U2 F D' U' L' U
L U2 F D2 U' L' U
L U2 F B U' L' U
L U2 F B' U' L' U
L U2 F B2 U' L' U
L U2 F' U R U' F2
L U2 B F U' L' U
R' D L R F' U2 F2
L U2 B' F U' L' U
L U2 B2 F U' L' U
R D L R' U2 F B
R D L R' U2 B F
R' D R L F' U2 F2
R' D R F' L U2 F
L D R F' R' U2 F2
R D R' L U2 F B
R D R' L U2 B F
L D U R' U F B
L D U R' U B F
L D U' R' U' F B
L D U' R' U' B F
L D U2 R' B R F
L D U2 F R' B R
U2 D R' F' B2 R' B'
U2 D R' B D2 F' R
U2 D R' B2 F' R' B'
R' D' L R U2 F B'
R' D' L R U2 B' F
U2 D F B2 R' F' B
U2 D F B2 R' B F'
R D B2 L R' F B
R D B2 L R' B F
R D B2 L F R' B
R D B2 R' L F B
R D B2 R' L B F
U2 D F' B2 R' F' B
U2 D F' B2 R' B F'
R D' L R' U2 F B'
R D' L R' U2 B' F
U2 D F2 B2 R' F' B
U2 D F2 B2 R' B F'
R' D' R L U2 F B'
R' D' R L U2 B' F
U2 D B R' F' B R'
U2 D B R' B F' R'
L D' L' F L U2 F
U2 D B2 R' D F' B
U2 D B2 R' D B F'
U2 D B2 R' D' F' B
U2 D B2 R' D' B F'
U2 D B2 R' D2 F' B
U2 D B2 R' D2 B F'
U2 D B2 R' F' D B
U2 D B2 R' F' D' B
U2 D B2 R' F' D2 B
U2 D B2 R' F' B D
U2 D B2 R' F' B D'
U2 D B2 R' F' B D2
U2 D B2 R' B D F'
U2 D B2 R' B D' F'
U2 D B2 R' B D2 F'
U2 D B2 R' B F' D
U2 D B2 R' B F' D'
U2 D B2 R' B F' D2
U2 D B2 F R' F' B
U2 D B2 F R' B F'
U2 D B2 F' R' F' B
U2 D B2 F' R' B F'
U2 D B2 F2 R' F' B
U2 D B2 F2 R' B F'
R D' R' L U2 F B'
R D' R' L U2 B' F
L D' U2 L B' L' F
L D' U2 F L B' L'
F' U' R U L U2 F
R D' B2 L R' F B'
R D' B2 L R' B' F
R D' B2 L F R' B'
R D' B2 R' L F B'
R D' B2 R' L B' F
B2 U' F' L' R U' R2
U2 D' B2 D2 R' F' B
U2 D' B2 D2 R' B F'
B2 U' F' R L' U' R2
D U2 R' F' B2 R' B'
D U2 R' B D2 F' R
D U2 R' B2 F' R' B'
D U2 F B2 R' F' B
D U2 F B2 R' B F'
D U2 F' B2 R' F' B
D U2 F' B2 R' B F'
F' U2 R' D F' B2 R'
F' U2 R' D B2 F' R'
F' U2 R' F' D B2 R'
B2 U2 R' F' U R U'
D U2 F2 B2 R' F' B
D U2 F2 B2 R' B F'
D U2 B R' F' B R'
D U2 B R' B F' R'
L' D2 B' U L U R2
L D2 B U' R' U' F
B2 U2 D R' D F' B
B2 U2 D R' D B F'
B2 U2 D R' D' F' B
B2 U2 D R' D' B F'
B2 U2 D R' D2 F' B
B2 U2 D R' D2 B F'
B2 U2 D R' F' D B
B2 U2 D R' F' D' B
B2 U2 D R' F' D2 B
B2 U2 D R' F' B D
B2 U2 D R' F' B D'
B2 U2 D R' F' B D2
B2 U2 D R' B D F'
D' U2 B2 D2 R' F' B
B2 U2 D R' B D' F'
B2 U2 D R' B D2 F'
D' U2 B2 D2 R' B F'
B2 U2 D R' B F' D
B2 U2 D R' B F' D'
B2 U2 D R' B F' D2
B2 U2 D F R' F' B
B2 U2 D F R' B F'
B2 U2 D F' R' F' B
B2 U2 D F' R' B F'
B2 U2 D F2 R' F' B
B2 U2 D F2 R' B F'
D' F L U2 D F B'
D' F L U2 D B' F
D' F L U2 D' F B'
D' F L U2 D' B' F
D' F L U2 D2 F B'
D' F L U2 D2 B' F
D' F L U2 F D B'
D' F L U2 F D' B'
D' F L U2 F D2 B'
D' F L U2 F B' D
D' F L U2 F B' D'
D' F L U2 F B' D2
D' F L U2 B' D F
D' F L U2 B' D' F
D' F L U2 B' D2 F
D' F L U2 B' F D
D' F L U2 B' F D'
D' F L U2 B' F D2
D' F L D U2 F B'
D' F L D U2 B' F
D' F L D' U2 F B'
D' F L D' U2 B' F
D' F L D2 U2 F B'
D' F L D2 U2 B' F
D U2 B2 R' D F' B
D U2 B2 R' D B F'
D U2 B2 R' D' F' B
D U2 B2 R' D' B F'
D U2 B2 R' D2 F' B
D U2 B2 R' D2 B F'
D U2 B2 R' F' D B
D U2 B2 R' F' D' B
D U2 B2 R' F' D2 B
D U2 B2 R' F' B D
D U2 B2 R' F' B D'
D U2 B2 R' F' B D2
D U2 B2 R' B D F'
D U2 B2 R' B D' F'
D U2 B2 R' B D2 F'
D U2 B2 R' B F' D
D U2 B2 R' B F' D'
D U2 B2 R' B F' D2
D' F L F' U2 F2 B'
D' F L F' U2 B' F2
D' F L F2 U2 F' B'
D' F L F2 U2 B' F'
D' F L B U2 F B2
D' F L B U2 B2 F
D' F L B2 U2 F B
D' F L B2 U2 B F
D U2 B2 F R' F' B
D U2 B2 F R' B F'
D U2 B2 F' R' F' B
D U2 B2 F' R' B F'
D U2 B2 F2 R' F' B
D U2 B2 F2 R' B F'
D' F L' F L2 U2 F
D' F L' F B' L2 U2
D' F L' B' L2 U2 B'
D' F L' B' F L2 U2
B2 U2 F' R' D F' B2
B2 U2 F' R' D B2 F'
B2 U2 F' R' F' D B2
B U2 B D R' F' B
B U2 B D R' B F'
L2 F U L' B' U F
F' U2 B2 R' D F' B2
F' U2 B2 R' D B2 F'
F' U2 B2 R' F' D B2
F2 U2 B2 D' R' F' B
F2 U2 B2 D' R' B F'
L F U L' U2 L U'
F' D L U' R U' F
B2 D L U2 R' F B
B2 D L U2 R' B F
B2 D L U2 F R' B
D2 F D L U2 F B'
D2 F D L U2 B' F
B' D L' B' U2 R' B
F D L U2 D' F B2
F D L U2 D' B2 F
F D L U2 F D' B2
F D L D F2 U2 F'
F D L D' U2 F B2
F D L D' U2 B2 F
D F U2 B2 R' F' B
D F U2 B2 R' B F'
D F D2 L U2 F B'
D F D2 L U2 B' F
L' F B' L2 U L U
D' F' L U2 D F B'
D' F' L U2 D B' F
D' F' L U2 D' F B'
D' F' L U2 D' B' F
D' F' L U2 D2 F B'
D' F' L U2 D2 B' F
D' F' L U2 F D B'
D' F' L U2 F D' B'
D' F' L U2 F D2 B'
D' F' L U2 F B' D
D' F' L U2 F B' D'
D' F' L U2 F B' D2
D' F' L U2 B' D F
D' F' L U2 B' D' F
D' F' L U2 B' D2 F
D' F' L U2 B' F D
D' F' L U2 B' F D'
D' F' L U2 B' F D2
D' F' L D U2 F B'
D' F' L D U2 B' F
D' F' L D' U2 F B'
D' F' L D' U2 B' F
D' F' L D2 U2 F B'
D' F' L D2 U2 B' F
D' F' L F' U2 F2 B'
D' F' L F' U2 B' F2
D' F' L F2 U2 F' B'
D' F' L F2 U2 B' F'
U' F' L' R U L2 U2
U' F' L' R U' D2 R2
U' F' L' R D F2 U'
U' F' L' R D2 U' R2
D' F' L B U2 F B2
D' F' L B U2 B2 F
D' F' L B2 U2 F B
D' F' L B2 U2 B F
D F B2 U2 R' F' B
D F B2 U2 R' B F'
U' F' L' D R F2 U'
U' F' L' D2 R U' R
B2 D U2 R' D F' B
B2 D U2 R' D B F'
B2 D U2 R' D' F' B
B2 D U2 R' D' B F'
B2 D U2 R' D2 F' B
B2 D U2 R' D2 B F'
B2 D U2 R' F' D B
B2 D U2 R' F' D' B
B2 D U2 R' F' D2 B
B2 D U2 R' F' B D
B2 D U2 R' F' B D'
B2 D U2 R' F' B D2
B2 D U2 R' B D F'
B2 D U2 R' B D' F'
B2 D U2 R' B D2 F'
B2 D U2 R' B F' D
B2 D U2 R' B F' D'
B2 D U2 R' B F' D2
B2 D U2 F R' F' B
B2 D U2 F R' B F'
B2 D U2 F' R' F' B
B2 D U2 F' R' B F'
D' F' L' F L2 U2 F
B2 D U2 F2 R' F' B
B2 D U2 F2 R' B F'
D' F' L' F B' L2 U2
D' F' L' B' L2 U2 B'
D' F' L' B' F L2 U2
L' F' L2 U' R U' F
B2 D F U2 R' F' B
B2 D F U2 R' B F'
U' F' R L' U L2 U2
U' F' R L' U' D2 R2
U' F' R L' D F2 U'
U' F' R L' D2 U' R2
B2 D F' U2 R' F' B
B2 D F' U2 R' B F'
B2 D F2 U2 R' F' B
B2 D F2 U2 R' B F'
U2 F' R' D F' B2 R'
U2 F' R' D B2 F' R'
U2 F' R' F' D B2 R'
B' D B' U2 R' F' B
B' D B' U2 R' B F'
B' D' L U2 F R B'
B' D' L U2 F B' R
B' D' L U2 B' F R
F' D' L U' R U' F
B2 D' L U2 R' F B'
B2 D' L U2 R' B' F
B2 D' L U2 F R' B'
L F' U' L R U' F2
D2 F' D L U2 F B'
D2 F' D L U2 B' F
L F' U' L' R U' F2
L F' U' L2 R U' F2
B' D' L' F B' U2 R'
L F' U' R L U' F2
L F' U' R L' U' F2
L F' U' R L2 U' F2
L F' U' R U' F2 D
L F' U' R U' F2 D'
L F' U' R U' F2 D2
L F' U' R D' L2 U'
B' D' L' B' F U2 R'
L F' U' D' L2 R U'
L F' U' D' R L2 U'
F D' L U2 D' F B2
F D' L U2 D' B2 F
F D' L U2 F D' B2
F D' L D F2 U2 F'
F D' L D' U2 F B2
F D' L D' U2 B2 F
D F' U2 B2 R' F' B
D F' U2 B2 R' B F'
L F' U2 F2 U' L' U
D F' D2 L U2 F B'
D F' D2 L U2 B' F
L F' D' U' L2 R U'
L F' D' U' R L2 U'
L' F' B' L2 U' R U'
L F' D2 B2 U' R U'
L F' B U' R U' F2
U2 F' B2 R' D F' B2
U2 F' B2 R' D B2 F'
U2 F' B2 R' F' D B2
D' F2 L U2 D F B'
D' F2 L U2 D B' F
D' F2 L U2 D' F B'
D' F2 L U2 D' B' F
D' F2 L U2 D2 F B'
D' F2 L U2 D2 B' F
D' F2 L U2 F D B'
D' F2 L U2 F D' B'
D' F2 L U2 F D2 B'
D' F2 L U2 F B' D
D' F2 L U2 F B' D'
D' F2 L U2 F B' D2
D' F2 L U2 B' D F
D' F2 L U2 B' D' F
D' F2 L U2 B' D2 F
D' F2 L U2 B' F D
D' F2 L U2 B' F D'
D' F2 L U2 B' F D2
D' F2 L D U2 F B'
D' F2 L D U2 B' F
D' F2 L D' U2 F B'
D' F2 L D' U2 B' F
D' F2 L D2 U2 F B'
D' F2 L D2 U2 B' F
D' F2 L F' U2 F2 B'
D' F2 L F' U2 B' F2
D' F2 L F2 U2 F' B'
D' F2 L F2 U2 B' F'
D' F2 L B U2 F B2
D' F2 L B U2 B2 F
L F' B' U' R U' F2
D' F2 L B2 U2 F B
D' F2 L B2 U2 B F
D F' B2 U2 R' F' B
D F' B2 U2 R' B F'
D' F2 L' F L2 U2 F
D' F2 L' F B' L2 U2
L F' B2 U' R U' F2
D' F2 L' B' L2 U2 B'
D' F2 L' B' F L2 U2
B' D' B L U2 F B'
B' D' B L U2 B' F
B2 D' B2 L U2 F B'
