D2 B U F2 L' R'
D2 B U F2 R' L'
R' F U' B2 L' R2 U2
R' F U' B2 R2 L' U2
R2 F U' L' R' B2 U2
R2 F U' L' B2 U2 L
R2 F U' R' L' B2 U2
R2 F U' R' B2 L' U2
R2 F U' B2 L' U2 L2
R' F D' R2 F2 U R
R' F D' F2 R2 U R'
R' F D2 U F2 L2 R
R' F D2 U F2 R L2
D2 F B U R' F L'
D2 F B U F L' R'
D2 F B U F R' L'
U' F B2 L' F' R U2
R F B2 L' U L U
U F' R D2 F' L' F'
U F' R F D2 F2 L'
U F' R F' L' D2 F2
U F' R F' D2 L' F2
R' F' U R D2 F2 L'
R' F' U D2 L2 R F2
R' F' U D2 R L2 F2
R' F' U D2 R F2 L2
R' F' U' R2 B2 L U2
R2 F' U R D2 L2 F2
R2 F' U R D2 F2 L2
R' F' U' B2 R2 U2 R'
R2 F' U' R' B2 U2 R2
R2 F' U' B2 U2 L R
R2 F' U' B2 U2 R L
R' F' D' R2 F2 U R'
R' F' D2 U L2 R F2
R' F' D2 U R L2 F2
R' F' D2 U R F2 L2
U F' D2 R F' L' F'
F' D' R2 F' U L' R'
F' D' R2 F' U R' L'
D2 F2 L' B D' R' B
U F2 L' D2 F R F
U F2 L' F R D2 F2
U F2 L' F D2 R F2
U F2 L' F' D2 F2 R
U F2 D2 L' F R F
B' D2 U' R B' L U2
B' D2 U' B' L R U2
B' D2 U' B' R L U2
B D2 U' B R U2 R2
U' B R U2 R F' R
U' B R U2 F' R F'
D2 B U L F2 L' R'
D2 B U L F2 R' L'
D2 B U L' F2 L' R'
D2 B U L' F2 R' L'
D2 B U L2 F2 L' R'
D2 B U L2 F2 R' L'
D2 B U R' F2 D2 L2
D2 B U F R' F L'
D2 B U F2 L' R' D
D2 B U F2 L' R' D'
D2 B U F2 L' R' D2
D2 B U F2 L' D R'
D2 B U F2 L' D' R'
D2 B U F2 L' D2 R'
D2 B U F2 R' L' D
D2 B U F2 R' L' D'
D2 B U F2 R' L' D2
D2 B U F2 R' D L'
D2 B U F2 R' D' L'
D2 B U F2 R' D2 L'
D2 B U F2 D L' R'
D2 B U F2 D R' L'
D2 B U F2 D' L' R'
D2 B U F2 D' R' L'
D2 B U F2 D2 L' R'
D2 B U F2 D2 R' L'
D2 B U' R U2 R2 F2
D2 B U' R U2 F2 R2
R' B U' R2 U2 F' R
F D2 B' U F2 L R
F D2 B' U F2 R L
U' B D2 B R U2 R2
D2 B F U R' F L'
D2 B F U F L' R'
D2 B F U F R' L'
U' B' R D2 B' L U2
D2 B' U L2 F2 L' R
D2 B' U L2 F2 R L'
D2 B' U F2 L' D2 R2
D2 B' U' L R U2 F2
D2 B' U' L U2 F2 L'
D2 B' U' R L U2 F2
U' B' D2 R B' L U2
U' B' D2 B' L R U2
U' B' D2 B' R L U2
U' B2 R U' F' U' R
U' B2 R U2 F' R F
U' B2 R F L' F' U2
U B2 R F L' U2 B2
U B2 R F' U2 R B2
U B2 R F' U2 B2 R
U' B2 D R U' F' U'
U' B2 F L' F' R U2
R B2 F L' U L U
