R B U' R2 F'
L' R B U' R2 F'
L2 R B U' R2 F'
L R B U' R2 F'
R L B U' R2 F'
R L' B U' R2 F'
D L2 R B U' R2
R L2 B U' R2 F'
D R L2 B U' R2
D2 R B U' R2 F2
D2 R B U' F2 R2
D R B L2 U' R2
R F B U' R2 F'
R F' B U' R2 F'
R F2 B U' R2 F'
R B L U' R2 F'
R B L' U' R2 F'
R B L2 U' R2 F'
R B U B U2 R2
R B U' R2 D F'
R B U' R2 D' F'
R B U' R2 D2 F'
R B U' R2 F' D
R B U' R2 F' D'
R B U' R2 F' D2
R B U' F R2 F'
R B U' F' R2 F'
R B U' F2 R2 F'
R B F U' R2 F'
R B F' U' R2 F'
R B F2 U' R2 F'
D L2 R B F2 U' R2
R L2 F B U' R2 F'
R L2 F' B U' R2 F'
R L2 F2 B U' R2 F'
R L2 B L U' R2 F'
R L2 B L' U' R2 F'
R L2 B L2 U' R2 F'
R L2 B U B U2 R2
R L2 B U' R2 D F'
R L2 B U' R2 D' F'
R L2 B U' R2 D2 F'
R L2 B U' R2 F' D
R L2 B U' R2 F' D'
R L2 B U' R2 F' D2
R L2 B U' F R2 F'
R L2 B U' F' R2 F'
R L2 B U' F2 R2 F'
R L2 B F U' R2 F'
R L2 B F' U' R2 F'
R L2 B F2 U' R2 F'
D L2 D R B U' R2
D L2 D' R B U' R2
D L2 D2 R B U' R2
R' U R2 D L2 B U'
R2 U R' B U' R2 F'
R' U R2 D B L2 U'
R' U R2 D2 B U' F2
R' U R2 B U B U2
D L2 B' R B U' R'
B2 R L U' B U' B'
D2 R L B U' R2 F2
D2 R L B U' F2 R2
D2 R L' B U' R2 F2
D2 R L' B U' F2 R2
D R L' B L' U' R2
D2 R L2 B U' R2 F2
D2 R L2 B U' F2 R2
B' R L2 B U' R' F
B' R L2 B U' F R'
D R L2 D' F2 B U'
D R L2 D' B F2 U'
D R L2 F B U' R2
D R L2 F' B U' R2
D R L2 F2 B U' R2
D R L2 B U' R2 D
D R L2 B U' R2 D'
D R L2 B U' R2 D2
D R L2 B D' F2 U'
D R L2 B F U' R2
D R L2 B F' U' R2
D R L2 B F2 U' R2
R' U B R2 B U' F'
D2 R D' L2 F2 B U'
D2 R D' L2 B F2 U'
D2 R D' F2 L2 B U'
D2 R D' F2 B L2 U'
D' R D' F2 L' B U'
D2 R D' B L2 F2 U'
D' R D' F2 B L' U'
D2 R D' B F2 L2 U'
D' R D' B F2 L' U'
R U B2 U' B' U' R2
D R F L2 B U' R2
D2 R F B U' R2 F
D2 R F B U' F R2
D R F B L2 U' R2
D R F' L2 B U' R2
D2 R F' B U' F' R2
D' R F2 L' B U' R2
D R F' B L2 U' R2
D R F2 L2 B U' R2
D' R F2 B L' U' R2
D2 R B L U' R2 F2
D2 R B L U' F2 R2
D2 R B L' U' R2 F2
D2 R B L' U' F2 R2
D2 R B L2 U' R2 F2
D2 R B L2 U' F2 R2
D R F2 B L2 U' R2
D2 R B U' R' F2 R'
D2 R B U' R2 F2 D
D2 R B U' R2 F2 D'
D2 R B U' R2 F2 D2
D2 R B U' F R2 F
D2 R B U' F2 R2 D
D2 R B U' F2 R2 D'
D2 R B U' F2 R2 D2
B' R B U B2 L U2
B' R B U' R' D2 F2
D' R B U2 R U R
B' R B U' D2 R' F2
B' R B U' D2 F2 R'
U' R B U' L R2 F'
U' R B U' R2 L F'
U' R B U' R2 F' L
D R B L2 U' R2 D
D R B L2 U' R2 D'
D R B L2 U' R2 D2
D R B L2 D' F2 U'
D R B L2 F U' R2
D R B L2 F' U' R2
D R B L2 F2 U' R2
B' R B D L2 U' R'
D2 R B D' L2 F2 U'
D2 R B D' F2 L2 U'
D' R B D' F2 L' U'
B2 R B U B' L U2
D2 R B F U' R2 F
D2 R B F U' F R2
B' R B D2 U' R' F2
B' R B D2 U' F2 R'
U2 R B U' R2 F' L'
R2 U' R' B U' R2 F'
D2 R B F' U' F' R2
D' R B F2 L' U' R2
D R B U' R2 D F2
D R B F L2 U' R2
D R B F' L2 U' R2
D R B F2 L2 U' R2
D R B' L2 B2 U' R2
R' U' D' F' R2 U B
R' U' D2 L2 F' U F'
B2 R' L U' R2 B U'
R' U' D2 F' L2 U F'
R' U' F' D2 L2 U F2
D2 R' U R2 B U' F2
D R' U L2 R2 B U'
D R' U R2 L2 B U'
D R' U R2 B L2 U'
R U' B U' R2 F' B'
R U' B U' R2 B' F'
D2 R' F D' F L2 B'
R2 U2 R' B U' R2 F'
B2 R2 L U' R' B U'
D' R2 U2 R' B U' R2
R' U2 B2 U' R2 B U'
L' D L2 R B U' R2
L2 D L2 R B U' R2
L' D R L2 B U' R2
L D L2 R B U' R2
L2 D R L2 B U' R2
R D L2 D' B U' R2
R D L2 D2 F2 B U'
R D L2 D2 B F2 U'
L' D R B L2 U' R2
R D L2 B U2 B U
L2 D R B L2 U' R2
L D R L2 B U' R2
L D R B L2 U' R2
R D B L2 U2 B U
R D B' L2 F B2 U'
R D B' L2 B2 F U'
F' U B2 L F R U2
R' D' U' F' R2 U B
R' D' F D' L2 F2 B'
R' D' F D' L2 B' F2
R' D' F' R2 U B R2
F' U' R B L R2 F'
F' U' R B R2 L F'
F' U' R B R2 F' L
R D' F2 U2 R2 F' U
R D' F2 D' B U' F2
R D' F2 D2 L2 B U'
R D' F2 D2 B L2 U'
R D' F2 B U' D' F2
R D' F2 B U2 R2 U
R D' F2 B D' U' F2
R D' F2 B D2 L2 U'
R D' B F2 U' D' F2
R D' B F2 U2 R2 U
R D' B F2 D' U' F2
R D' B F2 D2 L2 U'
R D2 L' B U' F2 R
L' D2 R B U' R2 F2
L' D2 R B U' F2 R2
L2 D2 R B U' R2 F2
L2 D2 R B U' F2 R2
L D2 R B U' R2 F2
L D2 R B U' F2 R2
R' D2 U' L2 F' U F'
R' D2 U' F' L2 U F'
R' D2 F D' F L2 B2
R' D2 F D' F B2 L2
R' D2 F D' B2 F L2
R' D2 F2 U' F L2 U
R D2 B L' U' F2 R
R D2 B U L2 U2 F2
R D2 B U' F2 D2 R2
R F L B U' R2 F'
R F L' B U' R2 F'
R F L2 B U' R2 F'
F D L2 U' R' B L
R F B L U' R2 F'
R F B L' U' R2 F'
R F B L2 U' R2 F'
R F B U B U2 R2
R F B U' R2 D F'
R F B U' R2 D' F'
R F B U' R2 D2 F'
R F B U' R2 F' D
R F B U' R2 F' D'
R F B U' R2 F' D2
R F B U' F R2 F'
R F B U' F' R2 F'
R F B U' F2 R2 F'
R F' L B U' R2 F'
R F' L' B U' R2 F'
R F' L2 B U' R2 F'
D2 F' U F' L' R' B'
D2 F' U F' R' L' B'
R' F' D2 F2 D' L2 B2
R' F' D2 F2 D' B2 L2
R F' B L U' R2 F'
R F' B L' U' R2 F'
R F' B L2 U' R2 F'
R F' B U B U2 R2
R F' B U' R2 D F'
R F' B U' R2 D' F'
R F' B U' R2 D2 F'
R F' B U' R2 F' D
R F' B U' R2 F' D'
R F' B U' R2 F' D2
R F' B U' F R2 F'
R F' B U' F' R2 F'
R F' B U' F2 R2 F'
R F2 L B U' R2 F'
R F2 L' B U' R2 F'
D2 F2 R' U' L' F' U
R F2 L2 B U' R2 F'
R F2 B L U' R2 F'
R F2 B L' U' R2 F'
R F2 B L2 U' R2 F'
R F2 B U B U2 R2
R F2 B U' R2 D F'
R F2 B U' R2 D' F'
R F2 B U' R2 D2 F'
R F2 B U' R2 F' D
R F2 B U' R2 F' D'
R F2 B U' R2 F' D2
R F2 B U' F R2 F'
R F2 B U' F' R2 F'
R F2 B U' F2 R2 F'
R B L U B U2 R2
R B L U' R2 D F'
R B L U' R2 D' F'
R B L U' R2 D2 F'
R B L U' R2 F' D
R B L U' R2 F' D'
R B L U' R2 F' D2
R B L U' F R2 F'
R B L U' F' R2 F'
R B L U' F2 R2 F'
R B L F U' R2 F'
R B L F' U' R2 F'
R B L F2 U' R2 F'
R B L' U B U2 R2
R B L' U' R2 D F'
R B L' U' R2 D' F'
R B L' U' R2 D2 F'
R B L' U' R2 F' D
R B L' U' R2 F' D'
R B L' U' R2 F' D2
R B L' U' F R2 F'
R B L' U' F' R2 F'
R B L' U' F2 R2 F'
R B L' F U' R2 F'
R B L' F' U' R2 F'
R B L' F2 U' R2 F'
R B L2 U B U2 R2
R B L2 U' R2 D F'
R B L2 U' R2 D' F'
R B L2 U' R2 D2 F'
R B L2 U' R2 F' D
R B L2 U' R2 F' D'
R B L2 U' R2 F' D2
R B L2 U' F R2 F'
R B L2 U' F' R2 F'
R B L2 U' F2 R2 F'
R B L2 F U' R2 F'
R B L2 F' U' R2 F'
R B L2 F2 U' R2 F'
R' B R2 B U' F' R2
R' B U R2 B U' F'
R B U L U2 R2 F'
R B U L B U2 R2
R B U L' U2 R2 F'
R B U L' B U2 R2
R B U L2 U2 R2 F'
R B U L2 B U2 R2
R B U D2 L2 B U2
R B U D2 B L2 U2
R B U B L U2 R2
R B U B L' U2 R2
R B U B L2 U2 R2
R B U B U2 R2 D
R B U B U2 R2 D'
R B U B U2 R2 D2
R B U B D2 L2 U2
R B U' L' R2 F' L
R B U' L2 R2 F' L2
R B U' R' D R' F'
R B U' R' D' R' F'
R B U' R' D2 R' F'
R B U' R' F R' F'
R B U' R' F' R' F'
R B U' R' F2 R' F'
R B U' R2 L' F' L
R B U' R2 L2 F' L2
R B U' R2 D F' D
R B U' R2 D F' D'
R B U' R2 D F' D2
R B U' R2 D' F' D
R B U' R2 D' F' D'
R B U' R2 D' F' D2
R B U' R2 D2 F' D
R B U' R2 D2 F' D'
R B U' R2 D2 F' D2
R B U' R2 F2 D F
R B U' R2 F2 D' F
R B U' R2 F2 D2 F
R B U' F R2 D F'
R B U' F R2 D' F'
R B U' F R2 D2 F'
R B U' F R2 F' D
R B U' F R2 F' D'
R B U' F R2 F' D2
R B U' F' R2 D F'
R B U' F' R2 D' F'
R B U' F' R2 D2 F'
R B U' F' R2 F' D
R B U' F' R2 F' D'
R B U' F' R2 F' D2
R B U' F2 R2 D F'
R B U' F2 R2 D' F'
R B U' F2 R2 D2 F'
R B U' F2 R2 F' D
R B U' F2 R2 F' D'
R B U' F2 R2 F' D2
R B U2 R U R F'
R B D' F2 U B U2
R B D2 U L2 B U2
R B D2 U B L2 U2
R B F L U' R2 F'
R B F L' U' R2 F'
R B F L2 U' R2 F'
R B F U B U2 R2
R B F U' R2 D F'
R B F U' R2 D' F'
R B F U' R2 D2 F'
R B F U' R2 F' D
R B F U' R2 F' D'
R B F U' R2 F' D2
R B F U' F R2 F'
R B F U' F' R2 F'
R B F U' F2 R2 F'
R B F' L U' R2 F'
R B F' L' U' R2 F'
R B F' L2 U' R2 F'
R B F' U B U2 R2
R B F' U' R2 D F'
R B F' U' R2 D' F'
R B F' U' R2 D2 F'
R B F' U' R2 F' D
R B F' U' R2 F' D'
R B F' U' R2 F' D2
R B F' U' F R2 F'
R B F' U' F' R2 F'
R B F' U' F2 R2 F'
R B F2 L U' R2 F'
R B F2 L' U' R2 F'
R B F2 L2 U' R2 F'
R B F2 U B U2 R2
R B F2 U' R2 D F'
R B F2 U' R2 D' F'
R B F2 U' R2 D2 F'
R B F2 U' R2 F' D
R B F2 U' R2 F' D'
R B F2 U' R2 F' D2
R B F2 U' F R2 F'
R B F2 U' F' R2 F'
R B F2 U' F2 R2 F'
D B' L2 R B U' R'
D2 B' R B U' R' F2
D2 B' R B U' F2 R'
D B' R L2 B U' R'
D B' R B L2 U' R'
R B' L2 B2 U' R2 F
R B' L2 B2 U' F R2
R B' R2 D L2 F B2
R B' R2 D L2 B2 F
R B' U' R2 D L2 F
U B2 L U' R B U'
R B2 U' B' U' B R2
