U L' R' U' R F
U R' L' U' R F
U R' U' D2 R F'
U2 R' U' F2 L' F
U R' D2 U' R F'
L' U2 R' U' F L
L2 U2 R' U' L2 F'
L2 U2 R' U' F' L2
R2 F2 L' U F L
D2 U R' U' R2 F' R'
F' U R' U' D2 R F'
D' U R' D' U' R F'
F2 U R' L' U' R F
F' U R' D2 U' R F'
F2 U R' U' D2 R F'
F2 U R' D2 U' R F'
D U R' U' D R F'
F U R' L' U' R F
D U R' D U' R F'
F U R' U' D2 R F'
U D R' U' D R F'
U D R' D U' R F'
F U R' D2 U' R F'
D U F L' R' U' R
D U F R' L' U' R
U D F L' R' U' R
U D F R' L' U' R
L' D' U2 R' U' F L
L2 D' U2 R' B2 U' F'
B2 U' L B2 R2 U F'
B2 U' L B2 U' B U2
U D' R' U' D' R F'
U D' R' D' U' R F'
B' U' D' B R' U B
R D2 L2 R U L2 F'
R D2 L2 R U F' L2
R D2 R L2 U L2 F'
R D2 R L2 U F' L2
D2 U2 R' U B R U2
B U' B' L' U F B'
B U' B' L' U B' F
R2 D2 U R U' F' R'
U2 D2 R' U B R U2
L' D2 U2 R' U' F L
U D2 R' U B U2 R
U D2 R' U' R2 F' R'
F' U2 R' U' F2 L' F
F2 U2 R' U' F2 L' F
F U2 R' U' F2 L' F
L' F L U R' U' R
U F L' R' U' R F
U F R' L' U' R F
U F R' U' D2 R F'
U F R' D2 U' R F'
L' F U R' U' L R
L' F U R' U' R L
D F U L' R' U' R
D F U R' L' U' R
L2 F U2 R' U' L2 F'
L2 F U2 R' U' F' L2
U F' L' R' U' R F
L' F' R' U' L F2 R
D F' R D2 L2 U L2
U F' R' L' U' R F
U F' R' U' D2 R F'
U F' R' D2 U' R F'
L' F' U2 R' U' L F2
L' F' U2 R' U' F2 L
L2 F' U2 R' U' L2 F'
L2 F' U2 R' U' F' L2
B' D' U' B R' U B
R2 F2 L' R U F L
R2 F2 L' R' U F L
R2 F2 L' R2 U F L
R2 F2 L' U D F L
R2 F2 L' U D' F L
R2 F2 L' U D2 F L
R2 F2 L' U F L D
R2 F2 L' U F L D'
R2 F2 L' U F L D2
R2 F2 L' U F D L
R2 F2 L' U F D' L
R2 F2 L' U F D2 L
R2 F2 L' U F' L F2
R2 F2 L' U F2 L F'
R2 F2 L' D U F L
R2 F2 L' D' U F L
R2 F2 L' D2 U F L
R2 F2 L' F' U L F2
R2 F2 L' F' U F2 L
R2 F2 L' F2 U L F'
R2 F2 L' F2 U F' L
U F2 L' R' U' R F
R2 F2 R L' U F L
R2 F2 R' L' U F L
U2 F2 R' F2 U' L' F
U F2 R' L' U' R F
R2 F2 R2 L' U F L
U F2 R' U' D2 R F'
U F2 R' D2 U' R F'
L2 F2 U2 R' U' L2 F'
L2 F2 U2 R' U' F' L2
U' B2 L U' B' L' U2
L B2 L B2 U L2 F
U B2 L' D F L2 B'
L B2 L' D' R2 F' B2
L B2 L' D' R2 B2 F'
D' B2 U' L B2 U F
