B L B2 D' R2 F'
B L' U F L2 B2
B L' U F B2 L2
B L' U B2 F L2
B U L' F L2 B2
B U L' F B2 L2
B U L' B2 F L2
L' B U F L B'
D' B R' U L B2
D' B R' F' U L B2
D' B R' F2 U L B2
L' B R2 U F L B'
L' B U F L D B'
L' B U F L D' B'
L' B U F L D2 B'
L' B U F L B' D
L' B U F L B' D'
L' B U F L B' D2
L' B U F' L F2 B'
L' B U F' L B' F2
L' B U F2 L F' B'
L' B U F2 L B' F'
F' B L B2 D' R2 F'
U B U F' L' F B2
U B U F' L' B2 F
U B U F' B2 L' F
F' B L' U F L2 B2
F' B L' U F B2 L2
F' B L' U B2 F L2
F2 B L B2 D' R2 F'
U B U B2 F' L' F
D' B D L2 R' U L'
F2 B L' U F L2 B2
F2 B L' U F B2 L2
F2 B L' U B2 F L2
D' B D R' L2 U L'
B F L B2 D' R2 F'
B F L' U F L2 B2
B F L' U F B2 L2
B F L' U B2 F L2
F B L B2 D' R2 F'
F B L' U F L2 B2
F B L' U F B2 L2
F B L' U B2 F L2
D' B F R' U L B2
D' B F' R' U L B2
L' B F' U L F2 B'
L' B F' U L B' F2
L' B F' U F2 L B'
F' B U L' F L2 B2
F' B U L' F B2 L2
F' B U L' B2 F L2
D' B F2 R' U L B2
U2 B F' U L' F B2
U2 B F' U L' B2 F
U2 B F' U B2 L' F
F2 B U L' F L2 B2
F2 B U L' F B2 L2
F2 B U L' B2 F L2
L' B F2 U L F' B'
L' B F2 U L B' F'
L' B F2 U F' L B'
D B F' R U L B2
B F U L' F L2 B2
B F U L' F B2 L2
B F U L' B2 F L2
F B U L' F L2 B2
F B U L' F B2 L2
F B U L' B2 F L2
D B F2 U L F B2
D B F2 U L B2 F
B F' L B2 D' R2 F'
B F' L' U F L2 B2
B F' L' U F B2 L2
B F' L' U B2 F L2
D' B' U' B2 R' U L
D B' D' R2 F2 L' F
B F' U L' F L2 B2
B F' U L' F B2 L2
B F' U L' B2 F L2
U2 B' F' L' D' R2 F
U2 B' F' L' D' F R2
U2 B' F' L' F D' R2
B F2 L B2 D' R2 F'
B F2 L' U F L2 B2
B F2 L' U F B2 L2
B F2 L' U B2 F L2
B F2 U L' F L2 B2
B F2 U L' F B2 L2
B F2 U L' B2 F L2
