R U F2 B U B'
R U B F2 U B'
D' R B U L2 F
F2 R B U' B' U2
F2 R' U2 F' U' F
B U D' L2 F R
R D' B U L2 F
F2 U2 L F U' F'
F2 U2 F' U' F R
B D' U L2 F R
R' F2 U2 F U' F'
R F2 B U' B' U2
D' B U L2 F R
R B U D' L2 F
R B D' U L2 F
F2 B U' B' U2 R'
R B F2 U' B' U2
F2 B' U' B L U2
B' F2 U' B L U2
B F2 U' B' U2 R'
B' U' B L U2 D' L2
B' U' B L D R2 U2
B' U' B L D' U2 L2
F2 U' B L U' L' U'
B' U' B D L R2 U2
B' U' B D R2 L U2
B' U' B D' L U2 L
B U' B' U F2 U R'
B U' B' U2 R' D' L2
B U' B' U2 D' L2 R'
B U' B' U2 D' R' L2
B U' B' D R2 U2 R
B U' B' D' U2 L2 R'
B U' B' D' U2 R' L2
R' D2 U2 F' B2 U' F
R' D2 U2 B2 F' U' F
F2 U2 L D F U' F'
F2 U2 L D' F U' F'
F2 U2 L D2 F U' F'
F2 U2 L F L U' F'
F2 U2 L F L' U' F'
F2 U2 L F L2 U' F'
F2 U2 L F U' D F'
F2 U2 L F U' D' F'
F2 U2 L F U' D2 F'
F2 U2 L F U' F' D
F2 U2 L F U' F' D'
F2 U2 L F U' F' D2
F2 U2 L F D U' F'
F2 U2 L F D' U' F'
F2 U2 L F D2 U' F'
D' U2 F' U' F L2 R
D' U2 F' U' F R L2
D2 U2 F' B2 U' F R
U2 D2 F' B2 U' F R
D2 U2 B2 L F U' F'
F2 U2 D L F U' F'
U2 D2 B2 L F U' F'
D2 U2 B2 F' U' F R
F2 U2 D F' U' F R
F2 U2 D' L F U' F'
U2 D2 B2 F' U' F R
F2 U2 D' F' U' F R
F2 U2 D2 L F U' F'
F2 U2 D2 F' U' F R
F2 U2 F L F U' F2
F2 U2 F U' F R F2
F2 U2 F' U' R F R
F2 U2 F' U' R' F R
F2 U2 F' U' R2 F R
F2 U2 F' U' D F R
F2 U2 F' U' D' F R
F2 U2 F' U' D2 F R
F2 U2 F' U' F R D
F2 U2 F' U' F R D'
F2 U2 F' U' F R D2
F2 U2 F' U' F D R
F2 U2 F' U' F D' R
F2 U2 F' U' F D2 R
F2 U2 F' D U' F R
F2 U2 F' D' U' F R
D' F R B U L2 F
F2 U2 F' D2 U' F R
F2 U2 F2 L F U' F
F2 U2 F2 U' F R F
U F R U' R' F U
U F R U' F R' U
L' F U F L U R
L2 F U F L2 U R
R F U F B U B'
R F U B F U B'
F2 D R B U' B' U2
F2 D R' U2 F' U' F
D' F B U L2 F R
B' D U' B L R2 U2
B' D U' B R2 L U2
F2 D U2 L F U' F'
B D U' R2 B' U2 R'
F2 D U2 F' U' F R
B D U' B' R2 U2 R
D' F' R B U L2 F
F2 D B U' B' U2 R'
F2 D B' U' B L U2
U2 F' U' F R D' L2
U2 F' U' F D' L2 R
U2 F' U' F D' R L2
R F' U F' B U B'
R F' U B F' U B'
B2 D' R B R U L2
F2 D' R B U' B' U2
D' F' B U L2 F R
F2 D' R' U2 F' U' F
B' D' U' B L U2 L
B D' U L2 R F R
B D' U L2 R' F R
B D' U L2 R2 F R
B D' U L2 D F R
B D' U L2 D' F R
B D' U L2 D2 F R
B D' U L2 F R D
B D' U L2 F R D'
B D' U L2 F R D2
B D' U L2 F D R
B D' U L2 F D' R
B D' U L2 F D2 R
B D' U R L2 F R
B D' U R' L2 F R
B D' U R2 L2 F R
B D' U F L2 R F
B D' U F R L2 F
F2 D' U2 L F U' F'
F2 D' U2 F' U' F R
B D' U' B' U2 L2 R'
B D' U' B' U2 R' L2
R' F2 R U2 F U' F'
B D' F U L2 F R
D' F2 R B U L2 F
R' F2 R' U2 F U' F'
B D' F' U L2 F R
R2 F2 R U2 F' U' F
L2 F2 R B L2 U F
R F2 L2 B L2 U F
R' F2 R2 U2 F U' F'
B D' F2 U L2 F R
F2 D' B U' B' U2 R'
R2 F2 R' B U' B' U2
F2 D' B' U' B L U2
B' D' B2 U L2 F R
R F2 R2 U2 F' U' F
R' F2 U2 D F U' F'
R' F2 U2 D' F U' F'
R' F2 U2 D2 F U' F'
R' F2 U2 F L U' F'
R' F2 U2 F L' U' F'
R' F2 U2 F L2 U' F'
R' F2 U2 F U' D F'
R' F2 U2 F U' D' F'
R' F2 U2 F U' D2 F'
R' F2 U2 F U' F' D
R' F2 U2 F U' F' D'
R' F2 U2 F U' F' D2
R' F2 U2 F D U' F'
R' F2 U2 F D' U' F'
R' F2 U2 F D2 U' F'
R' F2 D U2 F U' F'
R' F2 D' U2 F U' F'
R' F2 D2 U2 F U' F'
F2 D2 R B U' B' U2
U F2 D' L B' U B
R F2 D B U' B' U2
D' F2 B U L2 F R
F2 D2 R' U2 F' U' F
L2 F2 B L2 U F R
R F2 D' B U' B' U2
U F2 D2 B U R' B'
R F2 D2 B U' B' U2
U' B L U F2 R U
R F2 B R U' B' U2
R F2 B R' U' B' U2
R F2 B R2 U' B' U2
R F2 B U L2 F L2
R F2 B U' D B' U2
R F2 B U' D' B' U2
R F2 B U' D2 B' U2
R F2 B U' B' U2 D
R F2 B U' B' U2 D'
R F2 B U' B' U2 D2
R F2 B U' B' D U2
R F2 B U' B' D' U2
R F2 B U' B' D2 U2
R F2 B U2 L2 U' F
R F2 B D U' B' U2
R F2 B D' U' B' U2
R F2 B D2 U' B' U2
U F2 B' U D2 B R'
U F2 B' D2 U B R'
R F2 B' R2 B2 U F'
R F2 B' U D' R2 F'
F2 D2 U2 L F U' F'
R F2 B' D' U R2 F'
F2 D2 U2 F' U' F R
R F2 B2 D' R2 B' U
R F2 B2 D' B' R2 U
R F2 B2 D2 B' U F2
R B L2 F2 L2 U F'
F2 D2 B U' B' U2 R'
R B R U D' L2 F
R B R D' U L2 F
D' B U L2 R F R
D' B U L2 R' F R
D' B U L2 R2 F R
D' B U L2 D F R
D' B U L2 D' F R
D' B U L2 D2 F R
D' B U L2 F R D
D' B U L2 F R D'
D' B U L2 F R D2
D' B U L2 F D R
D' B U L2 F D' R
D' B U L2 F D2 R
D' B U R L2 F R
R B R F2 U' B' U2
D' B U R' L2 F R
D' B U R2 L2 F R
F2 D2 B' U' B L U2
D' B U F L2 R F
D' B U F R L2 F
R B R' U D' L2 F
R B R' D' U L2 F
R B R' F2 U' B' U2
R B R2 U D' L2 F
D' B U' B' U2 L2 R'
D' B U' B' U2 R' L2
D B U D2 L2 F R
R B R2 D' U L2 F
R B R2 F2 U' B' U2
R B U L2 D' F L2
D B U' R2 B' U2 R'
R B U D' L2 D F
R B U D' L2 D' F
R B U D' L2 D2 F
R B U D' L2 F D
R B U D' L2 F D'
R B U D' L2 F D2
R B U D' F L2 F
R B U D' F' L2 F
R B U D' F2 L2 F
D B U' B' R2 U2 R
R B U' D R2 B' U2
R B U' D B' R2 U2
R B U' D' B' U2 L2
R B U' B' U F2 U
R B U' B' U2 D' L2
R B U' B' D R2 U2
R B U' B' D' U2 L2
F2 B R B U D2 F2
F2 B R B U' B2 U2
F2 B R B D' R2 U
F2 B R B D2 U F2
R B D U' R2 B' U2
R B D U' B' R2 U2
D' B F U L2 F R
R B D' R U L2 F
D B D2 U L2 F R
R B D' R' U L2 F
R B D' R2 U L2 F
R B D' U L2 D F
R B D' U L2 D' F
R B D' U L2 D2 F
R B D' U L2 F D
R B D' U L2 F D'
R B D' U L2 F D2
R B D' U F L2 F
R B D' U F' L2 F
R B D' U F2 L2 F
R B D' U' B' U2 L2
R B D' F U L2 F
D' B F' U L2 F R
R B D' F' U L2 F
R B D' F2 U L2 F
D' B F2 U L2 F R
F2 B U L2 F L2 R
F2 B U L2 F R L2
L2 B F2 L2 U F R
F2 B U' L2 U2 F R
F2 B U' D B' U2 R'
F2 B U' D' B' U2 R'
F2 B U' D2 B' U2 R'
F2 B U' B L B2 U2
F2 B U' B' L U2 R'
F2 B U' B' L' U2 R'
F2 B U' B' L2 U2 R'
F2 B U' B' U2 R' D
F2 B U' B' U2 R' D'
F2 B U' B' U2 R' D2
F2 B U' B' U2 D R'
F2 B U' B' U2 D' R'
F2 B U' B' U2 D2 R'
F2 B U' B' D U2 R'
F2 B U' B' D' U2 R'
F2 B U' B' D2 U2 R'
R B F2 R U' B' U2
R B F2 R' U' B' U2
R B F2 R2 U' B' U2
R B F2 U L2 F L2
R B F2 U' D B' U2
R B F2 U' D' B' U2
R B F2 U' D2 B' U2
R B F2 U' B' U2 D
R B F2 U' B' U2 D'
R B F2 U' B' U2 D2
R B F2 U' B' D U2
R B F2 U' B' D' U2
R B F2 U' B' D2 U2
R B F2 U2 L2 U' F
R B F2 D U' B' U2
R B F2 D' U' B' U2
R B F2 D2 U' B' U2
F2 B D U' B' U2 R'
F2 B D' U' B' U2 R'
B2 F D2 F U F R
F2 B D2 U' B' U2 R'
R' B' R2 F2 B U F
R' B' R2 B F2 U F
R2 B' R2 F2 U F R
D' B' U' B L U2 L
R B' R2 F2 B2 U F
R B' R2 B2 F2 U F
F2 B' R D B R' U
R B' U D' L2 R2 F'
R B' U D' R2 L2 F'
R B' U D' R2 F' L2
D B' U' B L R2 U2
D B' U' B R2 L U2
F2 B' R B R U F'
F2 B' R2 U D' F' R
F2 B' R2 D' U F' R
F2 B' U R F R F'
F2 B' U R2 F R F2
F2 B' U F R2 F' R'
F2 B' U F2 R2 F' R
F2 B' U' L B L U2
F2 B' U' L' B L U2
F2 B' U' L2 B L U2
F2 B' U' D B L U2
F2 B' U' D' B L U2
R B' D' U L2 R2 F'
F2 B' U' D2 B L U2
R B' D' U R2 L2 F'
R B' D' U R2 F' L2
F2 B' U' B L U2 D
F2 B' U' B L U2 D'
F2 B' U' B L U2 D2
F2 B' U' B L D U2
F2 B' U' B L D' U2
F2 B' U' B L D2 U2
F2 B' U' B D L U2
F2 B' U' B D' L U2
F2 B' U' B D2 L U2
F2 B' D U' B L U2
F2 B' D' U' B L U2
U B' F2 U D2 B R'
U B' F2 D2 U B R'
R B' F2 R2 B2 U F'
R B' F2 U D' R2 F'
F2 B' D2 U' B L U2
R B' F2 D' U R2 F'
B' F2 R D B R' U
B' F2 R B R U F'
B2 F2 R D' B R2 U
B2 F2 R D2 B U F2
F2 B2 R D' B R2 U
F2 B2 R D2 B U F2
B2 F2 R B R2 U F'
B2 F2 R B U' B U2
F2 B2 R B R2 U F'
F2 B2 R B U' B U2
B' F2 R2 U D' F' R
B2 F2 R' D' R2 B U
F2 B2 R' D' R2 B U
B' F2 R2 D' U F' R
B F2 R B U D2 F2
B F2 R B U' B2 U2
B F2 R B D' R2 U
B F2 R B D2 U F2
B' F2 U R F R F'
B' F2 U R2 F R F2
B' F2 U F R2 F' R'
B' F2 U F2 R2 F' R
B' F2 U' L B L U2
B' F2 U' L' B L U2
B' F2 U' L2 B L U2
B2 F2 U D2 F R F
B2 F2 U F R D2 F2
B2 F2 U F D2 R F2
B2 F2 U F' D2 F2 R
F2 B2 U D2 F R F
B' F2 U' D B L U2
F2 B2 U F R D2 F2
B' F2 U' D' B L U2
F2 B2 U F D2 R F2
B' F2 U' D2 B L U2
F2 B2 U F' D2 F2 R
B' F2 U' B L U2 D
B' F2 U' B L U2 D'
B' F2 U' B L U2 D2
B' F2 U' B L D U2
B' F2 U' B L D' U2
B' F2 U' B L D2 U2
B' F2 U' B D L U2
B' F2 U' B D' L U2
B' F2 U' B D2 L U2
B F2 U L2 F L2 R
B F2 U L2 F R L2
R' B2 D' R2 B U L2
B2 F2 U' B L B U2
F2 B2 U' B L B U2
B F2 U' L2 U2 F R
B F2 U' D B' U2 R'
B F2 U' D' B' U2 R'
B F2 U' D2 B' U2 R'
B' F2 D U' B L U2
B F2 U' B L B2 U2
B F2 U' B' L U2 R'
B F2 U' B' L' U2 R'
B F2 U' B' L2 U2 R'
B F2 U' B' U2 R' D
B F2 U' B' U2 R' D'
B F2 U' B' U2 R' D2
B F2 U' B' U2 D R'
B F2 U' B' U2 D' R'
B F2 U' B' U2 D2 R'
B F2 U' B' D U2 R'
B F2 U' B' D' U2 R'
B F2 U' B' D2 U2 R'
B' F2 D' U' B L U2
B2 F2 D' R B R U
R B2 D' R2 B' U L2
F2 B2 D' R B R U
B F2 D U' B' U2 R'
B' F2 D2 U' B L U2
R B2 D' B' R2 U L2
B2 F2 D2 R B U F2
F2 B2 D2 R B U F2
B2 F2 D2 U F R F
B F2 D' U' B' U2 R'
F2 B2 D2 U F R F
B F2 D2 U' B' U2 R'
F B2 D2 F U F R
R B2 F2 D' R2 B' U
R B2 F2 D' B' R2 U
R B2 F2 D2 B' U F2
