D L2 R2 B' D' R2
D L2 U F' U' B'
B2 L2 F' U' F B'
B2 L2 F' U' B' F
D L2 B' U F' U'
L2 U F' B2 U' B
L2 U B2 F' U' B
D R2 L2 B' D' R2
R' D L2 B R' B2
R2 D L2 B' D' R2
R' D B L2 R' B'
R' D B R' L2 B'
R' D B2 L2 B' R'
F' U' F D L2 B'
F U' F2 B2 U' F
F U' B2 F2 U' F
F U2 D L2 F' R2
F U2 D F' L2 R2
F U2 D F' R2 L2
U2 F U' F2 B2 U'
U2 F U' B2 F2 U'
U2 F U2 D L2 R2
U2 F U2 D R2 L2
U2 F D U2 L2 R2
U2 F D U2 R2 L2
U2 F D' L2 R2 U2
U2 F D' R2 L2 U2
F' D R2 U' F L2
F D U2 L2 F' R2
F D U2 F' L2 R2
F D U2 F' R2 L2
F D F' L2 R2 B'
F D F' L2 B' R2
F D F' R2 L2 B'
D F' U' F L2 B'
U F' D R2 U' L2
F D' L2 R2 B U2
L2 F' B2 U' F B
L2 F' B2 U' B F
F D' R2 L2 B U2
F D' R2 B L2 U2
U F' B2 U F2 U2
U F' B2 U' D2 B2
U F' B2 D R2 U'
U F' B2 D2 U' B2
L2 B' U F' B' U'
L2 B' U B' F' U'
B2 F' U F2 U2 F'
B2 F' U' D2 F B2
B2 F' U' D2 B2 F
B2 F' D R2 U' F
B2 F' D2 U' F B2
B2 F' D2 U' B2 F
F' B2 U F2 U2 F'
F' B2 U' D2 F B2
F' B2 U' D2 B2 F
F' B2 D R2 U' F
F' B2 D2 U' F B2
F' B2 D2 U' B2 F
L2 B2 F' U' F B
L2 B2 F' U' B F
U B2 F' U F2 U2
U B2 F' U' D2 B2
U B2 F' D R2 U'
U B2 F' D2 U' B2
R' D L2 R' B R' B2
D' R2 F U B U F'
R' D L2 R2 B R' B2
R' D L2 B R B2 R2
R' D L2 B R' B2 D
R' D L2 B R' B2 D'
R' D L2 B R' B2 D2
R' D L2 B R2 B2 R
R' D L2 B' U2 L U2
F2 R2 F B2 U' F B'
F2 R2 F B2 U' B' F
R' D R L2 B R' B2
R2 D L2 U' B U B2
R2 D L2 D B' D' R2
R2 D L2 D' B' D' R2
R2 D L2 D2 B' D' R2
R D L2 R B' D' R2
L D L2 U F' R U'
R2 D L2 B' R D' R2
R2 D L2 B' R' D' R2
R2 D L2 B' R2 D' R2
R2 D L2 B' U' B2 U
R2 D L2 B' D' R2 D
R2 D L2 B' D' R2 D'
R2 D L2 B' D' R2 D2
R' D R B L2 R' B'
R' D R B R' L2 B'
R' D R B2 L2 B' R'
R' D R' L2 B R' B2
R D R L2 B' D' R2
R' D R' B L2 R' B'
R' D R' B R' L2 B'
R' D R' B2 L2 B' R'
R' D R2 L2 B R' B2
R' D R2 B L2 R' B'
R' D R2 B R' L2 B'
R' D R2 B2 L2 B' R'
F R2 B U' F2 B U'
F R2 B U' B F2 U'
D2 R2 B' D' L2 R2 B'
D2 R2 B' D' L2 B' R2
D2 R2 B' D' R2 L2 B'
L2 D R2 B' L2 D' R2
D R2 B' L2 D' R2 B'
D R2 B' L2 D' B' R2
F' R2 B2 U F2 U2 F'
F' R2 B2 U' D2 F B2
F' R2 B2 U' D2 B2 F
L2 D U F' U' B' L2
F' R2 B2 D R2 U' F
F' R2 B2 D2 U' F B2
F' R2 B2 D2 U' B2 F
F2 R2 B2 F U' F B'
F2 R2 B2 F U' B' F
L D U F' R U' L2
R2 D U' B U L2 B'
L2 D F' U' F B' L2
L2 D F' U' B' F L2
L D F' R U' F L2
R' D B L2 R B' R2
R' D B L2 R' D B'
R' D B L2 R' D' B'
R' D B L2 R' D2 B'
R' D B L2 R' B' D
R' D B L2 R' B' D'
R' D B L2 R' B' D2
R' D B L2 R2 B' R
R' D B L2 D R' B'
R' D B L2 D' R' B'
R' D B L2 D2 R' B'
R' D B R L2 B' R2
R' D B R' L2 D B'
R' D B R' L2 D' B'
R' D B R' L2 D2 B'
R' D B R' L2 B' D
R' D B R' L2 B' D'
R' D B R' L2 B' D2
R' D B R' B L2 B'
R' D B R' B' L2 B'
D U R U' L2 B' R'
R' D B R' B2 L2 B'
R' D B R2 L2 B' R
U D R U' L2 B' R'
L2 D B' L2 U F' U'
R' D B2 L2 R B' R'
R' D B2 L2 R' B' R'
R' D B2 L2 R2 B' R'
R2 D B' L2 D' R2 B'
R2 D B' L2 D' B' R2
R' D B2 L2 D B' R'
R' D B2 L2 D' B' R'
R' D B2 L2 D2 B' R'
R' D B2 L2 B' R' D
R' D B2 L2 B' R' D'
R' D B2 L2 B' R' D2
R' D B2 L2 B' D R'
R' D B2 L2 B' D' R'
R' D B2 L2 B' D2 R'
R' D B2 R L2 B' R'
R' D B2 R' L2 B' R'
L2 D B' U F' U' L2
R' D B2 R2 L2 B' R'
U2 D F U' F2 U' L2
U2 D F U2 L2 D R2
D' U F' U R2 F2 U2
D' U F' U F2 R2 U2
D' U F' U' D2 L2 B2
D' U F' U' D2 B2 L2
D' U F' D R2 B2 U'
D' U F' D B2 R2 U'
D2 U F' D R2 B U'
D' U F' D2 U' L2 B2
D' U F' D2 U' B2 L2
D U F' U F2 U2 L2
D U F' U' L2 D2 B2
U D F' U F2 U2 L2
U D F' U' L2 D2 B2
B2 U F U' F2 U' F2
F U D2 F2 B2 U F
F U D2 B2 F2 U F
B' U F' D R2 B' U'
B' U F' D B' R2 U'
B' U F' D2 B' U' B'
B' U F' B' U F2 U2
B' U F' B' U' D2 B2
B' U F' B' D R2 U'
B' U F' B' D2 U' B2
F' U F2 U' B2 U' F'
F' U F2 U2 D L2 F'
F' U F2 U2 D F' L2
B U F' D B R2 U'
F' U F2 U2 F' D L2
F' U F2 D U2 L2 F'
F' U F2 D U2 F' L2
F' U F2 D' R2 B U2
B U F' D2 B U' B
B U F' B U F2 U2
B U F' B U' D2 B2
B U F' B D R2 U'
B U F' B D2 U' B2
R' D' R2 F L' U2 F'
B' U B' F' U F2 U2
B' U B' F' U' D2 B2
B U B F' U F2 U2
B' U B' F' D R2 U'
B U B F' U' D2 B2
B U B F' D R2 U'
B' U B' F' D2 U' B2
B U B F' D2 U' B2
R' D' U2 R2 F L' U2
R' D' U2 F L' R2 U2
R' D' U2 F R2 L' U2
R' D' F L' R2 B U2
R' D' F R2 L' B U2
R' D' F R2 B L' U2
F U' L F2 B2 U' F
F U' L B2 F2 U' F
F U' L' F2 B2 U' F
F U' L' B2 F2 U' F
U2 D' R2 F U B U
F U' L2 F2 B2 U' F
U2 D' F R2 U' F2 U'
U2 D' F R2 U2 D R2
U2 D' F R2 D U2 R2
U2 D' F R2 D' L2 U2
F U' L2 B2 F2 U' F
U D' F' U R2 F2 U2
U D' F' U F2 R2 U2
U D' F' U' D2 L2 B2
U D' F' U' D2 B2 L2
F' U' D F L2 D B2
U D' F' D R2 B2 U'
U D' F' D B2 R2 U'
U D' F' D2 U' L2 B2
U D' F' D2 U' B2 L2
F' U' D2 B2 D' F L2
F' U' F L2 D B' L2
F' U' F D L2 D B'
F' U' F D L2 D' B'
F' U' F D L2 D2 B'
F' U' F D L2 B' D
F' U' F D L2 B' D'
F' U' F D L2 B' D2
F' U' F D B L2 B'
F' U' F D B' L2 B'
F' U' F D B2 L2 B'
R2 D2 L2 B' D' L2 R2
R2 D2 L2 B' D' R2 L2
F' U' F2 D F' L2 B'
F U' F2 U' D F L2
F U' F2 U' F D L2
F U' F2 D U' F L2
F U' F2 B2 U' D F
F U' F2 B2 U' D' F
F U' F2 B2 U' D2 F
F U' F2 B2 U' F D
F U' F2 B2 U' F D'
F U' F2 B2 U' F D2
F U' F2 B2 D U' F
F U' F2 B2 D' U' F
F U' F2 B2 D2 U' F
L2 D2 R2 B' D' L2 R2
L2 D2 R2 B' D' R2 L2
D' U2 R2 F U B U
F U' B2 L F2 U' F
F U' B2 L' F2 U' F
F U' B2 L2 F2 U' F
F U' B2 U' D F' R2
D' U2 F R2 U' F2 U'
D' U2 F R2 U2 D R2
D' U2 F R2 D U2 R2
D' U2 F R2 D' L2 U2
F U' B2 D U' F' R2
F U' B2 F2 U' D F
F U' B2 F2 U' D' F
F U' B2 F2 U' D2 F
F U' B2 F2 U' F D
F U' B2 F2 U' F D'
F U' B2 F2 U' F D2
F U' B2 F2 D U' F
F U' B2 F2 D' U' F
F U' B2 F2 D2 U' F
F U2 L D L2 F' R2
F U2 L D F' L2 R2
F U2 L D F' R2 L2
D U2 F U' F2 U' L2
D U2 F U2 L2 D R2
F U2 L' D L2 F' R2
F U2 L' D F' L2 R2
F U2 L' D F' R2 L2
F U2 L2 D L2 F' R2
F U2 L2 D F' L2 R2
F U2 L2 D F' R2 L2
U D2 F' D R2 B U'
R2 D2 B' D' L2 R2 B'
R2 D2 B' D' L2 B' R2
R2 D2 B' D' R2 L2 B'
F U2 R2 D L2 R2 F'
F U2 R2 D R2 L2 F'
F U2 R2 D R2 F' L2
F U2 D L F' L R2
F U2 D L F' R2 L
F U2 D L2 F R2 F2
F U2 D L2 F' R2 D
F U2 D L2 F' R2 D'
F U2 D L2 F' R2 D2
F U2 D L2 F2 R2 F
U2 F L U' F2 B2 U'
U2 F L U' B2 F2 U'
U2 F L U2 D L2 R2
U2 F L U2 D R2 L2
F U2 D F L2 R2 F2
F U2 D F L2 F2 R2
F U2 D F R2 L2 F2
U2 F L D U2 L2 R2
U2 F L D U2 R2 L2
F U2 D F R2 F2 L2
U2 F L D' L2 R2 U2
F U2 D F' L2 R2 D
F U2 D F' L2 R2 D'
F U2 D F' L2 R2 D2
U2 F L D' R2 L2 U2
F U2 D F' R2 L2 D
F U2 D F' R2 L2 D'
F U2 D F' R2 L2 D2
F U2 D F2 R2 F L2
F' U2 D2 F2 U F' B2
F' U2 D2 F2 U B2 F'
U2 F L' U' F2 B2 U'
U2 F L' U' B2 F2 U'
F U2 D' F' D2 L2 R2
F U2 D' F' D2 R2 L2
U2 F L' U2 D L2 R2
U2 F L' U2 D R2 L2
B' U2 F U' F2 B' U'
B' U2 F U' B' F2 U'
U2 F L' D U2 L2 R2
U2 F L' D U2 R2 L2
U2 F L' D' L2 R2 U2
U2 F L' D' R2 L2 U2
U2 F L2 U' F2 B2 U'
U2 F L2 U' B2 F2 U'
U2 F L2 U2 D L2 R2
U2 F L2 U2 D R2 L2
U2 F L2 D U2 L2 R2
U2 F L2 D U2 R2 L2
U2 F L2 D' L2 R2 U2
U2 F L2 D' R2 L2 U2
B U2 F U' F2 B U'
B U2 F U' B F2 U'
U2 F R U' F2 B2 U'
U2 F R U' B2 F2 U'
U2 F R U2 D L2 R2
U2 F R U2 D R2 L2
U2 F R D U2 L2 R2
U2 F R D U2 R2 L2
U2 F R D' L2 R2 U2
U2 F R D' R2 L2 U2
F U2 F' U F' B2 U'
F U2 F' U B2 F' U'
U2 F R' U' F2 B2 U'
U2 F R' U' B2 F2 U'
U2 F R' U2 D L2 R2
U2 F R' U2 D R2 L2
U2 F R' D U2 L2 R2
U2 F R' D U2 R2 L2
U2 F R' D' L2 R2 U2
U2 F R' D' R2 L2 U2
D' F R2 U2 D R2 F'
D' F R2 D U2 R2 F'
D' F R2 D B U2 R2
D' F R2 D' L2 B U2
D' F R2 D' B L2 U2
D' F R2 B U' F2 U'
D' F R2 B U2 D R2
D' F R2 B D U2 R2
D' F R2 B D' L2 U2
U2 F R2 U' F2 B2 U'
U2 F R2 U' B2 F2 U'
U2 F R2 U2 D L2 R2
U2 F R2 U2 D R2 L2
U2 F R2 D U2 L2 R2
U2 F R2 D U2 R2 L2
F U2 F2 B2 U' F B2
F U2 F2 B2 U' B2 F
U2 F R2 D' L2 R2 U2
U2 F R2 D' R2 L2 U2
U2 F U D2 F2 B2 U
U2 F U D2 B2 F2 U
U2 F U' F2 U' D L2
U2 F U' F2 D U' L2
U2 F U' F2 B2 U' D
U2 F U' F2 B2 U' D'
U2 F U' F2 B2 U' D2
U2 F U' F2 B2 D U'
U2 F U' F2 B2 D' U'
U2 F U' F2 B2 D2 U'
U' F U2 F2 B2 U' B2
U2 F U' B2 U' D R2
U2 F U' B2 D U' R2
U2 F U' B2 F2 U' D
U2 F U' B2 F2 U' D'
U2 F U' B2 F2 U' D2
U2 F U' B2 F2 D U'
U2 F U' B2 F2 D' U'
U2 F U' B2 F2 D2 U'
U2 F U2 L D L2 R2
U2 F U2 L D R2 L2
U' F U2 B2 F2 U' B2
U2 F U2 L' D L2 R2
U2 F U2 L' D R2 L2
U2 F U2 L2 D L2 R2
U2 F U2 L2 D R2 L2
U2 F U2 R D L2 R2
U2 F U2 R D R2 L2
U2 F U2 R' D L2 R2
U2 F U2 R' D R2 L2
U2 F U2 R2 D L2 R2
D F U' F2 U' F L2
U2 F U2 R2 D R2 L2
U2 F U2 D L2 R2 D
U2 F U2 D L2 R2 D'
U2 F U2 D L2 R2 D2
F U2 B2 F2 U' F B2
F U2 B2 F2 U' B2 F
U2 F U2 D R2 L2 D
U2 F U2 D R2 L2 D'
U2 F U2 D R2 L2 D2
F D L U2 L F' R2
D F U2 L2 D F' R2
F D L U2 F' L R2
F D L U2 F' R2 L
U F U' F2 B2 U' F2
U2 F D L U2 L R2
U2 F D L U2 R2 L
U F U' B2 F2 U' F2
U2 F D L' U2 L' R2
U2 F D L' U2 R2 L'
U2 F D R U2 L2 R
U2 F D R U2 R L2
U2 F D R' U2 L2 R'
U2 F D R' U2 R' L2
U2 F D U2 L2 R2 D
U2 F D U2 L2 R2 D'
U2 F D U2 L2 R2 D2
U2 F D U2 R2 L2 D
U2 F D U2 R2 L2 D'
U2 F D U2 R2 L2 D2
L2 F D F' R2 B' L2
L2 F D F' B' L2 R2
L2 F D F' B' R2 L2
F D L' U2 L' F' R2
B2 D L2 F' U' F B'
B2 D L2 F' U' B' F
L2 F D B' L2 F' R2
L2 F D B' F' L2 R2
L2 F D B' F' R2 L2
U2 F D' L2 R2 U2 D
U2 F D' L2 R2 U2 D'
U2 F D' L2 R2 U2 D2
U2 F D' L2 R2 D U2
U2 F D' L2 R2 D' U2
U2 F D' L2 R2 D2 U2
U2 F D' L2 U2 D2 L2
U2 F D' L2 D2 U2 L2
U2 F D' R2 L2 U2 D
U2 F D' R2 L2 U2 D'
U2 F D' R2 L2 U2 D2
U2 F D' R2 L2 D U2
U2 F D' R2 L2 D' U2
U2 F D' R2 L2 D2 U2
U2 F D' R2 U2 D2 R2
U2 F D' R2 D2 U2 R2
F D L2 F R2 F2 B
F D L2 F R2 B F2
U2 F D2 U F2 B2 U
U2 F D2 U B2 F2 U
F' D R2 U' F L2 D
F' D R2 U' F L2 D'
F' D R2 U' F L2 D2
F' D R2 U' F' L2 F2
F' D R2 U' F2 L2 F'
F' D R2 D' B2 U' F
F' D R2 B U' F L2
F' D R2 B' U' F L2
F' D R2 B2 U' F L2
F' D U' F L2 D B2
F D U2 L F' L R2
F D U2 L F' R2 L
F D U2 L2 F R2 F2
F D U2 L2 F' R2 D
F D U2 L2 F' R2 D'
F D U2 L2 F' R2 D2
F D U2 L2 F2 R2 F
F D U2 F L2 R2 F2
F D U2 F L2 F2 R2
F D U2 F R2 L2 F2
F D U2 F R2 F2 L2
F D U2 F' L2 R2 D
F D U2 F' L2 R2 D'
F D U2 F' L2 R2 D2
F D U2 F' R2 L2 D
F D U2 F' R2 L2 D'
F D U2 F' R2 L2 D2
F D U2 F2 R2 F L2
F D F L2 R2 F2 B
F D F L2 R2 B F2
B2 D F' U F2 U2 F'
B2 D F' U' D2 F B2
B2 D F' U' D2 B2 F
B2 D F' D R2 U' F
F D F R2 L2 F2 B
F D F R2 L2 B F2
F D F R2 F2 L2 B
F D F R2 F2 B L2
F D F R2 B L2 F2
F D F R2 B F2 L2
B2 D F' D2 U' F B2
B2 D F' D2 U' B2 F
F D F' L2 R B' R
F D F' L2 R2 D B'
F D F' L2 R2 D' B'
F D F' L2 R2 D2 B'
F D F' L2 R2 B' D
F D F' L2 R2 B' D'
F D F' L2 R2 B' D2
F D F' L2 B R2 B2
F D F' L2 B' R2 D
F D F' L2 B' R2 D'
F D F' L2 B' R2 D2
F D F' R L2 B' R
F D F' R2 L2 D B'
F D F' R2 L2 D' B'
F D F' R2 L2 D2 B'
F D F' R2 L2 B' D
F D F' R2 L2 B' D'
F D F' R2 L2 B' D2
F D F' R2 B L2 B'
D F' R U' F L2 B'
F D F' R2 B' L2 B'
F D F' R2 B2 L2 B'
L2 F' R B2 U' F B
L2 F' R B2 U' B F
F D F' B L2 R2 B'
F' D B R2 U' F L2
F D F' B L2 B' R2
F D F' B R2 L2 B'
F D F' B' L2 R2 B'
F D F' B' L2 B' R2
F D F' B' R2 L2 B'
F D F' B2 L2 R2 B'
F D F' B2 L2 B' R2
F D F' B2 R2 L2 B'
U F' R D R2 U' L2
F D F2 R2 F L2 B'
D F' R' U' F L2 B'
L2 F' R' B2 U' F B
L2 F' R' B2 U' B F
U F' R B2 U F2 U2
U F' R B2 U' D2 B2
U F' R B2 D R2 U'
U F' R B2 D2 U' B2
F' D B' R2 U' F L2
U F' R' D R2 U' L2
D' F' U R2 F2 U2 F'
D F' R2 U' F L2 B'
L2 F' R2 B2 U' F B
L2 F' R2 B2 U' B F
D' F' U F2 R2 B U2
U F' R' B2 U F2 U2
U F' R' B2 U' D2 B2
U F' R' B2 D R2 U'
F D B U2 L2 F' R2
U F' R' B2 D2 U' B2
F D B U2 F' L2 R2
F D B U2 F' R2 L2
F' D B2 R2 U' F L2
F D B F' L2 R2 B'
F D B F' L2 B' R2
F D B F' R2 L2 B'
U F' R2 D R2 U' L2
D' F' U' D2 F L2 B2
D' F' U' D2 F B2 L2
D' F' U' D2 B2 F L2
D2 F' U' F D' L2 B'
D' F' U' F D2 L2 B'
U F' R2 B2 U F2 U2
U F' R2 B2 U' D2 B2
U F' R2 B2 D R2 U'
F D B' U2 L2 F' R2
U F' R2 B2 D2 U' B2
F D B' U2 F' L2 R2
F D B' U2 F' R2 L2
D F' U F2 U2 L2 F'
D F' U F2 U2 F' L2
F D B' F' L2 R2 B'
