D' L' F2 R' D B2
D' L2 U L R' F2
D' L2 U L F2 R'
D' L2 U R' L F2
D' L2 U R' F2 L
D' L2 U F2 L R'
D' L2 U F2 R' L
D2 L2 U' L R' B2
D2 L2 U' R' L B2
R2 U L' R D2 B2
R2 U L' D2 R B2
R2 U L' D2 B2 R
R2 U R L' D2 B2
R2 U R D2 L' B2
R2 U R D2 B2 L'
R2 U D2 L' R B2
R2 U D2 L' B2 R
R2 U D2 R L' B2
R2 U D2 R B2 L'
R2 U D2 B2 L' R
R2 U D2 B2 R L'
F2 R U R U R
R2 U' F2 L' R U2
R2 U' F2 R L' U2
D2 R' B2 D L' F2
L' D' R' F2 D' B2
R2 D' L2 U L R
R2 D' L2 U R L
L' D' F2 R' D' B2
L' D' F2 D' R' B2
L' D2 R' B2 D F2
R2 D2 U L' R B2
R2 D2 U L' B2 R
R2 D2 U R L' B2
R2 D2 U R B2 L'
R2 D2 U B2 L' R
R2 D2 U B2 R L'
R' D2 B2 L' D F2
F2 U2 D' F2 L' R'
F2 U2 D' F2 R' L'
F2 D R B2 U2 R2
F2 D B2 L R U2
F2 D B2 R L U2
F2 D' R U2 R2 F2
F2 D' R U2 F2 R2
F2 D' U2 F2 L' R'
F2 D' U2 F2 R' L'
D2 L2 R2 U' L R B2
D2 L2 R2 U' L B2 R
D2 L2 R2 U' R L B2
D' L2 U L R F2 R2
D' L2 U L R' F2 D
D' L2 U L R' F2 D'
D' L2 U L R' F2 D2
D' L2 U L F R' F
D' L2 U L F2 R' D
D' L2 U L F2 R' D'
D' L2 U L F2 R' D2
D' L2 U L F2 D R'
D' L2 U L F2 D' R'
D' L2 U L F2 D2 R'
D' L2 U L' R' F2 L2
D' L2 U L' F2 L2 R'
D' L2 U L' F2 R' L2
D' L2 U R L F2 R2
D' L2 U R F2 L R2
D' L2 U R F2 R2 L
D' L2 U R' L F2 D
D' L2 U R' L F2 D'
D' L2 U R' L F2 D2
D' L2 U R' L' F2 L2
D' L2 U R' F' L F'
D' L2 U R' F2 L D
D' L2 U R' F2 L D'
D' L2 U R' F2 L D2
D' L2 U R' F2 D L
D' L2 U R' F2 D' L
D' L2 U R' F2 D2 L
D' L2 U F R' F L
D' L2 U F' L F' R'
D' L2 U F2 L R' D
D' L2 U F2 L R' D'
D' L2 U F2 L R' D2
D' L2 U F2 L D R'
D' L2 U F2 L D' R'
D' L2 U F2 L D2 R'
D' L2 U F2 R' L D
D' L2 U F2 R' L D'
D' L2 U F2 R' L D2
D' L2 U F2 R' D L
D' L2 U F2 R' D' L
D' L2 U F2 R' D2 L
D' L2 U F2 D L R'
D' L2 U F2 D R' L
D' L2 U F2 D' L R'
D' L2 U F2 D' R' L
D' L2 U F2 D2 L R'
D' L2 U F2 D2 R' L
D2 L2 U' L R B2 R2
D2 L2 U' L R' B2 D
D2 L2 U' L R' B2 D'
D2 L2 U' L R' B2 D2
D2 L2 U' L R2 B2 R
D2 L2 U' L' R' B2 L2
D2 L2 U' L2 R' B2 L'
D2 L2 U' R L B2 R2
D2 L2 U' R' L B2 D
D2 L2 U' R' L B2 D'
D2 L2 U' R' L B2 D2
D2 L2 U' R' L' B2 L2
D2 L2 U' R' L2 B2 L'
D2 L2 U' R2 L B2 R
F2 L2 U2 D' F2 L' R'
F2 L2 U2 D' F2 R' L'
D' L2 D R2 U L R
D' L2 D R2 U R L
F2 L2 D R B2 U2 R2
F2 L2 D B2 L R U2
F2 L2 D B2 R L U2
D2 L2 D' R2 U' L R
D2 L2 D' R2 U' R L
F2 L2 D' R U2 R2 F2
F2 L2 D' R U2 F2 R2
F2 L2 D' U2 F2 L' R'
F2 L2 D' U2 F2 R' L'
R2 U L' R U2 F2 U2
R2 U L' R D2 B2 D
R2 U L' R D2 B2 D'
R2 U L' R D2 B2 D2
R2 U L' R B D2 B2
R2 U L' R B' D2 B2
R2 U L' R B2 D2 B2
R2 U L' R2 D2 R' B2
R2 U L' U2 F2 L' U2
R2 U L' D' R D' B2
D' L2 F U R' F L
D2 L2 F U' L R' B2
D' L2 F U F L R'
D' L2 F U F R' L
R2 U L' D2 R B2 D
R2 U L' D2 R B2 D'
R2 U L' D2 R B2 D2
R2 U L' D2 R' B2 R2
D2 L2 F U' R' L B2
R2 U L' D2 B' R B'
R2 U L' D2 B2 R D
R2 U L' D2 B2 R D'
R2 U L' D2 B2 R D2
R2 U L' D2 B2 D R
R2 U L' D2 B2 D' R
R2 U L' D2 B2 D2 R
R2 U L' B R D2 B2
R2 U L' B D2 R B2
R2 U L' B D2 B2 R
R2 U L' B' R D2 B2
R2 U L' B' D2 R B2
R2 U L' B' D2 B2 R
R2 U L' B2 R D2 B2
R2 U L' B2 D2 R B2
R2 U L' B2 D2 B2 R
R2 U L2 R D2 L B2
D' L2 F' U L F' R'
R2 U L2 D2 L R B2
R2 U L2 D2 L B2 R
D2 L2 F' U' L R' B2
R2 U L2 D2 R L B2
D2 L2 F' U' R' L B2
D' L2 F' U F' L R'
D' L2 F' U F' R' L
R2 U R L' U2 F2 U2
R2 U R L' D2 B2 D
R2 U R L' D2 B2 D'
R2 U R L' D2 B2 D2
R2 U R L' B D2 B2
R2 U R L' B' D2 B2
R2 U R L' B2 D2 B2
R2 U R L2 D2 L B2
R2 U R U2 F2 R U2
R2 U R D L' D B2
D2 L2 F2 U' L R' B2
D2 L2 F2 U' R' L B2
R2 U R D2 L B2 L2
R2 U R D2 L' B2 D
R2 U R D2 L' B2 D'
R2 U R D2 L' B2 D2
R2 U R D2 B L' B
R2 U R D2 B2 L' D
R2 U R D2 B2 L' D'
R2 U R D2 B2 L' D2
R2 U R D2 B2 D L'
R2 U R D2 B2 D' L'
R2 U R D2 B2 D2 L'
R2 U R B L' D2 B2
R2 U R B D2 L' B2
R2 U R B D2 B2 L'
R2 U R B' L' D2 B2
R2 U R B' D2 L' B2
R2 U R B' D2 B2 L'
R2 U R B2 L' D2 B2
R2 U R B2 D2 L' B2
R2 U R B2 D2 B2 L'
R2 U R2 L' D2 R' B2
R2 U R2 D2 L' R' B2
R2 U R2 D2 R' L' B2
R2 U R2 D2 R' B2 L'
R2 U D L' D R B2
R2 U D L' D B2 R
R2 U D' R D' L' B2
R2 U D' R D' B2 L'
F2 R L U R U R
L' U D2 L2 U' R' B2
R2 U D2 L R B2 L2
R2 U D2 L B2 L2 R
R2 U D2 L B2 R L2
R2 U D2 L' R B2 D
R2 U D2 L' R B2 D'
R2 U D2 L' R B2 D2
R2 U D2 L' R' B2 R2
R2 U D2 L' B' R B'
R2 U D2 L' B2 R D
R2 U D2 L' B2 R D'
R2 U D2 L' B2 R D2
R2 U D2 L' B2 D R
R2 U D2 L' B2 D' R
R2 U D2 L' B2 D2 R
R2 U D2 R L B2 L2
R2 U D2 R L' B2 D
R2 U D2 R L' B2 D'
R2 U D2 R L' B2 D2
R2 U D2 R B L' B
R2 U D2 R B2 L' D
R2 U D2 R B2 L' D'
R2 U D2 R B2 L' D2
R2 U D2 R B2 D L'
R2 U D2 R B2 D' L'
R2 U D2 R B2 D2 L'
R2 U D2 R' L' B2 R2
R2 U D2 R' B2 L' R2
R2 U D2 R' B2 R2 L'
F2 R L' U R U R
R2 U D2 B L' B R
R2 U D2 B' R B' L'
R2 U D2 B2 L' R D
R2 U D2 B2 L' R D'
R2 U D2 B2 L' R D2
R2 U D2 B2 L' D R
R2 U D2 B2 L' D' R
R2 U D2 B2 L' D2 R
R2 U D2 B2 R L' D
R2 U D2 B2 R L' D'
R2 U D2 B2 R L' D2
R2 U D2 B2 R D L'
R2 U D2 B2 R D' L'
R2 U D2 B2 R D2 L'
R2 U D2 B2 D L' R
R2 U D2 B2 D R L'
R2 U D2 B2 D' L' R
R2 U D2 B2 D' R L'
R2 U D2 B2 D2 L' R
R2 U D2 B2 D2 R L'
D2 R L2 U' L R2 B2
D2 R L2 U' L B2 R2
D' R L2 U L R2 F2
D' R L2 U L F2 R2
D2 R L2 U' R2 L B2
D' R L2 U R2 L F2
D' R L2 U R2 F2 L
D' R L2 U F2 L R2
D' R L2 U F2 R2 L
F2 R L2 U R U R
F2 R U R U R D
F2 R U R U R D'
F2 R U R U R D2
F2 R U R U D R
F2 R U R U D' R
F2 R U R U D2 R
F2 R U R D U R
F2 R U R D' U R
F2 R U R D2 U R
F2 R U R B U R
F2 R U R B' U R
F2 R U R B2 U R
F2 R U D R B2 U
F2 R U D B2 R U
R2 U F2 L' R U2 F2
F2 R U B R U R
R2 U F2 L' U2 F2 L'
F2 R U B' R U R
F2 R U B2 R U R
R2 U F2 R L' U2 F2
R2 U F2 R U2 F2 R
R2 U F2 U2 F2 L' R
R2 U F2 U2 F2 R L'
F2 R U' D' F2 L' U'
F2 R U' F2 L' U' R2
R2 U B L' R D2 B2
R2 U B L' D2 R B2
R2 U B L' D2 B2 R
R2 U B R L' D2 B2
R2 U B R D2 L' B2
R2 U B R D2 B2 L'
F2 R U2 R' D' R' F2
F2 R U2 R' D' F2 R'
F2 R U2 R2 U' R' U
R2 U B D2 L' R B2
R2 U B D2 L' B2 R
R2 U B D2 R L' B2
R2 U B D2 R B2 L'
R2 U B D2 B2 L' R
R2 U B D2 B2 R L'
R2 U B' L' R D2 B2
R2 U B' L' D2 R B2
R2 U B' L' D2 B2 R
R2 U B' R L' D2 B2
R2 U B' R D2 L' B2
R2 U B' R D2 B2 L'
F2 R D U R B2 U
F2 R D U B2 R U
R2 U B' D2 L' R B2
R2 U B' D2 L' B2 R
R2 U B' D2 R L' B2
R2 U B' D2 R B2 L'
R2 U B' D2 B2 L' R
R2 U B' D2 B2 R L'
R2 U B2 L' R D2 B2
R2 U B2 L' D2 R B2
R2 U B2 L' D2 B2 R
R2 U B2 R L' D2 B2
R2 U B2 R D2 L' B2
R2 U B2 R D2 B2 L'
R2 U B2 D2 L' R B2
F2 R D' U' F2 L' U'
R2 U B2 D2 L' B2 R
R2 U B2 D2 R L' B2
R2 U B2 D2 R B2 L'
R2 U B2 D2 B2 L' R
R2 U B2 D2 B2 R L'
F2 R D2 L2 U R U
R2 U' L F2 L' U2 L'
R2 U' L' F2 L' U2 L
R2 U' L2 F2 L' U2 L2
D' R F2 R2 D' B2 L
R' U' R' U L' D2 B2
R' U' R' U D2 L' B2
R' U' R' U D2 B2 L'
R' U' R' U' F2 R U2
R2 U' R F2 R U2 R'
R' U' R' D' L2 U L
R' U' R' D2 U L' B2
R' U' R' D2 U B2 L'
L' U' R2 U R D2 B2
L' U' R2 U D2 R B2
L' U' R2 U D2 B2 R
F2 R B U R U R
L' U' R2 U' F2 L' U2
R2 U' R' F2 R U2 R
L' U' R2 D' L2 U R
L' U' R2 D2 U R B2
L' U' R2 D2 U B2 R
F2 R B' U R U R
R2 U' R2 F2 R U2 R2
R' U' D' L2 R' U L
D2 R B2 R2 D L' F2
R' U' D' R' L2 U L
L' U' D' L2 U R' F2
L' U' D' L2 U F2 R'
F2 R B2 U R U R
R' U' D2 R' U L' B2
R' U' D2 R' U B2 L'
D2 R' L' U L' U' B2
D' R' L' U' L' U F2
D' R' L' F2 U R U'
D2 R' L' B2 U L' U'
D2 R' U L2 U' L B2
R2 U' F2 L' R U2 D
R2 U' F2 L' R U2 D'
R2 U' F2 L' R U2 D2
R2 U' F2 L' R D U2
R2 U' F2 L' R D' U2
R2 U' F2 L' R D2 U2
D' R' U' L2 U L F2
D' R' U' L2 U F2 L
R2 U' F2 L' D R U2
R2 U' F2 L' D' R U2
R2 U' F2 L' D2 R U2
R2 U' F2 R L' U2 D
R2 U' F2 R L' U2 D'
R2 U' F2 R L' U2 D2
R2 U' F2 R L' D U2
R2 U' F2 R L' D' U2
R2 U' F2 R L' D2 U2
R2 U' F2 R D L' U2
R2 U' F2 R D' L' U2
R2 U' F2 R D2 L' U2
R2 U' F2 D L' R U2
R2 U' F2 D R L' U2
R2 U' F2 D' L' R U2
R2 U' F2 D' R L' U2
R2 U' F2 D2 L' R U2
R2 U' F2 D2 R L' U2
D' R' D' B2 D L' F2
U' R' D2 B2 L' D F2
U2 R' D2 B2 L' D F2
U R' D2 B2 L' D F2
D2 R' F2 B2 D F2 L'
D2 R' B D L' F2 B
D2 R' B D L' B F2
D2 R' B D B L' F2
D2 R' B' D B' L' F2
D2 R' B2 L' U L' U'
D2 R' B2 U L2 U' L
R2 U2 D R2 U' L' R'
R2 U2 D R2 U' R' L'
D2 R' B2 D L F2 L2
D2 R' B2 D L' F2 D
D2 R' B2 D L' F2 D'
D2 R' B2 D L' F2 D2
D2 R' B2 D L2 F2 L
D2 R' B2 D' L' D2 F2
D2 R' B2 D2 L' D' F2
D2 R' B2 F2 D F2 L'
D' R2 L2 U L R F2
D' R2 L2 U R L F2
D' R2 L2 U R F2 L
D2 R2 L2 U' L R B2
D2 R2 L2 U' L B2 R
D2 R2 L2 U' R L B2
U' R2 U L' R D2 B2
U' R2 U L' D2 R B2
U' R2 U L' D2 B2 R
U' R2 U R L' D2 B2
U' R2 U R D2 L' B2
U' R2 U R D2 B2 L'
B2 R2 U L' D2 R2 B2
B2 R2 U L' D2 B2 R2
R' U2 F2 R U R2 U
R' U2 F2 R U2 D' F2
U2 R2 U L' R D2 B2
R' U2 F2 R D B2 U2
R' U2 F2 R D' U2 F2
U2 R2 U L' D2 R B2
U2 R2 U L' D2 B2 R
U' R2 U D2 L' R B2
U' R2 U D2 L' B2 R
U' R2 U D2 R L' B2
U' R2 U D2 R B2 L'
U2 R2 U R L' D2 B2
U' R2 U D2 B2 L' R
U' R2 U D2 B2 R L'
U2 R2 U R D2 L' B2
U2 R2 U R D2 B2 L'
B2 R2 U D2 B2 L' R'
B2 R2 U D2 B2 R' L'
U2 R2 U D2 L' R B2
U2 R2 U D2 L' B2 R
U2 R2 U D2 R L' B2
U2 R2 U D2 R B2 L'
L' U2 F2 U R2 U R
U2 R2 U D2 B2 L' R
U2 R2 U D2 B2 R L'
L' U2 F2 U2 D' R' F2
L' U2 F2 U2 D' F2 R'
U R2 U L' R D2 B2
L' U2 F2 D B2 L U2
U R2 U L' D2 R B2
U R2 U L' D2 B2 R
L' U2 F2 D' U2 R' F2
L' U2 F2 D' U2 F2 R'
B2 R2 U' L F2 U2 L2
U R2 U R L' D2 B2
U R2 U R D2 L' B2
U R2 U R D2 B2 L'
U R2 U D2 L' R B2
U R2 U D2 L' B2 R
U R2 U D2 R L' B2
U R2 U D2 R B2 L'
D R2 U B2 U2 L' R
D R2 U B2 U2 R L'
U R2 U D2 B2 L' R
U R2 U D2 B2 R L'
D R2 U' L' R D2 F2
U' R2 U' F2 L' R U2
U' R2 U' F2 R L' U2
D R2 U' L' D2 R F2
D R2 U' R L' D2 F2
D R2 U' R D2 L' F2
B2 R2 U' F2 L R U2
B2 R2 U' F2 R L U2
U2 R2 U' F2 L' R U2
U2 R2 U' F2 R L' U2
D R2 U' D2 L' R F2
D R2 U' D2 R L' F2
U R2 U' F2 L' R U2
U R2 U' F2 R L' U2
D R2 D L2 U' L R
D R2 D L2 U' R L
U' R2 D' L2 U L R
U' R2 D' L2 U R L
U2 R2 D' L2 U L R
U2 R2 D' L2 U R L
U R2 D' L2 U L R
U R2 D' L2 U R L
U' R2 D2 U L' R B2
U' R2 D2 U L' B2 R
U' R2 D2 U R L' B2
U' R2 D2 U R B2 L'
U' R2 D2 U B2 L' R
U' R2 D2 U B2 R L'
B2 R2 D2 U B2 L' R'
B2 R2 D2 U B2 R' L'
U2 R2 D2 U L' R B2
U2 R2 D2 U L' B2 R
U2 R2 D2 U R L' B2
U2 R2 D2 U R B2 L'
U2 R2 D2 U B2 L' R
U2 R2 D2 U B2 R L'
D R2 D2 U' L' R F2
D R2 D2 U' R L' F2
U R2 D2 U L' R B2
U R2 D2 U L' B2 R
U R2 D2 U R L' B2
U R2 D2 U R B2 L'
U R2 D2 U B2 L' R
U R2 D2 U B2 R L'
D2 R2 B2 R D L' F2
R2 D U L' D R B2
R2 D U L' D B2 R
D2 R2 B2 D L' R F2
D2 R2 B2 D R L' F2
R2 D U2 R2 U' L' R'
R2 D U2 R2 U' R' L'
D' U L' F2 R' D B2
D' U L2 U L R' F2
D' U L2 U L F2 R'
D' U L2 U R' L F2
D' U L2 U R' F2 L
D' U L2 U F2 L R'
D' U L2 U F2 R' L
D2 U L2 U' L R' B2
D2 U L2 U' R' L B2
D2 U R' B2 D L' F2
R' D B' D L' F B2
R' D B' D L' B2 F
R' D B' D B2 L' F
F2 U R2 U R D2 L2
F2 U R2 U' R' U2 R2
R' D B2 L' D F2 B2
R' D B2 L' D B2 F2
F2 U R2 B2 U L R
F2 U R2 B2 U R L
R' D' L' U' L' R' U
R' D' L' U' R' L' U
R' D' L2 R' U L R
R' D' L2 R' U R L
L' D' L2 U L2 R' F2
L' D' L2 U L2 F2 R'
L' D' L2 U R' L2 F2
L' D' L2 U R' F2 L2
L' D' L2 U F2 L2 R'
L' D' L2 U F2 R' L2
L2 D' L2 U L' R' F2
L2 D' L2 U L' F2 R'
L2 D' L2 U R' L' F2
R2 D' L2 U L R D
R2 D' L2 U L R D'
R2 D' L2 U L R D2
R2 D' L2 U L D R
R2 D' L2 U L D' R
R2 D' L2 U L D2 R
R2 D' L2 U R L D
R2 D' L2 U R L D'
R2 D' L2 U R L D2
R2 D' L2 U R D L
R2 D' L2 U R D' L
R2 D' L2 U R D2 L
R2 D' L2 U D L R
R2 D' L2 U D R L
R2 D' L2 U D' L R
R2 D' L2 U D' R L
R2 D' L2 U D2 L R
R2 D' L2 U D2 R L
R2 D' L2 D U L R
R2 D' L2 D U R L
R2 D' L2 D' U L R
R2 D' L2 D' U R L
R2 D' L2 D2 U L R
R2 D' L2 D2 U R L
L' D' R F2 R2 D' B2
R' D' R' L2 U L R
R' D' R' L2 U R L
F2 U F2 R2 U L' R
F2 U F2 R2 U R L'
L' D' R' U' L2 U F2
L' D' R' D' B2 D F2
L' D' R' F D' F B2
L' D' R' F D' B2 F
L' D' R' F' D' F' B2
L' D' R' F' D' B2 F'
L' D' R' F2 U' L2 U
L' D' R' F2 D' B2 D
L' D' R' F2 D' B2 D'
L' D' R' F2 D' B2 D2
L' D' R' F2 B D' B2
L' D' R' F2 B' D' B2
L' D' R' F2 B2 D' B2
L' D' R' B F2 D' B2
L' D' R' B' F2 D' B2
L' D' R' B2 F2 D' B2
L2 D' R' F2 D' L B2
D' U' L' F2 R' D B2
U' D' L' F2 R' D B2
R' D' U' L2 R' U L
R' D' U' R' L2 U L
L' D' U' L2 U R' F2
L' D' U' L2 U F2 R'
R2 D' U R D' L' B2
R2 D' U R D' B2 L'
D' U' L2 U L R' F2
U' D' L2 U L R' F2
D' U' L2 U L F2 R'
U' D' L2 U L F2 R'
D' U' L2 U R' L F2
U' D' L2 U R' L F2
D' U' L2 U R' F2 L
U' D' L2 U R' F2 L
D' U' L2 U F2 L R'
D' U' L2 U F2 R' L
U' D' L2 U F2 L R'
U' D' L2 U F2 R' L
D2 U' L2 U' L R' B2
D2 U' L2 U' R' L B2
U2 D' L' F2 R' D B2
U2 D' L2 U L R' F2
U2 D' L2 U L F2 R'
U2 D' L2 U R' L F2
U2 D' L2 U R' F2 L
U2 D' L2 U F2 L R'
U2 D' L2 U F2 R' L
U D' L' F2 R' D B2
U D' L2 U L R' F2
U D' L2 U L F2 R'
U D' L2 U R' L F2
U D' L2 U R' F2 L
U D' L2 U F2 L R'
U D' L2 U F2 R' L
L' D' F R' D' F B2
L' D' F R' D' B2 F
L' D' F R' F D' B2
L' D' F D' R' F B2
L' D' F D' R' B2 F
L' D' F D' F R' B2
D2 U' R' B2 D L' F2
L' D' F' D' F' R' B2
L' D' F2 R' U' L2 U
L' D' F2 R' D' B2 D
L' D' F2 R' D' B2 D'
L' D' F2 R' D' B2 D2
L' D' F2 R' B D' B2
L' D' F2 R' B' D' B2
L' D' F2 R' B2 D' B2
L' D' F2 R2 D' R B2
L' D' F2 R2 D' B2 R
L' D' F2 U' L2 U R'
L' D' F2 D R' D2 B2
L' D' F2 D' R B2 R2
L' D' F2 D' R' B2 D
L' D' F2 D' R' B2 D'
L' D' F2 D' R' B2 D2
L' D' F2 D' R2 B2 R
L2 D' F2 R' D' L B2
L' D' F2 B2 D' B2 R'
L2 D' F2 D' L R' B2
L2 D' F2 D' R' L B2
R2 D' B L2 U L R
R2 D' B L2 U R L
L D' F2 D' R' B2 L
R2 D' B' L2 U L R
R2 D' B' L2 U R L
R2 D' B2 L2 U L R
R2 D' B2 L2 U R L
L' D' B2 F2 D' B2 R'
R2 D2 L U L2 R B2
R2 D2 L U L2 B2 R
R2 D2 L U R L2 B2
R2 D2 L U R B2 L2
R' D2 L' U' R' U B2
R2 D2 L U B2 L2 R
R2 D2 L U B2 R L2
R' D2 L' B2 U L U'
L' D2 L2 U' L2 R' B2
L' D2 L2 U' R' L2 B2
L' D2 L2 U' R' B2 L2
L2 D2 L2 U' L' R' B2
L2 D2 L2 U' R' L' B2
L2 D2 L2 U' R' B2 L'
R2 D2 L2 U L R B2
R2 D2 L2 U L B2 R
R2 D2 L2 U R L B2
L D2 L2 U' R' B2 L
D' U2 L' F2 R' D B2
R' D2 R' U L' R B2
R' D2 R' U L' B2 R
R' D2 R' U R L' B2
R' D2 R' U R B2 L'
L' D2 R B2 R2 D F2
R' D2 R' U B2 L' R
R' D2 R' U B2 R L'
L' D2 R' U L2 U' B2
D' U2 L2 U L R' F2
D' U2 L2 U L F2 R'
D' U2 L2 U R' L F2
D' U2 L2 U R' F2 L
D' U2 L2 U F2 L R'
D' U2 L2 U F2 R' L
U' D2 L2 U' L R' B2
U' D2 L2 U' R' L B2
L' D2 R' D F2 D' B2
D2 U2 L2 U' L R' B2
D2 U2 L2 U' R' L B2
L' D2 R' F B2 D F2
L' D2 R' F' B2 D F2
R2 D2 R B2 L' D F2
L' D2 R' F2 B2 D F2
L' D2 R' B D F2 B
L' D2 R' B D B F2
L' D2 R' B' D F2 B'
L' D2 R' B' D B' F2
L' D2 R' B2 U L2 U'
L' D2 R' B2 D F2 D
L' D2 R' B2 D F2 D'
L' D2 R' B2 D F2 D2
L' D2 R' B2 F D F2
L' D2 R' B2 F' D F2
L' D2 R' B2 F2 D F2
U2 D2 L2 U' L R' B2
