F' D' R F2 L'
F' L D' R F2 L'
F' L' D' R F2 L'
F' L2 D' R F2 L'
B R2 F' U R B'
B R2 F' U B' R
F' D L2 R D2 F2
F' D L2 D2 R F2
F' D R L2 D2 F2
F' D' L R F2 L'
L' F' D' R F2 L'
F' D' L' R F2 L'
F' D' L2 R F2 L'
F' D' R L F2 L'
F' D' R L' F2 L'
F' D' R L2 F2 L'
L2 F' D' R F2 L'
F' D' R F2 L' D
F' D' R F2 L' D'
F' D' R F2 L' D2
F' D' R F2 D L'
F' D' R F2 D' L'
F' D' R F2 D2 L'
L F' D' R F2 L'
F D' R F2 L' R
F D' R F2 R L'
F D' F2 D2 L2 R
F D' F2 D2 R L2
U' B R2 F' U R
B U R2 F' U B' R
F' U B2 U' D' R F2
F' U B2 U2 R2 U R'
F' U B2 D' U' R F2
F' U B2 D2 L2 U' R
F U B2 U' D' F2 R
F U B2 D' U' F2 R
F' U' R2 U R' D L2
F' U' R2 U D L2 R'
F' U' R2 U D R' L2
F' U' R2 D U L2 R'
F' U' R2 D U R' L2
F' U' R2 D2 F2 U R'
B U' R2 F' U R B'
B U' R2 F' U B' R
F U' R2 D2 F2 U R
B2 U' F B2 D' F2 R
B2 U' F' B2 D' R F2
F' U' B R2 F' U R'
B2 U' B2 F D' F2 R
B2 U' B2 F' D' R F2
F U2 L' D B2 U2 L2
F U2 L' D' R2 U2 F2
R2 D2 F2 B U R' B'
R2 D2 B F2 U R' B'
B U2 R2 F' U R B'
B U2 R2 F' U B' R
F' U2 D B2 U2 L2 R
F' U2 D B2 U2 R L2
F' U2 D' R2 U2 R' F2
F' U2 D' R2 U2 F2 R'
F U2 D L' B2 U2 L'
F U2 D B2 L' U2 L'
F U2 D' L' R2 U2 F2
F U2 D' R2 L' U2 F2
F U2 D' R2 U2 F2 R
U' F R2 D2 F2 U R
F' D L R D2 L F2
F' D L R D2 F2 L
F' D L D2 L R F2
F' D L D2 R L F2
F' D L D2 R F2 L
F' D L' R D2 L' F2
F' D L' D2 L' R F2
F' D L' D2 R L' F2
F D L D2 L R2 F2
F D L D2 L F2 R2
F D L D2 R2 L F2
F D L D2 R2 F2 L
F' D L2 R U2 B2 U2
F D L D2 F2 L R2
F D L D2 F2 R2 L
F' D L2 R D2 F2 D
F' D L2 R D2 F2 D'
F' D L2 R D2 F2 D2
F' D L2 R F D2 F2
F' D L2 R F' D2 F2
F' D L2 R F2 D2 F2
F' D L2 R2 D2 R' F2
F' D L2 R2 D2 F2 R'
F' D L2 U2 B2 U2 R
F' D L2 D R D F2
F' D L2 D2 R F2 D
F' D L2 D2 R F2 D'
F' D L2 D2 R F2 D2
F' D L2 D2 R' F2 R2
F' D L2 D2 R2 F2 R'
L' F D' R F2 L' R
L' F D' R F2 R L'
F' D L2 F2 D2 F2 R
F2 D L2 D2 F R F
F2 D L2 F R D2 F2
F2 D L2 F D2 R F2
F2 D L2 F' D2 F2 R
F' D R L D2 L F2
F' D R L D2 F2 L
F' D R L' D2 L' F2
F' D R L2 U2 B2 U2
F' D R L2 D2 F2 D
F' D R L2 D2 F2 D'
F' D R L2 D2 F2 D2
F' D R L2 F D2 F2
F' D R L2 F' D2 F2
F' D R L2 F2 D2 F2
L' F D' F2 D2 L2 R
L' F D' F2 D2 R L2
L2 F D' R F2 L' R
L2 F D' R F2 R L'
F' D R U2 B2 U2 L2
F D L' B2 U2 L' B2
F D L' B2 U2 B2 L'
F' D R D2 F2 D2 L2
F' D R F L2 D2 F2
F' D R F' L2 D2 F2
F' D R F2 L2 D2 F2
F D L2 U2 L B2 U2
L2 F D' F2 D2 L2 R
L2 F D' F2 D2 R L2
F D L2 U2 B2 U2 R'
F' D R B' L2 F B
F' D R B' L2 B F
R F D F2 L2 R F'
R F D F2 R L2 F'
R F D F2 R F' L2
L F D' R F2 L' R
L F D' R F2 R L'
L F D' F2 D2 L2 R
L F D' F2 D2 R L2
F' D R2 L2 D2 R' F2
F' D R2 L2 D2 F2 R'
L' F' L D' R F2 L'
L2 F' L D' R F2 L'
U F B2 U' D' F2 R
L' F' L' D' R F2 L'
F' D U2 B2 U2 L2 R
F' D U2 B2 U2 R L2
U F B2 D' U' F2 R
F2 D F L2 R D2 F2
F2 D F L2 D2 R F2
F2 D F R L2 D2 F2
L2 F' L' D' R F2 L'
L F' L D' R F2 L'
F D U2 L' B2 U2 L'
L' F' L2 D' R F2 L'
F2 D F D2 R F2 L'
F D U2 B2 L' U2 L'
L2 F' L2 D' R F2 L'
R' F' R D L2 D2 F2
L F' L' D' R F2 L'
R' F' R D' F2 D2 L2
R2 F' R U B2 L U'
L F' L2 D' R F2 L'
U' F' R2 U R' D L2
U' F' R2 U D L2 R'
U' F' R2 U D R' L2
U' F' R2 D U L2 R'
U' F' R2 D U R' L2
U' F' R2 D2 F2 U R'
F D F2 L2 R D2 F2
F D F2 L2 D2 R F2
F D F2 R L2 D2 F2
F' D B' L2 B R F
F D F2 D2 R F2 L'
F2 D B' L2 F B R
F2 D B' L2 B F R
U' F' U D' R F2 L'
R' F' U B2 L U' R
F' D B2 U2 L2 R B2
F' D B2 U2 L2 B2 R
F' D B2 U2 R L2 B2
F' D B2 U2 R B2 L2
F' D B2 U2 B2 L2 R
F' D B2 U2 B2 R L2
F' D' L R F2 L' D
F' D' L R F2 L' D'
F' D' L R F2 L' D2
F' D' L R F2 D L'
F' D' L R F2 D' L'
F' D' L R F2 D2 L'
F D B2 L' U2 L' B2
F D B2 L' U2 B2 L'
F' D' L' R F2 L' D
F' D' L' R F2 L' D'
F' D' L' R F2 L' D2
F' D' L' R F2 D L'
F' D' L' R F2 D' L'
F' D' L' R F2 D2 L'
F D B2 U2 L2 B2 R'
R' F' D L2 R D' F2
B2 D' L' R2 F U' F
R' F' D R L2 D' F2
L' F' D L2 R D2 F2
L' F' D L2 D2 R F2
U F' U' D' R F2 L'
L' F' D R L2 D2 F2
B2 D' L' F R2 U' F
D' F' D F' R D L2
D' F' D F' D L2 R
D' F' D F' D R L2
F' D' L2 R F2 L' D
F' D' L2 R F2 L' D'
F' D' L2 R F2 L' D2
F' D' L2 R F2 D L'
F' D' L2 R F2 D' L'
F' D' L2 R F2 D2 L'
L2 F' D L2 R D2 F2
L2 F' D L2 D2 R F2
L2 F' D R L2 D2 F2
F D' L F2 D2 L2 R2
F D' L F2 D2 R2 L2
R' F' D' R D' F2 L'
U' F' D' U R F2 L'
L' F' D' L R F2 L'
L' F' D' L' R F2 L'
L' F' D' L2 R F2 L'
L' F' D' R L F2 L'
L' F' D' R L' F2 L'
L' F' D' R L2 F2 L'
L' F' D' R F2 L' D
L' F' D' R F2 L' D'
L' F' D' R F2 L' D2
L' F' D' R F2 D L'
L' F' D' R F2 D' L'
L' F' D' R F2 D2 L'
L2 F' D' L R F2 L'
F' D' R L F2 L' D
F' D' R L F2 L' D'
F' D' R L F2 L' D2
F' D' R L F2 D L'
F' D' R L F2 D' L'
F' D' R L F2 D2 L'
F' D' R L' F2 L' D
F' D' R L' F2 L' D'
F' D' R L' F2 L' D2
F' D' R L' F2 D L'
F' D' R L' F2 D' L'
F' D' R L' F2 D2 L'
L2 F' D' L' R F2 L'
F' D' R L2 F2 L' D
F' D' R L2 F2 L' D'
F' D' R L2 F2 L' D2
F' D' R L2 F2 D L'
F' D' R L2 F2 D' L'
F' D' R L2 F2 D2 L'
L2 F' D' L2 R F2 L'
L2 F' D' R L F2 L'
L2 F' D' R L' F2 L'
L2 F' D' R L2 F2 L'
L2 F' D' R F2 L' D
L2 F' D' R F2 L' D'
L2 F' D' R F2 L' D2
L2 F' D' R F2 D L'
L2 F' D' R F2 D' L'
L2 F' D' R F2 D2 L'
F' D' R U2 R U2 F2
L F' D L2 R D2 F2
L F' D L2 D2 R F2
R' F' D2 R D' L2 F2
R' F' D2 R D' F2 L2
D' F' D2 L2 D' F' R
L F' D R L2 D2 F2
F' D' R F' L F' L'
F' D' R F' L' F' L'
F' D' R F' L2 F' L'
F' D' R F' D F' L'
F' D' R F' D' F' L'
F' D' R F' D2 F' L'
F' D' R F2 L2 D L
F' D' R F2 L2 D' L
F' D' R F2 L2 D2 L
F' D' R F2 D L' D
F' D' R F2 D L' D'
F' D' R F2 D L' D2
F' D' R F2 D' L' D
F' D' R F2 D' L' D'
F' D' R F2 D' L' D2
F' D' R F2 D2 L' D
F' D' R F2 D2 L' D'
F' D' R F2 D2 L' D2
F' D' R F2 B' L' B
F' D' R F2 B2 L' B2
F' D' R B' F2 L' B
F2 D' R F R F L'
F' D' R B2 F2 L' B2
L F' D' L R F2 L'
L F' D' L' R F2 L'
L F' D' L2 R F2 L'
U' F' B R2 F' U R'
L F' D' R L F2 L'
L F' D' R L' F2 L'
L F' D' R L2 F2 L'
L F' D' R F2 L' D
L F' D' R F2 L' D'
L F' D' R F2 L' D2
L F' D' R F2 D L'
L F' D' R F2 D' L'
L F' D' R F2 D2 L'
U F' D' U' R F2 L'
B2 D' R2 L' F U' F
F D' R F2 L' R D
F D' R F2 L' R D'
F D' R F2 L' R D2
F D' R F2 L' D R
F D' R F2 L' D' R
F D' R F2 L' D2 R
F D' R F2 R L' D
F D' R F2 R L' D'
F D' R F2 R L' D2
F D' R F2 R D L'
F D' R F2 R D' L'
F D' R F2 R D2 L'
F D' R F2 D L' R
F D' R F2 D R L'
F D' R F2 D' L' R
F D' R F2 D' R L'
F D' R F2 D2 L' R
F D' R F2 D2 R L'
R' F' B2 L U' R B2
R' F' B2 L U' B2 R
F D' R' F2 R D2 L2
R2 F' B2 U R B2 L
F' D' U2 R2 U2 R' F2
F' D' U2 R2 U2 F2 R'
U F' B2 U' D' R F2
U F' B2 U2 R2 U R'
U F' B2 D' U' R F2
U F' B2 D2 L2 U' R
F2 D' F R F2 L' F'
F D' U2 L' R2 U2 F2
F2 D' F D2 R F L2
F D' U2 R2 L' U2 F2
F D' U2 R2 U2 F2 R
F' D' F2 L D2 L2 R2
F' D' F2 L D2 R2 L2
F D' F D2 F L2 R
F D' F D2 F R L2
F' D' F2 U2 L' R2 U2
F' D' F2 U2 R2 L' U2
F' D' B R F2 B' L'
F' D' B R B' F2 L'
F D' F2 L D2 L2 R
F D' F2 L D2 R L2
F D' F2 L' D2 L2 R
F D' F2 L' D2 R L2
F D' F2 L2 D2 L2 R
F D' F2 L2 D2 R L2
F D' F2 R U2 R U2
F D' F2 R F2 L' F2
F D' F2 U2 R2 U2 R'
F D' F2 D R D L2
F D' F2 D' R D' L2
F D' F2 D2 L2 R D
F D' F2 D2 L2 R D'
F D' F2 D2 L2 R D2
F D' F2 D2 L2 D R
F D' F2 D2 L2 D' R
F D' F2 D2 L2 D2 R
F D' F2 D2 R L2 D
F D' F2 D2 R L2 D'
F D' F2 D2 R L2 D2
R' F2 U B2 L F U'
F' D' B2 R F2 L' B2
F' D' B2 R F2 B2 L'
F' D' B2 R B2 F2 L'
F' D2 R D F2 D2 L2
F' D2 R D' L2 D2 F2
D2 B R' D' B' L2 F
B' D2 B R' D L2 F2
B' D2 B R' D F2 L2
B' D2 B D L2 R' F2
B' D2 B D L2 F2 R'
B' D2 B D R' L2 F2
B' D2 B D R' F2 L2
B' D2 B D F2 L2 R'
B' D2 B D F2 R' L2
U' B R2 F' U R D
U' B R2 F' U R D'
U' B R2 F' U R D2
U' B R2 F' U D R
U' B R2 F' U D' R
U' B R2 F' U D2 R
U' B R2 F' D U R
U' B R2 F' D' U R
U' B R2 F' D2 U R
U' B R2 F' B U R
U' B R2 F' B' U R
U' B R2 F' B2 U R
U' B R2 B F' U R
U' B R2 B' F' U R
U' B R2 B2 F' U R
L' B R2 F' U R B'
L' B R2 F' U B' R
B D2 B L2 U' R' B2
L2 B R2 F' U R B'
L2 B R2 F' U B' R
U2 B U R2 F' U R
B D2 B' D L2 F2 R
L B R2 F' U R B'
L B R2 F' U B' R
D2 B D' R' B' L2 F
U B U2 R2 F' U R
U' B F' R2 F' U R'
U B D2 L2 B U' R'
F' B R2 F' U R' B'
U B D2 B L2 U' R'
B2 F U' B2 D' F2 R
B2 F D' R2 U' F2 R
D B' L2 D F B R'
D B' L2 D B R' F
D B' L2 D B F R'
D B' L2 F D B R'
B F' R2 F' U R' B'
B2 F' U' B2 D' R F2
B2 F' U2 R2 U R' B2
R' B2 L F' U' R B2
R' B2 L F' U' B2 R
B2 F' D' R2 U' R' F2
B2 F' D' R2 U' F2 R'
U B2 U' F D' F2 R
U B2 U' F' D' R F2
F' B2 U' B2 D' R F2
F' B2 U2 R2 U R' B2
U B2 D' L' F U' F
F B2 U' B2 D' F2 R
R' B2 F' L U' R B2
R' B2 F' L U' B2 R
F' B2 D' R2 U' R' F2
F' B2 D' R2 U' F2 R'
R2 B2 F' U R B2 L
U B2 F U' D' F2 R
F B2 D' R2 U' F2 R
U B2 F D' U' F2 R
U B2 F' U' D' R F2
U B2 F' U2 R2 U R'
U B2 F' D' U' R F2
U B2 F' D2 L2 U' R
