D R' F B
D R' B F
D F R' B
F R' U' L' U
D R' D F B
D R' D B F
D R' D' F B
D R' D' B F
D R' D2 F B
D R' D2 B F
D R' F D B
D R' F D' B
D R' F D2 B
D R' F B D
D R' F B D'
D R' F B D2
F' R' F2 D B2
D R' B D F
D R' B D' F
D R' B D2 F
D R' B F D
D R' B F D'
D R' B F D2
F U' L' U R'
R' F U' L' U
D F R' D B
D F R' D' B
D F R' D2 B
D F R' B D
D F R' B D'
D F R' B D2
D' F D2 R' B
D2 F D' R' B
D F' R' F2 B
D F' R' B F2
F' R L2 U' R2 L2 F2
F' R L2 U' R2 F2 L2
F' R L2 U' F2 L2 R2
F' R L2 U' F2 R2 L2
R' U F' R F U' F
R U F' R U' R F2
F R U D' F2 R U'
F R U F2 R U' R
F' R U' R2 F2 D' L2
F R U' L' U R2 D
F R U' L' U R2 D'
F R U' L' U R2 D2
F R U' L' D B2 U
F' R U' F2 R2 D' L2
F R U' L' B U R2
F R U' L' B' U R2
F R U' L' B2 U R2
F R U' D L' B2 U
F R U' D B2 L' U
F R U' B L' U R2
F R U' B' L' U R2
F R U' B2 L' U R2
D R U2 F' U2 R2 F2
D R U2 F' U2 F2 R2
B2 R D F B2 R' B
B R D F B' R' B
B2 R D B2 R' F B
B2 R D B2 R' B F
F R D U' L' B2 U
B2 R D B2 F R' B
F R D U' B2 L' U
F' R D' L2 F2 U' L2
B R D B' R' F B
B R D B' R' B F
B R D B' F R' B
F' R D' F2 L2 U' L2
F R D' U F2 R U'
D' R F L R2 B' L'
D' R F L B' L' R2
D' R F L B' R2 L'
D R D2 F D2 R2 B2
D R D2 F D2 B2 R2
D2 R F R' D' R' B
D' R F R' D2 R' B
D' R F R2 L B' L'
F' R F R2 D F B2
F' R F R2 D B2 F
F' R F R2 F D B2
L U' L' D R' F B
L U' L' D R' B F
L U' L' D F R' B
D R F R D2 R B2
D R F R D2 B2 R
D R F R' D2 R' B2
D R F R2 U2 F2 U2
D R F R2 D2 B2 D
D R F R2 D2 B2 D'
D R F R2 D2 B2 D2
D R F R2 B D2 B2
D R F R2 B' D2 B2
D R F R2 B2 D2 B2
B R F U' L' B' U
D R F U2 F2 U2 R2
L2 U' L2 D R' F B
L2 U' L2 D R' B F
D R F D2 B2 D2 R2
L2 U' L2 D F R' B
D R F B R2 D2 B2
D R F B' R2 D2 B2
D R F B2 R2 D2 B2
D R F' R2 F2 D2 B2
U R F' R U' R F2
F' R F2 R2 U R2 U'
F' R F2 R2 D B2 D
F' R F2 R2 D B2 D'
F' R F2 R2 D B2 D2
F' R F2 R2 B D B2
F' R F2 R2 B' D B2
F' R F2 R2 B2 D B2
F' R F2 B R2 D B2
F' R F2 B' R2 D B2
F' R F2 B2 R2 D B2
F' R B R2 F2 D B2
B' R B D R' F B
B' R B D R' B F
B' R B D F R' B
D R B R' F R' B
D R B R2 D F B
D R B R2 D B F
D R B R2 D' F B
D R B R2 D' B F
D R B R2 D2 F B
D R B R2 D2 B F
D R B R2 F D B
D R B R2 F D' B
D R B R2 F D2 B
D R B R2 F B D
D R B R2 F B D'
D R B R2 F B D2
D R B R2 B D F
D R B R2 B D' F
D R B R2 B D2 F
D R B R2 B F D
D R B R2 B F D'
D R B R2 B F D2
F' R B F2 R2 D B2
F R B R2 U' L' U
F R B U' L' U R2
D R B F R2 D2 B2
F' R B' R2 F2 D B2
R' U' D R' U F B
R' U' D R' U B F
D R B' R' F R' B
D R B' R2 D F B
D R B' R2 D B F
D R B' R2 D' F B
D R B' R2 D' B F
D R B' R2 D2 F B
D R B' R2 D2 B F
D R B' R2 F D B
D R B' R2 F D' B
D R B' R2 F D2 B
D R B' R2 F B D
D R B' R2 F B D'
D R B' R2 F B D2
D R B' R2 B D F
D R B' R2 B D' F
D R B' R2 B D2 F
D R B' R2 B F D
D R B' R2 B F D'
D R B' R2 B F D2
F' R B' F2 R2 D B2
F R B' R2 U' L' U
B R B' D R' F B
B R B' D R' B F
B R B' D F R' B
F R B' U' L' U R2
D R B' F R2 D2 B2
F' R B2 R2 F2 D B2
D R B2 R' F R' B
D R B2 R2 D F B
D R B2 R2 D B F
B2 R B2 D R' F B
B2 R B2 D R' B F
D R B2 R2 D' F B
D R B2 R2 D' B F
D R B2 R2 D2 F B
D R B2 R2 D2 B F
D R B2 R2 F D B
D R B2 R2 F D' B
D R B2 R2 F D2 B
D R B2 R2 F B D
D R B2 R2 F B D'
D R B2 R2 F B D2
B2 R B2 D F R' B
D R B2 R2 B D F
D R B2 R2 B D' F
D R B2 R2 B D2 F
D R B2 R2 B F D
D R B2 R2 B F D'
D R B2 R2 B F D2
F' R B2 F2 R2 D B2
F R B2 R2 U' L' U
F R B2 U' L' U R2
D R B2 F R2 D2 B2
D' R' L B L' F B2
D' R' L B L' B2 F
D' R' L B' L' D F
D' R' L B' L' D' F
D' R' L B' L' D2 F
D' R' L B' L' F D
D' R' L B' L' F D'
D' R' L B' L' F D2
D' R' L B2 L' F B
D' R' L B2 L' B F
F R' L U' L2 U L
R' U' F L' F' U F
D2 R' L' D L F B'
D2 R' L' D L B' F
F R' L D L' D2 B2
F R' L D' L B2 L2
F R' L D' L' B2 D
F R' L D' L' B2 D'
F R' L D' L' B2 D2
D R' L B L' D F
D R' L B L' D' F
D R' L B L' D2 F
D R' L B L' F D
D R' L B L' F D'
D R' L B L' F D2
F R' L D' B L' B
F R' L D' B2 L' D
F R' L D' B2 L' D'
F R' L D' B2 L' D2
F R' L D' B2 D L'
F R' L D' B2 D' L'
F R' L D' B2 D2 L'
F R' L D2 L' D B2
D R' L B' L' F B2
D R' L B' L' B2 F
F' R' L' F2 L D B2
F R' L B D' L' B2
F R' L B D' B2 L'
F' R' L' F2 D L B2
D R' L' D L F B
D R' L' D L B F
F R' L B' D' L' B2
F R' L B' D' B2 L'
D R' L' D' L F B
D R' L' D' L B F
F R' L B2 D' L' B2
F R' L B2 D' B2 L'
D R' L' D2 L F B
D R' L' D2 L B F
D R' L' F L F B
D R' L' F L B F
D R' L' F' L F B
D R' L' F' L B F
D R' L' F2 L F B
D R' L' F2 L B F
F' R' L2 F2 L2 D B2
F R' L2 U' L U L
F' R' U L R2 U' F2
D R' L2 F L2 F B
D R' L2 F L2 B F
F' R' U L' R2 U' F2
D R' L2 F' L2 F B
D R' L2 F' L2 B F
F' R' U L2 R2 U' F2
D R' L2 F2 L2 F B
D R' L2 F2 L2 B F
D R' L2 B L2 D2 F2
F' R' U R2 L U' F2
F' R' U R2 L' U' F2
F' R' U R2 L2 U' F2
F' R' U R2 U' F2 D
F' R' U R2 U' F2 D'
F' R' U R2 U' F2 D2
F' R' U R2 D' L2 U'
F R' U R U2 L' U
F R' U R' U2 L' U
F R' U R2 U2 L' U
F' R' U' D R2 U B2
F2 R' U' R U F' B
F2 R' U' R U B F'
F R' U F2 R F2 U'
F R' U' L U D' B2
F R' U' L D' U B2
F R' U' L2 D L U
F R' U' L2 D' L U
F R' U' L2 D2 L U
F R' U' D L' U D
F R' U' D L' U D'
F R' U' D L' U D2
F R' U' D L' D U
F R' U' D L' D' U
F R' U' D L' D2 U
F R' U' D' L' U D
F R' U' D' L' U D'
F R' U' D' L' U D2
F R' U' D' L' D U
F R' U' D' L' D' U
F R' U' D' L' D2 U
F R' U' D2 L' U D
F R' U' D2 L' U D'
F R' U' D2 L' U D2
F R' U' D2 L' D U
F R' U' D2 L' D' U
F R' U' D2 L' D2 U
F R' U' B' L' B U
F R' U' B2 L' B2 U
D2 R' D L B' L' F
D R' U2 F' U2 F2 B
D R' U2 F' U2 B F2
D R' U2 F2 U2 F' B
D R' U2 F2 U2 B F'
D R' U2 B' U2 F B2
D R' U2 B' U2 B2 F
D2 R' D F L B' L'
D R' U2 B2 U2 F B'
D R' U2 B2 U2 B' F
D' R' D F U' L' U
F' R' D U' R2 U B2
D R' D L B L' F
F R' U2 F2 U' R U'
F' R' D F B2 D' F2
F' R' D F' B2 D' F2
D R' D R F R' B
F' R' D F2 B2 D' F2
F R' D L D' L' B2
F R' D L D' B2 L'
F' R' D B D' F2 B
F' R' D B D' B F2
B2 R' D F B2 R' B
F' R' D B' D' F2 B'
F' R' D B' D' B' F2
F' R' D B2 U' R2 U
F' R' D B2 D' F2 D
F' R' D B2 D' F2 D'
F' R' D B2 D' F2 D2
F' R' D B2 F D' F2
F' R' D B2 F' D' F2
F' R' D B2 F2 D' F2
D R' D F L B L'
D R' D F L2 B L2
D R' D F D B D
D R' D F D B D'
D R' D F D B D2
D R' D F D' B D
D R' D F D' B D'
D R' D F D' B D2
D R' D F D2 B D
D R' D F D2 B D'
D R' D F D2 B D2
B2 R' D B2 R' F B
B2 R' D B2 R' B F
D R' D F B2 D B'
D R' D F B2 D' B'
D R' D F B2 D2 B'
D2 R' D' R' B R F
B2 R' D B2 F R' B
B R' D F B' R' B
D R' D F2 D F' B
D R' D F2 D B F'
D R' D F2 D' F' B
D R' D F2 D' B F'
D R' D F2 D2 F' B
D R' D F2 D2 B F'
D R' D F2 B D F'
D R' D F2 B D' F'
D R' D F2 B D2 F'
F R' D U' L' U D
F R' D U' L' U D'
F R' D U' L' U D2
F R' D U' L' D U
F R' D U' L' D' U
F R' D U' L' D2 U
D R' D B R F R'
D R' D B R2 F R2
D R' D B D F D
D R' D B D F D'
D R' D B D F D2
D R' D B D' F D
D R' D B D' F D'
D R' D B D' F D2
D R' D B D2 F D
D R' D B D2 F D'
D R' D B D2 F D2
D R' D B F2 D F'
D R' D B F2 D' F'
D R' D B F2 D2 F'
B R' D B' R' F B
B R' D B' R' B F
D2 R' D' F R' B R
B R' D B' F R' B
D R' D B2 D F B'
D R' D B2 D B' F
D R' D B2 D' F B'
D R' D B2 D' B' F
D R' D B2 D2 F B'
D R' D B2 D2 B' F
D R' D B2 F D B'
D R' D B2 F D' B'
D R' D B2 F D2 B'
D R' D' L B L' F
F R' D B U' L' U
F R' D B' U' L' U
D R' D' R F R' B
L' U2 L D R' F' B
L' U2 L D R' B F'
F R' D B2 U' L' U
F R' D' L D' L' B2
F R' D' L D' B2 L'
D R' D' F L B L'
D R' D' F L2 B L2
D R' D' F D B D
D R' D' F D B D'
D R' D' F D B D2
D R' D' F D' B D
D R' D' F D' B D'
D R' D' F D' B D2
D R' D' F D2 B D
D R' D' F D2 B D'
D R' D' F D2 B D2
D R' D' F B2 D B'
D R' D' F B2 D' B'
D R' D' F B2 D2 B'
D' R' D2 R' B R F
D R' D' F2 D F' B
D R' D' F2 D B F'
D R' D' F2 D' F' B
D R' D' F2 D' B F'
D R' D' F2 D2 F' B
D R' D' F2 D2 B F'
D R' D' F2 B D F'
D R' D' F2 B D' F'
D R' D' F2 B D2 F'
F R' D' U' L' U D
F R' D' U' L' U D'
F R' D' U' L' U D2
F R' D' U' L' D U
F R' D' U' L' D' U
F R' D' U' L' D2 U
D R' D' B R F R'
D R' D' B R2 F R2
D R' D' B D F D
D R' D' B D F D'
D R' D' B D F D2
D R' D' B D' F D
D R' D' B D' F D'
D R' D' B D' F D2
D R' D' B D2 F D
D R' D' B D2 F D'
D R' D' B D2 F D2
D R' D' B F2 D F'
D R' D' B F2 D' F'
D R' D' B F2 D2 F'
D' R' D2 F R' B R
D2 R' D2 F U' L' U
D R' D' B2 D F B'
D R' D' B2 D B' F
D R' D' B2 D' F B'
D R' D' B2 D' B' F
D R' D' B2 D2 F B'
D R' D' B2 D2 B' F
D R' D' B2 F D B'
D R' D' B2 F D' B'
D R' D' B2 F D2 B'
D R' D2 L B L' F
F R' D' B U' L' U
F R' D' B' U' L' U
D R' D2 R F R' B
F R' D' B2 U' L' U
F R' D2 L D' L' B2
F R' D2 L D' B2 L'
D' R' F L D B' L'
D' R' F L D' B' L'
D' R' F L D2 B' L'
D' R' F L B L' B2
D' R' F L B' L' D
D' R' F L B' L' D'
D' R' F L B' L' D2
D' R' F L B' D L'
D' R' F L B' D' L'
D' R' F L B' D2 L'
D' R' F L B2 L' B
D2 R' F L' D L B'
D2 R' F R D' R' B
D' R' F R D2 R' B
D R' D2 F L B L'
D R' D2 F L2 B L2
D R' D2 F D B D
D R' D2 F D B D'
D R' D2 F D B D2
D R' D2 F D' B D
D R' D2 F D' B D'
D R' D2 F D' B D2
D R' D2 F D2 B D
D R' D2 F D2 B D'
D R' D2 F D2 B D2
D R' D2 F B2 D B'
D R' D2 F B2 D' B'
D R' D2 F B2 D2 B'
D R' D2 F2 D F' B
D R' D2 F2 D B F'
D R' D2 F2 D' F' B
D R' D2 F2 D' B F'
D R' D2 F2 D2 F' B
D R' D2 F2 D2 B F'
F R' D2 U' L' U D
F R' D2 U' L' U D'
F R' D2 U' L' U D2
