B' R2 U D2 L2
B' R2 U' R2 U2
B' R2 D' F2 U
B' R2 D2 U L2
U R2 B' U B
R2 D' F2 B' U
R2 D' B' F2 U
R2 D2 B' U L2
R2 B' U D2 L2
R2 B' U' R2 U2
R2 B' D' F2 U
R2 B' D2 U L2
R2 L D' L' B' F2 U
R2 L D2 L' B' U L'
U L B R2 U B' R'
B' L' R2 D' L F2 U
B' L' R2 D' F2 L U
B' L' R2 D2 L U L
F' L' U L R2 B' U
D' L' U L B' U F2
F' L' U L B' R2 U
B' L' U L R2 U R2
F2 L' U L R2 B' U
F2 L' U L B' R2 U
B2 L' U L B R2 U
F L' U L R2 B' U
B L' U L R2 B2 U
F L' U L B' R2 U
F' L' U R2 L B' U
B L' U L B2 R2 U
B' L' U R2 L U R2
F2 L' U R2 L B' U
F L' U R2 L B' U
B L' U R2 L B2 U
L R2 D' L' F2 B' U
L R2 D' L' B' F2 U
L R2 D2 L' B' U L'
B' L2 R2 D' F2 U B2
B' L2 U L2 R2 U R2
F' L2 U L2 R2 B' U
D' L2 U L2 B' U F2
F' L2 U L2 B' R2 U
F2 L2 U L2 R2 B' U
B' L2 U R2 L2 U R2
F2 L2 U L2 B' R2 U
F' L2 U R2 L2 B' U
B2 L2 U L2 B R2 U
F2 L2 U R2 L2 B' U
B L2 U L2 R2 B2 U
B L2 U L2 B2 R2 U
F L2 U L2 R2 B' U
F L2 U L2 B' R2 U
B L2 U R2 L2 B2 U
B L2 U R2 B2 L2 U
F L2 U R2 L2 B' U
B2 L2 U B L2 R2 U
B2 L2 U B R2 L2 U
B L2 U B2 L2 R2 U
B L2 U B2 R2 L2 U
D2 L2 U2 L2 B' U L2
B L2 U2 D' R2 F2 B2
B L2 U2 D' R2 B2 F2
B L2 U2 D' F2 R2 B2
B L2 U2 D' F2 B2 R2
B L2 U2 D' B2 R2 F2
B L2 U2 D' B2 F2 R2
B L2 D L2 F2 B2 U2
B L2 D L2 B2 F2 U2
B L2 D F2 L2 B2 U2
B L2 D F2 B2 L2 U2
B L2 D B2 L2 F2 U2
B L2 D B2 F2 L2 U2
L' U L R B' R U
L' U L R2 D B' U
L' U L R2 D' B' U
L' U L R2 D2 B' U
L' U L R2 B' U D
L' U L R2 B' U D'
L' U L R2 B' U D2
L' U L R2 B' D U
L' U L R2 B' D' U
L' U L R2 B' D2 U
U2 L2 D' F B2 U' F
L' U L D' B' U F2
B L2 D' U2 R2 F2 B2
B L2 D' U2 R2 B2 F2
B L2 D' U2 F2 R2 B2
B L2 D' U2 F2 B2 R2
B L2 D' U2 B2 R2 F2
B L2 D' U2 B2 F2 R2
U2 L2 D' B2 F U' F
L' U L B R2 B2 U
L' U L B' R2 U D
L' U L B' R2 U D'
L' U L B' R2 U D2
L' U L B' R2 D U
L' U L B' R2 D' U
L' U L B' R2 D2 U
L' U L B' U D' F2
L' U L B' D' U F2
L U L' R2 B' U R'
D2 L2 F U2 L2 U L2
U' L2 F U2 R2 U B
U2 L2 F U' L2 D' F2
U2 L2 F U2 R2 U L2
L2 U L2 R B' R U
L U L' B' R2 U R
L2 U L2 R2 D B' U
L2 U L2 R2 D' B' U
L2 U L2 R2 D2 B' U
L2 U L2 R2 B' U D
L2 U L2 R2 B' U D'
L2 U L2 R2 B' U D2
L2 U L2 R2 B' D U
L2 U L2 R2 B' D' U
L2 U L2 R2 B' D2 U
U2 L2 F D' B2 U' F2
L2 U L2 D' B' U F2
L' U R L B' R U
L2 U L2 B R2 B2 U
L2 U L2 B' R2 U D
L2 U L2 B' R2 U D'
L2 U L2 B' R2 U D2
L2 U L2 B' R2 D U
L2 U L2 B' R2 D' U
L2 U L2 B' R2 D2 U
L2 U L2 B' U D' F2
L2 U L2 B' D' U F2
L2 U R L2 B' R U
L' U R2 L D B' U
L' U R2 L D' B' U
L' U R2 L D2 B' U
L' U R2 L B' U D
L' U R2 L B' U D'
L' U R2 L B' U D2
L' U R2 L B' D U
L' U R2 L B' D' U
L' U R2 L B' D2 U
L2 U R2 L2 D B' U
L2 U R2 L2 D' B' U
L2 U R2 L2 D2 B' U
L2 U R2 L2 B' U D
L2 U R2 L2 B' U D'
L2 U R2 L2 B' U D2
L2 U R2 L2 B' D U
L2 U R2 L2 B' D' U
L2 U R2 L2 B' D2 U
L U R2 L' B' U R'
L2 U R2 B L2 B' U
L2 U R2 B' L2 B' U
L2 U R2 B2 L2 B' U
L U R2 B' L' U R'
D L2 B2 U L2 B' U
R2 U D2 L2 U F U'
B' R U' R' U R2 U
B' R U' R' U2 D' F2
B' R U' R' D B2 U2
B' R U' R' D' U2 F2
L2 U B L2 R2 B' U
L2 U B L2 B' R2 U
L2 U B R2 L2 B' U
U' R U2 R B' U B
L2 U B' L2 R2 B' U
L2 U B' L2 B' R2 U
L2 U B' R2 L2 B' U
B' R D R U D2 L2
B' R D R U' R2 U2
B' R D R D' F2 U
B' R D R D2 U L2
L U B' L' R2 U R
L U B' R2 L' U R
L2 U B2 L2 R2 B' U
L2 U B2 L2 B' R2 U
U R D R B' U B
L2 U B2 R2 L2 B' U
B' R D' R U D2 L2
B' R D' R U' R2 U2
B' R D' R D' F2 U
B' R D' R D2 U L2
U R D' R B' U B
B' R D2 R U D2 L2
B' R D2 R U' R2 U2
B' R D2 R D' F2 U
B' R D2 R D2 U L2
L' U' L B' R2 F' U
U R D2 R B' U B
R2 U' L2 R2 U' F U'
B' R F' U' R' U2 F'
R' U' R U R2 B' U
R' U' R U B' R2 U
L2 U' L2 B' R2 F' U
B R F' B2 U L F
R U' R' U R2 B' U
R U' R' U B' R2 U
U R B R B2 U B
R2 U' R2 L2 U' F U'
R2 U' R2 U D B' U
R2 U' R2 U D' B' U
R2 U' R2 U D2 B' U
R2 U' R2 U B' U D
R2 U' R2 U B' U D'
R2 U' R2 U B' U D2
R2 U' R2 U B' D U
R2 U' R2 U B' D' U
R2 U' R2 U B' D2 U
R2 U' R2 D U B' U
R2 U' R2 D' U B' U
R2 U' R2 D2 U B' U
F' R B' D' R F' U
B R B' R B' U L
D R B' U' B' U2 L
F2 R B' D' R F' U
F R B' D' R F' U
B R B2 R U L D
B R B2 R U L D'
B R B2 R U L D2
B R B2 R U D L
B R B2 R U D' L
B R B2 R U D2 L
B R B2 R D U L
B R B2 R D' U L
B R B2 R D2 U L
B R B2 R F U L
B R B2 R F' U L
B R B2 R F2 U L
L2 U' D' F U' F B2
L2 U' D' F U' B2 F
B R B2 D R U L
B R B2 D' R U L
B R B2 D2 R U L
B R B2 F' U L F
L2 U' D2 R2 F L2 U'
L2 U' D2 F L2 R2 U'
L2 U' D2 F R2 L2 U'
L2 U' F U' D' F2 B2
L2 U' F U' D' B2 F2
L2 U' F U2 L2 R2 U
L2 U' F U2 R2 L2 U
L2 U' F D' U' F2 B2
L2 U' F D' U' B2 F2
L2 U' F D2 L2 R2 U'
L2 U' F D2 R2 L2 U'
B' R' U' R U R2 U
B' R' U' R U2 D' F2
B' R' U' R D B2 U2
B' R' U' R D' U2 F2
U' R' U2 R' B' U B
B' R' D R' U D2 L2
B' R' D R' U' R2 U2
B' R' D R' D' F2 U
B' R' D R' D2 U L2
B' R' D F2 R' U L'
D2 R' D B' U F2 L'
U R' D R' B' U B
B' R' D' R' U D2 L2
B' R' D' R' U' R2 U2
B' R' D' R' D' F2 U
B' R' D' R' D2 U L2
L' U2 L R2 B' U L'
B' R' D' F2 R' U L'
U R' D' R' B' U B
B' R' D2 R' U D2 L2
B' R' D2 R' U' R2 U2
B' R' D2 R' D' F2 U
B' R' D2 R' D2 U L2
L' U2 L B' R2 U L'
B' R' D2 F2 R' U L'
U R' D2 R' B' U B
B' R' F R' F U L'
D R' D2 B' U F2 L'
D' R' F B' U F L'
L2 U2 L2 R2 B' U L2
B' R' F' R' F' U L'
L2 U2 L2 B' R2 U L2
B' R' F2 R' U L' D
B' R' F2 R' U L' D'
B' R' F2 R' U L' D2
B' R' F2 R' U D L'
B' R' F2 R' U D' L'
B' R' F2 R' U D2 L'
B' R' F2 R' D U L'
B' R' F2 R' D' U L'
B' R' F2 R' D2 U L'
F' R' F2 R' B' U L'
B' R' F2 D R' U L'
F2 R' F2 R' B' U L'
B' R' F2 D' R' U L'
B' R' F2 D2 R' U L'
B R' F2 R' B2 U L'
F R' F2 R' B' U L'
L' U2 R2 L B' U L'
L2 U2 R2 L2 B' U L2
D2 R' B' U D F2 L'
D' R' B' U L F2 L'
D' R' B' U L' F2 L'
D' R' B' U L2 F2 L'
D' R' B' U F2 L' D
D' R' B' U F2 L' D'
D' R' B' U F2 L' D2
D' R' B' U F2 D L'
D' R' B' U F2 D' L'
D' R' B' U F2 D2 L'
D' R' B' U' R U2 F2
D2 R' B' D U F2 L'
D' R' B' F U F L'
D R' B' U' R B' U2
D R' B' U' B' R U2
R2 U2 D B2 U2 B U
B' R2 L D' L' F2 U
B' R2 L D2 L' U L'
B' R2 L' D' L F2 U
B' R2 L' D' F2 L U
B' R2 L' D2 L U L
U R2 L B U B' R'
B' R2 L2 D' F2 U B2
B' R2 U L U2 R2 U2
B' R2 U L D2 L2 D
B' R2 U L D2 L2 D'
B' R2 U L D2 L2 D2
B' R2 U L' U2 R2 U2
B' R2 U L' D2 L2 D
B' R2 U L' D2 L2 D'
B' R2 U L' D2 L2 D2
B' R2 U L2 U2 R2 U2
B' R2 U L2 D2 L2 D
B' R2 U L2 D2 L2 D'
B' R2 U L2 D2 L2 D2
B' R2 U D L D L2
B' R2 U D L' D L2
B' R2 U D L2 D L2
B' R2 U D' L D' L2
B' R2 U D' L' D' L2
B' R2 U D' L2 D' L2
B' R2 U D2 L D L
B' R2 U D2 L D' L
B' R2 U D2 L D2 L
B' R2 U D2 L' D L'
B' R2 U D2 L' D' L'
B' R2 U D2 L' D2 L'
B' R2 U D2 F L2 F'
B' R2 U D2 F2 L2 F2
B' R2 U D2 B' L2 B
B' R2 U D2 B2 L2 B2
B' R2 U F D2 L2 F'
B' R2 U F D2 F' L2
B' R2 U F' D2 F L2
B' R2 U B D2 B' L2
B' R2 U B' D2 L2 B
B' R2 U B' D2 B L2
B R2 U D' R2 D' L2
B R2 U D2 L2 D R2
B' R2 U' R D R U2
B' R2 U' R D' R U2
B' R2 U' R D2 R U2
B' R2 U' R' D R' U2
B' R2 U' R' D' R' U2
B' R2 U' R' D2 R' U2
F' R2 U' R2 U B' U
B' R2 U' D2 R U2 L2
B' R2 U' D2 R' U2 L2
B' R2 U' D2 R2 U2 L2
B2 R2 U' R2 U B U
B' R2 U' F R2 U2 B
F2 R2 U' R2 U B' U
B' R2 U' F' R2 F U2
B' R2 U' F2 R2 F2 U2
B' R2 U' B R2 B' U2
B' R2 U' B' R2 U2 F'
B' R2 U' B2 R2 B2 U2
B R2 U' R2 U B2 U
B R2 U' R2 U2 D' R2
B R2 U' R2 D L2 U2
B R2 U' R2 D' U2 R2
F R2 U' R2 U B' U
B' R2 U2 D B2 U' D
B' R2 U2 D B2 U' D'
B' R2 U2 D B2 U' D2
B' R2 U2 D B2 D U'
B' R2 U2 D B2 D' U'
B' R2 U2 D B2 D2 U'
B' R2 U2 D2 B U' L2
B' R2 U2 D2 B' U' L2
B' R2 U2 D2 B2 U' L2
B2 R2 U2 D F' B2 U'
B2 R2 U2 D B2 F' U'
B2 R2 U2 D2 F' U' L2
B' R2 U2 B U R2 U2
B' R2 U2 B U' D2 L2
B' R2 U2 B D B2 U'
B' R2 U2 B D2 U' L2
B' R2 U2 B' U R2 U2
B' R2 U2 B' U' D2 L2
B2 R2 U2 F' U R2 U2
B2 R2 U2 F' U' D2 L2
B' R2 U2 B' D B2 U'
B' R2 U2 B' D2 U' L2
B2 R2 U2 F' D B2 U'
R2 U2 B D2 F2 U' L2
B2 R2 U2 F' D2 U' L2
B' R2 U2 B2 U R2 U2
B' R2 U2 B2 U' D2 L2
B' R2 U2 B2 D B2 U'
B' R2 U2 B2 D2 U' L2
B R2 U2 D2 F2 U' L2
B' R2 D U L D L2
B' R2 D U L' D L2
B' R2 D U L2 D L2
R2 U2 B' U R2 U2 R2
B' R2 D U2 B2 U' D
B' R2 D U2 B2 U' D'
B' R2 D U2 B2 U' D2
B' R2 D U2 B2 D U'
B' R2 D U2 B2 D' U'
B' R2 D U2 B2 D2 U'
B' R2 D F U D L2
B' R2 D F U2 B2 U'
B' R2 D F D U L2
B' R2 D F D2 F2 U
B' R2 D F' U D L2
B' R2 D F' U2 B2 U'
B' R2 D F' D U L2
B' R2 D F' D2 F2 U
B' R2 D F2 U D L2
B' R2 D F2 U2 B2 U'
B' R2 D F2 D U L2
B' R2 D F2 D2 F2 U
B2 R2 D U2 F' B2 U'
B2 R2 D U2 B2 F' U'
F' R2 D B' U2 B' U'
B' R2 D' L' F2 L U
B' R2 D' L2 F2 L2 U
F2 R2 D B' U2 B' U'
B' R2 D' R F2 R' U
B' R2 D' R2 F2 R2 U
B' R2 D' U L D' L2
B' R2 D' U L' D' L2
B' R2 D' U L2 D' L2
B' R2 D' F D F U
B' R2 D' F D' F U
B' R2 D' F D2 F U
B' R2 D' F' D F' U
B' R2 D' F' D' F' U
B' R2 D' F' D2 F' U
F' R2 D' F2 D B' U
F' R2 D' F2 D' B' U
F' R2 D' F2 D2 B' U
F' R2 D' F2 B' U D
F' R2 D' F2 B' U D'
F' R2 D' F2 B' U D2
F' R2 D' F2 B' D U
F' R2 D' F2 B' D' U
F' R2 D' F2 B' D2 U
F R2 D B' U2 B' U'
F' R2 D' B' U D' L2
F' R2 D' B' D' U L2
F' R2 D' B' F2 U D
F' R2 D' B' F2 U D'
F' R2 D' B' F2 U D2
F' R2 D' B' F2 D U
F' R2 D' B' F2 D' U
F' R2 D' B' F2 D2 U
B2 R2 D' F2 U2 F U'
U R2 D B' L U B
U R2 D B' L' U B
U R2 D B' L2 U B
U R2 D B' U D B
U R2 D B' U D' B
U R2 D B' U D2 B
U R2 D B' U B D
U R2 D B' U B D'
U R2 D B' U B D2
U R2 D B' D U B
U R2 D B' D' U B
U R2 D B' D2 U B
F2 R2 D' F2 D B' U
F2 R2 D' F2 D' B' U
F2 R2 D' F2 D2 B' U
F2 R2 D' F2 B' U D
F2 R2 D' F2 B' U D'
F2 R2 D' F2 B' U D2
F2 R2 D' F2 B' D U
F2 R2 D' F2 B' D' U
F2 R2 D' F2 B' D2 U
D R2 D' R2 F2 B' U
D R2 D' R2 B' F2 U
B R2 D' U R2 D' L2
F2 R2 D' B' U D' L2
F2 R2 D' B' D' U L2
F2 R2 D' B' F2 U D
F2 R2 D' B' F2 U D'
F2 R2 D' B' F2 U D2
F2 R2 D' B' F2 D U
F2 R2 D' B' F2 D' U
F2 R2 D' B' F2 D2 U
D2 R2 D2 R2 B' U L2
B' R2 D2 U L D L
B' R2 D2 U L D' L
B' R2 D2 U L D2 L
B' R2 D2 U L' D L'
B' R2 D2 U L' D' L'
B' R2 D2 U L' D2 L'
D R2 D' F2 R2 B' U
B' R2 D2 U F L2 F'
B' R2 D2 U F2 L2 F2
B R2 D' F2 U R2 D
B R2 D' F2 U R2 D'
B R2 D' F2 U R2 D2
B' R2 D2 U B' L2 B
D R2 D' F2 B' R2 U
B' R2 D2 U B2 L2 B2
B R2 D' F2 D B2 U
B R2 D' F2 B U R2
B' R2 D2 U' R U2 L2
B R2 D' F2 B' U R2
B' R2 D2 U' R' U2 L2
B R2 D' F2 B2 U R2
B' R2 D2 U' R2 U2 L2
B R2 D' B F2 U R2
D R2 D' B' R2 F2 U
B' R2 D2 U2 B U' L2
B' R2 D2 U2 B' U' L2
B' R2 D2 U2 B2 U' L2
D R2 D' B' F2 R2 U
B' R2 D2 F U L2 D
B' R2 D2 F U L2 D'
B' R2 D2 F U L2 D2
B R2 D' B' F2 U R2
B' R2 D2 F D F2 U
F' R2 D2 F B' U L2
B' R2 D2 F' U L2 D
B' R2 D2 F' U L2 D'
B' R2 D2 F' U L2 D2
B R2 D' B2 F2 U R2
B' R2 D2 F' D F2 U
F' R2 D2 F' B' U L2
B' R2 D2 F2 U L2 D
B' R2 D2 F2 U L2 D'
B' R2 D2 F2 U L2 D2
F R2 D' F2 D B' U
F R2 D' F2 D' B' U
F R2 D' F2 D2 B' U
F R2 D' F2 B' U D
F R2 D' F2 B' U D'
F R2 D' F2 B' U D2
B' R2 D2 F2 D F2 U
F R2 D' F2 B' D U
F R2 D' F2 B' D' U
F R2 D' F2 B' D2 U
D2 R2 D2 B' R2 U L2
B2 R2 D2 U2 F' U' L2
D' R2 D2 B' U L2 F
F' R2 D2 F2 B' U L2
F R2 D' B' U D' L2
F R2 D' B' D' U L2
F' R2 D2 B' U L2 D
F' R2 D2 B' U L2 D'
F' R2 D2 B' U L2 D2
F R2 D' B' F2 U D
F R2 D' B' F2 U D'
F R2 D' B' F2 U D2
F R2 D' B' F2 D U
F R2 D' B' F2 D' U
F R2 D' B' F2 D2 U
F' R2 D2 B' D F2 U
F' R2 D2 B' F U L2
F2 R2 D2 F B' U L2
F' R2 D2 B' F' U L2
F' R2 D2 B' F2 U L2
U R2 D' B' L U B
U R2 D' B' L' U B
U R2 D' B' L2 U B
F2 R2 D2 F' B' U L2
U R2 D' B' U D B
U R2 D' B' U D' B
U R2 D' B' U D2 B
U R2 D' B' U B D
U R2 D' B' U B D'
U R2 D' B' U B D2
U R2 D' B' D U B
U R2 D' B' D' U B
U R2 D' B' D2 U B
F2 R2 D2 F2 B' U L2
B R2 D2 U L2 D R2
F2 R2 D2 B' U L2 D
F2 R2 D2 B' U L2 D'
F2 R2 D2 B' U L2 D2
F2 R2 D2 B' D F2 U
F2 R2 D2 B' F U L2
F2 R2 D2 B' F' U L2
F2 R2 D2 B' F2 U L2
U2 R2 D2 B' L2 U L2
B R2 D2 U2 F2 U' L2
B' R2 F U L D2 L2
B' R2 F U L' D2 L2
B' R2 F U L2 D2 L2
B' R2 F U D2 L2 D
B' R2 F U D2 L2 D'
B' R2 F U D2 L2 D2
B' R2 F U' R2 U2 D
B' R2 F U' R2 U2 D'
B' R2 F U' R2 U2 D2
B' R2 F U' R2 D U2
B' R2 F U' R2 D' U2
B' R2 F U' R2 D2 U2
B' R2 F U2 D B2 U'
D R2 D2 B' U L2 F2
D R2 D2 B' U F2 L2
F R2 D2 F B' U L2
B' R2 F D U2 B2 U'
F R2 D2 F' B' U L2
B' R2 F D' F2 U D
B' R2 F D' F2 U D'
B' R2 F D' F2 U D2
B' R2 F D' F2 D U
B' R2 F D' F2 D' U
B' R2 F D' F2 D2 U
F' R2 F D' F2 B' U
F' R2 F D' B' F2 U
B' R2 F D2 U L2 D
B' R2 F D2 U L2 D'
B' R2 F D2 U L2 D2
F R2 D2 F2 B' U L2
B' R2 F D2 F U L2
B' R2 F D2 F' U L2
B' R2 F D2 F2 U L2
F' R2 F D2 B' U L2
F R2 D2 B' U L2 D
F R2 D2 B' U L2 D'
F R2 D2 B' U L2 D2
F R2 D2 B' D F2 U
F R2 D2 B' F U L2
F R2 D2 B' F' U L2
F' R2 F B' U D2 L2
F R2 D2 B' F2 U L2
F' R2 F B' U' R2 U2
F' R2 F B' D' F2 U
F' R2 F B' D2 U L2
U R2 D2 B' L U B
U R2 D2 B' L' U B
U R2 D2 B' L2 U B
U R2 D2 B' U D B
U R2 D2 B' U D' B
U R2 D2 B' U D2 B
U R2 D2 B' U B D
U R2 D2 B' U B D'
U R2 D2 B' U B D2
F2 R2 F D' F2 B' U
U R2 D2 B' D U B
F2 R2 F D' B' F2 U
U R2 D2 B' D' U B
B2 R2 F D2 B2 U L2
U R2 D2 B' D2 U B
F2 R2 F D2 B' U L2
F2 R2 F B' U D2 L2
F2 R2 F B' U' R2 U2
F2 R2 F B' D' F2 U
F2 R2 F B' D2 U L2
B' R2 F' U L D2 L2
B' R2 F' U L' D2 L2
B' R2 F' U L2 D2 L2
B' R2 F' U D2 L2 D
B' R2 F' U D2 L2 D'
B' R2 F' U D2 L2 D2
B R2 F D' F2 U R2
B' R2 F' U' R2 U2 D
B' R2 F' U' R2 U2 D'
B' R2 F' U' R2 U2 D2
B' R2 F' U' R2 D U2
B' R2 F' U' R2 D' U2
B' R2 F' U' R2 D2 U2
B' R2 F' U2 D B2 U'
B' R2 F' D U2 B2 U'
B R2 F B2 U D2 L2
B R2 F B2 U' R2 U2
B R2 F B2 D' F2 U
B2 R2 F' U' R2 U2 R2
B R2 F B2 D2 U L2
F' R2 F' D' F2 B' U
B' R2 F' D' F2 U D
B' R2 F' D' F2 U D'
