D L' B' L' F2
D F2 L' B' L'
D2 L D' L2 F2 B'
D2 L D' L2 B' F2
D' L D2 L2 F2 B'
D' L D2 L2 B' F2
D2 L' D' F2 B' L2
D2 L' D' B' L2 F2
D2 L' D' B' F2 L2
D' L' D2 F2 B' L2
D' L' D2 B' L2 F2
D' L' D2 B' F2 L2
D L' B L' F2 B2
D L' B L' B2 F2
D L' B' L F2 L2
D L' B' L' F2 D
D L' B' L' F2 D'
D L' B' L' F2 D2
D L' B' L2 F2 L
D2 L' B' D' L2 F2
D2 L' B' D' F2 L2
D' L' B' D2 L2 F
D L' B2 L' F2 B
D L' B2 L' B F2
D L2 F2 L B' L'
U L2 B' R' B' U'
L' U B2 L' U' B
B' U B' L2 R' U'
B' U B' R' L2 U'
F' D L' B' L' F2
F2 D L' B' L' F2
F D L' B' L' F2
F' D F2 L' B' L'
D F' L' B' L' F'
F2 D F2 L' B' L'
F D F2 L' B' L'
D F2 L' D B' L'
D F2 L' D' B' L'
D F2 L' D2 B' L'
D F2 L' B L' B2
D F2 L' B' L' D
D F2 L' B' L' D'
D F2 L' B' L' D2
D F2 L' B' D L'
D F2 L' B' D' L'
D F2 L' B' D2 L'
D F2 L' B2 L' B
D F2 B L' B' L'
D F2 B' L' B' L'
D F2 B2 L' B' L'
D B L' B' L' F2
D B F2 L' B' L'
D B' L' B' L' F2
L' B' U B' L' U'
U B' R' B' L2 U'
D B' F2 L' B' L'
D B2 L' B' L' F2
D B2 F2 L' B' L'
D F' L' B' L F' L2
D F' L' B' L' D F'
D F' L' B' L' D' F'
D F' L' B' L' D2 F'
D F' L' B' L' F' D
D F' L' B' L' F' D'
D F' L' B' L' F' D2
D F' L' B' L2 F' L
D F' L' B' D L' F'
D F' L' B' D' L' F'
D F' L' B' D2 L' F'
D F' L' B2 L' F' B
D F' L' B2 L' B F'
B' D F2 L' D' B' L
F' D F2 L' D B' L'
F' D F2 L' D' B' L'
F' D F2 L' D2 B' L'
F' D F2 L' B L' B2
F' D F2 L' B' L' D
F' D F2 L' B' L' D'
F' D F2 L' B' L' D2
F' D F2 L' B' D L'
F' D F2 L' B' D' L'
F' D F2 L' B' D2 L'
F' D F2 L' B2 L' B
B' D F2 U B' R' U'
D F' L2 F' L B' L'
F2 D F2 L' D B' L'
F2 D F2 L' D' B' L'
F2 D F2 L' D2 B' L'
F2 D F2 L' B L' B2
F2 D F2 L' B' L' D
F2 D F2 L' B' L' D'
F2 D F2 L' B' L' D2
F2 D F2 L' B' D L'
F2 D F2 L' B' D' L'
F2 D F2 L' B' D2 L'
F2 D F2 L' B2 L' B
F D F' L' B' L' F'
F' D F2 B L' B' L'
F' D F2 B' L' B' L'
F' D F2 B2 L' B' L'
F2 D F2 B L' B' L'
F' D B L' B' L' F2
F2 D F2 B' L' B' L'
F2 D F2 B2 L' B' L'
B D F2 L' B' D L2
F2 D B L' B' L' F2
F D F2 L' D B' L'
F D F2 L' D' B' L'
F D F2 L' D2 B' L'
F D F2 L' B L' B2
F D F2 L' B' L' D
F D F2 L' B' L' D'
F D F2 L' B' L' D2
F D F2 L' B' D L'
F D F2 L' B' D' L'
F D F2 L' B' D2 L'
F D F2 L' B2 L' B
F' D B F2 L' B' L'
F' D B' L' B' L' F2
F2 D B F2 L' B' L'
F D F2 B L' B' L'
F D F2 B' L' B' L'
F2 D B' L' B' L' F2
F D F2 B2 L' B' L'
F D B L' B' L' F2
F' D B' F2 L' B' L'
F' D B2 L' B' L' F2
F2 D B' F2 L' B' L'
F2 D B2 L' B' L' F2
F D B F2 L' B' L'
F D B' L' B' L' F2
D2 F' U' F' L' R2 U
D2 F' U' F' R2 L' U
F' D B2 F2 L' B' L'
U' F' U2 L2 B2 R' U'
F2 D B2 F2 L' B' L'
F D B' F2 L' B' L'
F' D' L D2 L2 F2 B'
F' D' L D2 L2 B' F2
F D B2 L' B' L' F2
F2 D' L D2 L2 F2 B'
F2 D' L D2 L2 B' F2
U' F' D L' U L' F2
F D B2 F2 L' B' L'
F' D' L' D2 F2 B' L2
F' D' L' D2 B' L2 F2
F' D' L' D2 B' F2 L2
F2 D' L' D2 F2 B' L2
F2 D' L' D2 B' L2 F2
F2 D' L' D2 B' F2 L2
F' D' L' B' D2 L2 F
F D' L D2 L2 F2 B'
F D' L D2 L2 B' F2
F2 D' L' B' D2 L2 F
B D' L' B' D L2 F
U' F' D2 L' R2 F2 U
U' F' D2 L' F2 R2 U
F D' L' D2 F2 B' L2
F D' L' D2 B' L2 F2
F D' L' D2 B' F2 L2
U' F' D2 R2 L' F2 U
D' F' D2 L' B' L' F2
F D' L' B' D2 L2 F
D' F' D2 F2 L' B' L'
D F' B L' B' L' F'
D F' B' L' B' L' F'
D' F2 L D2 L2 F2 B'
D' F2 L D2 L2 B' F2
D F' B2 L' B' L' F'
D2 F2 L' R2 U R2 B'
D2 F2 L' R2 U B' R2
D' F2 L' D2 F2 B' L2
D' F2 L' D2 B' L2 F2
D' F2 L' D2 B' F2 L2
D F2 L U2 F U2 L
D F2 L D L2 B' L'
D F2 L D' L2 B' L'
D' F2 L' B' D2 L2 F
D F2 L D2 L2 B' L'
D F2 L B L2 B' L
D F2 L' R' B' L' R
D F2 L' R' B' R L'
D F2 L' R2 B' L' R2
D F2 L' R2 B' R2 L'
D F2 L' D B L' B2
D F2 L' D B' L' D
D F2 L' D B' L' D'
D F2 L' D B' L' D2
D F2 L' D B' D L'
D F2 L' D B' D' L'
D F2 L' D B' D2 L'
D F2 L' D B2 L' B
D F2 L' D' B L' B2
D F2 L' D' B' L' D
D F2 L' D' B' L' D'
D F2 L' D' B' L' D2
D F2 L' D' B' D L'
D F2 L' D' B' D' L'
D F2 L' D' B' D2 L'
D F2 L' D' B2 L' B
D F2 L' D2 B L' B2
D F2 L' D2 B' L' D
D F2 L' D2 B' L' D'
D F2 L' D2 B' L' D2
D F2 L' D2 B' D L'
D F2 L' D2 B' D' L'
D F2 L' D2 B' D2 L'
D F2 L' D2 B2 L' B
D F2 L' B L B2 L2
D F2 L' B L' B2 D
D F2 L' B L' B2 D'
D F2 L' B L' B2 D2
D F2 L' B' L2 D L
D F2 L' B' L2 D' L
D F2 L' B' L2 D2 L
D F2 L' B' D L' D
D F2 L' B' D L' D'
D F2 L' B' D L' D2
D F2 L' B' D' L' D
D F2 L' B' D' L' D'
D F2 L' B' D' L' D2
D F2 L' B' D2 L' D
D F2 L' B' D2 L' D'
D F2 L' B' D2 L' D2
D F2 L' B2 L B L2
D F2 L' B2 L' D B
D F2 L' B2 L' D' B
D F2 L' B2 L' D2 B
D F2 L' B2 L' B D
D F2 L' B2 L' B D'
D F2 L' B2 L' B D2
D F2 L' B2 D L' B
D F2 L' B2 D B L'
