L2 F U F2 R
F' L2 F U F' R
U' L2 F U F2 R
U2 L2 F U F2 R
U L2 F U F2 R
L2 U F' R D' L2
L2 U F' D' L2 R
L2 U F' D' R L2
F' R U' L2 F U
B' U' F' R D' B2
B' U' F' D' R B2
B' U' F' D' B2 R
B' U2 L2 U F' R
L2 F R U F2 R
L2 F R' U F2 R
L2 F R2 U F2 R
L2 F U R F2 R
L2 F U R' F2 R
L2 F U R2 F2 R
L2 F U F2 R D
L2 F U F2 R D'
L2 F U F2 R D2
L2 F U F2 D R
L2 F U F2 D' R
L2 F U F2 D2 R
L2 F U' L' U2 F2
L2 F B U F2 R
L2 F B' U F2 R
L2 F B2 U F2 R
L2 B F U F2 R
L2 B' F U F2 R
L2 B2 F U F2 R
L2 F' L2 D' B2 L2 R
L2 F' L2 D' B2 R L2
U2 F' L2 F U F' R
L' F' R D' L B' L
L' F' R D' B' L B'
L2 F' R L2 D' L2 B2
L2 F' R L2 D' B2 L2
U2 F' R U' L2 F U
L2 F' R D' L2 D' B2
U F' L2 F U F' R
U F' R U' L2 F U
L2 F' R' F2 U R2 F2
L2 F' R' F2 U F2 R2
L2 F' R2 F2 U R' F2
L2 F' R2 F2 U F2 R'
B' D' L' F U' F2 B2
B' D' L' F U' B2 F2
L' F' D' L R B' L
L' F' D' L B' L R
L' F' D' L B' R L
L' F' D' R L B' L
L' F' D' R B' L B'
L2 F' D' L2 R D' B2
L2 F' D' L2 D' R B2
L2 F' D' L2 D' B2 R
F' D' R U B' U' B'
L2 F' D' R L2 D' B2
L' F' D' B' L R B'
L' F' D' B' L B' R
L' F' D' B' R L B'
F' D' R B D L2 B
F' D' R B D B L2
F' D' R B2 U B U'
D2 F' B D L2 R' B2
D2 F' B D R' L2 B2
D2 F' B D R' B2 L2
F' D' U B' U' R B'
F' D' U B' U' B' R
B' D' U' B2 D F' R
R' F2 L2 F U R F'
F' D' B D L2 B R
F' D' B D B L2 R
F' D' B D B R L2
B' D' B2 D L2 F' R
B' D' B2 D F' L2 R
B' D' B2 D F' R L2
F' D' B2 U B U' R
L2 F2 D F' U F2 R
F' D2 R U R B' U'
F' D2 R U B' R U'
L2 F2 D' F' U F2 R
L2 F2 D2 F' U F2 R
B' D2 R2 U B U2 R'
F' D2 U B' R2 U' R'
L' B L' F U F2 R
F' D2 B D L2 R B2
F' D2 B D L2 B2 R
F' D2 B D R L2 B2
F' D2 B D R B2 L2
F' D2 B D B2 L2 R
F' D2 B D B2 R L2
L2 B U F' R D' L2
L2 B U F' D' L2 R
L2 B U F' D' R L2
D2 B D L2 F' R' B2
D' B D L2 F' B R
D' B D L2 B F' R
D2 B D F' L2 R' B2
D2 B D F' R' L2 B2
D2 B D F' R' B2 L2
D' B D F' L2 B R
D' B D F' B L2 R
D' B D F' B R L2
D' B D B L2 F' R
D' B D B F' L2 R
D' B D B F' R L2
F' B R D L2 D2 B2
F' B R D' B2 D2 L2
L2 B F R U F2 R
L2 B F R' U F2 R
F' B R2 D' R' B2 L
L2 B F R2 U F2 R
L2 B F U R F2 R
L2 B F U R' F2 R
L2 B F U R2 F2 R
L2 B F U F2 R D
L2 B F U F2 R D'
L2 B F U F2 R D2
L2 B F U F2 D R
L2 B F U F2 D' R
L2 B F U F2 D2 R
L2 B F U' L' U2 F2
D2 B F' D L2 R' B2
D2 B F' D R' L2 B2
D2 B F' D R' B2 L2
B' F U' F2 R D' B2
B' F U' F2 D' R B2
B' F U' F2 D' B2 R
L' B' L' F U F2 R
F' B D L2 R D2 B2
F' B D L2 D2 R B2
F' B D L2 D2 B2 R
F' B D R L2 D2 B2
B' F D' L2 U' B2 R'
F2 B D F L2 R B'
F2 B D F L2 B' R
F2 B D F R L2 B'
F' B D' R' B2 L R2
F' B D' R' B2 R2 L
F' B D' B2 D2 L2 R
F' B D' B2 D2 R L2
D2 B' R2 U L B U2
U' B' U' F' R D' B2
U' B' U' F' D' R B2
U' B' U' F' D' B2 R
D2 B' U' D F' B2 R'
D2 B' U' D B2 F' R'
L2 B' U F' R D' L2
D' B' U' D F' R B'
D' B' U' D F' B' R
D' B' U' D B' F' R
L2 B' U F' D' L2 R
L2 B' U F' D' R L2
D2 B' U' F' D B2 R'
U' B' U2 L2 U F' R
D' B' U' B' D F' R
B' F' R U' L2 U L2
B' F' R D' B2 D L2
F' B' R U' L2 U L2
U2 B' U' F' R D' B2
U2 B' U' F' D' R B2
U2 B' U' F' D' B2 R
F' B' R D' B2 D L2
L B' U F' R B L
U2 B' U2 L2 U F' R
D2 B' D U' F' B2 R'
D2 B' D U' B2 F' R'
D' B' D U' F' R B'
D' B' D U' F' B' R
D' B' D U' B' F' R
B F' R D L2 D2 B2
L B' U' F' L' R B'
L B' U' F' L' B' R
L B' U' F' R L' B'
U B' U' F' R D' B2
U B' U' F' D' R B2
U B' U' F' D' B2 R
B F' R D' B2 D2 L2
U B' U2 L2 U F' R
B F' R2 D' R' B2 L
B' F' U' L2 U L2 R
B' F' U' L2 U R L2
F' B' U' L2 U L2 R
F' B' U' L2 U R L2
L2 B' F R U F2 R
L2 B' F R' U F2 R
L2 B' F R2 U F2 R
L2 B' F U R F2 R
L2 B' F U R' F2 R
L2 B' F U R2 F2 R
L2 B' F U F2 R D
L2 B' F U F2 R D'
L2 B' F U F2 R D2
L2 B' F U F2 D R
L2 B' F U F2 D' R
L2 B' F U F2 D2 R
L2 B' F U' L' U2 F2
F B' U' F2 R D' B2
F B' U' F2 D' R B2
F B' U' F2 D' B2 R
B' F' D' R B2 D L2
F' B' D' R B2 D L2
B F' D L2 R D2 B2
B F' D L2 D2 R B2
B F' D L2 D2 B2 R
B F' D R L2 D2 B2
B' F' D' B2 R D L2
B' F' D' B2 D L2 R
B' F' D' B2 D R L2
F' B' D' B2 R D L2
F' B' D' B2 D L2 R
F' B' D' B2 D R L2
L' B2 L' F U F2 R
B F' D' R' B2 L R2
B F' D' R' B2 R2 L
F B' D' L2 U' B2 R'
B F' D' B2 D2 L2 R
B F' D' B2 D2 R L2
L2 B2 U F' R D' L2
L2 B2 U F' D' L2 R
L2 B2 U F' D' R L2
L2 B2 F R U F2 R
L2 B2 F R' U F2 R
L2 B2 F R2 U F2 R
L2 B2 F U R F2 R
L2 B2 F U R' F2 R
L2 B2 F U R2 F2 R
L2 B2 F U F2 R D
L2 B2 F U F2 R D'
L2 B2 F U F2 R D2
L2 B2 F U F2 D R
L2 B2 F U F2 D' R
L2 B2 F U F2 D2 R
L2 B2 F U' L' U2 F2
B F2 D F L2 R B'
B F2 D F L2 B' R
B F2 D F R L2 B'
