L2 R U' B2 L U'
R L2 U' B2 L U'
R L2 U' B2 L U'
L2 R2 D B2 U2 L2
R2 L2 D B2 U2 L2
L2 R2 D' R2 U2 F2
R2 L2 D' R2 U2 F2
B' L2 U F U F'
U' L2 U' B2 U' B2
L2 U D2 F2 U F2
L2 U' B2 U B2 U2
L2 U' B2 U' D2 F2
L2 U' B2 D L2 U'
L2 U' B2 D2 U' F2
L2 U2 L2 D L2 F2
L2 U2 L2 D F2 L2
L2 U2 D L2 D F2
D' R2 U R2 B2 U
D' R2 U B2 R2 U
D' R2 U2 D' R2 F2
D' R2 U2 D' F2 R2
D' R2 D L2 B2 U2
D' R2 D B2 L2 U2
D' R2 D' U2 R2 F2
D' R2 D' U2 F2 R2
L U2 B2 U' R' B2
L2 D U2 L2 D F2
U2 D L2 D R2 F2
U2 D L2 D F2 R2
D2 U F2 U R2 F2
D2 U F2 U F2 R2
L2 D' R2 U R2 U
L2 D' R2 U2 D' F2
L2 D' R2 D B2 U2
L2 D' R2 D' U2 F2
D U2 L2 D R2 F2
D U2 L2 D F2 R2
L2 D2 U F2 U F2
U D2 F2 U R2 F2
U D2 F2 U F2 R2
D2 F2 U R2 D2 B2
D2 F2 U' F2 U2 R2
F' D2 F2 U R2 B
F2 D2 F2 U R2 B2
F2 D2 F2 U B2 R2
U' B2 U L2 B2 U2
U2 B2 U L2 U2 B2
U' B2 U B2 L2 U2
U' B2 U' D2 R2 F2
U' B2 U' D2 F2 R2
U2 B2 U' B2 D2 R2
U' B2 D L2 F2 U'
U' B2 D F2 L2 U'
U' B2 D2 U' R2 F2
U' B2 D2 U' F2 R2
L2 R2 D B2 U2 L2 D2
R2 L2 D B2 R U2 L2
R2 L2 D B2 R' U2 L2
R' L2 D' R2 U R' U
R2 L2 D B2 R2 U2 L2
L2 R2 D B2 D2 R2 U2
R2 L2 D B2 U2 L2 D
R2 L2 D B2 U2 L2 D'
R2 L2 D B2 U2 L2 D2
R2 L2 D B2 D2 R2 U2
L' R2 D' R2 L' U2 F2
L' R2 D' R2 U2 F2 R
L R2 D B2 U2 L2 R'
L R2 D B2 U2 R' L2
L R2 D' L R2 U2 F2
L2 R2 D' R U2 F2 L'
R2 L2 D' R U2 F2 L'
U' L' B2 U L' B2 U2
U' L' B2 U B2 L' U2
L2 R2 D' R2 U2 F2 D
L2 R2 D' R2 U2 F2 D'
L2 R2 D' R2 U2 F2 D2
L2 R2 D' R2 D2 B2 U2
U' L' B2 U' D2 F2 R
L2 R2 D' R2 B U2 F2
L2 R2 D' R2 B' U2 F2
R2 L2 D' R2 U2 F2 D
R2 L2 D' R2 U2 F2 D'
R2 L2 D' R2 U2 F2 D2
L2 R2 D' R2 B2 U2 F2
R2 L2 D' R2 D2 B2 U2
L R2 D' R2 L U2 F2
R2 L2 D' R2 B U2 F2
R2 L2 D' R2 B' U2 F2
R2 L2 D' R2 B2 U2 F2
L2 R2 D' U2 F2 D2 L2
R2 L2 D' U2 F2 D2 L2
R L2 D' R2 U R U
U' L' B2 D2 U' F2 R
L2 R2 D' B R2 U2 F2
B' L2 R U R' F U
B' L2 R U F R' U
R2 L2 D' B R2 U2 F2
L2 R2 D' B' R2 U2 F2
R2 L2 D' B' R2 U2 F2
L2 R2 D' B2 R2 U2 F2
U' L2 R U' R' B2 U'
R2 L2 D' B2 R2 U2 F2
R' L2 D2 U R F2 U
B' L2 R' U R F U
R L2 D2 U R' F2 U
R L2 D2 U F2 R' U
U' L2 R' U' R B2 U'
U' L2 R' U' B2 R U'
D' L2 R2 U R2 B2 U
B' L2 R2 U R2 F U
D' L2 R2 U B2 R2 U
B' L2 R2 U F R2 U
D' L2 R2 U2 D' R2 F2
D' L2 R2 U2 D' F2 R2
U' L2 R2 U' R2 B2 U'
D' L2 R2 D L2 B2 U2
U' L2 R2 U' B2 R2 U'
D' L2 R2 D B2 L2 U2
U' L2 R2 U2 D L2 B2
U' L2 R2 U2 D B2 L2
D' L2 R2 D' U2 R2 F2
D' L2 R2 D' U2 F2 R2
U' L2 R2 D U2 L2 B2
U' L2 R2 D U2 B2 L2
U' L2 R2 D' R2 F2 U2
U' L2 R2 D' F2 R2 U2
B L2 R2 U F' R2 U
B' L2 U R F U F'
B' L2 U R' F U F'
B' L2 U R2 F U F'
B' L2 U D F U F'
B' L2 U D' F U F'
B' L2 U D2 F U F'
B' L2 U F U D F'
B' L2 U F U D' F'
B' L2 U F U D2 F'
B' L2 U F U F' D
B' L2 U F U F' D'
B' L2 U F U F' D2
B' L2 U F D U F'
B' L2 U F D' U F'
B' L2 U F D2 U F'
D2 L2 U F2 U R2 F2
D2 L2 U F2 U F2 R2
B L2 U R2 F' U F
U' L2 U' R B2 U' B2
U' L2 U' R' B2 U' B2
U' L2 U' R2 B2 U' B2
U' L2 U' B2 R U' B2
U' L2 U' B2 R' U' B2
U' L2 U' B2 R2 U' B2
U' L2 U' B2 U' B2 D
U' L2 U' B2 U' B2 D'
U' L2 U' B2 U' B2 D2
U' L2 U' B2 D' R2 U'
B L2 U' B L2 U' F
L2 R2 B U R2 F' U
B L2 U' B U B' U2
R2 L2 B U R2 F' U
U' L2 U2 D L2 D' B2
U2 L2 D L F2 L R
U2 L2 D L F2 R L
U2 L2 D L2 F2 D2 R2
B' L2 D U F U F'
U' L2 D U2 L2 D' B2
R L2 B' U' B' L U'
U L2 D L2 D2 R2 B2
U L2 D L2 D2 B2 R2
U2 L2 D F2 L2 D2 R2
U' L2 D' R2 U' R2 U'
U' L2 D' R2 U2 D B2
U' L2 D' R2 D U2 B2
U' L2 D' R2 D' F2 U2
U L2 D F2 U2 L2 F2
U L2 D F2 U2 F2 L2
B' L2 D' U F U F'
R L2 B2 U' L U' L'
U2 L2 D' R2 B2 U2 B2
U2 L2 D' B2 R2 U2 B2
B' L2 D2 U F U F'
U' L2 F U' B2 U' B2
U' L2 F' U' B2 U' B2
R' U R D2 F2 U R2
D2 L2 F2 U R2 D2 B2
L2 U R D2 F2 U F2
D2 L2 F2 U' F2 U2 R2
U' L2 F2 U' B2 U' B2
L2 U R' D2 F2 U F2
B' L2 B U F U F'
R U R' D2 F2 U R2
L2 U R2 D2 F2 U F2
B' L2 B' U F U F'
R2 U R2 D2 F2 U R2
L' U D L2 D' B2 R'
L2 U D F U L2 F'
L2 U D F U F' L2
L2 U D F' U F L2
L2 U D F2 U L2 F2
L2 U D F2 U F2 L2
B' L2 B2 U F U F'
R U D' R' B2 U L
L' U D2 F2 U R F2
L2 U D2 R F2 U F2
L2 U D2 R' F2 U F2
L2 U D2 R2 F2 U F2
L2 U D2 F2 R U F2
L2 U D2 F2 R' U F2
L2 U D2 F2 R2 U F2
L2 U D2 F2 U F2 D
L2 U D2 F2 U F2 D'
L2 U D2 F2 U F2 D2
L2 U D2 F2 D R2 U
R U D2 R' F2 U R'
R U D2 F2 R' U R'
B' R L2 U R' F U
B' R L2 U F R' U
L2 U F U D L2 F'
L2 U F U D F' L2
L2 U F U F' D L2
U' R L2 U' R' B2 U'
L2 U F U2 B2 U' F'
L2 U F D U L2 F'
L2 U F D U F' L2
L2 U F D2 F2 U F
D2 R U R' F2 U R2
L2 U F' U D F L2
L2 U F' U F D L2
L2 U F' U2 B2 U' F
L2 U F' D U F L2
L2 U F' D2 F2 U F'
L2 U F2 U F2 D L2
L2 U F2 U2 B2 U' F2
L2 U F2 D R2 U L2
D2 R U2 R D' L2 F2
D2 R U2 R D' F2 L2
U2 R D L2 D R2 F2
U2 R D L2 D F2 R2
L U' L U' B2 U' B2
L2 U' L B2 U B2 U2
L2 U' L B2 U' D2 F2
L' U' L' U' B2 U' B2
L2 U' L B2 D L2 U'
L2 U' L B2 D2 U' F2
R U' L B2 L U' R'
U R D2 F2 U R2 F2
U R D2 F2 U F2 R2
L2 U' L' B2 U B2 U2
L2 U' L' B2 U' D2 F2
L2 U' L' B2 D L2 U'
L2 U' L' B2 D2 U' F2
L2 U' L2 B2 U B2 U2
L2 U' L2 B2 U' D2 F2
L2 U' L2 B2 D L2 U'
L2 U' L2 B2 D2 U' F2
R' U' D F2 L' U' L'
L2 U' D B U' L2 F
U2 R B2 U L2 U2 B2
U2 R B2 U' B2 D2 R2
B' R' L2 U R F U
U' R' L2 U' R B2 U'
U' R' L2 U' B2 R U'
D2 R' U R F2 U R2
D' R' U B2 R U L
L2 U' B L2 B U' F
D2 R' U2 R' D' L2 F2
D2 R' U2 R' D' F2 L2
D R' U' F2 L' U' L'
U2 R' D L2 D R2 F2
U2 R' D L2 D F2 R2
L2 U' B2 L U B2 U2
L2 U' B2 L U' D2 F2
L2 U' B2 L D L2 U'
L' U' B2 U L' B2 U2
L2 U' B2 L D2 U' F2
L2 U' B2 L' U B2 U2
L2 U' B2 L' U' D2 F2
L' U' B2 U B2 L' U2
L2 U' B2 L' D L2 U'
L2 U' B2 L' D2 U' F2
L' U' B2 U' D2 F2 R
R' U' B2 D F2 L' U'
L2 U' B2 L2 U B2 U2
L2 U' B2 L2 U' D2 F2
L2 U' B2 L2 D L2 U'
L2 U' B2 L2 D2 U' F2
L' U' B2 D2 U' F2 R
L2 U' B2 U B2 U2 D
L2 U' B2 U B2 U2 D'
L2 U' B2 U B2 U2 D2
L2 U' B2 U B2 D U2
L2 U' B2 U B2 D' U2
L2 U' B2 U B2 D2 U2
L2 U' B2 U' D2 F2 D
L2 U' B2 U' D2 F2 D'
L2 U' B2 U' D2 F2 D2
L2 U' B2 U' F D2 F2
L2 U' B2 U' F' D2 F2
L2 U' B2 U' F2 D2 F2
L2 U' B2 U2 D' R2 U
R U' B2 L U L U2
L2 U' B2 D L2 U' D
L2 U' B2 D L2 U' D'
L2 U' B2 D L2 U' D2
L2 U' B2 D L2 D U'
L2 U' B2 D L2 D' U'
L2 U' B2 D L2 D2 U'
L2 U' B2 D' U2 R2 U
L2 U' B2 D2 L U' F2
L2 U' B2 D2 L' U' F2
L2 U' B2 D2 L2 U' F2
L2 U' B2 D2 U' F2 D
L2 U' B2 D2 U' F2 D'
L2 U' B2 D2 U' F2 D2
L U' B2 U B2 L U2
R2 U' B2 D2 L2 U' R2
L U' B2 U' R' D2 F2
L U' B2 U' D2 R' F2
L U' B2 U' D2 F2 R'
L U' B2 D L2 U' R'
L2 U2 L U L' B2 U'
R U' B2 D L F2 U'
L2 U2 L U B2 L' U'
R U' B2 D F2 L U'
L U' B2 D2 U' R' F2
L U' B2 D2 U' F2 R'
R U' B2 D2 L U' R2
L2 U2 L' U L B2 U'
U R' D2 F2 U R2 F2
U R' D2 F2 U F2 R2
L' U2 L2 D L2 F2 R
L2 U2 L2 U L2 B2 U'
L2 U2 L2 U B2 L2 U'
L2 U2 L2 D L F2 L
L2 U2 L2 D L2 F2 D
L2 U2 L2 D L2 F2 D'
L2 U2 L2 D L2 F2 D2
L2 U2 L2 D F' L2 F'
L2 U2 L2 D F2 L2 D
L2 U2 L2 D F2 L2 D'
L2 U2 L2 D F2 L2 D2
L2 U2 L2 F D L2 F2
L2 U2 L2 F D F2 L2
L2 U2 L2 F' D L2 F2
L2 U2 L2 F' D F2 L2
L2 U2 L2 F2 D L2 F2
L2 U2 L2 F2 D F2 L2
L U2 L2 D F2 L2 R
L U2 L2 D F2 R L2
L2 U2 R B2 U' B2 R'
L U2 R B2 U' R' B2
L2 U2 R' B2 U' R B2
L2 U2 R' B2 U' B2 R
L U2 R' B2 U' R' B2
L2 U2 R2 B2 U' R2 B2
L2 U2 R2 B2 U' B2 R2
L2 U2 D L2 U L2 U'
L2 U2 D L2 D F2 D
L2 U2 D L2 D F2 D'
L2 U2 D L2 D F2 D2
L2 U2 D L2 F D F2
L2 U2 D L2 F' D F2
L2 U2 D L2 F2 D F2
L2 U2 D F L2 D F2
L2 U2 D F' L2 D F2
L U2 R2 B2 U' R' B2
L2 U2 D F2 L2 D F2
L U2 D L2 D F2 R
U2 R' B2 U L2 U2 B2
U2 R' B2 U' B2 D2 R2
D' R2 L U R2 B2 U
D' R2 L U B2 R2 U
D' R2 L U2 D' R2 F2
D' R2 L U2 D' F2 R2
D' R2 L D L2 B2 U2
D' R2 L D B2 L2 U2
D' R2 L D' U2 R2 F2
D' R2 L D' U2 F2 R2
D' R2 L' U R2 B2 U
D' R2 L' U B2 R2 U
D' R2 L' U2 D' R2 F2
D' R2 L' U2 D' F2 R2
D' R2 L' D L2 B2 U2
D' R2 L' D B2 L2 U2
D' R2 L' D' U2 R2 F2
D' R2 L' D' U2 F2 R2
L2 U2 F L2 D L2 F2
L2 U2 F L2 D F2 L2
D' R2 L2 U R2 B2 U
D' R2 L2 U B2 R2 U
B' R2 L2 U R2 F U
B' R2 L2 U F R2 U
D' R2 L2 U2 D' R2 F2
D' R2 L2 U2 D' F2 R2
U' R2 L2 U' R2 B2 U'
D' R2 L2 D L2 B2 U2
U' R2 L2 U' B2 R2 U'
U' R2 L2 U2 D L2 B2
U' R2 L2 U2 D B2 L2
D' R2 L2 D B2 L2 U2
D' R2 L2 D' U2 R2 F2
D' R2 L2 D' U2 F2 R2
U' R2 L2 D U2 L2 B2
U' R2 L2 D U2 B2 L2
U' R2 L2 D' R2 F2 U2
U' R2 L2 D' F2 R2 U2
L2 U2 F D L2 D F2
B R2 L2 U F' R2 U
L2 U2 F' L2 D L2 F2
L2 U2 F' L2 D F2 L2
D' R2 U R B2 R U
D' R2 U R2 U D' R2
D' R2 U R2 D' U R2
D' R2 U R2 B2 U D
D' R2 U R2 B2 U D'
D' R2 U R2 B2 U D2
D' R2 U R2 B2 D U
D' R2 U R2 B2 D' U
D' R2 U R2 B2 D2 U
L U2 F B2 U' R' B2
L2 U2 F' D L2 D F2
D' R2 U B' R2 B' U
D' R2 U B2 R2 U D
D' R2 U B2 R2 U D'
D' R2 U B2 R2 U D2
D' R2 U B2 R2 D U
D' R2 U B2 R2 D' U
D' R2 U B2 R2 D2 U
D' R2 U B2 U D' F2
D' R2 U B2 D' U F2
L2 U2 F2 L2 D L2 F2
L2 U2 F2 L2 D F2 L2
L' U2 F2 B2 U' R B2
D' R2 U' D2 L2 F2 U'
L' U2 F2 B2 U' B2 R
L U2 F' B2 U' R' B2
D' R2 U' D2 F2 L2 U'
L2 U2 F2 D L2 D F2
D' R2 U2 D' R' F2 R'
D' R2 U2 D' R2 F2 D
D' R2 U2 D' R2 F2 D'
D' R2 U2 D' R2 F2 D2
D' R2 U2 D' F R2 F
D' R2 U2 D' F2 R2 D
D' R2 U2 D' F2 R2 D'
D' R2 U2 D' F2 R2 D2
L U2 F2 B2 U' R' B2
D' R2 U2 F D' R2 F2
D' R2 U2 F D' F2 R2
D' R2 U2 F' D' R2 F2
D' R2 U2 F' D' F2 R2
D' R2 U2 F2 D' R2 F2
D' R2 U2 F2 D' F2 R2
D' R2 D L B2 U2 R'
D' R2 D L' B2 L' U2
D' R2 D L2 U2 D2 F2
D' R2 D L2 D2 U2 F2
D' R2 D L2 B2 U2 D
D' R2 D L2 B2 U2 D'
D' R2 D L2 B2 U2 D2
D' R2 D L2 B2 D U2
D' R2 D L2 B2 D' U2
D' R2 D L2 B2 D2 U2
D2 R2 D R2 B2 U2 R2
U2 R2 D L2 D R2 F2
U2 R2 D L2 D F2 R2
D' R2 D B L2 B U2
D' R2 D B' L2 U2 F
D2 R2 D B2 R2 U2 R2
D' R2 D B2 L2 U2 D
D' R2 D B2 L2 U2 D'
D' R2 D B2 L2 U2 D2
D' R2 D B2 L2 D U2
D' R2 D B2 L2 D' U2
D' R2 D B2 L2 D2 U2
D' R2 D B2 U2 D2 R2
D' R2 D B2 D2 U2 R2
L' U2 B2 U L' U2 B2
D' R2 D' L U2 R2 F2
D' R2 D' L U2 F2 R2
D' R2 D' L' U2 R2 F2
D' R2 D' L' U2 F2 R2
D' R2 D' L2 U2 R2 F2
D' R2 D' L2 U2 F2 R2
D2 R2 D' L2 F2 D2 B2
L2 U2 B2 R U' R' B2
L2 U2 B2 R' U' R B2
L2 U2 B2 R' U' B2 R
L2 U2 B2 R2 U' R2 B2
L2 U2 B2 R2 U' B2 R2
L2 U2 B2 U' B2 D' R2
D' R2 D' U2 R' F2 R'
D' R2 D' U2 R2 F2 D
D' R2 D' U2 R2 F2 D'
D' R2 D' U2 R2 F2 D2
L' U2 B2 F2 U' R B2
D' R2 D' U2 F R2 F
L' U2 B2 F2 U' B2 R
D' R2 D' U2 F2 R2 D
D' R2 D' U2 F2 R2 D'
D' R2 D' U2 F2 R2 D2
D2 R2 D' F' L2 F' B'
D2 R2 D' F' L2 B' F'
L2 U2 B2 D' R2 U' R2
D2 R2 D' F2 L2 D2 B2
R U2 B2 L U' B2 R'
D' R2 D' B U2 R2 F2
D' R2 D' B U2 F2 R2
L U2 B2 R U' R2 B2
L U2 B2 R U' B2 R2
D' R2 D' B' U2 R2 F2
D' R2 D' B' U2 F2 R2
D' R2 D' B2 U2 R2 F2
D' R2 D' B2 U2 F2 R2
L U2 B2 R2 U' R B2
L U2 B2 R2 U' B2 R
L U2 B2 U' R B2 R2
L U2 B2 U' R' B2 D
L U2 B2 U' R' B2 D'
L U2 B2 U' R' B2 D2
L U2 B2 U' R2 B2 R
L U2 B2 D' R2 U' R
D' R2 D2 U' L2 F2 U'
D' R2 D2 U' F2 L2 U'
L U2 B2 F U' R' B2
L U2 B2 F' U' R' B2
L U2 B2 F2 U' R' B2
U R2 D2 F2 U R2 F2
U R2 D2 F2 U F2 R2
L2 D R U R' U L2
L2 D R' U R U L2
D' R2 B U B R2 U
L2 D R2 U R2 U L2
D' R2 B' U R2 B' U
L2 D R2 U2 L2 D' F2
D' R2 B' U B' R2 U
L' D U L2 D' B2 R'
D' R2 B2 U R2 U R2
L2 D U F U L2 F'
L2 D U F U F' L2
L2 D U F' U F L2
L2 D U F2 U L2 F2
L2 D U F2 U F2 L2
R' D U' F2 L' U' L'
U2 R2 B2 U L2 U2 B2
U2 R2 B2 U' B2 D2 R2
L2 D U' B U' L2 F
L2 D U2 L2 U L2 U'
L2 D U2 L2 D F2 D
L2 D U2 L2 D F2 D'
L2 D U2 L2 D F2 D2
L2 D U2 L2 F D F2
L2 D U2 L2 F' D F2
L2 D U2 L2 F2 D F2
L2 D U2 F L2 D F2
L2 D U2 F' L2 D F2
L2 D U2 F2 L2 D F2
L D U2 L2 D F2 R
D2 U L2 R2 D' L2 B2
D2 U L2 R2 D' B2 L2
U2 D L2 R D R2 F2
U2 D L2 R D F2 R2
U2 D L2 R' D R2 F2
U2 D L2 R' D F2 R2
U2 D L2 R2 D R2 F2
U2 D L2 R2 D F2 R2
U2 D L2 U L2 F2 U'
B2 U L2 D F2 U2 F2
U2 D L2 U F2 L2 U'
U2 D L2 D R' F2 R'
U2 D L2 D R2 F2 D
U2 D L2 D R2 F2 D'
U2 D L2 D R2 F2 D2
U2 D L2 D F R2 F
U2 D L2 D F2 R2 D
U2 D L2 D F2 R2 D'
U2 D L2 D F2 R2 D2
D U L2 D R2 D2 B2
D U L2 D' B2 D2 R2
U2 D R L2 D R2 F2
U2 D R L2 D F2 R2
U D L2 D R2 D2 B2
D2 U R F2 U F2 R
U D L2 D' B2 D2 R2
U2 D R' L2 D R2 F2
U2 D R' L2 D F2 R2
D2 U R' F2 U R' F2
D2 U R' F2 U F2 R'
D2 U R2 L2 D' L2 B2
D2 U R2 L2 D' B2 L2
L2 D B U2 L2 D F2
D2 U R2 D' L2 D' B2
U2 D R2 L2 D R2 F2
U2 D R2 L2 D F2 R2
L2 D B' U2 L2 D F2
F' U D L2 D R2 B'
F' U D L2 D B' R2
F' U D L2 B' D R2
F2 U D L2 D R2 B2
F2 U D L2 D B2 R2
L2 D B2 U2 L2 D F2
R2 D B2 U' F2 U' L2
R2 D B2 U2 L2 D R2
F U D L2 D R2 B
F' U D2 R2 D' L2 B'
L' D' L' R2 U R2 U
L' D' L' R2 U2 D' F2
L' D' L' R2 D B2 U2
L' D' L' R2 D' U2 F2
D2 U F2 R U R F2
D2 U F2 R' U R' F2
D2 U F2 R' U F2 R'
D2 U F2 U R' F2 R'
U' D F2 U' L2 D F2
D2 U F2 U R2 F2 D
D2 U F2 U R2 F2 D'
D2 U F2 U R2 F2 D2
F2 U D2 R2 B2 D' L2
D2 U F2 U F R2 F
D2 U F2 U F2 R2 D
D2 U F2 U F2 R2 D'
D2 U F2 U F2 R2 D2
L D' L R2 U R2 U
L D' L R2 U2 D' F2
L D' L R2 D B2 U2
L D' L R2 D' U2 F2
D2 U F2 D R2 B2 U
D2 U F2 D B2 R2 U
U' D F2 B U' L2 F
F2 U D2 B2 R2 D' L2
D2 U F2 B U R2 F2
D2 U F2 B U F2 R2
D2 U F2 B' U R2 F2
D2 U F2 B' U F2 R2
D2 U F2 B2 U R2 F2
D2 U F2 B2 U F2 R2
U2 D F2 U' L2 D' B2
U2 D F2 D' B2 U' B2
F U D2 R2 D' L2 B
F U D2 R2 D' B L2
F U D2 R2 B D' L2
U2 D F2 B U' B' L2
U2 D F2 B' U' L2 B
U2 D F2 B' U' B L2
U2 D F2 B2 U' L2 B2
U2 D F2 B2 U' B2 L2
U' D B F2 U' L2 F
D2 U B F2 U R2 F2
D2 U B F2 U F2 R2
U2 D B F2 U' B' L2
D2 U B' F2 U R2 F2
D2 U B' F2 U F2 R2
U2 D B' F2 U' L2 B
U2 D B' F2 U' B L2
D' U B2 D' F2 U F2
R' D' R2 U R' B2 U
D2 U B2 F2 U R2 F2
