L U F R U
R' L U F U F2
R' L U2 F' D' L2
D' L U F R U
D L U F R U
D2 L U F R U
L R B U F U
R L B U F U
L R' U F U F2
L R' U2 F' D' L2
L U R F R U
L U R' F R U
L U R2 F R U
L U D F R U
L U D' F R U
L U D2 F R U
L U F R U D
L U F R U D'
L U F R U D2
L U F R D U
L U F R D' U
L U F R D2 U
L U F D R U
L U F D' R U
L U F D2 R U
L U2 L D F L'
L D U F R U
L D' U F R U
L D2 U F R U
L B U F R U
L B' U F R U
L B2 U F R U
L U R2 F R U D'
L U R2 F R U D2
L U R2 F R D U
L U R2 F R D' U
L U R2 F R D2 U
L U R2 F D R U
L U R2 F D' R U
L U R2 F D2 R U
L U D R F R U
L U D R' F R U
L U D R2 F R U
L U D F R U D
L U D F R U D'
L U D F R U D2
L U D F R D U
L U D F R D' U
L U D F R D2 U
L U D F D R U
L U D F D' R U
L U D F D2 R U
L U D' R F R U
L U D' R' F R U
L U D' R2 F R U
L U D' F R U D
L U D' F R U D'
L U D' F R U D2
L U D' F R D U
L U D' F R D' U
L U D' F R D2 U
L U D' F D R U
L U D' F D' R U
L U D' F D2 R U
D2 R L B U F U
D' R L B U F U
L U D2 R F R U
D R L B U F U
L U D2 R' F R U
L U D2 R2 F R U
L U D2 F R U D
L U D2 F R U D'
L U D2 F R U D2
L U D2 F R D U
L U D2 F R D' U
L U D2 F R D2 U
L U D2 F D R U
L U D2 F D' R U
L U D2 F D2 R U
L U F R' U D' F2
L U F R' D' U F2
L U F R2 D R' U
L U F R2 D' R' U
L U F R2 D2 R' U
L U F D R U D
L U F D R U D'
L U F D R U D2
L U F D R D U
L U F D R D' U
L U F D R D2 U
L U F D' R U D
L U F D' R U D'
L U F D' R U D2
L U F D' R D U
L U F D' R D' U
L U F D' R D2 U
L U F D2 R U D
L U F D2 R U D'
L U F D2 R U D2
L U F D2 R D U
L U F D2 R D' U
L U F D2 R D2 U
L U F B R B' U
L U F B2 R B2 U
L U F' R F2 R U
L U F' R' F2 R U
L U F' R2 F2 R U
L U B F R B' U
L U B2 F R B2 U
L U' L B L B' U'
L U' L2 B L B2 U'
L U' L2 B' U2 R' U
B' R B L U F U
D2 R' L U F U F2
D' R' L U F U F2
D2 R' L U2 F' D' L2
D' R' L U2 F' D' L2
D R' L U F U F2
D R' L U2 F' D' L2
B2 R' L F' D' L2 B'
L' U' B L B2 U' R'
L U' B L2 B' L' U'
L U' B' U2 R' F U
L U' B' U2 F R' U
L U' B2 L2 B' L U'
L U2 L D F L' D
L U2 L D F L' D'
L U2 L D F L' D2
L U2 L D F D L'
L U2 L D F D' L'
L U2 L D F D2 L'
B2 R' F' L2 D' B' L
L U2 D L D F L'
L U2 D' L D F L'
L U2 D2 L D F L'
L U2 F' L D' F L2
L U2 F' L' D' L2 F
L U2 F' D' L F L
L U2 F2 L F D' L2
R' D L U F U F2
R' D L U2 F' D' L2
L2 D L' U2 L F L'
R D L B U F U
L D R B U F U
L D R' U F U F2
L D R' U2 F' D' L2
L D U R F R U
L D U R' F R U
L D U R2 F R U
L D U F R U D
L D U F R U D'
L D U F R U D2
L D U F R D U
L D U F R D' U
L D U F R D2 U
L D U F D R U
L D U F D' R U
L D U F D2 R U
L D U2 L D F L'
B' U R B U L F
L D B U F R U
L D B' U F R U
R' D' L U F U F2
R' D' L U2 F' D' L2
L D B2 U F R U
L2 D' L' R B R' U2
B' U F R B U L
R D' L B U F U
L2 D' L' B R' U2 F'
L2 D' L' B' U2 L F
L2 D' R L' B R' U2
L2 D' R B L' R' U2
L2 D' R B R' L' U2
B' U B U L F R
L D' R B U F U
L D' R' U F U F2
L D' R' U2 F' D' L2
B U B U L R' F
B U B U L F R'
B U B U R' L F
L D' U R F R U
L D' U R' F R U
L D' U R2 F R U
L D' U F R U D
L D' U F R U D'
L D' U F R U D2
L D' U F R D U
L D' U F R D' U
L D' U F R D2 U
L D' U F D R U
L D' U F D' R U
L D' U F D2 R U
L D' U2 L D F L'
L2 D' B L' R' U2 F'
L2 D' B R' L' U2 F'
L D' B U F R U
R' D2 L U F U F2
L D' B' U F R U
R' D2 L U2 F' D' L2
L D' B2 U F R U
R2 D2 L B' U F U
R D2 L B U F U
L D2 R B U F U
L D2 R' U F U F2
L D2 R' U2 F' D' L2
B2 U2 L R' F D' L2
L D2 U R F R U
L D2 U R' F R U
L D2 U R2 F R U
L D2 U F R U D
L D2 U F R U D'
L D2 U F R U D2
L D2 U F R D U
L D2 U F R D' U
L D2 U F R D2 U
L D2 U F D R U
L D2 U F D' R U
L D2 U F D2 R U
L D2 U2 L D F L'
B2 U2 R' L F D' L2
L D2 B U F R U
L D2 B' U F R U
L D2 B2 U F R U
U' F U L R B U2
U' F U R L B U2
L2 B L' U F R U
L B R B U F U
L B R' U F U F2
L B R' U2 F' D' L2
L B U R F R U
L B U R' F R U
L B U R2 F R U
L B U D F R U
L B U D' F R U
L B U D2 F R U
L B U F R U D
L B U F R U D'
L B U F R U D2
L B U F R D U
L B U F R D' U
L B U F R D2 U
L B U F D R U
L B U F D' R U
L B U F D2 R U
R B U B U L R'
R B U B U R' L
L B U2 L D F L'
L B D U F R U
L B D' U F R U
L B D2 U F R U
L2 B' L' U F R U
L B' R B U F U
L B' R' U F U F2
L B' R' U2 F' D' L2
L B' U R F R U
L B' U R' F R U
L B' U R2 F R U
L B' U D F R U
L B' U D' F R U
L B' U D2 F R U
L B' U F R U D
L B' U F R U D'
L B' U F R U D2
L B' U F R D U
L B' U F R D' U
L B' U F R D2 U
L B' U F D R U
L B' U F D' R U
L B' U F D2 R U
L B' U2 L D F L'
L B' D U F R U
L B' D' U F R U
L B' D2 U F R U
L2 B2 L' U F R U
L' B2 L2 U' B L U'
L B2 R B U F U
L B2 R' U F U F2
L B2 R' U2 F' D' L2
L B2 U R F R U
L B2 U R' F R U
L B2 U R2 F R U
L B2 U D F R U
L B2 U D' F R U
L B2 U D2 F R U
L B2 U F R U D
L B2 U F R U D'
L B2 U F R U D2
L B2 U F R D U
L B2 U F R D' U
L B2 U F R D2 U
L B2 U F D R U
L B2 U F D' R U
L B2 U F D2 R U
L B2 U2 L D F L'
L B2 D U F R U
L B2 D' U F R U
L B2 D2 U F R U
