L U2 F B R U
L U2 B F R U
B' U2 R' F' B2 U
B' U2 R' B2 F' U
L' B' U2 R' B2 U
B' F' U2 R' F' B2 U
B' F' U2 R' B2 F' U
L' B' F' U2 R' B2 U
F' B' U2 R' F' B2 U
F' B' U2 R' B2 F' U
F2 B' U2 R' F' B2 U
F2 B' U2 R' B2 F' U
L' B' F2 U2 R' B2 U
F B' U2 R' F' B2 U
F B' U2 R' B2 F' U
L2 B2 L B' L F U'
L B2 L2 F B' L U'
L B2 L2 B' F L U'
U B2 U B' U L F
B' F2 U2 R' F' B2 U
B' F2 U2 R' B2 F' U
