R2 L D' L2 F' B'
R2 L D' L2 B' F'
R2 L' D' F' B' L2
R2 L' D' B' L2 F'
R2 L' D' B' F' L2
F2 L' U R2 F' B'
F2 L' U R2 B' F'
R2 L' B' D' L2 F'
R2 L' B' D' F' L2
L' R2 D' F' B' L2
L' R2 D' B' L2 F'
L' R2 D' B' F' L2
L R2 D' L2 F' B'
L R2 D' L2 B' F'
L' R2 B' D' L2 F'
L' R2 B' D' F' L2
R2 D' L' B' L' F'
R2 D' F' L' B' L'
R2 F' U' F' L' U
L' F2 U R2 F' B'
L' F2 U R2 B' F'
L F2 U R2 F' B
L F2 U R2 B F'
R2 D' B L' B' L' F'
R2 D' B F' L' B' L'
R2 D' B' L' B' L' F'
R2 D' B' F' L' B' L'
R2 D' B2 L' B' L' F'
R2 D' B2 F' L' B' L'
R2 D2 L D L2 F' B'
R2 D2 L D L2 B' F'
R2 D2 L' D F' B' L2
R2 D2 L' D B' L2 F'
R2 D2 L' D B' F' L2
R2 D2 L' F' D B' L2
F' U' F' L' U R2 F'
R2 D2 F' L D L2 B'
R2 D2 F' L' D B' L2
R2 D2 F' D L' B' L'
F2 U2 R U' B R F'
B U2 R D' L2 B R
B U2 R D' B L2 R
B U2 R D' B R L2
B U2 R B R D' L2
B U2 R B D' L2 R
B U2 R B D' R L2
L' F R2 F' D' B' L2
L' F R2 F' B' D' L2
L' F R2 B' F' D' L2
L F R2 F' D' L2 B'
L F U F U R2 F'
L F U2 R2 F' D' L2
L F B U F U R2
U' F' L' F' U R2 F'
R2 F' L' U' F' U B'
R2 F' L' B' U' F' U
L' F' R2 F' B' D L2
L' F' R2 B' D L2 F'
L' F' R2 B' D F' L2
L' F' R2 B' F' D L2
R2 F' U' L F' L' U
R2 F' U' L' F' L' U
R2 F' U' L2 F' L' U
R2 F' U' D F' L' U
R2 F' U' D' F' L' U
R2 F' U' D2 F' L' U
R2 F' U' F' L' U D
R2 F' U' F' L' U D'
R2 F' U' F' L' U D2
R2 F' U' F' L' D U
R2 F' U' F' L' D' U
R2 F' U' F' L' D2 U
R2 F' U' F' D L' U
R2 F' U' F' D' L' U
R2 F' U' F' D2 L' U
R2 F' D U' F' L' U
R2 F' D' U' F' L' U
R2 F' D2 U' F' L' U
R2 F' B U' F' L' U
R2 F' B' U' F' L' U
R2 F' B2 U' F' L' U
L2 F2 L U R2 F' B'
L2 F2 L U R2 B' F'
L F2 L U R2 F' B
L F2 L U R2 B F'
L F2 L' U R2 F' B
L F2 L' U R2 B F'
L' F2 R U R F' B'
L' F2 R U R B' F'
L' F2 R U B' R F'
U2 F2 R U B R F'
L F2 L2 U R2 F' B
L F2 L2 U R2 B F'
U F2 R U R F' B
U F2 R U R B F'
L' F2 U R B' R F'
L' F2 U R2 D F' B'
L' F2 U R2 D B' F'
L' F2 U R2 D' F' B'
L' F2 U R2 D' B' F'
L' F2 U R2 D2 F' B'
L' F2 U R2 D2 B' F'
L' F2 U R2 F' D B'
L' F2 U R2 F' D' B'
L' F2 U R2 F' D2 B'
L' F2 U R2 F' B' D
L' F2 U R2 F' B' D'
L' F2 U R2 F' B' D2
L' F2 U R2 B' D F'
L' F2 U R2 B' D' F'
L' F2 U R2 B' D2 F'
L' F2 U R2 B' F' D
L' F2 U R2 B' F' D'
L' F2 U R2 B' F' D2
L' F2 U F R2 F' B'
L' F2 U F R2 B' F'
L' F2 U F' R2 F' B'
L' F2 U F' R2 B' F'
L' F2 U F2 R2 F' B'
L' F2 U F2 R2 B' F'
L' F2 U B' R2 D2 F2
L' F2 U' B U2 R2 B2
L' F2 U' B U2 B2 R2
U F2 U R B R F'
L F2 U R2 D F' B
L F2 U R2 D B F'
L F2 U R2 D' F' B
L F2 U R2 D' B F'
L F2 U R2 D2 F' B
L F2 U R2 D2 B F'
L F2 U R2 F' D B
L F2 U R2 F' D' B
L F2 U R2 F' D2 B
L F2 U R2 F' B D
L F2 U R2 F' B D'
L F2 U R2 F' B D2
L F2 U R2 B D F'
L F2 U R2 B D' F'
L F2 U R2 B D2 F'
L F2 U R2 B F' D
L F2 U R2 B F' D'
L F2 U R2 B F' D2
L F2 U' F' U2 R2 F'
L F2 U' F' B U2 R2
L F2 U' B U2 R2 B
L F2 U' B F' U2 R2
R2 B L D' L2 F' B'
R2 B L D' L2 B' F'
R2 B L' D' F' B' L2
R2 B L' D' B' L2 F'
R2 B L' D' B' F' L2
R2 B L' B' D' L2 F'
R2 B L' B' D' F' L2
L' B U F2 U R2 B2
L' B U F2 U B2 R2
U B U L F2 U R2
L' B U2 R2 B2 D' L2
U B U F2 L U R2
L B U F2 U R2 B
L' B U2 B2 R2 D' L2
L B U2 R2 D' L2 B'
R2 B D' L' B' L' F'
R2 B D' F' L' B' L'
L B F U F U R2
R2 B F' U' F' L' U
R2 B' L D' L2 F' B'
R2 B' L D' L2 B' F'
R2 B' L' D' F' B' L2
R2 B' L' D' B' L2 F'
R2 B' L' D' B' F' L2
R2 B' L' B' D' L2 F'
R2 B' L' B' D' F' L2
L' B' R2 D' L2 D' F2
L' B' R2 D2 F2 D L2
R2 B' D' L' B' L' F'
R2 B' D' F' L' B' L'
R2 B' F' U' F' L' U
R2 B2 L D' L2 F' B'
R2 B2 L D' L2 B' F'
R2 B2 L' D' F' B' L2
R2 B2 L' D' B' L2 F'
R2 B2 L' D' B' F' L2
R2 B2 L' B' D' L2 F'
R2 B2 L' B' D' F' L2
L B2 R2 D' L2 F B'
L B2 R2 D' L2 B' F
R2 B2 D' L' B' L' F'
R2 B2 D' F' L' B' L'
R2 B2 F' U' F' L' U
