B2 L F' R B U'
F' R U2 R2 F' U
F' R D' B U' F2
F' R D2 L2 B U'
F' R D2 B L2 U'
F' R B U' D' F2
F' R B U2 R2 U
F' R B D' U' F2
F' R B D2 L2 U'
R' F' U2 R F' U'
F' B R B L U'
B2 F' L R B U'
B2 F' R L B U'
B F' R B L U'
F' B2 L R B U'
F' B2 R L B U'
F' B2 L R B U' D'
F' B2 L R B U' D2
F' B2 L R B D U'
F' B2 L R B D' U'
F' B2 L R B D2 U'
L B2 L F' R B U'
U B2 L F' R U' L'
F' B2 L D R B U'
F' B2 L D' R B U'
B F' D2 R B L U'
F' B2 L D2 R B U'
F' B2 L B R B U'
F' B2 L B' R B U'
F' B2 L B2 R B U'
F' B2 L' R B L2 U'
F' B2 L2 R B L' U'
F' B2 R L D B U'
F' B2 R L D' B U'
F' B2 R L D2 B U'
F' B2 R L B U' D
F' B2 R L B U' D'
F' B2 R L B U' D2
F' B2 R L B D U'
F' B2 R L B D' U'
F' B2 R L B D2 U'
F' B2 R L' B L2 U'
F' B2 R L2 B L' U'
F' B2 R D L B U'
F' B2 R D' L B U'
F' B2 R D2 L B U'
F' B2 D L R B U'
F' B2 D R L B U'
F' B2 D' L R B U'
F' B2 D' R L B U'
L' B2 F' L R B U'
L' B2 F' R L B U'
R' B2 F' U2 R F' U'
L2 B2 F' L R B U'
F' B2 D2 L R B U'
L2 B2 F' R L B U'
F' B2 D2 R L B U'
L B2 F' L R B U'
U B2 F' L R U' L2
L B2 F' R L B U'
U B2 F' R L U' L2
