D L' R2 F2 U' L
U L' U L' F2 U2
D2 L' U' L R2 B2
D2 L' U' L B2 R2
U L' U F2 U2 R
D2 L' U' R2 L B2
D L' F2 R2 U' L
F2 L2 U R U L2
L' U L' F2 U2 L2
U2 L2 F2 U' L U'
D' L2 B2 R' U L2
L' U F2 U2 L R
L' U F2 U2 R L
L' U' L D2 R2 B2
L' U' L D2 B2 R2
D R2 L' F2 U' L
D2 R2 U L' U' B2
D2 R2 B2 U L' U'
D2 U L' U' R2 B2
D2 U L' U' B2 R2
U D L' R2 F2 U'
D U L' R2 F2 U'
U D L' F2 R2 U'
D U L' F2 R2 U'
U D R2 L' F2 U'
D U R2 L' F2 U'
U' D' L2 B2 R' U
D' U' L2 B2 R' U
U D2 L' U' R2 B2
U D2 L' U' B2 R2
U2 F2 L2 U R U
L2 F2 U' L U' L
D2 B2 R2 U L' U'
D2 B2 U L' U' R2
D2 B2 U L' U' R2
D' R2 U' L2 B2 R' U
R2 U2 F2 L2 U R U
R U2 F2 L2 U R U
D R2 D L' U' L R2
D R2 D L' U' R2 L
U R2 D L' R2 F2 U'
U' R2 D' L2 B2 R' U
U R2 D L' F2 R2 U'
D2 R2 D' U L' R2 U'
D2 R2 D' U R2 L' U'
U R2 D R2 L' F2 U'
R' D L' R2 F2 U' L
R' D L' F2 R2 U' L
U R2 D2 L' U' R2 B2
U R2 D2 L' U' B2 R2
R2 D L' R2 F2 U' L
R D L' R2 F2 U' L
R2 D L' F2 R2 U' L
R D L' F2 R2 U' L
D2 R2 F2 U' R U B2
D2 R2 F2 B2 U' R U
D2 R2 B U L' U' B
R' D R2 L' F2 U' L
L' D R2 U L' U2 L2
L' D R2 U' L D2 R2
D R2 B L' F2 U' L
R2 D R2 L' F2 U' L
L' D R2 F2 U' L R
L' D R2 F2 U' R L
R' D U L' R2 F2 U'
R' D U L' F2 R2 U'
R' D U R2 L' F2 U'
R D R2 L' F2 U' L
D R2 B' L' F2 U' L
D2 R2 B2 L D L' F2
R2 D U L' R2 F2 U'
R2 D U L' F2 R2 U'
D2 R2 B2 U L' U' D
D2 R2 B2 U L' U' D'
D2 R2 B2 U L' U' D2
D2 R2 B2 U L' D U'
D2 R2 B2 U L' D' U'
D2 R2 B2 U L' D2 U'
D2 R2 B2 U D L' U'
D2 R2 B2 U D' L' U'
D2 R2 B2 U D2 L' U'
R2 D U R2 L' F2 U'
D2 R2 B2 D U L' U'
D2 R2 B2 D' U L' U'
D2 R2 B2 D2 U L' U'
D2 R2 B2 F2 U' R U
R D U L' R2 F2 U'
D R2 B2 L' F2 U' L
R D U L' F2 R2 U'
R D U R2 L' F2 U'
D2 U L' R U' R B2
D2 U L' R U' B2 R
D U L R2 F2 L2 U'
D2 U L' R' U' R' B2
B' U L' U L' F2 U2
D2 U L' U' R B2 R
D2 U L' U' R2 B2 D
D2 U L' U' R2 B2 D'
D2 U L' U' R2 B2 D2
D' U L' U2 L' B2 U
B' U L' U F2 U2 R
D2 U L' U' B' R2 B'
D2 U L' U' B2 R2 D
D2 U L' U' B2 R2 D'
D2 U L' U' B2 R2 D2
D' U L' U2 B2 L' U
U D L R2 F2 L2 U'
D2 U L' D' R2 F2 U'
B2 U L' U L' F2 U2
D2 U L' D' F2 R2 U'
D' U L' D2 F2 R U'
B2 U L' U F2 U2 R
D2 U L' F U' R2 B2
D2 U L' F U' B2 R2
D U L F2 L2 R2 U'
D U L F2 R2 L2 U'
D2 U L' F' U' R2 B2
D2 U L' F' U' B2 R2
D2 U L' F2 U' R2 B2
D2 U L' F2 U' B2 R2
D U L' R' F2 R' U'
D U L' R2 U' D R2
D U L' R2 D U' R2
D U L' R2 F2 U' D
D U L' R2 F2 U' D'
D U L' R2 F2 U' D2
D U L' R2 F2 D U'
D U L' R2 F2 D' U'
D U L' R2 F2 D2 U'
U D L F2 L2 R2 U'
B U L' U L' F2 U2
U D L F2 R2 L2 U'
B U L' U F2 U2 R
D U L' U' D R2 B2
D U L' U' D B2 R2
D U L' D U' R2 B2
D U L' D U' B2 R2
U D L' R' F2 R' U'
U D L' R2 U' D R2
U D L' R2 D U' R2
U D L' R2 F2 U' D
U D L' R2 F2 U' D'
U D L' R2 F2 U' D2
U D L' R2 F2 D U'
U D L' R2 F2 D' U'
U D L' R2 F2 D2 U'
D U L' F R2 F U'
U D L' U' D R2 B2
U D L' U' D B2 R2
D U L' F2 R2 U' D
D U L' F2 R2 U' D'
D U L' F2 R2 U' D2
D U L' F2 R2 D U'
D U L' F2 R2 D' U'
D U L' F2 R2 D2 U'
D U L' F2 U' D B2
D U L' F2 D U' B2
U D L' D U' R2 B2
U D L' D U' B2 R2
U D L' F R2 F U'
D U L2 R2 F2 L U'
D2 U R L' U' R B2
D2 U R L' U' B2 R
U D L' F2 R2 U' D
U D L' F2 R2 U' D'
U D L' F2 R2 U' D2
U D L' F2 R2 D U'
U D L' F2 R2 D' U'
U D L' F2 R2 D2 U'
U D L' F2 U' D B2
U D L' F2 D U' B2
L' D F2 R2 U' L R'
L' D F2 R2 U' R' L
U D L2 R2 F2 L U'
F2 U R U' L2 U2 L2
D U L2 F2 L R2 U'
D U L2 F2 R2 L U'
U D L2 F2 L R2 U'
D2 U R' L' U' R' B2
U D L2 F2 R2 L U'
D U R' L' F2 R' U'
U D R' L' F2 R' U'
D U R2 L F2 L2 U'
D U R2 L' U' D R2
D U R2 L' D U' R2
D U R2 L' F2 U' D
D U R2 L' F2 U' D'
D U R2 L' F2 U' D2
D U R2 L' F2 D U'
D U R2 L' F2 D' U'
D U R2 L' F2 D2 U'
D U R2 L2 F2 L U'
B' U D L' R2 F2 U'
B' U D L' F2 R2 U'
D U R2 D L' U' R2
B2 U D L' R2 F2 U'
U D R2 L F2 L2 U'
U D R2 L' U' D R2
U D R2 L' D U' R2
B' U D R2 L' F2 U'
B2 U D L' F2 R2 U'
U D R2 L' F2 U' D
U D R2 L' F2 U' D'
U D R2 L' F2 U' D2
U D R2 L' F2 D U'
U D R2 L' F2 D' U'
U D R2 L' F2 D2 U'
U D R2 L2 F2 L U'
B2 U D R2 L' F2 U'
D U R2 F2 U2 R U
U D R2 D L' U' R2
B U D L' R2 F2 U'
B U D L' F2 R2 U'
U D R2 F2 U2 R U
B U D R2 L' F2 U'
B' U D2 L' U' R2 B2
B' U D2 L' U' B2 R2
B2 U D2 L' U' R2 B2
B2 U D2 L' U' B2 R2
B U D2 L' U' R2 B2
B U D2 L' U' B2 R2
D U F2 R2 U2 R' U
U D F2 R2 U2 R' U
R' D' L2 B2 R' U L2
R2 D' L2 B2 R' U L2
R D' L2 B2 R' U L2
R' D' U' L2 B2 R' U
U' D' L2 R B2 R' U
D' U' L2 R B2 R' U
U' D' L2 R' B2 R' U
D' U' L2 R' B2 R' U
D' U' L2 R2 B2 R' U
U' D' L2 R2 B2 R' U
L2 D' U' L B2 R' U'
U D' L' U2 L' B2 U
U D' L' U2 B2 L' U
R2 D' U' L2 B2 R' U
U' D' L2 B2 R' U D
U' D' L2 B2 R' U D'
U' D' L2 B2 R' U D2
U' D' L2 B2 R' D U
U' D' L2 B2 R' D' U
U' D' L2 B2 R' D2 U
D' U' L2 B2 R' U D
D' U' L2 B2 R' U D'
D' U' L2 B2 R' U D2
D' U' L2 B2 R' D U
D' U' L2 B2 R' D' U
D' U' L2 B2 R' D2 U
U' D' L2 B2 D R' U
U' D' L2 B2 D' R' U
U' D' L2 B2 D2 R' U
D' U' L2 B2 D R' U
D' U' L2 B2 D' R' U
D' U' L2 B2 D2 R' U
U D' L' D2 F2 R U'
U' D' R L2 B2 R' U
D' U' R L2 B2 R' U
R D' U' L2 B2 R' U
U' D' R' L2 B2 R' U
D' U' R' L2 B2 R' U
U' D' R2 L2 B2 R' U
D' U' R2 L2 B2 R' U
F2 U' R D' B2 L U
B' U' D' L2 B2 R' U
B2 U' D' L2 B2 R' U
F2 U' D' R B2 L U
R' D2 L' U' L R2 B2
R' D2 L' U' L B2 R2
R' D2 L' U' R2 L B2
B U' D' L2 B2 R' U
D' U' B2 L2 U2 L U'
U' D' B2 L2 U2 L U'
R2 D2 L' U' L R2 B2
R2 D2 L' U' L B2 R2
R2 D2 L' U' R2 L B2
R D2 L' U' L R2 B2
R D2 L' U' L B2 R2
R D2 L' U' R2 L B2
U D2 L' R U' R B2
U D2 L' R U' B2 R
R' D2 R2 U L' U' B2
U D2 L' R' U' R' B2
U D2 L' U' R B2 R
U D2 L' U' R2 B2 D
U D2 L' U' R2 B2 D'
U D2 L' U' R2 B2 D2
U D2 L' U' B' R2 B'
U D2 L' U' B2 R2 D
U D2 L' U' B2 R2 D'
U D2 L' U' B2 R2 D2
U D2 L' D' R2 F2 U'
U D2 L' D' F2 R2 U'
U D2 L' F U' R2 B2
U D2 L' F U' B2 R2
U D2 L' F' U' R2 B2
U D2 L' F' U' B2 R2
U D2 L' F2 U' R2 B2
U D2 L' F2 U' B2 R2
R' D2 R2 B2 U L' U'
L2 D2 R2 U' L U' B2
R' D2 U L' U' R2 B2
R' D2 U L' U' B2 R2
R2 D2 R2 U L' U' B2
L' D2 U L' U2 L2 B2
L' D2 U L' U2 B2 L2
R2 D2 R2 B2 U L' U'
L D2 R2 U B2 L' R'
L D2 R2 U B2 R' L'
R D2 R2 U L' U' B2
R2 D2 U L' U' R2 B2
R2 D2 U L' U' B2 R2
L' D2 U' L B2 D2 R2
U D2 R L' U' R B2
U D2 R L' U' B2 R
L' D2 U' L2 B2 L' R'
L' D2 U' L2 B2 R' L'
R D2 R2 B2 U L' U'
R D2 U L' U' R2 B2
R D2 U L' U' B2 R2
U D2 R' L' U' R' B2
B' U2 L2 F2 U' L U'
F' U2 L2 F' U R U
B2 U2 L2 F2 U' L U'
L' D2 F2 U' L R B2
L' D2 F2 U' L B2 R
L' D2 F2 U' R L B2
B U2 L2 F2 U' L U'
R' D2 B2 R2 U L' U'
R' D2 B2 U L' U' R2
R2 D2 B2 R2 U L' U'
R2 D2 B2 U L' U' R2
L D2 B2 L' D' R' F2
L D2 B2 L' D' F2 R'
R D2 B2 R2 U L' U'
R D2 B2 U L' U' R2
L D2 B2 D' L' R' F2
L D2 B2 D' L' F2 R'
L D2 B2 D' R' L' F2
F' U2 F' L2 U R U
B' U2 F2 L2 U R U
B2 U2 F2 L2 U R U
B U2 F2 L2 U R U
L2 F U' L U' L B'
B' D L' R2 F2 U' L
B2 D L' R2 F2 U' L
B' D L' F2 R2 U' L
B2 D L' F2 R2 U' L
B D L' R2 F2 U' L
B D L' F2 R2 U' L
B' D R2 L' F2 U' L
B2 D R2 L' F2 U' L
B' D U L' R2 F2 U'
B' D U L' F2 R2 U'
B' D U R2 L' F2 U'
B D R2 L' F2 U' L
B2 D U L' R2 F2 U'
B2 D U L' F2 R2 U'
B2 D U R2 L' F2 U'
B D U L' R2 F2 U'
B D U L' F2 R2 U'
B D U R2 L' F2 U'
U2 F' L2 F' U R U
D2 F' R B2 D R F'
L' F' U F' U2 L R
L' F' U F' U2 R L
B' D' L2 B2 R' U L2
B2 D' L2 B2 R' U L2
B D' L2 B2 R' U L2
D2 F' B2 R D R F'
B' D' U' L2 B2 R' U
B2 D' U' L2 B2 R' U
F2 D' U' R B2 L U
B D' U' L2 B2 R' U
U' F2 L2 U R F2 U
L F2 L R U' L U'
D' F2 L2 R B2 U L2
R' F2 L2 U R U L2
D' F2 L2 B2 R U L2
U2 F2 L2 U R U D
U2 F2 L2 U R U D'
U2 F2 L2 U R U D2
U2 F2 L2 U R D U
U2 F2 L2 U R D' U
U2 F2 L2 U R D2 U
U2 F2 L2 U D R U
U2 F2 L2 U D' R U
U2 F2 L2 U D2 R U
D' F2 R L2 B2 U L2
U2 F2 L2 D U R U
U2 F2 L2 D' U R U
U2 F2 L2 D2 U R U
R2 F2 L2 U R U L2
U2 F2 L2 B U R U
U2 F2 L2 B' U R U
U2 F2 L2 B2 U R U
D' F2 R B2 L2 U L2
L2 F2 R U' L U' L
D' F2 R' D' R2 F2 B2
D' F2 R' D' R2 B2 F2
D' F2 R' D' F2 R2 B2
D' F2 R' D' F2 B2 R2
R F2 L2 U R U L2
D' F2 R' D' B2 R2 F2
D' F2 R' D' B2 F2 R2
L F2 R L U' L U'
L2 F2 R' U' L U' L
D2 F2 R2 U' R' U B2
L F2 R D L U2 F2
L F2 R D' L B2 U2
L F2 R D' B2 U2 R'
D2 F2 R2 B2 U L U'
L2 F2 R2 U' L U' L
U2 F2 U R U D2 R2
U2 F2 U R U' L2 U2
U2 F2 U R D' B2 U
U2 F2 U R D2 U R2
D' F2 U' L2 R B2 U
D2 F2 U' R U R B2
D2 F2 U' R U B2 R
D' F2 U' L2 B2 R U
D' F2 U' R L2 B2 U
U2 F2 U D' R B2 U
D' F2 U' R B2 L2 U
U2 F2 U D' B2 R U
U2 F2 U D2 R U R
D F2 R2 B2 L U' L'
L2 F2 U' L U' L D
L2 F2 U' L U' L D'
L2 F2 U' L U' L D2
L2 F2 U' L U' D L
L2 F2 U' L U' D' L
