U2 L B' U'
U2 L D B' U'
U2 L D' B' U'
U2 L D2 B' U'
U2 L B' U' D
U2 L B' U' D'
U2 L B' U' D2
U2 L B' D U'
U2 L B' D' U'
U2 L B' D2 U'
R' U2 L B' U'
R2 U2 L B' U'
R U2 L B' U'
F U2 L B' U'
F' U2 L B' U'
F2 U2 L B' U'
F U2 L B' U' D
F U2 L B' U' D'
F U2 L B' U' D2
F U2 L B' D U'
F U2 L B' D' U'
F U2 L B' D2 U'
L' F L U2 L U'
D' U2 B' U' L F
U2 F L F' B' U'
U2 F L B' F' U'
L' F D L U F2
R' F U2 L B' U'
D F U L' D F2
U F U L B' U'
L' F D2 L R2 U
R2 F U2 L B' U'
L' F D2 R2 L U
D F U2 L U' L2
R F U2 L B' U'
R' F' U2 L B' U'
U F' U L B' U'
R2 F' U2 L B' U'
R F' U2 L B' U'
U2 F2 L F2 B' U'
U2 F2 L B' F2 U'
R' F2 U2 L B' U'
R2 F2 U2 L B' U'
U F2 U L B' U'
R F2 U2 L B' U'
U2 B L B' L U'
L B' U2 L' B U
L B' U2 B L' U
U2 L R D R' B' U'
U2 L R D' R' B' U'
U2 L R D2 R' B' U'
U L R B' U' B R'
U2 L R' D R B' U'
U2 L R' D B' R U'
U2 L R' D' R B' U'
U2 L R' D' B' R U'
U2 L R' D2 R B' U'
U2 L R' D2 B' R U'
U2 L R' B R B2 U'
U2 L R' B' R U' D
U2 L R' B' R U' D'
U2 L R' B' R U' D2
U2 L R' B' R D U'
U2 L R' B' R D' U'
U2 L R' B' R D2 U'
U2 L R' B' D R U'
U2 L R' B' D' R U'
U2 L R' B' D2 R U'
U L R' B' U' B R
U2 L R2 D B' U' B'
U2 L R2 B R2 B2 U'
U2 L R2 B' R2 U' D
U2 L R2 B' R2 U' D'
U2 L R2 B' R2 U' D2
U2 L R2 B' R2 D U'
U2 L R2 B' R2 D' U'
U2 L R2 B' R2 D2 U'
U2 L R2 B' U' D B2
U2 L R2 B' D U' B2
U L R2 B' U' B R2
U2 L U R U' B' U'
U2 L U R' U' B' U'
U2 L U R2 U' B' U'
U L U B' U B U2
U2 L U' L2 U' F U
U2 L U' B D B' L2
U2 L U2 L2 F L2 U
U2 L U2 F U2 B' U'
L' R D2 R2 F L U
U2 L U2 F' U2 B' U'
U2 L U2 F2 U2 B' U'
L' R D2 F L R2 U
L' R D2 F R2 L U
U2 L D R' B' R U'
L' R F L U2 L U'
U2 L D R2 B' R2 U'
U2 L D B U' D L2
U2 L D B D U' L2
L' R F D L U F2
U2 L D B2 D B U'
U2 L D B2 D' B U'
U2 L D B2 D2 B U'
L' R F D2 L R2 U
L' R F D2 R2 L U
U2 L D' R' B' R U'
U2 L D' R2 B' R2 U'
U2 L D' B U' D L2
U2 L D' B D U' L2
U2 L D' B2 D B U'
U2 L D' B2 D' B U'
U2 L D' B2 D2 B U'
U2 L D2 R' B' R U'
U2 L D2 R2 B' R2 U'
U2 L D2 B U' D L2
U2 L D2 B D U' L2
U2 L D2 B2 D B U'
U2 L D2 B2 D' B U'
U2 L D2 B2 D2 B U'
U2 L F D F' B' U'
U2 L F D B' F' U'
U2 L F D' F' B' U'
U2 L F D' B' F' U'
U2 L F D2 F' B' U'
U2 L F D2 B' F' U'
U2 L F B' D F' U'
U2 L F B' D' F' U'
U2 L F B' D2 F' U'
U2 L F' D F B' U'
U2 L F' D B' F U'
U2 L F' D' F B' U'
U2 L F' D' B' F U'
U2 L F' D2 F B' U'
U2 L F' D2 B' F U'
R' L B' U2 L' B U
R' L B' U2 B L' U
U2 L F' B' D F U'
U2 L F' B' D' F U'
U2 L F' B' D2 F U'
L R B' U2 L' B U
R2 L B' U2 L' B U
L R B' U2 B L' U
R2 L B' U2 B L' U
R L B' U2 L' B U
R L B' U2 B L' U
U2 L F2 D B' U' R2
U2 L F2 B' U' D R2
U2 L F2 B' D U' R2
U2 L B L B2 L' U'
U2 L B L2 B2 L2 U'
U2 L B R' B2 R U'
U2 L B R2 B2 R2 U'
U2 L B U D' R2 U2
U2 L B U' L D L2
U2 L B U' L' D L2
U2 L B U' L2 D L2
U2 L B U' D L2 D
U2 L B U' D L2 D'
U2 L B U' D L2 D2
U2 L B U2 D2 F2 U
U2 L B D U' L2 D
U2 L B D U' L2 D'
U2 L B D U' L2 D2
U2 L B D B U' L2
U2 L B D B' U' L2
U2 L B D B2 U' L2
U2 L B D' U R2 U2
U2 L B D2 U2 F2 U
U2 L B' L D L' U'
U2 L B' L D' L' U'
U2 L B' L D2 L' U'
U2 L B' L' D L U'
U2 L B' L' D' L U'
U2 L B' L' D2 L U'
U2 L B' L2 U' D F2
U2 L B' L2 D U' F2
U2 L B' R D R' U'
U2 L B' R D' R' U'
U2 L B' R D2 R' U'
U2 L B' R' D R U'
U2 L B' R' D' R U'
U2 L B' R' D2 R U'
U2 L B' R2 U' D B2
U2 L B' R2 D U' B2
F' L B' U2 L' B U
U L B' R U' R' B
F' L B' U2 B L' U
U2 L B' U' L D L'
U2 L B' U' L D' L'
U2 L B' U' L D2 L'
U2 L B' U' L' D L
U2 L B' U' L' D' L
U2 L B' U' L' D2 L
U2 L B' U' R D R'
U2 L B' U' R D' R'
U2 L B' U' R D2 R'
U2 L B' U' R' D R
U2 L B' U' R' D' R
U2 L B' U' R' D2 R
F2 L B' U2 L' B U
U2 L B' U' F D F'
U2 L B' U' F D' F'
U2 L B' U' F D2 F'
U2 L B' U' F' D F
U2 L B' U' F' D' F
U2 L B' U' F' D2 F
U2 L B' U' B D B'
U2 L B' U' B D' B'
U2 L B' U' B D2 B'
U2 L B' U' B' D B
U2 L B' U' B' D' B
U2 L B' U' B' D2 B
F2 L B' U2 B L' U
U L B' R2 U' R2 B
F L B' U2 L' B U
F L B' U2 B L' U
U2 L B' F D F' U'
U2 L B' F D' F' U'
U2 L B' F D2 F' U'
U2 L B' F' D F U'
U2 L B' F' D' F U'
U2 L B' F' D2 F U'
U2 L B' F2 U' D R2
U2 L B' F2 D U' R2
U2 L B2 L B L' U'
U2 L B2 L2 B L2 U'
U2 L B2 D B U' D
U2 L B2 D B U' D'
U2 L B2 D B U' D2
U2 L B2 D B D U'
U2 L B2 D B D' U'
U2 L B2 D B D2 U'
U2 L B2 D' B U' D
U2 L B2 D' B U' D'
U2 L B2 D' B U' D2
U2 L B2 D' B D U'
U2 L B2 D' B D' U'
U2 L B2 D' B D2 U'
U2 L B2 D2 B U' D
U2 L B2 D2 B U' D'
U2 L B2 D2 B U' D2
U2 L B2 D2 B D U'
U2 L B2 D2 B D' U'
U2 L B2 D2 B D2 U'
B2 L' R' F L B2 U
R' L' D2 R2 F L U
L' R' D2 R2 F L U
R' L' D2 F L R2 U
R' L' D2 F R2 L U
L' R' D2 F L R2 U
L' R' D2 F R2 L U
R2 L' D2 R2 F L U
U L' U L2 D B' U'
U L' U L2 D' B' U'
U L' U L2 D2 B' U'
U L' U L2 B' U' D
U L' U L2 B' U' D'
U L' U L2 B' U' D2
U L' U L2 B' D U'
U L' U L2 B' D' U'
U L' U L2 B' D2 U'
R L' D2 R2 F L U
R2 L' D2 F L R2 U
R2 L' D2 F R2 L U
R L' D2 F L R2 U
R' L' F L U2 L U'
R L' D2 F R2 L U
L' R' F L U2 L U'
R2 L' F L U2 L U'
U L' U B L2 B' U'
R L' F L U2 L U'
U L' U B' L2 B' U'
U L' U B2 L2 B' U'
R' L' F D L U F2
L' R' F D L U F2
R' L' F D2 L R2 U
R' L' F D2 R2 L U
L' R' F D2 L R2 U
L' R' F D2 R2 L U
R2 L' F D L U F2
R L' F D L U F2
U L' U' D F U F
R2 L' F D2 L R2 U
R2 L' F D2 R2 L U
U L' U' D2 R2 F U
U L' U' D2 F R2 U
R L' F D2 L R2 U
R L' F D2 R2 L U
U L' U' F U D F2
U L' U' F U2 L2 U'
U L' U' F D U F2
U L' U' F D2 R2 U
U2 L' U2 D F U F
U2 L' U2 D2 R2 F U
U2 L' U2 D2 F R2 U
U2 L' U2 F U D F2
U2 L' U2 F U2 L2 U'
U2 L' U2 F D U F2
U2 L' U2 F D2 R2 U
U2 L' D L2 B' U' F2
U2 L' D U2 F U F
U L' D U' F U F
U L' D F' D' L2 F'
U L' D F' D' F' L2
U L' D F2 U' F' U
F' L' D2 R2 F L U
F2 L' D2 R2 F L U
F' L' D2 F L R2 U
F' L' D2 F R2 L U
F2 L' D2 F L R2 U
U2 L' D2 U2 R2 F U
F2 L' D2 F R2 L U
F L' D2 R2 F L U
U2 L' D2 U2 F R2 U
L R' B' U2 L' B U
L R' B' U2 B L' U
F L' D2 F L R2 U
F L' D2 F R2 L U
U L' D2 U' R2 F U
U L' D2 U' F R2 U
F' L' F L U2 L U'
F2 L' F L U2 L U'
U L' D2 F' D' L2 F2
U L' D2 F' D' F2 L2
B2 L' F L R' B2 U
F L' F L U2 L U'
B2 L' F R' L B2 U
F' L' F D L U F2
F2 L' F D L U F2
F' L' F D2 L R2 U
F' L' F D2 R2 L U
F2 L' F D2 L R2 U
F2 L' F D2 R2 L U
U L' F U L2 U' L2
F L' F D L U F2
F L' F D2 L R2 U
U L' F D F2 D' L2
F L' F D2 R2 L U
U L' F' D F2 D2 L2
U L' F' D' L2 D2 F2
U2 L' B L2 D B' U'
U2 L' B L2 D' B' U'
U2 L' B L2 D2 B' U'
U2 L' B L2 B' U' D
U2 L' B L2 B' U' D'
U2 L' B L2 B' U' D2
U2 L' B L2 B' D U'
U2 L' B L2 B' D' U'
U2 L' B L2 B' D2 U'
U2 L' B' L2 D B' U'
U2 L' B' L2 D' B' U'
U2 L' B' L2 D2 B' U'
U2 L' B' L2 B' U' D
U2 L' B' L2 B' U' D'
U2 L' B' L2 B' U' D2
U2 L' B' L2 B' D U'
U2 L' B' L2 B' D' U'
U2 L' B' L2 B' D2 U'
U2 L' B2 L2 D B' U'
U2 L' B2 L2 D' B' U'
U2 L' B2 L2 D2 B' U'
U2 L' B2 L2 B' U' D
U2 L' B2 L2 B' U' D'
U2 L' B2 L2 B' U' D2
U2 L' B2 L2 B' D U'
U2 L' B2 L2 B' D' U'
U2 L' B2 L2 B' D2 U'
L' R2 D2 R2 F L U
L' R2 D2 F L R2 U
L' R2 D2 F R2 L U
L' R2 F L U2 L U'
L' R2 F D L U F2
L' R2 F D2 L R2 U
L' R2 F D2 R2 L U
U L2 U L' B U' L
U L2 U B L' U' L2
U2 L2 U' F' D' L' F
U2 L2 D L' D B' U'
U2 L2 D L' D' B' U'
U2 L2 D L' D2 B' U'
U2 L2 D L' B' U' D
U2 L2 D L' B' U' D'
U2 L2 D L' B' U' D2
U2 L2 D L' B' D U'
U2 L2 D L' B' D' U'
U2 L2 D L' B' D2 U'
L R2 B' U2 L' B U
L R2 B' U2 B L' U
U2 L2 D B L' B' U'
U2 L2 D B' L' B' U'
U2 L2 D B2 L' B' U'
U2 L2 D' L' D B' U'
U2 L2 D' L' D' B' U'
U2 L2 D' L' D2 B' U'
U2 L2 D' L' B' U' D
U2 L2 D' L' B' U' D'
U2 L2 D' L' B' U' D2
U2 L2 D' L' B' D U'
U2 L2 D' L' B' D' U'
U2 L2 D' L' B' D2 U'
U2 L2 D' B L' B' U'
U2 L2 D' B' L' B' U'
U2 L2 D' B2 L' B' U'
U2 L2 D2 L' D B' U'
U2 L2 D2 L' D' B' U'
U2 L2 D2 L' D2 B' U'
U2 L2 D2 L' B' U' D
U2 L2 D2 L' B' U' D'
U2 L2 D2 L' B' U' D2
U2 L2 D2 L' B' D U'
U2 L2 D2 L' B' D' U'
U2 L2 D2 L' B' D2 U'
R' U L' U L2 B' U'
U2 L2 D2 B L' B' U'
R2 U L' U L2 B' U'
U2 L2 D2 B' L' B' U'
U2 L2 D2 B2 L' B' U'
R U L' U L2 B' U'
D L2 F L2 U L F
D2 L2 F2 L2 R F' U
D2 L2 F2 R L2 F' U
D2 L2 F2 R F' L2 U
U2 L2 B L' D B' U'
U2 L2 B L' D' B' U'
U2 L2 B L' D2 B' U'
U2 L2 B L' B' U' D
U2 L2 B L' B' U' D'
U2 L2 B L' B' U' D2
U2 L2 B L' B' D U'
U2 L2 B L' B' D' U'
U2 L2 B L' B' D2 U'
U2 L2 B D L' B' U'
U2 L2 B D' L' B' U'
U2 L2 B D2 L' B' U'
U2 L2 B' L' D B' U'
U2 L2 B' L' D' B' U'
U2 L2 B' L' D2 B' U'
U2 L2 B' L' B' U' D
U2 L2 B' L' B' U' D'
U2 L2 B' L' B' U' D2
U2 L2 B' L' B' D U'
U2 L2 B' L' B' D' U'
U2 L2 B' L' B' D2 U'
R' U D F L' D F2
U2 L2 B' D L' B' U'
U2 L2 B' D' L' B' U'
U2 L2 B' D2 L' B' U'
U2 L2 B2 L' D B' U'
U2 L2 B2 L' D' B' U'
U2 L2 B2 L' D2 B' U'
R2 U D F L' D F2
U2 L2 B2 L' B' U' D
U2 L2 B2 L' B' U' D'
U2 L2 B2 L' B' U' D2
U2 L2 B2 L' B' D U'
U2 L2 B2 L' B' D' U'
U2 L2 B2 L' B' D2 U'
R U D F L' D F2
U2 L2 B2 D L' B' U'
U2 L2 B2 D' L' B' U'
U2 L2 B2 D2 L' B' U'
U2 R L D R' B' U'
U2 R L D' R' B' U'
U2 R L D2 R' B' U'
R' U F U L B' U'
U R L B' U' B R'
R2 U F U L B' U'
R U F U L B' U'
R' U F' U L B' U'
R2 U F' U L B' U'
R U F' U L B' U'
R' U F2 U L B' U'
D R U F L' D F2
U' R U' L D B' U'
U' R U' L D' B' U'
U' R U' L D2 B' U'
U' R U' L B' U' D
U' R U' L B' U' D'
U' R U' L B' U' D2
U' R U' L B' D U'
U' R U' L B' D' U'
U' R U' L B' D2 U'
R2 U F2 U L B' U'
R U F2 U L B' U'
D2 R U2 L U2 F' U
D' R U2 L B' U' L
F' R U2 L D B' U'
F' R U2 L D' B' U'
F' R U2 L D2 B' U'
F' R U2 L B' U' D
F' R U2 L B' U' D'
F' R U2 L B' U' D2
F' R U2 L B' D U'
F' R U2 L B' D' U'
F' R U2 L B' D2 U'
F2 R U2 L D B' U'
F2 R U2 L D' B' U'
F2 R U2 L D2 B' U'
F2 R U2 L B' U' D
F2 R U2 L B' U' D'
F2 R U2 L B' U' D2
F2 R U2 L B' D U'
F2 R U2 L B' D' U'
F2 R U2 L B' D2 U'
D' R U2 D L B' U'
F R U2 L D B' U'
F R U2 L D' B' U'
F R U2 L D2 B' U'
F R U2 L B' U' D
F R U2 L B' U' D'
F R U2 L B' U' D2
F R U2 L B' D U'
F R U2 L B' D' U'
F R U2 L B' D2 U'
D' R U2 B' U' L F
D R U2 D' L B' U'
D' R D U2 L B' U'
D2 R D F' U2 L U'
D2 R D' F' U2 L U'
D R D' U2 L B' U'
U2 R D2 L R' B U'
U2 R D2 R' L B U'
D2 R D2 F' U2 L U'
F' R F U2 L B' U'
D R F U L' D F2
F2 R F U2 L B' U'
D R F U2 L U' L2
D2 R F' R U2 L U'
D2 R F' R' U2 L U'
F R F U2 L B' U'
D2 R F' R2 U2 L U'
D2 R F' U2 L U' D
D2 R F' U2 L U' D'
D2 R F' U2 L U' D2
D2 R F' U2 L D U'
D2 R F' U2 L D' U'
D2 R F' U2 L D2 U'
D2 R F' U2 D L U'
D2 R F' U2 D' L U'
D2 R F' U2 D2 L U'
D2 R F' D U2 L U'
R' U' R U' L B' U'
F' R F' U2 L B' U'
D2 R F' D' U2 L U'
D2 R F' D2 U2 L U'
F2 R F' U2 L B' U'
D2 R F' B2 R' B2 U
F R F' U2 L B' U'
R2 U' R U' L B' U'
R U' R U' L B' U'
R' U' R' U' L B' U'
F' R F2 U2 L B' U'
F2 R F2 U2 L B' U'
R2 U' R' U' L B' U'
F R F2 U2 L B' U'
R' U' R2 U' L B' U'
R U' R' U' L B' U'
R2 U' R2 U' L B' U'
R U' R2 U' L B' U'
B R B' U2 L B' U'
D2 R B2 F' R' B2 U
U2 R' L D R B' U'
U2 R' L D B' R U'
U2 R' L D' R B' U'
U2 R' L D' B' R U'
U2 R' L D2 R B' U'
U2 R' L D2 B' R U'
U2 R' L B R B2 U'
U2 R' L B' R U' D
U2 R' L B' R U' D'
U2 R' L B' R U' D2
U2 R' L B' R D U'
U2 R' L B' R D' U'
U2 R' L B' R D2 U'
U2 R' L B' D R U'
U2 R' L B' D' R U'
U2 R' L B' D2 R U'
B2 R' L' F L B2 U
U R' L B' U' B R
U R' U L B' U' R
U' R' U' L D B' U'
U' R' U' L D' B' U'
U' R' U' L D2 B' U'
U' R' U' L B' U' D
U' R' U' L B' U' D'
U' R' U' L B' U' D2
U' R' U' L B' D U'
U' R' U' L B' D' U'
U' R' U' L B' D2 U'
D R' U F L' D F2
D2 R' U2 L D B U'
D2 R' U2 L D' B U'
D2 R' U2 L D2 B U'
D2 R' U2 L B U' D
D2 R' U2 L B U' D'
D2 R' U2 L B U' D2
D2 R' U2 L B D U'
D2 R' U2 L B D' U'
D2 R' U2 L B D2 U'
D' R' U2 L B' U' L
D2 R' U2 L' B L2 U'
F' R' U2 L D B' U'
F' R' U2 L D' B' U'
F' R' U2 L D2 B' U'
D2 R' U2 L2 B L' U'
F' R' U2 L B' U' D
F' R' U2 L B' U' D'
F' R' U2 L B' U' D2
F' R' U2 L B' D U'
F' R' U2 L B' D' U'
F' R' U2 L B' D2 U'
D2 R' U2 D L B U'
D' R' U2 D L B' U'
F2 R' U2 L D B' U'
F2 R' U2 L D' B' U'
F2 R' U2 L D2 B' U'
F2 R' U2 L B' U' D
F2 R' U2 L B' U' D'
F2 R' U2 L B' U' D2
F2 R' U2 L B' D U'
F2 R' U2 L B' D' U'
F2 R' U2 L B' D2 U'
D2 R' U2 D' L B U'
D2 R' U2 D2 L B U'
D' R' U2 B' U' L F
F R' U2 L D B' U'
F R' U2 L D' B' U'
F R' U2 L D2 B' U'
F R' U2 L B' U' D
F R' U2 L B' U' D'
F R' U2 L B' U' D2
F R' U2 L B' D U'
F R' U2 L B' D' U'
F R' U2 L B' D2 U'
D R' U2 D' L B' U'
D2 R' D U2 L B U'
D' R' D U2 L B' U'
R' U2 L R' B' R U'
D2 R' D' U2 L B U'
R' U2 L R2 B' R2 U'
R' U2 L D B' U' D
R' U2 L D B' U' D'
R' U2 L D B' U' D2
R' U2 L D B' D U'
R' U2 L D B' D' U'
R' U2 L D B' D2 U'
R' U2 L D' B' U' D
R' U2 L D' B' U' D'
R' U2 L D' B' U' D2
R' U2 L D' B' D U'
R' U2 L D' B' D' U'
R' U2 L D' B' D2 U'
R' U2 L D2 B' U' D
R' U2 L D2 B' U' D'
R' U2 L D2 B' U' D2
R' U2 L D2 B' D U'
R' U2 L D2 B' D' U'
R' U2 L D2 B' D2 U'
D R' D' U2 L B' U'
R' U2 L B U' D L2
R' U2 L B D U' L2
B2 R' D' B' U L R2
R2 U2 L R' B' R U'
B2 R' D' B' U R2 L
R2 U2 L R2 B' R2 U'
R' U2 L B2 D B U'
R' U2 L B2 D' B U'
R' U2 L B2 D2 B U'
D2 R' D2 U2 L B U'
R2 U2 L D B' U' D
R2 U2 L D B' U' D'
R2 U2 L D B' U' D2
R2 U2 L D B' D U'
R2 U2 L D B' D' U'
R2 U2 L D B' D2 U'
R U2 L R' B' R U'
R2 U2 L D' B' U' D
R2 U2 L D' B' U' D'
R2 U2 L D' B' U' D2
R2 U2 L D' B' D U'
R2 U2 L D' B' D' U'
R2 U2 L D' B' D2 U'
R U2 L R2 B' R2 U'
R2 U2 L D2 B' U' D
R2 U2 L D2 B' U' D'
R2 U2 L D2 B' U' D2
R2 U2 L D2 B' D U'
R2 U2 L D2 B' D' U'
R2 U2 L D2 B' D2 U'
R U2 L D B' U' D
R U2 L D B' U' D'
R U2 L D B' U' D2
R U2 L D B' D U'
R U2 L D B' D' U'
R U2 L D B' D2 U'
R2 U2 L B U' D L2
R2 U2 L B D U' L2
R U2 L D' B' U' D
R U2 L D' B' U' D'
R U2 L D' B' U' D2
R U2 L D' B' D U'
R U2 L D' B' D' U'
R U2 L D' B' D2 U'
R U2 L D2 B' U' D
R U2 L D2 B' U' D'
R U2 L D2 B' U' D2
R U2 L D2 B' D U'
R U2 L D2 B' D' U'
R U2 L D2 B' D2 U'
R2 U2 L B2 D B U'
R2 U2 L B2 D' B U'
R2 U2 L B2 D2 B U'
R' U2 L' B L2 B' U'
R' U2 L' B' L2 B' U'
R' U2 L' B2 L2 B' U'
R U2 L B U' D L2
R U2 L B D U' L2
R U2 L B2 D B U'
R U2 L B2 D' B U'
R U2 L B2 D2 B U'
D2 R' F U2 L B U'
F' R' F U2 L B' U'
R' U2 L2 D L' B' U'
R' U2 L2 D' L' B' U'
R' U2 L2 D2 L' B' U'
R2 U2 L' B L2 B' U'
F2 R' F U2 L B' U'
R2 U2 L' B' L2 B' U'
D R' F U L' D F2
R2 U2 L' B2 L2 B' U'
R' U2 L2 B L' B' U'
D R' F U2 L U' L2
R' U2 L2 B' L' B' U'
R' U2 L2 B2 L' B' U'
R U2 L' B L2 B' U'
R U2 L' B' L2 B' U'
L' U2 L2 B' U2 L' U
R U2 L' B2 L2 B' U'
D2 R' F' U2 L B U'
R2 U2 L2 D L' B' U'
F R' F U2 L B' U'
R2 U2 L2 D' L' B' U'
F' R' F' U2 L B' U'
R2 U2 L2 D2 L' B' U'
R U2 L2 D L' B' U'
R2 U2 L2 B L' B' U'
F2 R' F' U2 L B' U'
R U2 L2 D' L' B' U'
R2 U2 L2 B' L' B' U'
R U2 L2 D2 L' B' U'
R2 U2 L2 B2 L' B' U'
R U2 L2 B L' B' U'
R' U2 R' L B' R U'
R U2 L2 B' L' B' U'
R U2 L2 B2 L' B' U'
D2 R' F2 U2 L B U'
F R' F' U2 L B' U'
F' R' F2 U2 L B' U'
F2 R' F2 U2 L B' U'
R2 U2 R' L B' R U'
R' U2 R2 L B' R2 U'
F R' F2 U2 L B' U'
R U2 R' L B' R U'
R2 U2 R2 L B' R2 U'
R U2 R2 L B' R2 U'
B2 R' B' D' B' U L
R' U2 D' L B' U' L
B R' B' U2 L B' U'
B2 R' B2 L' F L U
R' U2 D' B' U' L F
B2 R' B2 D F U L'
R2 U2 D' L B' U' L
R U2 D' L B' U' L
U2 R2 L D B' U' B'
R2 U2 D' B' U' L F
R' U2 F L F' B' U'
R' U2 F L B' F' U'
U2 R2 L B R2 B2 U'
U2 R2 L B' R2 U' D
U2 R2 L B' R2 U' D'
U2 R2 L B' R2 U' D2
U2 R2 L B' R2 D U'
U2 R2 L B' R2 D' U'
U2 R2 L B' R2 D2 U'
U2 R2 L B' U' D B2
R U2 D' B' U' L F
U2 R2 L B' D U' B2
R2 U2 F L F' B' U'
R2 U2 F L B' F' U'
U R2 L B' U' B R2
R U2 F L F' B' U'
R U2 F L B' F' U'
R' U2 F2 L F2 B' U'
R' U2 F2 L B' F2 U'
D2 R2 U F' L' D F2
U' R2 U' L D B' U'
U' R2 U' L D' B' U'
U' R2 U' L D2 B' U'
U' R2 U' L B' U' D
U' R2 U' L B' U' D'
U' R2 U' L B' U' D2
U' R2 U' L B' D U'
U' R2 U' L B' D' U'
U' R2 U' L B' D2 U'
U R2 U L B' U' R2
R2 U2 F2 L F2 B' U'
R2 U2 F2 L B' F2 U'
D R2 U F L' D F2
R' U2 B L B' L U'
R U2 F2 L F2 B' U'
R U2 F2 L B' F2 U'
D2 R2 U2 L U2 F U
D' R2 U2 L B' U' L
D2 R2 U2 L' B' L2 U'
F' R2 U2 L D B' U'
F' R2 U2 L D' B' U'
F' R2 U2 L D2 B' U'
F' R2 U2 L B' U' D
F' R2 U2 L B' U' D'
F' R2 U2 L B' U' D2
F' R2 U2 L B' D U'
F' R2 U2 L B' D' U'
F' R2 U2 L B' D2 U'
R2 U2 B L B' L U'
F2 R2 U2 L D B' U'
F2 R2 U2 L D' B' U'
F2 R2 U2 L D2 B' U'
F2 R2 U2 L B' U' D
F2 R2 U2 L B' U' D'
F2 R2 U2 L B' U' D2
F2 R2 U2 L B' D U'
F2 R2 U2 L B' D' U'
F2 R2 U2 L B' D2 U'
D' R2 U2 D L B' U'
R U2 B L B' L U'
L' U2 B' L2 B' R' U'
D' R2 U2 B' U' L F
F R2 U2 L D B' U'
F R2 U2 L D' B' U'
F R2 U2 L D2 B' U'
F R2 U2 L B' U' D
F R2 U2 L B' U' D'
F R2 U2 L B' U' D2
F R2 U2 L B' D U'
F R2 U2 L B' D' U'
F R2 U2 L B' D2 U'
D R2 U2 D' L B' U'
D' R2 D U2 L B' U'
L' U2 B2 L2 R' B' U'
L' U2 B2 R' L2 B' U'
D R2 D' U2 L B' U'
F' R2 F U2 L B' U'
F2 R2 F U2 L B' U'
L D L' U2 L B' U'
D R2 F U L' D F2
