U L2 R F U
U R L2 F U
L2 R D' F B2 U
L2 R D' B2 F U
L2 R D2 F U R2
L2 R F U D2 R2
L2 R F U' L2 U2
L2 R F D' B2 U
L2 R F D2 U R2
R L2 D' F B2 U
R L2 D' B2 F U
U L2 R D F U
U2 L2 R F U R'
U L2 R D' F U
U L2 R D2 F U
U L2 R F U D
U L2 R F U D'
U L2 R F U D2
U L2 R F D U
U L2 R F D' U
U L2 R F D2 U
R L2 D2 F U R2
U L2 R' F R2 U
R L2 F U D2 R2
R L2 F U' L2 U2
R L2 F D' B2 U
R L2 F D2 U R2
U L2 R2 F R' U
U L2 D R F U
U L2 D' R F U
U L2 D2 R F U
R' U L2 R2 F U
R' U L2 F R2 U
R2 U L2 R' F U
R2 U L2 F R' U
R U L2 F U F'
R2 U R' L2 F U
R' U R2 L2 F U
U R L2 D F U
U R L2 D' F U
U2 R L2 F U R'
U R L2 D2 F U
U R L2 D2 F U
U R L2 F U D
U R L2 F U D'
U R L2 F U D2
U R L2 F D U
U R L2 F D' U
U R L2 F D2 U
U R F L2 F U
U R F' L2 F U
U R F2 L2 F U
U R F2 L2 F U
U R' L2 F R2 U
U R2 L2 F R' U
L2 D' R F B2 U
L2 D' R B2 F U
L2 D' B2 R F U
B' U2 L2 R U R'
B' U2 R L2 U R'
U F' L2 F R U
D F2 U' B' L' U'
U' B' U2 L2 R U
U' B' U2 R L2 U
B2 R2 U F' R' L2 U
U' R2 U2 L2 R' F U
B' R2 U2 L2 R' U R
U' R2 U2 L2 F R' U
U' R2 U2 R' L2 F U
B' R2 U2 R' L2 U R
R U2 B' D2 R2 U' R2
U R2 F L2 R' F U
U R2 F L2 F R' U
U R2 F R' L2 F U
U R2 F' L2 R' F U
U R2 F' L2 F R' U
L2 D R D F U R2
U R2 F' R' L2 F U
L2 D R D2 F B2 U
L2 D R D2 B2 F U
L2 D R F U2 F U'
U R2 F2 L2 R' F U
U R2 F2 L2 F R' U
U R2 F2 R' L2 F U
D' U L2 R F U B2
B' U L2 R U' R' U2
L2 D F U2 F L' U'
B2 U L2 R2 F' R' U
B U L2 R U D L2
B U L2 R U2 B2 U'
B U L2 R D U L2
B U L2 R D2 F2 U
F2 U L2 F U2 L U'
D' U R L2 F U B2
B' U R L2 U' R' U2
B' U R U D' B2 L
B U L2 D R U L2
D' U R U2 B' U' B'
D2 U R U2 R B' U'
D' U R D L2 F U
D2 U R U2 B' R U'
B U L2 D2 R F2 U
B' U R D' U B2 L
R' D F2 B2 U' B U'
F U L2 F U2 L' U'
F U L2 F' R F2 U
B U R L2 U D L2
B U R L2 U2 B2 U'
B U R L2 D U L2
B U R L2 D2 F2 U
D U R D' L2 F U
U D R D' L2 F U
B2 U R2 L2 F' R' U
B2 U R2 F' L2 R' U
B2 U R2 F' R' L2 U
R' D B2 F2 U' B U'
B' U D' R U B2 L
B U D2 R F2 L' U
F2 U F L2 F R U
F U F' L2 R F U
F2 U F2 L2 R F U
F U F' R L2 F U
F2 U F2 R L2 F U
L2 D' R D' F U R2
L2 D' R F U D' R2
L2 D' R F D' U R2
L2 D' R F B2 U D
L2 D' R F B2 U D'
L2 D' R F B2 U D2
L2 D' R F B2 D U
L2 D' R F B2 D' U
L2 D' R F B2 D2 U
L2 D' R B2 D F U
L2 D' R B2 D' F U
L2 D' R B2 D2 F U
L2 D' R B2 F U D
L2 D' R B2 F U D'
L2 D' R B2 F U D2
L2 D' R B2 F D U
L2 D' R B2 F D' U
L2 D' R B2 F D2 U
F U F2 L2 F R U
L2 D' R' F R2 B2 U
L2 D' R' F B2 R2 U
L2 D' R' B2 R2 F U
L2 D' R' B2 F R2 U
L2 D' R2 F R' B2 U
R' D' U' B' U' F2 B'
R' D' U' B' U' B' F2
U D' L2 R F U B2
F2 U' L' U2 L' F U
U D' R L2 F U B2
U D' R U2 B' U' B'
U D' R D L2 F U
D2 U' R2 B2 L B U'
L2 D' B' R F B' U
L2 D' B' R B' F U
L2 D' B2 R D F U
L2 D' B2 R D' F U
L2 D' B2 R D2 F U
L2 D' B2 R F U D
L2 D' B2 R F U D'
L2 D' B2 R F U D2
L2 D' B2 R F D U
L2 D' B2 R F D' U
L2 D' B2 R F D2 U
D2 U' B R2 B2 L U'
L2 D' B2 R' F R2 U
L2 D' B2 R2 F R' U
L2 D' B2 D R F U
L2 D' B2 D' R F U
L2 D' B2 D2 R F U
U' D' B' U2 R U B'
D2 U' B' R2 U2 R' U
D' U' B' U2 R U B'
F2 U' D2 R2 B' L' U'
F2 U' D2 B' L' R2 U'
F2 U' D2 B' R2 L' U'
F U' D2 R2 B' L U'
F U' D2 B' L R2 U'
F U' D2 B' R2 L U'
L2 D2 R' F R2 U R
B2 U' B U2 L2 R U
B2 U' B U2 R L2 U
F2 U' B' L' U2 L' U
L2 D2 R2 F R' U R
F2 U' B' D' L' U' B2
F2 U' B' D2 L' R2 U'
F2 U' B' D2 R2 L' U'
R' D2 U' R2 B' L2 U'
U D2 R U2 R B' U'
R' D2 U' B' L2 R2 U'
R' D2 U' B' R2 L2 U'
U D2 R U2 B' R U'
U' D2 R2 B2 L B U'
B U' B2 U2 L2 R U
B U' B2 U2 R L2 U
R D2 U' B' R2 U' F'
B' U2 L2 R U R' D
B' U2 L2 R U R' D'
B' U2 L2 R U R' D2
B' U2 L2 R U D R'
B' U2 L2 R U D' R'
B' U2 L2 R U D2 R'
B' U2 L2 R D U R'
B' U2 L2 R D' U R'
B' U2 L2 R D2 U R'
R D2 U2 R2 B' U' R2
B' U2 L2 D R U R'
B' U2 L2 D' R U R'
B' U2 L2 D2 R U R'
R D2 U2 B' R2 U' R2
B' U2 L2 B R U R'
B' U2 L2 B' R U R'
B' U2 L2 B2 R U R'
B' U2 R L2 U R' D
B' U2 R L2 U R' D'
B' U2 R L2 U R' D2
B' U2 R L2 U D R'
B' U2 R L2 U D' R'
B' U2 R L2 U D2 R'
B' U2 R L2 D U R'
B' U2 R L2 D' U R'
B' U2 R L2 D2 U R'
B' U2 R U R' D' B2
B' U2 R U D' R' B2
B' U2 R D' U R' B2
U' D2 B R2 B2 L U'
U' D2 B' R2 U2 R' U
B' U2 D' R U R' B2
U F L2 F U2 L' U'
U F L2 F' R F2 U
R F L2 D' F B2 U
R F L2 D' B2 F U
R F L2 D2 F U R2
R F L2 F U D2 R2
R F L2 F U' L2 U2
R F L2 F D' B2 U
R F L2 F D2 U R2
B' U2 B L2 R U R'
B' U2 B R L2 U R'
B' U2 B' L2 R U R'
B' U2 B' R L2 U R'
R' F U L2 R2 F U
R' F U L2 F R2 U
R' F U R2 L2 F U
B' U2 B2 L2 R U R'
B' U2 B2 R L2 U R'
R2 F U L2 R' F U
R2 F U L2 F R' U
R2 F U R' L2 F U
R F U L2 F U F'
L2 F D2 B R' U R'
U' F' L2 F R B' U
U' F' L2 F B' R U
U' F' L2 B' F R U
U2 F' L2 F R U R'
U F' L2 R F R U
U F' L2 R' F R U
B' D F2 U' L' U' L
U F' L2 R2 F R U
U F' L2 D F R U
U F' L2 D' F R U
U F' L2 D2 F R U
B2 D F2 U' L' B U'
U F' L2 F R U D
U F' L2 F R U D'
U F' L2 F R U D2
U F' L2 F R D U
U F' L2 F R D' U
U F' L2 F R D2 U
B2 D F2 U' B L' U'
U F' L2 F D R U
U F' L2 F D' R U
U F' L2 F D2 R U
R F' L2 D' F B2 U
R F' L2 D' B2 F U
R F' L2 D2 F U R2
R F' L2 F U D2 R2
R F' L2 F U' L2 U2
R F' L2 F D' B2 U
R F' L2 F D2 U R2
U F' R L2 F R U
B D F2 U' L' U' L'
U F' R' L2 F R U
R' F' U L2 R2 F U
R' F' U L2 F R2 U
R' F' U R2 L2 F U
U F' R2 L2 F R U
R2 F' U L2 R' F U
R2 F' U L2 F R' U
R2 F' U R' L2 F U
R F' U L2 F U F'
B' D' U R U B2 L
B D' R2 U R' U B2
B' D' U2 R U R' B2
B' D' F2 L' U' B2 R'
U F2 L2 F U2 L U'
D F2 R U' B' L' U'
R F2 L2 D' F B2 U
R F2 L2 D' B2 F U
R F2 L2 D2 F U R2
R F2 L2 F U D2 R2
R F2 L2 F U' L2 U2
R F2 L2 F D' B2 U
R F2 L2 F D2 U R2
D F2 R' U' B' L' U'
R' F2 U L2 R2 F U
R' F2 U L2 F R2 U
R' F2 U R2 L2 F U
D F2 R2 U' B' L' U'
R2 F2 U L2 R' F U
D2 F2 U' R2 B' L' U'
R2 F2 U L2 F R' U
R2 F2 U R' L2 F U
D2 F2 U' B' L' R2 U'
D2 F2 U' B' R2 L' U'
R F2 U L2 F U F'
