R' L U' F B' R'
R' L U' B' R' F
R' L U' B' F R'
R2 L F' U' F2 B'
R2 L F' U' B' F2
L R' U' F B' R'
L R' U' B' R' F
L R' U' B' F R'
L R2 F' U' F2 B'
L R2 F' U' B' F2
L U' F B' D' R2
L U' B' D' R2 F
L U' B' D' F R2
L U' B' F D' R2
L U2 B U F B2
L U2 B U B2 F
R2 F' L U' F B'
R2 F' L U' B' F
R2 L' F' U B' F2 U2
L R' F' U' F2 B' R'
L R' F' U' B' R' F2
L R' F' U' B' F2 R'
L R' F2 U' F' B' R'
L R' F2 U' B' F' R'
L R2 U' F D R2 B'
L R2 U' F D B' R2
L R2 U' F B' D R2
L R2 U' B' F D R2
L R2 D F' U' F2 B'
L R2 D F' U' B' F2
L R2 D' F' U' F2 B'
L R2 D' F' U' B' F2
L R2 D2 F' U' F2 B'
L R2 D2 F' U' B' F2
L2 R2 F' L' U' F B'
L2 R2 F' L' U' B' F
L' R2 F' U F2 B' U2
R2 L2 F' L' U' F B'
R2 L2 F' L' U' B' F
L' R2 F' U B' F2 U2
L R2 F' R U' F2 B'
L R2 F' R U' B' F2
L R2 F' R' U' F2 B'
L R2 F' R' U' B' F2
L R2 F' R2 U' F2 B'
L R2 F' R2 U' B' F2
L R2 F' U' F2 D B'
L R2 F' U' F2 D' B'
L R2 F' U' F2 D2 B'
L R2 F' U' F2 B' D
L R2 F' U' F2 B' D'
L R2 F' U' F2 B' D2
L R2 F' U' B' F2 D
L R2 F' U' B' F2 D'
L R2 F' U' B' F2 D2
B L2 F L' U F B'
B L2 F L' U B' F
L' U F B' U B2 U
L' U F B' U2 D' R2
L' U F B' D L2 U2
L' U F B' D' U2 R2
L' U B' D L2 U2 B'
L' U B' D F L2 U2
L' U B' D' F U2 R2
L' U B' F U B2 U
L' U B' F U2 D' R2
L' U B' F D L2 U2
L' U B' F D' U2 R2
L U' R2 F D R2 B'
L U' R2 F D B' R2
L U' R2 F B' D R2
L U' R2 B' F D R2
L U' D F B' D' R2
L U' D B' D' R2 F
L U' D B' D' F R2
L U' D B' F D' R2
F' R' L U' F B' R'
F' R' L U' B' R' F
F' R' L U' B' F R'
F2 R' L U' F B' R'
F2 R' L U' B' R' F
F2 R' L U' B' F R'
L U' D' F B' D' R2
L U' D' B' D' R2 F
L U' D' B' D' F R2
L U' D' B' F D' R2
F R' L U' F B' R'
F R' L U' B' R' F
F R' L U' B' F R'
L U' D2 F B' D' R2
L U' D2 B' D' R2 F
L U' D2 B' D' F R2
L U' D2 B' F D' R2
L U' F U' B U B2
L U' F D B' D' R2
L U' F D' B' D' R2
L U' F D2 B' D' R2
L U' F B' R D' R2
L U' F B' R' D' R2
L U' F B' R2 D' R2
L U' F B' U' B2 U
L U' F B' D' R2 D
L U' F B' D' R2 D'
L U' F B' D' R2 D2
L U' F2 B' D' F' R2
L U' B' R D' R2 F
L U' B' R D' F R2
L U' B' R F D' R2
L U' B' R' D' R2 F
L U' B' R' D' F R2
L U' B' R' F D' R2
L U' B' R2 D' R2 F
L U' B' R2 D' F R2
L U' B' R2 F D' R2
L U' B' U' B2 U F
L U' B' D F D2 R2
L U' B' D' R' F R'
L U' B' D' R2 D F
L U' B' D' R2 D' F
L U' B' D' R2 D2 F
L U' B' D' R2 F D
L U' B' D' R2 F D'
L U' B' D' R2 F D2
L U' B' D' F R2 D
L U' B' D' F R2 D'
L U' B' D' F R2 D2
L U' B' D' F' R2 F2
L U' B' F R D' R2
L U' B' F R' D' R2
L U' B' F R2 D' R2
L U' B' F U' B2 U
L U' B' F D' R2 D
L U' B' F D' R2 D'
L U' B' F D' R2 D2
L U' B' F2 D' F' R2
L' U2 L2 B U F B2
L' U2 L2 B U B2 F
L U2 R' U F R B'
L U2 R' U F B' R
L U2 R' U B' F R
L U2 D B U F B2
L U2 D B U B2 F
F' R2 L F' U' F2 B'
F' R2 L F' U' B' F2
F2 R2 L F' U' F2 B'
F2 R2 L F' U' B' F2
L U2 D' B U F B2
L U2 D' B U B2 F
D R2 L F' R U' F2
F R2 L F' U' F2 B'
F R2 L F' U' B' F2
L U2 D2 B U F B2
L U2 D2 B U B2 F
L' U2 B U' F B2 U2
L' U2 B U' B2 F U2
L U2 B R U F B2
L U2 B R U B2 F
L U2 B R' U F B2
L U2 B R' U B2 F
L U2 B R2 U F B2
L U2 B R2 U B2 F
L U2 B U F B2 D
L U2 B U F B2 D'
L U2 B U F B2 D2
L U2 B U B2 D F
L U2 B U B2 D' F
L U2 B U B2 D2 F
L U2 B U B2 F D
L U2 B U B2 F D'
L U2 B U B2 F D2
R2 D L F' R U' F2
F' R2 F' L U' F B'
F' R2 F' L U' B' F
F2 R2 F' L U' F B'
F2 R2 F' L U' B' F
D R2 F' L R U' F
D R2 F' R L U' F
F R2 F' L U' F B'
F R2 F' L U' B' F
L D R' U' F B' R'
L D R' U' B' R' F
L D R' U' B' F R'
L D R2 F' U' F2 B'
L D R2 F' U' B' F2
L D U' F B' D' R2
L D U' B' D' R2 F
L D U' B' D' F R2
L D U' B' F D' R2
L D U2 B U F B2
L D U2 B U B2 F
R2 D F' L R U' F
R2 D F' R L U' F
L D' R' U' F B' R'
L D' R' U' B' R' F
L D' R' U' B' F R'
L D' R2 F' U' F2 B'
L D' R2 F' U' B' F2
L D' U' F B' D' R2
L D' U' B' D' R2 F
L D' U' B' D' F R2
L D' U' B' F D' R2
L D' U2 B U F B2
L D' U2 B U B2 F
L D2 R' U' F B' R'
L D2 R' U' B' R' F
L D2 R' U' B' F R'
L D2 R2 F' U' F2 B'
L D2 R2 F' U' B' F2
L D2 U' F B' D' R2
L D2 U' B' D' R2 F
L D2 U' B' D' F R2
L D2 U' B' F D' R2
L D2 U2 B U F B2
L D2 U2 B U B2 F
D2 U2 B R' U F' B
D2 U2 B R' U B F'
U2 D2 B R' U F' B
U2 D2 B R' U B F'
R' F L U' F B' R'
R' F L U' B' R' F
R' F L U' B' F R'
R2 F L F2 U' F' B'
R2 F L F2 U' B' F'
L F R2 F' U' F B'
L F R2 F' U' B' F
B D L2 F L' U F
R' F' L U' F B' R'
R' F' L U' B' R' F
R' F' L U' B' F R'
R2 F' L R U' F B'
R2 F' L R U' B' F
R2 F' L R' U' F B'
R2 F' L R' U' B' F
R2 F' L R2 U' F B'
R2 F' L R2 U' B' F
R2 F' L U' D F B'
R2 F' L U' D B' F
R2 F' L U' D' F B'
R2 F' L U' D' B' F
R2 F' L U' D2 F B'
R2 F' L U' D2 B' F
R2 F' L U' F D B'
R2 F' L U' F D' B'
R2 F' L U' F D2 B'
R2 F' L U' F B' D
R2 F' L U' F B' D'
R2 F' L U' F B' D2
R2 F' L U' B' D F
R2 F' L U' B' D' F
R2 F' L U' B' D2 F
R2 F' L U' B' F D
R2 F' L U' B' F D'
R2 F' L U' B' F D2
R2 F' L D U' F B'
R2 F' L D U' B' F
R2 F' L D' U' F B'
R2 F' L D' U' B' F
R2 F' L D2 U' F B'
R2 F' L D2 U' B' F
R2 F' L' U F B' U2
R2 F' L' U B' F U2
R2 F' R L U' F B'
R2 F' R L U' B' F
R2 F' R' L U' F B'
R2 F' R' L U' B' F
R2 F' R2 L U' F B'
R2 F' R2 L U' B' F
L F' R' U' F2 B' R'
L F' R' U' B' R' F2
L F' R' U' B' F2 R'
L F' R2 F' U' F' B'
L F' R2 F' U' B' F'
L F' U' F2 B' D' R2
L F' U' B' F2 D' R2
L F' U2 B U F2 B2
L F' U2 B U B2 F2
R' F2 L U' F B' R'
R' F2 L U' B' R' F
R' F2 L U' B' F R'
L F2 U' F' B' D' R2
L F2 U' B' D' F' R2
L F2 U' B' F' D' R2
L F2 U2 B U F' B2
L F2 U2 B U B2 F'
U2 B L R' U F' B'
U2 B L R' U B' F'
D B L2 F L' U F
U2 B R' L U F' B'
U2 B R' L U B' F'
D' B U2 R' B' U' F'
U2 B U2 L U' F B'
U2 B U2 L U' B' F
U B U2 L U' B' L'
L B U2 B' U' F B'
L B U2 B' U' B' F
U2 B D2 R' U F' B
U2 B D2 R' U B F'
L B' R D' R2 F L'
L B' R D' F L' R2
L B' R D' F R2 L'
L B' R2 F D' L2 R2
L B' R2 F D' R2 L2
L B' D' R2 F D' L2
