B2 L F R F2 U'
B2 L F' U2 L' U
F' L2 B2 L R' U'
F' L2 B2 R' L U'
B2 F L R F2 U'
B2 F R L F2 U'
B2 F R F2 L U'
B2 F' L U' D' B2
B2 F' L U2 L2 U
B2 F' L D' U' B2
B2 F' L D2 R2 U'
F' B2 L U' D' B2
F' B2 L U2 L2 U
F' B2 L D' U' B2
F' B2 L D2 R2 U'
F B2 L R F2 U'
F B2 R L F2 U'
F B2 R F2 L U'
F B2 L R' F2 R2 U'
F B2 L R2 F2 R' U'
F B2 L D R U' R
F B2 L F2 U2 L' U
F B2 L' R F2 L2 U'
F' B2 R L U' D' B2
F' B2 R L U2 L2 U
F' B2 R L D' U' B2
F' B2 R L D2 R2 U'
F' B2 R' L U' D' B2
F' B2 R' L U2 L2 U
F' B2 R' L D' U' B2
F' B2 R' L D2 R2 U'
F B2 R L U' D R2
F B2 R L D U' R2
F B2 R L F2 U' D
F B2 R L F2 U' D'
F B2 R L F2 U' D2
F B2 R L F2 D U'
F B2 R L F2 D' U'
F B2 R L F2 D2 U'
F B2 R L' F2 L2 U'
F' B2 R2 L U' D' B2
F' B2 R2 L U2 L2 U
F' B2 R2 L D' U' B2
F' B2 R2 L D2 R2 U'
F B2 R D L U' R2
F B2 R F' L F' U'
F B2 R F2 L U' D
F B2 R F2 L U' D'
F B2 R F2 L U' D2
F B2 R F2 L D U'
F B2 R F2 L D' U'
F B2 R F2 L D2 U'
F B2 R F2 D L U'
F B2 R F2 D' L U'
F B2 R F2 D2 L U'
F B2 R' L F2 R2 U'
F B2 R' F2 L R2 U'
F B2 R' F2 R2 L U'
F B2 R2 L F2 R' U'
U2 B2 D L F' U' B'
F B2 R2 F2 L R' U'
F B2 R2 F2 R' L U'
U2 B2 D F' L U' B'
F' B2 U2 L' U D F2
F' B2 U2 L' U2 L2 U'
F' B2 U2 L' D U F2
F' B2 U2 L' D2 R2 U
F' B2 D L U' D' B2
F' B2 D L U2 L2 U
F' B2 D L D' U' B2
F' B2 D L D2 R2 U'
U2 B2 D2 L F' R U'
L' B2 F L R F2 U'
L' B2 F R L F2 U'
L' B2 F R F2 L U'
U' B2 F' L R U' B
U2 B2 D2 F' L R U'
U2 B2 D2 F' R L U'
U' B2 F' R L U' B
F' B2 D' L U' D' B2
F' B2 D' L U2 L2 U
F' B2 D' L D' U' B2
F' B2 D' L D2 R2 U'
L2 B2 F L R F2 U'
L' B2 F' L U' D' B2
L' B2 F' L U2 L2 U
L' B2 F' L D' U' B2
L' B2 F' L D2 R2 U'
L2 B2 F R L F2 U'
L2 B2 F R F2 L U'
B2 F2 D' F L U' B'
F B2 D L R U' R
L2 B2 F' L U' D' B2
L2 B2 F' L U2 L2 U
L2 B2 F' L D' U' B2
L2 B2 F' L D2 R2 U'
F2 B2 D' F L U' B'
F' B2 D2 L U' D' B2
F' B2 D2 L U2 L2 U
F' B2 D2 L D' U' B2
F' B2 D2 L D2 R2 U'
F B2 D R L U' R
L B2 F L R F2 U'
U2 B2 F' D L U' B'
L B2 F R L F2 U'
L B2 F R F2 L U'
L B2 F' L U' D' B2
L B2 F' L U2 L2 U
L B2 F' L D' U' B2
L B2 F' L D2 R2 U'
U B2 F' L U F U2
