F L D L2 F2 B'
F L D L2 B' F2
D' L D2 L2 F B'
D' L D2 L2 B' F
D' L' D2 F B' L2
D' L' D2 B' F L2
D L' D2 B' L' F
D' L' F D2 B' L2
D' L' F B' D2 L2
D' L' B' D2 F L2
D' L' B' F D2 L2
D L' B' D2 L' F
D' L' D2 F B' L2 D
D' L' D2 F B' L2 D'
D' L' D2 F B' L2 D2
D' L' D2 F B2 L2 B
D' L' D2 F' B' L2 F2
D' L' D2 F2 B' L2 F'
D' L' D2 B F L2 B2
D' L' D2 B' F L2 D
D' L' D2 B' F L2 D'
D' L' D2 B' F L2 D2
D' L' D2 B' F' L2 F2
D' L' D2 B' F2 L2 F'
D' L' D2 B2 F L2 B
D L' D2 B L' F B2
D L' D2 B L' B2 F
D L' D2 B' L' D F
D L' D2 B' L' D' F
D L' D2 B' L' D2 F
D L' D2 B' L' F D
D L' D2 B' L' F D'
D L' D2 B' L' F D2
D' L' F L2 D2 L2 B'
D L' D2 B2 L' F B
D L' D2 B2 L' B F
D' L' F U2 R2 U2 B'
D' L' F D' B' D' L2
D' L' F D2 B L2 B2
D' L' F D2 B' L2 D
D' L' F D2 B' L2 D'
D' L' F D2 B' L2 D2
D' L' F D2 B2 L2 B
D' L' F B' L D2 L2
D' L' F B' L' D2 L2
D' L' F B' L2 D2 L2
D' L' F B' U2 R2 U2
D' L' F B' D2 L2 D
D' L' F B' D2 L2 D'
D' L' F B' D2 L2 D2
D' L' F B2 D2 L2 B
D' L' F B2 D2 B L2
D' L' F' D2 B' L2 F
D' L' F2 D2 F' B' L2
D' L' F2 D2 B' L2 F'
D' L' F2 D2 B' F' L2
D' L' F2 B' D2 L2 F'
D' L' F2 B' D2 F' L2
D' L' B D2 F L2 B'
D' L' B' L2 D2 L2 F
D L' B' L' R F' R'
D L' B' R L' F' R'
D' L' B' U2 R2 U2 F
D' L' B' D F D L2
D' L' B' D2 F L2 D
D' L' B' D2 F L2 D'
D' L' B' D2 F L2 D2
D' L' B' D2 F' L2 F2
D' L' B' D2 F2 L2 F'
D' L' B' F L D2 L2
D' L' B' F L' D2 L2
D' L' B' F L2 D2 L2
D' L' B' F U2 R2 U2
D' L' B' F D2 L2 D
D' L' B' F D2 L2 D'
D' L' B' F D2 L2 D2
D' L' B' F2 D2 L2 F'
D' L' B' F2 D2 F' L2
D L' B' D2 L' D F
D L' B' D2 L' D' F
D L' B' D2 L' D2 F
D L' B' D2 L' F D
D L' B' D2 L' F D'
D L' B' D2 L' F D2
F L' B2 R U' R' B
D' L' B2 D2 F L2 B
D' L' B2 D2 F B L2
D' L' B2 D2 B F L2
F L' B2 R2 U' R2 B
D' L' B2 F D2 L2 B
D' L' B2 F D2 B L2
D L' B2 D2 L' F B
D L' B2 D2 L' B F
D L' B2 D2 B L' F
D L2 R D2 F' R' B
D L2 R F' D2 R' B
F L2 U L B2 U' B
D R L2 D2 F' R' B
D R L2 F' D2 R' B
B2 R F L' U' R' B'
D R F' L' R' B' L'
D R F' L2 D2 R' B
D R F' R' L' B' L'
D' R F2 L' R' F B'
D' R F2 L' R' B' F
D' R F2 L' F R' B'
D' R F2 R' L' F B'
D' R F2 R' L' B' F
F R' L' B2 U' B R
F' R' D' R F2 L' B'
D R' B U2 L2 R B
D R' B U2 R L2 B
D R' B U2 R B L2
R' U2 D L2 R F' B
R' U2 D L2 R B F'
R' U2 D R L2 F' B
R' U2 D R L2 B F'
R' U2 D R F' L2 B
R' U2 D R F' B L2
R' U2 D R B L2 F'
R' U2 D R B F' L2
F R' B2 L' U' R B'
F R' B2 L' U' B' R
D' R2 L F B' U2 R2
D' R2 L B' F U2 R2
D' R2 L' U2 R2 F B'
D' R2 L' U2 R2 B' F
D' R2 L' U2 F R2 B'
D' R2 L' U2 F B' R2
D' R2 L' U2 B' R2 F
D' R2 L' U2 B' F R2
L U2 F U' L' B2 U'
L U2 F U' B2 L' U'
F R2 L' B2 U' B R2
R' D L' R B' L' F'
R' D L' B' L' R F'
R' D L' B' R L' F'
B2 R2 F L' U' R2 B'
B2 R2 F L' U' B' R2
L D L' D2 L' F B'
L D L' D2 L' B' F
R' D R L' B' L' F'
L D L2 R F' R' B'
R' D R F' L' B' L'
L' D R F' R' B' L2
L D L2 B' R F' R'
L D R L2 F' R' B'
R' D U2 L2 R F' B
R' D U2 L2 R B F'
R' D U2 R L2 F' B
R' D U2 R L2 B F'
R' D U2 R F' L2 B
R' D U2 R F' B L2
R' D U2 R B L2 F'
R' D U2 R B F' L2
F R2 B2 L' U' R2 B'
F R2 B2 L' U' B' R2
F U L' B' R' B' U'
U2 D R U2 L2 F' B
U2 D R U2 L2 B F'
U2 D R U2 F' L2 B
U2 D R U2 F' B L2
U2 D R U2 B L2 F'
U2 D R U2 B F' L2
U2 D R' F' B U2 L2
L' D B' L' D2 L' F
L' D B' L2 R F' R'
L' D B' R L2 F' R'
U2 D R' B F' U2 L2
L' D B' R F' L2 R'
L' D B' R F' R' L2
F U D L' U' L' B'
B' U D2 B' L R' U'
B' U D2 B' R' L U'
R' D' R F2 L' F B'
R' D' R F2 L' B' F
F U B' R' B' L' U'
L' D' B' L D2 L2 F
L' D' B' L' D2 F L2
L' D' B' L' F D2 L2
B U' R2 F' L' R U
B U' R2 F' R L' U
B2 U' F' L' R U L
B2 U' F' R L' U L
D U2 R U2 L2 F' B
D U2 R U2 L2 B F'
D U2 R U2 F' L2 B
D U2 R U2 F' B L2
D U2 R U2 B L2 F'
D U2 R U2 B F' L2
D U2 R' F' B U2 L2
D U2 R' B F' U2 L2
D' F L D2 L2 F B'
D' F L D2 L2 B' F
L2 F L D F2 B' L2
L2 F L D B' L2 F2
L2 F L D B' F2 L2
D' F L' D2 F B' L2
D' F L' D2 B' F L2
D' F L' F D2 B' L2
D' F L' F B' D2 L2
D' F L' B' D2 F L2
D' F L' B' F D2 L2
D F L' D2 B' L' F
R2 F L' B2 U' B R2
D F L' B' D2 L' F
L' F U B2 L' U' B
U' F U2 L' R B2 U'
U' F U2 L' B2 R U'
L F U L' B2 R' U'
U' F U2 R L' B2 U'
U' F U2 R B2 L' U'
U' F U2 B2 L' R U'
U' F U2 B2 R L' U'
F D L2 U L U' B'
U' F D2 F2 L' R U
U' F D2 F2 R L' U
L' F B' U B' L' U'
R2 F B2 L' U' R2 B'
R2 F B2 L' U' B' R2
D' F' L D2 L2 F B'
D' F' L D2 L2 B' F
U' F' L' R U D L2
U' F' L' R U2 B2 U'
U' F' L' R D U L2
U' F' L' R D2 F2 U
F D U L' U' L' B'
U' F' L' D R U L2
U' F' L' D2 R F2 U
D' F' L' D2 F B' L2
D' F' L' D2 B' F L2
D' F' L' F D2 B' L2
D' F' L' F B' D2 L2
D' F' L' B' D2 F L2
D' F' L' B' F D2 L2
U' F' R L' U D L2
U' F' R L' U2 B2 U'
U' F' R L' D U L2
U' F' R L' D2 F2 U
D F' L' D2 B' L' F
U' F' R D L' U L'
D F' L' B' D2 L' F
U' F' R D2 L' F2 U
U' F' D L' R U L'
B' D' L' D F B' L'
B' D' L' D B' F L'
U' F' D R L' U L'
B' D' L' D' F B' L
B' D' L' D' B' F L
B' D' L' F D' B' L
B' D' L' B' D F L'
B D' L' F B' D L2
U' F' D2 L' R F2 U
B D' L' B' D F L2
B D' L' B' F D L2
U' F' D2 R L' F2 U
D' F2 L D2 L2 F B'
D' F2 L D2 L2 B' F
D' F2 L' D2 F B' L2
D' F2 L' D2 B' F L2
D' F2 L' F D2 B' L2
D' F2 L' F B' D2 L2
D' F2 L' B' D2 F L2
D' F2 L' B' F D2 L2
D F2 L' D2 B' L' F
D F2 L' B' D2 L' F
B' D2 U B' L R' U'
B' D2 U B' R' L U'
D' B L D2 L2 F B'
D' B L D2 L2 B' F
D' B L' D2 F B' L2
D' B L' D2 B' F L2
D' B L' F D2 B' L2
D' B L' F B' D2 L2
D' B L' B' D2 F L2
D' B L' B' F D2 L2
D B L' D2 B' L' F
D B L' B' D2 L' F
B2 F L' R U' R' B'
B2 F L' R' U' R B'
B2 F L' R' U' B' R
B2 F L' R2 U' R2 B'
B2 F L' R2 U' B' R2
B2 F R L' U' R' B'
B2 F R' L' U' R B'
B2 F R' L' U' B' R
B2 F R2 L' U' R2 B'
B2 F R2 L' U' B' R2
B' F U B' L' R' U'
B' F U B' R' L' U'
D' B' L D2 L2 F B'
D' B' L D2 L2 B' F
D2 B' L' D' B' L2 F
D' B' L' D2 F B' L2
D' B' L' D2 B' F L2
D' B' L' F D2 B' L2
D' B' L' F B' D2 L2
D' B' L' B' D2 F L2
D' B' L' B' F D2 L2
D B' L' D2 B' L' F
D B' L' B' D2 L' F
L' B' U D2 B' L U'
U B' R' D2 B' L U'
L' B' D' L' D F L'
L' B' D2 U B' L U'
L' B' F U B' L' U'
U B' D2 R' B' L U'
F B' U B' L' R' U'
F B' U B' R' L' U'
D' B2 L D2 L2 F B'
D' B2 L D2 L2 B' F
D' B2 L' D2 F B' L2
D' B2 L' D2 B' F L2
D' B2 L' F D2 B' L2
D' B2 L' F B' D2 L2
D' B2 L' B' D2 F L2
D' B2 L' B' F D2 L2
D B2 L' D2 B' L' F
D B2 L' B' D2 L' F
F B2 L' R U' R' B'
F B2 L' R' U' R B'
F B2 L' R' U' B' R
F B2 L' R2 U' R2 B'
F B2 L' R2 U' B' R2
F B2 R L' U' R' B'
F B2 R' L' U' R B'
F B2 R' L' U' B' R
F B2 R2 L' U' R2 B'
F B2 R2 L' U' B' R2
R2 B2 F L' U' R2 B'
R2 B2 F L' U' B' R2
