F' L U L2 R2 U
F' L U R2 L2 U
F' L U2 D' F2 B2
F' L U2 D' B2 F2
F' L D F2 B2 U2
F' L D B2 F2 U2
F' L D' U2 F2 B2
F' L D' U2 B2 F2
L U L' R2 U B'
L U R2 L' U B'
L F' U L' R2 U
L F' U R2 L' U
F2 D B2 U2 R' B
F2 D' L U2 F2 B'
F2 D' L U2 B' F2
U2 B2 D' R' F2 B
U2 B2 D' R' B F2
U2 B2 D' F2 R' B
L U R2 D' L' U B'
L U R2 D2 L' U B'
L U D' L' U F2 B'
L U D' L' U B' F2
R2 U' L R' F' R' U2
R2 U' R' L F' R' U2
R2 U' R' F' L R' U2
R2 U' R' F' R' L U2
R2 U' R2 U2 B2 R' B
R2 U' R2 D2 L U2 B'
L U' D' R U' F2 B
L U' D' R U' B F2
L U' D2 L2 R U' B
L U' D2 R L2 U' B
F' R2 L' U D2 L2 R2
F' R2 L' U D2 R2 L2
F' R2 L' U' L2 R2 U2
F' R2 L' U' R2 L2 U2
F' R2 L' D' F2 B2 U
F' R2 L' D' B2 F2 U
F' R2 L' D2 U L2 R2
F' R2 L' D2 U R2 L2
U R2 L' U D2 R2 B'
U R2 L' U D2 B' R2
U R2 L' U B' D2 R2
U R2 L' U' L2 F U2
U R2 L' D' B2 U B
U R2 L' D2 U R2 B'
U R2 L' D2 U B' R2
U R2 L2 U' L' F U2
B2 R2 U' R2 U2 R' B
U R2 U B2 D' R' B
L U2 B U' L R2 U
L U2 B U' R2 L U
U R2 B2 L' U R' B'
F' U L' R2 U D2 R2
F' U L' R2 U' L2 U2
F' U L' R2 D' B2 U
F' U L' R2 D2 U R2
B2 U L' R2 U R B'
B2 U L' R2 U B' R
F' U L' D' B2 U F2
L D F B2 U' R U'
L D F' B2 U L' U
F' U R2 L' U D2 R2
F' U R2 L' U' L2 U2
F' U R2 L' D' B2 U
F' U R2 L' D2 U R2
B2 U R2 L' U R B'
B2 U R2 L' U B' R
F' U R2 B2 L' U R'
F U R2 B2 L U R'
L D B2 U L' U B'
L D B2 U' R U' B
L D B2 F U' R U'
L D B2 F' U L' U
F' U B2 L' R2 U R
F' U B2 R2 L' U R
L D' U L' U F2 B'
L D' U L' U B' F2
L D' U' R U' F2 B
L D' U' R U' B F2
L D' F U' R U' F
L D' F' U L' U F'
U2 D' F2 B2 D' R' B
U2 D' B2 F2 D' R' B
L D2 U' L2 R U' B
L D2 U' R L2 U' B
L D2 F U' L2 R U'
L D2 F U' R L2 U'
D' U2 F2 B2 D' R' B
D' U2 B2 F2 D' R' B
D2 F L U' L R U'
D2 F L U' R L U'
D F L B2 U' R U'
L F U R2 U2 R' U'
F' D L B2 U L2 U
F' D L B2 U2 D' B2
F' D L B2 D F2 U2
F' D L B2 D' U2 B2
L F U' R U2 R U
L F U' D' R U' F2
L F U' D2 L2 R U'
L F U' D2 R L2 U'
F D L B2 U' R U'
L F D B2 U' R U'
L F D' U' R U' F2
L F D2 U' L2 R U'
L F D2 U' R L2 U'
D' F' L U L2 U F'
D' F' L U2 D' F' B2
D' F' L U2 D' B2 F'
D' F' L U2 F' D' B2
D' F' L D F2 U2 F
D' F' L D' U2 F' B2
D' F' L D' U2 B2 F'
U2 F B2 D' R' F2 B
U2 F B2 D' R' B F2
U2 F B2 D' F2 R' B
D F B2 U' R U' R2
D F B2 U2 R' D B2
R2 F' L' U D2 L2 R2
R2 F' L' U D2 R2 L2
D F' L B2 U L2 U
D F' L B2 U2 D' B2
D F' L B2 D F2 U2
D F' L B2 D' U2 B2
R2 F' L' U' L2 R2 U2
L' F' L2 U L R2 U
R2 F' L' U' R2 L2 U2
L' F' L2 U R2 L U
R2 F' L' D' F2 B2 U
R2 F' L' D' B2 F2 U
R2 F' L' D2 U L2 R2
R2 F' L' D2 U R2 L2
F2 D F B2 U2 R' B
F2 D F' B2 U2 R' B
F2 D F2 B2 U2 R' B
F2 D B2 L U2 R' B
F2 D B2 L' U2 R' B
F' D B2 U L' U R'
F2 D B2 L2 U2 R' B
F2 D B2 U2 R' D B
F2 D B2 U2 R' D' B
F2 D B2 U2 R' D2 B
F2 D B2 U2 R' B D
F2 D B2 U2 R' B D'
F2 D B2 U2 R' B D2
F2 D B2 F U2 R' B
F' D' L U L2 U F2
F2 D B2 F' U2 R' B
F2 D B2 F2 U2 R' B
L F' U L' R2 U D
L F' U L' R2 U D'
L F' U L' R2 U D2
L F' U L' R2 D U
L F' U L' R2 D' U
L F' U L' R2 D2 U
L F' U L' U D' F2
L F' U L' D' U F2
F' D' L U2 F2 D' B2
L F' U R2 L' U D
L F' U R2 L' U D'
L F' U R2 L' U D2
L F' U R2 L' D U
L F' U R2 L' D' U
L F' U R2 L' D2 U
L F' U R2 D L' U
L F' U R2 D' L' U
L F' U R2 D2 L' U
F2 D' L U2 F2 D B'
F2 D' L U2 F2 D' B'
F2 D' L U2 F2 D2 B'
F2 D' L U2 F2 B' D
F2 D' L U2 F2 B' D'
F2 D' L U2 F2 B' D2
L F' U D' L' U F2
F2 D' L U2 B' F2 D
F2 D' L U2 B' F2 D'
F2 D' L U2 B' F2 D2
F2 D' L D2 B2 U2 B
F2 D' L F U2 F B'
F2 D' L F U2 B' F
F2 D' L F' U2 F' B'
F2 D' L F' U2 B' F'
F D B2 U' R U' R2
F D B2 U2 R' D B2
F2 D' L B U2 F2 B2
F2 D' L B U2 B2 F2
F2 D' L B2 U2 F2 B
F2 D' L B2 U2 B F2
F D' L U' R U' F2
F2 D' L' F L2 B' U2
F2 D' L2 U2 F2 R B
L F' D B2 U L' U
L F' D' U L' U F2
L F' B U L' R2 U
L F' B U R2 L' U
U2 F' B2 D' R' F2 B
U2 F' B2 D' R' B F2
U2 F' B2 D' F2 R' B
L F' B' U L' R2 U
L F' B' U R2 L' U
D F' B2 U L' U R'
L F' B2 U L' R2 U
L F' B2 U R2 L' U
F2 D' F' L U2 F' B'
F2 D' F' L U2 B' F'
F D2 L U' L R U'
F D2 L U' R L U'
D2 F2 D' L B2 U2 B
U2 F2 B2 D' R' F2 B
U2 F2 B2 D' R' B F2
U2 F2 B2 D' F2 R' B
D F2 B2 U2 D R' B
D F2 B2 D U2 R' B
L B U L' R2 U B'
L B U R2 L' U B'
L B F' U L' R2 U
L B F' U R2 L' U
L B' U L' R2 U B'
L B' U R2 L' U B'
B2 F' U L' R2 U R
B2 F' U R2 L' U R
L B' F' U L' R2 U
L B' F' U R2 L' U
U B2 L' R2 U R B'
U B2 L' R2 U B' R
U B2 R2 L' U R B'
U B2 R2 L' U B' R
D B2 U L' U R' B'
L B2 U L' R2 U B'
L B2 U R2 L' U B'
D B2 U' R U' B R2
F' B2 U L' R2 U R
F' B2 U R2 L' U R
U2 B2 D' R' F2 D B
U2 B2 D' R' F2 D' B
U2 B2 D' R' F2 D2 B
U2 B2 D' R' F2 B D
U2 B2 D' R' F2 B D'
U2 B2 D' R' F2 B D2
U2 B2 D' R' B F2 D
U2 B2 D' R' B F2 D'
U2 B2 D' R' B F2 D2
U2 B2 D' F R' F B
U2 B2 D' F R' B F
U2 B2 D' F2 R' D B
U2 B2 D' F2 R' D' B
U2 B2 D' F2 R' D2 B
U2 B2 D' F2 R' B D
U2 B2 D' F2 R' B D'
U2 B2 D' F2 R' B D2
U2 B2 F D' R' F2 B
U2 B2 F D' R' B F2
U2 B2 F D' F2 R' B
D B2 F U' R U' R2
D B2 F U2 R' D B2
U2 B2 F' D' R' F2 B
U2 B2 F' D' R' B F2
U2 B2 F' D' F2 R' B
D B2 F' U L' U R'
U2 B2 F2 D' R' F2 B
U2 B2 F2 D' R' B F2
U2 B2 F2 D' F2 R' B
L B2 F' U L' R2 U
L B2 F' U R2 L' U
D B2 F2 U2 D R' B
D B2 F2 D U2 R' B
