U2 L U L2 R U2
U2 L U R L2 U2
U2 L D F2 U' L'
U' L' R U' L2 U'
U' L' R U2 D F2
U' L' R D U2 F2
U' L' R D' B2 U2
U' L' U2 D F2 L'
U' L' D R U2 F2
U' L' D U2 F2 L'
U' L' D' R B2 U2
U' L' D' B2 R U2
U' R L' U' L2 U'
U' R L' U2 D F2
U' R L' D U2 F2
U' R L' D' B2 U2
B2 R' U' L' R2 U2
B2 R' U' R2 L' U2
B2 R' D' F2 U R
F2 U L' R D F2
F2 U L' D R F2
F2 U R L' D F2
L D F2 R U' L'
B' U' L' R B' U2
B' U' L' B' R U2
B' U' R L' B' U2
F2 U2 L U' L2 R
F2 U2 L U' R L2
U2 F2 L U' L2 R
U2 F2 L U' R L2
U F2 L' R D F2
U F2 L' D R F2
U F2 R L' D F2
B2 F2 R' U L' R2
B2 F2 R' U R2 L'
F2 B2 R' U L' R2
F2 B2 R' U R2 L'
U' R L' U' L2 D U'
U' R L' U' L2 D' U'
U' R L' U' L2 D2 U'
U' R L' U2 D F2 D
U' R L' U2 D F2 D'
U' R L' U2 D F2 D2
B2 R L' U L R2 U
U' R L' U2 F D F2
U' R L' U2 F' D F2
U' R L' U2 F2 D F2
B2 R L' U R2 L U
U' R L' D U2 F2 D
U' R L' D U2 F2 D'
U' R L' D U2 F2 D2
U' R L' D B U2 F2
U' R L' D B' U2 F2
U' R L' D B2 U2 F2
U2 R L' U' L2 R' U'
U2 R L' U' R' L2 U'
U' R L' D' B2 U2 D
U' R L' D' B2 U2 D'
U' R L' D' B2 U2 D2
U' R L' D' B2 D U2
U' R L' D' B2 D' U2
U' R L' D' B2 D2 U2
U' R L' D2 U R2 U
U' R L' B U' L2 U'
U' R L' B U2 D F2
U' R L' B D U2 F2
U' R L' B D' B2 U2
U' R L' B' U' L2 U'
U' R L' B' U2 D F2
U' R L' B' D U2 F2
U' R L' B' D' B2 U2
U' R L' B2 U' L2 U'
U' R L' B2 U2 D F2
U' R L' B2 D U2 F2
U' R L' B2 D' B2 U2
U R L' D' B2 U2 B2
U' R U' L U L2 U2
U' R U' L U' D2 R2
U' R U' L D F2 U'
U' R U' L D2 U' R2
U' R U' F2 L U' R
U' R D L' U' L2 U'
U' R D L' U2 D F2
U' R D L' D U2 F2
U' R D L' D' B2 U2
U' R D' L' U' L2 U'
U' R D' L' U2 D F2
U' R D' L' D U2 F2
U' R D' L' D' B2 U2
U' R D2 L' U' L2 U'
U' R D2 L' U2 D F2
U' R D2 L' D U2 F2
U' R D2 L' D' B2 U2
R' U' L' R2 U' L2 U'
R' U' L' R2 U2 D F2
R' U' L' R2 D U2 F2
R' U' L' R2 D' B2 U2
R2 U' L' R' U' L2 U'
R2 U' L' R' U2 D F2
R2 U' L' R' D U2 F2
R2 U' L' R' D' B2 U2
R2 U' L' D R' U2 F2
R2 U' L' D' R' B2 U2
R2 U' L' D' B2 U2 L
R U' L' U' L2 U' L2
R2 U' R' L' U' L2 U'
R2 U' R' L' U2 D F2
R2 U' R' L' D U2 F2
R2 U' R' L' D' B2 U2
R' U' R2 L' U' L2 U'
R' U' R2 L' U2 D F2
R' U' R2 L' D U2 F2
R' U' R2 L' D' B2 U2
U' R B D L' U2 F
U' R B2 L' U R' U
F2 R B2 R' U L' R
F2 R B2 R' U R L'
B2 R' U L D2 L2 R2
B2 R' U L D2 R2 L2
F2 R' U L' R2 D F2
F2 R' U R2 L' D F2
B2 R' U F2 R F2 L'
B' R' U' L' R2 B' U2
B' R' U' L' B' R2 U2
B2 R' U' L' R2 U2 D
B2 R' U' L' R2 U2 D'
B2 R' U' L' R2 U2 D2
B2 R' U' L' R2 D U2
B2 R' U' L' R2 D' U2
B2 R' U' L' R2 D2 U2
B2 R' U' L' U2 D2 L2
B2 R' U' L' D2 U2 L2
B' R' U' R2 L' B' U2
B2 R' U' R2 L' U2 D
B2 R' U' R2 L' U2 D'
B2 R' U' R2 L' U2 D2
B2 R' U' R2 L' D U2
B2 R' U' R2 L' D' U2
B2 R' U' R2 L' D2 U2
B2 R' U' R2 D L' U2
B2 R' U' R2 D' L' U2
B2 R' U' R2 D2 L' U2
B2 R' U' D2 L' U2 L'
F2 R' U2 L U' L2 R2
F2 R' U2 L U' R2 L2
F2 R' D B2 R' U L'
R' U2 L U L2 R2 U2
R' U2 L U R2 L2 U2
R' U2 L U' D2 L2 R2
R' U2 L U' D2 R2 L2
R' U2 L D F2 B2 U'
R' U2 L D B2 F2 U'
R' U2 L D2 U' L2 R2
R' U2 L D2 U' R2 L2
B2 R' D' F2 U R D
B2 R' D' F2 U R D'
B2 R' D' F2 U R D2
B2 R' D' F2 U D R
B2 R' D' F2 U D' R
B2 R' D' F2 U D2 R
B2 R' D' F2 D U R
B2 R' D' F2 D' U R
B2 R' D' F2 D2 U R
B2 R' D' F2 B U R
B2 R' D' F2 B' U R
B2 R' D' F2 B2 U R
B2 R' D' B F2 U R
B2 R' D' B' F2 U R
R2 U2 L U L2 R' U2
R2 U2 L U R' L2 U2
B2 R' D' B2 F2 U R
B R' D' F2 U R F'
R U2 L U L2 U2 L
R U2 L U' D2 L' R2
R U2 L U' D2 R2 L'
B2 R' D2 U' L' U2 L'
R U2 L D2 U' L' R2
R U2 L D2 U' R2 L'
B2 R' D2 F2 U L2 R
B2 R' D2 F2 U R L2
L U2 L' U' L' R U2
L U2 L' U' R L' U2
L U2 L' F2 U L' R
L U2 L' F2 U R L'
B2 R' F2 U D2 L2 R
B2 R' F2 U D2 R L2
B2 R' F2 U' R2 U2 R'
B2 R' F2 D2 U L2 R
B2 R' F2 D2 U R L2
B2 R' B U' L' R2 U2
B2 R' B U' R2 L' U2
B2 R' B D' F2 U R
B2 R' B' U' L' R2 U2
B2 R' B' U' R2 L' U2
B2 R' B' D' F2 U R
L' U2 D F2 L' D' B2
F2 R' B2 R' U L' R'
F2 R' B2 R' U R' L'
B2 R' B2 U' L' R2 U2
B2 R' B2 U' R2 L' U2
B2 R' B2 D' F2 U R
U' R2 L' D R' U2 F2
U' R2 L' D' R' B2 U2
U' R2 L' D' B2 U2 L
F2 R2 U L' R' D F2
F2 R2 U L' D R' F2
F2 R2 U L' D F2 R'
F2 R2 U R' L' D F2
B' R2 U' L' R' B' U2
B' R2 U' R' L' B' U2
R U2 F2 L U' L' R
R U2 F2 L U' R L'
F2 R2 U2 L U' L2 R'
F2 R2 U2 L U' R' L2
L' D L U F2 L' R
L' D L U F2 R L'
L' D R U L U F2
L' D U L U F2 L'
U2 D L U L2 R U2
U2 D L U R L2 U2
L' D U2 F2 L' D' B2
U2 D L D F2 U' L'
U' D L' R U' L2 U'
U' D L' R U2 D F2
U' D L' R D U2 F2
U' D L' R D' B2 U2
B' U L' R B U2 B'
U' D L' U2 D F2 L'
F2 U L' R U L2 U'
F2 U L' R D F2 D
F2 U L' R D F2 D'
F2 U L' R D F2 D2
F2 U L' R F D F2
F2 U L' R F' D F2
U' D L' D R U2 F2
F2 U L' R F2 D F2
U' D L' D U2 F2 L'
U' D L' D' R B2 U2
F2 U L' R2 D R' F2
F2 U L' R2 D F2 R'
U' D L' D' B2 R U2
F2 U L' U L2 U' R
F2 U L' D R F2 D
F2 U L' D R F2 D'
F2 U L' D R F2 D2
F2 U L' D R' F2 R2
F2 U L' D R2 F2 R'
F2 U L' D' R D2 F2
F2 U L' F2 D F2 R
U' D R L' U' L2 U'
U' D R L' U2 D F2
U' D R L' D U2 F2
U' D R L' D' B2 U2
B' U R L' B U2 B'
L' D F2 L' D' B2 R'
F2 U R L' U L2 U'
F2 U R L' D F2 D
F2 U R L' D F2 D'
F2 U R L' D F2 D2
F2 U R L' F D F2
F2 U R L' F' D F2
F2 U R L' F2 D F2
F2 U R U L U' L2
F2 U R D L' D F2
F2 U R D' L' D F2
F2 U R D2 L' D F2
L D F2 R U' L' D
L D F2 R U' L' D'
L D F2 R U' L' D2
L D F2 R U' D L'
L D F2 R U' D' L'
L D F2 R U' D2 L'
L D F2 R D U' L'
L D F2 R D' U' L'
L D F2 R D2 U' L'
L D F2 R B U' L'
L D F2 R B' U' L'
L D F2 R B2 U' L'
L D F2 D R U' L'
L D F2 D' R U' L'
L D F2 D2 R U' L'
L D F2 B R U' L'
L D F2 B' R U' L'
L D F2 B2 R U' L'
F2 U R2 L' D R' F2
F2 U R2 L' D F2 R'
L D B F2 R U' L'
F2 U D L' R D F2
F2 U D L' D R F2
F2 U D R L' D F2
F2 U D' L' R D F2
F2 U D' L' D R F2
L D B' F2 R U' L'
F2 U D' R L' D F2
B U D F2 L' R F
B U D F2 R L' F
D' U F2 L' R D F2
D' U F2 L' D R F2
D2 U F2 L' R D F2
D2 U F2 L' D R F2
F2 U D2 L' R D F2
F2 U D2 L' D R F2
D' U F2 R L' D F2
D2 U F2 R L' D F2
F2 U D2 R L' D F2
B U D' F2 L' R F'
B U D' F2 R L' F'
L D B2 F2 R U' L'
U2 D F2 L U' L2 R
U2 D F2 L U' R L2
D U F2 L' R D F2
D U F2 L' D R F2
D U F2 R L' D F2
U D F2 L' R D F2
U D F2 L' D R F2
U D F2 R L' D F2
B' U F' R' F' L' R
B' U F' R' F' R L'
B' U F2 L' R' F' R2
B' U F2 R' L' F' R2
B2 U F2 L' R D' F2
B2 U F2 R L' D' F2
B2 U F2 R D' L' F2
L' D' R B2 U' R' U'
B U F2 L' D' R F'
B U F2 R D L' F
B U F2 D L' R F
B U F2 D R L' F
B U F2 D' L' R F'
B U F2 D' R L' F'
U2 D' L U L2 R U2
U2 D' L U R L2 U2
D' U' L' R U' L2 U'
U' D' L' R U' L2 U'
D' U' L' R U2 D F2
U' D' L' R U2 D F2
D' U' L' R D U2 F2
U' D' L' R D U2 F2
D' U' L' R D' B2 U2
U' D' L' R D' B2 U2
U2 D' L D F2 U' L'
D2 U' L' R U' L2 U'
D2 U' L' R U2 D F2
D2 U' L' R D U2 F2
D2 U' L' R D' B2 U2
U' D' L' U2 D F2 L'
D' U' L' U2 D F2 L'
U' D' L' D R U2 F2
D' U' L' D R U2 F2
U' D' L' D U2 F2 L'
D' U' L' D U2 F2 L'
D2 U' L' U2 D F2 L'
U' D' L' D' R B2 U2
D' U' L' D' R B2 U2
D2 U' L' D R U2 F2
D2 U' L' D U2 F2 L'
U' D' L' D' B2 R U2
D' U' L' D' B2 R U2
D2 U' L' D' R B2 U2
D2 U' L' D' B2 R U2
D U' L' R U' L2 U'
D U' L' R U2 D F2
D U' L' R D U2 F2
D U' L' R D' B2 U2
D U' L' U2 D F2 L'
D U' L' D R U2 F2
D U' L' D U2 F2 L'
D U' L' D' R B2 U2
D U' L' D' B2 R U2
U' D' R L' U' L2 U'
D' U' R L' U' L2 U'
U' D' R L' U2 D F2
D' U' R L' U2 D F2
U' D' R L' D U2 F2
D' U' R L' D U2 F2
U' D' R L' D' B2 U2
D' U' R L' D' B2 U2
D2 U' R L' U' L2 U'
D2 U' R L' U2 D F2
D2 U' R L' D U2 F2
D2 U' R L' D' B2 U2
B' U' L' R D B' U2
B' U' L' R D' B' U2
B' U' L' R D2 B' U2
B' U' L' R B' U2 D
B' U' L' R B' U2 D'
B' U' L' R B' U2 D2
B' U' L' R B' D U2
B' U' L' R B' D' U2
B' U' L' R B' D2 U2
B' U' L' R' B' R2 U2
B2 U' L' R U R2 U
B2 U' L' R U2 D' F2
B2 U' L' R D B2 U2
B2 U' L' R D' U2 F2
B' U' L' D R B' U2
B' U' L' D B' R U2
B' U' L' D' R B' U2
B' U' L' D' B' R U2
B' U' L' D2 R B' U2
B' U' L' D2 B' R U2
D U' R L' U' L2 U'
D U' R L' U2 D F2
D U' R L' D U2 F2
D U' R L' D' B2 U2
B' U' L' B R B2 U2
B' U' L' B' R U2 D
B' U' L' B' R U2 D'
B' U' L' B' R U2 D2
B' U' L' B' R D U2
B' U' L' B' R D' U2
B' U' L' B' R D2 U2
B' U' L' B' D R U2
B' U' L' B' D' R U2
B' U' L' B' D2 R U2
B U' L' D' R U2 F'
B' U' R L' D B' U2
B' U' R L' D' B' U2
B' U' R L' D2 B' U2
B' U' R L' B' U2 D
B' U' R L' B' U2 D'
B' U' R L' B' U2 D2
B' U' R L' B' D U2
B' U' R L' B' D' U2
B' U' R L' B' D2 U2
R' D' F2 U2 L U' R
B2 U' R L' U R2 U
B2 U' R L' U2 D' F2
B2 U' R L' D B2 U2
B2 U' R L' D' U2 F2
B' U' R D L' B' U2
B' U' R D' L' B' U2
B' U' R D2 L' B' U2
B2 U' R U2 D' F2 R
B2 U' R D L' B2 U2
B2 U' R D B2 L' U2
B2 U' R D' L' U2 F2
R' D' F2 B2 R' U R2
B2 U' R D' U2 F2 R
B' U' R B L' B' U2
B' U' R B' L' B' U2
B' U' R B2 L' B' U2
B' U' R' L' B' R2 U2
B U' R D L' U2 F
U2 D' F2 L U' L2 R
U2 D' F2 L U' R L2
B' U' D L' R B' U2
R' D' B2 R' F2 U R
B' U' D L' B' R U2
B' U' D R L' B' U2
L' D' B2 R U' R2 U'
L' D' B2 R U2 D B2
L' D' B2 R D U2 B2
L' D' B2 R D' F2 U2
R' D' B2 F2 R' U R2
B' U' D' L' R B' U2
B' U' D' L' B' R U2
U D' F2 L' R D F2
U D' F2 L' D R F2
B' U' D' R L' B' U2
U D' F2 R L' D F2
B U' D L' R U2 F
B U' D R L' U2 F
B' U' D2 L' R B' U2
B' U' D2 L' B' R U2
B' U' D2 R L' B' U2
B U' D' L' R U2 F'
B U' D' R L' U2 F'
D' U2 L U L2 R U2
D' U2 L U R L2 U2
D2 U2 L U L2 R U2
D2 U2 L U R L2 U2
D' U2 L D F2 U' L'
D2 U2 L D F2 U' L'
U' D2 L' R U' L2 U'
L' D2 R U L R U
U' D2 L' R U2 D F2
U' D2 L' R D U2 F2
L' D2 R U R L U
U' D2 L' R D' B2 U2
U2 D2 L U L2 R U2
U2 D2 L U R L2 U2
U2 D2 L D F2 U' L'
U' D2 L' U2 D F2 L'
U' D2 L' D R U2 F2
U' D2 L' D U2 F2 L'
U' D2 L' D' R B2 U2
U' D2 L' D' B2 R U2
D U2 L U L2 R U2
D U2 L U R L2 U2
D U2 L D F2 U' L'
B' U' B L' R B' U2
B' U' B L' B' R U2
B' U' B R L' B' U2
U' D2 R L' U' L2 U'
U' D2 R L' U2 D F2
U' D2 R L' D U2 F2
U' D2 R L' D' B2 U2
B' U' B' L' R B' U2
B' U' B' L' B' R U2
B' U' B' R L' B' U2
B' U' B2 L' R B' U2
B' U' B2 L' B' R U2
B' U' B2 R L' B' U2
F2 U2 L U' L2 R D
F2 U2 L U' L2 R D'
F2 U2 L U' L2 R D2
F2 U2 L U' L2 D R
F2 U2 L U' L2 D' R
F2 U2 L U' L2 D2 R
F2 U2 L U' R L2 D
F2 U2 L U' R L2 D'
F2 U2 L U' R L2 D2
F2 U2 L D' B2 U' R
F2 U2 L B U' L2 R
F2 U2 L B U' R L2
F2 U2 L B' U' L2 R
F2 U2 L B' U' R L2
F2 U2 L B2 U' L2 R
F2 U2 L B2 U' R L2
D' U2 F2 L U' L2 R
D' U2 F2 L U' R L2
D2 U2 F2 L U' L2 R
D2 U2 F2 L U' R L2
U2 D2 F2 L U' L2 R
U2 D2 F2 L U' R L2
D U2 F2 L U' L2 R
D U2 F2 L U' R L2
U D2 F2 L' R D F2
U D2 F2 L' D R F2
U D2 F2 R L' D F2
L D2 F2 R U' L' R
L D2 F2 R U' R L'
F2 U2 D L U' L2 R
F2 U2 D L U' R L2
F2 U2 D' L U' L2 R
F2 U2 D' L U' R L2
F2 U2 D2 L U' L2 R
F2 U2 D2 L U' R L2
U2 F L F U' L' R
U2 F L F U' R L'
F U2 D' L B' U' R'
U F U L F U' L'
B2 D R' U' L' R2 U2
B2 D R' U' R2 L' U2
B2 D R' D' F2 U R
F2 D U L' R D F2
F2 D U L' D R F2
F2 D U R L' D F2
B' D U' L' R B' U2
B' D U' L' B' R U2
B' D U' R L' B' U2
B D U F2 L' R F
B D U F2 R L' F
F2 D U2 L U' L2 R
F2 D U2 L U' R L2
B D U' L' R U2 F
B D U' R L' U2 F
U2 F' L F' U' L' R
U2 F' L F' U' R L'
B2 D F2 R' U L' R2
B2 D F2 R' U R2 L'
B D F2 U L' R F
B D F2 U R L' F
F2 D B2 R' U L' R2
F2 D B2 R' U R2 L'
B2 D' R' U' L' R2 U2
B2 D' R' U' R2 L' U2
B2 D' R' D' F2 U R
F2 D' U L' R D F2
F2 D' U L' D R F2
F2 D' U R L' D F2
B' D' U' L' R B' U2
B' D' U' L' B' R U2
B' D' U' R L' B' U2
B D' U F2 L' R F'
B D' U F2 R L' F'
U2 F2 L U' L2 R D
U2 F2 L U' L2 R D'
U2 F2 L U' L2 R D2
U2 F2 L U' L2 D R
U2 F2 L U' L2 D' R
U2 F2 L U' L2 D2 R
U2 F2 L U' R L2 D
U2 F2 L U' R L2 D'
U2 F2 L U' R L2 D2
F2 D' U2 L U' L2 R
F2 D' U2 L U' R L2
U2 F2 L D' B2 U' R
B D' U' L' R U2 F'
B D' U' R L' U2 F'
U2 F2 L B U' L2 R
U2 F2 L B U' R L2
U2 F2 L B' U' L2 R
U2 F2 L B' U' R L2
U2 F2 L B2 U' L2 R
U2 F2 L B2 U' R L2
F D' U2 L B' U' R'
U F2 L' R U L2 U'
U F2 L' R D F2 D
U F2 L' R D F2 D'
U F2 L' R D F2 D2
U F2 L' R F D F2
U F2 L' R F' D F2
U F2 L' R F2 D F2
U F2 L' R2 D R' F2
U F2 L' R2 D F2 R'
U F2 L' U L2 U' R
U F2 L' D R F2 D
U F2 L' D R F2 D'
U F2 L' D R F2 D2
U F2 L' D R' F2 R2
U F2 L' D R2 F2 R'
U F2 L' D' R D2 F2
U F2 L' F2 D F2 R
B2 D' F2 R' U L' R2
B2 D' F2 R' U R2 L'
U F2 R L' U L2 U'
U F2 R L' D F2 D
U F2 R L' D F2 D'
U F2 R L' D F2 D2
U F2 R L' F D F2
U F2 R L' F' D F2
U F2 R L' F2 D F2
U F2 R U L U' L2
L F2 R U L2 U2 L
L F2 R U' D2 L' R2
L F2 R U' D2 R2 L'
B D' F2 U L' R F'
B D' F2 U R L' F'
U F2 R D L' D F2
U F2 R D' L' D F2
U F2 R D2 L' D F2
L F2 R D2 U' L' R2
L F2 R D2 U' R2 L'
D2 F2 U L' R D F2
D2 F2 U L' D R F2
D' F2 U L' R D F2
D' F2 U L' D R F2
D2 F2 U R L' D F2
D' F2 U R L' D F2
U F2 R2 L' D R' F2
U F2 R2 L' D F2 R'
F2 D' B2 R' U L' R2
F2 D' B2 R' U R2 L'
D F2 U L' R D F2
D F2 U L' D R F2
D F2 U R L' D F2
U2 F2 U' L' R D F2
U2 F2 U' L' D R F2
D2 F2 U2 L U' L2 R
D2 F2 U2 L U' R L2
U2 F2 U' R L' D F2
D' F2 U2 L U' L2 R
D' F2 U2 L U' R L2
U F2 U L U' L2 R
U F2 U L U' R L2
D F2 U2 L U' L2 R
D F2 U2 L U' R L2
U2 F2 D L U' L2 R
U2 F2 D L U' R L2
R F2 U2 L U' L' R
R F2 U2 L U' R L'
U2 F2 D' L U' L2 R
U2 F2 D' L U' R L2
U F2 D L' R D F2
U F2 D L' D R F2
U F2 D R L' D F2
U2 F2 D2 L U' L2 R
U2 F2 D2 L U' R L2
U F2 D' L' R D F2
U F2 D' L' D R F2
B2 D2 R' U' L' R2 U2
B2 D2 R' U' R2 L' U2
U F2 D' R L' D F2
B2 D2 R' D' F2 U R
U F2 D2 L' R D F2
U F2 D2 L' D R F2
U F2 D2 R L' D F2
L F2 D2 R U' L' R
L F2 D2 R U' R L'
D2 F2 B2 R' U L' R2
D2 F2 B2 R' U R2 L'
D' F2 B2 R' U L' R2
D' F2 B2 R' U R2 L'
F2 D2 U L' R D F2
F2 D2 U L' D R F2
F2 D2 U R L' D F2
B' D2 U' L' R B' U2
B' D2 U' L' B' R U2
B' D2 U' R L' B' U2
R2 F2 B2 R' U L R2
R2 F2 B2 R' U R2 L
D F2 B2 R' U L' R2
D F2 B2 R' U R2 L'
U' B L' D' R U2 F'
F2 D2 U2 L U' L2 R
F2 D2 U2 L U' R L2
U' B R D L' U2 F
B2 D2 F2 R' U L' R2
B2 D2 F2 R' U R2 L'
