B' L R2 U' D' L2
B' L R2 U2 F2 U
B' L R2 D' U' L2
B' L R2 D2 B2 U'
B' R2 L U' D' L2
B' R2 L U2 F2 U
B' R2 L D' U' L2
B' R2 L D2 B2 U'
B R2 U2 R F2 U
B' R2 D' L U' L
B' R2 D2 L B2 U'
R D' R U' L2 F'
R D' R U' F' L2
B' D2 L B2 R' U'
R2 B U2 R' F2 U
R2 B U2 F2 R' U
R2 B D2 B2 L U'
R2 B' L U' D' L2
R2 B' L U2 F2 U
R2 B' L D' U' L2
R2 B' L D2 B2 U'
R2 B' D' L U' L
R2 B' D2 L B2 U'
B R2 U2 R F2 D2 U
B R2 U2 R' F2 R2 U
B' R2 D L U R2 U2
B' R2 D L U' D2 L2
B' R2 D L D B2 U'
B' R2 D L D2 U' L2
R2 U2 B F2 R' B' U
B R2 U2 R2 F2 R' U
B R2 U2 D' R U L2
B R2 U2 F2 U2 L' U'
F R2 U2 F B R' U
F R2 U2 B R' F U
F R2 U2 B F R' U
B' R2 D' L U' L D
B' R2 D' L U' L D'
B' R2 D' L U' L D2
B' R2 D' L U' D L
B' R2 D' L U' D' L
B' R2 D' L U' D2 L
B' R2 D' L D U' L
B' R2 D' L D' U' L
B' R2 D' L D2 U' L
B2 R2 D' L U' L F
B2 R2 D' U' L F L
B2 R2 D' B L U' L
B' R2 D2 L U' D L2
B' R2 D2 L D U' L2
B' R2 D2 L B2 U' D
B' R2 D2 L B2 U' D'
B' R2 D2 L B2 U' D2
B' R2 D2 L B2 D U'
B' R2 D2 L B2 D' U'
B' R2 D2 L B2 D2 U'
B' R2 D2 L' B2 L2 U'
B' R2 D2 L2 B2 L' U'
B R2 D' U2 R U L2
R2 D L U R2 B' U2
R2 D L U B' R2 U2
R2 D L U' D2 L2 F
F' R2 D2 F L' B U'
F' R2 D2 F B L' U'
R2 D L D2 U' L2 F
F' R2 D2 B F L' U'
B' R2 D2 B2 U2 R' U
B2 R2 D2 B L B U'
R2 D L' U R2 U2 F
R2 D L' U' D2 F L2
R2 D L' U' F D2 L2
R2 D L' D B2 U' F
R2 D L' D2 U' F L2
B R2 D2 B2 U2 R U
F' R2 F B U2 R' U
F' R2 F B' L B2 U'
R D R U' F2 L' F
B2 R2 B L U' D' L2
B2 R2 B L U2 F2 U
B2 R2 B L D' U' L2
B2 R2 B L D2 B2 U'
F' R2 B F U2 R' U
B2 R2 B D' L U' L
B2 R2 B D2 L B2 U'
B R2 B U2 R F2 U
B2 R2 B' U2 R' F2 U
F' R2 B' F L B2 U'
B2 R2 B' U2 F2 R' U
B2 R2 B' D2 B2 L U'
B R2 B' U2 R F2 U
B' R2 B2 U2 R' F2 U
B' R2 B2 U2 F2 R' U
B' R2 B2 D2 B2 L U'
R2 D U' L D2 L2 F
R2 D U' L' D2 F L2
R2 D U' L' F D2 L2
B R2 B2 U2 R F2 U
U' D L' D2 F L2 B'
U' D L' F B2 D2 L2
U' D L' B2 D2 F L2
U' D L' B2 F D2 L2
D' U R F2 U2 F L2
D' U R' F2 B U2 L2
D' U R' B F2 U2 L2
D' U F2 R U2 L2 F'
D' U F2 R U2 F' L2
D' U F2 R' B U2 L2
R D' L R U' L F'
R D' L R U' F' L
R2 D' L' U' D2 L' F
R2 D' L' D2 U' L' F
R D' L' R U' L' F'
U' D B2 L D2 L2 F
R' D' R' U B U2 L2
U' D B2 L' D2 F L2
U' D B2 L' F D2 L2
R D' R L U' L F'
R D' R L U' F' L
R D' R L' U' L' F'
R' D' R' B2 U' L2 F
R D' R U' L F' L
R D' R U' L2 D F'
R D' R U' L2 D' F'
R D' R U' L2 D2 F'
R D' R U' L2 F' D
R D' R U' L2 F' D'
R D' R U' L2 F' D2
R D' R U' F L2 F2
R D' R U' F' L2 D
R D' R U' F' L2 D'
R D' R U' F' L2 D2
R D' R D' B2 U' F'
R D' R B U' L2 F'
R D' R B U' F' L2
R D' R B' U' L2 F'
R D' R B' U' F' L2
R D' R B2 U' L2 F'
R D' R B2 U' F' L2
U' D' L' D2 L' F B2
U' D' L' D2 L' B2 F
D' U' L' D2 L' F B2
D' U' L' D2 L' B2 F
U' D' L' D2 B2 L' F
D' U' L' D2 B2 L' F
R2 D' U R U2 L2 F'
R2 D' U R U2 F' L2
R2 D' U R' B U2 L2
D U' L' D2 F L2 B'
D U' L' F B2 D2 L2
R2 D' U' L' D2 L' F
R2 D' U' L2 R F' R'
R2 D' U' R L2 F' R'
R2 D' U' R F' L2 R'
R2 D' U' R F' R' L2
D U' L' B2 D2 F L2
D U' L' B2 F D2 L2
B2 U' L D' F L2 B'
R2 D' U2 R U L2 F'
R2 D' U2 R U F' L2
U D' R F2 U2 F L2
U D' R' F2 B U2 L2
U D' R' B F2 U2 L2
R D' B R U' L2 F'
R D' B R U' F' L2
R D' B' R U' L2 F'
R D' B' R U' F' L2
U D' F2 R U2 L2 F'
U D' F2 R U2 F' L2
U D' F2 R' B U2 L2
R D' B2 R U' L2 F'
R D' B2 R U' F' L2
D U' B2 L D2 L2 F
D U' B2 L' D2 F L2
D U' B2 L' F D2 L2
R2 D2 F L' F' B2 U'
R2 D2 F L' B2 F' U'
R2 D2 F B2 L' F' U'
B U2 R F2 L' R2 U
B U2 R F2 R2 L' U
B U2 R' F2 U2 R' U'
R2 D2 B' D2 B' L U'
B U2 D R' U B2 L
R2 D2 B2 D' L' U' F
R2 D2 B2 F L' F' U'
R D2 B2 D R U' F'
R2 F L2 F' B' L U'
R2 F L2 B' L F' U'
R2 F L2 B' F' L U'
B' U2 F2 U2 L R2 U'
B' U2 F2 U2 R2 L U'
B U2 F2 R' U2 R' U'
B U2 F2 D R' U B2
B U2 F2 D2 L2 R' U
B U2 F2 D2 R' L2 U
B' D L R' U' B2 L
B' D L U R2 U2 B2
B' D L U' B2 D2 L2
F2 D L U B2 R2 F'
F2 D L' U R2 F B2
F2 D L' U R2 B2 F
F2 D L' U F R2 B2
F2 D L' U F B2 R2
F2 D L' U B2 R2 F
F2 D L' U B2 F R2
B' D R' L U' B2 L
B2 D R' U' B2 L F
B D U2 R' U B2 L
B' D' L U F2 U2 L
B' D' L U' L D2 B2
B' D' L U' D2 L B2
B' D' L D R2 U' L
B' D' L D2 U' L B2
U2 F' D2 L2 F' R U
U2 F' D2 F' L2 R U
U2 F' D2 F' R L2 U
B' D2 L R B2 R' U'
B' D2 L R' B2 R' U'
B' D2 L R2 B2 R' U'
B' D2 L B2 R' U' D
B' D2 L B2 R' U' D'
B' D2 L B2 R' U' D2
B' D2 L B2 R' D U'
B' D2 L B2 R' D' U'
B' D2 L B2 R' D2 U'
B' D2 L B2 D R' U'
B' D2 L B2 D' R' U'
B' D2 L B2 D2 R' U'
B D2 L B2 L R' U'
B D2 L B2 R' L U'
U2 F2 D L' U F B2
U2 F2 D L' U B2 F
F' D2 L2 F' R B' U
F' D2 L2 F' B' R U
B' D2 R L B2 R' U'
F' D2 L2 B' F' R U
B' D2 R' L B2 R' U'
R F2 D L' U R2 F
R F2 D L' U F R2
B' D2 R2 L B2 R' U'
R2 B L U2 R' F2 U
R2 B L U2 F2 R' U
R2 B L D2 B2 L U'
R2 B L' U2 R' F2 U
R2 B L' U2 F2 R' U
R2 B L' D2 B2 L U'
R2 B L2 U2 R' F2 U
R2 B L2 U2 F2 R' U
R2 B L2 D2 B2 L U'
L' B R2 U2 R F2 U
R B R U' D' L2 F2
R B R U' D' F2 L2
R B R U2 R2 F2 U
R B R U2 F2 R2 U
R B R D' U' L2 F2
R B R D' U' F2 L2
R B R D2 L2 B2 U'
R B R D2 B2 L2 U'
L2 B R2 U2 R F2 U
B' D2 B2 U2 L2 R' U
B' D2 B2 U2 R' L2 U
L B R2 U2 R F2 U
B D2 B2 L U2 L U
B D2 B2 D' L U' B2
B D2 B2 D2 L R2 U'
B D2 B2 D2 R2 L U'
R2 B U2 R F2 R2 U
R2 B U2 R' U D' L2
R2 B U2 R' D' U L2
R2 B U2 R' F2 U D
R2 B U2 R' F2 U D'
R2 B U2 R' F2 U D2
R2 B U2 R' F2 D U
R2 B U2 R' F2 D' U
R2 B U2 R' F2 D2 U
R2 B U2 D' R' U L2
R2 B U2 F R' F U
R2 B U2 F2 R' U D
R2 B U2 F2 R' U D'
R2 B U2 F2 R' U D2
R2 B U2 F2 R' D U
R2 B U2 F2 R' D' U
R2 B U2 F2 R' D2 U
R2 B U2 F2 D R' U
R2 B U2 F2 D' R' U
R2 B U2 F2 D2 R' U
R B U2 F2 L' R' U
R B U2 F2 R' L' U
R2 B D' U2 R' U L2
R2 B D' B2 L U' L
R2 B D2 L B2 L U'
F2 B R' U2 R' F2 U'
F2 B R' U2 F2 R' U'
R2 B D2 L' B2 L U'
R2 B D2 L2 B2 L U'
F2 B R' D2 B2 L U
R2 B D2 B2 L U' D
R2 B D2 B2 L U' D'
R2 B D2 B2 L U' D2
R2 B D2 B2 L D U'
R2 B D2 B2 L D' U'
R2 B D2 B2 L D2 U'
R2 B D2 B2 D L U'
R2 B D2 B2 D' L U'
R2 B D2 B2 D2 L U'
R B D2 B2 L R U'
R B D2 B2 R L U'
L' B' L R2 U' D' L2
L' B' L R2 U2 F2 U
L' B' L R2 D' U' L2
L' B' L R2 D2 B2 U'
L2 B' L R2 U' D' L2
L2 B' L R2 U2 F2 U
L2 B' L R2 D' U' L2
L2 B' L R2 D2 B2 U'
R2 B' L U D R2 U2
R2 B' L U' L D' L2
R2 B' L U' L' D' L2
R2 B' L U' L2 D' L2
R2 B' L U' D' L2 D
R2 B' L U' D' L2 D'
R2 B' L U' D' L2 D2
R2 B' L U2 F2 U D
R2 B' L U2 F2 U D'
R2 B' L U2 F2 U D2
R2 B' L U2 F2 D U
R2 B' L U2 F2 D' U
R2 B' L U2 F2 D2 U
R2 B' L D U R2 U2
R2 B' L D' U' L2 D
R2 B' L D' U' L2 D'
R2 B' L D' U' L2 D2
R2 B' L D' B U' L2
R2 B' L D' B' U' L2
R2 B' L D' B2 U' L2
R2 B' L D2 B2 U' D
R2 B' L D2 B2 U' D'
R2 B' L D2 B2 U' D2
R2 B' L D2 B2 D U'
R2 B' L D2 B2 D' U'
R2 B' L D2 B2 D2 U'
F2 B U2 R2 F2 L' U'
R2 B' L B U' D' L2
R2 B' L B U2 F2 U
R2 B' L B D' U' L2
R2 B' L B D2 B2 U'
R2 B' L B' U' D' L2
R2 B' L B' U2 F2 U
R2 B' L B' D' U' L2
R2 B' L B' D2 B2 U'
L B' L R2 U' D' L2
L B' L R2 U2 F2 U
L B' L R2 D' U' L2
L B' L R2 D2 B2 U'
R2 B' L B2 U' D' L2
R2 B' L B2 U2 F2 U
R2 B' L B2 D' U' L2
R2 B' L B2 D2 B2 U'
R B' L R U' D' L2
R B' L R U2 F2 U
R B' L R D' U' L2
R B' L R D2 B2 U'
F2 B D R' U R' B2
R B' L U2 F2 L' U
R B' L D' R U' L2
R B' L D2 R B2 U'
R B' L D2 B2 R U'
R2 B' L2 U2 F2 R U
R2 B' L2 D' L' U' L'
R2 B' L2 D2 L' B2 U'
R2 B' L2 D2 B2 L' U'
F2 B D2 L2 R' B2 U
F2 B D2 R' L2 B2 U
F2 B D2 R' B2 L2 U
L' B' R2 L U' D' L2
L' B' R2 L U2 F2 U
L' B' R2 L D' U' L2
L' B' R2 L D2 B2 U'
L' B' R2 D' L U' L
L' B' R2 D2 L B2 U'
R B' R L U' D' L2
R B' R L U2 F2 U
R B' R L D' U' L2
R B' R L D2 B2 U'
L2 B' R2 L U' D' L2
L2 B' R2 L U2 F2 U
L2 B' R2 L D' U' L2
L2 B' R2 L D2 B2 U'
R B' R D' L U' L
R B' R D2 L B2 U'
L2 B' R2 D' L U' L
L2 B' R2 D2 L B2 U'
L B' R2 L U' D' L2
L B' R2 L U2 F2 U
L B' R2 L D' U' L2
L B' R2 L D2 B2 U'
L B' R2 D' L U' L
L B' R2 D2 L B2 U'
R2 B' U2 F2 U2 L U'
R2 B' D L U R2 U2
R2 B' D L U' D2 L2
R2 B' D L D B2 U'
R2 B' D L D2 U' L2
B' F' R2 F L B U'
F' B' R2 F L B U'
B2 F' R2 F B L U'
L' B' D2 L B2 R' U'
D2 B' D2 R2 B' L U'
B2 F' R2 B F L U'
R2 B' D' L U' L D
R2 B' D' L U' L D'
R2 B' D' L U' L D2
R2 B' D' L U' D L
R2 B' D' L U' D' L
R2 B' D' L U' D2 L
R2 B' D' L D U' L
R2 B' D' L D' U' L
R2 B' D' L D2 U' L
D2 B' D2 B' L R2 U'
D2 B' D2 B' R2 L U'
L2 B' D2 L B2 R' U'
R2 B' D2 L U' D L2
R2 B' D2 L D U' L2
R2 B' D2 L B2 U' D
R2 B' D2 L B2 U' D'
R2 B' D2 L B2 U' D2
R2 B' D2 L B2 D U'
R2 B' D2 L B2 D' U'
R2 B' D2 L B2 D2 U'
R2 B' D2 L' B2 L2 U'
R2 B' D2 L2 B2 L' U'
R B' D' L R U' L
R B' D' R L U' L
L B' D2 L B2 R' U'
R2 B' D2 B2 U2 R' U
F2 B' U2 L R2 F2 U'
F2 B' U2 L F2 R2 U'
R B' D2 L R B2 U'
R B' D2 L B2 R U'
F2 B' U2 R2 L F2 U'
R B' D2 R L B2 U'
F2 B' U2 R2 F2 L U'
F2 B' U2 F2 L R2 U'
F2 B' U2 F2 R2 L U'
F2 B' D2 B2 L2 R' U
F2 B' D2 B2 R' L2 U
B F2 R' U2 R' F2 U'
B F2 R' U2 F2 R' U'
F' B2 R2 F B L U'
R2 B2 U' L D' F L2
R2 B2 U' L' D' L2 F
B F2 R' D2 B2 L U
F' B2 R2 B F L U'
R2 B2 U' D' L F L
D2 B2 D' L' U' F B2
D2 B2 D' L' U' B2 F
R2 B2 U2 F R F U
B' F2 U2 L R2 F2 U'
B' F2 U2 L F2 R2 U'
B' F2 U2 R2 L F2 U'
B' F2 U2 R2 F2 L U'
B' F2 U2 F2 L R2 U'
B' F2 U2 F2 R2 L U'
R2 B2 D' L U' L F
R2 B2 D' U' L F L
R2 B2 D' B L U' L
B F2 U2 R2 F2 L' U'
R2 B2 D2 B L B U'
B F2 D R' U R' B2
B' F2 D2 B2 L2 R' U
B' F2 D2 B2 R' L2 U
B F2 D2 L2 R' B2 U
B F2 D2 R' L2 B2 U
B F2 D2 R' B2 L2 U
