B L D F R F'
D' L' F B L R
D' L' F B R L
D' L' B F L R
D' L' B F R L
B L2 D' L' F R
D' L2 B L F R
B D L F R F'
D F B L R F'
D F B R L F'
D F B R F' L
B D F L R F'
B D F R L F'
B D F R F' L
B D' L' F L2 R
B D' L' F R L2
D' B L' F L2 R
D' B L' F R L2
D B L F R F'
B F L R D F2
B F L R D F2
F B L R D F2
F B L R D F2
B F L D R F2
F B L D R F2
B F R L D F2
F B R L D F2
D B F L R F'
D B F R L F'
D B F R F' L
D' L' B F D' L R
D' L' B F D' R L
D' L' B F D2 L R
D' L' B F D2 R L
D' L' B F2 L F' R
D L' B F L R F'
D L' B F R L F'
D L' B F R F' L
F L' B' U' B2 L R
F L' B' U' B2 R L
D' L' B2 F R B' L
F L' B2 U' R B' L
F L' B2 U' B' L R
F L' B2 U' B' R L
B L2 R D' L' F R
B L2 R' D' L' F R
B L2 R2 D' L' F R
B L2 D L' F R F'
D' L2 D B L F R
B L2 D F R F' L'
B L2 D' L' R F R
B L2 D' L' R' F R
B L2 D' L' R2 F R
B L2 D' L' D F R
B L2 D' L' D' F R
B L2 D' L' D2 F R
B L2 D' L' F R D
B L2 D' L' F R D'
B L2 D' L' F R D2
B L2 D' L' F D R
B L2 D' L' F D' R
B L2 D' L' F D2 R
B L2 D' R L' F R
B L2 D' R' L' F R
B L2 D' R2 L' F R
D' L2 D' B L F R
D' L2 D2 B L F R
D' L2 F B L R F
D' L2 F B R L F
D L2 F B L R F'
D L2 F B R L F'
D L2 F B R F' L
D' L2 B L R F R
D' L2 B L R' F R
D' L2 B L R2 F R
D' L2 B L D F R
D' L2 B L D' F R
D' L2 B L D2 F R
D' L2 B L F R D
D' L2 B L F R D'
D' L2 B L F R D2
D' L2 B L F D R
D' L2 B L F D' R
D' L2 B L F D2 R
D' L2 B R L F R
D' L2 B R' L F R
D' L2 B R2 L F R
D L2 B L F R F'
F L2 B L D' R F'
D' L2 B D L F R
D' L2 B D' L F R
D' L2 B D2 L F R
D' L2 B F L R F
D' L2 B F R L F
D L2 B F L R F'
F L2 B D' L R F'
D L2 B F R L F'
D L2 B F R F' L
F L2 B D' R L F'
F L2 B D' R F' L
B R L D F R F'
B R L2 D' L' F R
B R D L F R F'
B R D F L R F'
B R D F R L F'
B R D F R F' L
B R D' L' F L2 R
B R D' L' F R L2
B R F L R D F2
B R F L D R F2
B R F R L D F2
B R' L D F R F'
D' R' L' F R B L
B R' L2 D' L' F R
B R' D L F R F'
B R' D F L R F'
B R' D F R L F'
B R' D F R F' L
B R' D' L' F L2 R
B R' D' L' F R L2
F' R' D' F2 R B L
B R' F L R D F2
B R' F L D R F2
B R' F R L D F2
B R2 L D F R F'
B R2 L2 D' L' F R
B R2 D L F R F'
B R2 D F L R F'
B R2 D F R L F'
B R2 D F R F' L
B R2 D' L' F L2 R
B R2 D' L' F R L2
B R2 F L R D F2
B R2 F L D R F2
B R2 F R L D F2
R' D F R F' B L
R' D F R B L F'
R' D F R B F' L
B U L F L' U' L
L' D F B L R F'
L' D F B R L F'
L' D F B R F' L
L2 D F B L R F'
L2 D F B R L F'
L2 D F B R F' L
F U L' U' B L R
F U L' U' B R L
L D F B L R F'
L D F B R L F'
L D F B R F' L
L' D B L F R F'
L2 D B L F R F'
L' D B F L R F'
L' D B F R L F'
L' D B F R F' L
L D B L F R F'
L2 D B F L R F'
L2 D B F R L F'
L2 D B F R F' L
L D B F L R F'
L D B F R L F'
L D B F R F' L
R' D' L' F R B L
L' D' L' F B L R
L' D' L' F B R L
L' D' L' B F L R
L' D' L' B F R L
L2 D' L' F B L R
L2 D' L' F B R L
L2 D' L' B F L R
L2 D' L' B F R L
L' D' L2 B L F R
L D' L' F B L R
L D' L' F B R L
L D' L' B F L R
L D' L' B F R L
L2 D' L2 B L F R
L D' L2 B L F R
F U' L' B' U' R B2
F U' L' B' U' B2 R
L' D' B L' F L2 R
L' D' B L' F R L2
L2 D' B L' F L2 R
L2 D' B L' F R L2
L D' B L' F L2 R
L D' B L' F R L2
B U' F2 U L F R
D' F L' B R F L
D F L B L R F'
D F L B R L F'
D F L B R F' L
D' F L2 B L R F
D' F L2 B R L F
D F L' B L R F'
D F L' B R L F'
D F L' B R F' L
R' F R B L D F2
D F L2 B L R F'
D F L2 B R L F'
D F L2 B R F' L
B D L R F R F2
B D L F R D F'
B D L F R D' F'
B D L F R D2 F'
B D L F R F' D
B D L F R F' D'
B D L F R F' D2
B D L F2 R F' R
D F U2 B R F' L'
B D L' F L2 R F'
B D L' F R L2 F'
B D L' F R F' L2
D2 F D' B L R F'
D2 F D' B R L F'
D2 F D' B R F' L
B D L2 D2 L' F R
B D L2 F R F' L'
D' F D2 B L R F'
D' F D2 B R L F'
D' F D2 B R F' L
B D R L F R F2
D2 F B L R D' F2
D' F B L' R F L2
D' F B R L' F L2
L' F B L R D F2
D2 F B R L D' F2
L' F B L D R F2
D2 F B R D' L F2
D2 F B R D' F2 L
B D R F L R F2
B D R F R L F2
B D R F R F2 L
L' F B R L D F2
B D R F' L D2 R2
D' F B D2 L R F'
L2 F B L R D F2
D' F B D2 R L F'
D' F B D2 R F' L
L2 F B L D R F2
L2 F B R L D F2
D F B L R D F'
D F B L R D' F'
D F B L R D2 F'
D F B L R F' D
D F B L R F' D'
D F B L R F' D2
D F B L' R F' L2
D F B R L D F'
D F B R L D' F'
D F B R L D2 F'
D F B R L F' D
D F B R L F' D'
D F B R L F' D2
D F B R L' F' L2
D F B R D L F'
D F B R D F' L
D F B R D' L F'
D F B R D' F' L
D F B R D2 L F'
D F B R D2 F' L
D F B R F L F2
D F B R F' L D
D F B R F' L D'
D F B R F' L D2
D F B R F' D L
D F B R F' D' L
D F B R F' D2 L
L F B L R D F2
L F B L D R F2
L F B R L D F2
D F B2 R F' B' L
D F B2 R B' L F'
D F B2 R B' F' L
B D F L R D F'
B D F L R D' F'
B D F L R D2 F'
B D F L R F' D
B D F L R F' D'
B D F L R F' D2
B D F L' R F' L2
B D F R L D F'
B D F R L D' F'
B D F R L D2 F'
B D F R L F' D
B D F R L F' D'
B D F R L F' D2
B D F R L' F' L2
B D F R D L F'
B D F R D F' L
B D F R D' L F'
B D F R D' F' L
B D F R D2 L F'
B D F R D2 F' L
B D F R F L F2
B D F R F' L D
B D F R F' L D'
B D F R F' L D2
B D F R F' D L
B D F R F' D' L
B D F R F' D2 L
B D F2 L R F' R
B D F2 L F' R F'
B D F2 R L F' R
B D F2 R F' L R
B D F2 R F' R L
F D B L R D F2
F D B L D R F2
F D B R L D F2
B D' L U2 B' U2 R'
B D' L' R F L2 R
B D' L' R F R L2
B D' L' R' F L2 R
B D' L' R' F R L2
B D' L' R2 F L2 R
B D' L' R2 F R L2
B D' L' F L2 R D
B D' L' F L2 R D'
B D' L' F L2 R D2
B D' L' F L2 D R
B D' L' F L2 D' R
B D' L' F L2 D2 R
B D' L' F R L2 D
B D' L' F R L2 D'
B D' L' F R L2 D2
B D' L' F2 L2 F' R
B D' R L' F L2 R
B D' R L' F R L2
B D' R' L' F L2 R
B D' R' L' F R L2
B D' R2 L' F L2 R
B D' R2 L' F R L2
B D' F L' R F L2
B D' F R L' F L2
B D' F D2 L R F'
B D' F D2 R L F'
B D' F D2 R F' L
F D' B L R D F2
F D' B L D R F2
U' F2 U B L F R
F D' B R L D F2
B D2 L D' F R F'
B D2 L F D' R F'
B D2 L2 D L' F R
D F2 B L R F' R
D F2 B L F' R F'
D F2 B R L F' R
D F2 B R F' L R
D F2 B R F' R L
D' B L U2 B' U2 R'
L' B L D F R F'
D2 B L F R D' F2
D' B L' R F L2 R
D' B L' R F R L2
D' B L' R' F L2 R
D' B L' R' F R L2
D' B L' R2 F L2 R
D' B L' R2 F R L2
L2 B L D F R F'
D B L R F R F2
D' B L' F L2 R D
D' B L' F L2 R D'
D' B L' F L2 R D2
D' B L' F L2 D R
D' B L' F L2 D' R
D' B L' F L2 D2 R
D' B L' F R L2 D
D' B L' F R L2 D'
D' B L' F R L2 D2
D' B L' F2 L2 F' R
D B L F R D F'
D B L F R D' F'
D B L F R D2 F'
D B L F R F' D
D B L F R F' D'
D B L F R F' D2
D B L F2 R F' R
L B L D F R F'
L' B L2 D' L' F R
B D2 F L D' R F'
D B L' F L2 R F'
D B L' F R L2 F'
D B L' F R F' L2
D' B R L' F L2 R
D' B R L' F R L2
L2 B L2 D' L' F R
B D2 F D' L R F'
B D2 F D' R L F'
B D2 F D' R F' L
D B L2 D2 L' F R
D B L2 F R F' L'
D' B R' L' F L2 R
D' B R' L' F R L2
D B R L F R F2
L B L2 D' L' F R
D B R F L R F2
D B R F R L F2
D B R F R F2 L
D' B R2 L' F L2 R
D' B R2 L' F R L2
D B R F' L D2 R2
F D2 B L R D F2
F D2 B L D R F2
F D2 B R L D F2
B' F L' U' B2 L R
B' F L' U' B2 R L
B F L R U L2 U'
B F L R D F2 D
B F L R D F2 D'
B F L R D F2 D2
B F L R F D F2
B F L R F' D F2
B F L R F2 D F2
B F L R2 D R' F2
B F L R2 D F2 R'
B F L U L2 U' R
L' B D L F R F'
B F L D R F2 D
B F L D R F2 D'
B F L D R F2 D2
B F L D R' F2 R2
B F L D R2 F2 R'
B F L D' R D2 F2
F B L R U L2 U'
F B L R D F2 D
F B L R D F2 D'
F B L R D F2 D2
F B L R F D F2
F B L R F' D F2
F B L R F2 D F2
F B L R2 D R' F2
F B L R2 D F2 R'
F B L U L2 U' R
B F L F2 D F2 R
L' B D F L R F'
L' B D F R L F'
L' B D F R F' L
F B L D R F2 D
F B L D R F2 D'
F B L D R F2 D2
F B L D R' F2 R2
F B L D R2 F2 R'
F B L D' R D2 F2
L2 B D L F R F'
F B L F2 D F2 R
L' B D' L' F L2 R
L' B D' L' F R L2
L2 B D F L R F'
L2 B D F R L F'
L2 B D F R F' L
L2 B D' L' F L2 R
L2 B D' L' F R L2
D' B D2 L F R F'
L B D L F R F'
D' B D2 F L R F'
D' B D2 F R L F'
D' B D2 F R F' L
L B D F L R F'
L B D F R L F'
L B D F R F' L
B2 F R B' L D F2
B F R L U L2 U'
B F R L D F2 D
B F R L D F2 D'
B F R L D F2 D2
B F R L F D F2
B F R L F' D F2
B F R L F2 D F2
D2 B F L R D' F2
B F R U L' U' L2
D' B F L' R F L2
D2 B F R L D' F2
L' B F L R D F2
L' B F L D R F2
D2 B F R D' L F2
D2 B F R D' F2 L
F' B R' D' F2 L R
F' B R' D' F2 R L
D' B F R L' F L2
L B D' L' F L2 R
L B D' L' F R L2
B F R D L D F2
B F R D' L D F2
L' B F R L D F2
F B R L U L2 U'
B F R D2 L D F2
F B R L D F2 D
F B R L D F2 D'
F B R L D F2 D2
F B R L F D F2
F B R L F' D F2
F B R L F2 D F2
F B R U L' U' L2
D B D2 L' F L2 R
D B D2 L' F R L2
F B R D L D F2
D' B F D2 L R F'
D' B F D2 R L F'
D' B F D2 R F' L
L2 B F L R D F2
F B R D' L D F2
L2 B F L D R F2
F B R D2 L D F2
L2 B F R L D F2
D B F L R D F'
D B F L R D' F'
D B F L R D2 F'
D B F L R F' D
D B F L R F' D'
D B F L R F' D2
D B F L' R F' L2
D B F R L D F'
D B F R L D' F'
D B F R L D2 F'
D B F R L F' D
D B F R L F' D'
D B F R L F' D2
D B F R L' F' L2
D B F R D L F'
D B F R D F' L
D B F R D' L F'
D B F R D' F' L
D B F R D2 L F'
D B F R D2 F' L
D B F R F L F2
D B F R F' L D
D B F R F' L D'
D B F R F' L D2
D B F R F' D L
D B F R F' D' L
D B F R F' D2 L
B F R2 L D R' F2
B F R2 L D F2 R'
L B F L R D F2
L B F L D R F2
L B F R L D F2
F B R2 L D R' F2
F B R2 L D F2 R'
B F U L' U' L2 R
B F U L' U' R L2
D B F2 L R F' R
D B F2 L F' R F'
D B F2 R L F' R
D B F2 R F' L R
D B F2 R F' R L
F B U L' U' L2 R
F B U L' U' R L2
D' B' L' F B2 L R
D' B' L' F B2 R L
D' B' L' B2 F L R
D' B' L' B2 F R L
D' B' L2 B2 L F R
B F D L R D F2
B F D L D R F2
B F D R L D F2
F B D L R D F2
F B D L D R F2
F B D R L D F2
B F D' L R D F2
B F D' L D R F2
B F D' R L D F2
F B D' L R D F2
F B D' L D R F2
F B D' R L D F2
B F D2 L R D F2
B F D2 L D R F2
B F D2 R L D F2
F B D2 L R D F2
F B D2 L D R F2
F B D2 R L D F2
F B' L' U' B2 L R
F B' L' U' B2 R L
B F' R' D' F2 L R
B F' R' D' F2 R L
F B2 R B' L D F2
D B2 F R F' B' L
D B2 F R B' L F'
D B2 F R B' F' L
