D L2 F B' R' B'
D L2 B' R' F B'
D L2 B' R' B' F
D L2 B' F R' B'
B2 R2 U' D2 F' R
B2 R2 D2 U' F' R
D' R2 F2 B' U2 R'
D' R2 B' F2 U2 R'
U2 D L2 F R B2
U2 D L2 F B2 R
U2 D L2 B2 F R
B' U' R2 B' U' R
D U2 L2 F R B2
D U2 L2 F B2 R
D U2 L2 B2 F R
D' F2 R2 B' U2 R'
D' F2 B' R2 U2 R
D' B' R2 F2 L' U2
D B' U2 R' B' L2
D' B' F2 R2 U2 R
R2 B2 U B U2 R'
D L2 B' F R2 B' R
D L2 B' F D R' B'
D L2 B' F D' R' B'
D L2 B' F D2 R' B'
D L2 B' F' R' F2 B'
D L2 B' F' R' B' F2
D L2 B2 D2 F' R F2
D L2 B2 F2 D2 F' R
D R L2 F B' R' B'
D R L2 B' R' F B'
D R L2 B' R' B' F
D R L2 B' F R' B'
B' R U' R B' U' R
B' R U' B' R U' R
D R U2 L2 F R B2
D R U2 L2 F B2 R
D R U2 L2 B2 F R
R2 U B' U' B' U' R'
D' R F2 B' U2 L' R'
D' R F2 B' U2 R' L'
D' R B' R F2 U2 R2
B' R B' R U' R F'
L2 U' R2 B2 U' F R
D' R B' F2 U2 L' R'
D' R B' F2 U2 R' L'
D R B' U2 R' B' L2
D R' L2 F B' R' B'
D R' L2 B' R' F B'
D R' L2 B' R' B' F
D R' L2 B' F R' B'
D R' U2 L2 F R B2
D R' U2 L2 F B2 R
D R' U2 L2 B2 F R
L2 U' B2 R2 U' F R
B2 R' D2 R' U' F' R
D' R' F2 R' B' U2 R'
D R' B' U2 R' B' L2
L2 U2 D F L2 R B2
L2 U2 D F L2 B2 R
L2 U2 D F R L2 B2
L2 U2 D F R B2 L2
L2 U2 D F B2 L2 R
L2 U2 D F B2 R L2
L2 U2 D B2 F L2 R
L2 U2 D B2 F R L2
B2 R2 L U' D2 F' R
B2 R2 L D2 U' F' R
B2 R2 L' U' D2 F' R
B2 R2 L' D2 U' F' R
B2 R2 L2 U' D2 F' R
L2 U2 F D L2 R B2
L2 U2 F D L2 B2 R
L2 U2 F D R L2 B2
L2 U2 F D R B2 L2
L2 U2 F D B2 L2 R
L2 U2 F D B2 R L2
B2 R2 L2 D2 U' F' R
D R2 L2 F B' R' B'
D R2 L2 B' R' F B'
D R2 L2 B' R' B' F
D R2 L2 B' F R' B'
B2 R2 U B U2 F' R'
B2 R2 U B' L U2 F'
U' R2 U' D L2 F R
B2 R2 U' D2 F' R D
B2 R2 U' D2 F' R D'
B2 R2 U' D2 F' R D2
B2 R2 U' D2 F' D R
B2 R2 U' D2 F' D' R
B2 R2 U' D2 F' D2 R
B' R2 U' B' U' B R
B2 R2 U' F' B R' B'
B2 R2 U' B F' R' B'
D R2 U2 L2 F R B2
D R2 U2 L2 F B2 R
D R2 U2 L2 B2 F R
B2 R2 U2 B U F' R'
B2 R2 D L' F U' F2
U' R2 D U' L2 F R
B2 R2 D2 L U' F' R
B2 R2 D2 L' U' F' R
B2 R2 D2 L2 U' F' R
B2 R2 D2 U' F' R D
B2 R2 D2 U' F' R D'
B2 R2 D2 U' F' R D2
B2 R2 D2 U' F' D R
B2 R2 D2 U' F' D' R
B2 R2 D2 U' F' D2 R
D' R2 D2 B' U2 R' B'
B2 R2 D2 F U' F2 R
D' R2 F2 L2 U2 F R
D' R2 F2 D B' U2 R'
D' R2 F2 D' B' U2 R'
D' R2 F2 D2 B' U2 R'
D' R2 F2 B L B2 U2
D' R2 F2 B' L U2 R'
D' R2 F2 B' L' U2 R'
D' R2 F2 B' L2 U2 R'
D' R2 F2 B' U2 R' D
D' R2 F2 B' U2 R' D'
D' R2 F2 B' U2 R' D2
D' R2 F2 B' U2 D R'
D' R2 F2 B' U2 D' R'
D' R2 F2 B' U2 D2 R'
D' R2 F2 B' D U2 R'
D' R2 F2 B' D' U2 R'
D' R2 F2 B' D2 U2 R'
D' R2 B L F2 B2 U2
D' R2 B L B2 F2 U2
D' R2 B F2 L B2 U2
D' R2 B' L F2 U2 R'
D' R2 B' L' F2 U2 R'
D' R2 B' L2 F2 U2 R'
D' R2 B' U2 R' D2 B2
D' R2 B' U2 D2 R' B2
B' R2 B' U B U2 R
B' R2 B' U' R2 F' R'
D' R2 B' D2 U2 R' B2
D' R2 B' F2 L U2 R'
D' R2 B' F2 L' U2 R'
D' R2 B' F2 L2 U2 R'
D' R2 B' F2 U2 R' D
D' R2 B' F2 U2 R' D'
D' R2 B' F2 U2 R' D2
D' R2 B' F2 U2 D R'
D' R2 B' F2 U2 D' R'
D' R2 B' F2 U2 D2 R'
D' R2 B' F2 D U2 R'
D' R2 B' F2 D' U2 R'
D' R2 B' F2 D2 U2 R'
D R2 B' U2 R' B' L2
U' R2 B2 U B L U2
F' R2 B2 U B U2 R'
F2 R2 B2 U B U2 R'
F R2 B2 U B U2 R'
L2 D U2 F L2 R B2
L2 D U2 F L2 B2 R
L2 D U2 F R L2 B2
L2 D U2 F R B2 L2
L2 D U2 F B2 L2 R
L2 D U2 F B2 R L2
L2 D U2 B2 F L2 R
L2 D U2 B2 F R L2
L2 D F L2 B' R' B'
U2 D L' B2 L' F R
U2 D L2 R F R B2
U2 D L2 R F B2 R
L2 D F B' R' B' L2
U2 D L2 R B2 F R
U2 D L2 R' F R B2
U2 D L2 R' F B2 R
U2 D L2 R' B2 F R
U2 D L2 R2 F R B2
U2 D L2 R2 F B2 R
U2 D L2 R2 B2 F R
U2 D L2 F R B2 D
U2 D L2 F R B2 D'
U2 D L2 F R B2 D2
U2 D L2 F R' B2 R2
U2 D L2 F B' R B'
U2 D L2 F B2 R D
U2 D L2 F B2 R D'
U2 D L2 F B2 R D2
U2 D L2 F B2 D R
U2 D L2 F B2 D' R
U2 D L2 F B2 D2 R
U2 D L2 B' F R B'
U2 D L2 B2 R F R
U2 D L2 B2 R' F R
U2 D L2 B2 R2 F R
U2 D L2 B2 D F R
U2 D L2 B2 D' F R
U2 D L2 B2 D2 F R
U2 D L2 B2 F R D
U2 D L2 B2 F R D'
U2 D L2 B2 F R D2
U2 D L2 B2 F D R
U2 D L2 B2 F D' R
U2 D L2 B2 F D2 R
U2 D R L2 F R B2
U2 D R L2 F B2 R
U2 D R L2 B2 F R
U2 D R' L2 F R B2
U2 D R' L2 F B2 R
U2 D R' L2 B2 F R
U2 D R2 L2 F R B2
U2 D R2 L2 F B2 R
U2 D R2 L2 B2 F R
L2 D B' R' F B' L2
L2 D B' R' B' F L2
L2 D B' F R' B' L2
U2 D F L2 R F B2
U2 D F L2 R B2 F
U2 D F L2 B2 R F
U2 D F R L2 F B2
U2 D F R L2 B2 F
U2 D F' L2 F B2 R'
U2 D F' L2 B2 R' F
U2 D F' L2 B2 F R'
B' U D2 L2 F U R'
D2 U F2 L2 U F R
U2 D B' U2 B' L2 R'
U2 D B' U2 B' R' L2
B2 U B U' R2 U' R
B2 U B U2 D R' B2
B2 U B D U2 R' B2
B2 U B D' F2 U2 R'
L2 D' F D2 L2 B' R'
B' U' R B' R U' R
L2 D' F2 R2 B L U2
B' U' R2 D B' U' R
B' U' R2 D' B' U' R
B' U' R2 D2 B' U' R
B' U' R2 B' U' R D
B' U' R2 B' U' R D'
B' U' R2 B' U' R D2
B' U' R2 B' U' D R
B' U' R2 B' U' D' R
B' U' R2 B' U' D2 R
B' U' R2 B' D U' R
B' U' R2 B' D' U' R
B' U' R2 B' D2 U' R
B' U' F R2 B' U' R
B' U' F' R2 B' U' R
B' U' F2 R2 B' U' R
D2 U2 L2 F2 U F' R
D U2 L' B2 L' F R
D U2 L2 R F R B2
D U2 L2 R F B2 R
D U2 L2 R B2 F R
D U2 L2 R' F R B2
D U2 L2 R' F B2 R
D U2 L2 R' B2 F R
D U2 L2 R2 F R B2
D U2 L2 R2 F B2 R
D U2 L2 R2 B2 F R
U2 D2 L2 F2 U F' R
D U2 L2 F R B2 D
D U2 L2 F R B2 D'
D U2 L2 F R B2 D2
D U2 L2 F R' B2 R2
D U2 L2 F B' R B'
D U2 L2 F B2 R D
D U2 L2 F B2 R D'
D U2 L2 F B2 R D2
D U2 L2 F B2 D R
D U2 L2 F B2 D' R
D U2 L2 F B2 D2 R
D U2 L2 B' F R B'
D U2 L2 B2 R F R
D U2 L2 B2 R' F R
D U2 L2 B2 R2 F R
D U2 L2 B2 D F R
D U2 L2 B2 D' F R
D U2 L2 B2 D2 F R
D U2 L2 B2 F R D
D U2 L2 B2 F R D'
D U2 L2 B2 F R D2
D U2 L2 B2 F D R
D U2 L2 B2 F D' R
D U2 L2 B2 F D2 R
D U2 R L2 F R B2
D U2 R L2 F B2 R
D U2 R L2 B2 F R
D U2 R' L2 F R B2
D U2 R' L2 F B2 R
D U2 R' L2 B2 F R
D U2 R2 L2 F R B2
D U2 R2 L2 F B2 R
D U2 R2 L2 B2 F R
D U2 F L2 R F B2
D U2 F L2 R B2 F
D U2 F L2 B2 R F
D U2 F R L2 F B2
D U2 F R L2 B2 F
D U2 F' L2 F B2 R'
D U2 F' L2 B2 R' F
D U2 F' L2 B2 F R'
B' U2 R' U R' B' U'
U D2 F2 L2 U F R
F' U2 D L2 F R B2
F' U2 D L2 F B2 R
F' U2 D L2 B2 F R
F2 U2 D L2 F R B2
F2 U2 D L2 F B2 R
F2 U2 D L2 B2 F R
D U2 B' U2 B' L2 R'
D U2 B' U2 B' R' L2
F U2 D L2 F R B2
F U2 D L2 F B2 R
F U2 D L2 B2 F R
D F L2 F B' R' B'
D F L2 B' R' F B'
D F L2 B' R' B' F
D F L2 B' F R' B'
D' F R2 F B' U2 R'
D' F R2 B' F U2 R'
D F U2 L2 F R B2
D F U2 L2 F B2 R
D F U2 L2 B2 F R
U2 F D L2 R F B2
U2 F D L2 R B2 F
U2 F D L2 B2 R F
U2 F D R L2 F B2
U2 F D R L2 B2 F
L2 F D L2 B' R' B'
F' D L2 F B' R' B'
F' D L2 B' R' F B'
F' D L2 B' R' B' F
F2 D L2 F B' R' B'
L2 F D B' R' B' L2
F' D L2 B' F R' B'
F2 D L2 B' R' F B'
F2 D L2 B' R' B' F
F2 D L2 B' F R' B'
D' F D2 L2 F B' R'
D' F D2 L2 B' R' F
D' F D2 L2 B' F R'
F D L2 F B' R' B'
F D L2 B' R' F B'
F D L2 B' R' B' F
F D L2 B' F R' B'
D F B' U2 R' B' L2
U2 F B2 R2 U' F' R'
R2 F B2 U B U2 R'
F' D U2 L2 F R B2
F' D U2 L2 F B2 R
F' D U2 L2 B2 F R
F2 D U2 L2 F R B2
F2 D U2 L2 F B2 R
F2 D U2 L2 B2 F R
F D U2 L2 F R B2
F D U2 L2 F B2 R
F D U2 L2 B2 F R
D F' L2 F B' R' B'
D F' L2 B' R' F B'
D F' L2 B' R' B' F
D F' L2 B' F R' B'
D' F' R2 B' U2 R' B2
B D B L2 U' B R'
F' D B' U2 R' B' L2
F2 D B' U2 R' B' L2
F D B' U2 R' B' L2
D F' U2 L2 F R B2
D F' U2 L2 F B2 R
D F' U2 L2 B2 F R
U2 F' D L2 F B2 R'
U2 F' D L2 B2 R' F
U2 F' D L2 B2 F R'
D' F' B' R2 U2 B R
F' D' R2 F2 B' U2 R'
F' D' R2 B' F2 U2 R'
F2 D' R2 F2 B' U2 R'
F2 D' R2 B' F2 U2 R'
D F' B' U2 R' B' L2
F D' R2 F2 B' U2 R'
F D' R2 B' F2 U2 R'
R2 F' B2 U B U2 R'
D' F2 L2 R2 U2 F R
D2 F2 L2 B' U R' F
D2 F2 L2 B' U F R'
D' F2 R B' R U2 R2
D F2 L2 F B' R' B'
F' D' F2 R2 B' U2 R'
D F2 L2 B' R' F B'
D F2 L2 B' R' B' F
D F2 L2 B' F R' B'
F2 D' F2 R2 B' U2 R'
F' D' F2 B' R2 U2 R
F2 D' F2 B' R2 U2 R
D' F2 R2 L2 U2 F R
D' F2 R2 D B' U2 R'
D' F2 R2 D' B' U2 R'
D' F2 R2 D2 B' U2 R'
F D' F2 R2 B' U2 R'
D' F2 R2 B L B2 U2
D' F2 R2 B' L U2 R'
D' F2 R2 B' L' U2 R'
D' F2 R2 B' L2 U2 R'
D' F2 R2 B' U2 R' D
D' F2 R2 B' U2 R' D'
D' F2 R2 B' U2 R' D2
D' F2 R2 B' U2 D R'
D' F2 R2 B' U2 D' R'
D' F2 R2 B' U2 D2 R'
D' F2 R2 B' D U2 R'
D' F2 R2 B' D' U2 R'
D' F2 R2 B' D2 U2 R'
F' D' B' R2 F2 L' U2
F D' F2 B' R2 U2 R
F2 D' B' R2 F2 L' U2
F' D' B' F2 R2 U2 R
F2 D' B' F2 R2 U2 R
F D' B' R2 F2 L' U2
F D' B' F2 R2 U2 R
D' F2 U2 D2 L2 F R
D F2 U2 L2 F R B2
D F2 U2 L2 F B2 R
D F2 U2 L2 B2 F R
D' F2 D2 U2 L2 F R
D' F2 D2 B' U2 L2 R'
D' F2 D2 B' U2 R' L2
D' F2 B L R2 B2 U2
D' F2 B L B2 R2 U2
D' F2 B R2 L B2 U2
D' F2 B R2 B2 U2 R'
D' F2 B' L R2 U2 R
D' F2 B' L' R2 U2 R
D' F2 B' L2 R2 U2 R
D' F2 B' R2 L U2 R
D' F2 B' R2 L' U2 R
D' F2 B' R2 L2 U2 R
D' F2 B' R2 U2 R D
D' F2 B' R2 U2 R D'
D' F2 B' R2 U2 R D2
D' F2 B' R2 U2 D R
D' F2 B' R2 U2 D' R
D' F2 B' R2 U2 D2 R
D' F2 B' R2 D U2 R
D' F2 B' R2 D' U2 R
D' F2 B' R2 D2 U2 R
D' F2 B' U2 D2 L2 R'
D' F2 B' U2 D2 R' L2
B' D2 U L2 F U R'
D' F2 B' D2 U2 L2 R'
D' F2 B' D2 U2 R' L2
D' B L R2 F2 B2 U2
D' B L R2 B2 F2 U2
U2 F2 B2 R2 U' F' R
D F2 B' U2 R' B' L2
D' B L F2 R2 B2 U2
D' B L F2 B2 R2 U2
R2 F2 B2 U B U2 R'
D' B L B2 R2 F2 U2
D' B L B2 F2 R2 U2
D B L B2 R' U2 B'
D B L2 D2 F2 B R
D B L2 D2 B F2 R
D' B R2 L F2 B2 U2
D' B R2 L B2 F2 U2
D' B R2 F2 L B2 U2
D' B R2 F2 B2 U2 R'
D' B R2 B2 F2 U2 R'
D' B D2 L2 F2 R B2
D' B D2 L2 F2 B2 R
D' B D2 L2 B2 F2 R
D' B D2 F2 B2 L2 R'
D' B D2 F2 B2 R' L2
D' B D2 B2 L2 R' F2
D' B D2 B2 L2 F2 R'
D' B D2 B2 R' L2 F2
D' B D2 B2 R' F2 L2
D' B D2 B2 F2 L2 R'
D' B D2 B2 F2 R' L2
B2 F R2 U' D2 F' R
B2 F R2 D2 U' F' R
D' B F2 L R2 B2 U2
D' B F2 L B2 R2 U2
D' B F2 R2 L B2 U2
D' B F2 R2 B2 U2 R'
D' B' L R2 F2 L' U2
B' F U' R2 B' U' R
D' B' L F2 R2 U2 R
D' B' L' R2 F2 L' U2
D' B' L' F2 R2 U2 R
D' B' L2 R2 F2 L' U2
D' B' L2 F2 R2 U2 R
D' B' R F2 U2 L' R2
D' B' R F2 U2 R2 L'
D' B' R' F2 R' U2 R
D B' R U2 R2 B' L2
D B' R U2 B' L2 R2
D B' R U2 B' R2 L2
D' B' R2 L F2 L' U2
D' B' R2 L' F2 L' U2
D' B' R2 L2 F2 L' U2
D' B' R2 U2 R D2 B2
D B' R B' L2 R2 F'
D B' R B' R2 L2 F'
D B' R B' R2 F' L2
D' B' R2 U2 D2 R B2
D' B' R2 U2 D2 B2 R
D' B' R2 D2 U2 R B2
D' B' R2 D2 U2 B2 R
D' B' R2 F2 L' U2 D
D' B' R2 F2 L' U2 D'
D' B' R2 F2 L' U2 D2
D' B' R2 F2 L' D U2
D' B' R2 F2 L' D' U2
D' B' R2 F2 L' D2 U2
D' B' R2 F2 D L' U2
D' B' R2 F2 D' L' U2
D' B' R2 F2 D2 L' U2
D2 B' U L2 F2 U R'
D B' R' B L2 F B2
D B' R' B L2 B2 F
R B' R B' U' R2 F'
D2 B' U F2 L2 U R'
L2 B' R2 B' U' R F
D B' R2 U2 R B' L2
D B' R2 U2 B' L2 R
D B' R2 U2 B' R L2
D2 B' U2 R' D' L2 B2
D2 B' U2 R' D' B2 L2
D' B' U2 R' D2 B2 L
D2 B' U2 D' L2 R' B2
D2 B' U2 D' R' L2 B2
D2 B' U2 D' R' B2 L2
D' B' U2 D2 L2 R' B2
D' B' U2 D2 R' L2 B2
D' B' U2 D2 R' B2 L2
R2 B' U' B' U' B R'
D2 B' D R2 F2 L' U2
U B' U' R2 B' U' R'
D2 B' D F2 R2 U2 R
D B' U2 R B' L2 R2
D B' U2 R B' R2 L2
D B' U2 R' B L2 B2
D B' U2 R' B' L2 D
D B' U2 R' B' L2 D'
D B' U2 R' B' L2 D2
D B' U2 R' B2 L2 B
D B' U2 R2 B' L2 R
D B' U2 R2 B' R L2
R B' U' R B' U' R2
U B' U' B' R2 U' R
D2 B' D' U2 L2 R' B2
D2 B' D' U2 R' L2 B2
D2 B' D' U2 R' B2 L2
B2 F' R2 U' D2 F' R
B2 F' R2 D2 U' F' R
D' B' D2 U2 L2 R' B2
D' B' D2 U2 R' L2 B2
D' B' D2 U2 R' B2 L2
B' F' U' R2 B' U' R
F' B' U' R2 B' U' R
D B' D2 R2 U2 R B'
D B' D2 R2 U2 B' R
F2 B' U' R2 B' U' R
D' B' F' R2 U2 B R
D' B' F2 L R2 U2 R
D' B' F2 L' R2 U2 R
D' B' F2 L2 R2 U2 R
D' B' F2 R2 L U2 R
D' B' F2 R2 L' U2 R
D' B' F2 R2 L2 U2 R
D' B' F2 R2 U2 R D
D' B' F2 R2 U2 R D'
D' B' F2 R2 U2 R D2
D' B' F2 R2 U2 D R
D' B' F2 R2 U2 D' R
D' B' F2 R2 U2 D2 R
D' B' F2 R2 D U2 R
D' B' F2 R2 D' U2 R
D' B' F2 R2 D2 U2 R
D B' F U2 R' B' L2
U' B2 L R2 F U' F2
D' B' F2 U2 D2 L2 R'
D' B' F2 U2 D2 R' L2
F B' U' R2 B' U' R
D' B' F2 D2 U2 L2 R'
D' B' F2 D2 U2 R' L2
U' B2 L F R2 U' F'
D B' F' U2 R' B' L2
D B' F2 U2 R' B' L2
R2 B2 L U B U2 R'
R2 B2 L' U B U2 R'
R2 B2 L2 U B U2 R'
D B2 L2 R2 D2 F' R
D B2 L2 U2 B U2 R'
D B2 L2 D2 R2 F' R
U' B2 R2 L F U' F2
U' B2 R2 U' F R F2
U' B2 R2 F2 U' F R
U2 B2 R2 F U' R F2
D B2 R2 L2 D2 F' R
U B2 R' F' R' U' F'
R2 B2 U L B U2 R'
R2 B2 U L' B U2 R'
U B2 R2 U' D' F' R
R2 B2 U L2 B U2 R'
U B2 R2 D' U' F' R
F' B2 R2 U' D2 F' R
R2 B2 U B L U2 R'
R2 B2 U B L' U2 R'
R2 B2 U B L2 U2 R'
B2 F2 R2 U' D2 F' R
R2 B2 U B U2 R' D
R2 B2 U B U2 R' D'
R2 B2 U B U2 R' D2
R2 B2 U B U2 D R'
R2 B2 U B U2 D' R'
R2 B2 U B U2 D2 R'
R2 B2 U B D U2 R'
R2 B2 U B D' U2 R'
R2 B2 U B D2 U2 R'
R2 B2 U B' L B2 U2
F' B2 R2 D2 U' F' R
F2 B2 R2 U' D2 F' R
B2 F2 R2 D2 U' F' R
F2 B2 R2 D2 U' F' R
R2 B2 U' R2 D2 F' R
R2 B2 U' D2 R2 F' R
B' F2 U' R2 B' U' R
F B2 R2 U' D2 F' R
F B2 R2 D2 U' F' R
D B2 U2 B U2 L2 R'
D B2 U2 B U2 R' L2
R2 B2 D2 U' R2 F' R
U2 B2 F R2 U' F' R'
R2 B2 F U B U2 R'
R2 B2 F' U B U2 R'
U2 B2 F2 R2 U' F' R
R2 B2 F2 U B U2 R'
