D L F L R B2
D L F L B2 R
D L F R L B2
L' D L2 F R B2
L' D L2 F B2 R
L' D L2 B2 F R
L D F L2 R B2
L D F L2 B2 R
L D F R L2 B2
L D F R B2 L2
L D F B2 L2 R
L D F B2 R L2
L D B2 F L2 R
L D B2 F R L2
L F D L2 R B2
L F D L2 B2 R
L F D R L2 B2
L F D R B2 L2
L F D B2 L2 R
L F D B2 R L2
D B2 L F L R
D B2 L F R L
L D F R L2 B2 D
L D F R L2 B2 D'
L D F R L2 B2 D2
L D F R B L2 B
L D F R B2 L2 D
L D F R B2 L2 D'
L D F R B2 L2 D2
L D F R' L2 B2 R2
L D F R' B2 L2 R2
L D F R' B2 R2 L2
L D F B L2 B R
L D F B' R B' L2
L D F B2 L2 R D
L D F B2 L2 R D'
L D F B2 L2 R D2
L D F B2 L2 D R
L D F B2 L2 D' R
L D F B2 L2 D2 R
L D F B2 R L2 D
L D F B2 R L2 D'
L D F B2 R L2 D2
U2 D L2 B' R' F' B'
U2 D L2 B' R' B' F'
L D F' L2 F2 B2 R'
L D F' L2 B2 R' F2
L D F' L2 B2 F2 R'
L D F2 L2 F' R B2
L D F2 L2 F' B2 R
L D F2 L2 B2 F' R
L D F2 B2 L2 F' R
L' D B' U2 B' L2 R'
L' D B' U2 B' R' L2
L D B F L2 B R
L D B' F R B' L2
L D B2 R F L2 R
L D B2 R F R L2
L D B2 R' F L2 R
L D B2 R' F R L2
L D B2 R2 F L2 R
L D B2 R2 F R L2
L D B2 F L2 R D
L D B2 F L2 R D'
L D B2 F L2 R D2
L D B2 F L2 D R
L D B2 F L2 D' R
L D B2 F L2 D2 R
L D B2 F R L2 D
L D B2 F R L2 D'
L D B2 F R L2 D2
L D B2 F2 L2 F' R
U2 D B' R' F' B' L2
U2 D B' R' B' L2 F'
U2 D B' R' B' F' L2
B U B L R2 F U'
B U B L F R2 U'
B U B R2 L F U'
L D' R2 F2 U2 F' R
L D' F D2 L2 R B'
L D' F D2 L2 B' R
L D' F D2 R L2 B'
L' D2 L2 F2 U F' R
D U2 L2 B' R' F' B'
D U2 L2 B' R' B' F'
F U' B2 R2 U' R' F'
L D2 F2 L2 U F' R
F' U2 D L2 B2 R' F'
D U2 B' R' F' B' L2
D U2 B' R' B' L2 F'
D U2 B' R' B' F' L2
F U2 D R B2 L2 F
D F L R F L B2
R2 F L B2 U' R F
L F L D L2 R B2
L F L D L2 B2 R
L F L D R L2 B2
L F L D R B2 L2
L F L D B2 L2 R
L F L D B2 R L2
L F L' D L2 R B2
L F L' D L2 B2 R
L F L' D R L2 B2
L F L' D R B2 L2
L F L' D B2 L2 R
L F L' D B2 R L2
L F L2 D L2 R B2
L F L2 D L2 B2 R
L F L2 D R L2 B2
L F L2 D R B2 L2
L F L2 D B2 L2 R
L F L2 D B2 R L2
D F L2 B2 D2 R F'
D F R L F L B2
L F R U R B2 U'
L F R U B2 R U'
D F R B2 L F L
D' F R2 F U2 R' F'
B' U2 B' R2 U' R F'
F' D L F L B2 R'
L F U B2 R2 U' R'
F D L R F L B2
L' F D L2 R F B2
L' F D L2 R B2 F
L' F D L2 B2 R F
L' F D R L2 F B2
L' F D R L2 B2 F
D F U2 R B2 L2 F
F' D L' B' U2 B' L'
L F D L' R B2 L'
L F D L' B2 L' R
L F D L' B2 R L'
L F D L2 R B2 D
L F D L2 R B2 D'
L F D L2 R B2 D2
L F D L2 R' B2 R2
L F D L2 B' R B'
L F D L2 B2 R D
L F D L2 B2 R D'
L F D L2 B2 R D2
L F D L2 B2 D R
L F D L2 B2 D' R
L F D L2 B2 D2 R
L F D R L' B2 L'
L F D R L2 B2 D
L F D R L2 B2 D'
L F D R L2 B2 D2
L F D R B L2 B
L F D R B2 L2 D
L F D R B2 L2 D'
L F D R B2 L2 D2
L F D R' L2 B2 R2
L F D R' B2 L2 R2
L F D R' B2 R2 L2
L F D B L2 B R
L F D B' R B' L2
L F D B2 L2 R D
L F D B2 L2 R D'
L F D B2 L2 R D2
L F D B2 L2 D R
L F D B2 L2 D' R
L F D B2 L2 D2 R
L F D B2 R L2 D
L F D B2 R L2 D'
L F D B2 R L2 D2
F D L2 B2 D2 R F'
F D R L F L B2
L F D2 R D' L2 B2
F D R B2 L F L
L F D2 R D' B2 L2
L' F B2 R2 U' F' R'
R2 F B2 L U' R F
D F B2 L R F L
D F B2 L2 D2 R F'
D F B2 R L F L
F' D U2 L2 B2 R' F'
D' F' L' R2 B' U2 B2
D' F' L' F' R2 B' U2
D' F' L' F' B' R2 U2
D' F' L' B' R2 U2 B
D' F' L' B' F' R2 U2
D F' L F L B2 R'
F D U2 R B2 L2 F
D F' L' B' U2 B' L'
D' F' R2 L' B' U2 B2
L F' R2 B2 U' F2 R
F D B2 L R F L
F D B2 L2 D2 R F'
F D B2 R L F L
F' D' L' R2 F2 B' U2
F' D' L' R2 B' F2 U2
L' F' D L2 F B2 R'
L' F' D L2 B2 R' F
L' F' D L2 B2 F R'
F' D' L' F2 R2 B' U2
F' D' L' F2 B' R2 U2
D F' U2 L2 B2 R' F'
F' D' L' B' R2 F2 U2
F' D' L' B' F2 R2 U2
F' D' R2 L' F2 B' U2
F' D' R2 L' B' F2 U2
F D' R2 F2 U2 R' F'
L F' B2 R2 U' F2 R
F' D' F2 R2 U2 R' F'
D' F2 R2 U2 R' F' R
F D' F2 L' R2 B' U2
F D' F2 L' B' R2 U2
F D' F2 R2 L' B' U2
L' F2 B2 R2 U' F' R
D B L F L B R
U B L F B R2 U'
U B L B R2 F U'
U B L B F R2 U'
B2 F L R2 U' R' F
B2 F L R2 U' F R'
B2 F R2 L U' R' F
B2 F R2 L U' F R'
U2 B' R2 B' U' R F'
D B' U2 B' L2 R' F'
D B' U2 B' R' L2 F'
D B' U2 B' R' F' L2
D B2 L R F L R
D B2 L R F R L
D B2 L R' F L R
D B2 L R' F R L
D B2 L R2 F L R
D B2 L R2 F R L
D B2 L D F L R
D B2 L D F R L
D B2 L D' F L R
D B2 L D' F R L
R2 B2 L F' U' F2 R
D B2 L D2 F L R
D B2 L D2 F R L
D B2 L F L R D
D B2 L F L R D'
D B2 L F L R D2
D B2 L F L D R
D B2 L F L D' R
D B2 L F L D2 R
R2 B2 L F2 U' F' R
D B2 L F R L D
D B2 L F R L D'
D B2 L F R L D2
D B2 L F R D L
D B2 L F R D' L
D B2 L F R D2 L
D B2 L F D L R
D B2 L F D R L
D B2 L F D' L R
D B2 L F D' R L
D B2 L F D2 L R
D B2 L F D2 R L
D B2 L F2 L F' R
D B2 L2 D2 F R F'
D B2 L2 F D2 R F'
U' B2 R' F' L' R' U'
U' B2 R' F' R' L' U'
D B2 R L F L R
D B2 R L F R L
F B2 L R2 U' R' F
F B2 L R2 U' F R'
D B2 R' L F L R
D B2 R' L F R L
L' B2 R2 F U' R F2
D B2 R2 L F L R
D B2 R2 L F R L
L B2 R2 F' U' F2 R
L B2 R2 F2 U' F' R
F B2 R2 L U' R' F
F B2 R2 L U' F R'
L' B2 F R2 U' F' R'
R2 B2 F L U' R F
D B2 F L R F L
D B2 F L2 D2 R F'
D B2 F R L F L
L' B2 F2 R2 U' F' R
L B2 F' R2 U' F2 R
