D' L' R U' R F
D' R L' U' R F
D R U L2 U2 F'
D' R U' D2 R F'
D R U' D2 F' R2
D R U' F' D2 R2
D R D F2 U' F
D' R D2 U' R F'
D R D2 U' F' R2
R D' L' U' R2 F
R D' L' U' F R2
R F L' U' D' R2
R F L' U2 B2 U
R F L' D' U' R2
R F L' D2 F2 U'
R F D' L' U' R2
R F D2 L' F2 U'
R F' U2 R B2 U
R F' U2 B2 R U
R F' D2 F2 L' U'
R F L' D2 F2 D U'
R F L' D2 F2 D' U'
R F L' D2 F2 D2 U'
R F L' F U' D' R2
R F L' F U2 B2 U
R F L' F D' U' R2
R F L' F D2 F2 U'
R F L' F' U' D' R2
R F L' F' U2 B2 U
R F L' F' D' U' R2
R F L' F' D2 F2 U'
R F L' F2 U' D' R2
R F L' F2 U2 B2 U
R F L' F2 D' U' R2
R F L' F2 D2 F2 U'
R F L2 U2 B2 R' U
R F L2 D' L U' R2
R F L2 D2 L F2 U'
R F L2 D2 F2 L U'
F' U2 B L B R U
R' F R2 L' U' D' R2
R' F R2 L' U2 B2 U
R' F R2 L' D' U' R2
R' F R2 L' D2 F2 U'
R2 F R' L' U' D' R2
R2 F R' L' U2 B2 U
R2 F R' L' D' U' R2
R2 F R' L' D2 F2 U'
R' F R2 D' L' U' R2
R' F R2 D2 L' F2 U'
R2 F R' D' L' U' R2
R2 F R' D2 L' F2 U'
F2 U2 B' R' B' L' U
B2 U2 B2 D R U' F'
F2 U2 B2 D L' U F
R F U2 B2 U2 L' U'
R' F D2 L' F2 R U'
B2 D R U F' L2 B'
R F D L' U L' U2
R2 F D' L' R' U' R'
R F D L' F2 U' R
R2 F D' R' L' U' R'
R F D' L' U' R2 D
R F D' L' U' R2 D'
R F D' L' U' R2 D2
R2 F D2 L' R' F2 U'
R F D' L' D' F2 U'
R F D' L' F U' R2
R F D' L' F' U' R2
R F D' L' F2 U' R2
R2 F D2 L' F2 R' U'
R2 F D2 R' L' F2 U'
R F D2 L F2 L2 U'
R F D2 L' U' D R2
R F D2 L' D U' R2
R F D2 L' F2 U' D
R F D2 L' F2 U' D'
R F D2 L' F2 U' D2
R F D2 L' F2 D U'
R F D2 L' F2 D' U'
R F D2 L' F2 D2 U'
R F D2 L2 F2 L U'
R F D2 F2 U2 R U
B2 D U2 R U' L2 F'
B2 D U2 R U' F' L2
R F' L U2 R B2 U
R F' L U2 B2 R U
R F' L D2 F2 L' U'
R F' L' U2 R B2 U
R F' L' U2 B2 R U
R F' L' D2 F2 L' U'
R F' L2 U2 R B2 U
R F' L2 U2 B2 R U
R F' L2 D2 F2 L' U'
R' F' R2 U2 R' B2 U
R2 F' R' U' D' R2 F2
R2 F' R' U' D' F2 R2
R2 F' R' U2 R2 B2 U
R2 F' R' U2 B2 R2 U
R2 F' R' D' U' R2 F2
R2 F' R' D' U' F2 R2
R2 F' R' D2 L2 F2 U'
R2 F' R' D2 F2 L2 U'
U' F' U' R B2 U B'
U' F' U' B2 R U B
R F' U' R' D' R2 F2
R F' U' R' D' F2 R2
R2 F' U2 B2 L R U
R2 F' U2 B2 R L U
R F' U2 R U D' R2
R F' U2 R D' U R2
R F' U2 R B2 U D
R F' U2 R B2 U D'
R F' U2 R B2 U D2
R F' U2 R B2 D U
R F' U2 R B2 D' U
R F' U2 R B2 D2 U
F D' L' U F U2 R2
R F' U2 R' B2 R2 U
R F' U2 D' R U R
F D' L' F2 U' R2 B
R F' U2 B' R B' U
R F' U2 B2 R U D
R F' U2 B2 R U D'
R F' U2 B2 R U D2
R F' U2 B2 R D U
R F' U2 B2 R D' U
R F' U2 B2 R D2 U
R F' U2 B2 D R U
R F' U2 B2 D' R U
R F' U2 B2 D2 R U
R F' D' U2 R U R
R2 F' D2 F2 L' R' U'
R2 F' D2 F2 R' L' U'
R F' D' F2 L' U' R2
R F' D2 L F2 L' U'
R F' D2 L' F2 L' U'
R F' D2 L2 F2 L' U'
R F' D2 F2 L' U' D
R F' D2 F2 L' U' D'
R F' D2 F2 L' U' D2
R F' D2 F2 L' D U'
R F' D2 F2 L' D' U'
R F' D2 F2 L' D2 U'
R F' D2 F2 D L' U'
R F' D2 F2 D' L' U'
R F' D2 F2 D2 L' U'
F' D' U2 R U R B
D' F2 L' U' F R2 B
D' F2 U2 L' U R2 F
D' F2 U2 L' U F R2
D2 F2 U2 D L' U F
D2 F2 D U2 L' U F
R F2 U' R D' R2 F'
R F2 U' R' D' F' R2
R F2 U' R' F' D' R2
R F2 U' D' R' F' R'
R F2 U2 B' R' B' U
R2 F2 D' R' U' R' F'
R F2 D' U' R' F' R'
R F2 D' F' L' U' R2
U' F2 B2 L' U L F
R F2 D2 F' L' F' U'
F' D2 F R F L' U'
F2 D2 F' L' F' R U'
B2 D2 F2 D L' U F
F2 D2 F2 D R U' F'
D2 B' L B R F2 U'
R B' L2 F L' B U'
R B' L2 F B L' U'
R B' L2 B F L' U'
U2 B2 U2 D R U' F'
U2 B2 D U2 R U' F'
U' B2 F2 L' U L F
