B2 F2 D' R' B L
F2 B2 D' R' B L
B2 F2 D' R' L2 B L
B2 F2 D' R' D B L
B2 F2 D' R' D' B L
B2 F2 D' R' D2 B L
F2 B2 D' L2 R' B L
B2 F2 D' R' B L D
B2 F2 D' R' B L D'
B2 F2 D' R' B L D2
B2 F2 D' R' B D L
B2 F2 D' R' B D' L
B2 F2 D' R' B D2 L
F2 B2 D' R' L B L
F2 B2 D' R' L' B L
F' B2 D' F' R' B L
F2 B2 D' R' L2 B L
F2 B2 D' R' D B L
F2 B2 D' R' D' B L
F2 B2 D' R' D2 B L
F2 B2 D' R' B L D
F2 B2 D' R' B L D'
F2 B2 D' R' B L D2
F2 B2 D' R' B D L
F2 B2 D' R' B D' L
F2 B2 D' R' B D2 L
R' B2 F2 D' R' B L
F B2 D' R' F B L
F B2 D' R' B F L
U2 B2 F2 D R' B L
F B2 D' F R' B L
R2 B2 F2 D' R' B L
U B2 F2 R B L R2
U B2 F2 R B R2 L
R B2 F2 D' R' B L
