B' L U2 B U' R'
U F U2 D' F' R' B
U F U2 F' D' R' B
U F D' U2 F' R' B
B2 D U' L F U2 L
D2 F' R U2 R' U R'
U F' U2 D' R' F B
U F' U2 D' R' B F
U F' U2 D' F R' B
U F' U2 F D' R' B
U F' D' U2 R' F B
U F' D' U2 R' B F
U F' D' U2 F R' B
B2 D' U' L R2 F U2
B2 D' U' L F R2 U2
B2 D' U' R2 L F U2
U2 F2 U' D' L2 R' B
U2 F2 U' D' R' L2 B
U2 F2 U' D' R' B L2
B2 D2 L2 F2 U R B
U F2 U2 F2 D' R' B
U2 F2 D' U' L2 R' B
U2 F2 D' U' R' L2 B
U2 F2 D' U' R' B L2
B2 D2 F2 U' L F U2
B' F L U2 B U' R'
L' B' L U2 B U' R'
L2 B' L U2 B U' R'
R2 B' L R2 F' U R'
L B' L U2 B U' R'
B' F' L U2 B U' R'
F' B' L U2 B U' R'
F2 B' L U2 B U' R'
R2 B' R2 L F' U R'
R2 B' R2 F' L U R'
F B' L U2 B U' R'
D' B' U2 B U' R' B
B' F2 L U2 B U' R'
U2 B2 U L U2 L' B'
U2 B2 U' L F U2 F'
D' B2 U2 B2 U' R' B
