F R' B U' F2
F L R' B U' F2
F L' R' B U' F2
F L2 R' B U' F2
F R' L B U' F2
F R' L' B U' F2
F R' L2 B U' F2
F R' D' L2 B U'
F R' D' B L2 U'
F' R' F2 B U' F2
F' R' B F2 U' F2
F R' B L U' F2
F R' B L' U' F2
F R' B L2 U' F2
F R' B U' F2 D
F R' B U' F2 D'
F R' B U' F2 D2
F R' B D' L2 U'
F' U R' F2 B U'
F' U R' B F2 U'
F' U F2 R' B U'
R' D' F L' B U'
R' D' F B L' U'
R' D' B F L' U'
U' F R' B U' F2
D' F R' U' L' F2
U2 F R' B U' F2
U F R' B U' F2
R' B D' F L' U'
F R' B L2 U' F2 D
F R' B L2 U' F2 D'
F R' B L2 U' F2 D2
F R' B L2 D' L2 U'
U2 R' B D' F L' U'
F R' B U D2 B2 U2
F R' B U B U2 F2
F R' B U B' U2 F2
F R' B U B2 U2 F2
F R' B U' L' F2 L
F R' B U' L2 F2 L2
F R' B U' R F2 R'
F R' B U' R2 F2 R2
F R' B U' F D F
F R' B U' F D' F
F R' B U' F D2 F
F R' B U' F' D F'
F R' B U' F' D' F'
F R' B U' F' D2 F'
F R' B U2 R U F2
F R' B U2 R' U F2
F R' B U2 R2 U F2
F R' B U2 D R2 U
F R' B D U2 R2 U
F R' B D' L2 U' D
F R' B D' L2 U' D'
F R' B D' L2 U' D2
F R' B D' L2 D U'
F R' B D' L2 D' U'
F R' B D' L2 D2 U'
F R' B D2 U B2 U2
U R' B D' F L' U'
F R' B' L B2 U' F2
F R' B' L' B2 U' F2
F R' B' L2 B2 U' F2
F R' B' U' F2 D L2
F R' B2 D' B' L2 U'
F R2 D' L2 R B U'
F R2 D' R L2 B U'
F R2 D' R B L2 U'
F R2 B R B U' F2
F R2 B' R B U' F2
F R2 B2 R B U' F2
R' D F B U2 R' U
R' D F B' L B2 U'
F' U R' D B U' R2
R' D B F U2 R' U
F' U R' F2 D B U'
F' U R' F2 D' B U'
F' U R' F2 D2 B U'
F' U R' F2 B U' D
F' U R' F2 B U' D'
F' U R' F2 B U' D2
F' U R' F2 B D U'
F' U R' F2 B D' U'
F' U R' F2 B D2 U'
F' U R' B U' D R2
F' U R' B D U' R2
F' U R' B F2 U' D
F' U R' B F2 U' D'
F' U R' B F2 U' D2
F' U R' B F2 D U'
F' U R' B F2 D' U'
F' U R' B F2 D2 U'
R' D B' F L B2 U'
D' U F R' U' L' F2
F' U F R' F B U'
F' U F R' B F U'
F2 U F' R' B U' F2
F' U F2 R' D B U'
F' U F2 R' D' B U'
F' U F2 R' D2 B U'
F' U F2 R' B U' D
F' U F2 R' B U' D'
F' U F2 R' B U' D2
F' U F2 R' B D U'
F' U F2 R' B D' U'
F' U F2 R' B D2 U'
R' D' F L B L2 U'
R' D' F L' D B U'
R' D' F L' D' B U'
R' D' F L' D2 B U'
R' D' F L' B U' D
R' D' F L' B U' D'
R' D' F L' B U' D2
R' D' F L' B D U'
R' D' F L' B D' U'
R' D' F L' B D2 U'
R' D' F D L' B U'
R' D' F D B L' U'
R' D' F D' L' B U'
R' D' F D' B L' U'
R' D' F D2 L' B U'
R' D' F D2 B L' U'
R' D' F B L' U' D
R' D' F B L' U' D'
R' D' F B L' U' D2
R' D' F B L' D U'
R' D' F B L' D' U'
R' D' F B L' D2 U'
R' D' F B D L' U'
R' D' F B D' L' U'
R' D' F B D2 L' U'
R' D' F B' L' B2 U'
U' D' F R' U' L' F2
D' U' F R' U' L' F2
U2 D' F R' U' L' F2
R' D' B F L' U' D
R' D' B F L' U' D'
R' D' B F L' U' D2
R' D' B F L' D U'
R' D' B F L' D' U'
R' D' B F L' D2 U'
R' D' B F D L' U'
R' D' B F D' L' U'
R' D' B F D2 L' U'
F' U' R' F2 L' B U'
F' U' R' F2 B L' U'
F' U' R' B F2 L' U'
U D' F R' U' L' F2
R' D' B' F L' B2 U'
F U' R' B U' R F2
R' D2 L' B U' F R
F2 U' F' R' B U' F2
F U' F2 U R' B U'
R' D2 F L' B U' F
D' U2 F R' U' L' F2
R' D2 F B L' U' F
R' D2 B L' U' F R
R' D2 B D F L' U'
R' D2 B F L' U' F
U' F L R' B U' F2
D' F L R' U' L2 F2
D' F L R' U' F2 L2
D2 F L R' B' U' F2
U2 F L R' B U' F2
U' F L' R' B U' F2
U F L R' B U' F2
U2 F L' R' B U' F2
U' F L2 R' B U' F2
D' F L2 R' U' L F2
D' F L2 R' U' F2 L
U2 F L2 R' B U' F2
U F L' R' B U' F2
F2 U2 F' R' B U' F2
U F L2 R' B U' F2
U' F R' L B U' F2
U' F R' L' B U' F2
D' F R' L U' L2 F2
D' F R' L U' F2 L2
U' F R' L2 B U' F2
D2 F R' L B' U' F2
D' F R' L2 U' L F2
D' F R' L2 U' F2 L
D' F R' U' L F2 L2
D' F R' U' L' F2 D
D' F R' U' L' F2 D'
D' F R' U' L' F2 D2
D' F R' U' L2 F2 L
U' F R' D' L2 B U'
U' F R' D' B L2 U'
D' F R' D' L2 U' L
U' F R' B L U' F2
U' F R' B L' U' F2
U' F R' B L2 U' F2
U' F R' B U' F2 D
U' F R' B U' F2 D'
U' F R' B U' F2 D2
U' F R' B D' L2 U'
U2 F R' L B U' F2
D' F R' B U' L' F2
U2 F R' L' B U' F2
D' F R' B' U' L' F2
U2 F R' L2 B U' F2
D' F R' B2 U' L' F2
U2 F R' D' L2 B U'
U2 F R' D' B L2 U'
U2 F R' B L U' F2
U2 F R' B L' U' F2
U2 F R' B L2 U' F2
U2 F R' B U' F2 D
U2 F R' B U' F2 D'
U2 F R' B U' F2 D2
U2 F R' B D' L2 U'
U F R' L B U' F2
U F R' L' B U' F2
U F R' L2 B U' F2
U F R' D' L2 B U'
D F R' B' U' L F2
D F R' B' U' F2 L
U F R' D' B L2 U'
U F R' B L U' F2
U F R' B L' U' F2
U F R' B L2 U' F2
U F R' B U' F2 D
U F R' B U' F2 D'
U F R' B U' F2 D2
U F R' B D' L2 U'
R' F D B U2 R' U
R' F D B' L B2 U'
D' F D' L2 R' U' L
D' F D' R' L2 U' L
R' F D2 L' B U' F
D F D' L2 R' B U'
D F D' R' L2 B U'
D F D' R' B L2 U'
R' F D2 B L' U' F
R' F B U' R F' R'
D' F B U' L' F2 B'
D' F B U' L' B' F2
R' F B U2 R U F'
R' F B D2 L' U' F
R' F B2 D B' L U'
U' F' R' F2 B U' F2
U' F' R' B F2 U' F2
U2 F' R' F2 B U' F2
U2 F' R' B F2 U' F2
U' F' U R' F2 B U'
U' F' U R' B F2 U'
F' D B' R2 D L B'
U' F' U F2 R' B U'
U F' R' F2 B U' F2
U F' R' B F2 U' F2
D' F' U F2 R' U' L'
U2 F' U R' F2 B U'
U2 F' U R' B F2 U'
U2 F' U F2 R' B U'
U F' U R' F2 B U'
U F' U R' B F2 U'
U F' U F2 R' B U'
F D' L2 D R' B U'
D F' B' D L R2 B'
D F' B' D L B' R2
D F' B' D R2 L B'
B D' F U' L' F2 B'
B D' F U' L' B' F2
L' F2 R' B U' F R
R' B L' U' F R F'
R' B R F R' U' F2
R' B U' R F' D R2
R' B D' F L' U' D
R' B D' F L' U' D'
R' B D' F L' U' D2
R' B D' F L' D U'
R' B D' F L' D' U'
R' B D' F L' D2 U'
R' B D' F D L' U'
R' B D' F D' L' U'
R' B D' F D2 L' U'
R' B D2 L' U' F R
R' B D2 F L' U' F
B' F R' B R' U' F2
R' B F U' R F' R'
R' B F U2 R U F'
D' B F U' L' F2 B'
D' B F U' L' B' F2
R' B F D2 L' U' F
F B' R' B R' U' F2
B' F' D L R2 B' L
B' F' D L B' L R2
B' F' D L B' R2 L
B' F' D R2 L B' L
B' F' D R2 B' L B'
F' B' D L R2 B' L
F' B' D L B' L R2
F' B' D L B' R2 L
F' B' D R2 L B' L
F' B' D R2 B' L B'
B' F' D B' L R2 B'
B' F' D B' L B' R2
B' F' D B' R2 L B'
D B' F' D L R2 B'
D B' F' D L B' R2
D B' F' D R2 L B'
F' B' D B' L R2 B'
F' B' D B' L B' R2
F' B' D B' R2 L B'
R' B2 D F B' L U'
R' B2 D B' F L U'
R' B2 D' F B' L' U'
R' B2 D' B' F L' U'
R' B2 F D B' L U'
