B' R' F2 U B'
F2 B' R' U B'
B' F2 R' U B'
B' R F2 R2 U B'
F2 R B' R' U B'
B' R' U D' B' L2
B' R' U B' D' L2
B' R' D' U B' L2
B' R' F2 U D B'
B' R' F2 U D' B'
B' R' F2 U D2 B'
B' R' F2 U B' D
B' R' F2 U B' D'
B' R' F2 U B' D2
B' R' F2 D U B'
B' R' F2 D' U B'
B' R' F2 D2 U B'
F2 R' B' R' U B'
F2 R2 B' R' U B'
B2 U' F2 B R' U
B2 U' B R' F2 U
B2 U' B F2 R' U
F2 D B' L2 R' U
F2 D B' R' L2 U
B' D' R' U B' L2
R' F2 B' R' U B'
R2 F2 B' R' U B'
R F2 B' R' U B'
B' F R' F U B'
R' B' R' F2 U B'
R2 B' R' F2 U B'
R B' R' F2 U B'
F2 B' R' U D B'
F2 B' R' U D' B'
F2 B' R' U D2 B'
F2 B' R' U B' D
F2 B' R' U B' D'
F2 B' R' U B' D2
F2 B' R' D U B'
F2 B' R' D' U B'
F2 B' R' D2 U B'
F B' R' F U B'
R' B' F2 R' U B'
R2 B' F2 R' U B'
F2 B' D R' U B'
F2 B' D' R' U B'
F2 B' D2 R' U B'
R B' F2 R' U B'
B' F2 R' U D B'
B' F2 R' U D' B'
B' F2 R' U D2 B'
B' F2 R' U B' D
B' F2 R' U B' D'
B' F2 R' U B' D2
B' F2 R' D U B'
B' F2 R' D' U B'
B' F2 R' D2 U B'
B' F2 D R' U B'
B' F2 D' R' U B'
B' F2 D2 R' U B'
F2 B' R' L2 U' F U2
F2 B' R' U R' B' R
F2 B' R' U R2 B' R2
F2 B' R' U D B' D
F2 B' R' U D B' D'
F2 B' R' U D B' D2
F2 B' R' U D' B' D
F2 B' R' U D' B' D'
F2 B' R' U D' B' D2
F2 B' R' U D2 B' D
F2 B' R' U D2 B' D'
F2 B' R' U D2 B' D2
D' B' D F2 R' U B2
F2 B' R' U B2 D B
F2 B' R' U B2 D' B
F2 B' R' U B2 D2 B
F2 B' R' U' F U2 B'
F2 B' R' U' F' U2 B'
F2 B' R' U' F2 U2 B'
F2 B' R' U2 R U' B'
F2 B' R' U2 R' U' B'
F2 B' R' U2 R2 U' B'
F2 B' R' D U B' D
F2 B' R' D U B' D'
F2 B' R' D U B' D2
D2 B' D' L2 R' F U
F2 B' R' D' U B' D
F2 B' R' D' U B' D'
F2 B' R' D' U B' D2
D2 B' D' L2 F R' U
F2 B' R' D2 U B' D
F2 B' R' D2 U B' D'
F2 B' R' D2 U B' D2
R' B' D' R' U B' L2
D2 B' D' R' L2 F U
F B' R F R2 U B'
F2 B' R2 D R U B'
F2 B' R2 D' R U B'
F2 B' R2 D2 R U B'
F B' R' D F U B'
F B' R' D' F U B'
F B' R' D2 F U B'
F B' R' F U D B'
F B' R' F U D' B'
F B' R' F U D2 B'
F B' R' F U B' D
F B' R' F U B' D'
F B' R' F U B' D2
F B' R' F D U B'
F B' R' F D' U B'
R2 B' D' R' U B' L2
F B' R' F D2 U B'
D B' D' R' F2 U B2
R' B' F R' F U B'
D B' D' F2 R' U B2
R B' D' R' U B' L2
U2 B' F R F U B'
B2 F' U' F' B R' U
B2 F' U' B F' R' U
R2 B' F R' F U B'
R' B' F2 R' U D B'
R' B' F2 R' U D' B'
R' B' F2 R' U D2 B'
R' B' F2 R' U B' D
R' B' F2 R' U B' D'
R' B' F2 R' U B' D2
R' B' F2 R' D U B'
R' B' F2 R' D' U B'
R' B' F2 R' D2 U B'
R' B' F2 D R' U B'
R' B' F2 D' R' U B'
R' B' F2 D2 R' U B'
B' F' D F' R' U B'
F2 B' D R' U D B'
F2 B' D R' U D' B'
F2 B' D R' U D2 B'
F2 B' D R' U B' D
F2 B' D R' U B' D'
F2 B' D R' U B' D2
F2 B' D R' D U B'
F2 B' D R' D' U B'
F2 B' D R' D2 U B'
F' B' D F' R' U B'
R B' F R' F U B'
R2 B' F2 R' U D B'
R2 B' F2 R' U D' B'
R2 B' F2 R' U D2 B'
R2 B' F2 R' U B' D
R2 B' F2 R' U B' D'
R2 B' F2 R' U B' D2
R2 B' F2 R' D U B'
R2 B' F2 R' D' U B'
R2 B' F2 R' D2 U B'
B' F' D' F' R' U B'
R2 B' F2 D R' U B'
R2 B' F2 D' R' U B'
R2 B' F2 D2 R' U B'
F2 B' D' R' U D B'
F2 B' D' R' U D' B'
F2 B' D' R' U D2 B'
F2 B' D' R' U B' D
F2 B' D' R' U B' D'
F2 B' D' R' U B' D2
F2 B' D' R' D U B'
F2 B' D' R' D' U B'
F2 B' D' R' D2 U B'
F' B' D' F' R' U B'
L B' F2 R' U B' R'
U B' F2 R' U F' B'
U B' F2 R' U B' F'
F B' D R' F U B'
B' F' D2 F' R' U B'
F B' D F R' U B'
R B' F2 R' U D B'
R B' F2 R' U D' B'
R B' F2 R' U D2 B'
R B' F2 R' U B' D
R B' F2 R' U B' D'
R B' F2 R' U B' D2
R B' F2 R' D U B'
R B' F2 R' D' U B'
R B' F2 R' D2 U B'
F2 B' D2 R' U D B'
F2 B' D2 R' U D' B'
F2 B' D2 R' U D2 B'
F2 B' D2 R' U B' D
F2 B' D2 R' U B' D'
F2 B' D2 R' U B' D2
F2 B' D2 R' D U B'
F2 B' D2 R' D' U B'
F2 B' D2 R' D2 U B'
F' B' D2 F' R' U B'
R B' F2 D R' U B'
R B' F2 D' R' U B'
R B' F2 D2 R' U B'
F B' D' R' F U B'
F B' D' F R' U B'
B2 F2 L B R' U B'
B' F2 L' D2 R' U B
F B' D2 R' F U B'
F2 B2 L B R' U B'
F B' D2 F R' U B'
B' F2 L2 R' U' F U2
B2 F2 L' B R' U B'
F2 B2 L' B R' U B'
B' F2 R U D' F2 B'
B' F2 R U D' B' F2
B' F2 R U B' D' F2
B' F2 R D' U F2 B'
B' F2 R D' U B' F2
B2 F2 L2 B R' U B'
F2 B2 L2 B R' U B'
B' F2 R' L2 U' F U2
B' F2 R' U R' B' R
B' F2 R' U R2 B' R2
B' F2 R' U D B' D
B' F2 R' U D B' D'
B' F2 R' U D B' D2
B' F2 R' U D' B' D
B' F2 R' U D' B' D'
B' F2 R' U D' B' D2
B' F2 R' U D2 B' D
B' F2 R' U D2 B' D'
B' F2 R' U D2 B' D2
B' F2 R' U B2 D B
B' F2 R' U B2 D' B
B' F2 R' U B2 D2 B
B' F2 R' U' F U2 B'
B' F2 R' U' F' U2 B'
B' F2 R' U' F2 U2 B'
B' F2 R' U2 R U' B'
B' F2 R' U2 R' U' B'
B' F2 R' U2 R2 U' B'
B' F2 R' D U B' D
B' F2 R' D U B' D'
B' F2 R' D U B' D2
B' F2 R' D' U B' D
B' F2 R' D' U B' D'
B' F2 R' D' U B' D2
B' F2 R' D2 U B' D
B' F2 R' D2 U B' D'
B' F2 R' D2 U B' D2
B' F2 R2 D R U B'
R' B2 U' F2 B R' U
R' B2 U' B R' F2 U
B' F2 R2 D' R U B'
R' B2 U' B F2 R' U
B' F2 R2 D2 R U B'
B F2 R B2 R' U B
R2 B2 U' F2 B R' U
R2 B2 U' B R' F2 U
R2 B2 U' B F2 R' U
F' B2 U' F' B R' U
F' B2 U' B F' R' U
R B2 U' F2 B R' U
R B2 U' B R' F2 U
R B2 U' B F2 R' U
B' F2 D R' U D B'
B' F2 D R' U D' B'
B' F2 D R' U D2 B'
B' F2 D R' U B' D
B' F2 D R' U B' D'
B' F2 D R' U B' D2
B' F2 D R' D U B'
B' F2 D R' D' U B'
B' F2 D R' D2 U B'
F B2 U' F B R' U
F B2 U' B R' F U
F B2 U' B F R' U
B' F2 D' R' U D B'
B' F2 D' R' U D' B'
B' F2 D' R' U D2 B'
B' F2 D' R' U B' D
B' F2 D' R' U B' D'
B' F2 D' R' U B' D2
B' F2 D' R' D U B'
B' F2 D' R' D' U B'
B' F2 D' R' D2 U B'
B' F2 D2 R' U D B'
B' F2 D2 R' U D' B'
B' F2 D2 R' U D2 B'
B' F2 D2 R' U B' D
B' F2 D2 R' U B' D'
B' F2 D2 R' U B' D2
B' F2 D2 R' D U B'
B' F2 D2 R' D' U B'
B' F2 D2 R' D2 U B'
