L B' U L R' F2
L B' U L F2 R'
L B' U R' L F2
L B' U R' F2 L
L B' U F2 L R'
L B' U F2 R' L
L B' L F2 R' D B2
F2 B D B2 L R' B'
F2 B D B2 R' L B'
F2 B D' B2 L R' B
F2 B D' B2 R' L B
L2 B' R' L F2 D' B2
L' B' R' F2 D' L B2
L B' R U L R2 F2
L B' R U L F2 R2
L B' R U R2 L F2
L B' R U R2 F2 L
L B' R U F2 L R2
L B' R U F2 R2 L
L B' R2 U L R F2
L B' R2 U R L F2
L B' R2 U R F2 L
L B' U L R F2 R2
L B' U L R' F2 D
L B' U L R' F2 D'
L B' U L R' F2 D2
L B' U L F R' F
L B' U L F2 R' D
L B' U L F2 R' D'
L B' U L F2 R' D2
L B' U L F2 D R'
L B' U L F2 D' R'
L B' U L F2 D2 R'
L B' U L' R' F2 L2
L B' U L' F2 L2 R'
L B' U L' F2 R' L2
L B' U R L F2 R2
L B' U R F2 L R2
L B' U R F2 R2 L
L B' U R' L F2 D
L B' U R' L F2 D'
L B' U R' L F2 D2
L B' U R' L' F2 L2
L B' U R' F' L F'
L B' U R' F2 L D
L B' U R' F2 L D'
L B' U R' F2 L D2
L B' U R' F2 D L
L B' U R' F2 D' L
L B' U R' F2 D2 L
L B' U F R' F L
L B' U F' L F' R'
L B' U F2 L R' D
L B' U F2 L R' D'
L B' U F2 L R' D2
L B' U F2 L D R'
L B' U F2 L D' R'
L B' U F2 L D2 R'
L B' U F2 R' L D
L B' U F2 R' L D'
L B' U F2 R' L D2
L B' U F2 R' D L
L B' U F2 R' D' L
L B' U F2 R' D2 L
L B' U F2 D L R'
L B' U F2 D R' L
L B' U F2 D' L R'
L B' U F2 D' R' L
L B' U F2 D2 L R'
L B' U F2 D2 R' L
L B' D R2 U L R
L B' D R2 U R L
L' B' F2 R' D' L B2
L2 B' F2 L R' D B2
L' B' F2 D' L R' B2
L' B' F2 D' R' L B2
L B' F U R' F L
L B' F U F L R'
L B' F U F R' L
L2 B' F2 R' L D B2
L2 B' F2 R' D L B2
L B' F' U L F' R'
L B' F' U F' L R'
L B' F' U F' R' L
D' B2 L2 R' B U' R'
D' B2 R' L2 B U' R'
D' B2 R' B L2 U' R'
B F2 D B2 L R' B'
B F2 D B2 R' L B'
B F2 D' B2 L R' B
B F2 D' B2 R' L B
