D L' F R' D B2
U R' D L' F B'
U R' D L' B' F
U D L' R' F B'
U D L' R' B' F
D U L' R' F B'
D U L' R' B' F
U D L' F R' B'
D U L' F R' B'
U D R' L' F B'
U D R' L' B' F
D U R' L' F B'
D U R' L' B' F
U D' L' R' B' D2 F2
D U' L' F R B R2
R2 D' U' L' R F' B
R2 D' U' L' R B F'
R2 D' U' R L' F' B
R2 D' U' R L' B F'
R2 D' U' R B L' F'
U' D' R L' F' B R2
D' U' R L' F' B R2
U' D' R L' B F' R2
D' U' R L' B F' R2
U' D' R B L' F' R2
D' U' R B L' F' R2
D U' R L' F B R2
D U' R L' B R2 F
D U' R L' B F R2
U D' R L' F' R2 B'
U D' R L' F' B' R2
U D' R L' B' F' R2
D U' R B L' R2 F
D U' R B L' F R2
D U' R B R2 L' F
D U' R' L' F D2 B2
U D' R' L' B' D2 F2
U D2 R' D' L' F B'
U D2 R' D' L' B' F
D F' L' U R' F L'
D F' L' U F L' R'
D F' L' U F R' L'
F2 D F2 L' R' F B
F2 D F2 L' R' B F
F2 D F2 L' F R' B
F2 D F2 R' L' F B
F2 D F2 R' L' B F
F2 D F2 R' B L' F
R' B R' U L' R B'
R' B R' U L' B' R
R' B R' U R L' B'
R2 B R' U L' R2 B'
R2 B R' U L' B' R2
R2 B R' U R2 L' B'
R B R' U L' R' B'
R B R' U R' L' B'
R2 B' L U' L2 R B
R2 B' L U' R L2 B
R2 B' L U' R B L2
R' B' U L U' L2 B'
