R F' U R U L
F D2 L D F2 B' R
F D2 L D B' F2 R
F D2 L B' D F2 R
U F2 D2 U L F B'
U F2 D2 U L B' F
F' D2 U R U L B'
F D2 U' L' U' L2 B'
F D2 U2 L D F2 B'
F D2 U2 L D B' F2
F D2 U2 L B' D F2
B2 F R' U' L' U' B
B2 F' R' U2 D' F2 B
B2 F' R' U2 D' B F2
B2 F' R' U2 B D' F2
B2 F' R' D B2 U2 B'
B2 F' R' D' U2 F2 B
B2 F' R' D' U2 B F2
R2 B2 R' F' U R U
D B2 R' B U L U
F' B2 R' U2 D' F2 B
F' B2 R' U2 D' B F2
F' B2 R' U2 B D' F2
F' B2 R' D B2 U2 B'
F' B2 R' D' U2 F2 B
F' B2 R' D' U2 B F2
F B2 R' U' L' U' B
R' B2 D R' B U2 B2
R2 B2 D R' F' B U2
R2 B2 D R' B F' U2
R B2 D F' R' B U2
R B2 F' R' U R2 U
R B2 F' R' U2 D' F2
R B2 F' R' D B2 U2
R B2 F' R' D' U2 F2
