F' L U L2 R' F2
F' L U L2 F2 R'
F' L U R' L2 F2
F' L U R' F2 L2
F' L U F2 L2 R'
F' L U F2 R' L2
F' L' R' F2 D' B2
F' L' F2 R' D' B2
F' L' F2 D' R' B2
F' R' L' F2 D' B2
R' F' L' F2 D' B2
L F' U L' R' F
L F' U L' F R'
L F' U R' L' F
F' L' F D' R' F B2
F' L' F D' R' B2 F
F' L' F D' F R' B2
F' L' F' D' F' R' B2
F' L' F2 R' U' L2 U
F' L' F2 R' D' B2 D
F' L' F2 R' D' B2 D'
F' L' F2 R' D' B2 D2
F' L' F2 R' B D' B2
F' L' F2 R' B' D' B2
F' L' F2 R' B2 D' B2
F' L' F2 R2 D' R B2
F' L' F2 R2 D' B2 R
F' L' F2 U' L2 U R'
F' L' F2 D R' D2 B2
F' L' F2 D' R B2 R2
F' L' F2 D' R' B2 D
F' L' F2 D' R' B2 D'
F' L' F2 D' R' B2 D2
F' L' F2 D' R2 B2 R
F' L' F2 B2 D' B2 R'
F' L' B2 F2 D' B2 R'
F' L2 F2 L R' D B2
F' L2 F2 R' L D B2
F' L2 F2 R' D L B2
F' R L U L2 R2 F2
F' R L U L2 F2 R2
F' R L U R2 L2 F2
F' R L U R2 F2 L2
F' R L U F2 L2 R2
F' R L U F2 R2 L2
F' R L' F2 R2 D' B2
R' U' L U F' L' F
R' U' R' F' L U F2
F' R' L F2 L2 D' B2
F' R' L' U' L2 U F2
F R' L D2 L2 D' B2
F' R' L' D' B2 D F2
F' R' L' F D' F B2
F' R' L' F D' B2 F
F' R' L' F' D' F' B2
F' R' L' F' D' B2 F'
F' R' L' F2 U' L2 U
F' R' L' F2 D' B2 D
F' R' L' F2 D' B2 D'
F' R' L' F2 D' B2 D2
F' R' L' F2 B D' B2
F' R' L' F2 B' D' B2
F' R' L' F2 B2 D' B2
F' R' L' B F2 D' B2
F' R' L' B' F2 D' B2
F' R' L' B2 F2 D' B2
F R' L' D' B2 D' L2
F R' L' D2 L2 D B2
R' U' F2 L U F' L'
F' R' U' L U L2 F2
F' R' U' L U F2 L2
F R' U D B2 R' U'
U' R' U' F' L U F2
F R' U' L U D2 L2
F R' U' L U' R2 U2
F R' U' L D' F2 U
F R' U' L D2 U L2
F R' U' D' L F2 U
F R' U' D' F2 L U
F R' U' D2 L U L
F' R' D L' D' F2 B2
F' R' D L' D' B2 F2
F R' U2 R2 U L U
F R' D U B2 R' U'
F R' D' L' D' L2 B2
F R' D' L' D' B2 L2
F R' D' U' L F2 U
F R' D' U' F2 L U
F R' D2 L' D' L' B2
F R' D2 L' D' B2 L'
F R' D2 L2 U' L' U
U' R' F L' D' L2 B2
U' R' F L' D' B2 L2
F R' D2 U' L U L
U' R' F U' L F2 U
U' R' F U' F2 L U
U2 R' F U' L F U
D2 R' F' L' F2 D' B2
D' R' F' L' F2 D' B2
U2 R' F B D L B'
D R' F' L' F2 D' B2
U2 R' B D F L B'
U2 R' B F D L B'
F' R2 L U L2 R F2
F' R2 L U R L2 F2
F' R2 L U R F2 L2
F R2 L' D' B2 L R
F R2 L' D' B2 R L
F R2 B2 L R D B2
F' U L U L2 R' F2
F' U L U L2 F2 R'
F' U L U R' L2 F2
F' U L U R' F2 L2
F' U L U F2 L2 R'
F' U L U F2 R' L2
F R2 B2 R L D B2
F R2 B2 R D L B2
F' U L' R' F2 D' B2
F' U L' F2 R' D' B2
F' U L' F2 D' R' B2
R' D F' L' F2 D' B2
L D F' R U L' R2
L D F' R U R2 L'
F' U R' L' F2 D' B2
F' U' L U L2 R' F2
F' U' L U L2 F2 R'
F' U' L U R' L2 F2
F' U' L U R' F2 L2
F' U' L U F2 L2 R'
F' U' L U F2 R' L2
F' U' L' R' F2 D' B2
F U' L U R' D2 L2
F U' L U' R U2 R2
F' U' L' F2 R' D' B2
F' U' L' F2 D' R' B2
R' D' F' L' F2 D' B2
F U' L F2 U L' R'
F U' L F2 U R' L'
F' U' R' L' F2 D' B2
F U' F2 L U L2 R'
F U' F2 L U R' L2
F' U2 L U L2 R' F2
F' U2 L U L2 F2 R'
F' U2 L U R' L2 F2
F' U2 L U R' F2 L2
F' U2 L U F2 L2 R'
F' U2 L U F2 R' L2
F' U2 L' R' F2 D' B2
F' U2 L' F2 R' D' B2
F' U2 L' F2 D' R' B2
R' D2 F' L' F2 D' B2
F' U2 R' L' F2 D' B2
F U2 R U L U R2
U F L F U F' R'
R F L' R2 D' B2 L
U' F R' U' L F' U
U' F R' U' F' L U
U2 F R' U' L F U
U2 F R' B D L B'
R' F U' L U' R U2
R' F U' L F2 U L'
R F R2 L' D' B2 L
R' F U' F2 L U L2
U2 F U' L F U R'
F' D L R2 U L2 R
F' D L R2 U R L2
R' F U2 R U L U
L F U F2 L' R' F
L F U F2 L' F R'
L F U F2 R' L' F
F' D L' D' R' F2 B2
F' D L' D' R' B2 F2
F' D L' D' F2 R' B2
F' D R2 L U L2 R
F' D R2 L U R L2
U2 F B D L B' R'
D' F' L U L2 R' F2
D' F' L U L2 F2 R'
D2 F' L U L2 R' F2
D' F' L U R' L2 F2
D2 F' L U L2 F2 R'
D' F' L U R' F2 L2
D2 F' L U R' L2 F2
D2 F' L U R' F2 L2
D' F' L U F2 L2 R'
D' F' L U F2 R' L2
D2 F' L U F2 L2 R'
D2 F' L U F2 R' L2
R' F' L F2 L2 D' B2
D' F' L' R' F2 D' B2
D2 F' L' R' F2 D' B2
R' F' L' U' L2 U F2
R' F' L' D' B2 D F2
D F' L U L2 R' F2
D F' L U L2 F2 R'
R' F' L' F D' F B2
R' F' L' F D' B2 F
D F' L U R' L2 F2
D F' L U R' F2 L2
D F' L U F2 L2 R'
D F' L U F2 R' L2
R' F' L' F' D' F' B2
R' F' L' F' D' B2 F'
R' F' L' F2 U' L2 U
R' F' L' F2 D' B2 D
R' F' L' F2 D' B2 D'
R' F' L' F2 D' B2 D2
R' F' L' F2 B D' B2
R' F' L' F2 B' D' B2
R' F' L' F2 B2 D' B2
D' F' L' F2 R' D' B2
D2 F' L' F2 R' D' B2
R' F' L' B F2 D' B2
D' F' L' F2 D' R' B2
D2 F' L' F2 D' R' B2
R' F' L' B' F2 D' B2
R' F' L' B2 F2 D' B2
R F' L U L2 R2 F2
R F' L U L2 F2 R2
R F' L U R2 L2 F2
R F' L U R2 F2 L2
R F' L U F2 L2 R2
R F' L U F2 R2 L2
U F' L F U R' F
U F' L F U F R'
D F' L' R' F2 D' B2
D F' L' F2 R' D' B2
D F' L' F2 D' R' B2
R F' L' R2 F2 D' B2
R F' L' F2 R2 D' B2
D2 F' R' L' F2 D' B2
D' F' R' L' F2 D' B2
L F' R U L' R2 F
L F' R U L' F R2
L F' R U R2 L' F
D F' R' L' F2 D' B2
R' F' U' L U L2 F2
R' F' U' L U F2 L2
L F' R2 U L' R F
L F' R2 U R L' F
R F' R2 L' F2 D' B2
L F' U L' R F R2
L F' U L' R' D F
L F' U L' R' D' F
L F' U L' R' D2 F
L F' U L' R' F D
L F' U L' R' F D'
L F' U L' R' F D2
L F' U L' D R' F
L F' U L' D F R'
L F' U L' D' R' F
L F' U L' D' F R'
L F' U L' D2 R' F
L F' U L' D2 F R'
L F' U L' F R' D
L F' U L' F R' D'
L F' U L' F R' D2
L F' U L' F D R'
L F' U L' F D' R'
L F' U L' F D2 R'
L F' U L' F' R' F2
L F' U R L' F R2
L F' U R' L' D F
L F' U R' L' D' F
L F' U R' L' D2 F
L F' U R' L' F D
L F' U R' L' F D'
L F' U R' L' F D2
R' F' D L' D' F2 B2
R' F' D L' D' B2 F2
U' F2 L U F' L' R'
U' F2 L U F' R' L'
U F2 L F U R' F2
U F2 L F U F2 R'
L F2 U L' R' F L'
L F2 U L' F L' R'
L F2 U L' F R' L'
L F2 U R' L' F L'
L F2 U R' F L' F
L F2 U F L' R' F
L F2 U F L' F R'
L F2 U F R' L' F
U2 B D F L B' R'
U2 B F D L B' R'
