B2 R' F' B' U
B2 R' B' F' U
U2 L U2 F B U
U2 L U2 B F U
B2 R' D F' B' U
B2 R' D B' F' U
B2 R' D' F' B' U
B2 R' D' B' F' U
B2 R' D2 F' B' U
B2 R' D2 B' F' U
B R' D2 F' R U
B R' D2 F' R U
B2 R' F' D B' U
B2 R' F' D B' U
B2 R' F' D' B' U
B2 R' F' D2 B' U
B2 R' F' B' U D
B2 R' F' B' U D'
B2 R' F' B' U D2
B2 R' F' B' D U
B2 R' F' B' D' U
B2 R' F' B' D2 U
B2 R' B' D F' U
B2 R' B' D' F' U
B2 R' B' D2 F' U
B2 R' B' F' U D
B2 R' B' F' U D'
B2 R' B' F' U D2
B2 R' B' F' D U
B2 R' B' F' D' U
B2 R' B' F' D2 U
B2 R2 B' R F' U
B U D F' L' F
B U F' D L' F
B U2 L' B' L U'
B2 D R' F' B' U
B2 D R' B' F' U
B D U F' L' F
R' F' U2 L F U'
B2 D' R' F' B' U
B2 D' R' B' F' U
B2 D2 R' F' B' U
B2 D2 R' B' F' U
B D2 R' F' R U
B2 F R' F' B' U
B2 F R' B' F' U
B2 F' R' F' B' U
B2 F' R' B' F' U
D2 B2 R' F' B' U
D2 B2 R' B' F' U
D' B2 R' F' B' U
D' B2 R' B' F' U
D B2 R' F' B' U
F' B2 R' F' B' U
D B2 R' B' F' U
F' B2 R' B' F' U
B2 F2 R' F' B' U
F2 B2 R' F' B' U
B2 F2 R' B' F' U
F2 B2 R' B' F' U
F B2 R' F' B' U
F B2 R' B' F' U
B2 R' F2 D' B' F U
B2 R' F2 D2 F B' U
B2 R' F2 D2 B' F U
B2 R' F2 B' D F U
B2 R' F2 B' D' F U
B2 R' F2 B' D2 F U
B2 R' B D' F' U R2
B2 R' B F' U D' R2
B2 R' B F' D' U R2
B2 R' B' L' F' L U
B2 R' B' L2 F' L2 U
B R' B F' R' B' U
B2 R' B' D F' U D
B2 R' B' D F' U D'
B2 R' B' D F' U D2
B2 R' B' D F' D U
B2 R' B' D F' D' U
B2 R' B' D F' D2 U
B' R' B' F' R' B' U
B2 R' B' D' F' U D
B2 R' B' D' F' U D'
B2 R' B' D' F' U D2
B2 R' B' D' F' D U
B2 R' B' D' F' D' U
B2 R' B' D' F' D2 U
B2 R' B' D2 F' U D
B2 R' B' D2 F' U D'
B2 R' B' D2 F' U D2
B2 R' B' D2 F' D U
B2 R' B' D2 F' D' U
B2 R' B' D2 F' D2 U
B2 R' B' F U D' L2
B2 R' B' F D' U L2
B2 R' B' F2 D F U
B2 R' B' F2 D' F U
B2 R' B' F2 D2 F U
R U2 D L B U' R'
B' R' B2 D2 F' R U
B2 R' B2 D F' B U
B2 R' B2 D B F' U
B2 R' B2 D' F' B U
B2 R' B2 D' B F' U
B2 R' B2 D2 F' B U
B2 R' B2 D2 B F' U
B2 R' B2 F' D B U
B2 R' B2 F' D' B U
B2 R' B2 F' D2 B U
R2 U2 D2 L F' B' U'
R2 U2 D2 L B' F' U'
R2 U2 D2 F' L B' U'
R2 U2 F' D2 L B' U'
L U2 B L F L2 U
L U2 B L' U2 B' U'
B2 R2 D R B' U L
B2 R2 D B' R U L
B2 R2 B R F' B2 U
B2 R2 B R B2 F' U
B2 R2 B' R D F' U
B2 R2 B' R D' F' U
B2 R2 B' R D2 F' U
B2 R2 B' R F' U D
B2 R2 B' R F' U D'
B2 R2 B' R F' U D2
B2 R2 B' R F' D U
B2 R2 B' R F' D' U
B2 R2 B' R F' D2 U
U2 D L U2 F B U
U2 D L U2 B F U
B U L D F' L' F
B U L F' D L' F
R D U2 L B U' R'
B U L' D F' L' F
R' D F' U2 L F U'
B U L' F' D L' F
B U L2 D F' L' F
B' U R D' R2 F' L'
B U L2 F' D L' F
B' U R' D' F' L' R2
B' U R' D' F' R2 L'
B' U R' F' L' D' R2
B' U R' F' D' L' R2
B' U R' F' D' R2 L'
B U R' D' R F' L'
B U D L' F' L' F2
B' U D' R' F' L' R'
B' U D' R' F' R' L'
B U D F' L' D F
B U D F' L' D' F
B U D F' L' D2 F
B U D F' L' F D
B U D F' L' F D'
B U D F' L' F D2
B U D F2 L' F L'
B U D' R F' L' R'
B U D' R F' R' L'
B U D' F' D2 L' F
B U F D F2 L' F
B U F' D L' D F
B U F' D L' D' F
B U F' D L' D2 F
B U F' D L' F D
B U F' D L' F D'
B U F' D L' F D2
U2 D' L U2 F B U
U2 D' L U2 B F U
R' D' F' U2 L F U'
B U' D' R U2 F' L'
B U' D' R' B U2 L
B U' D' B' R' B U2
D' U2 L U2 F B U
D' U2 L U2 B F U
D2 U2 L U2 F B U
D2 U2 L U2 B F U
U2 D2 L U2 F B U
U2 D2 L U2 B F U
D U2 L U2 F B U
D U2 L U2 B F U
B U' B U R' U L
B U' B' R' U' L U'
F' U2 L U2 F B U
F' U2 L U2 B F U
F2 U2 L U2 F B U
F2 U2 L U2 B F U
R2 D2 U2 L F' B' U'
R2 D2 U2 L B' F' U'
R2 D2 U2 F' L B' U'
F U2 L U2 F B U
F U2 L U2 B F U
R' D2 F' U2 L F U'
B U2 L' B' L U' D
B U2 L' B' L U' D'
B U2 L' B' L U' D2
B U2 L' B' L D U'
B U2 L' B' L D' U'
B U2 L' B' L D2 U'
B U2 L' B' D L U'
B U2 L' B' D' L U'
B U2 L' B' D2 L U'
B U2 L2 B' L B' U'
B U2 D L' B' U' F
U2 F L U2 F B U
U2 F L U2 B F U
B U2 B U2 R' F' U
B U2 B' L U2 F U
B U2 B' L' B' L2 U'
L F U2 B L F U
B2 D R' D F' B' U
B2 D R' D B' F' U
B2 D R' D' F' B' U
B2 D R' D' B' F' U
B2 D R' D2 F' B' U
B2 D R' D2 B' F' U
B2 D R' F' D B' U
B2 D R' F' D' B' U
B2 D R' F' D2 B' U
B2 D R' F' B' U D
B2 D R' F' B' U D'
B2 D R' F' B' U D2
B2 D R' F' B' D U
B2 D R' F' B' D' U
B2 D R' F' B' D2 U
B2 D R' B' D F' U
B2 D R' B' D' F' U
B2 D R' B' D2 F' U
B2 D R' B' F' U D
B2 D R' B' F' U D'
B2 D R' B' F' U D2
B2 D R' B' F' D U
B2 D R' B' F' D' U
B2 D R' B' F' D2 U
B D R' D F' R U
B2 D R2 B' R F' U
D' F B2 R' F' B' U
D2 F B2 R' F' B' U
D' F B2 R' B' F' U
D2 F B2 R' B' F' U
B D U L' F' L' F2
B D U F' L' D F
B D U F' L' D' F
B D U F' L' D2 F
B D U F' L' F D
B D U F' L' F D'
B D U F' L' F D2
D F B2 R' F' B' U
D F B2 R' B' F' U
B D U F2 L' F L'
U2 F' L U2 F B U
U2 F' L U2 B F U
B D U2 L' B' U' F
B2 D F R' F' B' U
B2 D F R' B' F' U
B2 D F' R' F' B' U
B2 D F' R' B' F' U
B D F U F' L' F
R' F' R B2 R' B' U
R' F' R' U2 L F' U'
B2 D F2 R' F' B' U
B2 D F2 R' B' F' U
R' F' R' U2 F' L U'
B D F' U F' L' F
B D F2 U F' L' F
R' F' R2 B2 R' B U
F' D B2 R' F' B' U
F' D B2 R' B' F' U
F2 D B2 R' F' B' U
F2 D B2 R' B' F' U
R' F' U2 L D F U'
R' F' U2 L D' F U'
R' F' U2 L D2 F U'
R' F' U2 L F U' D
R' F' U2 L F U' D'
R' F' U2 L F U' D2
R' F' U2 L F D U'
R' F' U2 L F D' U'
R' F' U2 L F D2 U'
R' F' U2 D L F U'
R' F' U2 D' L F U'
R' F' U2 D2 L F U'
R' F' U2 F L F U'
R' F' U2 F' L F U'
R' F' U2 F2 L F U'
F D B2 R' F' B' U
F D B2 R' B' F' U
R' F' D U2 L F U'
R' F' D' U2 L F U'
R' F' D2 U2 L F U'
R' F' B R B R' U
B' D' R' F' U R' F'
B D' R U2 B U' F'
B2 D' R' D F' B' U
B2 D' R' D B' F' U
B2 D' R' D' F' B' U
B2 D' R' D' B' F' U
B2 D' R' D2 F' B' U
B2 D' R' D2 B' F' U
B2 D' R' F' D B' U
B2 D' R' F' D' B' U
B2 D' R' F' D2 B' U
B2 D' R' F' B' U D
B2 D' R' F' B' U D'
B2 D' R' F' B' U D2
B2 D' R' F' B' D U
B2 D' R' F' B' D' U
B2 D' R' F' B' D2 U
B2 D' R' B' D F' U
B2 D' R' B' D' F' U
B2 D' R' B' D2 F' U
B2 D' R' B' F' U D
B2 D' R' B' F' U D'
B2 D' R' B' F' U D2
B2 D' R' B' F' D U
B2 D' R' B' F' D' U
B2 D' R' B' F' D2 U
B D' R' F' R2 U F'
B D' R' F' U' B U2
B' D' U R' F' L' R'
B' D' U R' F' R' L'
B2 D' R2 B' R F' U
R' F' B2 R B R2 U
R' F' B2 R' U2 F' U'
D2 F' B2 R' F' B' U
D2 F' B2 R' B' F' U
D' F' B2 R' F' B' U
D' F' B2 R' B' F' U
B D' U R F' L' R'
B D' U R F' R' L'
D F' B2 R' F' B' U
D F' B2 R' B' F' U
B D' U F' D2 L' F
U2 F2 L U2 F B U
U2 F2 L U2 B F U
B D' U' R U2 F' L'
B D' U' R' B U2 L
B D' U' B' R' B U2
B2 D' F R' F' B' U
B2 D' F R' B' F' U
B2 D' F' R' F' B' U
B2 D' F' R' B' F' U
B2 D' F2 R' F' B' U
B2 D' F2 R' B' F' U
L F2 R D B U' R'
B' D' B' R' F' U R'
F' D' B2 R' F' B' U
F' D' B2 R' B' F' U
F2 D' B2 R' F' B' U
F2 D' B2 R' B' F' U
L F2 R2 F' R' B U'
F D' B2 R' F' B' U
F D' B2 R' B' F' U
B2 D2 R' D F' B' U
B2 D2 R' D B' F' U
B2 D2 R' D' F' B' U
B2 D2 R' D' B' F' U
B2 D2 R' D2 F' B' U
B2 D2 R' D2 B' F' U
B2 D2 R' F' D B' U
B2 D2 R' F' D' B' U
B2 D2 R' F' D2 B' U
B2 D2 R' F' B' U D
B2 D2 R' F' B' U D'
B2 D2 R' F' B' U D2
B2 D2 R' F' B' D U
B2 D2 R' F' B' D' U
B2 D2 R' F' B' D2 U
B2 D2 R' B' D F' U
B2 D2 R' B' D' F' U
B2 D2 R' B' D2 F' U
B2 D2 R' B' F' U D
B2 D2 R' B' F' U D'
B2 D2 R' B' F' U D2
B2 D2 R' B' F' D U
B2 D2 R' B' F' D' U
B2 D2 R' B' F' D2 U
B D2 R' F' R U D
B D2 R' F' R U D'
B D2 R' F' R U D2
B D2 R' F' R D U
B D2 R' F' R D' U
B D2 R' F' R D2 U
B D2 R' F' D R U
B D2 R' F' D' R U
B D2 R' F' D2 R U
B2 D2 R2 B' R F' U
D2 F2 B2 R' F' B' U
D2 F2 B2 R' B' F' U
D' F2 B2 R' F' B' U
D' F2 B2 R' B' F' U
B D2 R2 F' R F' U
D F2 B2 R' F' B' U
D F2 B2 R' B' F' U
B2 D2 F R' F' B' U
B2 D2 F R' B' F' U
B2 D2 F' R' F' B' U
B2 D2 F' R' B' F' U
B D2 F U2 L' B' U'
R' B R B R' F' U
B D2 F' R U2 B U'
B D2 F' R' F' R2 U
B2 D2 F2 R' F' B' U
B2 D2 F2 R' B' F' U
D2 B R' D2 F' R U
D' B R' D2 F' R U
D B R' D2 F' R U
D2 B U D F' L' F
D' B U D F' L' F
D2 B U F' D L' F
D' B U F' D L' F
F' D2 B2 R' F' B' U
F' D2 B2 R' B' F' U
R2 B R2 B R' F' U
F2 D2 B2 R' F' B' U
F2 D2 B2 R' B' F' U
D B U D F' L' F
D2 B U2 L' B' L U'
D' B U2 L' B' L U'
D B U F' D L' F
F D2 B2 R' F' B' U
F D2 B2 R' B' F' U
D2 B D U F' L' F
D' B D U F' L' F
D B U2 L' B' L U'
D B D U F' L' F
D2 B D2 R' F' R U
D' B D2 R' F' R U
R' B D2 F' R B U
F' B R' D2 F' R U
B2 F R' D F' B' U
B2 F R' D B' F' U
B2 F R' D' F' B' U
B2 F R' D' B' F' U
B2 F R' D2 F' B' U
B2 F R' D2 B' F' U
F2 B R' D2 F' R U
B2 F R' F' D B' U
B2 F R' F' D' B' U
B2 F R' F' D2 B' U
B2 F R' F' B' U D
B2 F R' F' B' U D'
B2 F R' F' B' U D2
B2 F R' F' B' D U
B2 F R' F' B' D' U
B2 F R' F' B' D2 U
D B D2 R' F' R U
B2 F R' B' D F' U
B2 F R' B' D' F' U
B2 F R' B' D2 F' U
B2 F R' B' F' U D
B2 F R' B' F' U D'
B2 F R' B' F' U D2
B2 F R' B' F' D U
B2 F R' B' F' D' U
B2 F R' B' F' D2 U
R' B F' R B R' U
B F R' D2 F' R U
B2 F R2 B' R F' U
F B R' D2 F' R U
F' B U D F' L' F
F' B U F' D L' F
F2 B U D F' L' F
F2 B U F' D L' F
B F U D F' L' F
B F U F' D L' F
F B U D F' L' F
F' B U2 L' B' L U'
F B U F' D L' F
F2 B U2 L' B' L U'
B F U2 L' B' L U'
F' B D U F' L' F
B2 F D R' F' B' U
B2 F D R' B' F' U
F2 B D U F' L' F
F B U2 L' B' L U'
B2 F D' R' F' B' U
L2 B' L2 B2 R' F' U
B2 F D' R' B' F' U
B F D U F' L' F
L B' L' B2 R' F' U
F B D U F' L' F
F' B D2 R' F' R U
B2 F D2 R' F' B' U
B2 F D2 R' B' F' U
F2 B D2 R' F' R U
B F D2 R' F' R U
F B D2 R' F' R U
B2 F' R' D F' B' U
B2 F' R' D B' F' U
B2 F' R' D' F' B' U
B2 F' R' D' B' F' U
B2 F' R' D2 F' B' U
B2 F' R' D2 B' F' U
B2 F' R' F' D B' U
B2 F' R' F' D' B' U
B2 F' R' F' D2 B' U
B2 F' R' F' B' U D
B2 F' R' F' B' U D'
B2 F' R' F' B' U D2
B2 F' R' F' B' D U
B2 F' R' F' B' D' U
B2 F' R' F' B' D2 U
B2 F' R' B' D F' U
B2 F' R' B' D' F' U
B2 F' R' B' D2 F' U
B2 F' R' B' F' U D
B2 F' R' B' F' U D'
B2 F' R' B' F' U D2
B2 F' R' B' F' D U
B2 F' R' B' F' D' U
B2 F' R' B' F' D2 U
B F' R' D2 F' R U
B2 F' R2 B' R F' U
B F' U D F' L' F
B F' U F' D L' F
L B' D2 F2 R B U'
B F' U2 L' B' L U'
B2 F' D R' F' B' U
B2 F' D R' B' F' U
B2 F' D' R' F' B' U
B2 F' D' R' B' F' U
B F' D U F' L' F
B2 F' D2 R' F' B' U
B2 F' D2 R' B' F' U
B F' D2 R' F' R U
D2 B2 R' D F' B' U
D2 B2 R' D B' F' U
D2 B2 R' D' F' B' U
D2 B2 R' D' B' F' U
D2 B2 R' D2 F' B' U
D2 B2 R' D2 B' F' U
D' B2 R' D F' B' U
D' B2 R' D B' F' U
D' B2 R' D' F' B' U
D' B2 R' D' B' F' U
D2 B2 R' F' D B' U
D2 B2 R' F' D' B' U
D2 B2 R' F' D2 B' U
D2 B2 R' F' B' U D
D2 B2 R' F' B' U D'
D2 B2 R' F' B' U D2
D2 B2 R' F' B' D U
D2 B2 R' F' B' D' U
D2 B2 R' F' B' D2 U
D' B2 R' D2 F' B' U
D' B2 R' D2 B' F' U
D' B2 R' F' D B' U
D' B2 R' F' D' B' U
D' B2 R' F' D2 B' U
D' B2 R' F' B' U D
D' B2 R' F' B' U D'
D' B2 R' F' B' U D2
D' B2 R' F' B' D U
D' B2 R' F' B' D' U
D' B2 R' F' B' D2 U
D2 B2 R' B' D F' U
D2 B2 R' B' D' F' U
D2 B2 R' B' D2 F' U
D2 B2 R' B' F' U D
D2 B2 R' B' F' U D'
D2 B2 R' B' F' U D2
D2 B2 R' B' F' D U
D2 B2 R' B' F' D' U
D2 B2 R' B' F' D2 U
D' B2 R' B' D F' U
D' B2 R' B' D' F' U
D' B2 R' B' D2 F' U
D' B2 R' B' F' U D
D' B2 R' B' F' U D'
D' B2 R' B' F' U D2
D' B2 R' B' F' D U
D' B2 R' B' F' D' U
D' B2 R' B' F' D2 U
D2 B2 R2 B' R F' U
U' B2 U R' B' U L
D' B2 R2 B' R F' U
D B2 R' D F' B' U
D B2 R' D B' F' U
D B2 R' D' F' B' U
D B2 R' D' B' F' U
D B2 R' D2 F' B' U
D B2 R' D2 B' F' U
D B2 R' F' D B' U
D B2 R' F' D' B' U
D B2 R' F' D2 B' U
D B2 R' F' B' U D
D B2 R' F' B' U D'
D B2 R' F' B' U D2
D B2 R' F' B' D U
D B2 R' F' B' D' U
D B2 R' F' B' D2 U
D B2 R' B' D F' U
D B2 R' B' D' F' U
D B2 R' B' D2 F' U
D B2 R' B' F' U D
D B2 R' B' F' U D'
D B2 R' B' F' U D2
D B2 R' B' F' D U
D B2 R' B' F' D' U
D B2 R' B' F' D2 U
F' B2 R' D F' B' U
F' B2 R' D B' F' U
F' B2 R' D' F' B' U
F' B2 R' D' B' F' U
F' B2 R' D2 F' B' U
F' B2 R' D2 B' F' U
B2 F2 R' D F' B' U
B2 F2 R' D B' F' U
F' B2 R' F' D B' U
F' B2 R' F' D' B' U
D B2 R2 B' R F' U
F' B2 R' F' D2 B' U
B2 F2 R' D' F' B' U
F' B2 R' F' B' U D
F' B2 R' F' B' U D'
F' B2 R' F' B' U D2
F' B2 R' F' B' D U
F' B2 R' F' B' D' U
F' B2 R' F' B' D2 U
B2 F2 R' D' B' F' U
B2 F2 R' D2 F' B' U
F2 B2 R' D F' B' U
B2 F2 R' D2 B' F' U
F2 B2 R' D B' F' U
F2 B2 R' D' F' B' U
F2 B2 R' D' B' F' U
R B2 R' B U D L2
R B2 R' B U2 B2 U'
R B2 R' B D U L2
R B2 R' B D2 F2 U
F' B2 R' B' D F' U
F' B2 R' B' D' F' U
F' B2 R' B' D2 F' U
B2 F2 R' F' D B' U
B2 F2 R' F' D' B' U
F' B2 R' B' F' U D
F' B2 R' B' F' U D'
F' B2 R' B' F' U D2
F' B2 R' B' F' D U
F' B2 R' B' F' D' U
F' B2 R' B' F' D2 U
B2 F2 R' F' D2 B' U
F2 B2 R' D2 F' B' U
B2 F2 R' F' B' U D
B2 F2 R' F' B' U D'
B2 F2 R' F' B' U D2
B2 F2 R' F' B' D U
B2 F2 R' F' B' D' U
B2 F2 R' F' B' D2 U
F2 B2 R' D2 B' F' U
F2 B2 R' F' D B' U
F2 B2 R' F' D' B' U
F2 B2 R' F' D2 B' U
F2 B2 R' F' B' U D
F2 B2 R' F' B' U D'
F2 B2 R' F' B' U D2
F2 B2 R' F' B' D U
F2 B2 R' F' B' D' U
F2 B2 R' F' B' D2 U
B2 F2 R' B' D F' U
B2 F2 R' B' D' F' U
B2 F2 R' B' D2 F' U
B2 F2 R' B' F' U D
B2 F2 R' B' F' U D'
B2 F2 R' B' F' U D2
B2 F2 R' B' F' D U
B2 F2 R' B' F' D' U
B2 F2 R' B' F' D2 U
F2 B2 R' B' D F' U
F2 B2 R' B' D' F' U
F2 B2 R' B' D2 F' U
F2 B2 R' B' F' U D
F2 B2 R' B' F' U D'
F2 B2 R' B' F' U D2
F2 B2 R' B' F' D U
F2 B2 R' B' F' D' U
F2 B2 R' B' F' D2 U
B F2 R' D2 F' R U
F' B2 R2 B' R F' U
B2 F2 R2 B' R F' U
F2 B2 R2 B' R F' U
F B2 R' D F' B' U
F B2 R' D B' F' U
F B2 R' D' F' B' U
F B2 R' D' B' F' U
F B2 R' D2 F' B' U
F B2 R' D2 B' F' U
U2 B2 U2 R' F' B' U
U2 B2 U2 R' B' F' U
D2 B2 D R' F' B' U
D2 B2 D R' B' F' U
F B2 R' F' D B' U
F B2 R' F' D' B' U
F B2 R' F' D2 B' U
F B2 R' F' B' U D
F B2 R' F' B' U D'
F B2 R' F' B' U D2
F B2 R' F' B' D U
F B2 R' F' B' D' U
F B2 R' F' B' D2 U
D' B2 D R' F' B' U
D' B2 D R' B' F' U
F B2 R' B' D F' U
F B2 R' B' D' F' U
F B2 R' B' D2 F' U
F B2 R' B' F' U D
F B2 R' B' F' U D'
F B2 R' B' F' U D2
F B2 R' B' F' D U
F B2 R' B' F' D' U
F B2 R' B' F' D2 U
D2 B2 D' R' F' B' U
D2 B2 D' R' B' F' U
D' B2 D' R' F' B' U
D' B2 D' R' B' F' U
B F2 U D F' L' F
F B2 R2 B' R F' U
B F2 U F' D L' F
D B2 D R' F' B' U
D B2 D R' B' F' U
D2 B2 D2 R' F' B' U
D2 B2 D2 R' B' F' U
D' B2 D2 R' F' B' U
D' B2 D2 R' B' F' U
D B2 D' R' F' B' U
D B2 D' R' B' F' U
F' B2 D R' F' B' U
F' B2 D R' B' F' U
B F2 U2 L' B' L U'
D2 B2 F R' F' B' U
D2 B2 F R' B' F' U
B2 F2 D R' F' B' U
B2 F2 D R' B' F' U
D' B2 F R' F' B' U
D' B2 F R' B' F' U
F2 B2 D R' F' B' U
F2 B2 D R' B' F' U
D B2 D2 R' F' B' U
R' B2 F' R B R2 U
D B2 D2 R' B' F' U
R' B2 F' R' U2 F' U'
D2 B2 F' R' F' B' U
D2 B2 F' R' B' F' U
F' B2 D' R' F' B' U
F' B2 D' R' B' F' U
D' B2 F' R' F' B' U
D' B2 F' R' B' F' U
B2 F2 D' R' F' B' U
