B' L2 U' B R2
R2 U B' L2 U'
U B' L2 U' R2
L2 R2 U' F U F'
R2 L2 U' F U F'
B' L2 U' B R2 D
B' L2 U' B R2 D'
B' L2 U' B R2 D2
B' L2 U' B' R2 B2
B' L2 U' B2 R2 B'
U L2 U2 F U R2
B' L2 D' F2 U' B
B' L2 F U' B R2
B' L2 F U' B R2
R2 U L2 U2 F U
B' L2 F' U' B R2
B' L2 F2 U' B R2
B2 L2 B U' B R2
R2 U D B' U' F2
R2 U B L2 B2 U'
R2 U B' L2 U' D
R2 U B' L2 U' D'
R2 U B' L2 U' D2
R2 U B' L2 D U'
R2 U B' L2 D' U'
R2 U B' L2 D2 U'
R2 U B' U' D F2
R2 U B' D U' F2
R U B' L2 U' R
R2 U B2 L2 B U'
L2 U' F U F' R2
L2 U2 F U R2 B
F' R2 U B' L2 U'
F2 R2 U B' L2 U'
F R2 U B' L2 U'
B R2 D F2 B' L2
B R2 D B' L2 F2
B R2 D B' F2 L2
R2 D U B' U' F2
R2 D F2 U B' U'
F' U B' L2 U' R2
F2 U B' L2 U' R2
F U B' L2 U' R2
B' U' B R2 D F2
R2 F U B' L2 U'
U F B' L2 U' R2
U F B' L2 U' R2
R2 F' U B' L2 U'
U F' B' L2 U' R2
R2 F2 U B' L2 U'
U F2 B' L2 U' R2
U B L2 B2 U' R2
B' F L2 U' B R2
R2 B D F2 B' L2
R2 B D B' L2 F2
R2 B D B' F2 L2
R' B' L2 U' B R'
U B' L2 U' R2 D
U B' L2 U' R2 D'
U B' L2 U' R2 D2
U B' L2 D' F2 U'
U B' L2 F U' R2
U B' L2 F' U' R2
U B' L2 F2 U' R2
R B' L2 U' B R
F' B' L2 U' B R2
B' F' L2 U' B R2
F2 B' L2 U' B R2
F B' L2 U' B R2
U B' U' R2 D F2
U B' F L2 U' R2
U B' F' L2 U' R2
U B' F2 L2 U' R2
B' F2 L2 U' B R2
U B2 L2 B U' R2
B' L2 U' L2 B R2 L2
L2 R2 F2 U' F' U F
R2 L2 F2 U' F' U F
B' L2 U' R2 U2 F' U2
B' L2 U' D' B D R2
D2 L2 U' F R2 B U
B' L2 U' D2 B D2 R2
F' L2 U' F U F' R2
B' L2 U' F' B R2 F
B L2 U' R2 D L2 B'
F2 L2 U' F U F' R2
B' L2 U' F2 B R2 F2
B' L2 U' B R D R
B' L2 U' B R D' R
B' L2 U' B R D2 R
B' L2 U' B R' D R'
B' L2 U' B R' D' R'
B' L2 U' B R' D2 R'
B' L2 U' B F' R2 F
B' L2 U' B F2 R2 F2
B' L2 U' B' R B2 R
B' L2 U' B' R2 B2 D
B' L2 U' B' R2 B2 D'
B' L2 U' B' R2 B2 D2
B' L2 U' B2 R B' R
B' L2 U' B2 R2 D B'
B' L2 U' B2 R2 D' B'
B' L2 U' B2 R2 D2 B'
B' L2 U' B2 R2 B' D
B' L2 U' B2 R2 B' D'
B' L2 U' B2 R2 B' D2
D L2 U' F B2 U F
U L2 U' R2 U' F U
B' L2 U2 L U B R2
B' L2 U2 L' U B R2
F L2 U' F U F' R2
B' L2 U2 L2 U B R2
D L2 U' B2 F U F
B' L2 U2 D B2 U B'
F' L2 U2 F U R2 B
U' L2 U2 F L2 U R2
F2 L2 U2 F U R2 B
B' L2 U2 B' U R2 B2
B' L2 U2 B' U B2 R2
B' L2 U2 B2 U R2 B'
B' L2 U2 B2 U B' R2
U L2 U2 D F B2 U
U L2 U2 D B2 F U
F L2 U2 F U R2 B
U L2 U2 F U R2 D
U L2 U2 F U R2 D'
U L2 U2 F U R2 D2
U L2 U2 F D B2 U
U L2 U2 F B U R2
U L2 U2 F B' U R2
U L2 U2 F B2 U R2
U L2 U2 B F U R2
U L2 U2 B' F U R2
B' L2 D U2 B2 U B'
U L2 U2 B2 F U R2
U L2 D U2 F B2 U
U L2 D U2 B2 F U
B' L2 D' U' B D R2
B' L2 D' F2 U' D B
B' L2 D' F2 U' D' B
B' L2 D' F2 U' D2 B
B' L2 D' F2 U' B D
B' L2 D' F2 U' B D'
B' L2 D' F2 U' B D2
B' L2 D' F2 D U' B
B' L2 D' F2 D' U' B
B' L2 D' F2 D2 U' B
B2 L2 D' F2 B R2 U'
B2 L2 D' B R2 F2 U'
B2 L2 D' B F2 R2 U'
L' U L B' L2 U' R2
B' L2 D2 U L2 U2 B
U L2 D' F2 U2 F' U
B' L2 D2 U' B D2 R2
L' U L' U2 F U R2
L U L B U' L R2
L U L B U' R2 L
B' L2 F U' B R2 D
B' L2 F U' B R2 D'
B' L2 F U' B R2 D2
B' L2 F U' B' R2 B2
B' L2 F U' B2 R2 B'
R' U L2 U2 F U R'
B' L2 F D' F2 U' B
B2 L2 F B U' B R2
U L2 F U' R2 D2 L2
R2 U L2 U2 D F U
R2 U L2 U2 D' F U
R2 U L2 U2 D2 F U
R2 U L2 U2 F U D
R2 U L2 U2 F U D'
R2 U L2 U2 F U D2
R2 U L2 U2 F D U
R2 U L2 U2 F D' U
R2 U L2 U2 F D2 U
R2 U L2 D U2 F U
D L2 F B2 U F B2
D L2 F B2 U B2 F
R2 U L2 D' U2 F U
R2 U L2 D2 U2 F U
B' L2 F' U' B R2 D
B' L2 F' U' B R2 D'
B' L2 F' U' B R2 D2
B' L2 F' U' B' R2 B2
B' L2 F' U' B2 R2 B'
L2 U L2 B' U' R2 F'
R2 U L2 B U2 F U
B' L2 F' D' F2 U' B
R2 U L2 B' U2 F U
R2 U L2 B2 U2 F U
B2 L2 F' B U' B R2
D L2 F' D' L2 F' R2
D L2 F' D' F' L2 R2
D L2 F' D' F' R2 L2
U L2 F' U' R2 D' L2
U L2 F' U2 F2 U R2
U L2 F' D' F2 U' L2
B' L2 F2 U' B R2 D
B' L2 F2 U' B R2 D'
B' L2 F2 U' B R2 D2
B' L2 F2 U' B' R2 B2
B' L2 F2 U' B2 R2 B'
B' L2 F2 D' F2 U' B
D L2 F2 U' F' B2 U
D L2 F2 U' B2 F' U
B2 L2 F2 B U' B R2
U L2 F2 U2 F' U R2
B L2 F2 B2 U' R2 B
B2 L2 B U' B R2 D
B2 L2 B U' B R2 D'
B2 L2 B U' B R2 D2
B2 L2 B U' B' R2 B2
B2 L2 B U' B2 R2 B'
R2 U R' B' L2 R U'
R2 U R' B' R L2 U'
B2 L2 B D' F2 U' B
B2 L2 B F U' B R2
B2 L2 B F' U' B R2
B2 L2 B F2 U' B R2
U L2 B U2 F U R2
R2 U R2 B' L2 R2 U'
R2 U R2 B' R2 L2 U'
U L2 B' U2 F U R2
R2 U D B' L U' F2
R2 U D B' L' U' F2
R2 U D B' L2 U' F2
R2 U D B' U' F2 D
R2 U D B' U' F2 D'
R2 U D B' U' F2 D2
R2 U D B' D' L2 U'
B L2 B2 U F U2 R2
R U D B' U' R F2
D L2 B2 F U F B2
D L2 B2 F U B2 F
U L2 B2 U2 F U R2
B L2 B2 F2 U' R2 B
R2 U D' B' L2 U' F
R2 U D' B' U B' U2
R2 U D2 B' U' D' F2
R2 U D2 B' U2 R2 U
R2 U D2 B' D' U' F2
R2 U D2 B' D2 L2 U'
B' R L2 U' R' B R2
R2 U F B' L2 F' U'
F' R U B' L2 U' R
F2 R U B' L2 U' R
F R U B' L2 U' R
R2 U F2 B' L2 F2 U'
R2 U B L' B2 L' U'
R2 U B L2 U' D L2
R2 U B L2 D U' L2
U2 R U' B' L2 U' R
R2 U B L2 B2 U' D
R2 U B L2 B2 U' D'
R2 U B L2 B2 U' D2
R2 U B L2 B2 D U'
R2 U B L2 B2 D' U'
R2 U B L2 B2 D2 U'
R U B L2 B2 U' R
R2 U B U' D L2 F2
R2 U B U' D F2 L2
R2 U B D U' L2 F2
R2 U B D U' F2 L2
U' R U2 B' L2 U' R
R2 U B' L D L U'
R2 U B' L D' L U'
R2 U B' L D2 L U'
R2 U B' L' D L' U'
R2 U B' L' D' L' U'
R2 U B' L' D2 L' U'
R U B' L2 U' R D
R U B' L2 U' R D'
R U B' L2 U' R D2
R U B' L2 U' D R
R U B' L2 U' D' R
R U B' L2 U' D2 R
R U B' L2 D U' R
R U B' L2 D' U' R
R U B' L2 D2 U' R
R2 U B' U D' B2 U2
R2 U B' U' D F2 D
R2 U B' U' D F2 D'
R2 U B' U' D F2 D2
R2 U B' U' F D F2
R2 U B' U' F' D F2
R2 U B' U' F2 D F2
R2 U B' U2 D2 R2 U
R2 U B' D L U' F2
R2 U B' D L' U' F2
R2 U B' D L2 U' F2
R2 U B' D U' F2 D
R2 U B' D U' F2 D'
R2 U B' D U' F2 D2
R2 U B' D' U B2 U2
B R D R F2 B' L2
B R D R B' L2 F2
B R D R B' F2 L2
R U B' U' R D F2
R U B' U' D R F2
R2 U B' D2 U2 R2 U
R2 U B' F L2 F' U'
R U B' D U' R F2
R2 U B' F2 L2 F2 U'
R2 U B2 L' B L' U'
R2 U B2 L2 D B U'
R2 U B2 L2 D' B U'
R2 U B2 L2 D2 B U'
R2 U B2 L2 B U' D
R2 U B2 L2 B U' D'
R2 U B2 L2 B U' D2
R2 U B2 L2 B D U'
R2 U B2 L2 B D' U'
R2 U B2 L2 B D2 U'
B R D B' L2 R F2
B R D B' R L2 F2
B R D B' R F2 L2
R U B2 L2 B U' R
R2 U B2 D B U' F2
R2 U' R U2 B' L2 U'
L2 U' R F U F' R
R2 U' R' U2 B' L2 U'
L2 U' R' F U F' R'
F' R B' L2 U' B R
R2 U' R2 U2 B' L2 U'
F2 R B' L2 U' B R
F R B' L2 U' B R
L2 U' D F B2 U F'
L2 U' D B2 F U F'
B R B2 L2 U' B R
R2 U' D2 R2 U2 B' U'
L2 U' F U F R2 F2
L2 U' F U F' R2 D
L2 U' F U F' R2 D'
L2 U' F U F' R2 D2
L2 U' F U F2 R2 F
L2 U' F D B2 U F'
R2 U' F U2 B' L2 U'
L2 U' F B U F' R2
L2 U' F B' U F' R2
L2 U' F B2 U F' R2
R2 U' F' U2 B' L2 U'
R2 U' F2 U2 B' L2 U'
L2 U' B F U F' R2
L2 U' B' F U F' R2
B R' D R' F2 B' L2
B R' D R' B' L2 F2
B R' D R' B' F2 L2
B R' D F2 R' B' L2
L2 U' B2 F U F' R2
R2 U2 R U' B' L2 U'
R2 U2 R' U' B' L2 U'
F' R' B' L2 U' B R'
R2 U2 R2 U' B' L2 U'
F2 R' B' L2 U' B R'
F R' B' L2 U' B R'
R2 U2 D' B2 U' B U'
L2 U2 F L U R2 B
L2 U2 F L' U R2 B
L2 U2 F L2 U R2 B
F' R2 L2 U' F U F'
L2 U2 F U R2 D B
L2 U2 F U R2 D' B
L2 U2 F U R2 D2 B
L2 U2 F U R2 B D
L2 U2 F U R2 B D'
L2 U2 F U R2 B D2
L2 U2 F U B R2 B
L2 U2 F U B' R2 B
L2 U2 F U B2 R2 B
L2 U2 F U' F' U2 R2
F2 R2 L2 U' F U F'
L2 U2 F B U R2 B
L2 U2 F B' U R2 B
L2 U2 F B2 U R2 B
F' R2 U L2 U2 F U
F R2 L2 U' F U F'
F2 R2 U L2 U2 F U
F' R2 U D B' U' F2
F2 R2 U D B' U' F2
F' R2 U B L2 B2 U'
F' R2 U B' L2 U' D
F' R2 U B' L2 U' D'
F' R2 U B' L2 U' D2
F' R2 U B' L2 D U'
F' R2 U B' L2 D' U'
F' R2 U B' L2 D2 U'
U' R2 U B' L2 U' B
F' R2 U B' U' D F2
F' R2 U B' D U' F2
F' R2 U B2 L2 B U'
F2 R2 U B L2 B2 U'
F R2 U L2 U2 F U
F2 R2 U B' L2 U' D
F2 R2 U B' L2 U' D'
F2 R2 U B' L2 U' D2
F2 R2 U B' L2 D U'
F2 R2 U B' L2 D' U'
F2 R2 U B' L2 D2 U'
F2 R2 U B' U' D F2
F2 R2 U B' D U' F2
F2 R2 U B2 L2 B U'
F R2 U D B' U' F2
U R2 U R2 B' L2 U'
B R2 U B2 L2 U' B
F R2 U B L2 B2 U'
F R2 U B' L2 U' D
F R2 U B' L2 U' D'
F R2 U B' L2 U' D2
F R2 U B' L2 D U'
F R2 U B' L2 D' U'
F R2 U B' L2 D2 U'
F R2 U B' U' D F2
F R2 U B' D U' F2
F R2 U B2 L2 B U'
U R2 U B' L2 R2 U'
U R2 U B' R2 L2 U'
R2 U2 B U' L2 B2 U'
R2 U2 B U' B2 L2 U'
R2 U2 B U2 D L2 F2
R2 U2 B U2 D F2 L2
R2 U2 B D U2 L2 F2
R2 U2 B D U2 F2 L2
L2 U2 B F U R2 B
R2 U2 B D' R2 B2 U2
R2 U2 B D' B2 R2 U2
F' R2 D U B' U' F2
R2 U2 B' U' L2 U' L2
F2 R2 D U B' U' F2
L2 U2 B' F U R2 B
F' R2 D F2 U B' U'
F2 R2 D F2 U B' U'
B R2 D F' B' L2 F'
F R2 D U B' U' F2
B R2 D F2 B L2 B2
B R2 D F2 B' L2 D
B R2 D F2 B' L2 D'
B R2 D F2 B' L2 D2
B R2 D F2 B2 L2 B
B R2 D B L2 F2 B2
B R2 D B L2 B2 F2
B R2 D B F2 L2 B2
B R2 D B' L F2 L
B R2 D B' L2 F2 D
B R2 D B' L2 F2 D'
B R2 D B' L2 F2 D2
R2 U2 B2 U' L2 B U'
B R2 D B' F' L2 F'
B R2 D B' F2 L2 D
B R2 D B' F2 L2 D'
B R2 D B' F2 L2 D2
R2 U2 B2 U' B L2 U'
B R2 D B2 L2 F2 B
B R2 D B2 L2 B F2
B R2 D B2 F2 L2 B
F R2 D F2 U B' U'
L2 U2 B2 F U R2 B
B R2 D' B' D2 L2 F
F' R2 F U B' L2 U'
B R2 D2 B' D' L2 F2
B R2 D2 B' D' F2 L2
R2 D L' F D F L'
F2 R2 F U B' L2 U'
R2 D L2 U' F U F
B R2 F D F2 B' L2
B R2 F D B' L2 F2
B R2 F D B' F2 L2
F' R2 F' U B' L2 U'
F R2 F U B' L2 U'
F2 R2 F' U B' L2 U'
R2 D L2 F' D' L2 F'
R2 D L2 F' D' F' L2
R2 D L2 F2 U' F' U
B R2 F' D F2 B' L2
B R2 F' D B' L2 F2
B R2 F' D B' F2 L2
F' R2 F2 U B' L2 U'
R' D R' U B' U' F2
F R2 F' U B' L2 U'
F2 R2 F2 U B' L2 U'
R D R U B' U' F2
R' D R' F2 U B' U'
B R2 F2 D F2 B' L2
B R2 F2 D B' L2 F2
B R2 F2 D B' F2 L2
F R2 F2 U B' L2 U'
R D R F2 U B' U'
F' R2 B D F2 B' L2
F' R2 B D B' L2 F2
F' R2 B D B' F2 L2
F2 R2 B D F2 B' L2
F2 R2 B D B' L2 F2
F2 R2 B D B' F2 L2
F R2 B D F2 B' L2
F R2 B D B' L2 F2
F R2 B D B' F2 L2
U R2 B D L2 F2 B2
U R2 B D L2 B2 F2
U R2 B D F2 L2 B2
U R2 B D F2 B2 L2
U R2 B D B2 L2 F2
U R2 B D B2 F2 L2
B R2 B' U B' L2 U'
U R2 B' L2 R2 U' R2
U R2 B' R2 L2 U' R2
B' R2 B2 D F2 L2 B'
R2 D U B' L U' F2
R2 D U B' L' U' F2
R2 D U B' L2 U' F2
R2 D U B' U' F2 D
R2 D U B' U' F2 D'
R2 D U B' U' F2 D2
R2 D U B' D' L2 U'
L2 D U' F B2 U F'
R D U B' U' R F2
L2 D U' B2 F U F'
R2 D F U B' U' F
F' U L2 U2 F U R2
F2 U L2 U2 F U R2
R2 D F' L2 F' D' L2
R' D F2 R' U B' U'
B2 U L2 B U' B R2
R2 D F' U B' U' F'
F U L2 U2 F U R2
R2 D F2 L2 U' F U
R2 D F2 U D B' U'
R2 D F2 U D' B' U'
R2 D F2 U D2 B' U'
R2 D F2 U B' U' D
R2 D F2 U B' U' D'
R2 D F2 U B' U' D2
R2 D F2 U B' D U'
R2 D F2 U B' D' U'
R2 D F2 U B' D2 U'
R2 D F2 D U B' U'
R2 D F2 D' U B' U'
R2 D F2 D2 U B' U'
R2 D F2 B D B' L2
R' D B' U' F2 B R'
R' D B' U' B R' F2
R' D B' U' B F2 R'
R2 D B F2 D B' L2
B U R2 D F2 B' L2
B U R2 D B' L2 F2
B U R2 D B' F2 L2
R D B' U' B R F2
D' U F2 D B' L2 U'
D' U F2 D2 B' U' F2
D' U F2 B' L2 U' F
D' U F2 B' U B' U2
F' U F B' L2 U' R2
F2 U F B' L2 U' R2
D' U B' L2 F2 U' F'
F' U F' B' L2 U' R2
F U F B' L2 U' R2
F2 U F' B' L2 U' R2
D2 U B' D2 L2 U' R2
D' U B' F2 L2 U' F
D' U B' F2 U B' U2
D U B' L2 F U' F
U' D B2 R2 F' U F'
F' U F2 B' L2 U' R2
U' D B2 U2 B U' F2
U D B' L2 F U' F
U' D B2 D R2 F' U
D U B' U2 B' U F2
D U B' D' L2 F U'
F U F' B' L2 U' R2
F' U B L2 B2 U' R2
F2 U F2 B' L2 U' R2
B2 U B L2 U' B R2
U D B' U2 B' U F2
F2 U B L2 B2 U' R2
U D B' D' L2 F U'
F U F2 B' L2 U' R2
F' U B' L2 U' R2 D
F' U B' L2 U' R2 D'
F' U B' L2 U' R2 D2
F' U B' L2 D' F2 U'
F' U B' L2 F U' R2
F' U B' L2 F' U' R2
F' U B' L2 F2 U' R2
F U B L2 B2 U' R2
F2 U B' L2 U' R2 D
F2 U B' L2 U' R2 D'
F2 U B' L2 U' R2 D2
F2 U B' L2 D' F2 U'
F2 U B' L2 F U' R2
F2 U B' L2 F' U' R2
F' U B' U' R2 D F2
F2 U B' L2 F2 U' R2
F2 U B' U' R2 D F2
F' U B' F L2 U' R2
F' U B' F' L2 U' R2
F' U B' F2 L2 U' R2
F2 U B' F L2 U' R2
F' U B2 L2 B U' R2
F2 U B' F' L2 U' R2
F2 U B' F2 L2 U' R2
F U B' L2 U' R2 D
F U B' L2 U' R2 D'
F U B' L2 U' R2 D2
F U B' L2 D' F2 U'
F U B' L2 F U' R2
F U B' L2 F' U' R2
F U B' L2 F2 U' R2
F2 U B2 L2 B U' R2
F U B' U' R2 D F2
R2 D' U B' L2 U' F
R2 D' U B' U B' U2
B U B2 L2 U' B R2
F U B' F L2 U' R2
F U B' F' L2 U' R2
F U B' F2 L2 U' R2
F U B2 L2 B U' R2
R2 D' U2 B2 U' B U'
B' U' L2 U' L2 B R2
B' U' L2 U' B L2 R2
B' U' L2 U' B R2 L2
B2 U' L2 B U' B R2
L2 D' F2 R2 B U' B'
B U' R2 D F2 B' L2
B U' R2 D B' L2 F2
B U' R2 D B' F2 L2
B' U' D F2 D' B R2
B' U' D' B D R2 F'
U D' F2 D B' L2 U'
U D' F2 D2 B' U' F2
U D' F2 B' L2 U' F
U D' F2 B' U B' U2
U D' B' L2 F2 U' F'
B' U' F B R2 D F2
U2 D' B2 U' F2 B U'
U2 D' B2 U' B F2 U'
U D' B' F2 L2 U' F
U D' B' F2 U B' U2
D U' B2 R2 F' U F'
R2 D2 L2 U' R2 F U
R2 D2 L2 U' F R2 U
D U' B2 U2 B U' F2
D U' B2 D R2 F' U
B' U' F' B R2 D F2
R2 D2 L2 F' D' L2 F2
R2 D2 L2 F' D' F2 L2
B' U' F2 B R2 D F2
D2 U2 L2 U R2 F U
D2 U2 L2 U F R2 U
B' U' B R D R F2
B' U' B R' D R' F2
B' U' B R' D F2 R'
B' U' B R2 U L2 U'
B' U' B R2 D F2 D
B' U' B R2 D F2 D'
B' U' B R2 D F2 D2
B' U' B R2 F D F2
B2 U' B L2 U' B R2
B' U' B R2 F' D F2
B' U' B R2 F2 D F2
B' U' B U L2 U' R2
B' U' B D F2 D' R2
U2 D2 L2 U R2 F U
U2 D2 L2 U F R2 U
B' U' B F R2 D F2
B' U' B F' R2 D F2
B' U' B F2 R2 D F2
B' U' B' R2 B2 D F2
B' U' B2 R2 D F2 B'
B' U' B2 R2 D B' F2
B' U' B2 R2 B' D F2
R2 D2 U B' U' D' F2
R2 D2 U B' U2 R2 U
R2 D2 U B' D' U' F2
R2 D2 U B' D2 L2 U'
B U' B2 L2 U' B R2
R2 D2 U' R2 U2 B' U'
B2 U2 L2 B U' B R2
R2 D2 B D B' L2 F
D' U2 B2 U' F2 B U'
D' U2 B2 U' B F2 U'
B U2 R2 D F2 B' L2
B U2 R2 D B' L2 F2
B U2 R2 D B' F2 L2
B' U2 D B2 U F2 B'
B' U2 D B2 U B' F2
U D2 B' D2 L2 U' R2
R2 F L2 U' F U F'
U F L2 U2 F U R2
R' F R' U B' L2 U'
B2 U2 B L2 U' B R2
U2 F R2 B D L2 F2
U2 F R2 B D F2 L2
R2 F U L2 U2 F U
R2 F U D B' U' F2
R2 F U B L2 B2 U'
B U2 B2 L2 U' B R2
R2 F U B' L2 U' D
R2 F U B' L2 U' D'
R2 F U B' L2 U' D2
R2 F U B' L2 D U'
R2 F U B' L2 D' U'
R2 F U B' L2 D2 U'
R2 F U B' U' D F2
R2 F U B' D U' F2
R2 F U B2 L2 B U'
U' F U2 B' L2 U' R2
R2 F D U B' U' F2
R2 F D F2 U B' U'
B D L2 F2 D' R2 B
R' F B' L2 U' B R'
L2 F B U B' R2 F'
U2 F B' L2 U' R2 B
R2 F B D F2 B' L2
R2 F B D B' L2 F2
R2 F B D B' F2 L2
U F B L2 B2 U' R2
U F B' L2 U' R2 D
U F B' L2 U' R2 D'
U F B' L2 U' R2 D2
U F B' L2 D' F2 U'
U F B' L2 F U' R2
U F B' L2 F' U' R2
U F B' L2 F2 U' R2
B' D U' F2 D' B R2
U F B' U' R2 D F2
U F B2 L2 B U' R2
B' D U2 B2 U F2 B'
B' D U2 B2 U B' F2
R2 F' L2 U' F U F'
D F' L2 F' D' L2 R2
D F' L2 F' D' R2 L2
R' F' R' U B' L2 U'
U F' L2 U2 F U R2
L2 F' R2 U' F2 U F2
L2 F' R2 D' L2 D F2
B2 D B2 L2 F U F
R2 F' U L2 U2 F U
R2 F' U D B' U' F2
R2 F' U B L2 B2 U'
R2 F' U B' L2 U' D
R2 F' U B' L2 U' D'
R2 F' U B' L2 U' D2
R2 F' U B' L2 D U'
R2 F' U B' L2 D' U'
R2 F' U B' L2 D2 U'
R2 F' U B' U' D F2
R2 F' U B' D U' F2
R2 F' U B2 L2 B U'
B D B2 U L2 F2 B
B D B2 U L2 B F2
B D B2 U F2 L2 B
B D B2 U F2 B L2
B D B2 U B L2 F2
B D B2 U B F2 L2
L2 F' U' F2 U R2 F2
L2 F' U' F2 U F2 R2
U' F' U2 B' L2 U' R2
R2 F' D U B' U' F2
R2 F' D F2 U B' U'
L2 F' D' L2 D R2 F2
L2 F' D' L2 D F2 R2
R' F' B' L2 U' B R'
U2 F' B' L2 U' R2 B'
U2 F' B' L2 U' B' R2
R2 F' B D F2 B' L2
R2 F' B D B' L2 F2
R2 F' B D B' F2 L2
U F' B L2 B2 U' R2
U F' B' L2 U' R2 D
U F' B' L2 U' R2 D'
U F' B' L2 U' R2 D2
U F' B' L2 D' F2 U'
U F' B' L2 F U' R2
U F' B' L2 F' U' R2
U F' B' L2 F2 U' R2
B' D' U' B D R2 F'
U F' B' U' R2 D F2
U F' B2 L2 B U' R2
R2 F2 L2 U' F U F'
D F2 L2 U' F B2 U
D F2 L2 U' B2 F U
B' D' F2 U B2 U2 B'
B' D' F2 U' D2 F2 B
B' D' F2 U' D2 B F2
B' D' F2 D L2 U' B
R' F2 R' U B' L2 U'
B' D' F2 D2 U' F2 B
B' D' F2 D2 U' B F2
U F2 L2 U2 F U R2
B2 D' F2 B R2 U' F'
B2 D' B R2 F2 U' F
B2 D' B F2 R2 U' F'
R2 F2 U L2 U2 F U
R2 F2 U D B' U' F2
D F2 U D' B' U' R2
D F2 U D2 F2 B' U'
R2 F2 U B L2 B2 U'
D F2 U D2 B' F2 U'
R2 F2 U B' L2 U' D
R2 F2 U B' L2 U' D'
R2 F2 U B' L2 U' D2
R2 F2 U B' L2 D U'
R2 F2 U B' L2 D' U'
R2 F2 U B' L2 D2 U'
