R' L F B2 U F2
R' L B2 F U F2
L R' F B2 U F2
L R' B2 F U F2
L F R' B2 U F'
L F B2 R' U F'
L B2 R' F U F2
L B2 F R' U F'
L R' D' F U F2 R2
L R' F R B2 U F2
L R' F R' B2 U F2
L R' F R2 B2 U F2
L R' F U F2 D' R2
L R' F B2 R U F2
L R' F B2 R' U F2
L R' F B2 R2 U F2
L R' F B2 U F2 D
L R' F B2 U F2 D'
L R' F B2 U F2 D2
L R' F B2 D R2 U
L2 R' B2 L' F U F2
L R' B2 U F' D' L2
L R' B2 D F U F2
L R' B2 D' F U F2
L R' B2 D2 F U F2
L R' B2 F R U F2
L R' B2 F R' U F2
L R' B2 F R2 U F2
L R' B2 F U F2 D
L R' B2 F U F2 D'
L R' B2 F U F2 D2
L R' B2 F D R2 U
L R2 F R B2 U F'
L R2 F B2 R U F'
D L2 U L' F R U
R' L2 B2 L' F U F2
L R2 B2 R F U F2
L R2 B2 F R U F'
L2 U L' F R B2 U
L2 U L' F B2 R U
L2 U L' B2 F R U
L' U L2 F R B2 U
L' U L2 F B2 R U
L' U L2 B2 F R U
L U F R B2 U B2
L U F B2 R U B2
L2 U B2 L' F R U
L U B2 F R U B2
D' R' L F U R' F2
D' R' L F U F2 R'
F' R' L F B2 U F2
F2 R' L F B2 U F2
F' R' L B2 F U F2
U2 R' L F' B2 U F2
F2 R' L B2 F U F2
U2 R' L B2 F' U F2
F R' L F B2 U F2
F R' L B2 F U F2
R' U' F' L' D' R2 B2
R' U' F' L' D' B2 R2
R' U2 L B2 U F' L'
U2 R' F' L B2 U F
B2 R2 U2 R B U' F'
R' D' L F U R2 F2
R' D' L F U F2 R2
R D' L F U R2 F'
L D' R' F U R' F2
L D' R' F U F2 R'
L D' F R' U F' R'
R' F L F B2 U F
R' F L B2 F U F
L F R U D' R2 F'
L F R D' U R2 F'
L F R B2 U' B' U2
L F R' U D' F' R2
L F R' U F' D' R2
L F R' D' U F' R2
L F R' B2 U D F'
L F R' B2 U D' F'
L F R' B2 U D2 F'
L F R' B2 U F' D
L F R' B2 U F' D'
L F R' B2 U F' D2
L F R' B2 D U F'
L F R' B2 D' U F'
L F R' B2 D2 U F'
L F R2 B2 R U F'
L F D' R' U F' R'
R' F' L F B2 U F'
L F B' R' B' U F'
R' F' L B2 F U F'
L F B2 R U' B U2
L F B2 R' U D F'
L F B2 R' U D' F'
L F B2 R' U D2 F'
L F B2 R' U F' D
L F B2 R' U F' D'
L F B2 R' U F' D2
L F B2 R' D U F'
L F B2 R' D' U F'
L F B2 R' D2 U F'
L F B2 U2 L U' F
L F B2 D R' U F'
L F B2 D' R' U F'
L F B2 D2 R' U F'
L F' R' F2 B2 U F
L F' R' B2 F2 U F
L F' B2 R' F2 U F
D2 F2 B2 R' U' F' L'
L B' R' F B' U F2
L B' R' B' F U F2
L B' F R' B' U F'
L2 B2 L' R' F U F2
L' B2 L2 R' U F' L'
L2 B2 L' F R' U F'
L' B2 R' L2 U F' L'
D' B2 R' U' F' L' R'
D' B2 R' U' F' R' L'
L2 B2 R' L' F U F2
L B2 R F R2 U F'
L B2 R F U' B U2
L B2 R' U F' D' L2
L B2 R' D F U F2
L B2 R' D' F U F2
L B2 R' D2 F U F2
L B2 R' F R U F2
L B2 R' F R' U F2
L B2 R' F R2 U F2
L B2 R' F U F2 D
L B2 R' F U F2 D'
L B2 R' F U F2 D2
L B2 R' F D R2 U
L B2 R2 F R U F'
U2 B2 U2 R' U' F' L'
L B2 D R' F U F2
L B2 D F R' U F'
L B2 D' R' F U F2
L B2 D' F R' U F'
L B2 D2 R' F U F2
D2 B2 F2 R' U' F' L'
L B2 D2 F R' U F'
L B2 F R U' B U2
L B2 F R' U D F'
L B2 F R' U D' F'
L B2 F R' U D2 F'
L B2 F R' U F' D
L B2 F R' U F' D'
L B2 F R' U F' D2
L B2 F R' D U F'
L B2 F R' D' U F'
L B2 F R' D2 U F'
L B2 F U2 L U' F
L B2 F D R' U F'
L B2 F D' R' U F'
L B2 F D2 R' U F'
L B2 F' R' F2 U F
