L2 R' F B R' U
L2 R' B R' F U
L2 R' B F R' U
R' L2 F B R' U
R' L2 B R' F U
R' L2 B F R' U
L2 F R' B R' U
L2 F R' B R' U
L2 F B R' B U
L2 B R' F B U
L2 B R' B F U
L2 B F R' B U
R' L2 B R' F D U
R' L2 B R' F D' U
R' L2 B R' F D2 U
R' L2 B D R' F U
R' L2 B D F R' U
R' L2 B D' R' F U
R' L2 B D' F R' U
R' L2 B D2 R' F U
R' L2 B D2 F R' U
R' L2 B F R' U D
R' L2 B F R' U D'
R' L2 B F R' U D2
R' L2 B F R' D U
R' L2 B F R' D' U
R' L2 B F R' D2 U
R' L2 B F D R' U
R' L2 B F D' R' U
R' L2 B F D2 R' U
R' L2 B F' R' F2 U
U' L2 F R' B R' U
F' L2 F R' B R' U
U2 L2 F R' B R' U
F2 L2 F R' B R' U
F L2 F R' B R' U
U' L2 F B R' B U
F' L2 F B R' B U
R' U L2 F B R' U
U L2 F R' B R' U
U2 L2 F B R' B U
F2 L2 F B R' B U
R' U L2 B R' F U
R' U L2 B F R' U
F L2 F B R' B U
U L2 F B R' B U
F' L2 B R' F B U
F' L2 B R' B F U
U' L2 B R' F B U
U' L2 B R' B F U
F2 L2 B R' F B U
U2 L2 B R' F B U
F2 L2 B R' B F U
U2 L2 B R' B F U
F L2 B R' F B U
F' L2 B F R' B U
F L2 B R' B F U
U' L2 B F R' B U
U L2 B R' F B U
U L2 B R' B F U
F2 L2 B F R' B U
U2 L2 B F R' B U
F L2 B F R' B U
U L2 B F R' B U
B' R L F' U2 L U
B' R D' L F' U' B2
B' R D' F' L U' B2
B' R D2 L F' R2 U'
B' R D2 F' L R2 U'
B' R D2 F' R2 L U'
R' U' L2 F B R' U
B' R F' L U2 L U
R' U' L2 B R' F U
R' U' L2 B F R' U
B' R F' D' L U' B2
B' R F' D2 L R2 U'
B' R F' D2 R2 L U'
D' R B' U' F' R B'
D' R B' U' F' B' R
D' R B' U' B' F' R
B' R' L U2 L B U
U' R' L2 F B R' U
F' R' L2 F B R' U
U' R' L2 B R' F U
F' R' L2 B R' F U
U' R' L2 B F R' U
F' R' L2 B F R' U
F2 R' L2 F B R' U
U2 R' L2 F B R' U
B R' L2 D B U L2
F2 R' L2 B R' F U
B R' L2 D2 F2 B U
B R' L2 D2 B F2 U
F2 R' L2 B F R' U
U2 R' L2 B R' F U
U2 R' L2 B F R' U
B R' L2 B U2 B U'
F R' L2 F B R' U
U R' L2 F B R' U
F R' L2 B R' F U
F R' L2 B F R' U
U R' L2 B R' F U
U R' L2 B F R' U
B' R' D2 L R2 F' U'
B' R' D2 R2 L F' U'
B' R' D2 R2 F' L U'
R' U2 L2 F B R' U
R' U2 L2 B R' F U
R' U2 L2 B F R' U
B R' B L2 U2 B U'
B R' B' L2 F B2 U
B R' B' L2 B2 F U
D2 R2 F B' L' F U'
D2 R2 B' L' F L' U'
D2 R2 B' F L' F U'
L2 D' R F U F2 R
L2 D' F U F2 R F'
L2 D2 F U2 L' F U'
R' F L2 F B R' U
R' F L2 B R' F U
R' F L2 B F R' U
L2 F R' B R' U D
L2 F R' B R' U D'
L2 F R' B R' U D2
L2 F R' B R' D U
L2 F R' B R' D' U
L2 F R' B R' D2 U
L2 F R' B D R' U
L2 F R' B D' R' U
L2 F R' B D2 R' U
D2 F R2 B' L' F U'
B' U2 B2 L2 R' B U
B' U2 B2 R' L2 B U
B' U2 B2 R' B L2 U
L2 F U D' R F' R
L2 F U D' F' R F'
L2 F D' R U F' R
L2 F D' U R F' R
L2 F D' U F' R F'
D2 F B' L' R2 F U'
D2 F B' L' F R2 U'
L2 F B R' D B U
L2 F B R' D' B U
L2 F B R' D2 B U
L2 F B R' B U D
L2 F B R' B U D'
L2 F B R' B U D2
L2 F B R' B D U
L2 F B R' B D' U
L2 F B R' B D2 U
D2 F B' R2 L' F U'
R' F' L2 F B R' U
R' F' L2 B R' F U
R' F' L2 B F R' U
L2 F' R' F2 B R' U
L2 F' R' B R' F2 U
L2 F' R' B F2 R' U
B' D' L F' U' R B2
B' D' L F' U' B2 R
L2 F' B R' F2 B U
L2 F' B R' B F2 U
D' F' B' U' R F' B'
D' F' B' U' R B' F'
D' F' B' U' B' R F'
R F' B' L U2 L U
R F' B' D' L U' B2
R F' B' D2 L R2 U'
R F' B' D2 R2 L U'
B' D' F' L U' R B2
B' D' F' L U' B2 R
R' F2 L2 F B R' U
R' F2 L2 B R' F U
R' F2 L2 B F R' U
B' D2 L R2 U2 B' U
B' D2 L' R2 F L2 U'
B' D2 L' F L2 R2 U'
B' D2 L' F R2 L2 U'
L2 F2 D' F' U R F'
B' D2 R2 L U2 B' U
B' D2 R2 L' F L2 U'
L' B L' R' F B U
L' B L' R' B F U
L' B L' F R' B U
R' B L2 R' U D L2
R' B L2 R' U2 B2 U'
R' B L2 R' D U L2
R' B L2 R' D2 F2 U
R' B L2 U2 B2 L U'
R' B L2 D R' U L2
R' B L2 D2 R' F2 U
R' B L2 D2 F2 R' U
R' B R' L2 U D L2
R' B R' L2 U2 B2 U'
R' B R' L2 D U L2
R' B R' L2 D2 F2 U
L' B R' L' F B U
L' B R' L' B F U
L' B R' B L' F U
L2 B R' D F B U
L2 B R' D B F U
L2 B R' D' F B U
L2 B R' D' B F U
L2 B R' D2 F B U
L2 B R' D2 B F U
L2 B R' F D B U
L2 B R' F D' B U
L2 B R' F D2 B U
L2 B R' F B U D
L2 B R' F B U D'
L2 B R' F B U D2
L2 B R' F B D U
L2 B R' F B D' U
L2 B R' F B D2 U
L2 B R' B D F U
L2 B R' B D' F U
L2 B R' B D2 F U
L2 B R' B F U D
L2 B R' B F U D'
L2 B R' B F U D2
L2 B R' B F D U
L2 B R' B F D' U
L2 B R' B F D2 U
R' B D' R' U B2 L
L2 B F R' D B U
L2 B F R' D' B U
L2 B F R' D2 B U
L2 B F R' B U D
L2 B F R' B U D'
L2 B F R' B U D2
L2 B F R' B D U
L2 B F R' B D' U
L2 B F R' B D2 U
L2 B F' R' F2 B U
L2 B F' R' B F2 U
R' B' L U2 L B2 U
D2 B' L' R2 F L' U'
D2 B' L' F L' R2 U'
D2 B' L' F R2 L' U'
D' B' R U' F' R B'
D' B' R U' F' B' R
D' B' R U' B' F' R
R B' L F' U2 L U
D2 B' R2 L' F L' U'
D2 B' R2 F L' F U'
D' B' U' R F' R B'
D' B' U' R F' B' R
D' B' U' R B' F' R
D B' U L F2 B' U2
D B' U L B' F2 U2
D' B' U' F' R F' B'
D' B' U' F' R B' F'
D' B' U' F' B' R F'
D' B' U' B' R F' R
D' B' U' B' F' R F'
D B' U F2 L B' U2
R' B' U2 B2 L2 R' U
R' B' U2 B2 R' L2 U
R' B' D' L U' R2 B2
R' B' D' L U' B2 R2
R' B' D2 L R2 F2 U'
R' B' D2 L F2 R2 U'
R' B' D2 R2 L F2 U'
R' B' D2 R2 F2 L U'
R' B' D2 F2 L R2 U'
R' B' D2 F2 R2 L U'
D2 B' F L' R2 F U'
D2 B' F L' F R2 U'
D2 B' F R2 L' F U'
R B' D' L F' U' B2
R B' D' L F' U' B2
D' B' F' U' R F' B'
D' B' F' U' R B' F'
R B' D' F' L U' B2
D' B' F' U' B' R F'
R B' D2 L F' R2 U'
R B' D2 F' L R2 U'
R B' D2 F' R2 L U'
R B' F' L U2 L U
R B' F' D' L U' B2
R B' F' D2 L R2 U'
R B' F' D2 R2 L U'
