D' U' B2 R' F'
U' D' B2 R' F'
F' L' D F2 R U'
U2 L2 U' L' B' U2
L2 U L' B' U2 B
D' R U' B2 R' F'
L2 U' L' U2 L F
R' U' D' B2 R' F'
R2 U' D' B2 R' F'
R U' D' B2 R' F'
D' R' U' B2 R' F'
U' R' D' F' B2 R'
U' R' D' B2 F' R'
U' R' F' D' B2 R'
D2 R2 U L U2 F
D' R2 U' B2 R' F'
D' U L U2 F B2
D' U L U2 B2 F
U D L F2 U2 F'
D U L F2 U2 F'
D U F2 L U2 F
U D F2 L U2 F
R' D' U' B2 R' F'
U D' L U2 F B2
U D' L U2 B2 F
R2 D' U' B2 R' F'
U' D' R' F' B2 R'
R D' U' B2 R' F'
U' D' R' B2 F' R'
D' U' R' F' B2 R'
D' U' R' B2 F' R'
U' D' F B2 R' F'
D' U' F B2 R' F'
U' D' F' B2 R' F'
D' U' F' B2 R' F'
U' D' F2 B2 R' F'
D' U' F2 B2 R' F'
U' D' B2 R' D F'
U' D' B2 R' D' F'
U' D' B2 R' D2 F'
U' D' B2 R' F' D
U' D' B2 R' F' D'
U' D' B2 R' F' D2
U' D' B2 D R' F'
U' D' B2 D' R' F'
U' D' B2 D2 R' F'
D' U' B2 R' D F'
D' U' B2 R' D' F'
U' D' B2 F R' F'
D' U' B2 R' D2 F'
D' U' B2 R' F' D
D' U' B2 R' F' D'
D' U' B2 R' F' D2
U' D' B2 F' R' F'
U' D' B2 F2 R' F'
D' U' B2 D R' F'
D' U' B2 D' R' F'
D' U' B2 D2 R' F'
D' U' B2 F R' F'
D' U' B2 F' R' F'
D' U' B2 F2 R' F'
U' F D' B2 R' F'
U' F' D' B2 R' F'
U' F2 D' B2 R' F'
U' B2 R' D' F' B2
U' B2 R' D' B2 F'
U' B2 R' F' D' B2
U' B2 D' R' F' B2
U' B2 D' R' B2 F'
R' U' B2 R' D' F' B2
R' U' B2 R' D' B2 F'
R' U' B2 R' F' D' B2
L2 U' B2 L' U2 L F
R' U' B2 D' R' F' B2
R' U' B2 D' R' B2 F'
U' R' D' R B2 R' F'
R2 U' B2 R' D' F' B2
R2 U' B2 R' D' B2 F'
R2 U' B2 R' F' D' B2
U' R' D' F B2 R' F2
U' R' D' F' R B2 R'
U' R' D' F' R' B2 R'
U' R' D' F' R2 B2 R'
R U' B2 R' D' F' B2
R U' B2 R' D' B2 F'
U' R' D' F' B2 R' D
U' R' D' F' B2 R' D'
U' R' D' F' B2 R' D2
R U' B2 R' F' D' B2
U' R' D' F' B2 D R'
U' R' D' F' B2 D' R'
U' R' D' F' B2 D2 R'
R2 U' B2 D' R' F' B2
R2 U' B2 D' R' B2 F'
U' R' D' F2 B2 R' F
U2 R' D' U B2 R' F'
U' R' D' B2 D F' R'
U' R' D' B2 D' F' R'
U' R' D' B2 D2 F' R'
U' R' D' B2 F R' F2
U' R' D' B2 F' R' D
U' R' D' B2 F' R' D'
U' R' D' B2 F' R' D2
U' R' D' B2 F' D R'
U' R' D' B2 F' D' R'
U' R' D' B2 F' D2 R'
U' R' D' B2 F2 R' F
R U' B2 D' R' F' B2
R U' B2 D' R' B2 F'
L U2 L R U R' F'
F R' D' U' F2 B2 R'
F R' D' U' B2 R' F2
F R' D' U' B2 F2 R'
L' U2 L' U' L' B' U2
U' R' D2 F' D B2 R'
D R' D2 U' B2 R' F'
L U2 L B' R' U R
R' U2 L2 U' L' B' U2
U' R' F' R D' B2 R'
R2 U2 L2 U' L' B' U2
U' R' F' R' D' B2 R'
U' R' F' R2 D' B2 R'
R U2 L2 U' L' B' U2
U' R' F' D' R B2 R'
U' R' F' D' R' B2 R'
U' R' F' D' R2 B2 R'
U' R' F' D' B2 R' D
U' R' F' D' B2 R' D'
U' R' F' D' B2 R' D2
U' R' F' D' B2 D R'
U' R' F' D' B2 D' R'
U' R' F' D' B2 D2 R'
U' R' F' B2 R' D' B2
U' R' F' B2 D' R' B2
L U2 R L U R' F'
U' R' F2 D' F B2 R'
U' R' F2 D' B2 R' F
U' R' F2 D' B2 F R'
U' R' B2 D' F' R' B2
U' R' B2 F' R' D' B2
U' R' B2 F' D' R' B2
F' R2 L' D F2 R U'
D2 R2 L2 U L' B' U2
U2 R2 L2 U' L' B' U2
D2 R2 U L U2 D F
D2 R2 U L U2 D' F
D2 R2 U L U2 D2 F
D2 R2 U L U2 F D
D2 R2 U L U2 F D'
D2 R2 U L U2 F D2
D2 R2 U L D U2 F
D2 R2 U L D' U2 F
D2 R2 U L D2 U2 F
D' R2 U L U2 F B2
D' R2 U L U2 B2 F
D2 R2 U L B U2 F
D2 R2 U L B' U2 F
D2 R2 U L B2 U2 F
D2 R2 U L' B' L2 U2
D2 R2 U D L U2 F
D2 R2 U D' L U2 F
D2 R2 U D2 L U2 F
D R2 U L F2 U2 F'
D2 R2 U B2 U2 R' F'
U2 R2 U D' B2 R' F'
D' R2 U' R' F' B2 R'
D' R2 U' R' B2 F' R'
D R2 U F2 L U2 F
D' R2 U' F B2 R' F'
D' R2 U' F' B2 R' F'
D' R2 U' F2 B2 R' F'
D2 R2 U' B2 R' F' B2
D2 R2 U' B2 R' B2 F'
D' R2 U' B2 R' D F'
D' R2 U' B2 R' D' F'
D' R2 U' B2 R' D2 F'
D' R2 U' B2 R' F' D
D' R2 U' B2 R' F' D'
D' R2 U' B2 R' F' D2
D' R2 U' B2 D R' F'
D' R2 U' B2 D' R' F'
D' R2 U' B2 D2 R' F'
D' R2 U' B2 F R' F'
D' R2 U' B2 F' R' F'
D' R2 U' B2 F2 R' F'
D R2 U' D2 B2 R' F'
D2 R2 D U L U2 F
L U2 B' R' U R B
D2 R2 D' U L U2 F
U2 R2 D' U B2 R' F'
D2 R2 D2 U L U2 F
D R2 D2 U' B2 R' F'
D2 R2 F' L' U L2 U2
D2 R2 F' L' U' D2 R2
D2 R2 F' L' D F2 U'
D2 R2 F' L' D2 U' R2
R' D U L F2 U2 F'
R' D U F2 L U2 F
L2 D U L' B' U2 B
R2 D U L F2 U2 F'
R2 D U F2 L U2 F
R D U L F2 U2 F'
L2 D U' L' U2 L F
D2 U L U' R2 U' F
D' U L U2 F B2 D
D' U L U2 F B2 D'
D' U L U2 F B2 D2
D2 U L U2 D F B2
D2 U L U2 D B2 F
D' U L U2 B2 D F
D' U L U2 B2 D' F
D' U L U2 B2 D2 F
D' U L U2 B2 F D
D' U L U2 B2 F D'
D' U L U2 B2 F D2
D2 U L U2 F D B2
D2 U L D U2 F B2
D2 U L D U2 B2 F
R D U F2 L U2 F
D2 U L D' F2 U2 F'
D' U L D2 F2 U2 F'
D' U L F' U2 F2 B2
D' U L F' U2 B2 F2
D' U L F2 U2 F' B2
D' U L F2 U2 B2 F'
U' D L F2 R B U2
D' U L B U2 F B
D' U L B U2 B F
D' U L B' U2 F B'
D' U L B' U2 B' F
D U L U2 D2 F B2
D U L U2 D2 B2 F
F U L U L R U
F U L U R L U
D U L D2 U2 F B2
D U L D2 U2 B2 F
U D L U2 D2 F B2
D U L F2 U2 D F'
U D L U2 D2 B2 F
D U L F2 U2 D' F'
D U L F2 U2 D2 F'
D U L F2 U2 F' D
D U L F2 U2 F' D'
D U L F2 U2 F' D2
D U L F2 D U2 F'
D U L F2 D' U2 F'
D U L F2 D2 U2 F'
D U L F2 B U2 F'
D U L F2 B' U2 F'
D U L F2 B2 U2 F'
D U L B F2 U2 F'
D U L B' F2 U2 F'
D' U L' B' L2 F U2
U D L D2 U2 F B2
U D L D2 U2 B2 F
D U L B2 F2 U2 F'
U D L F2 U2 D F'
U D L F2 U2 D' F'
U D L F2 U2 D2 F'
U D L F2 U2 F' D
U D L F2 U2 F' D'
U D L F2 U2 F' D2
U D L F2 D U2 F'
U D L F2 D' U2 F'
U D L F2 D2 U2 F'
U D L F2 B U2 F'
U D L F2 B' U2 F'
U D L F2 B2 U2 F'
U D L B F2 U2 F'
L' D F' L' F' R U'
U D L B' F2 U2 F'
U D L B2 F2 U2 F'
D U L' F2 L2 U2 F
D U L' F2 B' L2 U2
D U L' B' L2 F2 U2
D U L' B' F2 L2 U2
U D L' F2 L2 U2 F
U D L' F2 B' L2 U2
U D L' B' L2 F2 U2
U D L' B' F2 L2 U2
L' D F2 D R U' F'
D' U R B2 L R' F
D' U R B2 L F R'
D' U R B2 R' L F
U' D R' D2 F' B2 R'
U' D R' D2 B2 F' R'
D' U F L U2 F B2
D' U F L U2 B2 F
D' U F U2 B2 R' F'
D' U F' L U2 F B2
D' U F' L U2 B2 F
F2 U D' L B' U2 B'
B2 U D' R' B2 L F
D' U F' U2 B2 R' F'
D' U F2 L U2 F B2
D' U F2 L U2 B2 F
D U F' L F' U2 F2
U D F' L F' U2 F2
D' U F2 U2 B2 R' F'
D U F2 L U2 D F
D U F2 L U2 D' F
D U F2 L U2 D2 F
D U F2 L U2 F D
D U F2 L U2 F D'
D U F2 L U2 F D2
D U F2 L D U2 F
D U F2 L D' U2 F
D U F2 L D2 U2 F
D U F2 L B U2 F
D U F2 L B' U2 F
D U F2 L B2 U2 F
D U F2 L' B' L2 U2
U D F2 L U2 D F
U D F2 L U2 D' F
U D F2 L U2 D2 F
U D F2 L U2 F D
U D F2 L U2 F D'
U D F2 L U2 F D2
U D F2 L D U2 F
U D F2 L D' U2 F
U D F2 L D2 U2 F
U D F2 L B U2 F
U D F2 L B' U2 F
U D F2 L B2 U2 F
U D F2 L' B' L2 U2
D' U B U2 B R' F'
D U F2 D L U2 F
D U F2 D' L U2 F
D U F2 D2 L U2 F
D U F2 B2 U2 R' F'
U D F2 D L U2 F
U D F2 D' L U2 F
R' D' R U' B2 R' F'
U D F2 D2 L U2 F
U D F2 B2 U2 R' F'
R' D' R' U' B2 R' F'
R2 D' R U' B2 R' F'
U' D B2 R' D2 F' B2
U' D B2 R' D2 B2 F'
U' D B2 D2 R' F' B2
U' D B2 D2 R' B2 F'
R D' R U' B2 R' F'
R' D' R2 U' B2 R' F'
R2 D' R' U' B2 R' F'
R' D' U L U2 F B2
R' D' U L U2 B2 F
R D' R' U' B2 R' F'
D U B2 F2 U2 R' F'
R2 D' R2 U' B2 R' F'
U D B2 F2 U2 R' F'
U D' L U2 F B2 D
U D' L U2 F B2 D'
U D' L U2 F B2 D2
L2 D' U L' B' U2 B
U D' L U2 B2 D F
U D' L U2 B2 D' F
U D' L U2 B2 D2 F
U D' L U2 B2 F D
U D' L U2 B2 F D'
U D' L U2 B2 F D2
D U' L F2 R B U2
R2 D' U L U2 F B2
R2 D' U L U2 B2 F
R D' R2 U' B2 R' F'
R' D' U' R' F' B2 R'
R' D' U' R' B2 F' R'
U D' L D2 F2 U2 F'
R' D' U' F B2 R' F'
U D' L F' U2 F2 B2
U D' L F' U2 B2 F2
R' D' U' F' B2 R' F'
U D' L F2 U2 F' B2
U D' L F2 U2 B2 F'
R' D' U' F2 B2 R' F'
U D' L B U2 F B
U D' L B U2 B F
U D' L B' U2 F B'
U D' L B' U2 B' F
R' D' U' B2 R' D F'
R' D' U' B2 R' D' F'
R' D' U' B2 R' D2 F'
R' D' U' B2 R' F' D
R' D' U' B2 R' F' D'
R' D' U' B2 R' F' D2
R' D' U' B2 D R' F'
R' D' U' B2 D' R' F'
R' D' U' B2 D2 R' F'
R' D' U' B2 F R' F'
R' D' U' B2 F' R' F'
R' D' U' B2 F2 R' F'
L2 D' U' L' U2 L F
R D' U L U2 F B2
R D' U L U2 B2 F
R2 D' U' R' F' B2 R'
R2 D' U' R' B2 F' R'
R2 D' U' F B2 R' F'
R2 D' U' F' B2 R' F'
R2 D' U' F2 B2 R' F'
U D' L' B' L2 F U2
R2 D' U' B2 R' D F'
R2 D' U' B2 R' D' F'
R2 D' U' B2 R' D2 F'
R2 D' U' B2 R' F' D
R2 D' U' B2 R' F' D'
R2 D' U' B2 R' F' D2
R2 D' U' B2 D R' F'
R2 D' U' B2 D' R' F'
R2 D' U' B2 D2 R' F'
R2 D' U' B2 F R' F'
R2 D' U' B2 F' R' F'
R2 D' U' B2 F2 R' F'
R D' U' R' F' B2 R'
R D' U' R' B2 F' R'
U2 D' R U B2 R' F'
R D' U' F B2 R' F'
R D' U' F' B2 R' F'
R D' U' F2 B2 R' F'
R D' U' B2 R' D F'
R D' U' B2 R' D' F'
R D' U' B2 R' D2 F'
R D' U' B2 R' F' D
R D' U' B2 R' F' D'
R D' U' B2 R' F' D2
R D' U' B2 D R' F'
R D' U' B2 D' R' F'
R D' U' B2 D2 R' F'
R D' U' B2 F R' F'
R D' U' B2 F' R' F'
R D' U' B2 F2 R' F'
U' D' R' F B2 R' F2
D' U' R' F B2 R' F2
U' D' R' F' R B2 R'
U' D' R' F' R' B2 R'
U' D' R' F' R2 B2 R'
D' U' R' F' R B2 R'
D' U' R' F' R' B2 R'
D' U' R' F' R2 B2 R'
U' D' R' F' B2 R' D
U' D' R' F' B2 R' D'
U' D' R' F' B2 R' D2
U' D' R' F' B2 D R'
U' D' R' F' B2 D' R'
U' D' R' F' B2 D2 R'
D' U' R' F' B2 R' D
D' U' R' F' B2 R' D'
D' U' R' F' B2 R' D2
D' U' R' F' B2 D R'
D' U' R' F' B2 D' R'
D' U' R' F' B2 D2 R'
U' D' R' F2 B2 R' F
D' U' R' F2 B2 R' F
U' D' R' B2 D F' R'
U' D' R' B2 D' F' R'
D' U' R' B2 D F' R'
U' D' R' B2 D2 F' R'
D' U' R' B2 D' F' R'
U2 D' R' U B2 R' F'
U' D' R' B2 F R' F2
D' U' R' B2 D2 F' R'
D' U' R' B2 F R' F2
U' D' R' B2 F' R' D
U' D' R' B2 F' R' D'
U' D' R' B2 F' R' D2
U' D' R' B2 F' D R'
U' D' R' B2 F' D' R'
U' D' R' B2 F' D2 R'
U' D' R' B2 F2 R' F
D' U' R' B2 F' R' D
D' U' R' B2 F' R' D'
D' U' R' B2 F' R' D2
D' U' R' B2 F' D R'
D' U' R' B2 F' D' R'
D' U' R' B2 F' D2 R'
D' U' R' B2 F2 R' F
U D' R B2 L R' F
U D' R B2 L F R'
U D' R B2 R' L F
D U' R' D2 F' B2 R'
D U' R' D2 B2 F' R'
D' U' R2 B2 R F' R2
U' D' R2 B2 R F' R2
U2 D' R2 U B2 R' F'
D' U' F R' F' B2 R'
U' D' F R' F' B2 R'
D' U' F R' B2 F' R'
U' D' F R' B2 F' R'
D2 U' F D B2 R' F'
U' D' F B2 R' D F'
U' D' F B2 R' D' F'
U' D' F B2 R' D2 F'
U' D' F B2 R' F' D
U' D' F B2 R' F' D'
U' D' F B2 R' F' D2
D' U' F B2 R' D F'
D' U' F B2 R' D' F'
D' U' F B2 R' D2 F'
D' U' F B2 R' F' D
D' U' F B2 R' F' D'
D' U' F B2 R' F' D2
U' D' F B2 D R' F'
D' U' F B2 D R' F'
U' D' F B2 D' R' F'
D' U' F B2 D' R' F'
U' D' F B2 D2 R' F'
D' U' F B2 D2 R' F'
U' D' F' R' F' B2 R'
D' U' F' R' F' B2 R'
U' D' F' R' B2 F' R'
D' U' F' R' B2 F' R'
U D' F L U2 F B2
U D' F L U2 B2 F
D2 U' F' D B2 R' F'
U' D' F' B2 R' D F'
U' D' F' B2 R' D' F'
U' D' F' B2 R' D2 F'
D' U' F' B2 R' D F'
U' D' F' B2 R' F' D
U' D' F' B2 R' F' D'
D' U' F' B2 R' D' F'
U' D' F' B2 R' F' D2
D' U' F' B2 R' D2 F'
D' U' F' B2 R' F' D
D' U' F' B2 R' F' D'
D' U' F' B2 R' F' D2
U' D' F' B2 D R' F'
U' D' F' B2 D' R' F'
D' U' F' B2 D R' F'
U' D' F' B2 D2 R' F'
D' U' F' B2 D' R' F'
D' U' F' B2 D2 R' F'
U D' F U2 B2 R' F'
D' U' F2 R' F' B2 R'
U' D' F2 R' F' B2 R'
U' D' F2 R' B2 F' R'
D' U' F2 R' B2 F' R'
U D' F' L U2 F B2
U D' F' L U2 B2 F
F U' R' D' F2 B2 R'
F U' R' D' B2 R' F2
F U' R' D' B2 F2 R'
D2 U' F2 D B2 R' F'
D' U' F2 B2 R' D F'
D' U' F2 B2 R' D' F'
D' U' F2 B2 R' D2 F'
D' U' F2 B2 R' F' D
D' U' F2 B2 R' F' D'
D' U' F2 B2 R' F' D2
U' D' F2 B2 R' D F'
U' D' F2 B2 R' D' F'
U' D' F2 B2 R' D2 F'
U' D' F2 B2 R' F' D
U' D' F2 B2 R' F' D'
U' D' F2 B2 R' F' D2
D' U' F2 B2 D R' F'
U' D' F2 B2 D R' F'
D' U' F2 B2 D' R' F'
D' U' F2 B2 D2 R' F'
U' D' F2 B2 D' R' F'
U' D' F2 B2 D2 R' F'
U D' F' U2 B2 R' F'
U D' F2 L U2 F B2
U D' F2 L U2 B2 F
B2 U' D' R' F' B2 L
B2 U' D' R' B2 L F'
B2 U' D' R' B2 F' L
U D' F2 U2 B2 R' F'
U' D' B' R' F' B' R'
U' D' B' R' B' F' R'
D' U' B' R' F' B' R'
D' U' B' R' B' F' R'
U' D' B' D B' R' F'
D' U' B' D B' R' F'
U' D' B' D' B' R' F'
D' U' B' D' B' R' F'
U' D' B' D2 B' R' F'
D' U' B' D2 B' R' F'
D' U' B2 L' R' F' L
U' D' B2 L' R' F' L
D' U' B2 L2 R' F' L2
U' D' B2 L2 R' F' L2
U' D' B2 R F R2 F'
D' U' B2 R F R2 F'
D' U' B2 R F' R2 F'
U' D' B2 R F' R2 F'
D' U' B2 R F2 R2 F'
U' D' B2 R F2 R2 F'
D' U' B2 R' L' F' L
U' D' B2 R' L' F' L
