L' U' L' B R2
L' U' B L' R2
L' U' B R2 L'
B L R2 D L F2
B L R2 D F2 L
B' L' U' L' R2 B2
U' L' U' L' B R2
B' L' U' L' B2 R2
B' L' U' R2 L' B2
B' L' U' R2 B2 L'
U2 L' U' L' B R2
U L' U' L' B R2
U' L' U' B L' R2
U' L' U' B R2 L'
B' L' U' B2 L' R2
B' L' U' B2 R2 L'
U2 L' U' B L' R2
U2 L' U' B R2 L'
U L' U' B L' R2
U L' U' B R2 L'
D' L' F2 B2 U' B'
D' L' B2 F2 U' B'
B L2 R2 U L U'
B L2 U L U' R2
L2 U L U' B R2
L' U' L B L2 R2
L' U' L B R2 L2
L' U' L' B R2 D
L' U' L' B R2 D'
L' U' L' B R2 D2
L' U' L' B' R2 B2
L' U' L' B2 R2 B'
L' U' B L' R2 D
L' U' B L' R2 D'
L' U' B L' R2 D2
L' U' B R2 L' D
L' U' B R2 L' D'
L' U' B R2 L' D2
L' U' B R2 D L'
L' U' B R2 D' L'
L' U' B R2 D2 L'
L' U' B' L' R2 B2
L' U' B' L' B2 R2
L' U' B' R2 L' B2
L' U' B' R2 B2 L'
L' U' B2 R2 B' L'
B R2 L D L F2
B R2 L D F2 L
B R2 L2 U L U'
B R2 U L' U' L'
B U L' U' L' R2
B U L' U' R2 L'
D F2 B2 R U B'
L2 B R D' R F'
L' B' U' L' R2 B2
L' B' U' L' B2 R2
L' B' U' R2 L' B2
L' B' U' R2 B2 L'
L' B' U' B2 L' R2
L' B' U' B2 R2 L'
L' B2 U' R2 B' L'
L' B2 U' B' L' R2
L' B2 U' B' R2 L'
D B2 F2 R U B'
D' L' B2 F2 R2 U' B'
D' L' B2 F2 U' D B'
D' L' B2 F2 U' D' B'
D' L' B2 F2 U' D2 B'
D' L' B2 F2 U' B' D
D' L' B2 F2 U' B' D'
D' L' B2 F2 U' B' D2
D' L' B2 F2 D U' B'
D' L' B2 F2 D' U' B'
D' L' B2 F2 D2 U' B'
U L' B2 U' R2 B' L'
U L' B2 U' B' L' R2
U L' B2 U' B' R2 L'
B L2 R U L U' R
B' L2 R B2 R D' F2
B L2 R' U L U' R'
B' L2 R2 U L U' B2
B L2 R2 U L U' D
B L2 R2 U L U' D'
B L2 R2 U L U' D2
B L2 R2 U L D U'
B L2 R2 U L D' U'
B L2 R2 U L D2 U'
B L2 R2 U D L U'
B L2 R2 U D' L U'
B L2 R2 U D2 L U'
D2 L2 R2 F' U' L U'
B L2 R2 D U L U'
B L2 R2 D' U L U'
B L2 R2 D2 U L U'
B' L2 R2 B2 U' R' U
B L2 R2 F U L U'
B' L2 U L U' R2 B2
B' L2 U L U' B2 R2
B L2 R2 F' U L U'
U' L2 U L U' B R2
B L2 R2 F2 U L U'
U2 L2 U L U' B R2
B L2 U L U' R2 D
B L2 U L U' R2 D'
B L2 U L U' R2 D2
B L2 U L D' F2 U'
B L2 U L F U' R2
B L2 U L F' U' R2
B L2 U L F2 U' R2
U L2 U L U' B R2
B L2 U D' L F2 U'
B L2 U D' F2 L U'
B L2 U F L U' R2
B L2 U F' L U' R2
B L2 U F2 L U' R2
B L2 U' D B2 R' U
B L2 U' B2 R' U R'
B L2 D U' B2 R' U
L' U L U2 L2 B R2
L' U L U2 B L2 R2
L' U L U2 B R2 L2
B L2 D' U L F2 U'
B L2 D' U F2 L U'
L2 U L U' B R2 D
L2 U L U' B R2 D'
L2 U L U' B R2 D2
L2 U L U' B' R2 B2
L2 U L U' B2 R2 B'
L' U L B L2 R2 F
L' U L B L2 F R2
L' U L B R2 L2 F
L2 U L D' F2 U' B
L2 U L F U' B R2
L2 U L F' U' B R2
L2 U L F2 U' B R2
R2 U L' R2 U' L' B
R2 U L' R2 U' B L'
L' U L' B' R2 F' B2
L' U L' B' R2 B2 F'
L' U L2 U2 L B R2
B L2 F R2 U L U'
B L2 F U L U' R2
L U L2 U' L' B R2
L U L2 U' B L' R2
L U L2 U' B R2 L'
B L2 F' R2 U L U'
B L2 F' U L U' R2
D' L2 F2 L B2 U' B'
L' U R' U2 L' R' B'
L' U R' U2 R' L' B'
B L2 F2 R2 U L U'
B L2 F2 U L U' R2
F' L2 B R D R F'
U' L2 B R D' R F'
D L2 F2 B2 R' U B'
U2 L2 B R D' R F'
F2 L2 B R' D' R' F2
F2 L2 B R' D' F2 R'
F2 L2 B R2 U' R' U
F2 L2 B U' R U R
U L2 B R D' R F'
R2 U R2 L' U' L' B
R2 U R2 L' U' B L'
B' L2 B2 R D' R F2
B' L2 B2 R2 U' R U
B' L2 B2 U' R' U R'
L2 U D' L F2 U' B
D L2 B2 R' F2 U B'
L2 U D' F2 L U' B
L' U D2 L2 U2 L B
D L2 B2 F2 R' U B'
B R L D L R F2
B R L D R L F2
B R L D R F2 L
B' R L' U' L' R B2
B' R L' U' L' B2 R
B' R L' U' R L' B2
B' R L' U' R B2 L'
B' R L' U' B2 L' R
B' R L' U' B2 R L'
L2 U F L U' B R2
L' U F U2 B L R2
L' U F U2 B R2 L
B R L2 U L U' R
L2 U F' L U' B R2
B' R L2 B2 R D' F2
F2 R U L2 R' B R2
F2 R U R' L2 B R2
B R U L' U' L' R
B R U L' U' R L'
F2 R U R' B L2 R2
F2 R U R' B R2 L2
L2 U F2 L U' B R2
L' U B L2 R2 F L
L' U B L2 F L R2
L' U B L2 F R2 L
L' U B R2 L2 F L
L' U B' L' R2 F' B2
L' U B' L' R2 B2 F'
L' U B' R2 L' F' B2
L' U B' R2 L' B2 F'
L' U B' R2 B2 L' F'
L' U' L B L2 R2 D
L' U' L B L2 R2 D'
L' U' L B L2 R2 D2
L' U' L B R2 L2 D
L' U' L B R2 L2 D'
L' U' L B R2 L2 D2
L' U' L B' L2 R2 B2
L' U' L B' L2 B2 R2
L' U' L B' R2 L2 B2
L' U' L B' R2 B2 L2
L' U' L B2 R2 B' L2
L' U' L' R2 U2 F' U2
R' U' L' U' L' R' B'
R' U' L' U' R' L' B'
L' U' L' D' B D R2
L' U' L' D2 B D2 R2
L' U' L' F' B R2 F
L' U' L' F2 B R2 F2
L' U' L' B R D R
L' U' L' B R D' R
L' U' L' B R D2 R
L' U' L' B R' D R'
L' U' L' B R' D' R'
L' U' L' B R' D2 R'
L' U' L' B F' R2 F
L' U' L' B F2 R2 F2
L' U' L' B' R B2 R
L' U' L' B' R2 B2 D
L' U' L' B' R2 B2 D'
L' U' L' B' R2 B2 D2
L' U' L' B2 R B' R
L' U' L' B2 R2 D B'
L' U' L' B2 R2 D' B'
L' U' L' B2 R2 D2 B'
L' U' L' B2 R2 B' D
L' U' L' B2 R2 B' D'
L' U' L' B2 R2 B' D2
L U' L2 U' L' B R2
L U' L2 U' B L' R2
L U' L2 U' B R2 L'
L' U' R2 L' U2 F' U2
L' U' D L' D' B R2
L' U' D' L' D B R2
L' U' D' L' B D R2
L2 U' D B2 R' U B'
L' U' D' B L' D R2
L' U' D' B D L' R2
L' U' D' B D R2 L'
B R' L D L R' F2
B R' L D L F2 R'
B R' L D R' L F2
L' U' D2 B D2 L' R2
B R' L D R' F2 L
L' U' D2 B D2 R2 L'
B R' L D F2 L R'
B R' L D F2 R' L
B' R' L' U' L' R' B2
B' R' L' U' R' L' B2
B' R' L' U' R' B2 L'
B R' L2 U L U' R'
L' U' F' B R2 F L'
B R' U L' U' L' R'
B R' U L' U' R' L'
R2 U' F2 R U L2 B'
L' U' B L' R D R
L' U' B L' R D' R
L' U' B L' R D2 R
L' U' B L' R' D R'
L' U' B L' R' D' R'
L' U' B L' R' D2 R'
L' U' B L' F' R2 F
L' U' B L' F2 R2 F2
L' U' B L' B R2 B'
L' U' B L' B2 R2 B2
L' U' B L2 R2 D L
L' U' B L2 R2 D' L
L' U' B L2 R2 D2 L
L' U' B R L' D R
L' U' B R L' D' R
L' U' B R L' D2 R
L' U' B R D L' R
L' U' B R D R L'
L' U' B R D' L' R
L' U' B R D' R L'
L' U' B R D2 L' R
L' U' B R D2 R L'
L' U' B R' L' D R'
L' U' B R' L' D' R'
L' U' B R' L' D2 R'
L' U' B R' D L' R'
L' U' B R' D R' L'
L' U' B R' D' L' R'
L' U' B R' D' R' L'
L' U' B R' D2 L' R'
L' U' B R' D2 R' L'
L' U' B R2 L2 D L
L' U' B R2 L2 D' L
L' U' B R2 L2 D2 L
L' U' B R2 D L' D
L' U' B R2 D L' D'
L' U' B R2 D L' D2
L' U' B R2 D' L' D
L' U' B R2 D' L' D'
L' U' B R2 D' L' D2
L' U' B R2 D2 L' D
L' U' B R2 D2 L' D'
L' U' B R2 D2 L' D2
L' U' B R2 B' L' B
L' U' B R2 B2 L' B2
L' U' B D L' D' R2
L' U' B D' L' D R2
L' U' B F' R2 F L'
L' U' B' L R2 B2 L2
L' U' B' L B2 L2 R2
L' U' B' L B2 R2 L2
L' U' B' L' R B2 R
L' U' B' L' R2 B2 D
L' U' B' L' R2 B2 D'
L' U' B' L' R2 B2 D2
L' U' B' L' B' R2 B'
L' U' B' L' B2 R2 D
L' U' B' L' B2 R2 D'
L' U' B' L' B2 R2 D2
L' U' B' R L' B2 R
L' U' B' R B2 L' R
L' U' B' R B2 R L'
L' U' B' R2 L B2 L2
L' U' B' R2 L' B2 D
L' U' B' R2 L' B2 D'
L' U' B' R2 L' B2 D2
L' U' B' R2 B L' B
L' U' B' R2 B2 L' D
L' U' B' R2 B2 L' D'
L' U' B' R2 B2 L' D2
L' U' B' R2 B2 D L'
L' U' B' R2 B2 D' L'
L' U' B' R2 B2 D2 L'
L' U' B2 R B' L' R
L' U' B2 R B' R L'
L' U' B2 R2 D B' L'
L' U' B2 R2 D' B' L'
L' U' B2 R2 D2 B' L'
L' U' B2 R2 B L' B2
L' U' B2 R2 B' L' D
L' U' B2 R2 B' L' D'
L' U' B2 R2 B' L' D2
L' U' B2 R2 B' D L'
L' U' B2 R2 B' D' L'
L' U' B2 R2 B' D2 L'
L' U' B2 R2 B2 L' B
L2 U' B2 R' U R' B'
L' U2 L U L2 B R2
L' U2 L U B L2 R2
L' U2 L U B R2 L2
R' U2 L' U' R' B' L'
L' U2 L' B R2 D' F2
L' U2 L2 U L B R2
L U2 L2 U' L' B R2
L U2 L2 U' B L' R2
L U2 L2 U' B R2 L'
B R' F2 L2 R' D' F2
D R' F2 R B2 U B'
B R' F2 R' L2 D' F2
D R' F2 B2 R U B
L' U2 D B2 U B' L'
D R' B2 F2 R U B
B R2 L U L2 U' L'
B R2 L D L F2 D
B R2 L D L F2 D'
B R2 L D L F2 D2
B R2 L D L' F2 L2
B R2 L D F' L F'
B R2 L D F2 L D
B R2 L D F2 L D'
B R2 L D F2 L D2
B R2 L D F2 D L
B R2 L D F2 D' L
B R2 L D F2 D2 L
B R2 L D' L D2 F2
B R2 L D2 L D' F2
B R2 L F D L F2
B R2 L F D F2 L
B R2 L F' D L F2
B R2 L F' D F2 L
B R2 L F2 D L F2
B R2 L F2 D F2 L
B' R2 L2 U L U' B2
D2 R2 L2 F' U' L U'
B R2 L2 U L U' D
B R2 L2 U L U' D'
B R2 L2 U L U' D2
B R2 L2 U L D U'
B R2 L2 U L D' U'
B R2 L2 U L D2 U'
B R2 L2 U D L U'
B R2 L2 U D' L U'
B R2 L2 U D2 L U'
B' R2 L2 B2 U' R' U
B R2 L2 D U L U'
B' R2 U L' U' L' B2
B' R2 U L' U' B2 L'
B R2 L2 D' U L U'
B R2 L2 D2 U L U'
B R2 L2 F U L U'
B R2 L2 F' U L U'
B R2 L2 F2 U L U'
B R2 U L' U' L' D
B R2 U L' U' L' D'
B R2 U L' U' L' D2
B R2 U L' U' D L'
B R2 U L' U' D' L'
B R2 U L' U' D2 L'
B R2 U L' D U' L'
B R2 U L' D' U' L'
B R2 U L' D2 U' L'
B R2 U L' B U' L'
B R2 U L' B' U' L'
B R2 U L' B2 U' L'
B R2 U D' L' B2 U'
B R2 U D' B2 L' U'
B R2 U B L' U' L'
B R2 U B' L' U' L'
L' U2 B L' R2 D' F2
B R2 U B2 L' U' L'
L' U2 B R2 L' D' F2
L' U2 B R2 D' L' F2
B R2 U' D F2 R U
B R2 U' F2 R U L2
L' U2 B' U L' R2 B2
L' U2 B' U L' B2 R2
L' U2 B' U R2 L' B2
L' U2 B' U R2 B2 L'
L' U2 B' U B2 L' R2
L' U2 B' U B2 R2 L'
L' U2 B2 U R2 B' L'
L' U2 B2 U B' L' R2
L' U2 B2 U B' R2 L'
B R2 D U' F2 R U
B R2 D' L D L2 F2
B R2 D' L D F2 L2
B R2 D' U L' B2 U'
B R2 D' U B2 L' U'
L D L F2 D' B R2
B R2 F' L' D' L' F
B R2 F2 L2 U' R U
B R2 F2 U' R U L2
B2 R2 B' L D L F2
B2 R2 B' L D F2 L
B2 R2 B' L2 U L U'
B2 R2 B' U L' U' L'
B' R2 B2 L D L F2
B' R2 B2 L D F2 L
B' R2 B2 L2 U L U'
B' R2 B2 U L' U' L'
L' D U' L' D' B R2
L2 D U' B2 R' U B'
L' D U2 B2 U B' L'
B' U L' U' L' R2 B2
B' U L' U' L' B2 R2
B' U L' U' R2 L' B2
B' U L' U' R2 B2 L'
B' U L' U' B2 L' R2
B' U L' U' B2 R2 L'
D' U L' F2 B2 U' B'
F U L F L B R2
D' U L' B2 F2 U' B'
B U L' U' L' R2 D
B U L' U' L' R2 D'
B U L' U' L' R2 D2
B U L' U' R2 L' D
B U L' U' R2 L' D'
B U L' U' R2 L' D2
B U L' U' R2 D L'
B U L' U' R2 D' L'
B U L' U' R2 D2 L'
B U L' B U' L' R2
B U L' B U' R2 L'
B U L' B' U' L' R2
B U L' B' U' R2 L'
B U L' B2 U' L' R2
B U L' B2 U' R2 L'
R' D F2 R U B R2
L D F2 L D' B R2
L D F2 D' L B R2
L2 D B U' B R' U
B U D' L' F2 B2 U'
B U D' L' B2 F2 U'
R2 D' L D F2 L2 B'
B U D' B2 L' F2 U'
U' D F2 B2 R U B'
L D' L B D R2 F'
U2 D F2 B2 R U B'
D U F2 B2 R U B'
U D F2 B2 R U B'
U' D B2 F2 R U B'
U2 D B2 F2 R U B'
B U B L' U' L' R2
B U B L' U' R2 L'
F U B L R2 F L
F U B L F L R2
F U B L F R2 L
D U B2 F2 R U B'
F U B R2 L F L
U D B2 F2 R U B'
B U B' L' U' L' R2
B U B' L' U' R2 L'
L2 D' U L F2 U' B
U' D' L' F2 B2 U' B'
D' U' L' F2 B2 U' B'
U' D' L' B2 F2 U' B'
D' U' L' B2 F2 U' B'
L' D' U' L' D B R2
L' D' U' L' B D R2
L2 D' U F2 L U' B
U2 D' L' F2 B2 U' B'
L' D' U' B L' D R2
L' D' U' B D L' R2
L' D' U' B D R2 L'
U2 D' L' B2 F2 U' B'
B U B2 L' U' L' R2
B U B2 L' U' R2 L'
U D' L' F2 B2 U' B'
U D' L' B2 F2 U' B'
B' U' L' U' L' R2 B2
B' U' L' U' L' B2 R2
B' U' L' U' R2 L' B2
B' U' L' U' R2 B2 L'
B' U' L' U' B2 L' R2
B' U' L' U' B2 R2 L'
L2 D' F2 L U' L' B
L2 D' F2 L U' B L'
F U' L2 B R' F' R'
D U' F2 B2 R U B'
B U' D F2 R B2 U
B U' D F2 B2 R U
B U' D B2 F2 R U
D U' B2 F2 R U B'
D' U2 L' F2 B2 U' B'
D' U2 L' B2 F2 U' B'
B U' F2 R U L2 R
B U' F2 R U R L2
F U' B L2 R' F' R'
L' D2 U L2 U2 L B
F U' B R' L2 F' R'
F U' B R' F' L2 R'
F U' B R' F' R' L2
L' D2 U' B D2 L' R2
L' D2 U' B D2 R2 L'
B' U2 L' U' L' R2 B2
B' U2 L' U' L' B2 R2
B' U2 L' U' R2 L' B2
B' U2 L' U' R2 B2 L'
B' U2 L' U' B2 L' R2
B' U2 L' U' B2 R2 L'
D U2 F2 B2 R U B'
L2 F L U' L' B R2
L2 F L U' B L' R2
L2 F L U' B R2 L'
D U2 B2 F2 R U B'
L F L2 U' L' B R2
L F L2 U' B L' R2
L F L2 U' B R2 L'
L2 F U L U' B R2
B' D L2 F2 B2 R' U
B' D L2 B2 R' F2 U
B' D L2 B2 F2 R' U
L2 F B R D' R F'
L2 F' L U' L' B R2
L2 F' L U' B L' R2
L2 F' L U' B R2 L'
B D U' F2 R B2 U
B D U' F2 B2 R U
B D U' B2 F2 R U
B' D F2 L2 R B2 U
B' D F2 L2 B2 R U
B' D F2 R L2 B2 U
B' D F2 R B2 L2 U
B2 D F2 R B2 U B
L F' L2 U' L' B R2
L F' L2 U' B L' R2
L F' L2 U' B R2 L'
B' D F2 B2 L2 R U
B' D F2 B2 R L2 U
B D F2 R B2 U B2
B D F2 B2 R U B2
L2 F' U L U' B R2
F2 D B2 R F2 U B'
B' D B2 F2 L2 R U
B' D B2 F2 R L2 U
B' D' L' R2 F2 B2 U'
B' D' L' R2 B2 F2 U'
B D B2 F2 R U B2
B' D' L' F2 R2 B2 U'
B' D' L' F2 B2 R2 U'
B D' L D L2 R2 F2
B D' L D L2 F2 R2
B D' L D R2 L2 F2
B D' L D R2 F2 L2
B D' L D F2 L2 R2
B D' L D F2 R2 L2
B' D' L' B2 R2 F2 U'
B' D' L' B2 F2 R2 U'
B D' L' F2 B2 U' B2
B D' L' B2 F2 U' B2
B' D' R2 L' F2 B2 U'
B' D' R2 L' B2 F2 U'
L2 F' B R D' R F'
B' D' R2 B2 L' F2 U'
B D' U L' F2 B2 U'
B D' U L' B2 F2 U'
L2 F2 L U' L' B R2
L2 F2 L U' B L' R2
L2 F2 L U' B R2 L'
B D' U B2 L' F2 U'
D F2 L B2 R U B'
R' F2 R U L2 B R2
R' F2 R U B L2 R2
R' F2 R U B R2 L2
D F2 L' B2 R U B'
R2 F2 L2 U' R U B'
B' D' F2 R2 B2 L U'
R2 F2 L2 B' U' R U
F2 D' F2 L' B2 U' B'
L F2 L2 U' L' B R2
