D L B2 D2 R2 F'
D L' U2 F L2 B2
D L' U2 F B2 L2
D L' U2 B2 F L2
L2 D B2 L' R' F
L2 D B2 L' F R'
L2 D B2 R' L' F
D' F2 U2 L R F'
D' F2 U2 R L F'
D' F2 U2 R F' L
D L' U2 F2 L2 F' B2
D L' U2 F2 L2 B2 F'
D L' U2 F2 B2 L2 F'
D L' U2 B F L2 B
D L' U2 B2 F L2 D
D L' U2 B2 F L2 D'
D L' U2 B2 F L2 D2
D L' U2 B2 F' L2 F2
D L' U2 B2 F2 L2 F'
D L' D2 R2 F2 U2 F'
D L' D2 F2 R2 B U2
D L' F L' B2 L' R'
D L' F L' B2 R' L'
D L' F L2 B2 D2 R2
D L' F B2 L2 D2 R2
D L' F' U2 L2 F2 B2
D L' F' U2 L2 B2 F2
D L' F' U2 F2 L2 B2
D L' F' U2 F2 B2 L2
D L' F' U2 B2 L2 F2
D L' F' U2 B2 F2 L2
D' L' F2 R U2 L2 F'
D' L' F2 R U2 F' L2
D' L' F2 R' B U2 L2
D L' F2 U2 L2 F' B2
D L' F2 U2 L2 B2 F'
D L' F2 U2 F' L2 B2
D L' F2 U2 F' B2 L2
D L' F2 U2 B2 L2 F'
D L' F2 U2 B2 F' L2
D L' B U2 F L2 B
D L' B U2 F B L2
D L' B U2 B F L2
D L' B' U2 F B' L2
D L' B' U2 B' F L2
D L' B2 F L2 D2 R2
F2 L2 D L' R F B2
F2 L2 D L' R B2 F
D L2 U2 B2 L' R' F'
D L2 U2 B2 R' L' F'
F2 L2 D L' B2 R F
F2 L2 D R L' F B2
F2 L2 D R L' B2 F
F2 L2 D R B2 L' F
F L2 D L' F R B2
F L2 D L' F B2 R
F L2 D L' B2 F R
U' L2 D B2 L' R' F
U' L2 D B2 L' F R'
U' L2 D B2 R' L' F
F2 L2 D B2 L' R F
F2 L2 D B2 R L' F
U2 L2 D B2 L' R' F
U2 L2 D B2 L' F R'
U2 L2 D B2 R' L' F
F L2 D B2 L' F R
U L2 D B2 L' R' F
U L2 D B2 L' F R'
U L2 D B2 R' L' F
D' L2 D2 B2 L' R' F
D' L2 D2 B2 L' F R'
D' L2 D2 B2 R' L' F
D' L2 F2 L R U2 F'
D' L2 F2 R L U2 F'
R2 U D L' U2 F L2
D L2 B2 L R' F L2
D L2 B2 L F L2 R'
D L2 B2 L F R' L2
L2 U D B2 L' R' F
L2 U D B2 L' F R'
L2 U D B2 R' L' F
D L2 B2 R' L F L2
D' R L D2 F' R2 B2
D' R L D2 F' B2 R2
D' R L D2 B2 F' R2
D' R L F' D2 R2 B
D R L B2 D2 R2 F'
D' R L' F2 U2 F L2
D R L' U2 F L2 B2
D R L' U2 F B2 L2
D R L' U2 B2 F L2
D' R F2 U2 R F L
L' U' R2 B' L U' L
L2 U' D B2 L' R' F
L2 U' D B2 L' F R'
L2 U' D B2 R' L' F
D' R' L D2 R2 F' B2
D' R' L D2 R2 B2 F'
R2 U' D' F2 L R F'
R2 U' D' F2 R L F'
R2 U' D' F2 R F' L
D R' L B2 D2 R2 F'
D' R' L' F2 B U2 L2
D' R' L' B F2 U2 L2
D R' L' U2 F L2 B2
D R' L' U2 F B2 L2
D R' L' U2 B2 F L2
R2 U' F2 L D' R F'
R2 U' F2 D' L R F'
R2 U' F2 D' R L F'
R2 U' F2 D' R F' L
L' U' B' L R2 U' L
L' U' B' R2 L U' L
L' U2 L' D L' F B2
L' U2 L' D L' B2 F
L' U2 L' D B2 L' F
L2 U2 D B2 L' R' F
L2 U2 D B2 L' F R'
L2 U2 D B2 R' L' F
D R2 L B2 D2 R2 F'
D R2 L' U2 F L2 B2
D R2 L' U2 F B2 L2
D R2 L' U2 B2 F L2
B2 R2 U L' R B U2
B2 R2 U R L' B U2
B2 R2 U R B L' U2
L2 D L U2 L2 F B2
L2 D L U2 L2 B2 F
L2 D L B' U2 B' L2
L2 D L' F B2 D2 R2
L2 D L' B2 D2 R2 F
L2 D L' B2 D2 F R2
L2 D L' B2 F D2 R2
D' R2 F2 U2 L R F
D' R2 F2 U2 R L F
L2 D R B2 L' R' F
L2 D R B2 L' F R'
L2 D R B2 R' L' F
L2 D R' B2 L' R' F
L2 D R' B2 L' F R'
L2 D R' B2 R' L' F
L2 D R2 B2 L' R' F
L2 D R2 B2 L' F R'
L2 D R2 B2 R' L' F
R2 D U L' U2 F L2
L2 D U B2 L' R' F
L2 D U B2 L' F R'
L2 D U B2 R' L' F
L2 D U' B2 L' R' F
L2 D U' B2 L' F R'
L2 D U' B2 R' L' F
U' D L B2 D2 R2 F'
U' D L' U2 F L2 B2
U' D L' U2 F B2 L2
U' D L' U2 B2 F L2
U2 D L B2 D2 R2 F'
L2 D U2 B2 L' R' F
L2 D U2 B2 L' F R'
L2 D U2 B2 R' L' F
U2 D L' U2 F L2 B2
U2 D L' U2 F B2 L2
D U L B2 D2 R2 F'
U2 D L' U2 B2 F L2
D U L' U2 F L2 B2
D U L' U2 F B2 L2
D U L' U2 B2 F L2
U D L B2 D2 R2 F'
U D L' U2 F L2 B2
U D L' U2 F B2 L2
U D L' U2 B2 F L2
L2 D B L' F B R'
L2 D B L' B R' F
L2 D B L' B F R'
L2 D B2 L' R F R2
L2 D B2 L' R' D F
L2 D B2 L' R' D' F
L2 D B2 L' R' D2 F
L2 D B2 L' R' F D
L2 D B2 L' R' F D'
L2 D B2 L' R' F D2
L2 D B2 L' D R' F
L2 D B2 L' D F R'
L2 D B2 L' D' R' F
L2 D B2 L' D' F R'
L2 D B2 L' D2 R' F
L2 D B2 L' D2 F R'
L2 D B2 L' F R' D
L2 D B2 L' F R' D'
L2 D B2 L' F R' D2
L2 D B2 L' F D R'
L2 D B2 L' F D' R'
L2 D B2 L' F D2 R'
L2 D B2 L' F' R' F2
L2 D B2 R L' F R2
L2 D B2 R' L' D F
L2 D B2 R' L' D' F
L2 D B2 R' L' D2 F
L2 D B2 R' L' F D
L2 D B2 R' L' F D'
L2 D B2 R' L' F D2
D' U F2 U2 L R F'
D' U F2 U2 R L F'
D' U F2 U2 R F' L
L D' R F' D' R2 B
D U' L B2 D2 R2 F'
D U' L' U2 F L2 B2
D U' L' U2 F B2 L2
D U' L' U2 B2 F L2
R2 D' U' F2 L R F'
R2 D' U' F2 R L F'
R2 D' U' F2 R F' L
L2 D' F2 L R U2 F'
L2 D' F2 R L U2 F'
R2 D' F2 U' L R F'
R2 D' F2 U' R L F'
R2 D' F2 U' R F' L
D' U' F2 U2 L R F'
U' D' F2 U2 L R F'
U' D' F2 U2 R L F'
D' U' F2 U2 R L F'
D' U' F2 U2 R F' L
U' D' F2 U2 R F' L
U2 D' F2 U2 L R F'
U2 D' F2 U2 R L F'
U2 D' F2 U2 R F' L
U D' F2 U2 L R F'
U D' F2 U2 R L F'
U D' F2 U2 R F' L
D U2 L B2 D2 R2 F'
D U2 L' U2 F L2 B2
D U2 L' U2 F B2 L2
D U2 L' U2 B2 F L2
D' U2 F2 U2 L R F'
D' U2 F2 U2 R L F'
D' U2 F2 U2 R F' L
D F L' F L2 R B2
D F L' F L2 B2 R
D F L' F R L2 B2
D F L' F R B2 L2
D F L' F B2 L2 R
D F L' F B2 R L2
D F L' B2 F L2 R
D F L' B2 F R L2
F2 D L R' B2 R2 F'
F2 D L B2 R2 F' R'
F2 D L' R F L2 B2
F2 D L' R F B2 L2
F2 D L' R B2 F L2
F2 D L' B2 R F L2
F D L' F L2 R B2
F D L' F L2 B2 R
F D L' F R L2 B2
F D L' F R B2 L2
F D L' F B2 L2 R
F D L' F B2 R L2
F2 D R L' F L2 B2
F2 D R L' F B2 L2
F2 D R L' B2 F L2
F D L' B2 F L2 R
F D L' B2 F R L2
F2 D R' L B2 R2 F'
D' F' L R F' R B
D F' L B2 R2 F' R
D F' L' F L2 B2 R'
D' F' R L F' R B
D' F' R F' L R B
D' F' R F' R L B
F2 D' L R D2 F' B2
F2 D' L R D2 B2 F'
F2 D' R L D2 F' B2
F2 D' R L D2 B2 F'
F2 D' R D2 L F' B2
F2 D' R D2 L B2 F'
F2 D' R D2 F' L B2
D' F2 L' R F' L2 B'
D' F2 L' U2 L2 R F'
D' F2 L' U2 R L2 F'
D' F2 L' U2 R F' L2
D F2 L R' B2 R2 F'
D' F2 L2 U2 L' R F'
D' F2 L2 U2 R L' F'
D F2 L B2 R2 F' R'
D F2 L' R F L2 B2
D F2 L' R F B2 L2
D F2 L' R B2 F L2
R F2 L D' R F' B2
R F2 L D' R B2 F'
R F2 L D' B2 R F'
D' F2 R L' F' L2 B'
D F2 L' B2 R F L2
D' F2 R F' L2 B' L'
D' F2 R' U2 L R2 F'
D' F2 R' U2 R2 L F'
D' F2 R' U2 R2 F' L
D F2 R L' F L2 B2
D F2 R L' F B2 L2
D F2 R L' B2 F L2
D' F2 R2 U2 L R' F
D' F2 R2 U2 L F R'
D' F2 R2 U2 R' L F
D F2 R' L B2 R2 F'
D' F2 U2 L R D F'
D' F2 U2 L R D' F'
D' F2 U2 L R D2 F'
D' F2 U2 L R F' D
D' F2 U2 L R F' D'
D' F2 U2 L R F' D2
D' F2 U2 L' R F' L2
D' F2 U2 R L D F'
D' F2 U2 R L D' F'
D' F2 U2 R L D2 F'
D' F2 U2 R L F' D
D' F2 U2 R L F' D'
D' F2 U2 R L F' D2
D' F2 U2 R L' F' L2
D' F2 U2 R D L F'
D' F2 U2 R D F' L
D' F2 U2 R D' L F'
D' F2 U2 R D' F' L
D' F2 U2 R D2 L F'
D' F2 U2 R D2 F' L
R2 F2 U' L D' R F'
D' F2 U2 R F L F2
D' F2 U2 R F' L D
D' F2 U2 R F' L D'
D' F2 U2 R F' L D2
D' F2 U2 R F' D L
D' F2 U2 R F' D' L
D' F2 U2 R F' D2 L
R2 F2 U' D' L R F'
R2 F2 U' D' R L F'
R2 F2 U' D' R F' L
R2 F2 D' U' L R F'
R2 F2 D' U' R L F'
R2 F2 D' U' R F' L
D' F2 B' U2 R F' L'
D' F2 B2 R' U2 R2 F'
D' F2 B2 R' B U2 R2
L' B' U' L R2 U' L
L' B' U' R2 L U' L
D' B' F2 U2 R F' L'
D' B2 L' R' F2 B U2
D' B2 L' R' B F2 U2
D' B2 L' F2 R' B U2
D' B2 R' L' F2 B U2
D' B2 R' L' B F2 U2
D' B2 R' F2 B U2 R
D' B2 R' B L' F2 U2
D' B2 R' B F2 U2 R
D B2 R2 F2 L' R F
D B2 R2 F2 R L' F
R2 B2 U L' R' U2 F'
R2 B2 U R' L' U2 F'
D B2 U2 L' R' U2 F
D B2 U2 R' L' U2 F
D' B2 F2 R' U2 R2 F'
D' B2 F2 R' B U2 R2
