B U' F' R
B L U' F' R
B L' U' F' R
B L2 U' F' R
B U' F' R D
B U' F' R D'
B U' F' R D2
B U' F' D R
B U' F' D' R
B U' F' D2 R
L' B U' F' R
L B U' F' R
L2 B U' F' R
D2 B U' F' R'
F B U' F2 R
B F U' F2 R
B U' F' R2 D' R' D'
B U' F' R2 D' R' D2
B U' F' R2 D2 R' D
B U' F' R2 D2 R' D'
B U' F' R2 D2 R' D2
B U' F' R2 F' R' F
B U' F' R2 F2 R' F2
B' U' F2 D F L2 R
B' U' F2 D F R L2
B U' F' U' B U R
B U' F' U' B' U R
B U' F' U' B2 U R
B U' F' U2 L U2 R
B U' F' U2 L' U2 R
B U' F' U2 L2 U2 R
B U' F' D R2 D R'
B U' F' D R2 D' R'
B U' F' D R2 D2 R'
B U' F' D B R B'
B U' F' D B2 R B2
B U' F' D' R2 D R'
B U' F' D' R2 D' R'
B U' F' D' R2 D2 R'
B U' F' D' B R B'
B U' F' D' B2 R B2
L D2 L2 B U' F' R'
B U' F' D2 R2 D R'
B U' F' D2 R2 D' R'
B U' F' D2 R2 D2 R'
B U' F' D2 B R B'
B U' F' D2 B2 R B2
B U' F' B R D B'
B U' F' B R D' B'
B U' F' B R D2 B'
B U' F' B R B' D
B U' F' B R B' D'
B U' F' B R B' D2
B U' F' B R' B' R2
B U' F' B D R B'
B U' F' B D B' R
B U' F' B D' R B'
B U' F' B D' B' R
B U' F' B D2 R B'
B U' F' B D2 B' R
B U' F' B' D B R
B U' F' B' D' B R
B U' F' B' D2 B R
B U' F' B2 R B2 D
B U' F' B2 R B2 D'
B U' F' B2 R B2 D2
B U' F' B2 R' B2 R2
B U' F2 R D F R
B U' F2 R D' F R
B U' F2 R D2 F R
B U' F2 R F R D
B U' F2 R F R D'
B U' F2 R F R D2
B U' F2 R F D R
B U' F2 R F D' R
B U' F2 R F D2 R
B U' F2 R' D F R
B U' F2 R' D' F R
B U' F2 R' D2 F R
B U' F2 R' F R D
B U' F2 R' F R D'
B U' F2 R' F R D2
B U' F2 R' F D R
B U' F2 R' F D' R
B U' F2 R' F D2 R
B U' F2 R2 D F R
B U' F2 R2 D' F R
B U' F2 R2 D2 F R
B U' F2 R2 F R D
B U' F2 R2 F R D'
B U' F2 R2 F R D2
B U' F2 R2 F D R
B U' F2 R2 F D' R
B U' F2 R2 F D2 R
B U' F2 D R F R
B U' F2 D R' F R
B U' F2 D R2 F R
B U' F2 D F R D
B U' F2 D F R D'
B U' F2 D F R D2
B U' F2 D F D R
B U' F2 D F D' R
B U' F2 D F D2 R
B U' F2 D' R F R
B U' F2 D' R' F R
B U' F2 D' R2 F R
B U' F2 D' F R D
B U' F2 D' F R D'
B U' F2 D' F R D2
B U' F2 D' F D R
B U' F2 D' F D' R
B U' F2 D' F D2 R
F2 U' B U' F B' R'
B U' F2 D2 R F R
B U' F2 D2 R' F R
F2 U' B U' B' R' F
F2 U' B U' B' F R'
B U' F2 D2 R2 F R
B U' F2 D2 F R D
B U' F2 D2 F R D'
B U' F2 D2 F R D2
B U' F2 D2 F D R
B U' F2 D2 F D' R
B U' F2 D2 F D2 R
F U' F2 U B U' R
B2 U' B' U' F' B R
B2 U' B' U' B F' R
F U' B U' F2 R B'
F U' B U' F2 B' R
B U' B F' R D B'
B U' B F' R D' B'
B U' B F' R D2 B'
B U' B F' R B' D
B U' B F' R B' D'
B U' B F' R B' D2
B U' B F' R' B' R2
F U' B U' B' F2 R
B U' B F' D R B'
B U' B F' D B' R
B U' B F' D' R B'
B U' B F' D' B' R
B U' B F' D2 R B'
B U' B F' D2 B' R
B' U' B2 U' F' R B2
B' U' B2 U' F' B2 R
B' U' B2 U' B2 F' R
B U' B' D2 F' B R'
B U' B' D2 B F' R'
B U' B' F' D B R
B U' B' F' D' B R
B U' B' F' D2 B R
B U' B2 F' R B2 D
B U' B2 F' R B2 D'
B U' B2 F' R B2 D2
B U' B2 F' R' B2 R2
L' D2 F B U' R' F2
L' D2 F B U' F2 R'
U' D2 F' U B U' R'
L2 D2 F B U' R' F2
L2 D2 F B U' F2 R'
L D2 F B U' R' F2
L D2 F B U' F2 R'
L' D2 F2 B U' R' F
L' D2 F2 B U' F R'
L' D2 B L U' F' R'
L' D2 B L' U' F' R'
L' D2 B L2 U' F' R'
U' D2 B U' F' R' B'
L2 D2 F2 B U' R' F
L2 D2 F2 B U' F R'
L' D2 B U' D F' R'
L' D2 B U' D' F' R'
L' D2 B U' D2 F' R'
L' D2 B U' F R' F2
L' D2 B U' F' R' D
L' D2 B U' F' R' D'
L' D2 B U' F' R' D2
L' D2 B U' F' D R'
L' D2 B U' F' D' R'
L' D2 B U' F' D2 R'
L' D2 B U' F2 R' F
L2 D2 B L U' F' R'
L2 D2 B L' U' F' R'
L' D2 B D U' F' R'
L2 D2 B L2 U' F' R'
L' D2 B D' U' F' R'
L' D2 B D2 U' F' R'
L' D2 B F U' R' F2
L' D2 B F U' F2 R'
L' D2 B F2 U' R' F
L' D2 B F2 U' F R'
L2 D2 B U' D F' R'
L2 D2 B U' D' F' R'
L2 D2 B U' D2 F' R'
L2 D2 B U' F R' F2
L2 D2 B U' F' R' D
L2 D2 B U' F' R' D'
L2 D2 B U' F' R' D2
L2 D2 B U' F' D R'
L2 D2 B U' F' D' R'
L2 D2 B U' F' D2 R'
L2 D2 B U' F2 R' F
L2 D2 B D U' F' R'
L2 D2 B D' U' F' R'
B U2 R' U R F' R
B U2 R' U F' R F'
L2 D2 B D2 U' F' R'
L2 D2 B F U' R' F2
L2 D2 B F U' F2 R'
L D2 F2 B U' R' F
L D2 F2 B U' F R'
