L U' B' U' B'
R' L U' B' U' B'
R2 L U' B' U' B'
L R U' B' U' B'
R L U' B' U' B'
F L U' B' U' B'
F' L U' B' U' B'
F2 L U' B' U' B'
L R' U' B' U' B'
L R2 U' B' U' B'
L U L2 F U B2
L U D L2 F U
L U' R B' U' B'
L U' R' B' U' B'
L U' R2 B' U' B'
L U' D' R2 B' U'
L U' D' B' R2 U'
L U' B' R U' B'
L U' B' R' U' B'
L U' B' R2 U' B'
L U' B' U' D B'
L U' B' U' D' B'
L U' B' U' D2 B'
L U' B' U' B' D
L U' B' U' B' D'
L U' B' U' B' D2
L U' B' D U' B'
L U' B' D' U' B'
L U' B' D2 U' B'
L U2 B D L2 B
L U2 B D B L2
L U2 B2 U B U'
L D U L2 F U
L D' U' R2 B' U'
L D' U' B' R2 U'
L D2 F2 U' B' U'
L F U' B' U' B'
L F' U' B' U' B'
L F2 U' B' U' B'
U2 B' D' B' L R'
U2 B' D' B' R' L
R' L U' B' D2 U' B'
F2 L R2 U' B' U' B'
R2 L U' B' R U' B'
R2 L U' B' R' U' B'
F L R2 U' B' U' B'
R2 L U' B' R2 U' B'
R2 L U' B' U' D B'
R2 L U' B' U' D' B'
R2 L U' B' U' D2 B'
R2 L U' B' U' B' D
R2 L U' B' U' B' D'
R2 L U' B' U' B' D2
L R U' B' R U' B'
L R U' B' R' U' B'
R2 L U' B' D U' B'
R2 L U' B' D' U' B'
L R U' B' R2 U' B'
R2 L U' B' D2 U' B'
L R U' B' U' D B'
L R U' B' U' D' B'
L R U' B' U' D2 B'
L R U' B' U' B' D
L R U' B' U' B' D'
L R U' B' U' B' D2
L R U' B' D U' B'
L R U' B' D' U' B'
L R U' B' D2 U' B'
R L U' B' R U' B'
R L U' B' R' U' B'
R L U' B' R2 U' B'
R L U' B' U' D B'
R L U' B' U' D' B'
R L U' B' U' D2 B'
R L U' B' U' B' D
R L U' B' U' B' D'
R L U' B' U' B' D2
R L U' B' D U' B'
R L U' B' D' U' B'
R L U' B' D2 U' B'
F' L U L2 F U B2
D L U L F U L'
F2 L U L2 F U B2
R' L U2 B D L2 B
R' L U2 B D B L2
F L U L2 F U B2
F' L U D L2 F U
R' L U2 B2 U B U'
R2 L U2 B D L2 B
R2 L U2 B D B L2
L R U2 B D L2 B
L R U2 B D B L2
F2 L U D L2 F U
R2 L U2 B2 U B U'
L R U2 B2 U B U'
F L U D L2 F U
R L U2 B D L2 B
R L U2 B D B L2
D L U F L U L2
R L U2 B2 U B U'
R' L D U L2 F U
R2 L D U L2 F U
L R D U L2 F U
R L D U L2 F U
F' L U' R B' U' B'
F' L U' R' B' U' B'
F2 L U' R B' U' B'
F' L U' R2 B' U' B'
D' L U' R2 B' U' L
F2 L U' R' B' U' B'
F L U' R B' U' B'
F' L U' D' R2 B' U'
F' L U' D' B' R2 U'
F2 L U' R2 B' U' B'
F L U' R' B' U' B'
F L U' R2 B' U' B'
F2 L U' D' R2 B' U'
F2 L U' D' B' R2 U'
F L U' D' R2 B' U'
F L U' D' B' R2 U'
F' L U' B' R U' B'
F' L U' B' R' U' B'
F' L U' B' R2 U' B'
F' L U' B' U' D B'
F' L U' B' U' D' B'
F' L U' B' U' D2 B'
F' L U' B' U' B' D
F' L U' B' U' B' D'
F' L U' B' U' B' D2
F' L U' B' D U' B'
F' L U' B' D' U' B'
F' L U' B' D2 U' B'
D' L U' B' R2 U' L
R' L D' U' R2 B' U'
R' L D' U' B' R2 U'
F2 L U' B' R U' B'
F2 L U' B' R' U' B'
F2 L U' B' R2 U' B'
F2 L U' B' U' D B'
F2 L U' B' U' D' B'
F2 L U' B' U' D2 B'
F2 L U' B' U' B' D
F2 L U' B' U' B' D'
F2 L U' B' U' B' D2
F2 L U' B' D U' B'
F2 L U' B' D' U' B'
F2 L U' B' D2 U' B'
F L U' B' R U' B'
F L U' B' R' U' B'
F L U' B' R2 U' B'
F L U' B' U' D B'
R2 L D' U' R2 B' U'
F L U' B' U' D' B'
F L U' B' U' D2 B'
F L U' B' U' B' D
F L U' B' U' B' D'
F L U' B' U' B' D2
F L U' B' D U' B'
F L U' B' D' U' B'
F L U' B' D2 U' B'
L R D' U' R2 B' U'
R2 L D' U' B' R2 U'
L R D' U' B' R2 U'
R L D' U' R2 B' U'
R L D' U' B' R2 U'
F' L U2 B D L2 B
F' L U2 B D B L2
D' L U2 B D B2 L
D' L U2 B' L D B2
D' L U2 B' D L B2
F2 L U2 B D L2 B
F2 L U2 B D B L2
F' L U2 B2 U B U'
F L U2 B D L2 B
F L U2 B D B L2
F2 L U2 B2 U B U'
F L U2 B2 U B U'
R' L D2 F2 U' B' U'
R2 L D2 F2 U' B' U'
L R D2 F2 U' B' U'
F' L D U L2 F U
R L D2 F2 U' B' U'
F2 L D U L2 F U
F L D U L2 F U
R' L F U' B' U' B'
R2 L F U' B' U' B'
L R F U' B' U' B'
R L F U' B' U' B'
F' L D' U' R2 B' U'
F' L D' U' B' R2 U'
F2 L D' U' R2 B' U'
F2 L D' U' B' R2 U'
F L D' U' R2 B' U'
F L D' U' B' R2 U'
R' L F' U' B' U' B'
R2 L F' U' B' U' B'
L R F' U' B' U' B'
R L F' U' B' U' B'
F' L D2 F2 U' B' U'
F2 L D2 F2 U' B' U'
R' L F2 U' B' U' B'
F L D2 F2 U' B' U'
R2 L F2 U' B' U' B'
L R F2 U' B' U' B'
R L F2 U' B' U' B'
D L F U L U L2
F' L F U' B' U' B'
F2 L F U' B' U' B'
D L F U2 L' D' B2
D2 L F D' F U2 L'
F L F U' B' U' B'
D L F' R U L U
F' L F' U' B' U' B'
F2 L F' U' B' U' B'
D2 L F' D' F' R U2
F L F' U' B' U' B'
D2 L F2 R U F' U
D2 L F2 R' U' B U'
D L F2 U L F U
F' L F2 U' B' U' B'
F2 L F2 U' B' U' B'
F L F2 U' B' U' B'
L R' U L2 F U B2
L R' U D L2 F U
L R' U' R B' U' B'
L R' U' R' B' U' B'
L R' U' R2 B' U' B'
L R' U' D' R2 B' U'
L R' U' D' B' R2 U'
L R' U' B' R U' B'
L R' U' B' R' U' B'
L R' U' B' R2 U' B'
L R' U' B' U' D B'
L R' U' B' U' D' B'
L R' U' B' U' D2 B'
L R' U' B' U' B' D
L R' U' B' U' B' D'
L R' U' B' U' B' D2
L R' U' B' D U' B'
L R' U' B' D' U' B'
L R' U' B' D2 U' B'
L R' U2 B D L2 B
L R' U2 B D B L2
L R' U2 B2 U B U'
L R' D U L2 F U
L R' D' U' R2 B' U'
L R' D' U' B' R2 U'
L R' D2 F2 U' B' U'
L R' F U' B' U' B'
L R' F' U' B' U' B'
L R' F2 U' B' U' B'
U L' D F L2 B' U
U L' F L U B2 R'
U L' F U B2 D2 R2
U L' F U' L2 U2 B2
L R2 U L2 F U B2
L R2 U D L2 F U
L R2 U' R B' U' B'
L R2 U' R' B' U' B'
L R2 U' R2 B' U' B'
L R2 U' D' R2 B' U'
L R2 U' D' B' R2 U'
L R2 U' B' R U' B'
L R2 U' B' R' U' B'
L R2 U' B' R2 U' B'
L R2 U' B' U' D B'
L R2 U' B' U' D' B'
L R2 U' B' U' D2 B'
L R2 U' B' U' B' D
L R2 U' B' U' B' D'
L R2 U' B' U' B' D2
L R2 U' B' D U' B'
L R2 U' B' D' U' B'
L R2 U' B' D2 U' B'
L R2 U2 B D L2 B
L R2 U2 B D B L2
L R2 U2 B2 U B U'
L R2 D U L2 F U
L R2 D' U' R2 B' U'
L R2 D' U' B' R2 U'
L R2 D2 F2 U' B' U'
L R2 F U' B' U' B'
L R2 F' U' B' U' B'
B L2 U F B L R'
B L2 U F B R' L
B L2 U B R' F L
B L2 U B F L R'
B L2 U B F R' L
L R2 F2 U' B' U' B'
L U L U B L B
L U L2 D F L2 U
L U L2 F L U B2
L U L2 F L' U B2
L U L2 F L2 U B2
L U L2 F U B2 D
L U L2 F U B2 D'
L U L2 F U B2 D2
L U L2 F D L2 U
L' U D F L2 B' U
L U D L2 D F U
L U D L2 D' F U
L U D L2 D2 F U
L U D L2 F U D
L U D L2 F U D'
L U D L2 F U D2
L U D L2 F D U
L U D L2 F D' U
L U D L2 F D2 U
L U D F L2 F U
L U D F' L2 F U
L U D F2 L2 F U
F' R L U' B' U' B'
F2 R L U' B' U' B'
D2 R L F2 U F U
F R L U' B' U' B'
L' U F L U B2 R'
L' U F U B2 D2 R2
L' U F U' L2 U2 B2
L U F L2 F U B2
L U F U2 B' U' B'
L U F D L2 F U
L U F' L2 F U B2
L U F' U2 B' U' B'
L U F' D L2 F U
L U F2 L2 F U B2
L U F2 U2 B' U' B'
L U F2 D L2 F U
L U' R D' R2 B' U'
L U' R D' B' R2 U'
L U' R B' R U' B'
L U' R B' R' U' B'
L U' R B' R2 U' B'
L U' R B' U' D B'
L U' R B' U' D' B'
L U' R B' U' D2 B'
L U' R B' U' B' D
L U' R B' U' B' D'
L U' R B' U' B' D2
L U' R B' D U' B'
L U' R B' D' U' B'
L U' R B' D2 U' B'
L U' R' D' R2 B' U'
L U' R' D' B' R2 U'
L U' R' B' R U' B'
L U' R' B' R' U' B'
L U' R' B' R2 U' B'
L U' R' B' U' D B'
L U' R' B' U' D' B'
L U' R' B' U' D2 B'
L U' R' B' U' B' D
L U' R' B' U' B' D'
L U' R' B' U' B' D2
L U' R' B' D U' B'
L U' R' B' D' U' B'
L U' R' B' D2 U' B'
L U' R2 D' R2 B' U'
L U' R2 D' B' R2 U'
U2 R B' D' B' L R'
L U' R2 B' R U' B'
U2 R B' D' B' R' L
L U' R2 B' R' U' B'
L U' R2 B' R2 U' B'
L U' R2 B' U' D B'
L U' R2 B' U' D' B'
L U' R2 B' U' D2 B'
L U' R2 B' U' B' D
L U' R2 B' U' B' D'
L U' R2 B' U' B' D2
L U' R2 B' D U' B'
L U' R2 B' D' U' B'
L U' R2 B' D2 U' B'
L U' D B' U' D' B2
L U' D B' U2 L2 U
L U' D B' D' U' B2
L U' D B' D2 R2 U'
F' R' L U' B' U' B'
L U' D' R B' R U'
L U' D' R2 D B' U'
L U' D' R2 D' B' U'
L U' D' R2 D2 B' U'
F2 R' L U' B' U' B'
L U' D' R2 B' U' D
L U' D' R2 B' U' D'
L U' D' R2 B' U' D2
L U' D' R2 B' D U'
L U' D' R2 B' D' U'
L U' D' R2 B' D2 U'
D2 R' L F2 U' B U'
L U' D' B R2 B2 U'
L U' D' B' R2 U' D
L U' D' B' R2 U' D'
L U' D' B' R2 U' D2
L U' D' B' R2 D U'
L U' D' B' R2 D' U'
L U' D' B' R2 D2 U'
L U' D' B' U' D B2
L U' D' B' D U' B2
F R' L U' B' U' B'
L U' D2 B' U F2 U2
L U' D2 B' U' D2 B2
L U' D2 B' D R2 U'
L U' D2 B' D2 U' B2
L U' B U' D L2 B
L U' B U' D B L2
L U' B D U' L2 B
L U' B D U' B L2
L U' B' R U' D B'
L U' B' R U' D' B'
L U' B' R U' D2 B'
L U' B' R U' B' D
L U' B' R U' B' D'
L U' B' R U' B' D2
L U' B' R D U' B'
L U' B' R D' U' B'
L U' B' R D2 U' B'
L U' B' R' U' D B'
L U' B' R' U' D' B'
L U' B' R' U' D2 B'
L U' B' R' U' B' D
L U' B' R' U' B' D'
L U' B' R' U' B' D2
L U' B' R' D U' B'
L U' B' R' D' U' B'
L U' B' R' D2 U' B'
L U' B' R2 U' D B'
L U' B' R2 U' D' B'
L U' B' R2 U' D2 B'
L U' B' R2 U' B' D
L U' B' R2 U' B' D'
L U' B' R2 U' B' D2
L U' B' R2 D U' B'
L U' B' R2 D' U' B'
L U' B' R2 D2 U' B'
L U' B' U F U2 B'
L U' B' U F' U2 B'
L U' B' U F2 U2 B'
L U' B' U' R' B' R
L U' B' U' R2 B' R2
L U' B' U' D B' D
L U' B' U' D B' D'
L U' B' U' D B' D2
L U' B' U' D' B' D
L U' B' U' D' B' D'
L U' B' U' D' B' D2
L U' B' U' D2 B' D
L U' B' U' D2 B' D'
L U' B' U' D2 B' D2
L U' B' U' B2 D B
L U' B' U' B2 D' B
L U' B' U' B2 D2 B
B2 R' D F D L' F2
L U' B' D R U' B'
L U' B' D R' U' B'
B2 R' D F' D F2 L'
L U' B' D R2 U' B'
L U' B' D U' B' D
L U' B' D U' B' D'
L U' B' D U' B' D2
L U' B' D' R U' B'
L U' B' D' R' U' B'
L U' B' D' R2 U' B'
L U' B' D' U' B' D
L U' B' D' U' B' D'
L U' B' D' U' B' D2
L U' B' D2 R U' B'
L U' B' D2 R' U' B'
L U' B' D2 R2 U' B'
L U' B' D2 U' B' D
L U' B' D2 U' B' D'
L U' B' D2 U' B' D2
B' R' D' B' L R' F'
B' R' D' B' R' L F'
B' R' D' B' R' F' L
L U' B2 D B U' B'
L U' B2 D' B U' B'
L U' B2 D2 B U' B'
B2 R' D2 F D' F L'
L U2 L' B' D' B' L
L U2 L2 U' F U B2
D2 R' F2 L U' B U'
L U2 L2 B2 U' F U
U2 R' B' D' B' L R'
U2 R' B' D' B' R' L
F' R2 L U' B' U' B'
F2 R2 L U' B' U' B'
L U2 D' B D L2 B2
L U2 D' B D B2 L2
F R2 L U' B' U' B'
L U2 B L D L2 B
L U2 B L D B L2
L U2 B L' D L2 B
L U2 B L' D B L2
L U2 B L2 D L2 B
L U2 B L2 D B L2
R' U2 B' D' B' L R'
R' U2 B' D' B' R' L
L U2 B U B2 U' B'
L U2 B D L' B L'
L U2 B D L2 D B
L U2 B D L2 D' B
L U2 B D L2 D2 B
L U2 B D L2 B D
L U2 B D L2 B D'
L U2 B D L2 B D2
L U2 B D B L2 D
L U2 B D B L2 D'
L U2 B D B L2 D2
L U2 B D B' L2 B2
L U2 B D' B D2 L2
L U2 B D2 B D' L2
R2 U2 B' D' B' L R'
R2 U2 B' D' B' R' L
R U2 B' D' B' L R'
R U2 B' D' B' R' L
L U2 B2 L U B U'
L U2 B2 L' U B U'
B' R2 D' F' B' L R'
B' R2 D' F' B' R' L
L U2 B2 L2 U B U'
B' R2 D' B' L F' R'
B' R2 D' B' F' L R'
B' R2 D' B' F' R' L
L U2 B2 U D B U'
L U2 B2 U D' B U'
L U2 B2 U D2 B U'
L U2 B2 U B U' D
L U2 B2 U B U' D'
L U2 B2 U B U' D2
L U2 B2 U B D U'
L U2 B2 U B D' U'
L U2 B2 U B D2 U'
L U2 B2 D U B U'
L U2 B2 D' U B U'
L U2 B2 D2 U B U'
B' R2 F' D' B' L R'
B' R2 F' D' B' R' L
L D R U L2 F U
L D R' U L2 F U
L D R2 U L2 F U
L' D U F L2 B' U
U2 R2 B' D' B' L R'
U2 R2 B' D' B' R' L
L D U L2 D F U
L D U L2 D' F U
L D U L2 D2 F U
L D U L2 F U D
L D U L2 F U D'
L D U L2 F U D2
L D U L2 F D U
L D U L2 F D' U
L D U L2 F D2 U
L D U F L2 F U
L D U F' L2 F U
L D U F2 L2 F U
L D U' B' U' D' B2
L D U' B' U2 L2 U
L D U' B' D' U' B2
L D U' B' D2 R2 U'
L D F U L2 F U
L D F' U L2 F U
L D F2 U L2 F U
L2 D' L' U' R2 B' U'
L2 D' L' U' B' R2 U'
L D' R U' R B' U'
L D' R U' B' R U'
L D' R' U' R' B' U'
L D' R2 U' B' U' B
L D' U' R B' R U'
L D' U' R2 D B' U'
L D' U' R2 D' B' U'
L D' U' R2 D2 B' U'
L D' U' R2 B' U' D
L D' U' R2 B' U' D'
L D' U' R2 B' U' D2
L D' U' R2 B' D U'
L D' U' R2 B' D' U'
L D' U' R2 B' D2 U'
L D' U' B R2 B2 U'
L D' U' B' R2 U' D
L D' U' B' R2 U' D'
L D' U' B' R2 U' D2
L D' U' B' R2 D U'
L D' U' B' R2 D' U'
L D' U' B' R2 D2 U'
L D' U' B' U' D B2
L D' U' B' D U' B2
L D' U2 B D L2 B2
L D' U2 B D B2 L2
L D' F U' R2 B' U'
L D' F U' B' R2 U'
L D' F' U' R2 B' U'
L D' F' U' B' R2 U'
L D' F2 U' R2 B' U'
L D' F2 U' B' R2 U'
L2 D2 L' F2 U' B' U'
L D2 R F2 U' B' U'
L D2 R' F2 U' B' U'
L D2 R2 F2 U' B' U'
L D2 U' B' U F2 U2
L D2 U' B' U' D2 B2
L D2 U' B' D R2 U'
L D2 U' B' D2 U' B2
L' D2 F2 U F' U R2
L D2 F2 R U' B' U'
L D2 F2 R' U' B' U'
L D2 F2 R2 U' B' U'
L D2 F2 U' D B' U'
L D2 F2 U' D' B' U'
L D2 F2 U' D2 B' U'
L D2 F2 U' B' U' D
L D2 F2 U' B' U' D'
L D2 F2 U' B' U' D2
L D2 F2 U' B' D U'
L D2 F2 U' B' D' U'
L D2 F2 U' B' D2 U'
L D2 F2 D U' B' U'
L D2 F2 D' U' B' U'
L D2 F2 D2 U' B' U'
R' F L U' B' U' B'
R2 F L U' B' U' B'
D F L U L U L
R F L U' B' U' B'
L' F L2 U2 B2 D L2
L F R U' B' U' B'
L F R' U' B' U' B'
F' U2 B' D' B' L R'
F' U2 B' D' B' R' L
F2 U2 B' D' B' L R'
F2 U2 B' D' B' R' L
B2 U2 B2 L U' B' U'
L F R2 U' B' U' B'
F U2 B' D' B' L R'
F U2 B' D' B' R' L
L F U L2 F U B2
L F U D L2 F U
L F U' R B' U' B'
L F U' R' B' U' B'
L F U' R2 B' U' B'
L F U' D' R2 B' U'
L F U' D' B' R2 U'
L F U' B' R U' B'
L F U' B' R' U' B'
L F U' B' R2 U' B'
L F U' B' U' D B'
L F U' B' U' D' B'
L F U' B' U' D2 B'
L F U' B' U' B' D
L F U' B' U' B' D'
L F U' B' U' B' D2
L F U' B' D U' B'
L F U' B' D' U' B'
L F U' B' D2 U' B'
D F U2 D' B2 L' R'
D F U2 D' B2 R' L'
D F D L F2 U2 L2
D2 F D' F L U2 L2
L F U2 B D L2 B
L F U2 B D B L2
L F U2 B2 U B U'
D F D F2 L R U2
D F D F2 R L U2
L F D U L2 F U
D F D' L U2 L2 B2
D F D' L U2 B2 L2
D F D' U2 B2 L' R'
D F D' U2 B2 R' L'
L F D' U' R2 B' U'
L F D' U' B' R2 U'
B2 D R' F D L' F2
B2 D R' F' D F2 L'
L F D2 F2 U' B' U'
R' F' L U' B' U' B'
D2 F' L D' F' R U2
D F' L R U L U
R2 F' L U' B' U' B'
B2 D F R' D L' F2
L' F' L2 U F2 U B2
R F' L U' B' U' B'
B2 D F D L' R' F2
B2 D F D L' F2 R'
B2 D F D R' L' F2
L' F' L2 U2 B2 D' L2
B2 D F' D F2 L' R'
B2 D F' D F2 R' L'
D F' R L U L U
D F' R U2 D' B2 R'
D F' R D L F2 U2
D F' R D F2 L U2
D F' R D' L U2 B2
D F' R D' U2 B2 R'
L F' R U' B' U' B'
L F' R' U' B' U' B'
L F' R2 U' B' U' B'
L F' U L2 F U B2
L F' U D L2 F U
L F' U' R B' U' B'
L F' U' R' B' U' B'
L F' U' R2 B' U' B'
L F' U' D' R2 B' U'
L F' U' D' B' R2 U'
L F' U' B' R U' B'
L F' U' B' R' U' B'
L F' U' B' R2 U' B'
L F' U' B' U' D B'
L F' U' B' U' D' B'
L F' U' B' U' D2 B'
L F' U' B' U' B' D
L F' U' B' U' B' D'
L F' U' B' U' B' D2
L F' U' B' D U' B'
L F' U' B' D' U' B'
L F' U' B' D2 U' B'
D2 F' D' L F' R U2
D F' D L R F2 U2
D F' D L F2 U2 L'
D F' D R L F2 U2
D2 F' D' F' L R U2
D2 F' D' F' R L U2
D F' D R F2 L U2
L F' U2 B D L2 B
L F' U2 B D B L2
L F' U2 B2 U B U'
D F' D F2 L U2 L2
D F' D' L R U2 B2
L F' D U L2 F U
D F' D' R L U2 B2
D F' D' R U2 B2 R'
B' D' R' B' L R' F'
B' D' R' B' R' L F'
B' D' R' B' R' F' L
L F' D' U' R2 B' U'
L F' D' U' B' R2 U'
B' D' R2 F' B' L R'
B' D' R2 F' B' R' L
B' D' R2 B' L F' R'
B' D' R2 B' F' L R'
B' D' R2 B' F' R' L
L F' D2 F2 U' B' U'
D2 F2 L R U F' U
D2 F2 L R' U' B U'
R' F2 L U' B' U' B'
U2 F' B2 R' D F L'
U2 F' B2 D R' F L'
U2 F' B2 D F L' R'
U2 F' B2 D F R' L'
R2 F2 L U' B' U' B'
D F2 L U L F U
L' F2 L2 U F' U B2
R F2 L U' B' U' B'
D2 F2 R L U F' U
D2 F2 R' L U' B U'
B' D' B L R' U2 B2
B' D' B L U2 B2 L
B' D' B R' L U2 B2
B' D' B R' U2 B2 R'
B' D' B U2 B2 L R'
B' D' B U2 B2 R' L
L F2 R U' B' U' B'
B' D' B' L R' D2 F2
B' D' B' L D2 R' F2
B' D' B' L D2 F2 R'
B' D' B' R' L D2 F2
B' D' B' R' D2 L F2
B' D' B' R' D2 F2 L
B' D' B' D2 L R' F2
B' D' B' D2 L F2 R'
B' D' B' D2 R' L F2
B' D' B' D2 R' F2 L
B' D' B' D2 F2 L R'
B' D' B' D2 F2 R' L
L F2 R' U' B' U' B'
L F2 R2 U' B' U' B'
L F2 U L2 F U B2
L F2 U D L2 F U
L F2 U' R B' U' B'
L F2 U' R' B' U' B'
L F2 U' R2 B' U' B'
L F2 U' D' R2 B' U'
L F2 U' D' B' R2 U'
L F2 U' B' R U' B'
L F2 U' B' R' U' B'
L F2 U' B' R2 U' B'
L F2 U' B' U' D B'
L F2 U' B' U' D' B'
L F2 U' B' U' D2 B'
L F2 U' B' U' B' D
L F2 U' B' U' B' D'
L F2 U' B' U' B' D2
L F2 U' B' D U' B'
L F2 U' B' D' U' B'
L F2 U' B' D2 U' B'
L F2 U2 B D L2 B
L F2 U2 B D B L2
L F2 U2 B2 U B U'
D2 F2 D2 L U' B' U'
L F2 D U L2 F U
B2 D2 R' U B U' F2
L F2 D' U' R2 B' U'
L F2 D' U' B' R2 U'
B2 D2 R' F2 U B U'
L F2 D2 F2 U' B' U'
U2 B L B R' D L2
U2 B L B D L2 R'
U2 B L B D R' L2
B2 D2 F D' R' F L'
B2 D2 F D' F L' R'
B2 D2 F D' F R' L'
U B L' F U B R'
B2 D2 F2 R' U B U'
U B L2 U B L R'
U B L2 U B R' L
L B U2 D L2 F B
L B U2 D L2 B F
L B D U2 L2 F B
L B D U2 L2 B F
L B D B' U2 L2 B2
L B D B' U2 B2 L2
L B D' R2 F' B' U2
L B D' R2 B' F' U2
L B D' B' R2 U2 B2
U2 B' R D' B' L R'
U2 B' R D' B' R' L
U2 B' R' D' B' L R'
U2 B' R' D' B' R' L
U2 B' R2 D' B' L R'
U2 B' R2 D' B' R' L
U2 B' D' R B' L R'
U2 B' D' R B' R' L
U2 B' D' R' B' L R'
U2 B' D' R' B' R' L
U2 B' D' R2 B' L R'
U2 B' D' R2 B' R' L
U2 B' D' B' L R' D
U2 B' D' B' L R' D'
U2 B' D' B' L R' D2
U2 B' D' B' L D R'
U2 B' D' B' L D' R'
U2 B' D' B' L D2 R'
U2 B' D' B' R' L D
U2 B' D' B' R' L D'
U2 B' D' B' R' L D2
U2 B' D' B' R' D L
U2 B' D' B' R' D' L
U2 B' D' B' R' D2 L
U2 B' D' B' D L R'
U2 B' D' B' D R' L
U2 B' D' B' D' L R'
U2 B' D' B' D' R' L
U2 B' D' B' D2 L R'
U2 B' D' B' D2 R' L
U2 B2 L R' U B' U'
U2 B2 L' R' U' F U
U2 B2 L' U' F U R'
U2 B2 R' L U B' U'
U2 B2 R' L' U' F U
U2 B2 R' D F L' F'
U2 B2 R' D' B' L B
U2 B2 R' F' D F L'
U2 B2 R' B D' B' L
U2 B2 D R' F L' F'
U2 B2 D F L' F' R'
U2 B2 D' R' B' L B
U2 B2 D' B' L B R'
U2 B2 D2 R' U B U'
U2 B2 F' R' D F L'
U2 B2 F' D R' F L'
U2 B2 F' D F L' R'
U2 B2 F' D F R' L'
