R2 L U' R' F' B'
R2 L U' R' B' F'
U L U2 R F B'
U L U2 R B' F
U L U2 B' R F
L R2 U' R' F' B'
L R2 U' R' B' F'
L U' R B' D2 F2
L U' R' F' R2 B'
L U' R' F' B' R2
L U' R' B' F' R2
U R B2 L F B'
U R B2 L B' F
R2 U' D2 R' F' B
R2 U' D2 R' B F'
L U' B' R' F' R2
D2 U' R' F' B R2
D2 U' R' B F' R2
U' D2 R' F' B R2
U' D2 R' B F' R2
R2 D2 U' R' F' B
R2 D2 U' R' B F'
U F2 L' F B' U2
U F2 L' B' F U2
R2 U' D2 R' B D2 F'
R2 U' D2 R' B F' D
R2 U' D2 R' B F' D'
R2 U' D2 R' B F' D2
R2 U' D2 F R' F' B
R2 U' D2 F R' B F'
L U' D2 R B' D2 F2
R2 U' D2 F' R' F' B
R2 U' D2 F' R' B F'
L U' D2 R' F' R2 B'
L U' D2 R' F' B' R2
L U' D2 R' B' F' R2
R2 U' D2 F2 R' F' B
R2 U' D2 F2 R' B F'
L U' D2 B' R' F' R2
L U' F R' F' R B'
L U' F R' F' B' R
L U' F R' B' F' R
R2 U' F D2 R' F' B
R2 U' F D2 R' B F'
L U' F B' R' F' R
R2 U' F' D2 R' F' B
R2 U' F' D2 R' B F'
D2 R' U' B R' F' R'
R2 U' F2 D2 R' F' B
R2 U' F2 D2 R' B F'
L U' B R' F' R2 B2
L U' B R' F' B2 R2
L U' B R' B2 F' R2
L U' B' R U2 B U2
L U' B' R' F R2 F2
L U' B' R' F' R2 D
L U' B' R' F' R2 D'
L U' B' R' F' R2 D2
L U' B' R' F2 R2 F
L U' B' D R' F' R2
L U' B' D' R' F' R2
L U' B' D2 R' F' R2
L U' B' F R' F' R
R2 U2 L U R' F' B'
R2 U2 L U R' B' F'
D2 R' F' L' U' B R2
U' R' F' L R2 B' L'
U' R' F' L B' L' R2
U' R' F' L B' R2 L'
U' R' F' R' D2 R' B
U' R' F' R2 L B' L'
D R' F' L' R U' R
D R' F' R L' U' R
L2 U2 R2 U R' F' B
L2 U2 R2 U R' B F'
L U2 R2 U R' F' B'
L U2 R2 U R' B' F'
U2 R2 L U R' F' B'
U2 R2 L U R' B' F'
U2 R2 U D2 R' F' B
U2 R2 U D2 R' B F'
D' R2 U' D' R' F' B
D' R2 U' D' R' B F'
D R2 U' D R' F' B
D R2 U' D R' B F'
L2 U2 B' R' U R2 B
D R2 D U' R' F' B
D R2 D U' R' B F'
D' R2 D' U' R' F' B
D' R2 D' U' R' B F'
U2 R2 D2 U R' F' B
U2 R2 D2 U R' B F'
D R2 F' L' R U' R2
D R2 F' R L' U' R2
L D R2 U' R' F' B'
L D R2 U' R' B' F'
L D U' R B' D2 F2
L D U' R' F' R2 B'
L D U' R' F' B' R2
L D U' R' B' F' R2
L D U' B' R' F' R2
F2 U L' F U' L' U'
R2 D F' L' R U' R2
R2 D F' R L' U' R2
R D F' L' R U' R'
R D F' R L' U' R'
L D' R2 U' R' F' B'
L D' R2 U' R' B' F'
D2 U' R U2 F' B U2
D2 U' R U2 B F' U2
L D' U' R B' D2 F2
L D' U' R' F' R2 B'
L D' U' R' F' B' R2
L D' U' R' B' F' R2
L D' U' B' R' F' R2
D2 U' R' F B R2 F2
D2 U' R' F' B R2 D
D2 U' R' F' B R2 D'
D2 U' R' F' B R2 D2
D2 U' R' F' B' R2 B2
D2 U' R' F' B2 R2 B'
D2 U' R' F2 B R2 F
D2 U' R' B F R2 F2
D2 U' R' B F' R2 D
D2 U' R' B F' R2 D'
D2 U' R' B F' R2 D2
D2 U' R' B F2 R2 F
D2 U' R' B' F' R2 B2
D2 U' R' B2 F' R2 B'
D2 U' F R' F' B R
D2 U' F R' B F' R
D2 U' B R' F' B R2
D2 U' B R' B F' R2
D2 U' B' R' F' B R2
D2 U' B' R' B F' R2
U2 D' B' L R' U R2
R2 D2 L U' R' F' B
R2 D2 L U' R' B F'
U2 D' B' R' L U R2
D2 U' B2 R' F' B R2
D2 U' B2 R' B F' R2
R2 D2 L' U' R' F' B
R2 D2 L' U' R' B F'
R2 D2 L2 U' R' F' B
R2 D2 L2 U' R' B F'
U' D2 R U2 F' B U2
U' D2 R U2 B F' U2
U' D2 R' F B R2 F2
L D2 R2 U' R' F' B'
L D2 R2 U' R' B' F'
U' D2 R' F' B R2 D
U' D2 R' F' B R2 D'
U' D2 R' F' B R2 D2
U' D2 R' F' B' R2 B2
U' D2 R' F' B2 R2 B'
U' D2 R' F2 B R2 F
U' D2 R' B F R2 F2
U' D2 R' B F' R2 D
U' D2 R' B F' R2 D'
U' D2 R' B F' R2 D2
U' D2 R' B F2 R2 F
U' D2 R' B' F' R2 B2
U' D2 R' B2 F' R2 B'
R2 D2 U' R' D F' B
R2 D2 U' R' D B F'
R2 D2 U' R' D' F' B
R2 D2 U' R' D' B F'
R2 D2 U' R' D2 F' B
R2 D2 U' R' D2 B F'
R2 D2 U' R' F' D B
R2 D2 U' R' F' D' B
R2 D2 U' R' F' D2 B
R2 D2 U' R' F' B D
R2 D2 U' R' F' B D'
R2 D2 U' R' F' B D2
R2 D2 U' R' B D F'
R2 D2 U' R' B D' F'
R2 D2 U' R' B D2 F'
R2 D2 U' R' B F' D
R2 D2 U' R' B F' D'
R2 D2 U' R' B F' D2
R2 D2 U' F R' F' B
R2 D2 U' F R' B F'
R2 D2 U' F' R' F' B
R2 D2 U' F' R' B F'
R2 D2 U' F2 R' F' B
R2 D2 U' F2 R' B F'
U' D2 F R' F' B R
U' D2 F R' B F' R
L D2 U' R B' D2 F2
L D2 U' R' F' R2 B'
L D2 U' R' F' B' R2
L D2 U' R' B' F' R2
L D2 U' B' R' F' R2
R2 D2 F' L' U' R' B
U' D2 B R' F' B R2
U' D2 B R' B F' R2
D' U2 B' L R' U R2
U' D2 B' R' F' B R2
D' U2 B' R' L U R2
U' D2 B' R' B F' R2
D2 U2 B' R' U B R2
U2 D2 B' R' U B R2
U' D2 B2 R' F' B R2
U' D2 B2 R' B F' R2
U F L' F B' L' U2
U F L' B' F L' U2
B' U2 B L U' R B'
B' U2 B L U' B' R
U' F D2 R' F' B R'
U' F D2 R' B F' R'
U' F D2 B R' F' B
U' F D2 B R' B F'
R' F' L' U F U2 R2
R' F' L' F2 U' R2 B
U F' L U2 F B' R'
U F' L U2 B' R' F
U F' L U2 B' F R'
R2 F' L' U F U2 R'
L2 F' L' F U' R B'
L2 F' L' F U' B' R
D F' L' R F U' R
F2 D F' R U' F' R
U F' L' F B' U2 R
U F' L' B' F U2 R
D F' R L' F U' R
F D F' R F' L' U'
F2 D F2 U' R F' B
F2 D F2 U' R B F'
R2 F' D2 L' U' R' B
U' F2 L' F U2 L F
U F2 L' D F B' U2
U F2 L' D B' F U2
U F2 L' D' F B' U2
U F2 L' D' B' F U2
U F2 L' D2 F B' U2
U F2 L' D2 B' F U2
U F2 L' F D B' U2
U F2 L' F D' B' U2
U F2 L' F D2 B' U2
U F2 L' F B' U2 D
U F2 L' F B' U2 D'
U F2 L' F B' U2 D2
U F2 L' F B' D U2
U F2 L' F B' D' U2
U F2 L' F B' D2 U2
U F2 L' B' D F U2
U F2 L' B' D' F U2
U F2 L' B' D2 F U2
U F2 L' B' F U2 D
U F2 L' B' F U2 D'
U F2 L' B' F U2 D2
U F2 L' B' F D U2
U F2 L' B' F D' U2
U F2 L' B' F D2 U2
U' F2 U2 L' F B' U2
U' F2 U2 L' B' F U2
U F2 B L' F B' U2
U F2 B L' B' F U2
U F2 B' L' F B' U2
U F2 B' L' B' F U2
U F2 B2 L' F B' U2
U F2 B2 L' B' F U2
U B L U2 R F B'
U B L U2 R B' F
U B L U2 B' R F
U B R B2 L F B'
U B R B2 L B' F
U2 B U2 L U' R B'
U2 B U2 L U' B' R
U' B D2 R' F' B R2
U' B D2 R' B F' R2
U2 B' L R' U R2 B'
U2 B' L R' U B' R2
U B F2 L' F B' U2
U B F2 L' B' F U2
U B' L U2 R F B'
U B' L U2 R B' F
U B' L U2 B' R F
U2 B' R' L U R2 B'
U2 B' R' L U B' R2
U B' R B2 L F B'
U B' R B2 L B' F
U' B' D2 R' F' B R2
U' B' D2 R' B F' R2
U2 B' D2 R' U B R2
U B' F2 L' F B' U2
U B' F2 L' B' F U2
U B2 L U2 R F B'
U B2 L U2 R B' F
U B2 L U2 B' R F
U B2 R B2 L F B'
U B2 R B2 L B' F
U' B2 D2 R' F' B R2
U' B2 D2 R' B F' R2
U B2 F2 L' F B' U2
U B2 F2 L' B' F U2
