U' L R B D2 F2
U' L' R F L2 B
U' L' R F B L2
U' L' R B F L2
U L' R F B' L2
U L' R B' F L2
U L' B' R F L2
U' R L B D2 F2
U' R L' F L2 B
U' R L' F B L2
U' R L' B F L2
U R L' F B' L2
U R L' B' F L2
L' U' R F L2 B
L' U' R F B L2
L' U' R B F L2
D2 R F' L D' B2
D2 U' L R F' B
D2 U' L R B F'
D2 U' R L F' B
D2 U' R L B F'
D2 U' R F' L B
U' D2 L R F' B
U' D2 L R B F'
U' D2 L R B F'
U' D2 R L F' B
U' D2 R L B F'
U' D2 R F' L B
R2 L' F R' L2 D B2
R L' F U R U' L2
U L' U' R F B' L2
U L' U' R B' F L2
U L' U' B' R F L2
U L' U2 R F B' L2
U L' U2 R B' F L2
U L' U2 B' R F L2
F' L' D F2 U F' R
F' L' F L2 R D' B2
F' L' F L2 D' R B2
F' L' F L2 D' B2 R
F' L' F R L2 D' B2
F' L' F' U F2 L2 R
F' L' F' U F2 R L2
F' L' F2 U L2 F' R
F' L' F2 U F' L2 R
F' L' F2 U F' R L2
U' L' B R F L2 B
U' L' B R F B L2
U' L' B R B F L2
U L' B R F L2 B2
U L' B R F B2 L2
U L' B R B2 F L2
U' L' B' R F L2 B
U' L' B' R F B L2
U' L' B' R B F L2
U L' B' R F L2 D
U L' B' R F L2 D'
U L' B' R F L2 D2
U L' B' R F' L2 F2
U L' B' R F2 L2 F'
U L' B' R' F L2 R2
U L' B' R' F R2 L2
U L' B' R2 F L2 R'
U L' B' R2 F R' L2
U' L' B2 R F L2 B
U' L' B2 R F B L2
U' L' B2 R B F L2
U' L2 R B L F L2
L' R2 F L2 R' D B2
L' R2 F R' L2 D B2
D2 L2 U L' R F' B'
D2 L2 U L' R B' F'
D2 L2 U L' B' R F'
D2 L2 U R L' F' B'
D2 L2 U R L' B' F'
D2 L2 U' L' R F' B
D2 L2 U' L' R B F'
D2 L2 U' R L' F' B
D2 L2 U' R L' B F'
D2 L2 U' R B L' F'
R' U L' R2 F B' L2
R' U L' R2 B' F L2
R' U L' F R2 B' L2
R2 U L' R' F B' L2
R2 U L' R' B' F L2
R' U L' F B' L2 R2
R' U L' F B' R2 L2
R' U L' B' R2 F L2
R' U L' B' F L2 R2
R' U L' B' F R2 L2
R U L' U' F B' L2
R U L' U' B' F L2
R2 U L' F R' B' L2
L2 U L' B' R D' F2
L' U R F L' B' L'
R2 U R' L' F B' L2
R2 U R' L' B' F L2
R' U R2 L' F B' L2
R' U R2 L' B' F L2
U' R L U2 B' U2 B2
U' R L D B D2 F2
U' R L D' B D2 F2
U' R L D2 B D2 F2
D2 R L F' U' L' U
U' R L F B D2 F2
U' R L F' B D2 F2
U' R L F2 B D2 F2
U' R L B U2 B2 U2
U' R L B D2 F2 D
U' R L B D2 F2 D'
U' R L B D2 F2 D2
U' R L B F D2 F2
U' R L B F' D2 F2
U' R L B F2 D2 F2
U R L U2 F B' U2
U R L U2 B' F U2
U' R L' F L' B L'
U' R L' F L2 D B
U' R L' F L2 D' B
U' R L' F L2 D2 B
U' R L' F L2 B D
U' R L' F L2 B D'
U' R L' F L2 B D2
U' R L' F B L2 D
U' R L' F B L2 D'
U' R L' F B L2 D2
U' R L' F B' L2 B2
U' R L' F' L2 F2 B
U' R L' F' L2 B F2
U' R L' F' B L2 F2
U' R L' F2 L2 F' B
U' R L' F2 L2 B F'
U' R L' F2 B L2 F'
U' R L' B F L2 D
U' R L' B F L2 D'
U' R L' B F L2 D2
U' R L' B F' L2 F2
U' R L' B F2 L2 F'
U' R L' B' F L2 B2
U R L' F B L2 B2
U R L' F B' L2 D
U R L' F B' L2 D'
U R L' F B' L2 D2
U R L' F B2 L2 B
U R L' F' B' L2 F2
U R L' F2 B' L2 F'
U R L' B F L2 B2
U' R L2 B L F L2
U R L' B' F L2 D
U R L' B' F L2 D'
U R L' B' F L2 D2
U R L' B' F' L2 F2
U R L' B' F2 L2 F'
U R L' B2 F L2 B
D2 R D F' L D' B2
D2 R D' F' L D' B2
D2 R D2 F' L D' B2
U' R F L B D2 F2
U' R F L' F L2 B
U' R F L' F B L2
U' R F L' B F L2
L' U' L2 R B D2 F2
U R F L' F B' L2
D2 R F' L U' L2 U
U R F L' B' F L2
D2 R F' L D' B2 D
D2 R F' L D' B2 D'
D2 R F' L D' B2 D2
D2 R F' L B D' B2
D2 R F' L B' D' B2
D2 R F' L B2 D' B2
U' R F' L B D2 F2
U' R F' L' F L2 B
U' R F' L' F B L2
U' R F' L' B F L2
D2 R F' U' L' U L2
D2 R F' D L D' B2
D2 R F' D' L D' B2
L' U' R L2 B D2 F2
D2 R F' D2 L D' B2
U R F' L' F B' L2
U R F' L' B' F L2
L' U' R F L' B L'
L' U' R F L2 D B
L' U' R F L2 D' B
L' U' R F L2 D2 B
L' U' R F L2 B D
L' U' R F L2 B D'
L' U' R F L2 B D2
U' R F2 L B D2 F2
L' U' R F B L2 D
L' U' R F B L2 D'
L' U' R F B L2 D2
L' U' R F B' L2 B2
U' R F2 L' F L2 B
U' R F2 L' F B L2
L' U' R F' L2 F2 B
L' U' R F' L2 B F2
U' R F2 L' B F L2
L' U' R F' B L2 F2
L' U' R F2 L2 F' B
L' U' R F2 L2 B F'
L' U' R F2 B L2 F'
L' U' R B F L2 D
L' U' R B F L2 D'
L' U' R B F L2 D2
L' U' R B F' L2 F2
L' U' R B F2 L2 F'
L' U' R B' F L2 B2
D2 R F2 D' F L B'
U R F2 L' F B' L2
U R F2 L' B' F L2
U' R B L' D2 F L'
U R B L' F B' L
U R B L' B' F L
L' U' R2 F L2 R' B
L' U' R2 F R' L2 B
L' U' R2 F R' B L2
U' R' L B2 R2 F' B
U' R' L B2 R2 B F'
U R' L' F R2 B' L2
U R' L' F B' L2 R2
U R' L' F B' R2 L2
U R' L' B' R2 F L2
U R' L' B' F L2 R2
U R' L' B' F R2 L2
L' U' B R F L2 B
L' U' B R F B L2
L' U' B R B F L2
L' U' B' R F L2 B
L' U' B' R F B L2
L' U' B' R B F L2
L' U' B2 R F L2 B
L' U' B2 R F B L2
L' U' B2 R B F L2
U' R2 L' F L2 R' B
U' R2 L' F R' L2 B
U' R2 L' F R' B L2
U R2 L' F R' B' L2
L U2 B' U' R' U' R2
L U2 B' U2 R D B2
D2 U L R F' D2 B2
U' D L D R F' B
U' D L D R B F'
D2 U L' R F' B' L2
D2 U L' R B' L2 F'
D2 U L' R B' F' L2
D2 U L' B' L2 R F'
D2 U L' B' R L2 F'
D2 U L' B' R F' L2
B U L' R F B' L
B U L' R B' F L
F' U L' B' U F L2
B U L' B' R F L
D2 U R L F' D2 B2
D2 U R L' F' B' L2
D2 U R L' B' L2 F'
D2 U R L' B' F' L2
D2 U R F' L' B' L2
B U R L' F B' L
B U R L' B' F L
D2 U' L R D F' B
D2 U' L R D B F'
D2 U' L R D' F' B
D2 U' L R D' B F'
D2 U' L R D2 F' B
D2 U' L R D2 B F'
D2 U' L R F' D B
D2 U' L R F' D' B
D2 U' L R F' D2 B
D2 U' L R F' B D
D2 U' L R F' B D'
D2 U' L R F' B D2
D2 U' L R B D F'
D2 U' L R B D' F'
D2 U' L R B D2 F'
D2 U' L R B F' D
D2 U' L R B F' D'
D2 U' L R B F' D2
D' U' L D' R F' B
D' U' L D' R B F'
U' D' L D' R F' B
U' D' L D' R B F'
D2 U' L B R F' B
D2 U' L B R B F'
D2 U' L B' R F' B
D2 U' L B' R B F'
D2 U' L B2 R F' B
D2 U' L B2 R B F'
D2 U' L' R F' L2 B
D2 U' L' R F' B L2
D2 U' L' R B L2 F'
D2 U' L' R B F' L2
D U' L D R F' B
D U' L D R B F'
D2 U' L2 R B L' F'
D2 U' R L D F' B
D2 U' R L D B F'
D2 U' R L D' F' B
D2 U' R L D' B F'
D2 U' R L D2 F' B
D2 U' R L D2 B F'
D2 U' R L F' D B
D2 U' R L F' D' B
D2 U' R L F' D2 B
D2 U' R L F' B D
D2 U' R L F' B D'
D2 U' R L F' B D2
D2 U' R L B D F'
D2 U' R L B D' F'
D2 U' R L B D2 F'
D2 U' R L B F' D
D2 U' R L B F' D'
D2 U' R L B F' D2
D2 U' R L' F' L2 B
D2 U' R L' F' B L2
D2 U' R L' B L2 F'
D2 U' R L' B F' L2
D2 U' R L2 B L' F'
D2 U' R D L F' B
D2 U' R D L B F'
D2 U' R D F' L B
D2 U' R D' L F' B
D2 U' R D' L B F'
D2 U' R D' F' L B
D2 U' R D2 L F' B
D2 U' R D2 L B F'
D2 U' R D2 F' L B
D2 U' R F L F2 B
D2 U' R F L B F2
D2 U' R F' L D B
D2 U' R F' L D' B
D2 U' R F' L D2 B
D2 U' R F' L B D
D2 U' R F' L B D'
D2 U' R F' L B D2
D2 U' R F' L' B L2
D2 U' R F' L2 B L'
D2 U' R F' D L B
D2 U' R F' D' L B
D2 U' R F' D2 L B
F' U' L' U F L2 R
F' U' L' U F R L2
L' D' B2 U' R F B
L' D' B2 U' R B F
D2 U' B' R F' B L
D2 U' B' R B L F'
D2 U' B' R B F' L
U' D2 L R D F' B
U' D2 L R D B F'
U' D2 L R D' F' B
U' D2 L R D' B F'
U' D2 L R D2 F' B
U' D2 L R D2 B F'
U' D2 L R F' D B
U' D2 L R F' D' B
U' D2 L R F' D2 B
U' D2 L R F' B D
U' D2 L R F' B D'
U' D2 L R F' B D2
U' D2 L R B D F'
U' D2 L R B D' F'
U' D2 L R B D2 F'
U' D2 L R B F' D
U' D2 L R B F' D'
U' D2 L R B F' D2
U' D2 L B R F' B
U' D2 L B R B F'
U' D2 L B' R F' B
U' D2 L B' R B F'
U' D2 L B2 R F' B
U' D2 L B2 R B F'
U' D2 L' R F' L2 B
U' D2 L' R F' B L2
U' D2 L' R B L2 F'
U' D2 L' R B F' L2
U D2 L R F' D2 B2
U' D2 L2 R B L' F'
U D2 L' R F' B' L2
U D2 L' R B' L2 F'
U D2 L' R B' F' L2
U' D2 R L D F' B
U' D2 R L D B F'
U' D2 R L D' F' B
U' D2 R L D' B F'
U' D2 R L D2 F' B
U' D2 R L D2 B F'
U' D2 R L F' D B
U' D2 R L F' D' B
U' D2 R L F' D2 B
U' D2 R L F' B D
U' D2 R L F' B D'
U' D2 R L F' B D2
U' D2 R L B D F'
U' D2 R L B D' F'
U' D2 R L B D2 F'
U' D2 R L B F' D
U' D2 R L B F' D'
U' D2 R L B F' D2
U' D2 R L' F' L2 B
U' D2 R L' F' B L2
U' D2 R L' B L2 F'
U' D2 R L' B F' L2
U' D2 R L2 B L' F'
U' D2 R D L F' B
U' D2 R D L B F'
U' D2 R D F' L B
U' D2 R D' L F' B
U' D2 R D' L B F'
U' D2 R D' F' L B
U' D2 R D2 L F' B
U' D2 R D2 L B F'
U' D2 R D2 F' L B
U' D2 R F L F2 B
U' D2 R F L B F2
U D2 L' B' L2 R F'
U D2 L' B' R L2 F'
U D2 L' B' R F' L2
U' D2 R F' L D B
U' D2 R F' L D' B
U' D2 R F' L D2 B
U' D2 R F' L B D
U' D2 R F' L B D'
U' D2 R F' L B D2
U' D2 R F' L' B L2
U' D2 R F' L2 B L'
U' D2 R F' D L B
U' D2 R F' D' L B
U' D2 R F' D2 L B
U D2 R L F' D2 B2
U D2 R L' F' B' L2
U D2 R L' B' L2 F'
U D2 R L' B' F' L2
U D2 R F' L' B' L2
U' D2 B' R F' B L
U' D2 B' R B L F'
U' D2 B' R B F' L
D2 F R U' L F' R
D2 F R U' F' L R
D2 F R U' F' R L
R' F' L' U R2 F L2
R' F' L' U F L2 R2
R' F' L' U F R2 L2
U' F' L' F L2 R B
U' F' L' F R L2 B
U' F' L' F R B L2
R2 F' L' U R' F L2
R2 F' L' U F L2 R'
R2 F' L' U F R' L2
R F' L U' L2 U F
U F' L' F R B' L2
U F' L' F B' L2 R
U F' L' F B' R L2
R F' L' F L2 D' B2
U F' L' B' F L2 R
U F' L' B' F R L2
R F' U' L' U F L2
U F2 L' U2 F B' L2
U F2 L' U2 B' F L2
U B L' R F B' L
U B L' R B' F L
U B L' B' R F L
U B R L' F B' L
U B R L' B' F L
L' B U' R F L2 B
L' B U' R F B L2
L' B U' R B F L2
U' B' L' R F B L
U' B' L' R B F L
U' B' L2 R B L F
U' B' R L' F B L
U' B' R L' B F L
U' B' R L2 B L F
U' B' R B L' F L2
L' B' U' R F L2 B
L' B' U' R F B L2
L' B' U' R B F L2
U' B' D2 R F' B L
U' B' D2 R B L F'
U' B' D2 R B F' L
L' B2 U' R F L2 B
L' B2 U' R F B L2
L' B2 U' R B F L2
