L2 U' B' U F L'
B' U' F U' L' B
B' U' F U' B L'
U F L2 U' F L
L2 F U' B' U L'
U F U B' U2 L'
U F U' L2 F L
L2 B' U F L' B
L2 B' U F B L'
L2 B' U B F L'
U2 B' U' F U' L'
B' U' F U' B D' L'
B' U' F U' B D2 L'
B' U' F U' B' L' B2
B' U' F D U' L' B
B' U' F D U' B L'
B' U' F D' U' L' B
B' U' F D' U' B L'
B' U' F D2 U' L' B
B' U' F D2 U' B L'
B' U' F B' U' L' B2
B' U' F B' U' B2 L'
B' U' F B2 U' B' L'
B' U' B' F U' L' B2
B' U' B' F U' B2 L'
B' U' B2 F U' B' L'
L2 D2 U' B' U F L
L2 D2 F U' B' U L
U D2 F U B' U2 L
F' U2 R D B' U2 R2
F' U2 R D' L2 U2 F
F' U2 R D' B' L2 U2
F' U2 R B' U' F2 U'
F' U2 R B' U2 D R2
F' U2 R B' D U2 R2
F' U2 R B' D' L2 U2
D2 U2 B' U' F U' L
L2 D2 B' U F L B
U2 D2 B' U' F U' L
F' U2 D R B' U2 R
F' U2 D B' R U2 R
F' U2 D' L2 R U2 F
F' U2 D' R L2 U2 F
F' U2 D' R B' L2 U2
F' U2 D' B' L2 R U2
F' U2 D' B' R L2 U2
L' F L' U' B' U F
L' F L' F U' B' U
B' U2 F U' L' F' B
B' U2 F U' L' B F'
B' U2 F U' B L' F'
L2 F L' D F' R F
L2 F L' D' B R' B'
L2 F L' F D F' R
L2 F L' B' D' B R'
L2 F L2 U F U' L
U F L2 U' D F L
U F L2 U' D' F L
U F L2 U' D2 F L
U F L2 U' F L D
U F L2 U' F L D'
U F L2 U' F L D2
U F L2 U' F D L
U F L2 U' F D' L
U F L2 U' F D2 L
U F L2 U' F' L F2
U F L2 U' F2 L F'
L2 F R U' B' U L'
U F L2 D U' F L
U F L2 D' U' F L
U F L2 D2 U' F L
B' U2 B U F U' L'
L2 F R' U' B' U L'
F' U2 B' R U' F2 U'
F' U2 B' R U2 D R2
F' U2 B' R D U2 R2
F' U2 B' R D' L2 U2
L2 F R2 U' B' U L'
F' U2 B' U' F2 U' L'
F' U2 B' D R U2 R
F' U2 B' D' L2 R U2
F' U2 B' D' R L2 U2
U' F U B' U2 L' B
U' F U B' U2 B L'
F U2 B' U B U L'
U F U R B' U2 L'
U F U R' B' U2 L'
U F U R2 B' U2 L'
L2 F U' D B' U L'
U F U D B' U2 L'
L2 F U' D' B' U L'
U F U D' B' U2 L'
L2 F U' D2 B' U L'
U F U D2 B' U2 L'
L2 F U' B' U L' D
L2 F U' B' U L' D'
L2 F U' B' U L' D2
L2 F U' B' U D L'
L2 F U' B' U D' L'
L2 F U' B' U D2 L'
L2 F U' B' D U L'
U F U B' R U2 L'
L2 F U' B' D' U L'
U F U B' R' U2 L'
L2 F U' B' D2 U L'
U F U B' R2 U2 L'
U F U B' U2 L' D
U F U B' U2 L' D'
U F U B' U2 L' D2
U F U B' U2 D L'
U F U B' U2 D' L'
U F U B' U2 D2 L'
U F U B' D U2 L'
U F U B' D' U2 L'
U F U B' D2 U2 L'
U F U' L2 D F L
U F U' L2 D' F L
U F U' L2 D2 F L
U F U' L2 F L D
U F U' L2 F L D'
U F U' L2 F L D2
U F U' L2 F D L
U F U' L2 F D' L
U F U' L2 F D2 L
U F U' L2 F' L F2
U F U' L2 F2 L F'
U F U' D L2 F L
U F U' D' L2 F L
U F U' D2 L2 F L
U F U' F' L2 F L'
F' D L' F2 L' R2 F
F' D L' F2 L' F R2
F' D L' F2 R2 L' F
L2 F D U' B' U L'
F' D L2 F2 L' F' R2
U F D L2 U' F L
U F D U B' U2 L'
L2 F D' U' B' U L'
U F D U' L2 F L
F' D R B' U2 B R
U F D' L2 U' F L
F' D R' D2 L2 R' F
F' D R' D2 L2 F R'
F' D R' D2 R' L2 F
U F D' U B' U2 L'
L2 F D2 U' B' U L'
U F D' U' L2 F L
U F D2 L2 U' F L
F' D R2 U2 R' B' U2
U F D2 U B' U2 L'
U F D2 U' L2 F L
L2 F B D' R2 B' L'
L2 F B D' B' L' R2
L2 F B D' B' R2 L'
U F B U B2 U2 L'
U F B U' L' D2 F2
U F B U' D2 L' F2
U F B D L2 U' L
U F B D2 U' L' F2
F' D U2 R B' U2 R
U F B2 U B U2 L'
F' D U2 B' R U2 R
F' D F L2 R2 F L'
F' D F L2 F L' R2
F' D F L2 F R2 L'
F' D F R2 L2 F L'
U F' L' F2 U' L' F
F' D F2 L2 R2 F L
F' D F2 L2 F L R2
F' D F2 L2 F R2 L
F' D F2 R2 L2 F L
U F' L2 F2 U' L' F'
F' D B2 R2 F' B2 L
F' D B2 R2 B2 L F'
F' D B2 R2 B2 F' L
L2 F' U' B' U F2 L'
D' F' D L2 R2 F L'
D' F' D L2 F L' R2
D' F' D L2 F R2 L'
D' F' D R2 L2 F L'
F' D' L' F2 L' R F
F' D' L' F2 R L' F
F' D' R B' L2 U2 B
F' D' R' D2 L2 R2 F
F' D' R' D2 L2 F R2
F' D' R' D2 R2 L2 F
L2 F' B' U F2 L' B
L2 F' B' U F2 B L'
L2 F' B' U B F2 L'
F' D' U2 L2 R U2 F
F' D' U2 R L2 U2 F
F' D' U2 R B' L2 U2
F' D' U2 B' L2 R U2
F' D' U2 B' R L2 U2
L2 F2 L' D F' L' R
L2 F2 L' D F' R L'
L2 F2 L2 F' L' D R2
L2 F2 L2 F' D L' R2
L2 F2 L2 F' D R2 L'
U F2 L' F' U' L' F
U F2 L2 F' U' L' F2
L2 F2 U' B' U F' L'
B D2 F U' F B' L
B D2 F U' B' F L
B2 F L U' B2 L2 F
B2 F R2 U' L' F' B2
B2 F R2 U' L' B2 F'
B2 F R2 U' B2 L' F'
L2 B F D' R2 B' L'
L2 B F D' B' L' R2
L2 B F D' B' R2 L'
U B F U B2 U2 L'
U B F U' L' D2 F2
U B F U' D2 L' F2
B2 F U B U2 L' B
B2 F U B U2 B L'
U B F D L2 U' L
U B F D2 U' L' F2
B2 F U' L B2 L2 F
B F U B2 U2 L' B
B F U B2 U2 B L'
B2 F U' B2 L2 F L
F B U B2 U2 L' B
F B U B2 U2 B L'
B F U' D2 B' L' F2
B F U' B' L2 F L
F B U' D2 B' L' F2
F B U' B' L2 F L
B2 F D' R2 U' L' F'
U2 B' R U' F U' L'
U2 B' R' U' F U' L'
B F D2 U' B' L' F2
U2 B' R2 U' F U' L'
F B D2 U' B' L' F2
L2 B' U F L B L2
L2 B' U F L' D B
L2 B' U F L' D' B
L2 B' U F L' D2 B
L2 B' U F L' B D
L2 B' U F L' B D'
L2 B' U F L' B D2
L2 B' U F D L' B
L2 B' U F D B L'
L2 B' U F D' L' B
L2 B' U F D' B L'
L2 B' U F D2 L' B
L2 B' U F D2 B L'
L2 B' U F B L' D
L2 B' U F B L' D'
L2 B' U F B L' D2
L2 B' U F B D L'
L2 B' U F B D' L'
L2 B' U F B D2 L'
L2 B' U F B' L' B2
R' B' U' F U' L' B
R' B' U' F U' B L'
D2 B' U' F U' L B
L2 B' U B F L' D
L2 B' U B F L' D'
L2 B' U B F L' D2
L2 B' U B F D L'
L2 B' U B F D' L'
L2 B' U B F D2 L'
L2 B' U B' F L' B2
D2 B' U2 L D' B R'
U' B' U2 F U' L' F'
U2 B' U' F U' L' D
U2 B' U' F U' L' D'
U2 B' U' F U' L' D2
U2 B' U' F U' D L'
U2 B' U' F U' D' L'
U2 B' U' F U' D2 L'
U2 B' U' F D U' L'
U2 B' U' F D' U' L'
U2 B' U' F D2 U' L'
U2 B' U' F B U' L'
U2 B' U' F B' U' L'
U2 B' U' F B2 U' L'
U2 B' U' B F U' L'
U2 B' U' B' F U' L'
U2 B' U' B2 F U' L'
R2 B' U' F U' L' B
R2 B' U' F U' B L'
R B' U' F U' L' B
R B' U' F U' B L'
B' F' U' F2 U' L' B
B' F' U' F2 U' B L'
F' B' U' F2 U' L' B
F' B' U' F2 U' B L'
F2 B' U' F' U' B L
L2 B' F' U F2 L' B
L2 B' F' U F2 B L'
L2 B' F' U B F2 L'
F B2 L U' B2 L2 F
F B2 R2 U' L' F' B2
F B2 R2 U' L' B2 F'
F B2 R2 U' B2 L' F'
B' F2 U' F' U' B L
F B2 U B U2 L' B
F B2 U B U2 B L'
F B2 U' L B2 L2 F
F B2 U' B2 L2 F L
U B2 F U B U2 L'
F B2 D' R2 U' L' F'
